"CUST_ITEM_CF_HAIR_MED": "露肩"
"COMPONENT_PAINT_1": "喷漆 1"
"CUST_WEAR_LOW": "低腰"
"LOGO_SIZZURP": "Sizzurp 101.69"
"CUST_ITEM_CM_PSI_HAT_M_SRCAP": "圣徒帽"
"VEHICLE_COLOR_TEAL_DARK_TINT": "深青染"
"CUST_COLOR_GRAY_1": "灰色 1"
"CUST_GANG_NUDE": "天体"
"CUST_COLOR_CLOTHING_RED-ORANGE_6": "红橙 6"
"COLOR_SLOT_TINT": "染色"
"CUST_VARIANT_TRENCH": "纯色"
"CUST_COLOR_CLOTHING_BLUE-GREEN_6": "蓝绿 6"
"CUST_COMP_EYES_BLACK": "黑色"
"SLOT_HEADLIGHTS": "前大灯"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_2": "提升射速、弹匣容量与伤害。红点瞄具提高精瞄精度。"
"CUST_VARIANT_JEANS": "普通"
"CUST_ITEM_IMPRESSIONS_MALE_M": "南海滩"
"CUST_ITEM_CM_HATHAIR_PULLEDPONYTAIL": ""
"CUST_COLOR_CLOTHING_GREENS_1": "绿色 1"
"CUST_COMP_FACE_SCAR_5": "小伤疤 1"
"CUST_COMP_MUSTACHE_9": "警探须"
"FEMALE_SLENDER": "女·纤瘦"
"CUST_VARIANT_FLAT_TOP_SHORT_SIDES": "平顶短侧"
"IRIDESCENT_3": "虹彩 3"
"DARK_YELLOW": "深黄"
"PLAYER_MORPH_EARS_ROLL_TEXT": "耳卷"
"CUST_COLOR_CLOTHING_RED_3": "红色 3"
"RIM_190": "C-X 504 绿黑"
"LOGO_CAVE_3": "幻洞 3"
"CUST_COLOR_CLOTHING_YELLOWS_8": "黄色 8"
"CUST_TATTOO_RUPPARM_8": "血染海域"
"COLOR_SLOT_RIMS_2": "轮辋 1"
"SLOT_WEAPONS": "武器"
"CUST_COLOR_STRAWBERRY_BLONDE": "草莓金发"
"LOGO_FRECKLE_1": "雀斑女孩 1"
"CUST_VARIANT_JERSEY": "样式 1"
"CUST_ITEM_CF_DLC_SPACE_HAND_F_GLOVES": "太空公主手套"
"SLOT_HYDRAULICS": "液压系统"
"HAIR_COLOR_STRAWBERRY_BLONDE_MATTE": "哑光草莓金发"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBODOWN": "懒鬼连帽衫"
"CUST_COMP_EYES_GREEN": "绿色"
"CUST_TATTOO_LFORARM_8": "断翼"
"COMPONENT_OPTION_E": "选项 E（不应使用）"
"VEHICLE_COLOR_CAST_IRON": "铸铁"
"CUST_ITEM_IMPRESSIONS_FEMALE_Q": "80 年代崩坏"
"CUST_ITEM_FEMALE_LP_BRA_2": "真·魅惑"
"CUST_COMP_FACE_MAKEUP_11": "靶心"
"LOGO_HHH": "发盔帽店"
"CUST_VARIANT_BLURRY": "模糊"
"CUST_WEAR_OPEN": "敞开"
"CUST_ITEM_CM_DLC_M_GLASSES01": "Z 式潮男视界"
"CUST_COLOR_CLOTHING_RED_7": "红色 7"
"RIM_194": "AF1 单体 CX 502"
"CUST_COMP_FACE_WART_2": "疣 2"
"SLOT_MISC_COLOR": "杂项色"
"CUST_VARIANT_FOREST_CAMO": "丛林迷彩"
"CUST_ITEM_FEMALE_LP_EARRINGS_4": "外星存在耳环"
"CUST_COMP_EYES_YELLOW": "黄色"
"CUST_VARIANT_CMCOA_UCOPVEST1": "警用"
"VEHICLE_COLOR_PINK_DARK_TINT": "深粉染"
"COLOR_SLOT_PAINT_1": "喷漆 1"
"COLOR_SLOT_INTERIOR_1": "内饰 1"
"COMPONENT_OPTION_A": "选项 A（不应使用）"
"CUST_NO_ITEMS": "无徽标"
"OPTION_40": "选项 40"
"RIM_131": "R131"
"CUST_ITEM_WORKER_BOOTS": "坏女孩靴"
"CUST_ITEM_PARACHUTE_BACKPACK": "动漫猫娘"
"CUST_VARIANT_FLOWER": "碎花"
"VEHICLE_COLOR_STEEL": "钢"
"CUST_VARIANT_STRIPES_BIG": "大条纹"
"VEHICLE_PAINT_SPECIAL_PLASTIC": "特种塑料"
"SLOT_FENDER_SKIRT": "挡泥裙"
"SLOT_DASH": "仪表台"
"CUST_VARIANT_CMBOT_WSLACKME01": "纯色"
"CUST_COLOR_CLOTHING_BLUES_4": "蓝色 4"
"CUST_COLOR_CLOTHING_RED-ORANGE_2": "红橙 2"
"VEHICLE_COLOR_TRUMPET_YELLOW": "喇叭黄"
"CUST_VARIANT_TRACK_A": "样式 4"
"VEHICLE_COLOR_TOBIAS_FUR_WHITE": "托拜厄斯白裘"
"SLOT_DECAL_4": "贴花 4"
"CUST_VARIANT_PIMPCOAT_COAT": "素面"
"VEHICLE_COLOR_TANGERINE_ORANGE": "橘子橙"
"CUST_VARIANT_FLAME": "火焰"
"CUST_WEAR_BOTH_ROLLED_UP": "双卷上"
"CUST_COLOR_CLOTHING_BLUE-GREEN_2": "蓝绿 2"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_4": "榴弹会粘附在击中目标上。"
"VEHICLE_COLOR_SLATE_GRAY": "灰岩灰"
"VEHICLE_COLOR_KHAKI_GREEN": "卡其绿"
"VEHICLE_COLOR_HOT_PINK": "艳粉"
"CUST_COLOR_CLOTHING_GREENS_5": "绿色 5"
"CUST_COMP_FACE_SCAR_1": "大伤疤 1"
"CUST_COMP_MALE_EYEBROWS": "自然男眉"
"SLOT_LICENSE_PLATE": "车牌"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_9": "蓝紫 9"
"VEHICLE_PAINT_GANG_SOS": "萨梅迪之子"
"CUST_ITEM_CF_LPE_HAT_F_MHELMET": "年轻士兵"
"CUST_INSULT_E": "四年级"
"CUST_WPN_UPGRADE_DESC_SMG_GANG_4": "燃烧弹加大火力。激光瞄准镜提高腰射精度。"
"CUST_COMP_FINGERNAILS_L": "指甲油  "
"CUST_TATTOO_RCALF_6": "女魔头"
"CUST_TATTOO_LARM_1": "恶魔圣徒"
"CUST_VARIANT_CMSHO_UUTIBOOT03": "皮革"
"CUST_VARIANT_STRIPES_3": "条纹 3"
"LOGO_TUX": "礼服"
"CUST_VARIANT_RIVET": "铆钉"
"CUST_VARIANT_MATERIAL_3": "材质 #3"
"CUST_ITEM_FEMALE_PS_EARRINGS_3": "球衣女孩圆环"
"CUST_COMP_EYE_MAKEUP_9": "日常眼线"
"VEHICLE_COLOR_ALLOY": "合金"
"VEHICLE_COLOR_FURIOUS_ORANGE": "狂怒橙"
"RIM_182": "SD WGM TB"
"CUST_COLOR_GRAY": "灰色"
"CUST_TATTOO_RFORARM_3": "法外之贼"
"CUST_COMP_FACE_BLOODY_SMEAR": "血宴"
"CUST_COMP_FACE_MOLE_2": "痣 2"
"VEHICLE_COLOR_PINK_SALMON": "粉鲑"
"COMPONENT_ADD_REINFORCED_FRAME": "强化车架"
"CUST_VARIANT_PECTORAL_COLORS": "方块"
"CUST_WEAR_ZIPPED": "拉链合"
"CUST_ITEM_MALE_NLM_OUTFIT_A": "蒸汽朋克斗士"
"VEHICLE_PAINT_GLOSS_PAINT": "亮漆"
"CUST_ITEM_CM_IMPE_EYES_M_SUNGLASSES": "南海滩飞行墨镜"
"CUST_SKIN_GREEN_2": "腐绿"
"VEHICLE_COLOR_TINT_70": "染色 70%%"
"VEHICLE_COLOR_WHITE_GOLD": "白金"
"CUST_VARIANT_PLASTIC": "塑料"
"CUST_ITEM_CF_DLC_BC_OUTFIT": "猩红女院长"
"CUST_WPN_UPGRADE_DESC_GRENADE_MOLOTOV_3": "投掷更远。"
"CUST_COMP_EYES_PURPLE": "紫色"
"CUST_COLOR_BRIGHT_PINK": "亮粉"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_2": "黄绿 2"
"CUST_TATTOO_CHEST_1": "六连发"
"CUST_COMP_TEST_EYE_MAKEUP": "深夜"
"VEHICLE_COLOR_GREEN_LIGHT_TINT": "淡绿染"
"CUST_COMP_FACE_BANDAGE_2": "额绷带"
"VEHICLE_COLOR_TINT_100": "染色 100%%"
"CUST_VARIANT_MUSCLE_SHIRT_TUCKED": "塞衣肌肉衫"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_7": "黄橙 7"
"CUST_TATTOO_LHAND_5": "骨纹"
"CUST_COLOR_INDIGO_1": "靛蓝 1"
"CUST_VARIANT_SMALL_POLKA_DOTS": "小波点"
"CUST_COMP_EYES_CAT_GREEN": "绿猫"
"VEHICLE_COLOR_DYNASTY_BLUE": "王朝蓝"
"SLOT_RIMS_REAR": "后轮辋"
"COMPONENT_DECAL_8": "贴花 8"
"VEHICLE_COLOR_BROWN_LIGHT_TINT": "淡棕染"
"SLOT_WINDOWS": "车窗"
"CUST_VARIANT_CRAZY_JACKET_TEST": "测试狂野夹克"
"HASH_C1DEC751": "达拉斯"
"CUST_COMP_MALE_EYEBROWS_3": "克罗马农"
"VEHICLE_COLOR_COCONUT_TAN": "椰棕"
"DARK_PURPLE": "深紫"
"CUST_VARIANT_TAPE": "胶带"
"CUST_COLOR_CLOTHING_ORANGE_4": "橙色 4"
"SLOT_BUMPERS": "保险杠"
"CUST_VARIANT_TRIM": "饰条"
"CUST_VARIANT_VERT_STRIPES": "竖条纹"
"CUST_VARIANT_SEMI_GLOSS": "半亮面"
"CUST_VARIANT_MULTICOLOR_MEDIUM": "中号多彩"
"MALE_HUGE": "男·巨型"
"CUST_ITEM_CM_NLME_FOOT_M_COMBATBOOTS": "网络战斗靴"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_3": "闺蜜右环"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_6": "黄绿 6"
"CUST_TATTOO_CHEST_5": "寻求宽恕"
"VEHICLE_COLOR_ROYAL_PURPLE": "皇室紫"
"CUST_COMP_MUSTACHE_19": "小片线须"
"RIM_INDUSTRIAL": "工业"
"OPTION_39": "选项 39"
"SLOT_COLOR_SCHEMES": "配色方案"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_3": "黄橙 3"
"CUST_TATTOO_LHAND_1": "左"
"CUST_COLOR_PURPLE_4": "紫色 4"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_RPG_4": "激光制导火箭跟随准星。锁定系统可锁定敌人。"
"CUST_TATTOO_RCALF_2": "祈祷吧"
"CUST_TATTOO_LARM_5": "随波逐流"
"CUST_TATTOO_LUPPARM_7": "罗宁帮陨落"
"CUST_COMP_FEMALE_EYEBROWS_5": "浓密女眉"
"CUST_COMP_EYES_BROWN": "棕色"
"Auburn": "红棕  "
"CUST_VARIANT_STRAPLESS": "无肩带"
"CUST_ITEM_CM_IMPM_HAT_M_HAT": "卡巴纳帽"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATERTN": "巴黎 T台高领衫"
"CUST_CAT_FACE_WEAR": "面部佩戴"
"CUST_COMP_FACE_NATURAL_EYES": "自然眼"
"CUST_VARIANT_MEDIUM": "中号"
"CUST_VARIANT_MATERIAL_7": "材质 #7"
"CUST_VARIANT_SMALL_STRIPES": "细条纹"
"CUST_VARIANT_STIPES_1": "条纹 1"
"CUST_ITEM_CF_IMPQ_HAT_F_LATEXHAT": "狂野帽"
"CUST_GANG_GENERIC": "圣徒"
"VEHICLE_PAINT_GANG_RONIN": "罗宁帮"
"CUST_VARIANT_WATCHBAND": "表带"
"CUST_WPN_UPGRADE_DESC_RIFLE_GANG_4": "附带榴弹发射器射程更远、射速更快。弹箱可容纳更多弹药。"
"RIM_186": "V-F 605"
"SLOT_WEAPON_1": "武器 1"
"DARK_YELLOW-GREEN": "深黄绿"
"CUST_VARIANT_THREE_COLORS": "三色"
"CUST_VARIANT_TIES_": "领带"
"VEHICLE_PAINT_STANDARD_MATERIAL": "标准材质"
"COMPONENT_REGULAR_PROFILE": "常规轮廓"
"SLOT_SUSPENSION_STYLE": "悬架类型"
"SLOT_PRIMARY_SURFACES": "主要表面"
"CUST_WPN_UPGRADE_DESC_SMG_STORM_3": "提升射速并减小后坐力。"
"CUST_TATTOO_RFORARM_7": "圣徒升天"
"CUST_TATTOO_UPPBACK_8": "展翅高飞"
"CUST_COMP_FACE_MOLE_6": "痣 6"
"SEXY_1": "火辣 1"
"CUST_COMP_EYE_MAKEUP_12": "朋克眼线"
"SLOT_NITROUS_DESC": "为载具加装氮气，在急需时爆发速度。"
"LOGO_BRITISH": "英国旗"
"CUST_VARIANT_STRETCHED_HORIZONTAL": "横条纹"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_3": "携带更多炸药。"
"CUST_TATTOO_NECK_6": "蛛咬"
"SLOT_SPOILER": "尾翼"
"CUST_VARIANT_FEEDDOGS": "喂狗"
"CUST_ITEM_CM_NECK_SHORTCHAIN": "项圈链"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_4": "携带更多导弹。"
"CUST_TATTOO_LOWBACK_2": "履带纹"
"CUST_COLOR_BLONDE": "金发"
"CUST_COLOR_FLESH_2": "肉色 2"
"CUST_ITEM_CF_IMPR_UBDY_F_TURTLENECK": "山丘高领衫"
"CUST_ITEM_CF_HAIR_LONGDREADS": "拉斯塔发式"
"RIM_SET_004": "轮辋套组 4"
"VEHICLE_PAINT_RUBBER": "橡胶"
"COLOR_SLOT_INTERIOR": "内饰"
"COMPONENT_OPTION_6": "选项 6"
"CUST_COLOR_CLOTHING_VIOLET-RED_7": "紫红 7"
"CUST_COLOR_CLOTHING_BROWNS_6": "棕色 6"
"CUST_COMP_MUSTACHE_11": "亲和络腮胡"
"CUST_TATTOO_FACE_1": "野猫"
"CUST_ITEM_CF_IMPN_SUIT_F_PATTDRESS": "果果连衣裙"
"CUST_ITEM_WOMEN'S_LYCRA_PANTS": "高尔夫长裤"
"CUST_COMP_FACE_MAKEUP_6": "爬虫纹"
"VEHICLE_COLOR_PRETTY_PRINCESS_PINK": "俏公主粉"
"VEHICLE_PAINT_GLASS": "玻璃"
"MALE_AVERAGE": "男·普通"
"CUST_TATTOO_RHAND_6": "任其消亡"
"VEHICLE_PAINT_CLASSIC_70_S___80_S": "经典 70 至 80 年代"
"HAIR_COLOR_GREEN": "绿色"
"LOGO_SHARKS_TEXT_1": "鲨鱼文字 1"
"CUST_TATTOO_LCALF_5": "龙之息"
"CUST_VARIANT_LEATHER": "皮革"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_D": "过家家女 D"
"CUST_ITEM_CM_LLA_LBDY_M_GIMPPANTS": "暗号长裤"
"CUST_COLOR_CLOTHING_GREYS_7": "灰色 7"
"CUST_COMP_CHEEK_MAKEUP_1": "羞涩新娘"
"CUST_VARIANT_THINSTRIPES": "细条纹"
"CUST_VARIANT_SAILOR": "水手"
"VEHICLE_COLOR_BLUSH_GRAY": "羞红灰"
"HAIR_White": "白色"
"CUST_ITEM_CM_CNC_LBDY_M_JEANS": "Crooks & Castles 牛仔裤"
"CUST_ITEM_LONG_ROPE_CHAIN_2": "坏女孩链"
"SLOT_FRONT_BUMPER": "前保险杠"
"DARK_BLUE-GREEN": "深蓝绿"
"CUST_TATTOO_LOWER_CHEST": "下胸"
"CUST_VARIANT_SPARKLE": "闪片"
"COLOR_SLOT_PAINT_1_AND_RIMS_1": "喷漆 1 与轮辋 1"
"COLOR_SLOT_CASKET": "棺材"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRTLOWV": "山丘 T 恤"
"CUST_GANG_GUARD": "卫兵"
"RIM_SET_021": "轮辋套组 21"
"HAIR_COLOR_BLACK": "黑色"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_3": "增大弹匣容量。  "
"CUST_COMP_EYE_MAKEUP_5": "猫步"
"SLOT_WHEELS": "车轮"
"CUST_COLOR_CLOTHING_GREYS_3": "灰色 3"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_4": "当心恶臭。"
"CUST_COMP_CHEEK_MAKEUP_5": "忧郁"
"CUST_TATTOO_LCALF_1": "额外弹药"
"CUST_VARIANT_STARS": "星"
"CUST_ITEM_FEMALE_NLM_EARRINGS_3": "人生苦短耳环"
"CUST_VARIANT_PUNK": "朋克"
"CUST_VARIANT_KAHKI": "卡其"
"CUST_VARIANT_TARZAAN": "丛林"
"CUST_GANG_WRESTLER": "摔跤手"
"VEHICLE_COLOR_BERRY_RED": "莓红"
"SLOT_DOOR_MODS": "车门改装"
"CUST_VARIANT_3_TYPE_SOLID": "三色"
"CUST_ITEM_CM_IMPM_FOOT_M_SANDLES": "卡巴纳凉鞋"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_4": "提升射速。加长枪管有助于抵消增大的后坐力。"
"CUST_TATTOO_UPPBACK_4": "舔蟾蜍"
"VEHICLE_COLOR_DEEP_BRUNSWICK_GREEN": "深布伦瑞克绿"
"VEHICLE_COLOR_CATALYST_GREEN": "催化绿"
"LIGHT_BROWN": "浅棕"
"LOGO_STALKER": "潜随者"
"CUST_VARIANT_CAMO": "迷彩"
"CUST_ITEM_FEMALE_LL_UNDWEAR_2": "倾心丁字裤"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEUP": "圣徒连帽衫（帽合上）"
"CUST_COMP_EYE_MAKEUP_1": "浣熊眼"
"LOGO_SKEETERS_5": "斯基特斯 5"
"LOGO_NUMBER3": "3 号"
"HAIR_COLOR_BLEACHED": "漂染"
"CUST_ITEM_FEMALE_NLM_OUTFIT_C": "哥特高定"
"CUST_WPN_UPGRADE_DESC_SPECIAL_STRIKE_4": "锁定更快，携弹更多。"
"CUST_TATTOO_NECK_2": "莉兹"
"CUST_COMP_BODY_MASK_2": "比基尼晒痕，短裤"
"CUST_COLOR_CLOTHING_ORANGE_8": "橙色 8"
"CUST_COMP_EYE_MAKEUP_16": "埃及祭司"
"VEHICLE_COLOR_BRUISED_PLUM_PURPLE": "淤青梅紫"
"CUST_VARIANT_BEAT_COP": "巡警徽章"
"VEHICLE_COLOR_TABLETOP_GRAY": "桌面灰"
"VEHICLE_COLOR_REGATTA_BLUE": "赛艇蓝"
"COMPONENT_OPTION_2": "选项 2"
"SK01": "皮肤 01"
"CUST_VARIANT_THIN_TRI_COLOR": "细三色"
"CUST_WEAR_TUCKED_BUTTONED_TIE": "塞衣，系扣，领带"
"CUST_TATTOO_LOWBACK_6": "暗藏王牌"
"VEHICLE_PAINT_HEROGLOSS_PAINT": "亮面"
"CUST_VARIANT_POLISHED_LEATHER": "抛光皮革"
"CUST_TATTOO_FACE_5": "量产"
"LOGO_BROTHERHOOD_2": "兄弟会 2"
"CUST_VARIANT_COLOR_BOTTOMS": "彩色下装"
"CUST_WEAR_FOREWARD": "前"
"CUST_COLOR_CLOTHING_VIOLET-RED_3": "紫红 3"
"CUST_COLOR_CLOTHING_BROWNS_2": "棕色 2"
"CUST_COMP_MUSTACHE_15": "下巴带须"
"CUST_TATTOO_RHAND_2": "骨纹"
"BRIGHT_YELLOW": "亮黄"
"CUST_COMP_FACE_MAKEUP_2": "分裂人格"
"HAIR_COLOR_PINK_MATTE": "哑光粉"
"CUST_VARIANT_STRIPESB": "条纹 2"
"CUST_COLOR_ROSE_2": "玫瑰 2"
"LOGO_NUMBER10": "10 号"
"RIM_SET_013": "轮辋套组 13"
"LOGO_K12": "K12 97.6"
"CUST_ITEM_CF_LLR_HAND_F_LACYGLOVE": "淘气女孩手套"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_4": "蓝紫 4"
"VEHICLE_COLOR_BRONZE": "青铜"
"CUST_VARIANT_TYEDYE": "样式 1"
"CUST_CAT_LOWER_BODY": "下身"
"CUST_COLOR_CLOTHING_GREENS_8": "绿色 8"
"CUST_TATTOO_STOMACH_6": "第三街圣徒"
"CUST_WEAR_TATTOO_MAY_LION": "五月狮"
"CUST_WEAR_FINGER_RR": "右手无名指"
"BRIGHT_PINK": "亮粉"
"CUST_SKIN_CAUCASIAN_04": "白人 4"
"FACIAL_EXPRESSION_INEBRIATED": "微醺"
"CUST_VARIANT_BUTTONED_SHIRT": "礼服衬衫"
"CUST_TATTOO_RARM_3": "兄弟会"
"VEHICLE_COLOR_TINT_80": "染色 80%%"
"RIM_157": "璀璨"
"SLOT_DECAL_9": "贴花 9"
"CUST_COLOR_CLOTHING_BLUES_9": "蓝色 9"
"VEHICLE_PAINT_CLOTH": "布"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_3": "增加弹药容量。 "
"CUST_GANG_HO": "街头客"
"COLOR_SLOT_PAINT_1_AND_TRIM": "喷漆 1 与饰条"
"CUST_VARIANT_PINSTRIPES": "暗细条纹"
"CUST_TATTOO_LFORARM_1": "封王"
"COLOR_SLOT_TRIM_2": "饰条 2"
"LOGO_FIRE": "消防员"
"CUST_VARIANT_SOLID2": "纯色面罩"
"CUST_ITEM_LEFT_UPPER_ARM_BARB_WIRE_01": "混战格斗臂甲"
"CUST_COMP_MUSTACHE_23": "门环须"
"CUST_VARIANT_LARGE_POLKA_DOTS": "大波点"
"CUST_WEAR_LOW_LEFT_UNZIPPED_RIGHT_ZIPPED": "左开拉，低腰"
"CUST_ITEM_CF_NLME_LBDY_F_KHAKIS": "迷彩七分裤"
"LOGO_GHETTO_1": "贫民窟音响 1"
"CUST_ITEM_CM_NLMD_LBDY_M_PANTS": "荧光长裤"
"CUST_ITEM_MALE_MURDERBRAWL_OUTFIT": "三秒压制男装"
"CUST_COLOR_CLOTHING_YELLOWS_1": "黄色 1"
"CUST_TATTOO_RUPPARM_1": "狼之魂"
"VEHICLE_PAINT_MODERN": "现代"
"SLOT_SPARE_TIRE": "备胎"
"MALE_OBESE": "男·肥胖"
"CUST_COLOR_CLOTHING_VIOLET_2": "紫罗兰 2"
"CUST_WEAR_BOTH_ROLLED_HIGH": "双卷，高腰"
"CUST_ITEM_CM_NECK_PEARLS": "典雅项链"
"CUST_ITEM_CM_IMPN_LBDY_M_PANTS": "都市长裤"
"CUST_ITEM_CF_IMPR_UBDY_F_SHIRT": "山丘休闲 T"
"CUST_TATTOO_LFORARM_5": "掌舵"
"CUST_VARIANT_COW": "牛"
"CUST_ITEM_CM_IMPL_LBDY_M_DRESSPANTS": "欧版长裤"
"CUST_GANG_LUCHADOR": "摔跤手"
"LOGO_NODRUGS": "拒绝毒品"
"CUST_VARIANT_DOTS": "圆点"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_3": "消音器提升伤害并降低后坐力。"
"CUST_COMP_MUSTACHE_27": "马蹄须"
"VEHICLE_COLOR_YELLOW_LIGHT_TINT": "淡黄染"
"VEHICLE_COLOR_MUSTARD_GREEN": "芥末绿"
"CUST_ITEM_FEMALE_PS_UNDWEAR_3": "圣徒狂野丁字裤"
"CUST_VARIANT_CIRCLE": "圆形"
"CUST_VARIANT_METAL": "金属"
"CUST_VARIANT_FADED": "褪色"
"CUST_ITEM_CM_DLC_KNIGHT": "骑士"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_4": "增加弹药容量。加长枪管提升伤害并降低后坐力。"
"VEHICLE_PAINT_CLASSIC_50_S___60_S": "经典 50 至 60 年代"
"CUST_COLOR_BRIGHT_GREEN": "亮绿"
"CUST_VARIANT_DROOPS": "下垂"
"CUST_ITEM_CF_LLI_LBDY_F_SHORTS": "紧身超短裤"
"CUST_COLOR_CLOTHING_VIOLET_6": "紫罗兰 6"
"SLOT_SECONDARY_SURFACES": "次要表面"
"LOGO_RFG": "RFG"
"CUST_COLOR_CLOTHING_YELLOWS_5": "黄色 5"
"CUST_TATTOO_RUPPARM_5": "你熟悉的恶魔"
"VEHICLE_COLOR_FOREST_GREEN": "森林绿"
"VEHICLE_COLOR_ORANGE_DARK_TINT": "深橙染"
"SLOT_SPINNERS": "旋叶"
"CUST_GANG_SPACE": "太空圣徒"
"RIM_SET_017": "轮辋套组 17"
"CUST_VARIANT_PATTERN_A": "样式 1"
"CUST_COLOR_RED_2": "红色 2"
"CUST_VARIANT_LARGE_STRIPE": "大条纹"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_3": "投掷更远。"
"CUST_TATTOO_STOMACH_2": "机器人桑"
"CUST_COMP_MUSTACHE_4": "达利"
"LOGO_KRUNCH": "热血 106.66"
"CUST_VARIANT_STRIPES_A": "条纹 1"
"CUST_WEAR_BOTH": "双"
"COLOR_SLOT_PAINT_TRIM_AND_RIMS": "喷漆、饰条与轮辋"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBOUP": "休闲连帽衫"
"CUST_ITEM_CF_PSF_UBDY_F_LEFLEUR": "圣徒花连帽衫"
"CUST_ITEM_CM_HAIR_TRIBALMULLET": "马埃罗鲻鱼头"
"CUST_ITEM_CM_LLN_FOOT_M_LSHOES": "迪斯科男跟鞋"
"tat_neck_fleur": "圣徒花"
"CUST_TATTOO_RARM_7": "部落环纹"
"RIM_153": "LX-2"
"CUST_WEAR_UNTUCKED_TOP_BUTTON": "不塞衣，顶扣"
"CUST_VARIANT_POLKA_DOT": "波点"
"CUST_ITEM_CF_RING_F_BIGGEM": "传家宝戒"
"LOGO_UNIVERSITY_NEWS": "斯蒂尔沃特大学新闻"
"LOGO_VOLITION_2": "Volition 2"
"LOGO_SECURITY_1": "安保 1"
"CUST_ITEM_CF_HAIR_MEDIUMBOB": "基础波波头"
"VEHICLE_COLOR_ORANGE_LIGHT_TINT": "淡橙染"
"RIM_130": "T130"
"CUST_ITEM_MALE_PS_UNDWEAR_1": "徽标平角裤"
"DARK_BLUE": "深蓝"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_A": "星际男"
"VEHICLE_COLOR_SNAPPER_RED": "咬龟红"
"CUST_COLOR_YELLOW_1": "黄色 1"
"CUST_COLOR_CLOTHING_RED_6": "红色 6"
"CUST_WPN_UPGRADE_DESC_MELEE_BAT_2": "提升伤害。"
"RIM_195": "AF1 单体黑 CX 504"
"CUST_COMP_FACE_WART_3": "疣 3"
"VEHICLE_COLOR_GALACTIC_DOVE_GRAY": "银河鸽灰"
"COMPONENT_EXTRA_LOW_PROFILE": "超低轮廓"
"player_lips": "口红"
"CUST_COLOR_CLOTHING_GREENS_4": "绿色 4"
"LOGO_UNIVERSITY_3": "斯蒂尔沃特大学 3"
"CUST_ITEM_CM_IMPL_UBDY_M_JSWEATERTN": "巴黎猫步夹克"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2A": "都市狩猎低领"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_8": "蓝紫 8"
"LOGO_NEVERLAND": "梦幻岛"
"FEMALE_ATHLETIC": "女·健美"
"CUST_ITEM_CF_DREADSINPIGTAILS": "脏辫双尾"
"SLOT_BED_OPTIONS": "货床改装"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2B": "都市狩猎 T 恤"
"CUST_ITEM_CM_HAIR_FLATTOP": "军人短发"
"CUST_COLOR_CLOTHING_BLUE-GREEN_3": "蓝绿 3"
"VEHICLE_COLOR_CANDY_CHEW_ORANGE": "糖果橙"
"VEHICLE_COLOR_CHAZ_BEIGE": "查兹米色"
"CUST_COLOR_CLOTHING_BLUES_5": "蓝色 5"
"VEHICLE_COLOR_BLUE_WAVE": "蓝波"
"SLOT_DECAL_5": "贴花 5"
"CUST_COLOR_BRIGHT_ORANGE": "亮橙"
"CUST_COLOR_BLUE_1": "蓝色 1"
"CUST_ITEM_CM_NLMA_UBDY_M_SPSHIRTVEST": "时髦蒸汽朋克"
"SLOT_NITROUS": "氮气"
"CUST_VARIANT_LARGEPLAID": "大格纹"
"CUST_VARIANT_MATERIAL__8": "材质 #8"
"CUST_WEAR_FINGER_LI": "左手食指"
"CUST_COMP_FACE_SCAR_4": "大伤疤 4"
"CUST_COMP_MUSTACHE_8": "法式须"
"LOGO_TEXAS": "德州"
"CUST_COLOR_CLOTHING_BLUE-GREEN_7": "蓝绿 7"
