"HITMAN_TARGET_33_SHORT_DESC": "黑帮头目头目不愿向圣徒低头"
"ACT_HITMAN_COMPLETE_MSG": "回来领取你的报酬"
"DIVERSION_CHALLENGES_POWERSLIDE_TIME": "动力漂移时间"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_TITLE_TEXT": "车顶冲浪"
"DIVERSION_DRIVEBY_DIVERSION_PARAMETERIZED_REWARD_STRING": "击杀数：%I/%I，表现达到 %ls 级，获得 [format][color:green]$%I[/format]"
"DIVERSION_COMBAT_TRICKS_CLOSE_KILL": "近距击杀"
"DIVERSION_CHOP_SHOP_NAME_3": "格里夫斯拆车坊"
"ACT_HITMAN_FINISH WITNESS_MSG": "全都解决了，回来领取你的奖金"
"DIVERSION_QTE": "痛扁"
"DIVERSION_COMBAT_TRICKS_SPECIALIST_KILL": "专家击杀"
"DIVERSION_BEST_JUMP_ROLL": "高空翻滚纪录"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_HANDSTAND_USE_TEXT": "倒立"
"DIVERSION_DRIVEBY_DIVERSION_ONLY_KILLS_FROM_CAR_COUNT": "只有车上的击杀才计数"
"DIVERSION_DRIVEBY_DIVERSION_KILL_BEFORE_ESCAPE_STRING": "别让[format][color:red]帮派成员[/format]逃走"
"DIVERSION_COMBAT_TRICKS_THROWN_KILL_FORMAT_FEET": "投掷距离：%.1f 英尺"
"COLLECTION_FOUND_SUBTITLE": "已发现"
"DIVERSION_HOSTAGE_START_MESSAGE": "开始人质即时挑战"
"DIVERSION_COMBAT_TRICKS_TESTICLE_KILL": "爆蛋击杀"
"ACT_HITMAN_COMPLICATION_CAR_TYPE": "使用 %s 完成暗杀将获得奖金"
"DIVERSION_CANCELED": "即时挑战已取消"
"DIVERSION_CHALLENGES_LUCHADORE_SPECIALISTS": "击杀摔跤手专家"
"DIVERSION_COMBAT_TRICKS_MULTI_KILL": "多重击杀"
"DIVERSION_SAFECRACKING_TITLE": "商店抢劫"
"DIVERSION_HOSTAGE_EXPLAINATION": "甩掉警察"
"DIVERSION_CHALLENGES_HOSTAGES_TAKEN": "劫持的人质"
"DIVERSION_CHALLENGES_GET_MELEE_KILLS": "近战击杀"
"DIVERSION_STOPPIE": "翘尾"
"ACT_HITMAN_START_MSG": "干掉[format][color:red]目标[/format]"
"DIVERSION_COMPLETED": "即时挑战已完成"
"DIVERSION_COMBAT_TRICKS_SPRINT_ATTACK": "冲刺击倒"
"ACT_HITMAN_TARGET_LEFT_COUNT": "目标：%I/%I"
"HITMAN_TARGET_DECOY_KILLED": "这是个陷阱，那只是诱饵。去干掉真正的目标！"
"DIVERSION_EXPLORATION_SECRET_TITLE": "秘密地点"
"TUT_TITLE_DIV_INTRO_COOP_CAT_AND_MOUSE": "合作猫鼠游戏"
"DIVERSION_COOP_SURVIVAL_TITLE": "合作生存"
"DIVERSION_FLASHING_HELP_TEXT": "按下 %ls 朝路人露械！"
"DIVERSION_CHOP_SHOP_NAME_5": "人道主义援助公司 "
"DIVERSION_COOP_GSI_OTHER_SCORE": "%s的分数："
"DIVERSION_TAUNTING": "挑衅"
"DIVERSION_HIJACKING_TITLE": "杜克兄弟！"
"DIV_FLASHING_COMPLETE": "露械即时挑战全部关卡完成！"
"CHOP_SHOP_CASH": "现金"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_4_STRING": "小毛贼"
"DIVERSION_STORE_HOLDUP_TEXT": "商店抢劫"
"ACT_HITMAN_FIRST KILL_MSG": "干掉剩下的[format][color:red]目标[/format]"
"ACT_HITMAN_COMP WITNESS_MSG": "别留下任何目击者！"
"DIVERSION_COMBAT_TRICKS_BRUTE_KILL": "壮汉击杀"
"DIVERSION_COMBAT_TRICKS_BEAT_DOWN_KILL": "痛扁"
"DIVERSION_COOP_SUCCESS_HOST_LOSE": "你输了。按 {PICKUP_RELOAD_IMG} 再玩一局，或按 {ACTION_IMG} 退出。"
"DIVERSION_COMBAT_TRICKS_NUT_SHOT_KILL": "打蛋"
"DIVERSION_FAILED": "即时挑战失败"
"DIVERSION_DRIVEBY_TITLE_TEXT": "飞车射击即时挑战"
"DIVERSION_COMBAT_TRICKS_THROWING": "投掷"
"DIVERSION_BARNSTORMING_SUBTITLE": "发现的地点"
"DIVERSION_HOSTAGES_KIDNAPPED": "你绑架了人质"
"DIVERSION_EXPLORATION_DISTRICT": "已探索 %ls"
"DIVERSION_WHORING_TIME_UP_TEXT": "你应该为自己感到羞耻"
"DIVERSION_SURVIVAL_WAVE_COMPLETED": "波次完成！"
"DIVERSION_COMBAT_TRICKS_PROP_KILL": "残暴击杀"
"DIVERSION_BASE_JUMPING": "低空跳伞 "
"DIVERSION_DRIVEBY_DIVERSION_OUT_OF_TIME": "你时间用完了"
"DIVERSION_SURVIVAL_CAMERAMAN_DEATH_TEXT": "你的摄像师死了。"
"DIVERSION_BASE_JUMPING_USE_MESSAGE": "打开降落伞"
"DIVERSION_CHALLENGES_KILL_MORNINGSTAR": "击杀晨星帮"
"DIVERSION_COMBAT_TRICKS_EXPLOSIVE_KILL": "爆炸击杀"
"DIVERSION_COMBAT_TRICKS_REGULAR_KILL": "击杀"
"DIVERSION_BEST_JUMP_HEIGHT": "高空高度纪录"
"DIVERSION_BARNSTORMING": "低空穿越"
"DIVERSION_HOSTAGES_ESCAPED": "所有人质都逃走了。"
"DIVERSION_BURNOUT_TITLE": "烧胎"
"PAUSE_ACT_HITMAN_VIEW_TARGET": "选择目标"
"DIVERSION_HYDRAULICS_STYLE_1_TITLE": "液压悬挂"
"DIVERSION_BACK_SEAT_DRIVER_DISTANCE": "碾杀距离纪录"
"DIVERSION_CHALLENGES_PARACHUTE_MOVES": "跳伞特技"
"DIVERSION_STUNT_JUMPING_STATS_SPIN": "旋转 %.0f{temp_degrees}"
"DIVERSION_BEST_JUMP_DISTANCE": "高空距离纪录"
"DIVERSION_CHALLENGES_KILL_MASCOTS_D": "那些泡沫橡胶的混蛋真是让我毛骨悚然。打小就这样，哥们。那个热狗人，他……算了。帮我干掉他们，好吗？"
"DIVERSION_DRIVEBY_DIVERSION_FAILED_TO_KILL_FROM_CAR": "你必须从载具上击杀帮派成员"
"DIVERSION_COOP_SUCCESS_CLIENT_TIE": "平局。按 {PICKUP_RELOAD_IMG} 继续。"
"DIVERSION_DRIVEBY_DIVERSION_NUM_SPOTS_COMPLETE_PARAMETERIZED": "已完成 %i/%i 处飞车射击！"
"DIVERSION_DRIFTING_BEST": "动力漂移纪录"
"DIVERSION_QTE_TITLE": "痛扁"
"DIVERSION_CHOP_DELIVERED": "%s\n已交付"
"DIVERSION_BASE_JUMPING_RECORD_FALL": "最高低空跳伞"
"DIVERSION_BARNSTORMING_COMPLETE": "你找到了全部空中特技点！太棒了！"
"DIVERSION_CHALLENGES_CHAINSAW_KILLS": "电锯击杀"
"DIVERSION_CHALLENGES_RUN_OVER_CIVILIANS": "碾过的行人"
"DIVERSION_CHOP_SHOP_NAME_4": "里格海空补给站"
"DIVERSION_CHALLENGES_DESTROY_STAG_VEHICLES": "摧毁 STAG 载具"
"HITMAN_START": "领取暗杀目标名单"
"DIVERSION_CHOP_SHOP_COOP_COLLECTION_REWARD": "你因帮助合作搭档获得了 $%d 和 %d 点声望。"
"ACT_HITMAN_WARN WITNESS_MSG": "解决掉目击者"
"DIVERSION_SURVIVAL_NEXT_LOCATION_TAG": "跟着小地图上的指示前往下一个地点"
"DIVERSION_DRIFTING_TITLE": "动力漂移"
"DIVERSION_CHOP_SHOP_NAME_1": "迪特拆车坊"
"DIVERSION_VEHICLE_SURFING_BEST_HANDSTAND_TIME": "倒立纪录"
"DIVERSION_BEST_WHEELIE_FEET": "翘头纪录：%.0f 英尺"
"DIVERSION_BASE_JUMPING_START": "设置低空跳伞目标点"
"DIVERSION_CHALLENGES_SURVIVAL_COMPLETED": "生存完成"
"DIVERSION_CHALLENGES_MINUTE_SURF": "车顶冲浪时长"
"DIVERSION_COMBAT_TRICKS_HELI_KILL": "飞行器击杀"
"ACT_HITMAN_KILL WRONG_MSG": "[format][color:red]目标[/format]未按指定方式杀死。你不会获得奖金。"
"DIVERSION_CHALLENGES_GRENADE_KILLS": "手雷击杀"
"DIVERSION_BEST_WHEELIE": "翘头纪录"
"DIVERSION_BACK_SEAT_DRIVER_TITLE": "碾杀"


