"DROP_SPHERE": "给予能量球"
"STAT_VEHICLE_AIRCRAFT": "飞行器"
"STAT_WEAPON_RPG": "RPG"
"STAT_COOP_DEATHS": "双人合作：玩家造成的死亡数"
"STAT_SNATCH_PIMPS_KILLED": "快抢：击杀掮客数"
"STAT_DRIVING_NEARMISS_CHAIN": "最长惊险擦身连击"
"ESCORT_NAME_14B": "约翰逊"
"ESCORT_NAME_7B": "项链"
"GIANT_PLAYER_DESC": "你吃了你的青豆，长成了大个子。"
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "你愿意花 %s 购买并保存“%s”吗？"
"TUT_CRIB_GARAGE": "按 {ACTION_IMG} 把这辆载具存入车库"
"STAT_AIRCRAFT_DESTROYED": "摧毁飞行器数"
"STAT_SMG_HIT_PCT": "冲锋枪命中率"
"ESCORT_NAME_16B": "漩涡"
"ESCORT_NAME_5B": "淋浴"
"PURCHASEABLE_PROPERTEY_POWER": "电力照明公司"
"STAT_DRIVING_BAILOUT_RESPECT": "跳车获得声望"
"STAT_DRIVING_WRONGWAY_RESPECT": "逆行车道获得声望"
"ESCORT_NAME_10B": "指虎"
"ESCORT_NAME_3B": "拳"
"CONFIRM_WEAR_OUTFIT": "你确定要穿上这套装扮吗？"
"HORDE_MODE_MENU_RETRY": "重试"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "生存时间"
"HORDE_MODE_WEAPON_UPGRADE": "你的 %ls 现已升至第 %i/%i 级"
"STAT_STREAKING_PEOPLE": "天体经过人数"
"STAT_CRIBS_ACQUIRED": "已收购据点数"
"ESCORT_NAME_12B": "富兰克林"
"ESCORT_NAME_1B": "桑切斯"
"HUD_FOUND_CASH": "你从藏金处取出了 %ls！"
"VCUST_RIM_STYLE_OPTION": "轮毂样式"
"STAT_DRIVING_TWOWHEELS_TIME": "双轮行驶最长时间"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "挡风玻璃炮弹最远距离"
"ESCORT_NAME_16A": "挠痒"
"ESCORT_NAME_5A": "金色"
"DELETE_OUTFIT": "删除装扮"
"VCUST_HIGH_PROFILE": "高扁平"
"STAT_TEAM_LUCHADORES": "摔跤手帮"
"STAT_ESCORT_LEVELS_COMPLETED": "护送已完成"
"STAT_COMBAT_HEADSHOT_RESPECT": "爆头获得声望"
"STAT_MAYHEM_BEST_COMBO": "大破坏：最佳连击"
"ESCORT_NAME_14A": "滚烫"
"ESCORT_NAME_7A": "珍珠"
"STAT_COOP_GANG_NOTORIETY_TIME": "合作：最高帮派恶名持续时长"
"STAT_DECKERS_KILLED": "击杀赛博帮"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "要查看成就，你需要先登录玩家档案。 "
"ESCORT_NAME_12A": "湿润"
"ESCORT_NAME_1A": "下流"
"GARAGE_DOCK": "船坞"
"STAT_BIG_AIR_LONGEST_JUMP": "大腾空：最长跳跃"
"STAT_STAG_KILLED": "STAG 击杀数"
"STAT_MISSION_SUCCESS_RATE": "任务成功率"
"STAT_MAYHEM_DAMAGE_DONE": "大破坏：造成伤害"
"STAT_DRIVING_WHEELIE_RESPECT": "翘头获得声望"
"ESCORT_NAME_10A": "愤怒"
"ESCORT_NAME_3A": "驴"
"GARAGE_INSUFFICIENT_FUNDS": "你的钱不够修复这辆载具。"
"STAT_JUMPS_FOUND": "特技跳跃点发现数"
"STAT_FRAUD_LEVELS_COMPLETED": "碰瓷索赔已完成"
"STAT_DRIVING_WRONGWAY_TIME": "最长逆行车道行驶"
"STAT_HOMIEZ_ACQUIRED": "已招募兄弟数"
"STAT_DRIVING_WHEEILE_TIME": "最长翘头时长"
"STAT_COMBAT_ONE_HIT": "一击必杀数"
"HUD_RETRY_MISSION_MESSAGE_FULL": "重试任务会让你失去任务中获得的武器或声望。"
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "器官黑市"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "你确定要离开队友火力吗？"
"VCUST_REAR_AXLE_OPTION": "后轴"
"STORE_TITLE_WITHDRAW": "取出"
"HORDE_MODE_TITLE_FAIL": "第 {0} 波完成"
"HORDE_MODE_KILL_COUNT": "击杀数"
"STAT_DRIVING_NEARMISS": "惊险擦身"
"STAT_DRIVING_BURNOUT": "烧胎"
"CUST_ICON_WRISTS": "手腕"
"MUSIC_METAL": "金属"
"MENU_EXPORT_SIGN_IN_FULL": "你必须登录 Xbox LIVE\n才能导出到多人模式。"
"STORE_LEVEL_REQ": "需要等级 {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "你已经拥有这把武器了。"
"ESCORT_NAME_9A": "滑溜"
"DEALER_NO_SPACE": "你的车库没有足够空间停放 %s。"
"STAT_MILES_BY_BIKE": "摩托车行驶里程（英里）"
"STAT_ACTIVITY_CASH_EARNED": "活动赚取现金"
"ESCORT_NAME_18A": "下流"
"STAT_DRIVING_BACKSEAT": "碾杀"
"STAT_DRIVING_TWOWHEELS_RESPECT": "双轮行驶获得声望"
"STAT_MAX_STUNT_FALL_DIST": "最长坠落距离"
"STAT_ARRESTS": "被捕次数"
"ESCORT_NAME_33B": "蝴蝶"
"RADIO_STATION_OFF": "关闭"
"STAT_DEATHS": "死亡次数"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "已存活"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "猫捉老鼠：单轮最多击杀数"
"STAT_RPG_SHOTS_FIRED": "RPG 射击次数"
"STAT_STREAKING_CASH": "天体获得声望"
"STAT_TAUNT_RESPECT": "嘲讽获得声望"
"ESCORT_NAME_31B": "蜥蜴"
"QUIT_GAME_TEXT_FULL": "你确定要退出吗？\n(任何未保存的进度都会丢失。)"
"GARAGE_REPAIR": "修复"
"STAT_COMBAT_ONE_HIT_RESPECT": "一击必杀获得声望"
"STAT_CHOPSHOP_VEHICLES": "拆车坊收集车辆数"
"HUD_CRIB_CHANGE_RADIO_STATION": "切换电台"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "黑货押运：满意买家数"
"STAT_COMBAT_MULTI_RESPECT": "多重击杀获得声望"
"ESCORT_NAME_37B": "淋浴"
"HORDE_MODE_WAITING_FOR_HOST": "正在等待主机。"
"ESCORT_NAME_38_A": "顺时针"
"ESCORT_NAME_35B": "响尾蛇"
"WEAR_OUTFIT_TITLE": "穿上装扮"
"WARDROBE_REMOVE_OUTFIT_TITLE": "移除装扮"
"PURCHASEABLE_PROPERTEY_WARF": "亨利钢铁码头"
"STAT_STREAKING_TOTAL_TIME": "天体总时长"
"STAT_FAVORITE_TRANSPORTATION": "最常用的交通方式"
"ESCORT_NAME_29A": "皇家"
"MENU_TITLE_INSUFFICIENT_FUNDS": "现金不足"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "你的钱不够购买这件物品。"
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "嘲讽帮派成员总数"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "称赞他人总数"
"ESCORT_NAME_39_B": "揉捏"
"STAT_LUCHADORES_KILLED": "击杀摔跤手帮"
"STAT_DRIVING_BAILOUT": "跳车"
"STATS_NONE": "无"
"ESCORT_NAME_27A": "疯狂"
"DEMO_FREEPLAY": "自由模式"
"CUST_BROWSER_TITLE": "自定义浏览"
"HORDE_MODE_QUIT_TEXT": "确定要退出吗？\n(这会结束双方玩家的狂潮模式)"
"STAT_MAX_WRONG_WAY_DISTANCE": "最远逆行车道距离"
"STAT_PEOPLE_RUN_OVER": "碾过的行人"
"STAT_AERIAL_STUNTS_FOUND": "低空穿越点发现数"
"PLAYER_CREATION_ABOUT_TO_REVERT": "要取消这些修改吗？"
"STORE_NOT_AVAILABLE": "不可用"
"VEHICLE_FREE": "免费"
"STAT_COOP_MISSIONS_COMPLETED": "双人合作：任务完成数"
"STAT_COMBAT_NUTSHOT_RESPECT": "蛋击获得声望"
"ESCORT_NAME_25A": "复仇"
"HAIR_CAT_NONE": "无"
"STAT_PHOTO_OP_FOUND": "拍照点发现数"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "打劫商店数"
"STAT_HUMAN_TORCH_BONUS_EARNED": "烈火流星：获得的奖励时间"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "跳车最远距离"
"ESCORT_NAME_23A": "臭烘烘"
"RADIO_STATION_KRHYME": "KRHYME"
"VCUST_FRONT_AXLE_OPTION": "前轴"
"LINGERIE_STORE_NAME": "皮革与蕾丝"
"STORE_WEAPON_STORE_MSG": "购买武器"
"HASH_E632737E": "游戏完成度"
"VCUST_PURCHASE_WHEELS_PROMPT": "你愿意花 ${0} 购买这套轮胎配置吗？"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "医院"
"STAT_MAYHEM_OBJECTS_DESTROYED": "大破坏：摧毁物体数"
"STAT_COMBAT_CAR_RESPECT": "帮派载具击杀获得声望"
"ESCORT_NAME_21A": "潜水"



