// extra_dumps ref: menu - JP/CZ reference for keys in extra_menu_us.txt
"INFO_UNLOCKABLES_STRONGHOLDS": "JP: アジト || CZ: PEVNOSTI"
"RADIO_STATION_GENRE_KABRON": "JP: アーバンラテンとレゲトン || CZ: URBAN LATIN A RAEGGAETON"
"INFO_MESSAGES_TITLE": "JP: メッセージ履歴 || CZ: ZPRÁVY"
"HASH_B4D3C27C": "JP: シャープニング || CZ: OSTŘENÍ"
"HASH_E64E117C": "JP: ゲームのインストールが終わっていません。時間を改めてもう一度お試しください。 || CZ: Instalace Hry Nebyla Dokončena. Zkuste To Prosím Později."
"PAUSE_MAP_FILTER_ALL": "JP: すべて || CZ: VŠE"
"NO_MISSIONS_COMPLETED": "JP: まだミッションをクリアしていない || CZ: ŽÁDNÁ DOKONČENÁ MISE"
"INFO_UNLOCKABLES_ACTIVITIES": "JP: アクティビティ || CZ: AKTIVITY"
"MAINMENU_CREDITS": "JP: クレジット || CZ: TVŮRCI HRY"
"HELP_TEXT_SKYDIVE_FLIP": "JP: {JUMP_CLIMB_IMG}：宙返り || CZ: STISKNUTÍM {JUMP_CLIMB_IMG} PROVEDEŠ SALTO"
"CONTROLS_DESC_BLOCK": "JP: 防御 || CZ: KRYTÍ"
"HASH_276536FE": "JP:     被写界深度 || CZ:     HLOUBKA OSTROSTI"
"PAUSE_MAP_FILTER_CRIBS": "JP: アジト || CZ: BEJVÁKY"
"INFO_UNLOCKABLES_HEALTH": "JP: 体力 || CZ: ZDRAVÍ"
"INFO_MESSAGES": "JP: メッセージ履歴 || CZ: ZÁZNAMNÍK ZPRÁV"
"CONTROLS_SETUP_FOOT_SCHEMES": "JP: 徒歩操作方法 || CZ: SCHÉMATA PĚŠÍHO OVLÁDÁNÍ"
"CONTROL_DESC_FOOT_SEL_WPN": "JP: 武器選択 || CZ: VYBRAT ZBRAŇ"
"CELL_HEADER_ACTIVATED": "JP: 有効にする || CZ: AKTIVOVÁNO"
"HASH_7B795C7F": "JP: ダイナミックオブジェクトで反射品質を向上 || CZ: ZVÝŠENÁ KVALITA ODRAZŮ DYNAMICKÝCH OBJEKTŮ"
"MENU_DISPLAY_SUBTITLES": "JP: 字幕 || CZ: TITULKY"
"MAINMENU_DOWNLOADS": "JP: ダウンロード コンテンツ || CZ: STAŽITELNÝ OBSAH"
"INFO_DIVERSIONS_TITLE": "JP: デバージョン || CZ: BOKOVKY"
"CONTROL_DESC_FOOT_PICKUP": "JP: （長押し）武器／拾う || CZ: (PŘIDRŽET) SEBRAT PŘEDMĚT"
"CELL_VEHICLE_DIALOG_REPAIRS_BODY": "JP: {0}ドルで車両を修理して回収しますか？ || CZ: Chceš opravit a získat svůj vůz za {0} dolarů?"
