// extra_dumps ref: static - JP/CZ reference for keys in extra_static_us.txt
"STAT_DRIVING_TWOWHEELS": "JP: 片輪走行 || CZ: JÍZDA PO DVOU KOLECH"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "JP: デリバリー：満足させたバイヤー || CZ: DROGOVÝ OBCHOD: SPOKOJENÍ KUPCI"
"STAT_COMBAT_MULTI_RESPECT": "JP: マルチキルで獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA HROMADNÁ ZABITÍ"
"ESCORT_NAME_37B": "JP: シャワー || CZ: SPRCHA"
"HORDE_MODE_WAITING_FOR_HOST": "JP: ホスト待ち || CZ: Čeká se na hostitele."
"ESCORT_NAME_38_A": "JP: クロックワイズ || CZ: ROTAČNÍ"
"ESCORT_NAME_35B": "JP: ラトルスネイク || CZ: CHRESTÝŠ"
"WEAR_OUTFIT_TITLE": "JP: 衣服セットを着る || CZ: NASADIT KOMPLET"
"WARDROBE_REMOVE_OUTFIT_TITLE": "JP: 衣服を削除する || CZ: ODSTRANIT KOMPLET"
"PURCHASEABLE_PROPERTEY_WARF": "JP: HENRY STEEL WHARF || CZ: OCELÁRNA HENRY"
"STAT_STREAKING_TOTAL_TIME": "JP: ストリーキング時間合計 || CZ: ČAS STRÁVENÝ JAKO NAHÁČ"
"STAT_FAVORITE_TRANSPORTATION": "JP: お気に入りの移動モード || CZ: OBLÍBENÝ DOPRAVNÍ PROSTŘEDEK"
"ESCORT_NAME_29A": "JP: ロイヤル || CZ: VLÁDNOUCÍ"
"MENU_TITLE_INSUFFICIENT_FUNDS": "JP: 資金不足 || CZ: NEDOSTATEK PENĚZ"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "JP: 購入資金が足りません || CZ: Na tento nákup nemáš dost peněz."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "JP: 挑発したギャングメンバー || CZ: URÁŽKY GANGSTERŮ"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "JP: 敬意を表した人数 || CZ: POKLONY"
"ESCORT_NAME_39_B": "JP: ニード || CZ: MASÍRKA"
"STAT_LUCHADORES_KILLED": "JP: 倒したルチャドール || CZ: ZABITÍ LUCHADOROVÉ"
"STAT_DRIVING_BAILOUT": "JP: 脱出 || CZ: KATAPULTY"
"STATS_NONE": "JP: なし || CZ: NIC"
"ESCORT_NAME_27A": "JP: クレイジー || CZ: ŠÍLEJÍCÍ"
"DEMO_FREEPLAY": "JP: 無料体験版 || CZ: VOLNÁ HRA"
"CUST_BROWSER_TITLE": "JP: カスタマイズ選択画面 || CZ: PROHLÍŽEČ ÚPRAV"
"HORDE_MODE_QUIT_TEXT": "JP: 終了してもよろしいですか？\n両プレイヤーの千人切りモードを終了します || CZ: Opravdu chceš skončit?\n(Tím se kurví režim ukončí pro oba hráče)"
"STAT_MAX_WRONG_WAY_DISTANCE": "JP: 逆走の最長距離 || CZ: NEJDELŠÍ JÍZDA V PROTISMĚRU"
"STAT_PEOPLE_RUN_OVER": "JP: ひいた人数 || CZ: PŘEJETÍ LIDÉ"
"STAT_AERIAL_STUNTS_FOUND": "JP: 見つけたアクロバットスポット || CZ: NALEZENÉ AKROBATICKÉ PRVKY"
"PLAYER_CREATION_ABOUT_TO_REVERT": "JP: これらの変更をキャンセルしますか？ || CZ: Chceš zrušit provedené změny?"
"STORE_NOT_AVAILABLE": "JP: 在庫なし || CZ: NENÍ K DISPOZICI"
"VEHICLE_FREE": "JP: 無料 || CZ: VOLNÝ"
"STAT_COOP_MISSIONS_COMPLETED": "JP: 協力プレイ：クリアしたミッション || CZ: KOOPERATIVNÍ REŽIM: DOKONČENÉ MISE"
"STAT_COMBAT_NUTSHOT_RESPECT": "JP: 急所攻撃で獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ZÁSAHY DO ROZKROKU"
"ESCORT_NAME_25A": "JP: アヴェンジング || CZ: MSTÍCÍ"
"HAIR_CAT_NONE": "JP: なし || CZ: ŽÁDNÉ"
"STAT_PHOTO_OP_FOUND": "JP: 見つけたシャッターチャンス || CZ: FOTOGRAFIE OD FANOUŠKŮ"
"STATS_DISTANCE_METERS": "JP: %0.2fm || CZ: %0.2fm"
"STAT_HOLDUP_ROBBED": "JP: 強盗した店舗数 || CZ: VYKRADENÉ OBCHODY"
"STAT_HUMAN_TORCH_BONUS_EARNED": "JP: ファイアレース：獲得したタイムボーナス || CZ: ŽIVÁ POCHODEŇ: ZÍSKANÝ BONUSOVÝ ČAS"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "JP: ドライバー脱出最長距離 || CZ: MAXIMÁLNÍ VZDÁLENOST KATAPULTU"
"ESCORT_NAME_23A": "JP: スティンキー || CZ: SMRDÍCÍ"
"RADIO_STATION_KRHYME": "JP: KRHYME || CZ: KRHYME"
"VCUST_FRONT_AXLE_OPTION": "JP: 前車軸 || CZ: PŘEDNÍ NÁPRAVA"
"LINGERIE_STORE_NAME": "JP: LEATHER & LACE || CZ: LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "JP: 武器を購入 || CZ: NAKOUPIT ZBRANĚ"
"HASH_E632737E": "JP: ゲーム達成率 || CZ: DOKONČENO PROCENT HRY"
"VCUST_PURCHASE_WHEELS_PROMPT": "JP: このホイールセットを{0}ドルで購入しますか？ || CZ: Chceš koupit toto nastavení kol za {0} dolarů?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "JP: HOSPITAL || CZ: NEMOCNICE"
"STAT_MAYHEM_OBJECTS_DESTROYED": "JP: メイヘム：破壊したオブジェクト || CZ: VANDALSTVÍ: ZNIČENÉ OBJEKTY"
"STAT_COMBAT_CAR_RESPECT": "JP: ギャングの車を破壊して獲得したリスペクト || CZ: RESPEKT ZÍSKANÝ ZA ZABITÍ VOZEM"
"ESCORT_NAME_21A": "JP: ダイビング || CZ: POTÁPĚJÍCÍ SE"
