// extra_dumps: customize - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"CUST_ITEM_CF_PSG_HAT_F_DRIVINGCAP": "GRANDPA HAT"
"PLAYER_MORPH_JOWLS_SPACING_TEXT": "JOWL SPACING"
"PLAYER_CREATION_AGE_YOUNG": "YOUNG"
"PLAYER_MORPH_TIPS_ELEVATION_TEXT": "TIP HEIGHT"
"PLAYER_CREATION_PRESET_HISPANIC": "HISPANIC"
"CUST_WEAR_ZIPPED_HOOD_DOWN": "ZIPPED, HOOD DOWN"
"FACIAL_EXPRESSION_DEATH_A": "DEATH 1"
"FACIAL_EXPRESSION_BLANK": "BLANK"
"PLAYER_MORPH_NOSE_ELEVATION_TEXT": "NOSE ELEVATION"
"CUST_VARIANT_SQUARES": "SQUARES"
"CUST_WEAR_TUCKED_ZIPPED": "TUCKED, ZIPPED"
"CUST_ITEM_CM_PSC_FOOT_M_SNEAKERS": "HI-TOPS"
"PLAYER_MORPH_TEMPLE_WIDTH_TEXT": "TEMPLE WIDTH"
"CUST_ITEM_CM_NLME_EYES_M_SUNGLASSES": "NETWORK SUNGLASSES"
"PLAYER_MORPH_MOUTH_EDGES_TEXT": "MOUTH EDGES"
"CUST_ITEM_CF_LLR_NECK_F_IVORYCHOKER": "SEDUCTRESS CHOKER"
"CUST_CAT_HAIR_EYEBROWS": "EYEBROWS"
"CUST_EXIT_WARNING_TITLE": "WARNING"
"PLAYER_CREATION_FIGURE_ATHLETIC": "ATHLETIC"
"PLAYER_MORPH_NOSE_TIP_TEXT": "NOSE TIP"
"VCUST_UNDERGLOW_COLOR": "UNDERGLOW COLOR"
"CUST_ITEM_LEATHER_LACE_MALE_I": "ROAD HOG"
"CUST_ITEM_CM_HAT_CARDINAL_HAT": "CARDINAL HAT"
"CUST_MENU_LOGO_COLOR": "LOGO COLOR"
"CUST_VARIANT_MATERIAL_15": "CUST_VARIANT_MATERIAL#15"
"CUST_ITEM_CM_LPC_FOOT_M_HEROBOOTS": "STEELPORT HERO BOOTS"
"CUST_VARIANT_STRIPE_2": "HORIZONTAL STRIPES"
"CUST_WEAR_LOW_BOTH_ZIPPED": "LOW"
"NOBODY_LOVE_NAME": "NOBODY LOVES ME"
"CUST_ITEM_CF_RING_F_LDYBUG_SPIDER": "BUGGIN' OUT RINGS"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2D": "URBAN SAFARI WITH TURTLE NECK"
"CUST_SKIN_BLUE_1": "UNDERGROUND ELF"
"CUST_COMPLIMENT_Z": "THUMBS UP"
"JEWELRY2_NAME": "BLING BLING"
"PLAYER_MORPH_LIP_NOTCH_TEXT": "LIP NOTCH"
"PLAYER_MORPH_JOWLS_TEXT": "JOWLS"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_SUSPENDERS": "E. High Pants, Suspenders"
"CUST_BODY_MASK": "BODY MASK"
"CUST_COLOR_ORANGE_3": "ORANGE 3"
"CUST_WEAR_TATTOO_SAM_DESIGN1": "SAM DESIGN 1"
"CUST_WEAR_BUTTONED_HOOD_UP": "BUTTONED, HOOD UP"
"CUST_ITEM_ZIMOS_BLING_PACK": "Z STYLE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHRTBTTNS": "MOD MALE"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_D": "LETS PRETEND MALE D"
"CUST_CAT_HAIR_FACIAL": "FACIAL HAIR"
"CUST_SAMEDI_TAUNT_A": "SAMEDI TAUNT 1"
"CUST_INSULT_HOOK": "RIGHT HOOK"
"CUST_MENU_HAIR": "HAIR"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_I": "HIP HOP LEGEND"
"CUST_CAT_MAKEUP_AROUND_EYES": "AROUND EYES"
"CUST_SAMEDI_COMPLIMENT_D": "SAMEDI COMPLIMENT 4"
"CUST_SKIN_RED_YELLOW_5": "SICKLY YELLOW"
"CUST_SKIN_METAL_2": "MERCURY"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_H": "GANGSTA GIRL"
"CUST_CAT_LEFT_HAND": "LEFT HAND"
"PLAYER_MORPH_EYEBALLS_ELEVATION_TEXT": "EYEBALL HEIGHT"
"PLAYER_MORPH_CHEEK_WIDTH_TEXT": "CHEEK WIDTH"
"SLOT_WINDOW_GUARD": "WINDOW GUARDS"
"CUST_VARIANT_MATERIAL_#172": "NORMAL"
"CUST_ITEM_CM_PSJ_UBDY_M_BDSHIRTVEST": "SWEATER VEST AND SHIRT"
"CUST_ITEM_THREE_QUARTER_T_SHIRT": "TWIRLY ZINGZINGS"
"CUST_ITEM_LEFT_UPPER_ARM_GEISHA_02": "KNOCKOUT BANDAGES"
"STORE_WEAPON_OWNED": "OWNED"
"CUST_VARIANT_FLOWERS": "FLOWERS"
"CUST_WEAR_BACK LEFT": "BACK LEFT"
"LOGO_VOLITION_3": "VOLITION 3"
"CUST_PRIMARY_COLOR": "PRIMARY COLOR"
"PLAYER_MORPH_SKULL_SIZE_TEXT": "SKULL SIZE"
"PLAYER_MORPH_LOWER_LIP_NOTCH_TEXT": "LOWER LIP NOTCH"
"CUST_ITEM_CM_NLMC_UBDY_M_SHIRTCOMBO": "RAVE X KANDY KONSTRUCTION"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPUP": "WOMEN'S TRACK TOP UP"
"CUST_TATTOO_HEAD": "HEAD"
"PLAYER_MORPH_LOWER_LIP_SIDES_SIZE_TEXT": "LOWER LIP SIDE SIZE"
"CUST_SKIN_RED_YELLOW_1": "DEVILISH RED"
"CUST_VARIANT_BAGGAGE": "BAGGAGE"
"CUST_ITEM_CM_PSF_UBDY_M_JERSEY23": "MENS FREE THROW JERSEY"
"CUST_VARIANT_PLAID_SMALL": "PLAID 1"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-UP": "MARSHMALLOW COAT"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_SIZE_TEXT": "LOWER LIP MIDDLE SIZE"
"CUST_VARIANT_TRIANGLE": "TRIANGLE"
"CUST_VARIANT_POLICE_CHIEF": "CHIEF BADGE"
"CUST_ITEM_CM_NECK_ROPECHAIN": "LIGHT CHAIN"
"CUST_ITEM_CM_LPE_HAND_M_GLOVESCOMB": "FUTURE SOLDIER GLOVES"
"CUST_ITEM_CM_DLC_HEAD_M_SHARKHAT": "SHARK BITE HAT"
"FACIAL_EXPRESSION_DISGUSTED": "DISGUSTED"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2C": "URBAN SAFARI 3/4 LENGTH T SHIRT"
"CUST_ITEM_CM_LPG_MASK_M_MASKDOG": "DOGGY STYLE"
"CUST_VARIANT_CLOUDS": "CLOUDS"
"CUST_ITEM_CM_RADIATIONSUIT": "BURNIN' FOR YOU"
"CUST_ITEM_CF_LPH_UBDY_F_CLSWEATER": "GO TEAM! SWEATER"
"CUST_ITEM_CM_LPH_NECK_M_PIRATENECKLACE": "PIRATE'S BOUNTY"
"CUST_INSULT_Q": "EFF YOU"
"LOGO_UNIVERSITY_2": "STILWATER U 2"
"CUST_CAT_HAIR_HEAD": "HEAD"
"CUST_SKIN_BLUE_5": "FROZEN BLUE"
"PLAYER_MORPH_OUTER_BROW_ELEVATION_TEXT": "OUTER BROW HEIGHT"
"CUST_VARIANT_SHIRT_A": "STYLE 1"
"CUST_ITEM_CM_LLO_FOOT_M_LTHRBOOTS": "POCKET ROCKET BOOTS"
"CUST_BODY": "BUILD"
"PLAYER_MORPH_NOSE_TEXT": "NOSE"
"CUST_TATTOO_LUPPARM_3": "MAN IN THE SUN"
"CUST_COMP_FEMALE_EYEBROWS_1": "OVERPLUCKED"
"CUST_VARIANT_FLAME_2": "FLAME 2"
"CUST_VARIANT_CHECKERS": "CHECKERS"
"CUST_TATTOO_UPPER_LEG_RIGHT": "UPPER RIGHT LEG"
"CUST_TATTOO_ENTIRE_ARM_LEFT": "ENTIRE LEFT ARM"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_H": "CHEER CAPTAIN"
"CUST_COMPLIMENT_J": "THE JENKINS"
"PLAYER_MORPH_EARS_WIDTH_TEXT": "EAR WIDTH"
"PLAYER_MORPH_EYES_TEXT": "EYES"
"LOGO_GHOST_2": "GHOST 2"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ROLLED": "L. Unzipped, R. Rolled, High"
"PRESET_WARNING_BODY2": "You will lose all the changes you have made.\nThis action cannot be reverted.\n\nContinue?"
"PLAYER_MORPH_LOWER_LID_SLANT_TEXT": "LOWER LID SLANT"
"CUST_ITEM_STAG_OUTFIT": "STAG OUTFIT"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPDN": "WOMEN'S TRACK TOP DOWN"
"CUST_CAT_HAT": "HATS"
"CUST_SKIN_GREY_2": "SLATE GREY"
"CUST_ITEM_SWAT_PANTS": "GIRL FIGHT TIGHTS"
"PLAYER_CREATION_AGE_OLD": "OLD"
"PLAYER_MORPH_JAW_HEIGHT_TEXT": "JAW HEIGHT"
"CUSTOM_WALK_9": "THUG STYLE 5"
"PLAYER_MORPH_UPPER_EYELIDS_ROLL_TEXT": "UPPER EYELID CURVE"
"CUST_WEAR_HIGH_BOTH_ZIPPED": "HIGH"
"CUST_TATTOO_TORSO_FRONT": "WHOLE FRONT"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-DN": "PUFFER COAT"
"COMPONENT_CHASSIS": "COMPONENT CHASSIS"
"LOGO_MECH_1": "MECH 1"
"PLAYER_MORPH_EAR_PITCH_TEXT": "EAR PITCH"
"COLOR_SLOT_TRIM_AND_RIMS": "TRIM AND RIMS"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRTUP": "OG SWEATSHIRT UP"
"CUST_ITEM_FEMALE_LL_EARRINGS_4": "BAD COP EARRINGS"
"CUST_ITEM_WOMEN'S_BRA_3": "STREET COMFORT BRA"
"CUST_ITEM_CM_CNC_FOOT_M_SNEAKERS": "CROOKS & CASTLES SNEAKERS"
"CUST_ITEM_CM_NLMC_LBDY_M_PANTS": "HAPPY RAVER PANTZ"
"PLAYER_CREATION_MENU_6": "SKIN"
"CUST_ITEM_CM_RIP_UBDY_3RDST": "RIPPLE JUNCTION 3RD STREET"
"CUST_ITEM_CM_LLL_LBDY_M_LPANTS": "KICKSTAND PANTS"
"CUST_MORPH_CAT_EARS": "EARS"
"PAINT_2": "PAINT 2"
"CUST_VARIANT_POLO": "POLO 1"
"CUST_MOVEMENT_WALK": "MOVEMENT STYLE"
"CUST_WEAR_NORMAL_HIGH": "NORMAL, HIGH"
"CUST_ITEM_CM_LLL_HAND_M_LGLOVES": "BIKER GLOVES"
"HASH_C1DEC751": "DALLAS"
"CUST_ITEM_CF_PSC_FOOT_F_OTHEALS": "PEEP TOE HEELS"
"CUST_ITEM_MEN_S_LARGE_BELT_CHAIN": "SHOW OFF YOUR GUNS ARMBAND"
"CUST_RONIN_TAUNT_C": "RONIN TAUNT 3"
"CUST_PRESET_RACE": "RACE"
"PLAYER_MORPH_EARS_PITCH_TEXT": "EAR ANGLE"
"CUST_RACE_WHITE": "WHITE"
"FACIAL_EXPRESSION_EVIL": "EVIL"
"CUST_WEAR_TUCKED_HIGH_PANT_SUSPENDERS": "HIGH PANTS, SUSPENDERS"
"CUST_ITEM_CM_DLC_UBDY_ABOY": "ALTAR BOY CASSOCK"
"CUST_ITEM_CM_LLL_UBDY_M_LJACKET": "BIKER JACKET"
"CUST_MORPH_CAT_FOREHEAD": "FOREHEAD"
"PLAYER_MORPH_SEPTUM_ELEVATION_TEXT": "SEPTUM HEIGHT"
"PLAYER_CREATION_MENU_2": "HEAD"
"LOGO_HOE": "ETA OMICRON EPSILON"
"CUST_ITEM_CM_IMPO_UBDY_M_CARDIGAN": "NEIGHBOR CARDIGAN"
"CUST_MORPH_CAT_NOSE": "NOSE"
"CUST_VARIANT_FULL_STRIPES": "FULL STRIPES"
"CUST_ITEM_CF_RING_F_WEDDINGBAND": "HITCHED"
"PLAYER_MORPH_MUSCLE_TEXT": "MUSCULARITY"
"CUST_ITEM_CF_RING_F_ALIENHEAD": "OUT OF THIS WORLD RING"
"CUST_ITEM_CM_HAIR_LONGBG": "ROCKIN' LOVE"
"CUST_ITEM_LEFT_FOREARM_KILLA01": "CLASSIC STRIPE BRACELET"
"CUST_RACE_HISPANIC": "HISPANIC"
"CUST_ITEM_CM_RIP_UBDY_WEAPONS": "RIPPLE JUNCTION GANGBUSTERS T"
"CUST_ITEM_CM_IMPN_UBDY_M_CJTURTLENECK": "SPECIAL INVESTIGATOR"
"CUST_ITEM_CM_IMPN_HAT_M_HAT": "METRO FEDORA"
"CUST_ITEM_FEMALE_NLM_UNDWEAR_1": "HOT PINK LOW RISE"
"PLAYER_MORPH_EYEBALLS_DEPTH_TEXT": "EYEBALL DEPTH"
"PLAYER_MORPH_EYEBALL_SIZE_TEXT": "EYEBALL SIZE"
"CUST_INSULT_A": "PET DETECTIVE"
"PLAYER_MORPH_UPPER_LIP_SIZE_TEXT": "UPPER LIP SIZE"
"PLAYER_MORPH_EAR_WIDTH_TEXT": "EAR WIDTH"
"PLAYER_MORPH_EAR_RIM_TEXT": "EAR RIM"
"CUST_ITEM_CM_IMPN_UBDY_M_CJTIE": "MODERN COAT JACKET WITH TIE"
"CUST_COMPLIMENT_N": "THE DOLLAR DANDY"
"PLAYER_CREATION_PRESET_FEMALE": "FEMALE"
"PLAYER_MORPH_NOSTRIL_SIZE_TEXT": "NOSTRIL SIZE"
"PLAYER_MORPH_HAIR_TEXT": "HAIR"
"CUST_INSULT_DUMP": "THE DUMPER"
"PLAYER_MORPH_SKULL_BACK_LENGTH_TEXT": "SKULL BACK LENGTH"
"CUST_ITEM_CM_CNC_UBDY_M_BLKLOGOA": "CROOKS & CASTLES T-SHIRT A"
"CUST_ITEM_PLANETSAINTS_TRAILBLAZING": "TRAILBLAZING"
"CUST_BRO_TAUNT_C": "BROTHERHOOD TAUNT 3"
"PLAYER_MORPH_SKULL_BACK_DEPTH_TEXT": "SKULL BACK DEPTH"
"PLAYER_MORPH_MOUTH_WIDTH_TEXT": "MOUTH WIDTH"
"CUST_VARIANT_LARGE_FLOWERS": "LARGE FLOWERS"
"CUST_ITEM_CF_LLJ_HAND_F_LTHRGLOVES": "HOBO GLOVES"
"CUST_ITEM_MALE_NLM_OUTFIT_E": "STRATAGEM MEDLEY"
"CUST_ITEM_CM_LPH_HAND_M_PIRATEGLOVES": "CAPTAIN'S GLOVES"
"CUST_VARIANT_LEATHER_SKIRT": "LEATHER"
"CUST_WEAR_FRONT LEFT": "FRONT LEFT"
"PLAYER_MORPH_LOWER_EYELIDS_PITCH_TEXT": "LOWER EYELID HEIGHT"
"PLAYER_MORPH_EYELID_SHAPE_TEXT": "EYELID SHAPE"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_SUSPENDERS": "TUCKED, BUTTONED, EXTRA HIGH PANT, SUSPENDERS"
"CUST_ITEM_CM_FPIC_SETA": "LEFT BROW STUD AND NOSE STUD"
"CUST_ITEM_CM_NLMB_FOOT_M_SNEAKERS": "BROSEPH SNEAKS"
"CUST_ITEM_CM_HAIR_SIDEPARTMED2": "SHORT AND RIGHT"
"CUST_ITEM_MALE_KILLBANEMASK": "KILLBANE MASK"
"CUST_ITEM_BASIC_WRISTBAND_RIGHT": "CLASSIC STRIPE BRACELET"
"CUST_HAIR_ACCESSORY_COLOR": "HAIR ACCESSORY COLOR"
"CUST_ITEM_CF_HAIR_CHOPSTICKS": "KABUKI"
"CUST_ITEM_CF_NLMH_LBDY_F_SKIRT": "CANDY GIRL SKIRT"
"CUST_ITEM_CF_PSC_UBDY_F_TTOPCOMBO": "TRACK TOP COMBO"
"CUST_CAT_EAR_PIERCINGS": "EAR PIERCINGS"
"CUST_LOGO_COLOR": "LOGO COLOR"
"PLAYER_MORPH_EAR_ROLL_TEXT": "EAR ROLL"
"SLOT_ENGINE": "ENGINE"
"SK05": "SKIN05"
"CUSTOM_WALK_5": "BOUNCIN STYLE"
"PLAYER_MORPH_MOUTH_CORNERS_TEXT": "MOUTH CORNERS"
"COMPONENT_DECAL_4": "DECAL 4 "
"CUST_VARIANT_BRONZE": "BRONZE"
"CUST_SKIN_BLACK_01": "AFRICAN AMERICAN 1"
"CUST_SKIN_PURPLE_2": "SAINTS PURPLE"
"CUSTOM_WALK_11": "THUG STYLE 7"
"PLAYER_MORPH_CHEEKBONES_ELEVATION_TEXT": "CHEEKBONE HEIGHT"
"CUST_ITEM_WOMEN'S_STANDARD_PANTIES": "BASIC PANTIES"
"CUST_VOICE_MALE_BLACK": "MALE 2"
"SURGEON_CAT_SKIN": "SKIN"
"CUST_VARIANT_POTHEAD": "FLAMES"
"CUST_VARIANT_FISHNET_2": "FISHNET 2"
"CUST_ITEM_CM_IMPM_WRST_M_WATCH": "KABANA WATCH"
"CUST_RONIN_COMPLIMENT_A": "RONIN COMPLIMENT 1"
"CUST_TATTOO_LOWER_ARM_LEFT": "LOWER LEFT ARM"
"CUST_COMPLIMENT_F": "THE SCROOB"
"PLAYER_MORPH_FACE_HEIGHT_TEXT": "FACE HEIGHT"
"CUST_ITEM_CM_NECK_LL_DOGTAGS": "MILITARY MAN"
"CUST_TATTOO_UPPER_ARM_RIGHT": "UPPER RIGHT ARM"
"PLAYER_MORPH_TEMPLES_ELEVATION_TEXT": "TEMPLE HEIGHT"
"CUST_SKIN_OILED_1": "OILED CAUCASIAN 1"
"CUSTOM_WALK_FEMALE_3": "LADY THUG"
"PLAYER_MORPH_NOSE_SIZE_TEXT": "NOSE SIZE"
"PLAYER_CREATION_PRESET_WHITE": "CAUCASIAN"
"CUST_INSULT_I": "\"QUARTER CIRCLE FORWARD + A\""
"CUST_MAKEUP_AREA_CHEEKS": "CHEEKS"
"CUST_TERTIARY_COLOR": "TERTIARY COLOR"
"PLAYER_MORPH_CROWN_WIDTH_TEXT": "CROWN WIDTH"
"CUST_ITEM_CF_NLMF_HAND_F_GLOVESOFNGR": "STEAMPUNK FINGERLESS GLOVES"
"CUST_ITEM_CM_NLMB_UBDY_M_SHIRTCOMBO": "BROSEPH SHIRT COMBO"
"PLAYER_MORPH_EARS_DEPTH_TEXT": "EAR DEPTH"
"CUST_CAT_HANDS": "HANDS"
"CUST_TATTOO_HAND_RIGHT": "RIGHT HAND"
"LOGO_NUMBER7": "NUMBER 7"
"LOGO_SKEETERS_1": "SKEETERS 1"
"CUST_ITEM_CF_LPH_LBDY_F_CLSKIRT": "GO TEAM! SKIRT"
"CUST_ITEM_CF_PSH_FOOT_F_CHUCKS": "INDIE KICKS"
"CUST_ITEM_CM_LPC_LBDY_M_HEROPANTS": "STEELPORT HERO PANTS"
"CUST_ITEM_CF_HAIR_PIXIE": "SHORT AND SWEET"
"CUST_COMPLIMENT_B": "STUNNED"
"CUST_ITEM_CF_LPE_FOOT_F_MBOOTS": "YOUNG SOLDIER BOOTS"
"CUST_ITEM_SINGLE_DIAMOND_RIGHT_EAR": "KNOCKOUT BANDAGES"
"CUST_INSULT_M": "ASCENSION"
"CUST_SKIN_OILED_5": "OILED AFRICAN AMERICAN 2"
"CUSTOM_WALK_FEMALE_7": "LADY SWING"
"CUST_MORPH_CAT_CHEEKBONES": "CHEEKBONES"
"PLAYER_MORPH_SKULL_BACK_WIDTH_TEXT": "SKULL BACK WIDTH"
"PLAYER_MORPH_MOUTH_DEPTH_TEXT": "MOUTH DEPTH"
"SLOT_GAS_CAPS": "GAS CAPS"
"SUIT_1": "SUIT 1"
"LOGO_VIRAL_2": "VIRAL 2"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS_TIE": "TUCKED, BUTTONED, EXTRA HIGH PANT, NO SUSPENDERS, TIE"
"CUST_ITEM_RIGHT_ENTIRE_RIGHT_ARM_MATTS_SLEEVE_1": "MURDERBRAWL ARM GAUNTLET"
"PLAYER_MORPH_NOSE_STYLE_TEXT": "NOSE STYLE"
"FACIAL_EXPRESSION_HAUGHTY": "HAUGHTY"
"PLAYER_MORPH_NOSTRIL_MIDDLE_HEIGHT_TEXT": "NOSTRIL MIDDLE HEIGHT"
"CUST_VARIANT_BRA_2": "FLOWERS"
"CUST_ITEM_CM_LPH_LBDY_M_PIRATEPANTS": "CAPTAIN'S PANTS"
"CUST_ITEM_CARDINAL_OUTFIT": "THE CARDINAL "
"PLAYER_MORPH_EAR_DEPTH_TEXT": "EAR DEPTH"
"LOGO_MUSEUM_ERO_2": "EROMENOS MUSEUM 2"
"CUST_VARIANT_2COLOR_THICK": "TWO COLOR, THICK"
"CUST_ITEM_CF_HAIR_SWIRLUP": "POMPADOUR"
"CUST_ITEM_CM_FPIC_SETE": "PIERCED EVERYWHERE"
"CUST_ITEM_FEMALE_LP_UNDWEAR_2": "TIME TO GET WET SWIM BOTTOM"
"CUST_ITEM_CF_NLMC_NECK_M_CHOKER": "MIZUNDERSTOOD CHOKER"
"CUST_TATTOO_UPPER_BACK": "UPPER BACK"
"CUST_ITEM_CF_PSF_UBDY_M_JERSEY32": "WOMENS FREE THROW JERSEY"
"CUST_ITEM_CM_SAINTSHEADSET": "ASTRO A40 SAINTS HEADSET"
"CUSTOM_WALK_1": "THUG STYLE 1"
"PLAYER_MORPH_UPPER_LIP_MIDDLE_ELEVATION_TEXT": "UPPER LIP MIDDLE HEIGHT"
"PLAYER_CREATION_RANDOMIZE": "RANDOMIZE"
"CUST_ITEM_CF_PSG_UBDY_F_TANKTOP": "TANK TOP"
"MENU_STYLE": "STYLE"
"CUST_ITEM_LONG_SLEEVE_BUTTONED_SHIRT_AND_BOW_TIE": "STYLISH COAT WITH VEST"
"CUSTOM_WALK_15": "THUG STYLE 10"
"PLAYER_MORPH_FAT_TEXT": "FAT"
"PLAYER_MORPH_CHEEKS_TEXT": "CHEEKS"
"SLOT_FRONT_FENDERS": "FRONT FENDERS"
"CUST_VARIANT_LEOPARD_2": "LEOPARD 2"
"CUST_SKIN_BLACK_05": "AFRICAN AMERICAN 5"
"CUST_VARIANT_DIAMOND": "DIAMOND"
"CUST_VARIANT_COLORED_COLLAR": "COLORED COLLAR"
"CUST_ITEM_CF_NLME_UBDY_F_SADTEXT": "SAD TO THE BONE HOODIE"
"CUST_SKIN_HISPANIC_02": "HISPANIC 2"
"CUST_VARIANT_COLORB": "STYLE 2"
"CUST_SKIN_DEMON": "DEMON PINK"
"CUST_PRESET_AGE": "AGE"
"PLAYER_MORPH_AFRICAN_TEXT": "AFRICAN"
"CUST_TATTOO_ARMS": "ARMS"
"PLAYER_MORPH_MOUTH_SIDES_ELEVATION_TEXT": "MOUTH SIDE HEIGHT"
"PLAYER_CREATION_FIGURE_OBESE": "OBESE"
"CUST_ITEM_CM_DLC_UBDY_M_GPPANTS": "REALITY CLIMAX PANTS"
"CUST_COMPLIMENT_S": "OF THE RIVER"
"Gang_Customization": "GANG CUSTOMIZATION"
"PLAYER_MORPH_DOUBLE_CHIN_DEPTH_TEXT": "DOUBLE CHIN DEPTH"
"PLAYER_MORPH_BALL_ELEVATION_TEXT": "TIP ELEVATION"
"PLAYER_MORPH_BROW_TEXT": "BROW"
"CUST_ITEM_CM_PSF_FOOT_M_HIGHTOPS": "JUMPS"
"CUST_VARIANT_ARMY": "ARMY"
"CUST_SKIN_ASIAN_05": "ASIAN 5"
"PLAYER_MORPH_JAW_ELEVATION_TEXT": "JAW HEIGHT"
"CUST_MORPH_CAT_CROWN": "CROWN"
"PLAYER_MORPH_EARS_HEIGHT_TEXT": "EAR HEIGHT"
"CUST_VARIANT_2COLOR_THIN": "TWO COLOR, THIN"
"PLAYER_MORPH_CHIN_PITCH_TEXT": "CHIN PITCH"
"PLAYER_MORPH_BRIDGE_LENGTH_TEXT": "BRIDGE LENGTH"
"CUST_VARIANT_SERGIO": "SERGIO"
"CUST_ITEM_BASIC_T_SHIRT": "BOMBER JACKET"
"CUST_PRESET_FIGURE": "BUILD"
"PLAYER_MORPH_NOSE_DEPTH_TEXT": "NOSE DEPTH"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_A": "WORKIN' THE STREETS"
"CUST_CAT_MEDALLION": "MEDALLIONS"
"CUST_TATTOO_LOWER_ARM_RIGHT": "LOWER RIGHT ARM"
"PLAYER_MORPH_BROW_SPACING_TEXT": "BROW SPACING"
"PLAYER_MORPH_MOUTH_STYLE_TEXT": "MOUTH STYLE"
"CUST_CAT_EYES": "EYES"
"CUST_VARIANT_ROPES": "ROPES"
"CUST_ITEM_CM_DLC_M_EARRINGS01": "Z STYLE HOOPS"
"CUST_ITEM_CM_NYTEBLAYDE": "NYTE BLAYDE"
"CUST_ITEM_CM_LLN_UBDY_M_SEQSHIRT": "DISCO FEVER SHIRT"
"PLAYER_MORPH_FACE_SCALE_TEXT": "FACE SCALING"
"CUST_ITEM_CF_NLMH_EYES_F_HSNGLSTASSLES": "CANDY KID SHADES"
"CUST_ITEM_BASIC_LIPSTICK": "STACY HAIR WITH HAIR BAND"
"CUST_BRO_COMPLIMENT_C": "BROTHERHOOD COMPLIMENT 3"
"CUST_MOVEMENT_MELEE": "COMBAT STYLE"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHIRTLOW": "HILLS JACKET WITH VEST"
"CUST_ITEM_CM_NATIONALGUARD": "STEELPORT GUARD UNIFORM"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_D": "ELECTRO DJ"
"CUST_ITEM_5_O_CLOCK_SHADOW_1": "5 O'CLOCK SHADOW"
"RACE_AFRICAN": "AFRICAN AMERICAN"
"RIM_176": "SD FTN59"
"CUST_VARIANT_PLAIN": "PLAIN"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_E": "JUMP SHOT"
"CUST_TATTOO_TORSO_LOWER_BACK": "LOWER BACK"
"CUST_MOVEMENT_COMPLIMENT": "COMPLIMENT"
"CUST_ITEM_FEMALE_LL_BRA_2": "TRUE LOVE"
"CUST_ITEM_CM_LLL_FOOT_M_LBOOTS": "TOUGH RIDER BOOTS"
"CUST_DIALOG_DISROBE_TITLE": "REMOVE ALL CLOTHING"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEUP": "THUG HOODIE"
"CUST_ITEM_CM_PSI_EYES_M_SHADES": "GAT STYLE SHADES"
"CUST_MENU_RACE_PRESETS": "RACE PRESETS"
"PLAYER_MORPH_MOUTH_SIZE_TEXT": "MOUTH SIZE"
"CUST_VARIANT_SHAGGY": "SHAGGY"
"CUST_MENU_WEAR_OPTION": "WEAR OPTIONS"
"PLAYER_MORPH_EARS_LENGTH_TEXT": "EAR LENGTH"
"LOGO_POT_LEAF": "POT LEAF"
"CUST_WEAR_UNBUTTONED": "UNBUTTONED"
"CUST_ITEM_CM_IMPN_UBDY_M_TURTLENECK": "MODERN TURTLENECK"
"CUST_ITEM_WOMEN_S_PLATFORM_SHOES": "DEATHMATCH BOOTS"
"CUST_WEAR_TOP_BUTTONED": "TOP BUTTONED"
"CUST_ITEM_CM_LPG_SUIT_M_ANIMALSUIT": "PARTY ANIMAL"
"CUST_CAT_RIGHT_HAND": "RIGHT HAND"
"CUST_ITEM_CM_PSG_LBDY_M_TRACKPANTS": "GYM PANTS"
"CUSTOM_WALK_FEMALE": "DEFAULT FEMALE"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "TUCKED, EXTRA HIGH PANTS"
"CUST_ITEM_CF_LLI_UBDY_F_JCKTTUBETOP": "TUBE TOP WITH JACKET"
"CUST_COMPLIMENT_W": "CHEERING"
"PLAYER_MORPH_UPPER_LIP_LENGTH_TEXT": "UPPER LIP LENGTH"
