// extra_dumps: hud - us entries not covered by schinese table
// format: "KEY": "EN"  (all bucket entries via 8B-stride, hash=crc_volition(KEY))
"TUT_TITLE_RECRUITING": "RECRUITING"
"CS_TITLE_STILWATER_BRIDGE": "STILWATER - HUGHES MEMORIAL BRIDGE"
"HASH_FB317EE1": "{ACTION_IMG} THROW SHIELD"
"UNL_DAMAGE_VEHICLE_3": "DAMAGE - VEHICLE 3"
"TUT_WHORED_Z_FOOD_TRUCK": "FOOD TRUCK NIGHTMARE"
"TUT_WHORED_WEENIEROAST": "WEENIE ROAST"
"TUT_TITLE_HEALTH_SPRINT_METER": "HEALTH / SPRINT METERS"
"UNL_DESC_UPGRADE_AMMO_EXPLOSIVE_3": "Carry 75%% more explosive ammo"
"UNL_DESC_CASH_MULTIPLIER_2": "Increase all Cash received by 10%%"
"TUT_TITLE_UNLOCKABLES": "UNLOCKABLES/REWARDS"
"TUT_TITLE_SMOKED": "SMOKED!"
"OBJECT_PARTNER_COLLECTED": "%ls FOUND A COLLECTIBLE YOU MISSED"
"HASH_84A3D8E3": "GRAPHICS MODE"
"TUT_TITLE_DRIVING_STUNTS": "DRIVING STUNTS"
"TUT_HITMAN_NEW": "{MAP_MENU_IMG} ACCESS SAINTSBOOK \nAssassination targets are now available in SaintsBook. Track and kill them for quick cash."
"TUT_M16_AVATAR_ATTACKS": "{AVATAR_SHOCKWAVE_IMG} SHOCKWAVE \n{AVATAR_SWORD_SWEEP_IMG} SWORD SWIPE \n{AVATAR_DASH_IMG} DASH \n{AVATAR_FLAME_BREATH_IMG} FLAME BREATH "
"HUD_PRESS_BACK_CANCEL_STRONGHOLD": "HOLD %ls EXIT STRONGHOLD"
"HUD_BLANK": ""
"ENTER_VEHICLE_DRIVER_SEAT_MESSAGE": "%ls ENTER VEHICLE DRIVER SEAT"
"TUT_TITLE_VEHICLE_TURRET": "VEHICLE TURRETS"
"HUD_CANT_CUST_PARTNERS_CAR": "You can't customize your partner's car."
"RIFLE_STAG": "VIPER LASER RIFLE"
"TUT_TITLE_ACT_INTRO_SNATCH": "SNATCH"
"WPN_VTOL01": "LASER BEAM"
"GRENADE_ELECTRIC": "ELECTRIC GRENADES"
"CUTSCENE_HOST_SKIPPING": "YOU VOTED TO SKIP"
"TUT_WHORED_A_FISTING": "FISTING"
"TUT_DIVERSION_HUD": "Diversion stars show up here when you're doing something special that rewards respect. The more stars you have the more respect you get."
"TUT_TITLE_NP_BOAT_CONTROLS": "BOAT CONTROLS"
"decker_sword": "NOCTURNE"
"RESPECT_WIDGET_LABEL": "RESPECT"
"STRONGHOLD_COOP_START_MSG": "Start Co-op Stronghold?"
"HASH_E703EAEC": "SLOW CONNECTION"
"UNL_DESC_DAMAGE_VEHICLE_4": "You will not take ANY damage when hit by a vehicle."
"UNL_DESC_DOESNOTEXIST": "This upgrade isn't available yet."
"TUT_ESCORT_REMOTE": "Use {ANALOG_RS_IMG} to find the special spot. \nKeep {ANALOG_RS_IMG} there then push {ANALOG_LS_IMG} in time with the arrows to hit that spot."
"HUD_ZOOM_IN_AND_OUT": "%ls AND %ls TO ZOOM IN AND OUT"
"UNL_HOMIE_REPAIR": "HOMIE - REPAIR"
"UNL_DESC_HOMIE_HELI": "Heli Homie can be found in your Cell Phone \"PHONE\" menu. He will deliver a helicopter to you in combat."
"UNL_CRIB_BDSM": "CRIB - SAFEWORD"
"TUT_WHORED_THE_END": "THE END"
"HUD_USE_HAND_BRAKE_MESSAGE": "PRESS AND HOLD {HANDBRAKE_IMG} TO USE THE HANDBRAKE"
"UNL_WEP_PREDATOR_DRONE": "WEAPON - REAPER DRONE"
"TUT_WHORED_OLDSCHOOL": "OLD SCHOOL"
"TUT_TITLE_DIV_INTRO_HOSTAGE": "HOSTAGE"
"TUT_TITLE_DLC_MANCANNON": "GENKI MOBILE"
"HOMIES_KILLED": "%ls has been killed!"
"WPN_CHAINSAW_DESCRIPT": "Mutilate your enemies by tearing them to shreds!"
"HOMIES_FALLEN": "%s is down!"
"TUT_WHORED_SONICBOOMSTICK": "SONIC BOOM"
"HUD_BORDER_TURNAROUND": "THE SAINTS NEED YOU IN STEELPORT"
"STOPPING_BLOCKED_PATH": "Something is blocking your path."
"TUT_SNIPER_UPGRADE": "{ACTION_IMG} SCOPED ZOOM MODE"
"TUT_TITLE_NOTORIETY_DECREASE_STORE": "NOTORIETY DECREASE"
"TUT_WHORED_D_COUNTING_CALS": "COUNTING CALORIES"
"TUT_TITLE_HUMAN_SHIELD_GENERAL": "HUMAN SHIELDS"
"USE_TRIGGER_HELI": "GO TO THE HELI PAD"
"TUT_WHORED_BAT": "BAT VS HOS"
"TUT_CAR_SHOOTING": "{FIREARM_IMG} FIRE PRIMARY WEAPON \n{ATTACK_SECONDARY_IMG} THROW GRENADE"
"TUT_TITLE_BUSTED": "BUSTED!"
"WPN_SMGSTORM_DESCRIPT": "Higher grade SMG that fires bullets in extremely rapid succession."
"HUD_RESPECT_RANK_010": "PIMP"
"HOOD_GAINED": "NEIGHBORHOOD GAINED"
"TUT_TITLE_FLASHPOINT": "GANG OPERATIONS"
"CS_TITLE_STAG_AIRCRAFT_CARRIER": "STAG AIRCRAFT CARRIER: THERMOPYLAE"
"ACHIEVE_SR3_THE_WELCOME_WAGON": "THE WELCOME WAGON"
"TUT_CROUCH": "PRESS {CROUCH_IMG} CROUCH \nCrouching makes you more accurate when firing."
"TUT_JUMP_CLIMB": "{JUMP_CLIMB_IMG} JUMP/CLIMB \n {SPRINT_IMG} + {JUMP_CLIMB_IMG} QUICK DIVE \nJumping, Climbing, and Diving allow you to quickly escape dangerous situations."
"TUT_DIV_INTRO_HOLDUP": "Continue to Zoom Aim at the clerk to rob this store."
"CS_TITLE_S_1ST_NAT": "STILWATER 1ST NATIONAL BANK"
"HUD_PRESS_DPADUP_PARTY_DISMISS": "AGAIN TO DISMISS PARTY"
"TUT_TITLE_DIVERSION_HUD": "DIVERSION HUD"
"CS_TITLE_SKIES_OVER_STEELPORT": "SKIES OVER STEELPORT"
"PLAYER_REVIVE_FOLLOWER": "REVIVE YOUR [format][color:purple]HOMIE[/format]"
"TUT_ACT_INS_FRAUD_FIRST_HIT": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} RAGDOLL \n{ANALOG_LS_IMG} AIRBORNE AFTERTOUCH"
"ACHIEVE_SR3_CREW_OF_TWO": "CREW OF TWO"
"SNIPER_AMMO": "SNIPER AMMO"
"HUD_ATTACK_MATT": "ATTACK MATT"
"TUT_WHORED_Z_GIRLS_NIGHT": "GIRLS NIGHT OUT"
"ACHIEVE_SR3_HACK_THE_PLANET": "HACK THE PLANET"
"STRONG_CANCEL_TEXT": "Are you sure you want to leave the Stronghold?\nYou will lose all progress since the last checkpoint."
"HUD_SECONDS": "SECONDS"
"HUD_RESTART_TEXT": "%s TO RESTART"
"TUT_CROUCH_SR3": "PRESS {CROUCH_IMG} CROUCH \nCrouching makes you more accurate when firing."
"TUT_TITLE_ESCORT_MINIGAME": "ESCORT"
"ACHIEVE_SR3_DOUBLE_DOSE_OF_PIMPING": "DOUBLE DOS OF PIMPING"
"WPN_CYBERCANNON_DESCRIPT": "A working model of Kinzie's arm cannon from the Decker Use-Net.  Where does she get the time?"
"FLASHPOINT_DISCOVERED": "GANG OPERATION DISCOVERED"
"TUT_TITLE_CROUCH": "CROUCH"
"HUD_PRESS_BACK_CANCEL_MISSION": "HOLD %ls EXIT MISSION"
"MISSION_CANCEL_TITLE": "RETRY OR EXIT MISSION?"
"ENTER_TAXI_MESSAGE": "%ls ENTER THE TAXI"
"CUTSCENE_LOCAL_SKIPPING": "Waiting for the other player to skip this cutscene."
"HUD_USE_RIGHT_STICK_MESSAGE": "USE THE {ANALOG_RS_IMG} TO LOOK AROUND AND AIM"
