// extra_dumps ref: hud - JP/CZ reference for keys in extra_hud_us.txt
"TUT_TITLE_RECRUITING": "JP: 勧誘 || CZ: NAJÍMÁNÍ"
"MISSION_COOP_CONFIRM_ACTIVITY": "JP: %ls\nとのアクティビティ開始を確認中 || CZ: POTVRĎ ZAHÁJENÍ AKTIVITY S %ls"
"TUT_ACT_GUARDIAN": "JP: 協力者を護衛しろ || CZ: Chraň svého informátora."
"PLAYER_CHOICE_M16_OPTION1_TITLE": "JP: [format][color:Purple]車両パーツメーカー[/format] || CZ: [format][color:Purple]OBSAĎ VÝROBNU VOZIDEL[/format]"
"TUT_TITLE_NAG_CHANGE_CLOTHES": "JP: 着替え || CZ: ZMĚNA OBLEČENÍ"
"TUT_CHARGE_WEAPON": "JP: {ATTACK_PRIMARY_IMG}長押し\nチャージブラスト発動 || CZ: PŘIDRŽENÍM {ATTACK_PRIMARY_IMG} NABIJEŠ EXPLOZI"
"TUT_TITLE_RADIO_CONTROL": "JP: ラジオの操作 || CZ: OVLÁDÁNÍ RÁDIA"
"WE_MOUNTED_GUN": "JP: 50Cal機銃 || CZ: PŮLPALCOVÝ KULOMET"
"FLASHPOINT_COMPLETE_DESC_1": "JP: 鎮圧完了 || CZ: ZNIČENO"
"CANT_USE_MECHANIC": "JP: ミッションまたはアクティビティの途中で車をカスタマイズすることはできない || CZ: BĚHEM MISÍ A MINIHER SVÉ AUTO PŘIZPŮSOBOVAT NEMŮŽEŠ."
"TUT_TITLE_MINIMAP_ICONS": "JP: ミニマップのアイコン || CZ: IKONY MINIMAPY"
"ACHIEVE_SR3_BROMANCE_IN_THE_ROW": "JP: 兄弟愛 || CZ: ROMANTIKA V ROW"
"HUD_RESPECT_RANK_008": "JP: セインツ || CZ: SVATÝ"
"HOMIES_GREETING": "JP: よう、%ls！最近どうよ？ || CZ: Zdar, %ls! Jak jde život?"
"HUD_FINISH_BRUTE": "JP: ブルートにトドメ || CZ: DORAZIT MONSTRUM"
"CS_TITLE_SURFACE_OF_MARS": "JP: 火星表面 || CZ: POVRCH MARSU"
"COMBAT_DAMAGE": "JP: %5.1fのダメージを与えた！ || CZ: Způsobeno zranění za %5.1f!"
"PLAYER_INCREASE_HEALTH": "JP: 体力が増えた || CZ: TVÉ ZDRAVÍ VZROSTLO"
"TUT_TITLE_NITROUS": "JP: ニトロ || CZ: NITRO"
"HUD_AMT_DEGREES": "JP: {0}{TEMP_DEGREES} || CZ: {0}{TEMP_DEGREES}"
"TUT_NAG_HUMAN_SHIELD": "JP: ヒューマンシールドで人質を盾にする{ACTION_IMG}と、戦闘での生存率が格段に上がる || CZ: TIP: S POMOCÍ LIDSKÉHO ŠTÍTU {ACTION_IMG} PŘEŽIJEŠ V BOJI DÉLE."
"SPECIAL_AIRSTRIKE": "JP: SA3 空爆 || CZ: NÁLET SA-3"
"WPNCAT_THROWN": "JP: 投てき || CZ: VRHACÍ ZBRANĚ"
"MULTI_PRESS_AND_HOLD_BLANK_TO_HEAL": "JP: 回復する：%ls長押し || CZ: VYLÉČÍŠ SE STISKNUTÍM A PŘIDRŽENÍM TLAČÍTKA %ls."
"UNL_DESC_CLOTHING_AVATAR": "JP: クローゼットにモーションスーツが追加された || CZ: Do šatníku v bejváku ti přibyl oblek pro motion capture"
"UNL_SPRINT_2": "JP: スタミナアップ2 || CZ: SPRINT - PRODLOUŽENÍ 2"
"TUT_TERRITORY": "JP: この縄張りを支配した。毎時間ここからの収入がアジトの金庫に追加される。またこの縄張り内にある店舗の株を買い、さらに収入を増やすこともできる || CZ: Tato čtvrť teď patří tobě. \nKaždou hodinu za ni dostaneš malou částku, která bude odeslána do pokladny ve tvém bejváku. Také si nyní můžeš koupit podíl v místních obchodech, což ti vynese další peníze."
"TUT_WHORED_Z_BDSM": "JP: BDSM || CZ: BDSM"
"TUT_WHORED_D_STEELPORT_CONNECTION": "JP: 着ぐるみファイト || CZ: STEELPORTSKÁ SPOJKA"
"TUT_WHORED_MALLCOP": "JP: 警備員 || CZ: HLÍDAČ OBCHODU"
"TUT_TITLE_CRIB_WEAPONS": "JP: 武器庫 || CZ: SKLADIŠTĚ ZBRANÍ"
"ACHIEVE_SR3_PORKCHOP_SANDWICHES": "JP: ローストポークサンド || CZ: VEPŘOVÝ SENDVIČE"
"ACHIEVE_SR3_AND_BOOM_GOES_THE_DYNAMITE": "JP: エアセインツ || CZ: DYNAMIT, DYNAMIT, UDĚLÁ BUM"
"SATELLITE_EXIT_GUIDED_MODE": "JP: ミサイルを放棄 || CZ: VYPNOUT OVLÁDÁNÍ STŘELY"
"PLAYER_CHOICE_M19_OPTION2_BODY": "JP: 報酬：バート・レイノルズと\nSWATが仲間になる || CZ: ODMĚNA: Burt Reynolds a SWAT jako parťáci"
"HUD_HOURS_ABR": "JP: H || CZ: HOD"
"TUT_TITLE_NP_CAR_CONTROLS": "JP: 車の操作 || CZ: OVLÁDÁNÍ VOZU"
"GARAGE_CARS_ONLY": "JP: それはここには収納できない || CZ: TENTO DRUH VOZIDLA TU ZAPARKOVAT NEMŮŽEŠ"
"STRONGHOLD_CANCEL_SUB_TEXT": "JP: 拠点制圧がキャンセルされました || CZ: PEVNOST ZRUŠENA"
"TUT_TITLE_SECONDARY_FIRE": "JP: サブ攻撃 || CZ: SEKUNDÁRNÍ ZBRAŇ"
"TUT_TITLE_STYLE_RANK": "JP: スタイルランク || CZ: HODNOTA STYLU"
"ACHIEVE_SR3_BRIGHT_LIGHTS_BIG_CITY": "JP: この街我が手中に || CZ: JASNÁ SVĚTLA, VELKÉ MĚSTO"
"DIVERSIONS_RESPECT": "JP: リスペクト{0} || CZ: RESPEKT {0}"
"TUT_TITLE_NAG_GANG_CUSTOMIZE": "JP: ギャングカスタマイズ || CZ: ÚPRAVA GANGU"
"TUT_NP_HELI_WEAPON_CONTROLS": "JP: {HELI_FIRE_PRIMARY_IMG}機銃発射\n{HELI_FIRE_SECONDARY_IMG}ロケット発射 || CZ: {HELI_FIRE_PRIMARY_IMG} STŘELBA Z KULOMETU \n{HELI_FIRE_SECONDARY_IMG} VYPÁLENÍ RAKET"
"FART_IN_A_JAR": "JP: 異臭ガス || CZ: PRD VE FLAŠCE"
"UNL_DESC_CASH_FOR_RESPECT_2": "JP: キャッシュを支払い\n8,000リスペクト獲得する || CZ: Za peníze si můžeš koupit 8000 bodů respektu."
"UNL_DESC_CRIB_NUKE": "JP: 新しいアジトを手に入れた\n武器や衣類の変更やギャングの\nカスタマイズもできる || CZ: Burns Hill Reactors je teď základna Svatých. Můžeš tu spravovat své finance, uskladněné zbraně a oblečení a upravovat svůj gang."
"TUT_CONTINUE_MSG": "JP: {PAUSE_MENU_IMG}で続行 || CZ: POKRAČUJ STISKEM TLAČÍTKA {PAUSE_MENU_IMG}."
"TUT_ACT_INTRO_SNATCH": "JP: エステティシャンを卑劣なスカウトから救いキャッシュとリスペクトを獲得しろ || CZ: ZACHRAŇ DĚVKY PŘED NEURVALÝMI PASÁKY."
"ACHIEVE_SR3_TUNE_IN_DROP_OFF": "JP: 配達員 || CZ: NALADIT A ODPADNOUT"
"HUD_TRIGGER_VEHICLE_REPAIR_PRICE": "JP: %dドル支払って修理する || CZ: OPRAVIT VOZIDLO ZA %d DOLARŮ"
"TUT_TITLE_ACT_TANK_MAYHEM": "JP: タンクメイヘム || CZ: TANKOVÝ MASAKR"
"ACHIEVE_SR3_OW_MY_BALLS": "JP: 激痛！ || CZ: AU, MOJE KOULE!"
"ACTIVITY_COOP_START_MSG": "JP: 協力プレイのアクティビティを開始しますか？ || CZ: Zahájit kooperativní akci?"
"TUT_NP_BOAT_CONTROLS": "JP: {ACCELERATE_IMG}加速\n{BRAKE_REVERSE_IMG}逆回転 || CZ: {ACCELERATE_IMG} PLYN \n{BRAKE_REVERSE_IMG} ZPÁTEČKA"
"TUT_AIRPLANE_CONTROL_ALT": "JP: {PLANE_ACCELERATE_IMG}加速\n{PLANE_BRAKE_REVERSE_IMG}ブレーキ／逆回転\n{PLANE_TURN_LEFT_IMG}/{PLANE_TURN_RIGHT_IMG} 旋回 || CZ: {PLANE_ACCELERATE_IMG} ZRYCHLENÍ \n{PLANE_BRAKE_REVERSE_IMG} BRZDA + ZPÁTEČKA \nPomocí {PLANE_TURN_LEFT_IMG}/{PLANE_TURN_RIGHT_IMG} letadlo otočíš."
"ACHIEVE_SR3_YOURE_MY_HERO": "JP: マイヒーロー || CZ: JSI MŮJ HRDINA!"
"HUD_CONTINUE_TEXT": "JP: 続行：%ls || CZ: PRO POKRAČOVÁNÍ STISKNI %ls"
"HOMIES_GAINED_CASH": "JP: %lsドル稼いだ || CZ: ZA MELU JSI ZÍSKAL %ls"
"UNL_DESC_WEP_CYBERSPACE_CANNON": "JP: アジトの武器庫で\nサイバーバスターを装備できる || CZ: Mezi zbraněmi v bejváku na tebe čeká kyberbuster."
"TUT_TITLE_CHARGE_WEAPON": "JP: 武器のチャージ || CZ: ZMĚNA ZBRANÍ"
"TUT_RADIO_CONTROL": "JP: {AUDIO_PLAYER_PREV_TRACK_IMG}／{AUDIO_PLAYER_NEXT_TRACK_IMG} ラジオ局を選ぶ\n既存のラジオ局を聞くだけではなく携帯電話の音楽メニュー{MAP_MENU_IMG}で自分専用のラジオ局を作ることもできる || CZ: {AUDIO_PLAYER_PREV_TRACK_IMG} / {AUDIO_PLAYER_NEXT_TRACK_IMG} ZMĚNÍ STANICI \nNalaď si některé ze steelportských stanic nebo si vytvoř vlastní rádiovou stanici ve svém mobilu {MAP_MENU_IMG}."
"WPN_GENKI_DESCRIPT": "JP: 歌が好きで、爆発してて、かわいくて、洗脳上手なタコ。そう、洗脳だよ、マジで || CZ: Zpívající roztomilá a vybuchující chobotnice, co dokáže ovládnout mysl. Jo, vážně to dokáže. Fakt."
"HUD_VEHICLE_DRIVE": "JP: アクセル：%s    ブレーキ／バック：%s || CZ: POMOCÍ %s PŘIDÁŠ PLYN, STISKNUTÍM %s BRZDÍŠ/COUVÁŠ"
"TUT_MINIMAP_ICONS": "JP: これがミニマップだ。赤い点は敵を表す。青、赤、緑の四角は目標マーカーだ。迷った時はGPSを頼りに近くの目標に向かえ || CZ: Toto je tvá minimapa.\nČervené tečky představují nepřátele, modré, červené a zelené čtverečky označují cíle.\nPokud zabloudíš, dojdi pomocí GPS k nejbližšímu úkolu."
"ACHIEVE_SR3_OUCH": "JP: 痛いじゃないか || CZ: AU."
"WPN_BLOWUPDOLL": "JP: エクササイズドール || CZ: NAFUKOVACÍ PANNA"
"THEATER_PLAY_STRONGHOLD": "JP: 拠点制圧をプレイする || CZ: HRÁT PEVNOST"
"HASH_5F2E8897": "JP: 続行するには、Xbox One コントローラーを再接続して{PAUSE_MENU_IMG}を押してください || CZ: PROSÍM PŘIPOJ OVLADAČ PRO XBOX ONE A POKRAČUJ STISKNUTÍM TLAČÍTKA {PAUSE_MENU_IMG}."
"TUT_TITLE_HELICOPTER_CONTROL": "JP: ヘリの操作 || CZ: OVLÁDÁNÍ VRTULNÍKU"
"TUT_STORE_OWNERSHIP": "JP: 店舗を所有すると1時間毎に収入を得られ、店舗で売られている商品の割引も受けられる || CZ: Pokud vlastníš nějakou nemovitost, budeš za ni každou hodinu dostávat peníze, a navíc budeš mít v daném obchodě slevu."
"SMG_AMMO": "JP: サブマシンガン弾薬 || CZ: MUNICE DO SAMOPALU"
"HUD_RESPECT_RANK_002": "JP: シールド || CZ: ŠTÍT"
"HOMIES_WAS_BUSTED": "JP: %lsが捕まった！ || CZ: %ls je v base!"
"UNL_DESC_PLAYER_HEALTH_4": "JP: プレイヤーの体力 - 100%%アップ || CZ: Zdraví se zvýší o 100 %%"
"ACHIEVE_SR3_GANGSTAS_IN_SPACE": "JP: スペースギャングスタ！ || CZ: GANGSTAS... VE VESMÍRU!"
"HUD_COOL_OVERHEATED_MESSAGE": "JP: 武器を冷却 || CZ: NECHAT ZBRAŇ VYCHLADNOUT"
"TUT_TITLE_COMBAT_GRENADES": "JP: オフハンド手榴弾 || CZ: GRANÁTY"
"ACHIEVE_SR3_MR_FURY_WOULD_BE_PROUD": "JP: ミスターフューリー || CZ: PAN FURY BY BYL PYŠNÝ"
"HUD_WARP_TO_SHORE_MESSAGE_PLACEHOLDER": "JP: 陸に上がる || CZ: VRÁTIT SE NA BŘEH"
"TUT_WHORED_D_THE_RUNNING_DEAD": "JP: ゾンビの特攻 || CZ: BĚHAJÍCÍ MRTVOLY"
"ACHIEVE_SR3_SHAKE_AND_BAKE": "JP: でかしたぜ！ || CZ: PROTŘEPAT A UPÉCT"
"TUT_TITLE_CRUISE_CONTROL": "JP: クルーズコントロール || CZ: TEMPOMAT"
"baseball_bat": "JP: 野球バット || CZ: BASEBALLOVÁ PÁLKA"
"TUT_FINEAIM_0": "JP: {SHOULDER_CAMERA_IMG}ズーム || CZ: {SHOULDER_CAMERA_IMG} POMŮŽE LÉPE ZAMÍŘIT PŘI STŘELBĚ"
"PLAYER_ABANDON_FOLLOWER": "JP: [format][color:purple]仲間[/format]（%d人）と離れそうだ || CZ: OPOUŠTÍŠ [format][color:purple]PARŤÁKY[/format] (%d)"
"UNL_UNLIMITED_AMMO_SMG": "JP: サブマシンガン弾薬アップ4 || CZ: MUNICE - SAMOPAL 4"
"TUT_NEW_MISSIONS": "JP: {MAP_MENU_IMG}新しいミッションにアクセス\n新しいミッションが追加されると、携帯電話のミッションメニューに表示される || CZ: {MAP_MENU_IMG} OTEVŘE PŘÍSTUP K NOVÝM MISÍM\nKdyž se ti zpřístupní nové mise, zobrazí se v příslušné nabídce ve tvém mobilním telefonu."
"ACHIEVE_SR3_JUMPED_IN": "JP: ジャンプイン || CZ: NÁSKOK"
"WPN_SMGGANG_DESCRIPT": "JP: ストリートでよくみかけるSMG\nフルアップグレードすると焼夷弾が撃てる || CZ: Pouliční verze samopalu. Maximální vylepšení umožní používání zápalné munice."
"ACHIEVE_SR3_LOVE_HATE_RELATIONSHIP": "JP: 愛と憎しみは紙一重 || CZ: LÁSKA A NENÁVIST"
"WPN_APOCOFIST": "JP: アポカフィスト || CZ: APOKAPĚSTI"
"SHOTGUN_STAG": "JP: S3X ハマー || CZ: S3X HAMMER"
"HUD_BONUS_CLOTHING": "JP: 衣服ボーナス || CZ: BONUS ZA OBLEČENÍ"
"GARAGE_CANT_STORE": "JP: ガレージには収納できない || CZ: TENTO VŮZ NEMŮŽEŠ ZAPARKOVAT V GARÁŽI"
"WPN_RIFLEKILLSHOT_DESCRIPT": "JP: 500ヤード先から愛を届けるのに最適 || CZ: Skvěle se hodí na ťuknutí na vzdálenost pěti set metrů. Mluvíme o takovém tom ťuknutí, při kterém se rozprskne hlava."
"MAP_TOTAL_RESPECT": "JP: リスペクトの合計：%d || CZ: CELKOVÝ RESPEKT: %d"
"ACHIEVE_SR3_TOWER_DEFENSE": "JP: タワーディフェンス || CZ: OBRANA VĚŽÍ"
"WPN_TOILET": "JP: 便器 || CZ: TOALETA"
"UNL_RESPECT_EURO_2": "JP: リスペクトボーナス || CZ: BONUS K RESPEKTU"
"MAP_STORENAME_UNKNOWN": "JP: 不明 || CZ: NEZNÁMÉ"
"TUT_TITLE_SNIPER_UPGRADE": "JP: スコープのアップグレード || CZ: OPTIKA"
"WPN_PROTOTYPE_GENERIC_DESCRIPT": "JP: これはプロトタイプです。見つけたらバグを上げてください || CZ: PROTOTYP, POKUD MĚ UVIDÍŠ, OHLAS CHYBU"
"HUD_FEET_ABR": "JP: FT || CZ: ST"
"TUT_MINIMAP": "JP: 画面左下のミニマップには目的地への最短ルートが表示される || CZ: Minimapa v levé spodní části obrazovky ti ukazuje nejkratší povolenou trasu k tvému cíli."
"ACHIEVE_SR3_EVERYTHING_IS_PERMITTED": "JP: 許可取得済み || CZ: VŠECHNO JE POVOLENO"
"FLASHPOINT_NAME": "JP: 抗争スポット || CZ: OPERACE GANGU"
"HUD_CANCEL_MISSION": "JP: やり直しまたは終了 || CZ: RESTARTOVAT MISI"
"HUD_MINUTES_ABR": "JP: MIN || CZ: MIN"
"HUD_CANCEL_STRONGHOLD": "JP: やり直しまたは終了 || CZ: OPAKOVAT NEBO UKONČIT PEVNOST"
"COMBAT_DISTANCE": "JP: %.1fメートル！ || CZ: %.1f metrů!"
"TUT_TITLE_COLLECTION": "JP: コレクション || CZ: SBÍRKA"
"TUT_TITLE_HITMAN_NEW": "JP: ヒットマン || CZ: ATENTÁTY"
"STUN_GUN": "JP: スタンガン || CZ: PARALYZÉR"
"WPNCAT_MELEE": "JP: 格闘 || CZ: RUČNÍ ZBRANĚ"
"TUT_NAG_CRUISE_CONTROL": "JP: クルーズコントロール{CRUISE_CONTROL_B_IMG}を使えば、銃を発砲しながら運転も同時に行える || CZ: TIP: POMOCÍ TEMPOMATU {CRUISE_CONTROL_B_IMG} MŮŽEŠ ŘÍDIT A STŘÍLET ZÁROVEŇ."
"TUT_HOMIE_REVIVE": "JP: 仲間の体力がなくなっても、数秒以内なら近づいて蘇生可能だ || CZ: Když tvého parťáka zabijí, máš jen několik sekund na to, aby ses k němu dostal a oživil ho."
"HUD_TRIGGER_DISABLED_ACT": "JP: アクティビティが終わるまではここには入れない || CZ: SEM BĚHEM TÉTO AKTIVITY NEMŮŽEŠ"
"MISSION_COOP_CONFIRM_STRONGHOLD": "JP: %ls\nとの拠点制圧開始を確認中 || CZ: POTVRĎ ZAHÁJENÍ PEVNOSTI S %ls"
"TUT_WHORED_BEERMUSCLES": "JP: メガ筋肉 || CZ: MEGA SVALY"
"TUT_TITLE_CHOPSHOP": "JP: ヤミ改造工場 || CZ: KRÁDEŽE AUT"
"TUT_STORE_INTRO_SURGEON": "JP: IMAGE AS DESIGNEDでは、外見の他に挑発と敬意のポーズも変更できる || CZ: Na klinice IMAGE AS DESIGNED si můžeš nechat změnit svůj vzhled, urážky a poklony."
"ENTER_WATERCRAFT_MESSAGE": "JP: 船に乗る || CZ: VSTUP NA LOĎ"
"HUD_CRUISE_CONTROL_ACTIVE_NEW": "JP: [format][scale:1]{CRUISE_CONTROL_B_IMG}[/format]クルーズコントロール || CZ: [format][scale:1]{CRUISE_CONTROL_B_IMG}[/format] TEMPOMAT"
"TUT_DIV_INTRO_STREAKING": "JP: 自分の肉体美を見せつけて、さらにキャッシュを獲得！ || CZ: Pochlub se svým zbožím. Odměna tě nemine!"
"TUT_TAUNTING": "JP: {MENU_DP_LEFT_IMG}挑発\n{MENU_DP_RIGHT_IMG}敬意\n敬意は街の人々との交流に使用する。また、ギャングメンバーを挑発してから倒すとリスペクトを獲得できる || CZ: {MENU_DP_LEFT_IMG} URÁŽKY \n{MENU_DP_RIGHT_IMG} POKLONY\nMluv s ostatními a získávej si respekt urážením a zabíjením členů gangů."
"RESPECT_RANK_UP": "JP: RANK UP || CZ: ÚROVEŇ"
"ACHIEVE_SR3_ONCE_BITTEN_BRAAAAAAAINS": "JP: 噛まれたら最後... || CZ: JEDNO KOUSNUTÍ... MOZKÝÝÝÝÝÝ"
"ENTER_VEHICLE_PASSENGER_SEAT_MESSAGE": "JP: 助手席に入る：%ls || CZ: STISKEM TLAČÍTKA %ls NASEDNEŠ NA MÍSTO SPOLUJEZDCE"
"TUT_STORE_INTRO_TATTOO": "JP: タトゥーパーラーではタトゥーを入れられる。タトゥーを入れるとリスペクトが上昇する || CZ: V tetovacích salónech můžeš své postavě kupovat tetování a zvyšovat tím respekt."
"HUD_RESPECT_RANK_004": "JP: シューター || CZ: STŘELEC"
"HUD_KICK_DOOR_MESSAGE": "JP: ドアを開ける || CZ: OTEVŘÍT DVEŘE"
"UNL_DESC_GARAGE_TANK": "JP: アジトのガレージに\n戦車が追加された || CZ: V garáži u bejváku na tebe čeká tank."
"WPNCAT_PISTOL": "JP: ピストル || CZ: PISTOLE"
"TUT_WHORED_NUTSHOTS": "JP: ナッツクラッシュ || CZ: DO KOULÍ NE"
"TUT_TITLE_IMPROVISED_WEAPONS": "JP: 即席の武器 || CZ: IMPROVIZOVANÉ ZBRANĚ"
"TUT_TITLE_AUTOSAVE": "JP: オートセーブ || CZ: AUTOMATICKY ULOŽENÁ POZICE"
"TUT_ACT_INTRO_INS_FRAUD": "JP: {PRATFALL_ALT_IMG}／{PRATFALL_IMG}転ぶ\n車や物、建物などに身を投げ出して多額の保険金を請求しろ || CZ: {PRATFALL_ALT_IMG} / {PRATFALL_IMG} HADROVÁ PANENKA \nVrhej se proti autům, budovám a nejrůznějším objektům, ať získáš víc na pojistce."
"CS_TITLE_STAG_HQ_PR_CENTER": "JP: STAG本部 - 広報部 || CZ: VELITELSTVÍ STAG - PR CENTRUM"
"WPN_RC_GUN_DESCRIPT": "JP: おもちゃのリモコンカーなんて過去のもの。これからは、本物の車をリコモン操作！ || CZ: Proč si hrát s malým autíčkem na dálkové ovládání, když můžeš ovládat normální auťák!"
"FLASHPOINT_COMPLETE_TITLE": "JP: 抗争スポット || CZ: OPERACE GANGU"
"HOMIES_RANK_UP": "JP: %lsのランクが上がった！ || CZ: %ls postupuje na další úroveň!"
"TUT_VEHICLE_TURRET": "JP: {ATTACK_PRIMARY_IMG}タレットで攻撃\n武装した乗り物の操縦時 || CZ: {ATTACK_PRIMARY_IMG} PALBA Z VĚŽE \nFunguje pouze ve vozidle, které má palebnou věž. "
"WPN_KBGLOVES_DESCRIPT": "JP: キルベインお馴染みの必殺技が、持ち運び可能な手袋に！ || CZ: Killbanův speciální vražedný útok, nyní doplněný o přenosné rukavice!"
"HUD_HEALTH": "JP: 体力 || CZ: ZDRAVÍ"
"CHOP_SHOP_DISPLAY_DISTRICT_UNKNOWN": "JP: 不明 || CZ: NEZNÁMÉ"
"CS_TITLE_STILWATER": "JP: STILWATER || CZ: STILWATER"
"HOMIES_DISMISSED": "JP: %lsに休暇を与えた || CZ: %ls byl odvolán!"
"UNL_FOLLOWER2": "JP: 同行仲間2人 || CZ: GANG - PARŤÁCI 2"
"TUT_WHORED_Z_10_CENTS": "JP: 空き缶コレクター || CZ: 10 CENTŮ NAZPÁTEK"
"TUT_DRIVING_STUNTS": "JP: 運転中にスタントを決めれば、リスペクトを獲得できる。スタントの種類はデバージョン表示画面に表示される || CZ: Za kaskadérskou jízdu získáváš respekt. Všechny druhy jízdy jsou popsané na obrazovce diverzí."
"TUT_TEMP_WEAPON": "JP: この武器は使用回数が限られている。通常の武器のようには持ち運びできず、車両に乗るときは捨てなければならない || CZ: Tato zbraň má omezený počet nábojů a nelze ji nosit jako běžnou zbraň. Pokud chceš nastoupit do vozidla, musíš ji zahodit."
"TUT_TITLE_NOTORIETY_DECREASES": "JP: 悪評度 || CZ: POZORNOST"
"PLAYER_CHOICE_M22_OPTION1_BODY": "JP: キルベインを殺し\nショーンディを見捨てる || CZ: Zabiješ Killbana, ale Shaundi zemře"
"TUT_TITLE_EXPLORE": "JP: 縄張りの支配 || CZ: VLASTNICTVÍ NEMOVITOSTÍ"
"SATELLITE_MISSILES_LEFT": "JP: ミサイル || CZ: STŘELY"
"TUT_WHORED_D_31DAYS": "JP: ゾンビの襲撃 || CZ: 31 DNÍ POTÉ"
"TUT_DLC_GENKI_GUN": "JP: {ATTACK_SECONDARY_IMG}タコを起爆\nゲンキ博士のタコランチャーに被弾した敵は、味方になって戦ってくれる。タコは好きなときに手動で起爆することもできる || CZ: {ATTACK_SECONDARY_IMG} ODPÁLÍ CHOBOTNICI.\nKdyž zasáhneš lidi Genkiho chobotnicí, budou bojovat na tvé straně. Hlavonožce můžeš navíc kdykoli ručně odpálit."
"PLAYER_CHOICE_M13_OPTION1_BODY": "JP: 報酬：STAGによる街の占拠アシスト || CZ: ODMĚNA: STAG obsadí pro Svaté jednu čtvrť."
"CHOP_SHOP_DISPLAY_DISTRICT_FREEWAY": "JP: 高速道路 || CZ: DÁLNICE"
"TUT_TITLE_STORE_INTRO_VEHICLE_DEALER": "JP: 乗り物ディーラー || CZ: PRODEJCI AUT"
"HUD_USE_PARACHUTE": "JP: パラシュートを開く || CZ: OTEVŘÍT PADÁK"
"UNL_DESC_HOMIE_JOSH": "JP: ジョッシュの連絡先が携帯電話の電話帳に追加された\n呼び出せば一緒に戦ってくれる || CZ: Mezi kontakty v telefonu najdeš Joshe. Pomůže ti v boji."
"TUT_TITLE_JUMP_CLIMB": "JP: ジャンプ／よじ登る || CZ: SKOK/ŠPLHÁNÍ"
"TUT_DIV_INTRO_BASE_JUMPING": "JP: できるだけマーカーの近くに着地してリスペクトを獲得しろ || CZ: Pokud se přistát co nejblíže značky, získáš tak respekt."
"HUD_USE_LEFT_STICK_MESSAGE": "JP: {ANALOG_LS_IMG}で移動 || CZ: PÁČKOU {ANALOG_LS_IMG} SE POHYBUJEŠ"
"TUT_MIS_02_SKYDIVE_FLIP": "JP: {ANALOG_LS_IMG} 移動\n{ANALOG_RS_IMG} 照準\n{SKYDIVE_FLIP_IMG} 上下の視界変更 || CZ: {ANALOG_LS_IMG} POHYB\n{ANALOG_RS_IMG} ROZHLÍŽENÍ\n{SKYDIVE_FLIP_IMG} PŘEMET"
"HUD_TRIGGER_DISABLED_MISSION": "JP: ミッションが終わるまではここには入れない || CZ: SEM BĚHEM TÉTO MISE NEMŮŽEŠ"
"HUD_OPEN_DOOR_MESSAGE": "JP: ドアを開ける || CZ: OTEVŘÍT DVEŘE"
"SATELLITE_FIRE_MISSILE": "JP: 通常ミサイル || CZ: NEŘÍZENÁ STŘELA"
"HUD_MINUTES": "JP: 分 || CZ: MINUT"
"UNL_SPRINT_4": "JP: スタミナアップ4 || CZ: SPRINT - PRODLOUŽENÍ 4"
"TUT_TITLE_ACT_INTRO_HUMAN_TORCH": "JP: ファイアレース || CZ: ŽIVÁ POCHODEŇ"
"TUT_TITLE_ACT_INTRO_MAYHEM": "JP: メイヘム || CZ: VANDALSTVÍ"
"HOMIES_ANGRY_LEFT": "JP: %lsに見捨てられた！ || CZ: %ls tě opouští!"
"UNL_DESC_NOTORIETY_COPS_1": "JP: 警察の悪評度が\n少し速く低下する || CZ: Pozornost policie bude klesat o něco rychleji"
"TUT_WHORED_A_AW_NUTS": "JP: ナッツクラッシュ || CZ: AU, KOULE"
"TUT_WHORED_A_WELCOME": "JP: ハンマータイム || CZ: ČAS NA PAŘBU"
"TUT_TITLE_ACTIVITY_COMPLETE": "JP: アクティビティクリア || CZ: AKTIVITA DOKONČENA"
"USE_TRIGGER_DROP_BIKE": "JP: バイクを入手する || CZ: SE ZBAVIT MOTORKY"
"TUT_WHORED_Z_START_YOUNG": "JP: ミニゾンビの襲撃 || CZ: AŤ ZAČNOU MLADÝ"
"TUT_WHORED_D_WEENIE ROAST": "JP: ローストウィンナー || CZ: GRILOVANÝ KLOBÁSKY"
"TUT_TITLE_STORE_INTRO_SURGEON": "JP: 美容外科 || CZ: PLASTIČTÍ CHIRURGOVÉ"
"HUD_CANCEL_PERSISTENT": "JP: 表示画面をクリア || CZ: VYČISTIT ROZHRANÍ"
"TUT_WHORED_DRUNKENROCKETS": "JP: 酔っ払いロケット || CZ: OŽRALÉ RAKETY"
"FORMAT_TIME_SECS": "JP: {0} secs || CZ: {0} sekund"
"TUT_WHORED_MINISNIPERS": "JP: ミニスナイパー || CZ: MINI-SNIPEŘI"
"PLAYER_CHOICE_M21_OPTION2_BODY": "JP: 報酬：武器「アポカフィスト」 || CZ: ODMĚNA: Zbraň Apokapěsti"
"FLASHPOINT_TOTAL_COMPLETED": "JP: 抗争スポットクリア率%d／%d || CZ: NARUŠENÍ OPERACE GANGU %d/%d"
"HUD_FOOTAGE": "JP: 映像 || CZ: FOTKY"
