"CUST_ITEM_CF_HAIR_MED": "SCHULTERLANG"
"CUST_RONIN_TAUNT_A": "RONIN-SPOTTGESTE 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "WANGENKNOCHENGRÖSSE"
"CUST_COLOR_CLOTHING_ORANGE_6": "ORANGE 6"
"CUST_COMP_EYE_MAKEUP_18": "GOTH-NACHT"
"CUST_VARIANT_MIXED": "GEMISCHT"
"CUST_ITEM_CF_RING_F_STUDRING": "DIAMANTNIETEN"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "STEAMPUNK-SCHICK"
"CUST_COMP_TEST_CHEEK_MAKEUP": "AUFGEDONNERT"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "SAINTS LUXUSUHR"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "ENGE SHORTS"
"CUST_ITEM_LPA_M_SPACE_HELMET": "INTERGALAKTISCHER HELM"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "OBERE AUGENLIDHÖHE"
"CUST_COLOR_CLOTHING_BLUES_7": "BLAU 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "ROTORANGE 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "ROSTFREIER STAHL"
"CUST_VARIANT_TRACK_B": "STIL 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "DISCO-FIEBER"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "OHRHÖHE"
"SLOT_DECAL_7": "AUFKLEBER 7"
"LOGO_BOOT": "STIEFEL"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "LEDERSCHUHE"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "DOPPELKINNHÖHE"
"HAIR_COLOR_BLUE": "BLAU"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "WANGENHÖHE"
"VEHICLE_COLOR_BLACK": "SCHWARZ"
"SLOT_GAS_TANKS": "TANKSTUTZEN"
"CUST_COLOR_CLOTHING_GREENS_6": "GRÜN 6"
"CUST_TATTOO_STOMACH_8": "FLEUR D'ART"
"CUST_COMP_FACE_SCAR_2": "GROSSE NARBE 2"
"COLOR_SLOT_WINDOW_NET": "FENSTERNETZ"
"SLOT_BODY_COLOR": "KAROSSERIEFARBE"
"LOGO_UNIVERSITY_1": "STILWATER U 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "URBAN SAFARI JACKE MIT HOHEM T-SHIRT"
"VEHICLE_COLOR_DEEP_GRAY": "TIEFGRAU"
"CUST_VARIANT_SHIRT_B": "STIL 2"
"CUST_VARIANT_SANDAL": "SANDALE"
"CUST_VARIANT_FLOWER_BAND": "BLUMENBAND"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "WELTRAUMPRINZESSINNEN-OBERTEIL"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "DOPPELKINN"
"PLAYER_GENDER_TEXT": "FIGUR"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "MAMBASCHUHE MIT HOHEN ABSÄTZEN"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "IGEL"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "OBERLIPPENBREITE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "BLAUGRÜN 1"
"VEHICLE_COLOR_TITANIUM": "TITAN"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "HELLER-TAG-ORANGE"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "MITTELFINGER DOPPELT"
"SURGEON_CAT_PRESETS": "VORLAGEN"
"LOGO_GUITAR": "GITARRE"
"LOGO_FEEDDOGS": "FEED DOGS"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "WELTRAUMPRINZESSINNEN-LEGGINS"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "HELD VON STEELPORT"
"PRESET_WARNING_BODY": "Wenn du diese Voreinstellung auswählst, gehen deine aktuellen Einstellungen verloren.\nBist du sicher, dass du das möchtest?"
"CUST_COMP_EYES_DARK_BLUE": "DUNKELBLAU"
"CUST_COLOR_ORANGE_4": "ORANGE 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "BONDAGE-LEDERHOSE"
"CUST_TATTOO_UPPER_CHEST": "OBERE BRUST"
"CUST_COLOR_CLOTHING_RED_4": "ROT 4"
"VEHICLE_COLOR_TINT_40": "40%% DECKKRAFT"
"SLOT_EXHAUST_TIPS": "AUSPUFFROHRE"
"LOGO_CAVE_4": "PHANTOMHÖHLE 4"
"CUST_COMP_FACE_WART_1": "WARZE 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "NEBELGRAU"
"COLOR_SLOT_PAINT_2_AND_TRIM": "LACK 2 UND ZIERSTREIFEN"
"IRIDESCENT_4": "IRISIEREND 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "STEAMPUNK-KORSETT"
"CUST_MENU_FIGURE_PRESETS": "KÖRPERBAUVOREINST."
"CUST_VARIANT_PLAID": "KAROS"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "DAMENKAMPFSTIEFEL"
"LOGO_SQD": "SIGMA THETA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "ROTES TUCH"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "BUSINESS-FREIZEITHOSE"
"CUST_SKIN_RED_YELLOW_2": "KAROTTE"
"CUST_SKIN_METAL_5": "SAPHIR"
"COLOR_SLOT_PAINT_2": "LACK 2"
"COLOR_SLOT_INTERIOR_2": "INNENAUSSTATTUNG 2"
"HAIR_COLOR_BLONDE": "BLOND"
"COMPONENT_OPTION_B": "OPTION B"
"CUST_SAMEDI_COMPLIMENT_C": "SAMEDI-KOMLIMENT 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "DETEKTIVHUT"
"CUST_INSULT_LINE": "BIS HIERHIN UND NICHT WEITER"
"CANCEL_WARNING_BODY": "Bist du sicher, dass du deine Änderungen verwerfen möchtest?"
"WARDROBE_TITLE": "KLEIDERSCHRANK"
"COLOR_SLOT_RIMS_1": "FELGEN 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "SAM-DESIGN 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "MOTORRADHANDSCHUHE"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "NASENSPITZENTIEFE"
"CUST_COLOR_CLOTHING_VIOLET_8": "VIOLETT 8"
"HAIR_COLOR_BLEACHED_MATTE": "MATTWASSERSTOFFBLOND"
"LOGO_FRECKLE_2": "FRECKLE BITCHS 2"
"CUST_VARIANT_TIGER": "TIGER"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "SUBTERFUGE TRENCHCOAT"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "DAS TIER IN DIR"
"CUST_SAMEDI_TAUNT_B": "SAMEDI-SPOTTGESTE 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "GEBISSTIEFE"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "KRISTALLWEISS"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "HAIBISSOHRRINGE"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "NASENFLÜGEL"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "PISTOLEN-T-SHIRT"
"CUST_TATTOO_ENTIRE_CHEST": "GANZE BRUST"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "NASENLOCHBREITE"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "OBERLIPPENWINKELGRÖSSE"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "HELLBLAU GETÖNT"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "IN HOSE, GESCHL., HOHE HOSE, K. TRÄGER, KRAW."
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "IMPRESSIONS DAMEN R"
"CUST_ITEM_FEMALE_LP_BRA_1": "SPINNENBISS"
"CUST_SKIN_METAL_1": "SILBER"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "ANTENNE"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "SUPERENGE JACKE"
"CUST_ITEM_CF_HAIR_CORNROWS": "SAINTS ROWS"
"PLAYER_MORPH_EAR_YAW_TEXT": "OHRENABSTAND"
"FEMALE_BODYBUILDER": "WEIBLICH, BODYBUILDER"
"CUST_VARIANT_GLITTERY": "GLITZERIG"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "FITNESSHOSE"
"FACIAL_EXPRESSION_DOPEY": "DÄMLICH"
"LOGO_STILWATER_CYCLE": "STILWATER BIKES"
"FACTORY_STANDARD_HOOD_W__INTAKE": "STANDARDHAUBE MIT HUTZE"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "MITTLERE PUNKTE"
"CUST_WEAR_RIGHT": "RECHTS"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "HUNGERNDER KÜNSTLER"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "SAINTS BAGGY PANTS"
"SLOT_DECAL_3": "AUFKLEBER 3"
"CUST_VARIANT_ARMS": "WAFFEN"
"CUST_CAT_HAIR_COLOR_SECONDARY": "ZWEITFARBE HAARE"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "NASENRÜCKENFORM"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "Du hast die maximal Anzahl der Gegenstände in dieser Kategorie erreicht."
"CUST_COLOR_CLOTHING_BLUES_3": "BLAU 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "ROTORANGE 5"
"HAIR_COLOR_RED_MATTE": "MATTHELLROT"
"BRIGHT_ORANGE": "HELLORANGE"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "BROSEPH SHORTS"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "PARTYGIRL-ABSÄTZE"
"CUST_CAT_MAKEUP_CHEEKS": "WANGEN"
"CUST_FACIAL_EXP_EMBARRASSED": "VERLEGEN"
"PLAYER_MORPH_BROW_CURVE_TEXT": "AUGENBRAUENSCHWUNG"
"PLAYER_CREATION_HAIR_LENGTH": "HAARLÄNGE"
"LOGO_HEADSTONE": "GRABSTEIN"
"CUST_COLOR_GRAY_2": "GRAU 2"
"CUST_VARIANT_DULL": "PASTELL"
"CUST_WEAR_STUD": "STECKER"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "REBELLENSTIEFEL"
"SLOT_RIMS_FRONT": "FELGEN VORNE"
"SLOT_TAILLIGHTS": "HECKLICHTER"
"SLOT_REAR_BUMPER": "HECKSTOSSSTANGE"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "IMPRESSIONS HERREN N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "STARLETT"
"GANG_CUST_RANDOM": "ZUFÄLLIG"
"CUST_COLOR_CLOTHING_GREENS_2": "GRÜN 2"
"CUST_COMP_FACE_SCAR_6": "KLEINE NARBE 2"
"COMPONENT_HIGH_PROFILE": "HOCH"
"LOGO_UNIVERSITY_5": "STILWATER U 5"
"CUST_WEAR_DEFAULT": "STANDARD"
"CUST_SKIN_BLUE_2": "TRAURIGES BLAU"
"CUST_COMPLIMENT_Y": "WUFF WUFF"
"PLAYER_MORPH_JAW_TEXT": "GEBISS"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "BLAUGRÜN 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Wirf weiter."
"CUST_GANG_COP": "COP"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "RUNDUM-SONNENBRILLE"
"CUST_TATTOO_RIGHT_FOREARM": "RECHTER UNTERARM"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "WANGENTIEFE"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "WANGENKNOCHENABSTAND"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "NEIGUNGSBREITE"
"PLAYER_CREATION_TITLE": "SPIELERERSTELLUNG"
"RIM_SET_019": "FELGENSATZ 19"
"COLOR_SLOT_RIMS": "FELGEN"
"CUST_VARIANT_STRIPE_1": "EIN STREIFEN"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "URBAN SAFARI ROLLKRAGENPULLI"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "SKATER-HAARSCHNITT"
"PLAYER_MORPH_EAR_BEND_TEXT": "OHRKRÜMMUNG"
"CANT_WEAR_MEDALLION": "Um dieses Medaillon tragen zu können, benötigst du eine mittlere oder lange Halskette."
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Erhöhe die Munitionskapazität."
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "STRASSE 1"
"CUST_COLOR_CLOTHING_RED_8": "ROT 8"
"COLOR_SLOT_DRAPES": "VORHÄNGE"
"CUST_ITEM_FEMALE_LL_BRA_4": "HARTES MÄDCHEN"
"CUST_ITEM_CM_SUIT_CARDINAL": "KARDINALSROBE"
"FACIAL_EXPRESSION_DEATH_B": "TODESKAMPF 2"
"FACIAL_EXPRESSION_JOYFUL": "FRÖHLICH"
"CUST_COLOR_CLOTHING_YELLOWS_3": "GELB 3"
"CUST_TATTOO_RUPPARM_3": "ÄGYPTISCHE GÖTTIN"
"COLOR_SLOT_PAINT_1_AND_RIMS": "LACK 1 UND FELGEN"
"CUST_VARIANT_STONEWASH_JEANS": "STONE WASHED"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "BIKERBRAUT"
"CUST_ITEM_LPA_M_SPACEPACK": "ASTRO-RUCKSACK"
"PLAYER_MORPH_FACE_AGE_TEXT": "GESICHTSALTER"
"CUST_GANG_MASCOT": "MASKOTTCHEN"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "RITTERRÜSTUNG"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "ANZUGHEMD MIT KRAWATTE"
"CUST_ITEM_CF_HAIR_LONGBANGS": "ÄGYPTISCHE PRINZESSIN"
"FACIAL_EXPRESSION_PAIN_C": "LEID"
"CUST_BRO_COMPLIMENT_A": "BRUDERSCHAFT-KOMLIMENT 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "STERNE"
"CUST_VARIANT_HAWAII": "HAWAII"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "KANINCHENMASKE"
"CUST_TATTOO_LFORARM_3": "RASIERER"
"HAIR_COLOR_LIGHT_BROWN": "HELLBRAUN"
"COMPONENT_PAINT_2": "LACK 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "TOP-DOG-HALSBAND"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "FUNTIME!-STIEFEL"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS HERREN B"
"CUST_ITEM_GAT_BOBBLE": "WACKELKOPFFIGUR 'GAT'"
"CUST_ITEM_6_LOOPS_RIGHT_2": "RAUHER GESELLE"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "NACKENHÖHE"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "ALTHERREN-MOKASSINS"
"CUST_VOICE": "STIMME"
"CUST_COMP_MUSTACHE_21": "SOUL-BRUDER"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "MILCHKAFFEEBRAUN"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "IRISIERENDER LACK"
"SLOT_MECHANICAL_COLOR": "MECHANIKFARBE"
"CUST_COLOR_TEAL_2": "SAND 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "REICHES MÄDCHEN"
"CUST_COMP_EYES_WHITE": "WEISS"
"CUST_VARIANT_LIGHT_PLATINUM": "HELLES PLATIN"
"CUST_INSULT_CHEST": "SCHUBSER"
"CUST_GANG_MORNING_STAR": "MORGENSTERN"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "RECHTS HOCHGEKREMPELT, HOCH"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMURAI"
"CUST_TATTOO_RARM_1": "STREET SAINT"
"RIM_155": "LX-14"
"DIRT": "SCHMUTZ"
"CUST_WEAR_RIGHT_ROLLED_UP": "RECHTS HOCHGEKREMPELT"
"CUST_ITEM_CM_HAT_MOTORHELMET": "CHOPPER-HELM"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "BAD BOY"
"CUST_MAKEUP_VARIATION": "VARIATIONEN"
"LOGO_BALANCE_2": "BALANCE 2"
"CUST_VARIANT_TIE": "MIT KRAWATTE"
"CUST_WEAR_FORWARD_RIGHT": "VORNE RECHTS"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "MODERNES JACKETT MIT SWEATER"
"CUST_ITEM_LEATHER_LACE_MALE_B": "GENUSS UND SCHMERZ"
"CUST_ITEM_CF_HAIR_BEEHIVE": "BIENENKÖNIGIN"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "HIPPIE-SANDALEN"
"SLOT_REINFORCED_FRAME": "VERSTÄRKTER RAHMEN"
"CUST_COLOR_RED_4": "ROT 4"
"LOGO_NUMBER12": "NUMMER 12"
"CUST_VARIANT_2_SIDED_FADE": "ZWEISEITIGER ÜBERGANG"
"CUST_WEAR_FRONT RIGHT": "VORNE RECHTS"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "CYBERSPACE"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "EMO SNEAKER"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "UNARTIGE LATEXHANDSCHUHE"
"RIM_SET_011": "FELGENSATZ 11"
"CUST_VARIANT_SHINY": "GLÄNZEND"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "HERAUSHÄNGEND, GEKNÖPFT, KRAWATTE"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "BAD-GIRL-BUSTIER"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "NASENFLÜGELMITTELBREITE"
"PLAYER_MORPH_HUE_TEXT": "TEINT"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "VIOLETTBLAU 6"
"SLOT_WINDOW_COVERS": "FENSTERVERKLEIDUNG"
"SLOT_HOOD_ORNAMENT": "MOTORHAUBENVERZIERUNG"
"BRIGHT_INDIGO": "HELLINDIGO"
"CUST_VARIANT_BIG_STRIPES": "DICKE STREIFEN"
"CUST_VARIANT_POLO_2": "POLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "BANDENLEDEROBERTEIL"
"CUST_TATTOO_STOMACH_4": "EINHORN TRÄUME"
"CUST_COMP_MUSTACHE_2": "PORNOBALKEN"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "TOTENKOPF"
"LOGO_RAYS_1": "STRAHLEN 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "COWGIRL-HUT"
"CUST_COMPLIMENT_Q": "CABARET"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "UNTERER AUGENLIDSCHWUNG"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "GESICHT INSGESAMT"
"CUST_VARIANT_TIE_DYE_2": "KRAWATTENFARBE 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "KÄFERBRILLE"
"CUST_TATTOO_LEFT_FOREARM": "LINKER UNTERARM"
"FACIAL_EXPRESSION_HAPPY": "GLÜCKLICH"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "NEIGUNGSTIEFE"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "IMPERIUM-HELM"
"CUST_SKIN_CAUCASIAN_02": "KAUKASISCH 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "ROTORANGE 9"
"CUST_COMP_FACE_BLOODY_LIP": "LIEBESBISS"
"CUST_TATTOO_LEFT_ARM": "GANZER LINKER ARM"
"CUST_TATTOO_RARM_5": "SCHÖNHEITSBOTE"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "HYDRAULIK"
"CUST_VARIANT_SHORTSHORTS": "KURZE SHORTS"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "JOYSTICK JUNKIES HOT SAINT"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "VIXEN-KORSETT"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "BAD-GIRL-SANDALEN"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "KAMPFHANDSCHUHE"
"CUST_SKIN_ASIAN_03": "ASIATISCH 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "AUGENTIEFE"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "HELLSEEGRÜN GETÖNT"
"RIM_SET_015": "FELGENSATZ 15"
"VEHICLE_PAINT_INTERRIORS": "INNENAUSSTATTUNG"
"BRIGHT_RED": "HELLROT"
"FEMALE_AVERAGE": "WEIBLICH, DURCHSCHNITTLICH"
"CUST_VARIANT_PRIMARY": "PRIMÄR"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "BLAUGRÜN 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Lasse das ferngesteuerte Fahrzeug explodieren."
"CUST_COMP_FACE_GILLS": "KIEMEN"
"CUST_COLOR_ROSE_4": "ROSE 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "UNTERLIPPENMITTELHÖHE"
"CUST_COMP_MUSTACHE_6": "AUFGEZWIRBELT"
"CUST_VARIANT_SILVER": "SILBER"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "NEIGHBOR JACKETT UND WESTE"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "BASISJEANS"
"CUST_FINGERNAILS": "FINGERNÄGEL"
"CUST_COMPLIMENT_U": "BRUSTKLOPFER"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "VIOLETTBLAU 2"
"CUST_COMP_FACE_DIMPLE": "GRÜBCHEN"
"CUST_VARIANT_STRIPE": "GESTREIFT"
"CUST_WEAR_HIGH_BOTH_ROLLED": "BEIDE HOCHGEKREMPELT, HOCH"
"CUST_ITEM_IMPRESSIONS_MALE_B": "IMPRESSIONS HERREN B"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "DAUNENWESTE"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "OBEN KURZ, DESIGN B"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "MANIKÜRTE FINGERNÄGEL"
"CUST_WEAR_NORMAL_LOW": "NORMAL, TIEF"
"CUST_COLOR_CLOTHING_VIOLET_4": "VIOLETT 4"
"HAIR_COLOR_REDHEAD_MATTE": "MATTROTSCHOPF"
"CUST_VARIANT_NO_STRIPES": "UNI"
"CUST_WEAR_TATTOO_BAND_A": "BAND 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "LINKS OFFEN, HOCH"
"CUST_ITEM_TROOPER_SHADES": "BEREIT FÜR HOLLYWOOD"
"CUST_COLOR_CLOTHING_YELLOWS_7": "GELB 7"
"CUST_TATTOO_RUPPARM_7": "DER TIGER IN DIR"
"CUST_COMP_FACE_BLOODY_NOSE": "BLUTIGE NASE"
"CUST_VARIANT_TIE_DYE": "KRAWATTENFARBE"
"player_lips_gloss": "LIPGLOSS"
"FACIAL_EXPRESSION_GRUMPY": "STINKIG"
"CUST_TATTOO_LFORARM_7": "BLITZ"
"COLOR_SLOT_TRIM_4": "ZIERSTREIFEN 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "KRIEGERPRINZESSIN"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "SPRUNGWURF"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "LEDERJACKEN-OUTFIT"
"CUST_VARIANT_SPORT_SHORTS_2": "STIL 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "FAULER-SACK-CAPRIS"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "NASENLOCHTIEFE"
"CUST_COMP_MUSTACHE_25": "DER MARSIANER"
"SLOT_BODY_KIT": "KAROSSERIEERGÄNZUNGEN"
"CUST_VARIANT_PIMPCOAT_HEARTS": "HERZEN"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "KUNSTHOCHSCHULE"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "NASENSPITZENBREITE"
"VEHICLE_COLOR_RED_LIGHT_TINT": "HELLROT GETÖNT"
"CUST_VARIANT_SANDALS_03": "NORMAL"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "RUNWAY-PILOTENBRILLE"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "FLEUR DE LIS-LOGO"
"CUST_CAT_RIGHT_WRIST": "RECHTES HANDGELENK"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "KIEFERBREITE"
"COMPONENT_OPTION_1": "OPTION 1"
"SLOT_INTERIOR_COLOR": "INNENAUSSTATTUNG FARBE"
"SK02": "HAUT02"
"CUSTOM_WALK_2": "ZUHÄLTERSTIL"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "Trage mehr Raketen."
"CUST_TATTOO_LOWBACK_5": "KALTER STAHL"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "ZUKUNFTSSOLDATENRÜSTUNG"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "Trage mehr Sprengladungen."
"CUST_TATTOO_NECK_1": "NAUTISCHER STERN"
"CUST_COMP_BODY_MASK_1": "KEIN(E)"
"LOGO_MUSEUM_ERO_1": "EROMENOS MUSEUM 1"
"CUST_VARIANT_BIKER_NODECAL": "KEINE AUFKLEBER"
"CUST_VARIANT_PLAIN_NO_TIE": "UNI"
"CUST_WEAR_SUSPENDERS": "HOSENTRÄGER"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "CROOKS & CASTLES T-SHIRT B"
"CUST_ITEM_SHORT_SOCKS": "KLETTVERSCHLUSS"
"CUST_ITEM_BIKER_BOOTS_3": "FAULER-SACK-SCHUHE"
"CUST_TATTOO_RIGHT_LEG": "RECHTES BEIN"
"FACIAL_EXPRESSION_SAD": "TRAURIG"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "MITTLERE BRAUENHÖHE"
"CUST_COMP_EYE_MAKEUP_15": "NILKÖNIGIN"
"CUST_COLOR_BLEACHED_BLONDE": "WASSERSTOFFBLOND"
"CUST_VARIANT_17_DEFAULT": "STIL 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "MOCAP"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "FUNTIME!-STRING"
"PRESET_WARNING_HEADING": "WARNUNG"
"CUSTOM_WALK_MALE": "STANDARD MANN"
"PLAYER_MORPH_EYE_SPACING_TEXT": "AUGENABSTAND"
