"Storye01_In_Crawl_02": "История об истории человечества."
"CTO_Pierce02_08_Pierce": "Тогда загляни в \"Порох\"."
"Story14_In_02_Kinzie": "Тебе нужно на это взглянуть..."
"Story12_In_13_Pierce": "Тебя зовут Кровавая Монашка."
"Story01_In_11_Player_BM": "Ладно, народ..."
"CTO_Kinzie01_11_Player_BM": "Вот это дело."
"Story21_Zscene01_05_Bobby": "Сколько же может один человек..."
"Story16_Zscene01_04_Player_BM": "Что за херня..."
"Story19_In_20_Viola": "Ты в курсе?"
"Story17_Out_07_Monica": "Я знала Святых. Как отреагировал мэр Рейнолдс?"
"Story16_In_04_Player_BM": "Отличный план, Кинзи."
"Story11_Out_02_Josh": "Мужчины и женщины, служащие в КАБАНе, каждый день рискуют своими жизнями, чтобы защитить нас от насилия банд. Хотите быть настоящим героем? Поговорите с местным вербовщиком КАБАНа."
"Story08_Out_03_Matt": "Дамы, это очень дерьмовый план."
"Story07_Out_07_Kiki": "Успокойся, Эдди..."
"Story14_In_07_Killbane": "Нет-нет, Джейн, прошу вас, пожалуйста. Меня можно назвать эксцентричным, но я обычный артист дефис бизнесмен дефис филантроп дефис..."
"Story11_In_02_Pierce": "Я двадцать кусков на эту игру поставил!"
"Story19_In_09_Reynolds": "А кто еще сможет управлять этим городом? Кроме того, мне нравятся мои избиратели."
"Story07_Out_12_Player_BM": "Поговорите с одним из этих парней, у них будет для вас пара заданий. Пришло наше время - начинаем."
"Story02_In_30_Shaundi": "Что с самолетом?"
"Story02_In_12_Player_BM": "Вы хотя бы представляете, с кем вы связались?"
"Story01_In_08_Josh": "Вы что, грабите банк, переодевшись... в себя?"
"Story17_In_05_Player_BM": "Я войду туда со своими арестантами, меня отведут в тюремный блок, я заберу Шаунди и мы уйдем."
"Story15_In_09_Player_BM": "Так как же нам справиться с Декерами?"
"Story01_In_02_Gat": "Намечается крупная кража. Ты к такому готов?"
