"Storye01_In_Crawl_02": "Die Geschichte der Menschheit"
"Story13_In_10_Pierce": "Das hast du absichtlich gemacht."
"Story12_In_08_Pierce": "Mensch, das ist Johnnys Comic ... er hat sein Gesicht an Ultor verkauft. Die machen einen Film aus dem Scheiß."
"Story02_In_05_Gat": "Nein, mit uns? Birk hat Recht. Wir haben keine Eier mehr. Ernsthaft ... Filmdeals? Werbung? Der Name der Saints hat mal mehr als Deodorant und ekelige Energy Drinks bedeutet."
"Story01_In_09_Gat": "Teufel, ja. Wer will schließlich nicht Johnny Gat sein?"
"Genki_Zach01": "Hallo, Steelport, und willkommen zu 'Professor Genki's Super Ethical Reality Climax'!"
"Story01_Zscene02_07_Shaundi": "Holen wir den Hubschrauber und heben das Baby hier raus."
"Story22_Zscene01_08_Killbane": "Glaube mir - Wenn diese Hände deine Kehle zerquetschen, dann wird dein Todeshauch kein Gebet an Gott und auch keine Liebesbotschaft an deine Familie sein. Man wird nur \"Danke, Killbane\" hören."
"Story21_Zscene01_01_Bobby": "OH, MEIN GOTT! Angel ist aus dem Ring raus!"
"Story16_Zscene02_02_Matt": "Ich kann deinen Namen reinwaschen, beweisen, dass du diese Brücke nicht zerstört hast."
"Story01_In_19_Josh": "MIST!"
"Story01_In_27_Shaundi": "Bitte lächeln und \"Cheese\" sagen!"
"Story02_Zscene01_03_Shaundi": "Johnny ..."
"Story22_OutB_07_Monica": "Sie haben das Kriegsrecht verhängt und die halbe Stadt umgenietet. Die Saints haben gerade ein wertvolles Monument gerettet. Was glauben Sie wohl, zu wem die Öffentlichkeit halten wird?"
"Story15_In_14_Matt": "Danke für den Tipp, Agent Kensington."
"SH_Morningstar02_10_Player_BM": "Ich gebe also vor, ein exzentrischer Millionär zu sein? Und dann?"
"Story13_In_07_Player_BM": "Shaundi ... etwas freundlicher bitte."
"Story10_In_01_Oleg": "Ich wusste gar nicht, dass Sie eine Kunstmäzenin sind, Viola."
"Story07_In_15_Player_BM": "Entspann dich, Shaundi. Okay, Großer, was meinst du?"
"Story07_In_05_Killbane": "Zeit für unsere Aktion, Jungs."
"Story02_In_04_Shaundi": "Wir wurden verhaftet."
"22_Choice_10_Kia": "Wir werden sehen, wie viele Leute das glauben, wenn sie Shaundi und Viola in den Trümmern finden."
"Story21_Zscene04_03_Zach": "Die Wandelnde Apokalypse hat sich die Arme brechen lassen, ohne sich zu ergeben, aber der Stilwater Butcher hat das Unmögliche vollbracht!"
"Story16_Zscene02_04_Matt": "Die Welt liegt buchstäblich unter meinen Fingerspitzen."
"Story19_In_10_Player": "Sir, ich bin ein großer Fan von Ihnen."
"SH_Decker_12_Kinzie": "Ich brauche den Stuhl, um die Deckers aufzuhalten."
"Story07_In_12_Player_BM": "Keine Regeln? Damit komm ich klar."
"Story19_Out_03_Monica": "Komplikationen?! Erzählen Sie mir nichts von Komplikationen - Ich will Ergebnisse!"
"Story11_Out_05_Monica": "Den Krieg gewinnt man nur mit dem Herzen, meine Liebe."
"Story10_In_09_Player_BM": "Kannst du auch nett sein?"
"Story02_In_11_Phillipe": "Nehmt sie ab."
"Story01_In_17_Shaundi": "He, sei nicht so ein Arschloch."
"CTO_Kinzie01_06_Kinzie": "Power Leveling."
"Story19_Out_05_Monica": "Selbst, wenn der Kongress an Bord ginge, würde das Heimatschutzministerium das niemals zulassen! Uns entgleitet die Kontrolle. Ich komme nach Steelport!"
"Story17_Out_02_Pierce": "Wir haben es vielleicht übertrieben."
"Story21_Zscene03_04_Bobby": "Wir haben das Gesicht der Wandelnden Apokalypse gesehen. Und, um ehrlich zu sein, es ist ein Mann mit einem schwindenden Haaransatz."
"Story01_Zscene02_04_Josh": "Was? Ich will nicht die Hure von irgendwem sein!"
"Story01_Zscene01_04_Player_BM": "Josh, komm hierher ..."
"Story16_Out_05_Killbane": "Ein Arbeitsplatz bei mir ist anspruchsvoll. Matty, ich freue mich, dass du mir deine Sorgen mitteilst. Ich meine, die Art, wie Viola und Kiki ihre ... Abreise erledigt haben, hat in mir das Verlangen geweckt, jemanden zu töten, weißt du?"
"Story11_In_01_Player_BM": "Pack zusammen, wir müssen los."
"Story10_In_07_Player_BM": "Und was springt für dich dabei raus?"
"Story02_Zscene01_01_Shaundi": "Johnny, wir werden jetzt springen!"
"Story11_In_06_Player_BM": "Hier ist es nicht sicher. Ihr räumt hier alles. Ich verschaffe euch etwas Zeit."
"Story10_In_14_Oleg": "Ladies first."
"Story14_Out_09_Shaundi": "Lerne, zu fliegen, verdammt noch mal!"
"Story19_Out_04_Cyrus": "Sie wollen Ergebnisse? Dann genehmigen Sie den Einsatz der Daedalus!"
"Story15_In_06_Kinzie": "Matt muss sich in den Bordcomputer gehackt und ihn mit einem EMP lahmgelegt haben."
"Story10_In_03_Player_BM": "Ich würde den Großen nicht verärgern."
"Story07_In_16_Oleg": "Es gibt andere, die das Syndicate ebenso sehr hassen wie ihr. Ich bringe euch zu ihnen."
"Story02_In_21_Kiki": "Vor Steuer, selbstverständlich."
"Genki_Bobby02": "Es wird Zeit, dass das Spiel erklärt wird!"
"Story13_Zscene01_04_Cyrus": "Das wird nicht passieren. STAGs Auftrag ist es, die Banden in Steelport auszulöschen. Nur, worauf wir die Feuerkraft konzentrieren, das entscheide ich. Lasst Birk frei, dann gehen wir das Syndicate eine Weile belästigen ... und geben euch Jungs etwas Luft zum Atmen."
"Story22_OutB_01_Player_BM": "Gehen wir nach Hause."
"Story17_Mid_08_Cyrus": "Danke."
"Story17_In_08_Player_BM": "Showtime."
"SH_Decker_13_Player_BM": "Danke."
"Story15_In_03_Pierce": "Ich sehe kein Bett."
"Story08_Out_01_Killbane": "NUTTEN-ATTENTÄTER?"
"Story02_In_32_Shaundi": "Johnny, du kannst nicht mal einen Schaltwagen fahren. Wie soll das gehen?"
"Story16_Zscene02_06_Matt": "Du nennst mir den Namen einer Firma und sie wird Eigentum der Saints. Du bekommst dein Imperium zurück und ich kann gehen."
"SH_Luchadore_04_Angel": "Wir verletzen viele Leute."
"Story14_In_01_Player_BM": "Was gibt's?"
"Story05_Out_03_Phillipe": "Genau mein Gedanke, Mr. Killbane."
"Story01_In_15_Player_BM": "Ihr kennt alle das Spiel."
"CTO_Angel01_03_Player_BM": "Wie auch immer es dir gefällt. Ich sage ja nur, dass ich es lieber mag, wenn die Heizung funktioniert."
"Story17_Out_10_Cyrus": "Natürlich, Ma'am."
"Story10_In_04_Viola": "Schaut, ich bin nicht zum Kämpfen hier. Wir müssen zusammenarbeiten."
"SH_Morningstar02_02_Monica": "Der Verantwortliche für diesen Terrorakt muss gefunden und zur Rechenschaft gezogen werden."
"CTO_Pierce02_08_Pierce": "Denn geh mal zum Powder."
"Story14_In_02_Kinzie": "Das musst du sehen ..."
"Story12_In_13_Pierce": "Du heißt 'Verdammte Kanonisse'."
"Story01_In_11_Player_BM": "In Ordnung, Leute ..."
"CTO_Kinzie01_11_Player_BM": "Das war deutlicher."
"Story21_Zscene01_05_Bobby": "Was kann eine Person da ausrichten?"
"Story16_Zscene01_04_Player_BM": "Was zum Teufel ..."
"Story19_In_20_Viola": "Du wusstest davon?"
"Story17_Out_07_Monica": "Ich kenne die Saints. Wie hat Bürgermeister Reynolds reagiert?"
"Story16_In_04_Player_BM": "Toller Plan, Kinzie."
"Story11_Out_02_Josh": "Die Männer und Frauen von STAG riskieren Tag für Tag ihr Leben, um die Stadt vor Gewalt zu beschützen. Willst du ein echter Held sein? Dann sprich noch heute mit deinem STAG-Anwerber. Ich habe es bereits getan."
"Story08_Out_03_Matt": "Ladies, das war ein ziemlicher Scheißplan."
"Story07_Out_07_Kiki": "Beruhige dich, Eddie ..."
"Story14_In_07_Killbane": "Nein, nein, Jane, meine Liebe, bitte. Die Saints sind Kriminelle. Nennen Sie mich exzentrisch, aber ich bin nur ein Unterhalter, Schrägstrich, Geschäftsmann, Schrägstrich, Philanthrop ..."
"Story11_In_02_Pierce": "Ich hatte 20 Mille in diesem Spiel."
"Story19_In_09_Reynolds": "Wer sonst könnte diese Stadt am Laufen halten? Abgesehen davon liebe ich meine Wählerschaft."
"Story07_Out_12_Player_BM": "Sprecht mit ihnen, denn sie haben Aufgaben für euch. Jetzt ist unsere Zeit gekommen - beginnen wir mit dem Mist."
"Story02_In_30_Shaundi": "Was ist mit dem Flugzeug?"
"Story02_In_12_Player_BM": "Habt ihr eine Ahnung, mit wem ihr euch hier anlegt?"
"Story01_In_08_Josh": "Ihr raubt eine Bank aus und verkleidet euch als ihr selbst?"
"Story17_In_05_Player_BM": "Ich gehe mit meinen Gefangenen hinein, sie bringen mich zum Zellblock, ich schnappe mir Shaundi, und wir verschwinden."
"Story15_In_09_Player_BM": "Und wie kriegen wir die Deckers?"
"Story01_In_02_Gat": "Schwerer Diebstahl geht auch. Bist du bereit dafür?"
