"CUST_ITEM_CF_HAIR_MED": "MI-LONGS"
"CUST_MOVEMENT_FACE": "EXPRESSION FACIALE"
"CUST_RONIN_TAUNT_A": "VANNE RONIN 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "TAILLE DES POMMETTES"
"CUST_COLOR_CLOTHING_ORANGE_6": "ORANGE 6"
"CUST_COMP_EYE_MAKEUP_18": "NUIT GOTHIQUE"
"CUST_VARIANT_MIXED": "MÉLANGÉ"
"CUST_ITEM_CF_RING_F_STUDRING": "DIAMANT BRUT"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "STEAMPUNK CHIC"
"CUST_COMP_TEST_CHEEK_MAKEUP": "TOUTE POMPONNÉE"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "MONTRE DE LUXE DES SAINTS"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "SHORT MOULANT"
"CUST_ITEM_LPA_M_SPACE_HELMET": "CASQUE INTERGALACTIQUE"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "HAUTEUR PAUPIÈRE SUPÉRIEURE"
"CUST_COLOR_CLOTHING_BLUES_7": "BLEU 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "ROUGE-ORANGE 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "ACIER INOXYDABLE"
"CUST_VARIANT_TRACK_B": "STYLE 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "FIÈVRE DISCO"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "HAUTEUR DES OREILLES"
"SLOT_DECAL_7": "STICKER 7"
"LOGO_BOOT": "BOTTE"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "MOCASSINS URBAINS"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "HAUTEUR DU DOUBLE MENTON"
"HAIR_COLOR_BLUE": "BLEUS"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "HAUTEUR DES JOUES"
"VEHICLE_COLOR_BLACK": "NOIR"
"SLOT_GAS_TANKS": "RÉSERVOIRS"
"CUST_COLOR_CLOTHING_GREENS_6": "VERT 6"
"CUST_TATTOO_STOMACH_8": "FLEUR D'ART"
"CUST_COMP_FACE_SCAR_2": "GRANDE CICATRICE 2"
"COLOR_SLOT_WINDOW_NET": "FILET DE FENÊTRE"
"SLOT_BODY_COLOR": "COULEUR CARROSSERIE"
"LOGO_UNIVERSITY_1": "U STILWATER 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "BLOUSON \"SAFARI URBAIN\" T-SHIRT COL DROIT"
"VEHICLE_COLOR_DEEP_GRAY": "GRIS FONCÉ"
"CUST_VARIANT_SHIRT_B": "STYLE 2"
"CUST_VARIANT_SANDAL": "SANDALE"
"CUST_VARIANT_FLOWER_BAND": "PARTERRE DE FLEURS"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "HAUT DE PRINCESSE DE L'ESPACE"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "DOUBLE MENTON"
"PLAYER_GENDER_TEXT": "FORME DU CORPS"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "TALONS MAMBA"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "COUPE PROPRE"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "LARGEUR DE LA LÈVRE SUPÉRIEURE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "BLEU-VERT 1"
"VEHICLE_COLOR_TITANIUM": "TITANE"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "ORANGE BELLE JOURNÉE"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "VA TE FAIRE FOUTRE 2"
"SURGEON_CAT_PRESETS": "PRÉRÉGLAGES"
"LOGO_GUITAR": "GUITARE"
"LOGO_FEEDDOGS": "NOURRIR LES CHIENS"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "COLLANTS DE PRINCESSE DE L'ESPACE"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "HÉROS DE STEELPORT"
"PRESET_WARNING_BODY": "Si tu choisis ce préréglage, tes paramètres précédents seront effacés.\nVeux-tu vraiment faire ça?"
"CUST_COMP_EYES_DARK_BLUE": "BLEU FONCÉ"
"CUST_COLOR_ORANGE_4": "ORANGE 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "PANTALON DE BDSM"
"CUST_TATTOO_UPPER_CHEST": "HAUT DU TORSE"
"CUST_COLOR_CLOTHING_RED_4": "ROUGE 4"
"VEHICLE_COLOR_TINT_40": "TEINTE 40%%"
"SLOT_EXHAUST_TIPS": "SORTIES D'ÉCHAPPEMENT"
"LOGO_CAVE_4": "GROTTE FANTÔME 4"
"CUST_COMP_FACE_WART_1": "VERRUE 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "GRIS JOUR DE BRUME"
"COLOR_SLOT_PAINT_2_AND_TRIM": "PEINTURE 2 ET GARNITURE"
"IRIDESCENT_4": "IRISÉS 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "CORSET DE DAME STEAMPUNK"
"CUST_MENU_FIGURE_PRESETS": "PRÉRÉGLAGES CARRURE"
"CUST_VARIANT_PLAID": "ÉCOSSAIS"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "BOTTES DE COMBAT CHIC"
"LOGO_SQD": "SIGMA THETA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "BIG RED"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "PANTALON PRO DÉCONTRACT'"
"CUST_SKIN_RED_YELLOW_2": "CAROTTE"
"CUST_SKIN_METAL_5": "SAPHIR"
"COLOR_SLOT_PAINT_2": "PEINTURE 2"
"COLOR_SLOT_INTERIOR_2": "INTÉRIEUR 2"
"HAIR_COLOR_BLONDE": "BLONDS"
"COMPONENT_OPTION_B": "OPTION B"
"CUST_SAMEDI_COMPLIMENT_C": "COMPLIMENT SAMEDI 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "CHAPEAU DE DÉTECTIVE"
"CUST_INSULT_LINE": "FRANCHIR LA LIGNE"
"CANCEL_WARNING_BODY": "Veux-tu vraiment abandonner les changements?"
"WARDROBE_TITLE": "GARDE-ROBE"
"COLOR_SLOT_RIMS_1": "JANTES 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "DESSIN SAM 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "GANTS DE POUSSÉE"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "PROFONDEUR DE LA POINTE"
"CUST_COLOR_CLOTHING_VIOLET_8": "VIOLET 8"
"HAIR_COLOR_BLEACHED_MATTE": "DÉLAVÉ MAT"
"LOGO_FRECKLE_2": "FRECKLE BITCHS 2"
"CUST_VARIANT_TIGER": "TIGRE"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "SUBTERFUGE"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "COMPLÈTEMENT ANIMAL"
"CUST_SAMEDI_TAUNT_B": "VANNE SAMEDI 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "PROFONDEUR DE LA MÂCHOIRE"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "BLANC CRISTAL"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "REQUIN"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "INCLINAISON DES NARINES"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "T-SHIRT \"ABATTEZ-LES\""
"CUST_TATTOO_ENTIRE_CHEST": "TORSE COMPLET"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "LARGEUR DES NARINES"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "TAILLE EXTRÉMITÉS LÈVRE SUPÉRIEURE"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "TEINTE BLEU CLAIR"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "RENTRÉ, BOUTONNÉ, HAUT, SANS BRETELLES, CRAVATE"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "FEMME R IMPRESSIONS"
"CUST_ITEM_FEMALE_LP_BRA_1": "MORSURE D'ARAIGNÉE"
"CUST_SKIN_METAL_1": "ARGENT"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "ANTENNE"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "VESTE MOULANTE"
"CUST_ITEM_CF_HAIR_CORNROWS": "TRESSES SAINTS"
"PLAYER_MORPH_EAR_YAW_TEXT": "DÉCOLLEMENT DES OREILLES"
"FEMALE_BODYBUILDER": "FEMME, BODYBUILDÉE"
"CUST_VARIANT_GLITTERY": "ÉTINCELANT"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "PANTALON D'EXERCICE"
"FACIAL_EXPRESSION_DOPEY": "IDIOT"
"LOGO_STILWATER_CYCLE": "STILWATER CYCLES"
"FACTORY_STANDARD_HOOD_W__INTAKE": "CAPOT D'ORIGINE AVEC PRISE D'AIR"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "POIS MOYENS"
"CUST_WEAR_RIGHT": "DROITE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "ARTISTE AFFAMÉ"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "PANTALON DES SAINTS AMPLE"
"SLOT_DECAL_3": "DÉCALCO 3"
"CUST_VARIANT_ARMS": "BRAS"
"CUST_CAT_HAIR_COLOR_SECONDARY": "COULEUR SECONDAIRE CHEVEUX"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "COURBE DE L'ARÊTE NASALE"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "Tu as atteins le nombre maximum d'items permis dans cette catégorie."
"CUST_COLOR_CLOTHING_BLUES_3": "BLEU 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "ROUGE-ORANGE 5"
"HAIR_COLOR_RED_MATTE": "ROUGE CLAIR MAT"
"BRIGHT_ORANGE": "ORANGE CLAIR"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "SHORT BROSEPH"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "TALONS DE FÊTE"
"CUST_CAT_MAKEUP_CHEEKS": "JOUES"
"CUST_FACIAL_EXP_EMBARRASSED": "EMBARRASSÉ"
"PLAYER_MORPH_BROW_CURVE_TEXT": "COURBE DES SOURCILS"
"PLAYER_CREATION_HAIR_LENGTH": "LONGUEUR DE CHEVEUX"
"LOGO_HEADSTONE": "PIERRE TOMBALE"
"CUST_COLOR_GRAY_2": "GRIS 2"
"CUST_VARIANT_DULL": "TERNE"
"CUST_WEAR_STUD": "CLOU"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "BOTTES DE JEUNE REBELLE"
"SLOT_RIMS_FRONT": "JANTES AVANT"
"SLOT_TAILLIGHTS": "FEUX ARRIÈRE"
"SLOT_REAR_BUMPER": "PARE-CHOCS ARRIÈRE"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "HOMME N IMPRESSIONS"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "BELLE DU SUD"
"GANG_CUST_RANDOM": "ALÉATOIRE"
"CUST_COLOR_CLOTHING_GREENS_2": "VERT 2"
"CUST_COMP_FACE_SCAR_6": "PETITE CICATRICE 2"
"COMPONENT_HIGH_PROFILE": "SILHOUETTE HAUTE"
"LOGO_UNIVERSITY_5": "U STILWATER 5"
"CUST_WEAR_DEFAULT": "PAR DÉFAUT"
"CUST_SKIN_BLUE_2": "BLEU PROFOND"
"CUST_COMPLIMENT_Y": "WOOF WOOF"
"PLAYER_MORPH_JAW_TEXT": "MÂCHOIRE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "BLEU-VERT 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Se lance plus loin."
"CUST_GANG_COP": "FLIC"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "NOIR TOTAL"
"CUST_TATTOO_RIGHT_FOREARM": "AVANT-BRAS DROIT"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "PROFONDEUR DES JOUES"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "ESPACEMENT DES POMMETTES"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "LARGEUR DU DOS DU NEZ"
"PLAYER_CREATION_TITLE": "CRÉATION JOUEUR"
"RIM_SET_019": "PACK JANTES 19"
"COLOR_SLOT_RIMS": "JANTES"
"CUST_VARIANT_STRIPE_1": "UNE BANDE"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "COL ROULÉ \"SAFARI URBAIN\""
"CUST_ITEM_CM_HAIR_SKATERBOWL": "COUPE SKATER"
"PLAYER_MORPH_EAR_BEND_TEXT": "COURBURE DES OREILLES"
"CANT_WEAR_MEDALLION": "Ce médaillon n'est utilisable qu'avec un collier long ou intermédiaire."
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Augmente la capacité de munitions."
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "RUE 1"
"CUST_COLOR_CLOTHING_RED_8": "ROUGE 8"
"COLOR_SLOT_DRAPES": "TENTURES"
"CUST_ITEM_FEMALE_LL_BRA_4": "FEMME FORTE"
"CUST_ITEM_CM_SUIT_CARDINAL": "ROBE DE CARDINAL"
"FACIAL_EXPRESSION_DEATH_B": "AGONIE 2"
"FACIAL_EXPRESSION_JOYFUL": "JOYEUX"
"CUST_COLOR_CLOTHING_YELLOWS_3": "JAUNE 3"
"CUST_TATTOO_RUPPARM_3": "DÉESSE ÉGYPTIENNE"
"COLOR_SLOT_PAINT_1_AND_RIMS": "PEINTURE 1 ET JANTES"
"CUST_VARIANT_STONEWASH_JEANS": "STONE WASH"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "NANA DE MOTARD"
"CUST_ITEM_LPA_M_SPACEPACK": "ASTROPACK"
"PLAYER_MORPH_FACE_AGE_TEXT": "ÂGE DU VISAGE"
"CUST_GANG_MASCOT": "MASCOTTE"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "ARMURE DE CHEVALIER"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "CHEMISE HOMME CHIC ET MODERNE"
"CUST_ITEM_CF_HAIR_LONGBANGS": "PRINCESSE ÉGYPTIENNE"
"FACIAL_EXPRESSION_PAIN_C": "SOUFFRANCE"
"CUST_BRO_COMPLIMENT_A": "COMPLIMENT BROTHERHOOD 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "ÉTOILES"
"CUST_VARIANT_HAWAII": "HAWAIIENNE"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "TÊTE DE GROS LAPIN"
"CUST_TATTOO_LFORARM_3": "COUPE DANS LE GRAS"
"HAIR_COLOR_LIGHT_BROWN": "CHÂTAINS CLAIR"
"COMPONENT_PAINT_2": "PEINTURE 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "COLLIER DE CHIEN"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "BOTTES FUNTIME!"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS HOMME B"
"CUST_ITEM_GAT_BOBBLE": "TÊTE FIGURINE GAT"
"CUST_ITEM_6_LOOPS_RIGHT_2": "EN BATAILLE"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "ÉLÉVATION DE LA NUQUE"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "MOCASSINS DE VIEIL HOMME"
"CUST_VOICE": "VOIX"
"CUST_COMP_MUSTACHE_21": "CHÈVRE"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "CAFÉ AU LAIT"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "PEINTURE IRISÉE"
"SLOT_MECHANICAL_COLOR": "COULEUR MÉCANIQUUE"
"CUST_COLOR_TEAL_2": "SARCELLE 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "FILLE HUPPÉE"
"CUST_COMP_EYES_WHITE": "BLANC"
"CUST_VARIANT_LIGHT_PLATINUM": "PLATINE CLAIR"
"CUST_INSULT_CHEST": "BARRE-TOI"
"CUST_GANG_MORNING_STAR": "ÉTOILES DU MATIN"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "REVERS DROITE, HAUT"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMOURAÏ"
"CUST_TATTOO_RARM_1": "SAINT DE RUE"
"RIM_155": "LX-14"
"DIRT": "POUSSIÈRE"
"CUST_WEAR_RIGHT_ROLLED_UP": "REVERS DROITE"
"CUST_ITEM_CM_HAT_MOTORHELMET": "CASQUE CHOPPER"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "MAUVAIS GARÇON"
"CUST_MAKEUP_VARIATION": "VARIATIONS"
"LOGO_BALANCE_2": "BALANCE 2"
"CUST_VARIANT_TIE": "AVEC CRAVATE"
"CUST_WEAR_FORWARD_RIGHT": "AVANT DROIT"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "VESTE MODERNE AVEC PULL"
"CUST_ITEM_LEATHER_LACE_MALE_B": "PLAISIR ET DOULEUR"
"CUST_ITEM_CF_HAIR_BEEHIVE": "REINE DES ABEILLES"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "SANDALES \"CALUMET DE LA PAIX\""
"SLOT_REINFORCED_FRAME": "STRUCTURE RENFORCÉE"
"CUST_COLOR_RED_4": "ROUGE 4"
"LOGO_NUMBER12": "NUMÉRO 12"
"CUST_VARIANT_2_SIDED_FADE": "FONDU DOUBLE FACE"
"CUST_WEAR_FRONT RIGHT": "AVANT DROIT"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "CYBERESPACE"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "ESPADRILLES EMO"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "GANTS DE PETIT COQUIN"
"RIM_SET_011": "PACK JANTES 11"
"CUST_VARIANT_SHINY": "BRILLANT"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "NON RENTRÉ, BOUTONNÉ, CRAVATE"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "BUSTIER \"MOMENT COQUIN\""
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "LARGEUR DU MILIEU DES NARINES"
"PLAYER_MORPH_HUE_TEXT": "TEINTE"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "VIOLET-BLEU 6"
"SLOT_WINDOW_COVERS": "COUVRE-FENÊTRES"
"SLOT_HOOD_ORNAMENT": "DÉCOS CAPOT"
"BRIGHT_INDIGO": "INDIGO CLAIR"
"CUST_VARIANT_BIG_STRIPES": "GROSSES BANDES"
"CUST_VARIANT_POLO_2": "POLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "HAUT EN CUIR DE GANG"
"CUST_TATTOO_STOMACH_4": "RÊVE DE LICORNE"
"CUST_COMP_MUSTACHE_2": "OBSCÈNE"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "CRÂNE"
"LOGO_RAYS_1": "RAYONS 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "CHAPEAU DE COWGIRL"
"CUST_COMPLIMENT_Q": "LA DAME DE CHŒUR"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "COURBE PAUPIÈRE INFÉRIEURE"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "VISAGE GLOBAL"
"CUST_VARIANT_TIE_DYE_2": "TEINTURE FROISSÉE 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "LUNETTES DE MOUCHE"
"CUST_TATTOO_LEFT_FOREARM": "AVANT-BRAS GAUCHE"
"FACIAL_EXPRESSION_HAPPY": "HEUREUX"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "PROFONDEUR DU DOS DU NEZ"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "CASQUE DE L'EMPIRE"
"CUST_SKIN_CAUCASIAN_02": "CAUCASIEN 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "ROUGE-ORANGE 9"
"CUST_COMP_FACE_BLOODY_LIP": "LÈVRE EN SANG"
"CUST_TATTOO_LEFT_ARM": "TOUT LE BRAS GAUCHE"
"CUST_TATTOO_RARM_5": "PORTEUR DE LA BEAUTÉ"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "HYDRAULIQUE"
"CUST_VARIANT_SHORTSHORTS": "SHORT COURT"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "JOYSTICK JUNKIES \"SEXY SAINTS\""
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "CORSET DE DIABLESSE"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "TALONS DE COQUINE"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "GANTS DE BAGARREUR"
"CUST_SKIN_ASIAN_03": "ASIATIQUE 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "PROFONDEUR DES YEUX"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "TEINTE SARCELLE CLAIR"
"RIM_SET_015": "PACK JANTES 15"
"VEHICLE_PAINT_INTERRIORS": "INTÉRIEURS"
"BRIGHT_RED": "ROUGE CLAIR"
"FEMALE_AVERAGE": "FEMME, MOYENNE"
"CUST_VARIANT_PRIMARY": "PRIMAIRE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "BLEU-VERT 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Fais exploser le véhicule que tu contrôles."
"CUST_COMP_FACE_GILLS": "BRANCHIES"
"CUST_COLOR_ROSE_4": "ROSE 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "HAUTEUR MILIEU LÈVRE INFÉRIEURE"
"CUST_COMP_MUSTACHE_6": "CRAYON"
"CUST_VARIANT_SILVER": "ARGENT"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "VESTE AVEC GILET \"GENTIL VOISIN\""
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "JEAN STANDARD"
"CUST_FINGERNAILS": "ONGLES"
"CUST_COMPLIMENT_U": "DU COFFRE"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "VIOLET-BLEU 2"
"CUST_COMP_FACE_DIMPLE": "FOSSETTE"
"CUST_VARIANT_STRIPE": "RAYÉ"
"CUST_WEAR_HIGH_BOTH_ROLLED": "REVERS HAUT"
"CUST_ITEM_IMPRESSIONS_MALE_B": "HOMME B IMPRESSIONS"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "VESTE GUIMAUVE"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "BROSSE PLATE, TYPE B"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "ONGLES VERNIS"
"CUST_WEAR_NORMAL_LOW": "NORMAL, BAS"
"CUST_COLOR_CLOTHING_VIOLET_4": "VIOLET 4"
"HAIR_COLOR_REDHEAD_MATTE": "ROUX MAT"
"CUST_VARIANT_NO_STRIPES": "UNI"
"CUST_WEAR_TATTOO_BAND_A": "BANDEAU 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "OUVERT GAUCHE, HAUT"
"CUST_ITEM_TROOPER_SHADES": "PRÊT POUR HOLLYWOOD"
"CUST_COLOR_CLOTHING_YELLOWS_7": "JAUNE 7"
"CUST_TATTOO_RUPPARM_7": "DANS TON SANG"
"CUST_COMP_FACE_BLOODY_NOSE": "NEZ CASSÉ"
"CUST_VARIANT_TIE_DYE": "TEINTURE FROISSÉE"
"player_lips_gloss": "GLOSS À LÈVRES"
"FACIAL_EXPRESSION_GRUMPY": "GROGNON"
"CUST_TATTOO_LFORARM_7": "ÉCLAIR"
"COLOR_SLOT_TRIM_4": "GARNITURE 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "PRINCESSE GUERRIÈRE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "GRAND ATHLÈTE"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "TENUE VESTE EN CUIR"
"CUST_VARIANT_SPORT_SHORTS_2": "STYLE 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "CAPRI DE DÉTENTE"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "PROFONDEUR DES NARINES"
"CUST_COMP_MUSTACHE_25": "MARTIEN"
"SLOT_BODY_KIT": "KITS CARROSSERIE"
"CUST_VARIANT_PIMPCOAT_HEARTS": "CŒURS"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "ÉCOLE D'ARTS"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "LARGEUR DE LA POINTE"
"VEHICLE_COLOR_RED_LIGHT_TINT": "TEINTE ROUGE CLAIR"
"CUST_VARIANT_SANDALS_03": "NORMAL"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "LUNETTES AVIATEUR FASHION"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "FLEUR DE LIS"
"CUST_CAT_RIGHT_WRIST": "POIGNET DROIT"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "LARGEUR DE LA MÂCHOIRE"
"COMPONENT_OPTION_1": "OPTION 1"
"SLOT_INTERIOR_COLOR": "COULEUR INTÉRIEURE"
"SK02": "PEAU02"
"CUSTOM_WALK_2": "STYLE MAC"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "Transporte plus de missiles."
"CUST_TATTOO_LOWBACK_5": "QUE LE SAIGNEUR SOIT AVEC VOUS"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "ARMURE SOLDAT DU FUTUR"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "Transporte plus de sacoches explosives."
"CUST_TATTOO_NECK_1": "ÉTOILE NAUTIQUE"
"CUST_COMP_BODY_MASK_1": "RIEN"
"LOGO_MUSEUM_ERO_1": "EROMENOS MUSEUM 1"
"CUST_VARIANT_BIKER_NODECAL": "SANS IMPRIMÉS"
"CUST_VARIANT_PLAIN_NO_TIE": "UNI"
"CUST_WEAR_SUSPENDERS": "BRETELLES"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "T-SHIRT CROOKS & CASTLES B"
"CUST_ITEM_SHORT_SOCKS": "CHAUSSURES DE PAPA"
"CUST_ITEM_BIKER_BOOTS_3": "BASKETS DE DÉTENTE"
"CUST_TATTOO_RIGHT_LEG": "JAMBE DROITE"
"FACIAL_EXPRESSION_SAD": "TRISTE"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "HAUTEUR MILIEU DES SOURCILS"
"CUST_COMP_EYE_MAKEUP_15": "REINE DU NIL"
"CUST_COLOR_BLEACHED_BLONDE": "DÉCOLORÉ"
