"DROP_SPHERE": "DAI SFERA"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "Vuoi sostituire \"%s\" con \"%s\" per %s?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Sfida ondata!"
"CUST_GANG_NAME_GANGSTER": "GANGSTER"
"GIVE_FLASHBANG": "RICEVI FLASHBANG"
"PURCHASEABLE_PROPERTEY_METH": "LABORATORIO METH"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "GUADAGNI MISSIONI E ROCCAFORTI"
"STAT_HOSTAGES_TAKEN": "OSTAGGI PRESI"
"GANG_CIVILIAN": "CIVILI"
"GIVE_AR55": "RICEVI AR 55"
"DROP_TORNADO": "RICEVI TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "COOP: STREAK PIÙ LUNGO CON NOTORIETÀ MASSIMA PRESSO LA POLIZIA"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "CLASSIFICA NOTORIETÀ"
"STORE_EXIT_TELEVISiON": "Uscire da Televisione?"
"HORDE_MODE_TITLE_HIGHSCORE": "PUNTEGGIO MAX"
"STAT_COMBAT_THROWN": "LANCI"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "RICEVI AS3 ULTIMAX"
"POC2_DROP_HELICOPTER": "LASCIA ELICOTTERO"
"VCUST_COLOR_PALETTE_TITLE": "TAVOLOZZA CROMATICA"
"PURCHASEABLE_PROPERTEY_FLATS": "PARKVIEW FLATS"
"GARAGE_CANNOT_REPAIR": "Non puoi personalizzare il tuo veicolo se non è riparato del tutto.\nNon hai denaro a sufficienza per riparare il tuo veicolo."
"STAT_BASE_HIGH": "SALTO PIÙ ALTO"
"BasicSP": "GIOCANDO A {C10}"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "VANDALISMO"
"CRIB_GARAGE_PURCHASED_TEXT": "Ora il garage è tuo.\nQui puoi immagazzinare e accedere a determinati veicoli."
"PURCHASEABLE_PROPERTEY_MOTEL": "STIKIT INN"
"STORE_DISCARD_ITEM": "SCARTA OGGETTO"
"BODY_TITLE": "CORPO"
"CONTROL_CANCEL": "ANNULLA"
"ESCORT_NAME_18B": "SANCHEZ"
"DEMO_EXIT": "ESCI DALLA DEMO"
"DROP_KANEDA": "RICEVI KANEDA"
"STORE_UPGRADES_TITLE": "POTENZIAMENTI"
"MENU_SWAP_CLOTHING_STORE": "NEGOZIO DI ABBIGLIAMENTO"
"VCUST_TIRE_TREAD_NUMBER": "BATTISTRADA #{0}"
"TAT_REG_R_FOREARM": "AVAMBRACCIO DESTRO"
"STORE_PLANET_SAINTS_MSG": "!!acquista oggetti"
"HORDE_MODE_MENU_EXIT": "TORNA AL MENU PRINCIPALE"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "PALLA DI FUOCO COMPLETATA"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "PALLA DI FUOCO: NUMERO OGGETTI BRUCIATI"
"STAT_LEVELS_COMPLETED": "LIVELLI COMPLETATI"
"Diversion Silver Stars_NAME": "STELLE D'ARGENTO"
"Escort": "ESCORT"
"GIVE_APOCA": "RICEVI PUGNO APOCALITTICO"
"HIDE_HUD": "NASCONDI HUD"
"MASCOT_PEDS_DESC": "Tutti i pedoni sono mascotte."
"CUST_ICON_UPPER_BODY": "BUSTO"
"STORE_NO_ITEMS_IN_CATEGORY": "NON CI SONO OGGETTI DISPONIBILI IN QUESTA CATEGORIA"
"UNLOCKABLE_TITLE_TEXT": "SBLOCCATO"
"STAT_HITMAN_COMPLETED": "COLPI COMPLETATI"
"ESCORT_NAME_9B": "DRAGO"
"DrugTrafficking": "TRAFFICANTE DI DROGA"
"InsFraud": "FRODE ASSICURATIVA"
"QUIT_GAME_TEXT_SHORT": "Sei sicuro di voler uscire?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "Vuoi comprare \"%s\" per %s?"
"STORE_OWNED": "IN POSSESSO"
"GARAGE_HANGAR": "HANGAR"
"STAT_STORES_OWNED": "NEGOZI IN POSSESSO"
"STAT_MAX_STUNT_JUMP_ROLL": "MAX ROTAZIONE SALTO"
"HASH_E66AA7D9": "DEATH TAG: DENARO GUADAGNATO"
"CONTROL_CHANGE_LB": "CAMBIA CLASSIFICA"
"CUST_GANG_NAME_PREPHOP": "PREPHOP"
"SWITCH_TO_STORE": "ACCEDI AL NEGOZIO"
"BUILDING_PURCHASE_CONTROL_INCREASE": "AUMENTO CONTROLLO: {0}%%%"
"BUILDING_PURCHASE_CRIB": "Comprare questo alloggio per ${1}?"
"WPN_STORE_AMMO_TITLE": "MUNIZIONI"
"TATTOO_REMOVE_SAVE": "- %s - Vuoi rimuovere il tatuaggio da qui e salvare?"
"CONTROL_SELECT_COLOR": "SELEZIONA COLORE"
"SURGEON_INSUFFICIENT_FUNDS": "Non hai abbastanza denaro per visitare il chirurgo plastico."
"STAT_VEHICLE_AIRCRAFT": "VELIVOLO"
"STAT_WEAPON_RPG": "RAZZO"
"STAT_COOP_DEATHS": "COOP: MORTI CAUSATE DAI GIOCATORI"
"STAT_SNATCH_PIMPS_KILLED": "PAPPONE: NUMERO DI PAPPONI UCCISI"
"STAT_DRIVING_NEARMISS_CHAIN": "SEQUENZA PIÙ LUNGA DI INCIDENTI MANCATI"
"ESCORT_NAME_14B": "JOHNSON"
"ESCORT_NAME_7B": "COLLANA"
"CONTROL_START_GAME": "INIZIA PARTITA"
"MAP_ICON_UNDEFINED": "INDEFINITO"
"CUST_GANG_NAME_STRIPPER": "SPOGLIARELLISTE"
"GIANT_PLAYER_DESC": "Hai finito le verdure e sei diventato grande."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "Vuoi acquistare e salvare \"%s\" per %s?"
"HASH_336F665B": "DEATH TAG: SCONFITTE"
"PIMPS_AND_HOS_PEDS_DESC": "Tutti i pedoni sono papponi e prostitute."
"MAINMENU_NEW_GAME_DIFF_HDR": "DIFFICOLTÀ"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "Non sei connesso ad alcun profilo giocatore.\nNon potrai salvare i progressi di gioco o ottenere obiettivi.\nContinuare?"
"GANG_CUST_TITLE": "PERSONALIZZAZIONE GANG"
"GARAGE_REPAIR_NAME": "GARAGE MECCANICO"
"TUT_CRIB_GARAGE": "PREMI {ACTION_IMG} PER INSERIRE QUESTO VEICOLO NEL TUO GARAGE"
"STAT_AIRCRAFT_DESTROYED": "NUMERO DI MEZZI AEREI DISTRUTTI"
"STAT_SMG_HIT_PCT": "COLPI DI MITRA A SEGNO"
"ESCORT_NAME_16B": "VORTICE"
"ESCORT_NAME_5B": "DOCCIA"
"Time at Highest Police Notoriety_NAME": "TEMPO A NOTORIETÀ MASSIMA POLIZIA"
"GARAGE_REPAIR_RETRIEVE": "RIPARA E RIPRENDI VEICOLO: ${0}"
"HUD_SHOP_INSUFFICIENT_FUNDS": "NON HAI ABBASTANZA DENARO"
"VCUST_EXTRA_LOW_PROFILE": "BASSISSIMO PROFILO"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "RISPETTO OTTENUTO CON ESPULSIONI"
"HASH_CE3F7EDD": "DENARO SPESO IN POTENZIAMENTI DELL'ALLOGGIO"
"GIVE_SLM8": "RICEVI FUCILE LASER VIPER"
"LIGHT_RAIN": "PIOGGIA LEGGERA"
"VCUST_LOW_PROFILE": "BASSO PROFILO"
"CUST_ITEM_STYLE": "STILE"
"STAT_DRIVING_WRONGWAY_RESPECT": "RISPETTO OTTENUTO ANDANDO CONTROMANO"
"ESCORT_NAME_10B": "KNUCKLER"
"ESCORT_NAME_3B": "PUGNO"
"CONFIRM_WEAR_OUTFIT": "Sei sicuro di voler indossare questo completo?"
"HASH_A885535E": "SOSPENSIONI IDRAULICHE"
"CONTROL_EXIT_PURCHASE_CLOTHING": "ESCI DALL'ACQUISTO VESTITI"
"DROP_SPECTER": "RICEVI SPECTER"
"TINY_PLAYER": "PICCINO PICCIÒ"
"SAVELOAD_AUTOSAVE_LABEL": "SALVATAGGIO AUTOMATICO"
"HASH_CC5A26DE": "Ti spogli?"
"HORDE_MODE_MENU_RETRY": "RIPROVA"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "SOPRAVVIVENZA"
"HORDE_MODE_WEAPON_UPGRADE": "%ls ORA AL LIVELLO %i DI %i"
"STAT_STREAKING_PEOPLE": "PERSONE CHE TI HANNO VISTO FARE STREAKING"
"STAT_CRIBS_ACQUIRED": "ALLOGGI ACQUISITI"
"WPN_STORE_SPECIAL_TITLE": "SPECIALI"
"VEHICLE_CUSTOMIZATION_TITLE": "PERSONALIZZAZIONE VEICOLI"
"TAT_REG_L_SHOULDER": "SPALLA SINISTRA"
"ESCORT_NAME_12B": "FRANKLIN"
"ESCORT_NAME_1B": "SANCHEZ"
"HASH_FB3AF7E0": "DEATH TAG: MASSIMO DI MORTI IN UN ROUND"
"MAP_ICON_WEAPON": "ARMI"
"GENERIC_LEAVE_BLANK_FULL": "Vuoi davvero lasciare %s?"
"HUD_TRIGGER_CASH_STASH": "PRENDI %ls DAL TUO NASCONDIGLIO"
"HUD_FOUND_CASH": "Hai prelevato %ls dal tuo nascondiglio!"
"VCUST_RIM_STYLE_OPTION": "STILE CERCHIONI"
"HASH_7A3484E1": "STELLE D'ARGENTO GUADAGNATE NEI DIVERSIVI"
"HASH_F85DA761": "STELLE D'ORO GUADAGNATE NEI DIVERSIVI"
"CONTROL_CHANGE_BOARD": "CAMBIA TABELLONE"
"GANG_CUST_GANG_TITLE": "GANG"
"TAT_REG_L_LEG": "GAMBA SINISTRA"
"CUST_BROWSER_BROWSE": "SFOGLIA"
"STORE_CRIB_WEAPONS_MSG": "VAI AL TUO DEPOSITO DI ARMI"
"STAT_DRIVING_TWOWHEELS_TIME": "TEMPO MASSIMO SU DUE RUOTE"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "DISTANZA MAX LANCIO PARABREZZA"
"ESCORT_NAME_16A": "SOLLETICO"
"ESCORT_NAME_5A": "ORO"
"DELETE_OUTFIT": "ELIMINA COMPLETO"
"GIVE_ROCKET": "RICEVI MARTELLO A IMPATTO"
"GIVE_AIRSTRIKE": "RICEVI ATTACCO AEREO SA-3"
"OVL_SHOP_PURCHASED_TEXT": "Ora possiedi una quota di questo negozio e riceverai [format][color:highlight]${0} ogni ora[/format] presso il tuo alloggio oltre a sconti su tutta la merce."
"VCUST_NORMAL_PROFILE": "PROFILO NORMALE"
"VCUST_HIGH_PROFILE": "ALTO PROFILO"
"STAT_TEAM_LUCHADORES": "LUCHADORES"
"STAT_ESCORT_LEVELS_COMPLETED": "ESCORT COMPLETATA"
"STAT_COMBAT_HEADSHOT_RESPECT": "RISPETTO OTTENUTO CON COLPI ALLA TESTA"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "RICEVI TOAD"
"GIVE_CASH_DESC": "Ti dà denaro immediatamente."
"PED_WAR_DESC": "Odio, rabbia, sofferenza: è il momento di farsi a pezzi a vicenda."
"STAT_MAYHEM_BEST_COMBO": "VANDALISMO: MIGLIOR COMBO"
"ESCORT_NAME_14A": "SBUFFO"
"ESCORT_NAME_7A": "PERLA"
"DRUNK_PEDS": "PEDONI SBRONZI"
"STAT_COOP_GANG_NOTORIETY_TIME": "COOP: TEMPO CON NOTORIETÀ MASSIMA DELLA GANG"
"HumanTorch": "PALLA DI FUOCO"
"ELEVATOR_TO_HEAVEN_DESC": "Tutti i morti vanno in paradiso."
"GIVE_FLAMETHROWER": "RICEVI LANCIAFIAMME"
"GIVE_CHAINSAW": "RICEVI SEGA ELETTRICA"
"SURGEON_MP_EXPORT_FULL": "L'esportazione del personaggio multigiocatore sostituirà\nqualsiasi personaggio multigiocatore precedentemente salvato!"
"STORE_STRENGTH": "FORZA {0}%%%%"
"STAT_DECKERS_KILLED": "DECKERS UCCISI"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "Per visualizzare gli obiettivi devi accedere a un profilo giocatore. "
"ESCORT_NAME_12A": "UMIDO"
"ESCORT_NAME_1A": "DIRTY"
"Total Civilian Kills_NAME": "TOTALE UCCISIONI CIVILI"
"CONTROL_SELECT_EQUIPPED": "SELEZIONA EQUIPAGGIAMENTO"
"DROP_QUASAR": "RICEVI QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "La periferica di memorizzazione è stata rimossa. \nSelezionare una nuova periferica di memorizzazione per completare il salvataggio o il caricamento."
"STORE_LEVEL": "LIVELLO"
"GARAGE_DOCK": "PORTO"
"STAT_BIG_AIR_LONGEST_JUMP": "SUPER SALTO: SALTO PIÙ LUNGO"
"STAT_STAG_KILLED": "STAG UCCISI"
"Partners in Crime_DESC": "COMPLETATO TUTTE LE MISSIONI CAMPAGNA IN COOP"
"SinglePlayer": "GIOCATORE SINGOLO"
"CONTROL_SELECT": "SELEZIONA"
"MAP_ICON_INSURANCE_FRAUD": "FRODE ASSICURATIVA"
"GIVE_KRUKOV": "RICEVI K-8 KRUKOV"
"SAVELOAD_SIGN_IN_NOW": "Devi connetterti a un profilo giocatore per usare questa funzionalità.\nVuoi connetterti?"
"STAT_TEAM_DECKERS": "DECKERS"
"STAT_MISSION_SUCCESS_RATE": "PERCENTUALE DI MISSIONI COMPLETATE"
"STAT_MAYHEM_DAMAGE_DONE": "VANDALISMO: DANNI PROVOCATI"
"STAT_DRIVING_WHEELIE_RESPECT": "RISPETTO OTTENUTO CON IMPENNATE POSTERIORI"
"ESCORT_NAME_10A": "NERO"
"ESCORT_NAME_3A": "SOMARO"
"HASH_646BCE68": "METAGIOCO COOP: DENARO BONUS GUADAGNATO"
"CELL_SUICIDE": "HOTLINE SUICIDIO"
"CUST_GANG_NAME_SPORTY": "SPORTY"
"ADD_COP_NOTORIETY": "AGGIUNGI NOTORIETÀ POLIZIA"
"GARAGE_INSUFFICIENT_FUNDS": "NON HAI ABBASTANZA DENARO PER RIPARARE QUEST'AUTO"
"STAT_JUMPS_FOUND": "SALTI TROVATI"
"CUST_REMOVE_ITEM_TITLE": "RIMUOVI OGGETTO"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "TEMPO NOTORIETÀ MASSIMA LUCHADORES"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "TEMPO NOTORIETÀ MASSIMA GANG"
"STAT_FRAUD_LEVELS_COMPLETED": "FRODE ASSICURATIVA COMPLETATA"
"STAT_DRIVING_WRONGWAY_TIME": "TEMPO MAX CONTROMANO"
"STAT_HOMIEZ_ACQUIRED": "AMICI AGGREGATI"
"HASH_719A436A": "RISPETTO OTTENUTO CON SOSPENSIONI IDRAULICHE"
"HORDE_MODE_TITLE_SCORE": "PUNTEGGIO"
"STAT_DRIVING_BACKSEAT_DISTANCE": "TEMPO MASSIMO DA PASSEGGERO POSTERIORE"
"STAT_DRIVING_WHEEILE_TIME": "IMPENNATA PIÙ LUNGA"
"STAT_COMBAT_ONE_HIT": "UCCISIONI CON UN COLPO"
"TAXIMAP_FARE": "COSTO DEL TAXI:"
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Se riprovi una missione perderai tutte le armi e il rispetto guadagnati fino a quel momento."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "ORGAN BLACKMARKET"
"MAP_ICON_TSS_STRONGHOLD": "ROCCAFORTE DEI 3RD STREET SAINTS"
"CELL_PIMP_VAN": "FURGONE PAPPONE"
"BE_ALL_YOU_WANT_TO_BE": "CAMBIA MODELLO"
"MUSIC_FUNK": "FUNK"
"CUST_ICON_TATTOO_LEGS": "TATUAGGI GAMBE"
"MUSIC_REGGAE": "REGGAE"
"TAXI_LEAVE_FULL": "Vuoi davvero uscire dal taxi?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Vuoi davvero uscire da Friendly Fire?"
"VCUST_REAR_AXLE_OPTION": "ASSE POSTERIORE"
"STORE_TITLE_WITHDRAW": "RITIRA"
"HORDE_MODE_TITLE_FAIL": "ONDATA {0} COMPLETATA"
"HORDE_MODE_KILL_COUNT": "CONTEGGIO UCCISIONI"
"STAT_DRIVING_NEARMISS": "INCIDENTI MANCATI"
"STAT_DRIVING_BURNOUT": "BURNOUT"
"Human Thrown Distance_NAME": "MIGLIOR DISTANZA LANCIO"
"CONTROL_CHANGE_MODE": "CAMBIA MODALITÀ"
"CONTROL_VIEW_GAMER_CARD": "VISUALIZZA SCHEDA GIOCATORE"
"CONTROL_BACK": "INDIETRO"
"CELL_POLICE": "POLIZIA"
"GIVE_SONIC": "RICEVI BANG SONICO"
"SUPER_SAINTS_DESC": "I Saints sono veramente degli ossi duri."
"CUST_ICON_WRISTS": "POLSI"
"MUSIC_METAL": "METAL"
"MENU_EXPORT_SIGN_IN_FULL": "Devi accedere a Xbox LIVE per esportare\nun personaggio multigiocatore."
"STORE_LEVEL_REQ": "LIVELLO RICHIESTO {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "Hai già ottenuto quest'arma."
"ESCORT_NAME_9A": "VISCIDO"
"CONTROL_CHANGE_VIEWED_PLAYER": "CAMBIA GIOCATORE MOSTRATO"
"MUSIC_HIPHOP": "HIP-HOP"
"DEALER_NO_SPACE": "NEL TUO GARAGE NON C'È ABBASTANZA SPAZIO PER %s"
"Total Gang Kills_NAME": "TOTALE UCCISIONI GANG"
"HASH_937C34EF": "VALUTAZIONE STILE"
"VCUST_HUBCAPS_TITLE": "COPRICERCHI"
"PURCHASEABLE_PROPERTEY_STEEL": "OLDE STEEL FACTORY"
"TAT_REG_FRONT": "DAVANTI"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "TOTALE CIVILI PROVOCATI"
"STAT_MILES_BY_BIKE": "MIGLIA PERCORSE IN MOTO"
"STAT_ACTIVITY_CASH_EARNED": "GUADAGNI ATTIVITÀ"
"ESCORT_NAME_18A": "DIRTY"
"CONTROL_BEGIN_GAME": "INIZIA LA PARTITA"
"ADD_COP_NOTORIETY_DESC": "Aggiunge notorietà presso la polizia, una stella ogni uso."
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "Vuoi davvero tornare\nal menu principale?"
"OUTFIT_NAME_ENTRY_DIALOG": "DAI UN NOME AL TUO COMPLETO"
"WPN_CACHE_EXIT_PROMPT": "Vuoi davvero uscire\n\ndal deposito di armi?"
"STORE_FREE": "LIBERO"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "- Munizioni %s - Vuoi prenderle?"
"STAT_DRIVING_BACKSEAT": "PASSEGGERO POSTERIORE"
"STAT_DRIVING_TWOWHEELS_RESPECT": "RISPETTO OTTENUTO RIMANENDO SU DUE RUOTE"
"STAT_MAX_STUNT_FALL_DIST": "CADUTA PIÙ LUNGA"
"STAT_ARRESTS": "ARRESTI"
"ESCORT_NAME_33B": "FARFALLA"
"RADIO_STATION_OFF": "DISATTIVATO"
"CONTROL_EXIT_PURCHASE_TATTOOS": "ESCI DALL'ACQUISTO TATUAGGI"
"MAP_ICON_PIMPING": "PAPPONE"
"STAT_DEATHS": "DECESSI"
"Time at Highest Gang Notoriety_NAME": "TEMPO A NOTORIETÀ MASSIMA GANG"
"MAP_ICON_ESCORT": "ESCORT"
"RESTORE_WEATHER": "RIPORTA IL TEMPO ATMOSFERICO A NORMALE"
"GANG_CUST_GANG_SIGN_TITLE": "FIRMA GANG"
"IMPRESSIONS_NAME": "IMPRESSIONS"
"STORE_INVENTORY_EMPTY_TITLE": "INVENTARIO VUOTO"
"GARAGE_DELETE_CONFIRM": "Vuoi cedere questo veicolo?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "SOPRAVVIVENZA"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "GATTO E TOPO: MASSIMO DI UCCISIONI IN UN ROUND"
"STAT_RPG_SHOTS_FIRED": "RAZZI SPARATI"
"STAT_STREAKING_CASH": "RISPETTO GUADAGNATO CON STREAKING"
"STAT_TAUNT_RESPECT": "RISPETTO OTTENUTO CON PROVOCAZIONI"
"ESCORT_NAME_31B": "LUCERTOLA"
"CONTROL_CHANGE_LB_FILTER": "CAMBIA FILTRO"
"CONTROL_QUITGAME": "ESCI"
"TIME_SET_NOON_DESC": "Imposta l'ora attuale a mezzogiorno."
"DROP_CAR_DESC": "Aggiunge il veicolo al tuo garage."
"DROP_BOOTLEGGER": "RICEVI BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "Sei sicuro di voler uscire? \n(I progressi non salvati andranno persi)."
"GARAGE_REPAIR": "RIPARA"
"STAT_COMBAT_ONE_HIT_RESPECT": "RISPETTO OTTENUTO CON UCCISIONI CON UN COLPO"
"STAT_CHOPSHOP_VEHICLES": "VEICOLI COLLEZIONATI"
"Matchmaking": "MATCHMAKING"
"DROP_TITAN": "RICEVI TITAN"
"SUPER_EXPLOSIONS_DESC": "Esplosioni quattro volte più grandi."
"BE_ALL_YOU_WANT_TO_BE_DESC": "Scegli dalla lista l'aspetto del tuo carattere."
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "Vuoi sostituire \"%s\" con \"%s\" per %s?"
"SWITCH_TO_WARDROBE": "ACCEDI AL GUARDAROBA"
"HUD_CRIB_CHANGE_RADIO_STATION": "CAMBIA STAZIONE RADIO"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "TRAFFICANTE DI DROGA: NUMERO DI CLIENTI SODDISFATTI"
"STAT_COMBAT_MULTI_RESPECT": "RISPETTO OTTENUTO CON UCCISIONI MULTIPLE"
"ESCORT_NAME_37B": "DOCCIA"
"Diversion Bronze Stars_NAME": "STELLE DI BRONZO"
"HASH_A166F6F5": "RISPETTO OTTENUTO DA PAPPONE"
"GARAGE_REPAIR_VEHICLE": "COSTO RIPARAZIONE: ${0}"
"VCUST_RIM_NUMBER": "CERCHIONI #{0}"
"GOTH_NAME": "NOBODY LOVES ME"
"HORDE_MODE_WAITING_FOR_HOST": "In attesa dell'host."
"ESCORT_NAME_38_A": "GIRANDOLA"
"PURCHASEABLE_PROPERTEY_BODEGA": "PICKPOCKET PAWN SHOP"
"STAT_PISTOL_HIT_PCT": "COLPI DI PISTOLA A SEGNO"
"STAT_SNATCH_HOS_CLAIMED": "PAPPONE: NUMERO DI PROSTITUTE PRETESE"
"ESCORT_NAME_35B": "SERPENTE A SONAGLI"
"WEAR_OUTFIT_TITLE": "INDOSSA COMPLETO"
"WARDROBE_REMOVE_OUTFIT_TITLE": "RIMUOVI COMPLETO"
"INFINITE_SPRINT": "SPRINT INFINITO"
"NO_COP_NOTORIETY": "NO NOTORIETÀ FORZE DELL'ORDINE"
"STORE_EXIT_WARNING_HEADER": "ATTENZIONE"
"CRIB_SAINTSHQ": "COVO DEI SAINTS"
"PURCHASEABLE_PROPERTEY_WARF": "HENRY STEEL WHARF"
"STAT_STREAKING_TOTAL_TIME": "TEMPO TOTALE STREAKING"
"STAT_FAVORITE_TRANSPORTATION": "MEZZO DI TRASPORTO PREFERITO"
"ESCORT_NAME_29A": "ROYAL"
"DROP_NFORCER": "RICEVI NFORCER"
"DROP_CONDOR": "RICEVI CONDOR"
"GIVE_DRONE": "RICEVI DRONE REAPER"
"PURCHASEABLE_PROPERTEY_BROTHEL": "HARANO'S HOOKUP HOUSE"
"PURCHASE_TATTOOS_NAME": "COMPRA TATUAGGI"
"VEHICLE_COLOR_BASIC": "AVANZATO"
"MENU_TITLE_INSUFFICIENT_FUNDS": "FONDI INSUFFICIENTI"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "Non hai abbastanza denaro per comprare quest'oggetto."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "TOTALE MEMBRI DELLA GANG PROVOCATI"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "TOTALE COMPLIMENTI"
"ESCORT_NAME_39_B": "MANOVELLA"
"HEAVY_RAIN": "PIOGGIA FORTE"
"EVIL_CARS": "AUTO DIABOLICHE"
"STORE_RESPECT": "RISPETTO +{0}"
"STORE_SELECT_BUILD": "SELEZIONA CORPORATURA"
"RUSTY_NEEDLE_NAME": "RUSTY'S NEEDLE"
"STAT_LUCHADORES_KILLED": "LUCHADORES UCCISI"
"STAT_DRIVING_BAILOUT": "ESPULSIONE"
"STATS_NONE": "NIENTE"
"ESCORT_NAME_27A": "FOLLE"
"DEMO_FREEPLAY": "PARTITA LIBERA"
"CONTROL_SCROLL_LIST": "SCORRI LISTA"
"Gang_Saints": "3RD STREET SAINTS"
"DROP_ANCHOR": "RICEVI ANCHOR"
"TIME_SET_MIDNIGHT_DESC": "Imposta l'ora attuale a mezzanotte."
"GIVE_WEAPON_DESC": "Aggiunge l'arma al tuo inventario."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "Vuoi prendere %s dal tuo alloggio?"
"TATTOO_INSUFFICIENT_FULL": "Non hai denaro sufficiente per comprare un tatuaggio \"%s\" in questa posizione: %s."
"CUST_BROWSER_TITLE": "BROWSER PERSONALIZZAZIONE"
"HORDE_MODE_QUIT_TEXT": "Vuoi davvero uscire?\n(La modalità Lorda terminerà per entrambi i giocatori)"
"STAT_MAX_WRONG_WAY_DISTANCE": "MAX DISTANZA CONTROMANO"
"STAT_PEOPLE_RUN_OVER": "PERSONE INVESTITE"
"STAT_AERIAL_STUNTS_FOUND": "ACROBAZIE AEREE TROVATE"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Vuoi annullare queste modifiche?"
"DROP_VULTURE": "RICEVI VULTURE"
"STORE_SKINNY": "MAGRO {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "RECUPERA"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "Sei sicuro di voler uscire dalla roccaforte?"
"GANG_CUST_GANG_SIGN_OPT": "FIRMA"
"STORE_NOT_AVAILABLE": "NON DISPONIBILE"
"VEHICLE_FREE": "GRATIS"
"STAT_COOP_MISSIONS_COMPLETED": "COOP: MISSIONI COMPLETATE"
"STAT_COMBAT_NUTSHOT_RESPECT": "RISPETTO OTTENUTO CON COLPI ALLE PALLE"
"ESCORT_NAME_25A": "VENDICATORE"
"CUST_GANG_NAME_NINJA": "NINJA"
"GIVE_KOBRA": "RICEVI KA-1 KOBRA"
"DROP_PHOENIX": "RICEVI PHOENIX"
"EVIL_CARS_2": "AUTO DIABOLICHE 2"
"COSTUME_NAME": "LET'S PRETEND"
"HAIR_CAT_NONE": "NIENTE"
"STAT_PHOTO_OP_FOUND": "OPPORTUNITÀ FOTOGRAFICHE TROVATE"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "NEGOZI RAPINATI"
"Max Notoriety Col1_NAME": "CLASSIFICA NOTORIETÀ"
"SPActivity": "GIOCANDO A {C10} MODALITÀ: {C3}"
"HASH_CC9E7A7D": "DEATH TAG: TEMPO TRASCORSO"
"PLAYER_CREATION_NEW_PRESET_FULL": "Selezionando un nuovo set predefinito cambierai tutte le altre modifiche eventualmente apportate!"
"HUD_SHOP_NO_WEAPONS": "Non hai nessuna arma."
"VCUST_TIRES_TITLE": "GOMME"
"PURCHASEABLE_PROPERTEY_CHOP": "DAVILA'S AUTOMOTIVE"
"STAT_VEHICLE_WATERCRAFT": "MEZZO ACQUATICO"
"STAT_HUMAN_TORCH_BONUS_EARNED": "PALLA DI FUOCO: TEMPO BONUS GUADAGNATO"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "DISTANZA MAX ESPULSIONE AUTISTA"
"ESCORT_NAME_23A": "PUZZA"
