"DROP_SPHERE": "DAJ KULĘ"
"PURCHASEABLE_PROPERTEY_SERVICE2": "STACJA OBSŁUGI PODWÓJNY GAZ"
"STORE_TEXT_CONFIRM_PURCHASE_BLANK": "Czy chcesz to kupić?"
"HORDE_MODE_TEAM_SCORE": "WYNIK"
"STAT_VEHICLE_BIKE": "MOTOCYKL"
"STATS_DISTANCE_FEET": "%0.2f st."
"STAT_DRIVING_BIGAIR_RESPECT": "SZACUN ZDOBYTY NA WYSOKICH SKOKACH"
"STAT_HOMIES_RECRUITED": "ZWERBOWANI ZIOMALE"
"MAP_IMG_MECHANIC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"DROP_TAXI": "DAJ TAXI"
"CUST_ICON_LOWER_BODY": "DOLNA POŁOWA"
"STORE_ZOOM": "ZBLIŻ"
"VEHICLE_TYPE_TITLE": "TYP POJAZDU"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "KOTEK I MYSZKA: NAJWYŻSZA LICZBA ŚMIERCI W RUNDZIE"
"STAT_CAT_MOUSE_WINS": "KOTEK I MYSZKA: ZWYCIĘSTWA"
"ESCORT_NAME_35A": "SIEDZĄCEGO"
"GARAGE_REMOVE_PROMPT": "Czy na pewno chcesz usunąć ten pojazd?"
"STAT_WEAPON_SPECIAL": "SPECJALNE"
"STAT_DRIVING_BURNOUT_RESPECT": "SZACUN ZDOBYTY NA PALENIU GUMY"
"ESCORT_NAME_29B": "PIEKARZA"
"CUST_ICON_TATTOO_ARMS": "TATUAŻE NA RĘKACH"
"CUST_ICON_TATTOO_TORSO": "TATUAŻE NA TORSIE"
"CUST_ICON_HEAD": "GŁOWA"
"STORE_NAME_GAS_STATION": "STACJA BENZYNOWA"
"PURCHASEABLE_PROPERTEY_HOSTEL": "SCHRONISKO ODYSEJA"
"CUST_ITEM_DELETE_OUTFIT": "USUŃ STRÓJ"
"HORDE_MODE_MENU_NEW_GAME": "NOWA GRA"
"STAT_DRIVING_STOPPIE": "STÓJKI"
"ESCORT_NAME_37A": "ODWRÓCONEGO"
"PAUSE_MAP_WAYPOINT_SET": "USTAL PKT ORIENTACYJNY"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "TRYB BOGA"
"MUSIC_ROCK": "ROCK"
"GANG_CUST_SLOT": "MIEJSCE {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "STRZELBA"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "LICZBA WYDRWIONYCH POLICJANTÓW"
"STAT_ESCORT_CLIENTS_SERVICED": "ESKORTA: LICZBA OBSŁUŻONYCH KLIENTÓW"
"STAT_SURFING_TIME": "NAJDŁUŻSZY SURFING NA POJAZDACH"
"STAT_HITMAN_TARGETS": "ZLIKWIDOWANE CELE"
"ESCORT_NAME_38_B": "SZTYGARA"
"HASH_D5C46250": "ZNAK ŚMIERCI: ZABÓJSTWA"
"HASH_9B93BC50": "BRĄZOWE GWIAZDKI ZAROBIONE W DYWERSJACH"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "Czy chcesz zastąpić broń \"%s\" bronią \"%s\" za %s?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Etap wyzwania!"
"CUST_GANG_NAME_GANGSTER": "GANGSTERZY"
"GIVE_FLASHBANG": "DAJ GRANAT BŁYSKOWY"
"PURCHASEABLE_PROPERTEY_METH": "WYTWÓRNIA AMFY"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "ZAROBKI Z MISJI/FORTEC"
"STAT_HOSTAGES_TAKEN": "WZIĘCI ZAKŁADNICY"
"GANG_CIVILIAN": "CYWILE"
"GIVE_AR55": "DAJ AR 55"
"DROP_TORNADO": "DAJ TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "WSPÓŁPRACA: NAJDŁUŻSZY CIĄG MAKSYMALNEJ KOSY U POLICJI"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "RANKING KOSY"
"STORE_EXIT_TELEVISiON": "Zakończyć oglądanie telewizji?"
"HORDE_MODE_TITLE_HIGHSCORE": "NAJWYŻSZY WYNIK"
"STAT_COMBAT_THROWN": "ZABÓJSTWA BRONIĄ MIOTANĄ"
"CELL_FRIENDLY_FIRE": "TWÓJ PRZYJACIEL GNAT"
"GIVE_ULTIMAX": "DAJ AS3 ULTIMAX"
"POC2_DROP_HELICOPTER": "WYRZUĆ HELIKOPTER"
"VCUST_COLOR_PALETTE_TITLE": "EFEKT KOLORU"
"PURCHASEABLE_PROPERTEY_FLATS": "APARTAMENTY PARKVIEW"
"GARAGE_CANNOT_REPAIR": "Nie możesz modyfikować pojazdu przed całkowitą naprawą.\nMasz za mało pieniędzy, by naprawić swój pojazd."
"STAT_BASE_HIGH": "NAJWYŻSZY SKOK"
"BasicSP": "ROZGRYWKA: {C10}"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "CHAOS"
"CRIB_GARAGE_PURCHASED_TEXT": "Ten garaż jest teraz twój. \nMożesz przechowywać w nim niektóre pojazdy i mieć do nich dostęp."
"PURCHASEABLE_PROPERTEY_MOTEL": "ZAJAZD OD TYŁU"
"STORE_DISCARD_ITEM": "WYRZUĆ "
"BODY_TITLE": "CIAŁO"
"CONTROL_CANCEL": "ANULUJ"
"ESCORT_NAME_18B": "SANCHEZA"
"DEMO_EXIT": "WYJDŹ Z DEMA"
"DROP_KANEDA": "DAJ KANEDA"
"STORE_UPGRADES_TITLE": "ULEPSZENIA"
"MENU_SWAP_CLOTHING_STORE": "SKLEP Z CIUCHAMI"
"VCUST_TIRE_TREAD_NUMBER": "BIEŻNIK {0}"
"TAT_REG_R_FOREARM": "P PRZEDRAMIĘ"
"STORE_PLANET_SAINTS_MSG": "!!kupić przedmioty"
"HORDE_MODE_MENU_EXIT": "WYJDŹ DO GŁÓWNEGO MENU"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "UKOŃCZONE WYPALANIE SZLAKÓW"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "WYPALANIE SZLAKU: LICZBA SPALONYCH OBIEKTÓW"
"STAT_LEVELS_COMPLETED": "UKOŃCZONE POZIOMY"
"Diversion Silver Stars_NAME": "SREBRNE GWIAZDKI"
"Escort": "ESKORTA"
"GIVE_APOCA": "DAJ APOKAPIĘŚĆ"
"HIDE_HUD": "BEZ INTERFEJSU"
"MASCOT_PEDS_DESC": "Wszyscy przechodnie są maskotkami."
"CUST_ICON_UPPER_BODY": "GÓRNA POŁOWA"
"STORE_NO_ITEMS_IN_CATEGORY": "NIE MA DOSTĘPNYCH PRZEDMIOTÓW W TEJ KATEGORII"
"UNLOCKABLE_TITLE_TEXT": "ODBLOKOWANE"
"STAT_HITMAN_COMPLETED": "LICZBA WYKONANYCH ZAMACHÓW"
"ESCORT_NAME_9B": "SMOKA"
"DrugTrafficking": "HANDEL NARKOTYKAMI"
"InsFraud": "PRZEKRĘT Z UBEZPIECZENIEM"
"QUIT_GAME_TEXT_SHORT": "Czy na pewno chcesz wyjść?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "Czy chcesz kupić towar \"%s\" za %s?"
"STORE_OWNED": "POSIADANE"
"GARAGE_HANGAR": "HANGAR"
"STAT_STORES_OWNED": "POSIADANE SKLEPY"
"STAT_MAX_STUNT_JUMP_ROLL": "NAJWIĘKSZA BECZKA PRZY SKOKU"
"HASH_E66AA7D9": "ZNAK ŚMIERCI: ZAROBIONA KASA"
"CONTROL_CHANGE_LB": "ZMIEŃ TABLICĘ WYNIKÓW"
"CUST_GANG_NAME_PREPHOP": "PRAKTYKANCI"
"SWITCH_TO_STORE": "PRZEJDŹ DO SKLEPU"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% ZWIĘKSZENIA KONTROLI"
"BUILDING_PURCHASE_CRIB": "Kupić tę chatę za ${1}?"
"WPN_STORE_AMMO_TITLE": "AMUNICJA"
"TATTOO_REMOVE_SAVE": "Czy chcesz usunąć tatuaż z części ciała: %s i zapisać?"
"CONTROL_SELECT_COLOR": "WYBIERZ KOLOR"
"SURGEON_INSUFFICIENT_FUNDS": "Masz za mało pieniędzy, by odwiedzić chirurga plastycznego."
"STAT_VEHICLE_AIRCRAFT": "JEDNOSTKI LATAJĄCE"
"STAT_WEAPON_RPG": "WYRZUTNIA RAKIET"
"STAT_COOP_DEATHS": "WSPÓŁPRACA: ŚMIERCI SPOWODOWANE PRZEZ GRACZA"
"STAT_SNATCH_PIMPS_KILLED": "PRZECHWYT: LICZBA ZABITYCH ALFONSÓW"
"STAT_DRIVING_NEARMISS_CHAIN": "NAJDŁUŻSZY CIĄG JAZDY O MAŁY WŁOS"
"ESCORT_NAME_14B": "JOHNSONA"
"ESCORT_NAME_7B": "MIETKA"
"CONTROL_START_GAME": "ROZPOCZNIJ GRĘ"
"MAP_ICON_UNDEFINED": "NIE ZDEFINIOWANE"
"CUST_GANG_NAME_STRIPPER": "STRIPTIZERKA"
"GIANT_PLAYER_DESC": "Po zjedzeniu fasolek rośniesz do nieba."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "Czy chcesz kupić i zapisać \"%s\" za %s?"
"HASH_336F665B": "ZNAK ŚMIERCI: PORAŻKI"
"PIMPS_AND_HOS_PEDS_DESC": "Wszyscy przechodnie są alfonsami i dziwkami."
"MAINMENU_NEW_GAME_DIFF_HDR": "TRUDNOŚĆ"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "Nie jesteś zalogowany do profilu gracza.\nNie będzie możliwe zapisywanie postępów w grze i zdobywanie osiągnięć.\nKontynuować?"
"GANG_CUST_TITLE": "MODYFIKACJA GANGU"
"GARAGE_REPAIR_NAME": "WARSZTAT MECHANIKA"
"TUT_CRIB_GARAGE": "WCIŚNIJ {ACTION_IMG}, BY PRZECHOWAĆ TEN POJAZD W GARAŻU"
"STAT_AIRCRAFT_DESTROYED": "LICZBA ZNISZCZONYCH SAMOLOTÓW"
"STAT_SMG_HIT_PCT": "PROCENT TRAFIEŃ Z PISTOLETU MASZYNOWEGO"
"ESCORT_NAME_16B": "PTYSIA"
"ESCORT_NAME_5B": "OPRAWCĘ"
"Time at Highest Police Notoriety_NAME": "CZAS MAKSYMALNEJ KOSY U POLICJI"
"GARAGE_REPAIR_RETRIEVE": "NAPRAW I WYPROWADŹ POJAZD: ${0}"
"HUD_SHOP_INSUFFICIENT_FUNDS": "MASZ ZA MAŁO PIENIĘDZY"
"VCUST_EXTRA_LOW_PROFILE": "BARDZO NISKI PROFIL"
"PURCHASEABLE_PROPERTEY_POWER": "ZAKŁAD ENERGETYCZNY"
"STAT_DRIVING_BAILOUT_RESPECT": "SZACUN ZDOBYTY NA WYSKOKACH ZZA KÓŁKA"
"HASH_CE3F7EDD": "KASA WYDANA NA MODYFIKACJE CHAT"
"GIVE_SLM8": "DAJ KARABIN LASEROWY VIPER"
"LIGHT_RAIN": "LEKKI DESZCZ"
"VCUST_LOW_PROFILE": "NISKI PROFIL"
"CUST_ITEM_STYLE": "STYL"
"STAT_DRIVING_WRONGWAY_RESPECT": "SZACUN ZDOBYTY NA JEŹDZIE PRZECIWNYM PASEM"
"ESCORT_NAME_10B": "PRZETYKACZA"
"ESCORT_NAME_3B": "LODA"
"CONFIRM_WEAR_OUTFIT": "Czy na pewno chcesz założyć ten strój?"
"HASH_A885535E": "HYDRAULIKA"
"CONTROL_EXIT_PURCHASE_CLOTHING": "WYJDŹ Z KUPNA CICUCHÓW"
"DROP_SPECTER": "DAJ SPECTER"
"TINY_PLAYER": "ITTY BITTY"
"SAVELOAD_AUTOSAVE_LABEL": "AUTOZAPIS"
"HASH_CC5A26DE": "Rozebrać się?"
"HORDE_MODE_MENU_RETRY": "SPRÓBUJ PONOWNIE"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "CZAS"
"HORDE_MODE_WEAPON_UPGRADE": "BROŃ: %ls JEST TERAZ NA POZIOMIE %i Z %i"
"STAT_STREAKING_PEOPLE": "ŚWIADKOWIE BIEGANIA NA GOLASA"
"STAT_CRIBS_ACQUIRED": "ZDOBYTE CHATY"
"WPN_STORE_SPECIAL_TITLE": "SPECJALNE"
"VEHICLE_CUSTOMIZATION_TITLE": "MODYFIKACJA POJAZDU"
"TAT_REG_L_SHOULDER": "L RAMIĘ"
"ESCORT_NAME_12B": "FRANKLINA"
"ESCORT_NAME_1B": "SANCHEZA"
"HASH_FB3AF7E0": "ZNAK ŚMIERCI: NAJWYŻSZA LICZBA ŚMIERCI W RUNDZIE"
"MAP_ICON_WEAPON": "SKLEP Z BRONIĄ"
"GENERIC_LEAVE_BLANK_FULL": "Czy na pewno chcesz opuścić \"%s\"?"
"HUD_TRIGGER_CASH_STASH": ", BY WZIĄĆ %ls ZE SWOJEGO SCHOWKA"
"HUD_FOUND_CASH": "Otrzymujesz %ls ze schowka!"
"VCUST_RIM_STYLE_OPTION": "STYL FELG"
"HASH_7A3484E1": "SREBRNE GWIAZDKI ZAROBIONE W DYWERSJACH"
"HASH_F85DA761": "ZŁOTE GWIAZDKI ZAROBIONE W DYWERSJACH"
"CONTROL_CHANGE_BOARD": "ZMIEŃ TABLICĘ"
"GANG_CUST_GANG_TITLE": "GANG"
"TAT_REG_L_LEG": "L NOGA"
"CUST_BROWSER_BROWSE": "PRZEGLĄDAJ"
"STORE_CRIB_WEAPONS_MSG": ", BY PRZEJŚĆ DO SKŁADU BRONI"
"STAT_DRIVING_TWOWHEELS_TIME": "NAJDŁUŻSZY CZAS JAZDY NA DWÓCH KOŁACH"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "NAJWIĘKSZA ODLEGŁOŚĆ PRZY PRZEBICIU PRZEDNIEJ SZYBY"
"ESCORT_NAME_16A": "ŁASKOCZĄCEGO"
"ESCORT_NAME_5A": "GERMAŃSKIEGO"
"DELETE_OUTFIT": "USUŃ STRÓJ"
"GIVE_ROCKET": "DAJ MŁOT WSTRZĄSOWY"
"GIVE_AIRSTRIKE": "DAJ NALOT POWIETRZNY SA-3"
"OVL_SHOP_PURCHASED_TEXT": "Masz teraz udziały w tym sklepie. Będziesz otrzymywać [format][color:highlight]${0}/na godzinę[/format] wypłaty w swoim schowku, możesz też liczyć na zniżki na wszystkie towary."
"VCUST_NORMAL_PROFILE": "NORMALNY PROFIL"
"VCUST_HIGH_PROFILE": "WYSOKI PROFIL"
"STAT_TEAM_LUCHADORES": "LUCHADORES"
"STAT_ESCORT_LEVELS_COMPLETED": "UKOŃCZONE ESKORTY"
"STAT_COMBAT_HEADSHOT_RESPECT": "SZACUN ZDOBYTY NA STRZAŁACH W GŁOWĘ"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "DAJ TOAD"
"GIVE_CASH_DESC": "Natychmiast daje ci gotówkę."
"PED_WAR_DESC": "Nienawiść, złość, cierpienie, wszyscy nienawidzą się nawzajem."
"STAT_MAYHEM_BEST_COMBO": "CHAOS: NAJLEPSZE KOMBO"
"ESCORT_NAME_14A": "PARNEGO"
"ESCORT_NAME_7A": "CHYŻEGO"
"DRUNK_PEDS": "PIJANI PRZECHODNIE"
"STAT_COOP_GANG_NOTORIETY_TIME": "WSPÓŁPRACA: CZAS MAKSYMALNEJ KOSY U GANGÓW"
"HumanTorch": "WYPALANIE SZLAKU"
"ELEVATOR_TO_HEAVEN_DESC": "Martwi idą do nieba."
"GIVE_FLAMETHROWER": "DAJ MIOTACZ OGNIA"
"GIVE_CHAINSAW": "DAJ PIŁĘ ŁANCUCHOWĄ"
"SURGEON_MP_EXPORT_FULL": "Eksport postaci do gry wieloosobowej zastąpi\nwcześniej zapisaną postać gry wieloosobowej!"
"STORE_STRENGTH": "ATLETYCZNA {0}%%%%"
"STAT_DECKERS_KILLED": "ZABICI DECKERZY"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "Musisz zalogować się do profilu gracza, by obejrzeć osiągnięcia "
"ESCORT_NAME_12A": "WILGOTNEGO"
"ESCORT_NAME_1A": "BRUDNEGO"
"Total Civilian Kills_NAME": "SUMA ZABITYCH CYWILÓW"
"CONTROL_SELECT_EQUIPPED": "WYBIERZ EKWIPOWANE"
"DROP_QUASAR": "DAJ QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "Obecny nośnik danych został usunięty.\nProszę wybrać nowy nośnik danych przed kontynuacją zapisu lub odczytu."
"STORE_LEVEL": "POZIOM"
"GARAGE_DOCK": "DOK"
"STAT_BIG_AIR_LONGEST_JUMP": "WYSOKIE SKOKI: NAJDŁUŻSZY SKOK"
"STAT_STAG_KILLED": "ZABICI AGENCI STAG"
"Partners in Crime_DESC": "UKOŃCZONO WSZYSTKIE MISJE KAMPANII W TRYBIE WSPÓŁPRACY"
"SinglePlayer": "GRA JEDNOOSOBOWA"
"CONTROL_SELECT": "WYBIERZ"
"MAP_ICON_INSURANCE_FRAUD": "PRZEKRĘT Z UBEZPIECZENIEM"
"GIVE_KRUKOV": "DAJ K-8 KRUKOV"
"SAVELOAD_SIGN_IN_NOW": "Nie jesteś obecnie zalogowany do profilu gracza.\nCzy chcesz się zalogować?"
"STAT_TEAM_DECKERS": "DECKERZY"
"STAT_MISSION_SUCCESS_RATE": "PROCENT UDANYCH MISJI"
"STAT_MAYHEM_DAMAGE_DONE": "CHAOS: SPOWODOWANE STRATY"
"STAT_DRIVING_WHEELIE_RESPECT": "SZACUN ZDOBYTY NA ROBIENIU WHEELIE"
"ESCORT_NAME_10A": "WŚCIEKŁEGO"
"ESCORT_NAME_3A": "ŚWIŃSKIEGO"
"HASH_646BCE68": "METAGRA W TRYBIE WSPÓŁPRACY: ZAROBIONA PREMIOWA KASA"
"CELL_SUICIDE": "TELEFON ZAUFANIA"
"CUST_GANG_NAME_SPORTY": "SPORTOWCY"
"ADD_COP_NOTORIETY": "DODAJ KOSĘ Z POLICJĄ"
"GARAGE_INSUFFICIENT_FUNDS": "MASZ ZA MAŁO PIENIĘDZY, BY NAPRAWIĆ TEN POJAZD"
"STAT_JUMPS_FOUND": "ZNALEZIONE SKOKI KASKADERSKIE"
"CUST_REMOVE_ITEM_TITLE": "USUŃ PRZEDMIOT"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "CZAS MAKSYMALNEJ KOSY U LUCHADORES"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "CZAS MAKSYMALNEJ KOSY U GANGÓW"
"STAT_FRAUD_LEVELS_COMPLETED": "UKOŃCZONE PRZEKRĘTY Z UBEZPIECZENIEM"
"STAT_DRIVING_WRONGWAY_TIME": "NAJDŁUŻSZA JAZDA PRZECIWNYM PASEM"
"STAT_HOMIEZ_ACQUIRED": "ZGROMADZENI ZIOMALE"
"HASH_719A436A": "SZACUN ZDOBYTY NA HYDRAULICE"
"HORDE_MODE_TITLE_SCORE": "WYNIK"
"STAT_DRIVING_BACKSEAT_DISTANCE": "NAJDŁUŻSZA GRA W OFIARĘ POD KOŁAMI"
"STAT_DRIVING_WHEEILE_TIME": "NAJDŁUŻSZY WHEELIE"
"STAT_COMBAT_ONE_HIT": "ZABÓJSTWA JEDNYM STRZAŁEM"
"TAXIMAP_FARE": "OPŁATA ZA TAKSÓWKĘ:"
"CELL_FORGIVE": "PRZEBACZ I ZAPOMNIJ"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Ponowne uruchomienie misji spowoduje utratę broni i szacunu uzyskanego podczas rozgrywania misji."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "CZARNY RYNEK ORGANÓW"
"MAP_ICON_TSS_STRONGHOLD": "FORTECA ŚWIĘTYCH Z 3. ULICY"
"CELL_PIMP_VAN": "SAMOCHÓD ALFONSA"
"BE_ALL_YOU_WANT_TO_BE": "ZMIANA POSTACI"
"MUSIC_FUNK": "FUNK"
"CUST_ICON_TATTOO_LEGS": "TATUAŻE NA NOGACH"
"MUSIC_REGGAE": "REGGAE"
"TAXI_LEAVE_FULL": "Czy na pewno chcesz wysiąść z taksówki?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Czy na pewno chcesz opuścić \"Twojego przyjaciela gnata\"?"
"VCUST_REAR_AXLE_OPTION": "TYLNA OŚ"
"STORE_TITLE_WITHDRAW": "COFNIJ"
"HORDE_MODE_TITLE_FAIL": "ETAP {0} UKOŃCZONY"
"HORDE_MODE_KILL_COUNT": "ZABICI"
"STAT_DRIVING_NEARMISS": "O MAŁY WŁOS"
"STAT_DRIVING_BURNOUT": "PALENIE GUMY"
"Human Thrown Distance_NAME": "REKORD DYSTANSU RZUTU"
"CONTROL_CHANGE_MODE": "ZMIEŃ TRYB"
"CONTROL_VIEW_GAMER_CARD": "OBEJRZYJ KARTĘ GRACZA"
"CONTROL_BACK": "WSTECZ"
"CELL_POLICE": "POLICJA"
"GIVE_SONIC": "DAJ MIOTACZ DŹWIĘKOWY"
"SUPER_SAINTS_DESC": "Święci to wredne sukinkoty."
"CUST_ICON_WRISTS": "NADGARSTKI"
"MUSIC_METAL": "METAL"
"MENU_EXPORT_SIGN_IN_FULL": "Musisz zalogować się do Xbox LIVE,\n by móc wyeksportować postać do gry wieloosobowej."
"STORE_LEVEL_REQ": "WYM. POZIOM {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "Masz już tę broń."
"ESCORT_NAME_9A": "ŚLISKIEGO"
"CONTROL_CHANGE_VIEWED_PLAYER": "ZMIEŃ OGLĄDANEGO GRACZA"
"MUSIC_HIPHOP": "HIP-HOP"
"DEALER_NO_SPACE": "MASZ W GARAŻU ZA MAŁO MIEJSCA NA: %s"
"Total Gang Kills_NAME": "ZABICI ZE WSZYSTKICH GANGÓW"
"HASH_937C34EF": "OCENA ZA STYL"
"VCUST_HUBCAPS_TITLE": "KOŁPAKI"
"PURCHASEABLE_PROPERTEY_STEEL": "STARA HUTA STALI"
"TAT_REG_FRONT": "PRZÓD"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "LICZBA WYDRWIONYCH CYWILÓW"
"STAT_MILES_BY_BIKE": "ODLEGŁOŚĆ W MILACH PRZEBYTA NA MOTOCYKLACH"
"STAT_ACTIVITY_CASH_EARNED": "ZAROBKI Z AKCJI"
"ESCORT_NAME_18A": "BRUDNEGO"
"CONTROL_BEGIN_GAME": "ZACZNIJ GRĘ"
"ADD_COP_NOTORIETY_DESC": "Podnosi kosę u policji o jedną gwiazdkę przy każdym użyciu."
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "Czy na pewno chcesz wrócić do menu głównego?"
"OUTFIT_NAME_ENTRY_DIALOG": "WPISZ NAZWĘ STROJU"
"WPN_CACHE_EXIT_PROMPT": "Wyjście ze składu broni\n\nNa pewno?"
"STORE_FREE": "DARMO"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "Czy chcesz wziąć amunicję do: \"%s\"?"
"STAT_DRIVING_BACKSEAT": "OFIARA POD KOŁAMI"
"STAT_DRIVING_TWOWHEELS_RESPECT": "SZACUN ZDOBYTY NA JEŹDZIE NA DWÓCH KOŁACH"
"STAT_MAX_STUNT_FALL_DIST": "NAJDŁUŻSZY UPADEK"
"STAT_ARRESTS": "ARESZTOWANIA"
"ESCORT_NAME_33B": "MOTYLA"
"RADIO_STATION_OFF": "WYŁ."
"CONTROL_EXIT_PURCHASE_TATTOOS": "WYJDŹ Z KUPNA TATUAŻY"
"MAP_ICON_PIMPING": "PRZECHWYT"
"STAT_DEATHS": "ZGONY"
"Time at Highest Gang Notoriety_NAME": "CZAS MAKSYMALNEJ KOSY U GANGÓW"
"MAP_ICON_ESCORT": "ESKORTA"
"RESTORE_WEATHER": "NASTAW POGODE DO NORMALNEJ"
"GANG_CUST_GANG_SIGN_TITLE": "ZNAK GANGU"
"IMPRESSIONS_NAME": "WRAŻENIA"
"STORE_INVENTORY_EMPTY_TITLE": "BRAK TOWARU"
"GARAGE_DELETE_CONFIRM": "Czy chcesz porzucić ten pojazd?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "PRZETRWANO"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "KOTEK I MYSZKA: NAJWYŻSZA LICZBA ZABÓJSTW W RUNDZIE"
"STAT_RPG_SHOTS_FIRED": "STRZAŁY Z WYRZUTNI RAKIET"
"STAT_STREAKING_CASH": "SZACUN ZDOBYTY NA BIEGANIU NA GOLASA"
"STAT_TAUNT_RESPECT": "SZACUN ZDOBYTY DRWINAMI"
"ESCORT_NAME_31B": "JASZCZURA"
"CONTROL_CHANGE_LB_FILTER": "ZMIEŃ FILTR"
"CONTROL_QUITGAME": "WYJDŹ"
"TIME_SET_NOON_DESC": "Ustawia czas na południe."
"DROP_CAR_DESC": "Umieszcza ten pojazd w garażu."
"DROP_BOOTLEGGER": "DAJ BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "Czy na pewno chcesz wyjść?\nNiezapisane postępy w grze zostaną utracone."
"GARAGE_REPAIR": "NAPRAW"
"STAT_COMBAT_ONE_HIT_RESPECT": "SZACUN ZDOBYTY NA ZABÓJSTWACH JEDNYM STRZAŁEM"
"STAT_CHOPSHOP_VEHICLES": "DOSTARCZONE POJAZDY"
"Matchmaking": "TWORZENIE GRY"
"DROP_TITAN": "DAJ TITAN"
"SUPER_EXPLOSIONS_DESC": "Wybuchy są 4 razy większe."
"BE_ALL_YOU_WANT_TO_BE_DESC": "Wybierz z listy, jak ma wyglądać twoja postać."
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "Czy chcesz zastąpić broń \"%s\" bronią \"%s\" za %s?"
"SWITCH_TO_WARDROBE": "PRZEJDŹ DO GARDEROBY"
"HUD_CRIB_CHANGE_RADIO_STATION": "ZMIENIĆ STACJĘ RADIOWĄ"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "HANDEL NARKOTYKAMI: LICZBA ZADOWOLONYCH KLIENTÓW"
"STAT_COMBAT_MULTI_RESPECT": "SZACUN ZDOBYTY NA WIELOKROTNYCH ZABÓJSTWACH"
"ESCORT_NAME_37B": "ARABA"
"Diversion Bronze Stars_NAME": "BRĄZOWE GWIAZDKI"
"HASH_A166F6F5": "SZACUN ZDOBYTY PODCZAS BYCIA ALFONSEM"
"GARAGE_REPAIR_VEHICLE": "NAPRAW ZA ${0}"
"VCUST_RIM_NUMBER": "FELGA {0}"
"GOTH_NAME": "NIKT MNIE NIE KOCHA"
"HORDE_MODE_WAITING_FOR_HOST": "Oczekiwanie na gospodarza."
"ESCORT_NAME_38_A": "NAMIĘTNEGO"
"PURCHASEABLE_PROPERTEY_BODEGA": "LOMBARD KIESZONKOWCÓW"
"STAT_PISTOL_HIT_PCT": "PROCENT TRAFIEŃ Z PISTOLETU"
"STAT_SNATCH_HOS_CLAIMED": "PRZECHWYT: LICZBA PRZEJĘTYCH DZIWEK"
"ESCORT_NAME_35B": "GRZECHOTNIKA"
"WEAR_OUTFIT_TITLE": "ZAŁÓŻ STRÓJ"
"WARDROBE_REMOVE_OUTFIT_TITLE": "USUŃ STRÓJ"
"INFINITE_SPRINT": "NIESKOŃCZONY SPRINT"
"NO_COP_NOTORIETY": "BEZ KOSY Z POLICJĄ"
"STORE_EXIT_WARNING_HEADER": "UWAGA"
"CRIB_SAINTSHQ": "KRYJÓWKA ŚWIĘTYCH"
"PURCHASEABLE_PROPERTEY_WARF": "NABRZEŻE HENRY STEEL"
"STAT_STREAKING_TOTAL_TIME": "ŁĄCZNY CZAS BIEGANIA NA GOLASA"
"STAT_FAVORITE_TRANSPORTATION": "ULUBIONY RODZAJ TRANSPORTU"
