"CUST_ITEM_CF_HAIR_MED": "POR EL HOMBRO"
"CUST_COMP_MALE_EYEBROWS_1": "MASCULINAS Y GRUESAS"
"COMPONENT_EXTRA_HIGH_PROFILE": "PERFIL EXTRAALTO"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "POR DENTRO, ABROCHADO"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "GAFAS DE LA CANONESA SANGRIENTA"
"CUST_SKIN_GREEN_4": "BATIDO DE TRÉBOLES"
"CUST_MOVEMENT_FACE": "EXPRESIÓN FACIAL"
"CUST_RONIN_TAUNT_A": "PROVOCACIÓN DE LOS RONIN 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "TAMAÑO PÓMULOS"
"CUST_COLOR_CLOTHING_ORANGE_6": "NARANJA 6"
"CUST_COMP_EYE_MAKEUP_18": "NOCHE GÓTICA"
"CUST_VARIANT_MIXED": "MEZCLADO"
"CUST_ITEM_CF_RING_F_STUDRING": "DIAMANTE EN BRUTO"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "FALDA STEAMPUNK"
"CUST_COMP_TEST_CHEEK_MAKEUP": "EMPERIFOLLADA"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "RELOJ LUJO DE LOS SAINTS"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "PANTALÓN CORTO AJUSTADO"
"CUST_ITEM_LPA_M_SPACE_HELMET": "CASCO INTERGALÁCTICO"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "ALTURA PÁRPADO SUPERIOR"
"CUST_COLOR_CLOTHING_BLUES_7": "AZUL 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "NARANJA ROJIZO 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "ACERO INOXIDABLE"
"CUST_VARIANT_TRACK_B": "ESTILO 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "FIEBRE DISCO"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "ALTURA OREJAS"
"SLOT_DECAL_7": "PEGATINA 7"
"LOGO_BOOT": "BOTA"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "MOCASINES URBANOS"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "ALTURA PAPADA"
"HAIR_COLOR_BLUE": "AZUL"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "ALTURA MEJILLAS"
"VEHICLE_COLOR_BLACK": "NEGRO"
"SLOT_GAS_TANKS": "DEPÓSITOS DE COMBUSTIBLE"
"CUST_COLOR_CLOTHING_GREENS_6": "VERDE 6"
"CUST_TATTOO_STOMACH_8": "FLOR DE ARTE"
"CUST_COMP_FACE_SCAR_2": "CICATRIZ GRANDE 2"
"COLOR_SLOT_WINDOW_NET": "RED DE VENTANA"
"SLOT_BODY_COLOR": "COLOR DE CARROCERÍA"
"LOGO_UNIVERSITY_1": "U DE STILWATER 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "CUELLO RECTO CON CHAQUETA URBAN SAFARI"
"VEHICLE_COLOR_DEEP_GRAY": "GRIS OSCURO"
"CUST_VARIANT_SHIRT_B": "ESTILO 2"
"CUST_VARIANT_SANDAL": "SANDALIA"
"CUST_VARIANT_FLOWER_BAND": "BANDA DE FLORES"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "TOP DE PRINCESA ESPACIAL"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "PAPADA"
"PLAYER_GENDER_TEXT": "FORMA DEL CUERPO"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "ZAPATOS DE SERPIENTE"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "CORTE LIMPIO"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "ANCHURA LABIO SUPERIOR"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "VERDE AZULADO 1"
"VEHICLE_COLOR_TITANIUM": "TITANIO"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "NARANJA CLARO"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "QUE TE JODAN 2"
"SURGEON_CAT_PRESETS": "PREDEFINIDOS"
"LOGO_GUITAR": "GUITARRA"
"LOGO_FEEDDOGS": "FEED DOGS"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "MAYAS DE PRINCESA ESPACIAL"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "HÉROE DE STEELPORT"
"PRESET_WARNING_BODY": "Si eliges este predefinido descartarás los ajustes actuales.\n¿Seguro que deseas hacerlo?"
"CUST_COMP_EYES_DARK_BLUE": "AZUL OSCURO"
"CUST_COLOR_ORANGE_4": "NARANJA 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "PANTALÓN DE ESCLAVA"
"CUST_TATTOO_UPPER_CHEST": "PECHO SUPERIOR"
"CUST_COLOR_CLOTHING_RED_4": "ROJO 4"
"VEHICLE_COLOR_TINT_40": "TINTE 40%%"
"SLOT_EXHAUST_TIPS": "PUNTAS TUBOS DE ESCAPE"
"LOGO_CAVE_4": "CUEVA FANTASMA 4"
"CUST_COMP_FACE_WART_1": "VERRUGA 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "GRIS CALIMA"
"COLOR_SLOT_PAINT_2_AND_TRIM": "PINTURA 2 Y EMBELLECEDOR LATERAL"
"IRIDESCENT_4": "IRIDISCENTE 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "CORSÉ STEAMPUNK"
"CUST_MENU_FIGURE_PRESETS": "COMPLEXIÓN PREDEFINIDA"
"CUST_VARIANT_PLAID": "ESCOCÉS"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "BOTAS DE COMBATE CHIC"
"LOGO_SQD": "SIGMA THETA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "TODO ROJO"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "PANTALONES DE VESTIR"
"CUST_SKIN_RED_YELLOW_2": "ZANAHORIA"
"CUST_SKIN_METAL_5": "ZAFIRO"
"COLOR_SLOT_PAINT_2": "PINTURA 2"
"COLOR_SLOT_INTERIOR_2": "INTERIOR 2"
"HAIR_COLOR_BLONDE": "RUBIO"
"COMPONENT_OPTION_B": "OPCIÓN B"
"CUST_SAMEDI_COMPLIMENT_C": "CUMPLIDO DE LOS SAMEDI 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "SOMBRERO DE DETECTIVE"
"CUST_INSULT_LINE": "PASARSE DE LA RAYA"
"CANCEL_WARNING_BODY": "¿Seguro que quieres descartar los cambios?"
"WARDROBE_TITLE": "ARMARIO"
"COLOR_SLOT_RIMS_1": "LLANTAS 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "DISEÑO DE SAM 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "GUANTES DE MOTORISTA ROJOS"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "PROFUNDIDAD PUNTA"
"CUST_COLOR_CLOTHING_VIOLET_8": "VIOLETA 8"
"HAIR_COLOR_BLEACHED_MATTE": "PLATINO MATE"
"LOGO_FRECKLE_2": "FRECKLE BITCHS 2"
"CUST_VARIANT_TIGER": "TIGRE"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "SUBTERFUGIO"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "SALVAJE"
"CUST_SAMEDI_TAUNT_B": "PROVOCACIÓN DE LOS SAMEDI 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "PROFUNDIDAD MANDÍBULA"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "BLANCO CRISTAL DE BOTELLA"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "PENDIENTES MORDISCO SHARK"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "INCLINACIÓN DE NARIZ"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "CAMISETA DISPÁRALOS"
"CUST_TATTOO_ENTIRE_CHEST": "TODO EL PECHO"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "ANCHURA ORIFICIO NASAL"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "TAMAÑO BORDES LABIO SUPERIOR"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "TINTE AZUL CLARO"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "POR DENTRO, ABROCHADO, ALTO, SIN TIRANTES, CORBATA"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "IMPRESSIONS FEMENINO R"
"CUST_ITEM_FEMALE_LP_BRA_1": "MORDISCO DE ARAÑA"
"CUST_SKIN_METAL_1": "PLATEADO"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "ANTENA"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "CHAQUETA A MEDIDA"
"CUST_ITEM_CF_HAIR_CORNROWS": "SAINTS ROWS"
"PLAYER_MORPH_EAR_YAW_TEXT": "TORSIÓN DE OREJAS"
"FEMALE_BODYBUILDER": "MUJER CULTURISTA"
"CUST_VARIANT_GLITTERY": "RELUCIENTE"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "PANTALÓN DE CHÁNDAL"
"FACIAL_EXPRESSION_DOPEY": "PUESTO"
"LOGO_STILWATER_CYCLE": "MOTOCICLETAS DE STILWATER"
"FACTORY_STANDARD_HOOD_W__INTAKE": "CAPÓ ESTÁNDAR DE FÁBRICA CON ADMISIÓN"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "LUNARES MEDIANOS"
"CUST_WEAR_RIGHT": "DERECHA"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "ASPIRANTE A ARTISTA"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "PANTALONES CAÍDOS DE LOS SAINTS"
"SLOT_DECAL_3": "PEGATINA 3"
"CUST_VARIANT_ARMS": "BRAZOS"
"CUST_CAT_HAIR_COLOR_SECONDARY": "COLOR SECUNDARIO DEL CABELLO"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "CURVA DE CABALLETE"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "Has alcanzado el número máximo de objetos permitidos en esta categoría."
"CUST_COLOR_CLOTHING_BLUES_3": "AZUL 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "NARANJA ROJIZO 5"
"HAIR_COLOR_RED_MATTE": "ROJO VIVO MATE"
"BRIGHT_ORANGE": "NARANJA BRILLANTE"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "BERMUDAS MOLÓN"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "TACONES DE FIESTA"
"CUST_CAT_MAKEUP_CHEEKS": "MEJILLAS"
"CUST_FACIAL_EXP_EMBARRASSED": "AVERGONZADO"
"PLAYER_MORPH_BROW_CURVE_TEXT": "CURVA CEJAS"
"PLAYER_CREATION_HAIR_LENGTH": "LONGITUD DE CABELLO"
"LOGO_HEADSTONE": "LÁPIDA"
"CUST_COLOR_GRAY_2": "GRIS 2"
"CUST_VARIANT_DULL": "PÁLIDO"
"CUST_WEAR_STUD": "TACHUELA"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "BOTAS DE NIÑA REBELDE"
"SLOT_RIMS_FRONT": "LLANTAS DELANTERAS"
"SLOT_TAILLIGHTS": "FAROS TRASEROS"
"SLOT_REAR_BUMPER": "PARACHOQUES TRASEROS"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "IMPRESSIONS MASCULINO N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "JOVEN ESTRELLA"
"GANG_CUST_RANDOM": "ALEATORIO"
"CUST_COLOR_CLOTHING_GREENS_2": "VERDE 2"
"CUST_COMP_FACE_SCAR_6": "CICATRIZ PEQUEÑA 2"
"COMPONENT_HIGH_PROFILE": "PERFIL ALTO"
"LOGO_UNIVERSITY_5": "U DE STILWATER 5"
"CUST_WEAR_DEFAULT": "PREDETERMINADO"
"CUST_SKIN_BLUE_2": "AZUL OCÉANO"
"CUST_COMPLIMENT_Y": "GUAU GUAU"
"PLAYER_MORPH_JAW_TEXT": "MANDÍBULA"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "VERDE AZULADO 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Lanza más lejos."
"CUST_GANG_COP": "POLICÍA"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "GAFAS DE INCÓGNITO"
"CUST_TATTOO_RIGHT_FOREARM": "ANTEBRAZO DERECHO"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "PROFUNDIDAD MEJILLAS"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "DISTANCIA PÓMULOS"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "ANCHURA SESGO"
"PLAYER_CREATION_TITLE": "CREACIÓN DE JUGADORES"
"RIM_SET_019": "JUEGO DE LLANTAS 19"
"COLOR_SLOT_RIMS": "LLANTAS"
"CUST_VARIANT_STRIPE_1": "UNA FRANJA"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "URBAN SAFARI DE CUELLO VUELTO"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "CORTE DE SKATER"
"PLAYER_MORPH_EAR_BEND_TEXT": "CAÍDA OREJAS"
"CANT_WEAR_MEDALLION": "Para llevar este medallón debes tener un collar largo o medio."
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Aumenta la capacidad de munición."
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "CALLE 1"
"CUST_COLOR_CLOTHING_RED_8": "ROJO 8"
"COLOR_SLOT_DRAPES": "CORTINAS"
"CUST_ITEM_FEMALE_LL_BRA_4": "CHICA DURA"
"CUST_ITEM_CM_SUIT_CARDINAL": "LA TOGA DEL CARDENAL"
"FACIAL_EXPRESSION_DEATH_B": "AGONÍA 2"
"FACIAL_EXPRESSION_JOYFUL": "ALEGRE"
"CUST_COLOR_CLOTHING_YELLOWS_3": "AMARILLO 3"
"CUST_TATTOO_RUPPARM_3": "DIOSA EGIPCIA"
"COLOR_SLOT_PAINT_1_AND_RIMS": "PINTURA 1 Y LLANTAS"
"CUST_VARIANT_STONEWASH_JEANS": "LAVADO A PIEDRA"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "MOTORISTA"
"CUST_ITEM_LPA_M_SPACEPACK": "ASTROPACK"
"PLAYER_MORPH_FACE_AGE_TEXT": "EDAD CARA"
"CUST_GANG_MASCOT": "MASCOTA"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "ARMADURA DE CABALLERO"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "CAMISA DE VESTIR DE HOMBRE MODERN"
"CUST_ITEM_CF_HAIR_LONGBANGS": "PRINCESA EGIPCIA"
"FACIAL_EXPRESSION_PAIN_C": "SUFRIMIENTO"
"CUST_BRO_COMPLIMENT_A": "CUMPLIDO DE LA BROTHERHOOD 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "ESTRELLAS"
"CUST_VARIANT_HAWAII": "HAWAIANO"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "CONEJITO GRANDE"
"CUST_TATTOO_LFORARM_3": "CORTAR POR LO SANO"
"HAIR_COLOR_LIGHT_BROWN": "CASTAÑO CLARO"
"COMPONENT_PAINT_2": "PINTURA 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "COLLAR DE PERRO"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "BOTAS DE JUERGA"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS CHICO B"
"CUST_ITEM_GAT_BOBBLE": "MUÑECO DE GAT"
"CUST_ITEM_6_LOOPS_RIGHT_2": "CLASE DURA"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "ELEVACIÓN NUCA"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "MOCASINES DE VIEJO"
"CUST_VOICE": "VOZ"
"CUST_COMP_MUSTACHE_21": "MOSCA"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "BEIGE CREMA DE CAFÉ"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "PINTURA IRIDISCENTE"
"SLOT_MECHANICAL_COLOR": "COLOR MECÁNICA"
"CUST_COLOR_TEAL_2": "VERDE AZULADO 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "CHICA DE CLASE ALTA"
"CUST_COMP_EYES_WHITE": "BLANCO"
"CUST_VARIANT_LIGHT_PLATINUM": "PLATINO CLARO"
"CUST_INSULT_CHEST": "SACANDO PECHO"
"CUST_GANG_MORNING_STAR": "LUCERO DEL ALBA"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "DERECHA ENROLLADO, ALTO"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMURÁI"
"CUST_TATTOO_RARM_1": "SAINT CALLEJERO"
"RIM_155": "LX-14"
"DIRT": "SUCIEDAD"
"CUST_WEAR_RIGHT_ROLLED_UP": "DERECHA ENROLLADA"
"CUST_ITEM_CM_HAT_MOTORHELMET": "CASCO DE CHOPPER"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "CHICO MALO"
"CUST_MAKEUP_VARIATION": "VARIACIONES"
"LOGO_BALANCE_2": "BALANCE 2"
"CUST_VARIANT_TIE": "CON CORBATA"
"CUST_WEAR_FORWARD_RIGHT": "ADELANTE DERECHA"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "CHAQUETA MODERN CON SUÉTER"
"CUST_ITEM_LEATHER_LACE_MALE_B": "DOLOR Y PLACER"
"CUST_ITEM_CF_HAIR_BEEHIVE": "ABEJA REINA"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "SANDALIAS PIPA DE LA PAZ"
"SLOT_REINFORCED_FRAME": "CHASIS REFORZADO"
"CUST_COLOR_RED_4": "ROJO 4"
"LOGO_NUMBER12": "NÚMERO 12"
"CUST_VARIANT_2_SIDED_FADE": "DEGRADADO POR LAS 2 CARAS"
"CUST_WEAR_FRONT RIGHT": "ADELANTE DERECHA"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "CIBERESPACIO"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "ZAPATILLAS DE EMO"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "GUANTES DE CHICO MALO"
"RIM_SET_011": "JUEGO DE LLANTAS 11"
"CUST_VARIANT_SHINY": "BRILLANTE"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "POR FUERA, ABROCHADO, CORBATA"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "BUSTIER DE DESCARADA"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "ANCHURA MEDIA ORIFICIO NASAL"
"PLAYER_MORPH_HUE_TEXT": "TONO"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "AZUL VIOLETA 6"
"SLOT_WINDOW_COVERS": "CUBREVENTANAS"
"SLOT_HOOD_ORNAMENT": "ADORNOS DE CAPÓ"
"BRIGHT_INDIGO": "AÑIL BRILLANTE"
"CUST_VARIANT_BIG_STRIPES": "RAYAS GRUESAS"
"CUST_VARIANT_POLO_2": "POLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "CORSÉ DE LA BANDA"
"CUST_TATTOO_STOMACH_4": "SUEÑOS DE UNICORNIO"
"CUST_COMP_MUSTACHE_2": "ACTOR PORNO"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "CALAVERA"
"LOGO_RAYS_1": "RAYOS 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "SOMBRERO DE SOLO ANTE EL PELIGRO"
"CUST_COMPLIMENT_Q": "LA MUJER DEL CORO"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "CURVA PÁRPADO INFERIOR"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "FORMA CARA"
"CUST_VARIANT_TIE_DYE_2": "TEÑIDO BEIGE 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "OJOS DE MOSCA"
"CUST_TATTOO_LEFT_FOREARM": "ANTEBRAZO IZQUIERDO"
"FACIAL_EXPRESSION_HAPPY": "FELIZ"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "PROFUNDIDAD SESGO"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "CASCO IMPERIO"
"CUST_SKIN_CAUCASIAN_02": "CAUCÁSICO 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "NARANJA ROJIZO 9"
"CUST_COMP_FACE_BLOODY_LIP": "MORDISCO DE ARAÑA"
"CUST_TATTOO_LEFT_ARM": "BRAZO IZQUIERDO"
"CUST_TATTOO_RARM_5": "EXALTADOR DE BELLEZA"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "SISTEMA HIDRÁULICO"
"CUST_VARIANT_SHORTSHORTS": "BERMUDAS CORTAS"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "SAINT CANDENTE JOYSTICK JUNKIES"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "CORSÉ DE ZORRA"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "SANDALIAS DE CHICA MALA"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "GUANTES DE LUCHADOR DE STEELPORT"
"CUST_SKIN_ASIAN_03": "ASIÁTICO 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "PROFUNDIDAD DE OJOS"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "TINTE VERDE AZULADO CLARO"
"RIM_SET_015": "JUEGO DE LLANTAS 15"
"VEHICLE_PAINT_INTERRIORS": "INTERIORES"
"BRIGHT_RED": "ROJO BRILLANTE"
"FEMALE_AVERAGE": "MUJER NORMAL"
"CUST_VARIANT_PRIMARY": "BÁSICO"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "VERDE AZULADO 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Destruye el vehículo que estás controlando."
"CUST_COMP_FACE_GILLS": "PAPADA"
"CUST_COLOR_ROSE_4": "ROSA 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "ALTURA MEDIA LABIO INFERIOR"
"CUST_COMP_MUSTACHE_6": "A LÁPIZ"
"CUST_VARIANT_SILVER": "PLATA"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "CHAQUETA Y CHALECO NEIGHBOR"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "VAQUEROS BÁSICOS"
"CUST_FINGERNAILS": "UÑAS"
"CUST_COMPLIMENT_U": "GOLPE DE PECHO"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "AZUL VIOLETA 2"
"CUST_COMP_FACE_DIMPLE": "HOYUELO"
"CUST_VARIANT_STRIPE": "A RAYAS"
"CUST_WEAR_HIGH_BOTH_ROLLED": "ENROLLADOS ALTOS"
"CUST_ITEM_IMPRESSIONS_MALE_B": "IMPRESSIONS MASCULINO B"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "CHALECO AMOROSO"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "CABEZA PLANA DISEÑO B"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "UÑAS CUIDADAS"
"CUST_WEAR_NORMAL_LOW": "NORMAL, BAJO"
"CUST_COLOR_CLOTHING_VIOLET_4": "VIOLETA 4"
"HAIR_COLOR_REDHEAD_MATTE": "PELIRROJO MATE"
"CUST_VARIANT_NO_STRIPES": "LISO"
"CUST_WEAR_TATTOO_BAND_A": "BANDA 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "IZQUIERDA CREM. BAJADA, ALTO"
"CUST_ITEM_TROOPER_SHADES": "LISTO PARA HOLLYWOOD"
"CUST_COLOR_CLOTHING_YELLOWS_7": "AMARILLO 7"
"CUST_TATTOO_RUPPARM_7": "EN TU SANGRE"
"CUST_COMP_FACE_BLOODY_NOSE": "NARIZ ROTA"
"CUST_VARIANT_TIE_DYE": "TEÑIDO BEIGE"
"player_lips_gloss": "BRILLO DE LABIOS"
"FACIAL_EXPRESSION_GRUMPY": "GRUÑÓN"
"CUST_TATTOO_LFORARM_7": "RAYOS Y CENTELLAS"
"COLOR_SLOT_TRIM_4": "EMBELLECEDOR LATERAL 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "PRINCESA GUERRERA"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "TIRO EN ELEVACIÓN"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "TRAJE DE CHAQUETA DE CUERO"
"CUST_VARIANT_SPORT_SHORTS_2": "ESTILO 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "PIRATAS DE DÍA DE VAGANCIA"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "PROFUNDIDAD ORIFICIO NASAL"
"CUST_COMP_MUSTACHE_25": "EL MARCIANO"
"SLOT_BODY_KIT": "KITS DE CARROCERÍA"
"CUST_VARIANT_PIMPCOAT_HEARTS": "CORAZONES"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "ESCUELA DE ARTE"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "ANCHURA PUNTA"
"VEHICLE_COLOR_RED_LIGHT_TINT": "TINTE ROJO CLARO"
"CUST_VARIANT_SANDALS_03": "NORMAL"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "GAFAS DE SOL AVIATOR RUNWAY"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "LOGOS DE FLOR DE LIS"
"CUST_CAT_RIGHT_WRIST": "MUÑECA DERECHA"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "ANCHURA DE MANDÍBULA"
"COMPONENT_OPTION_1": "OPCIÓN 1"
"SLOT_INTERIOR_COLOR": "COLOR DE INTERIOR"
"SK02": "PIEL02"
"CUSTOM_WALK_2": "TIPO CHULO"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "Lleva más misiles."
"CUST_TATTOO_LOWBACK_5": "EN FRÍO ACERO CONFIAMOS"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "ARMADURA DE SOLDADO DEL FUTURO"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "Lleva más cargas."
"CUST_TATTOO_NECK_1": "ESTRELLA NÁUTICA"
"CUST_COMP_BODY_MASK_1": "NADA"
"LOGO_MUSEUM_ERO_1": "MUSEO EROMENOS 1"
"CUST_VARIANT_BIKER_NODECAL": "SIN PEGATINAS"
"CUST_VARIANT_PLAIN_NO_TIE": "LISO"
"CUST_WEAR_SUSPENDERS": "TIRANTES"
