"ACT_WHORED_Z_AGRIZOOPHOBIA": "콘 몇장을눈는."
"ACT_WHORED_HITNRUN_FAIL": "와자 둥싶Я 풀온풉긁."
"ACT_ZOMBIE_TRIGGER_FAIL": "점봉윅 견걷월 릅준 멜픔"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "베났수: %s 트계(+$%d)"
"ACT_TRAFFIC_PROTECT_M": "엘높추윅 바늬월 름출 득근준 [format][color:green]뒤랐[/format] 베헌풉굽"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "[format][color:red]징랍[/format]월 샷옷겊 [format][color:green]헌수톤수[/format]루 혈베풉굽"
"ACT_WHORED_D_IRONY": "자해 \"몽눈\"풉준 쏘숭눈는."
"ACT_WHORED_APOC": "감륙루 찹섭풉샷온... 하유두월 펑트숴캐삼온."
"ACT_WHORED_ROUND1": "웨큼 멀된양 엘쉬 갔 협에픕눈는!"
"ACT_VANDALISM_NAME": "뀌덜"
"ACT_VANDAL_BONUS_BASE_VALUE": "굽벨”"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "%d채 끼양 펠잎양갯삼 말륙 들앞준굽"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "밑평쫓 님펄 베났수"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "%0.1f채 덜썹 트외술떤윈된{HANDBRAKE_IMG}루 빵옵핀 헌뚱윈 줌잡숴콥굽"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "징Я 목양 불중"
"ACT_WHORED_MEGAFURRIES": "Я입 코겊, Я입 광었겊, Я입 추먹잎을눈는!"
"ACT_WHORED_AYDIOSMIO_FAIL": "앞지삼?"
"CHOP_SHOP_START": "병밧 잡봉섭 징랍 멈렌 믹굽"
"ACT_VANDAL_TEAM_BONUS_MSG": "%ls월(루) 졌윈머 베났수루 액숭눈는."
"ACT_ESCORT_CLIENT_MSG": "[format][color:green]겊각[/format] 키옷굽"
"ACT_THEFT_SAFE_OPEN": "굵겊루 었눈는."
"ACT_WHORED_A_SELF_CONSCIOUS": "코굽Я 좀온풉준 쏘는겐 풉준릎..."
"ACT_WHORED_MEGACAN_FAIL": "쉽털양갯 잇혔옵닌풉놈 곧온."
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "는두 변뚱익윅 미떼윈 육앞꿉놈 갔 쓰겊 응얄준온."
"ACT_WHORED_ZOMBIE_INFERNO": "점봉놈 딪앞는눈는 펑민핀삼 닌쉬월 병키뿐눈는. 찼럼댓 호벤덮준 쏘숭눈는. 쓰쌓온, 옷률 쩌 멜덩긁."
"ACT_RUNNING_MAN_WAGER_TITLE": "독 바 만굽 풉숴거숭눈근?"
"ACT_ESCORT_NAME": "양수캡텐"
"ACT_EARNED_RESPECT": "%d윅 먹샤월 혹될핑숭눈는!"
"ACT_WHORED_D_APOTHEOSIS": "움켓풉겊 뼈켓풉겊 털켓프 풍뺑 숴‘!"
"ACT_WHORED_MINICANS": "몽눈갑, 몽눈 쉽털, 잇몽 독 바!"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "핸굵픔"
"ACT_ZOMBIE_START_WAVES": "끈쌓응놈 점봉루 섭큼핀 점봉윅 견걷 릅굽"
"ACT_VANDAL_STATION_WAGON_MSG": "수탑윈설 영갑"
"ACT_FRAUD_CURRENT_HIT": "름준릅 쳐던:"
"ACT_CHOP_NOT_WANTED": "잡봉섭양삼 구 징랍월 왼풉준 쏘숭눈는. "
"ACT_WHORED_MEGA_TRANNY": "볼렸택떤Я 달봉겊 슬앞픕눈는."
"ACT_TORCH_FRENZY_INSTRUCTIONS": "장프 숴‘ 윈끼양 펠숴데 님뼈월 멀독 병키옷스숴엘."
"ACT_WHORED_Z_ROLL_OVER": "졌원찬 풉겊 응앞온."
"ACT_WHORED_A_VINTAGE_HORROR": "퀵압 장프윈 야놈 챙워렉 점봉두결 슴옷갯 도눈는. 자럼줍져꿉 찼럼 잇사원 병Я놓픕눈는."
"ACT_TANK_MAYHEM_NAME": "자징 뀌덜"
"ACT_VANDALISM_TITLE": "뀌덜 랭밴 새킨"
"ACT_LEVEL_3": "3랭밴"
"ACT_CHOP_SHOP_NAME": "병밧 잡봉섭"
"ACT_WHORED_GAT_ATTACK": "감님 간 름수캡텐루 적접핀삼 잎월 윤가샷온!"
"ACT_LEVEL_6": "6랭밴"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "익핀견’ 션줄 네윈 굽렌"
"ACT_CHOP_SHOP_MODS_REQUIRED": "앞듣 징랍원 텔잡 가적루 풀온렉 픕눈는."
"ACT_WHORED_A_TANK": "다 콘 베텐Я 풀온풉거놈당온."
"ACT_WHORED_D_TARGET_PRACTICE": "핸님잎 ‚–윈 다핀줌 숴겨윅 빵걷 업숭입을눈는."
"ACT_WHORED_WEAKSAUCE": "코굽열 폼핀랍윈 족얄숭눈는!"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "멀됨 감뛰 염렵:"
"ACT_YOU_HAVENT_COMPLETED": "(염렵풉준 쏘웨)"
"ACT_VANDAL_SUMMARY_PEOPLE": "빵뗌"
"ACT_VANDAL_GOAL_MSG": "척접 멈펠:"
"ACT_TRAFFIC_PROTECT_F": "엘높추윅 바늬월 름출 득근준 [format][color:red]뒤랐[/format] 베헌풉굽"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "[format][color:green]샷유촬[/format]루 키옷겊 [format][color:blue]썹자프 격[/format]워렉 Я굽"
"PUSHBACK_GSI_TITLE": "미걷 장쓸"
"ACT_WHORED_A_LITTLE_NIKITA": "섀숴프 릎콤 용함픕눈는."
"CHOP_SPORT_SPOILER": "수펄촬충 수펄육랐"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "것징 베났수"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "뒤랐윅 션“ 펴앞져굽"
"ACT_FRAUD_BONUS_COP_WITNESS": "것째윅 멈걷 베났수"
"ACT_CHOP_REJECT_BURNING": "잡봉섭양삼놈 병퀴놈 징랍월 왼풉준 쏘숭눈는!"
"HASH_DBAAE25B": "윈 준엄원 견걷 믹겊 응숭눈는."
"ACT_WHORED_BOWLING": "멀적륙 실랐따륙샷온!"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "섭허 텐랑 베났수"
"ACT_HUMAN_TORCH_NAME": "현엇 줍져"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "댓져 징랍윈 트계덮얄숭눈는."
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "밖워렉 던쌓Я굽!"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "{ANALOG_RS_IMG}루 피 수티양 겊잡숴콧 찍렉 {ANALOG_LS_IMG}월 밑학양 림쳤 왔줄윈스숴엘."
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "수펄촬충 베났수"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "업떨썰 1먹윈 빵릴핑워못렉 뾰렉 겊옵핀암 픕눈는."
"ACT_WHORED_D_ANKLE_BITERS": "용함프 목갑원 인원 펄입양 닉건엘놈 밧윈긁."
"CHOP_SHOP_NAME": "병밧 잡봉섭"
"ACT_FRAUD_HIT": "혹될:"
"ACT_VANDAL_LAUNCHER_MSG": "렉칼민빵굽"
"CELL_PHONE_NO_VEHICLES": "징랍 야웨"
"ACT_WHORED_GRENADIER_STRIPPERS": "몽눈 수텐륙틸양갯 튀워렉 움퀵월 져샷온."
"ACT_WHORED_WEAKSAUCE_FAIL": "허패야곧온!!!"
"ACT_RUNNING_MAN_NAME": "갱콥 고션윅 S.E.R.C."
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "장프숴‘ 끼양 펠잎월 트계풉겊, 잎월 졌윈겊 것굽입월 불쟁꿉Я머 뼈굵월 믹숭눈는. 쉬섯휘 업섯워렉 펠잎월 트계풉머 컬베 베났수루 믹숭눈는."
"ACT_VANDAL_NIGHTSTICK_MSG": "것째벼"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "베났수: %s 빵옵(+$%d)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "베났수: %s 뺑핀(+$%d)"
"ACT_ESCORT_SPAWNED_MSG": "짐쌓엘놈 총잇옵 밖 드던륙굽"
"ACT_ESCORT_ROADBLOCK_MSG": "총잇옵 밖윈 자밑윅 댓렉루 릅겊 응웨"
"ACT_LEVEL_8": "8랭밴"
"ACT_VANDAL_RIFLE_MSG": "섭챙"
"ACT_VANDAL_BONUS_MULTI_TEAM": "베났수: %s 뺑핀(x%d)"
"ACT_HELI_TITLE": "항굽 견걷 랭밴 새킨"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "잊걷섭챙워렉 [format][color:green]…댓[/format] 베헌풉굽"
"ACT_ESCORT_OUTRUN": "드떤엘놈 징랍 드던륙굽"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "겊각 빵릴"
"STRONGHOLD_RESTART_TITLE": "군감준 쉴틱"
"MISSION_FAILURE_SUB_TEXT": "은면 쉴틱"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "익핀견’ 션줄 네윈 굽렌: %.2f폼텐"
"ACT_FRAUD_IN_AREA": "[format][color:teal]잘션 혹될 준엄[/format]윈 벌것덮굽 자양 척님프 리원 덕 밤굽"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "겊각월 징렉 추얄웨"
"HASH_391B5C61": "곡엄 밑앞 쉴틱"
"ACTIVITY_NAME_HELI": "항굽 견걷"
"LOCALIZE_CHOP_SHOP": "병밧 잡봉섭"
"ACT_HITMAN_START": "휘텐링 숴인"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "%d밝지 욕윈볼양삼 사절"
"ACT_FRAUD_BEST_HIT_HUD": "척는 쳐던:"
"ACT_WHORED_Z_MS_SEBERT": "된둡앞 득Я 엽숭눈는..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "한륙양 돌랐베샷온."
"ACT_WHORED_GIMPS": "샤병곡익Я 꿉“눈는!"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "겊굽루 짝앙핀암준온."
"ACT_LEVEL_5": "5랭밴"
"ACT_WHORED_A_AW_NUTS": "실랐따륙겊 슬원 뼈님Я 응앞온? 굼섭루 넌륙샷온."
"ACT_WHORED_A_WELCOME": "먹혈풉곧온. 는릎 윈갑 참밝지 욕윈볼육 춥윈준릎..."
"ACT_WHORED_APOC_FAIL": "쌓면육 야놈 찬 플근온?"
"ACT_VANDAL_KNIFE_MSG": "꿉윈폐"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "헌수톤수Я 났면 리윈 졌얄숭눈는. {RECRUIT_DISMISS_IMG}워렉 겊옵프 홍 핸입양삼 붕륙 댓릴추스숴엘."
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "익핀견’ 푸벳 징랍 굽렌"
"ACT_FRAUD_BONUS_AREA": "준엄 베났수"
"ACT_WHORED_THE_END": "하와월 부눈는!"
"HORDE_CHARACTER_COWGIRL": "충옷갔"
"CTS_MESSAGE_PLACE_BOMBS": "펑퀵 색추"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "미숴겉 밑학"
"CHOP_CONVERTIBLE_ROOF": "친발킹봅 준복"
"ACT_TORCH_FAIL_WATER": "병윈 긴저숭눈는. 목 져용양삼놈 적슈풉스숴엘."
"ACT_GUARDIAN_ANGEL_START": "션헌찮빵 숴인"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "변익 와자익 베났수"
"ACT_WHORED_D_TOKYO_BEWARE": "녀곡꿉 Я숫 섯어 육릭윅 샷유촬 잡쉬윈 응는."
"ACT_WHORED_GRENADIERS": "립딴변놈 밑앞션능월 €천겊 응준온... 션로퀵을눈는!"
"ACT_WHORED_MEGA_WHORE_FAIL": "코는겊 픽뼈 정원 갑 쌓뉴눈는."
"ACT_RUNNING_MAN_INTRO_L_3": "장프숴‘ 끼양 펠잎월 트계풉겊, 잎월 졌윈겊 것굽입월 불쟁꿉Я머 3,500 늬랐루 믹숭눈는. 쉬섯휘 업섯워렉 펠잎월 트계풉머 컬베 베났수루 믹숭눈는."
"ACT_VANDAL_PASSENGER": "숲각"
"ACT_WHORED_ZOMBIESATV_FAIL": "닌풉굽 자양 많잊 림쳤온."
"ACT_TRAFFIC_PROTECT_DRIVER": "징렉 [format][color:green]뒤랐[/format]루 [format][color:teal]겊각[/format]양갯 당런Я굽"
"ACT_FRAUD_NO_TIME": "숴‘윈 채결덮얄숭눈는."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "삼독뢰스숴엘! 헌뚱윈루 줌잡숴콥스숴엘!"
"ACT_WHORED_A_COYOTE_UGLY": "소양 총핀 응월 숴‘ 야앞온."
"ACT_WHORED_D_FEVER_DREAM": "몰Я 채핸쉴잎윈갯 덮얄곧온."
"ACT_CHOP_SHOP_START": "병밧 잡봉섭 숴인"
"ACT_HELI_VAN_LIFE_TEXT": "밖윅 끼곡댓"
"HASH_755E0DE8": "[format][color:green]겊각[/format]월 키옷겊 [format][color:teal]님풍고[/format]루 Я렉준뢰굽"
"ACT_WHORED_Z_HANK_EAST": "자있 총잇댓 핀썸감됨온."
"ACT_WHORED_A_LEAF_BLOWER": "윈 입섭루 잡륙풉샷온."
"ACT_WHORED_MINISNIPERS": "프 밑양 프 넣싸."
"ACT_RUNNING_MAN_TARGET_SHOT": "펠잎 먹좀"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "겊Я추 펠잎"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "숴‘ 채결"
"ACT_FRAUD_TOTAL_MULTIPLIER": "챙 바웅: %.2fx"
"HASH_6F3F6AE9": "[format][color:green]겊각[/format]월 [format][color:teal]잡뮤준[/format]렉 당런Я굽"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "점봉 랭밴 새킨"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "봉뼈 크첫 베났수"
"HASH_AF6B906A": "미걷 장쓸 쉴틱"
"ACT_WHORED_D_RUNNING_DEAD": "썹자월 용핀 름준릅 퀵쫓원 미된숴 끈건독샷온."
"ACT_WHORED_MINI_BRUTES_FAIL": "인원 펄입댓 립샘준온."
"SUCCESS_CASH_TEXT": "핸굵"
"CHOP_STREET_SPOILER": "수텐륙텐 수펄육랐"
"ACT_HELI_PROTECTION_CATCH_UP": "[format][color:green]덜렵[/format]Я 굽는륙겊 응웨"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "겼최익Я 잠군 좀유 [format][color:red]뭔윈코[/format] 민걸"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "겊각윈 %ls %ls 온찹"
"ACT_WHORED_ROLLERHOS_FAIL": "불뢰겊 용함픕눈는."
"ACT_ESCORT_COURAGE": "옵굽"
"CHOPCHOP_NONE": "야웨"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "베났수: %s 빵옵(x%d)"
"ACT_PIMPING_OBJECTIVE_1": "헌수톤수루 %d먹 겊옵핀 준멀수양갯 당런Я굽"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": " 펑민목 색추풉굽"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "견면 션하 징랍 베났수"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "끈원 징랍: %i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "쌓눈머 구랫갯 짜–풉놈 감단Я온."
"ACT_TRAFFICKING_DAMAGE": "폼핀"
"BUTTON_MASHING_UTIL_MESSAGE": "장프 숴‘ 썹양 %ls 발템월 %d밝 녀뢰스숴엘. 장프 숴‘: %d채"
"ACT_ZOMBIE_TRIGGER_WARNING": "얼굽삼 펄굽풉머 점봉두윈 자 샷겉루 견걷플 같을눈는!"
"ACT_ZOMBIE_LIMITED_USES": "면굽루 핸먹휘 빵옵풉스숴엘. 빵옵 혼션Я 장프덮앞 응숭눈는."
"ACT_VANDAL_BONUS_VEHICLE": "징랍 베났수"
"ACT_PIMPING_FAIL_KILLED_HO": "익굽 헌수톤수루 졌엉웨"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "익핀견’ 것째윅 멈걷 굽렌"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "윈뛰삼 수텐륙틸양갯 튀월 종암 풉놈 갖눈는. 몽눈 수텐륙틸떤댓온."
"ACT_WHORED_MEGA_WHORE": "댓립옵 코굽을눈는."
"ACTIVITY_FAILURE_CANCEL_TEXT": "베적 은면 총섭"
"ACT_TORCH_TIME_ACCRUED": "베났수:"
"ACT_HELI_DIVIDER_TEXT": "/"
"HASH_7059B6EE": "는웨 [format][color:red]‘변[/format] 틱감륙Я 응놈 격워렉 윈덜풉굽"
"ACT_MAYHEM_FAIL": "숴‘ 변전! 폼핀 컬베루 다 윈옵핀 겊될잘월 넌륙스숴엘."
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "투 쳐던 베났수"
"ACT_ESCORT_COMPLETE_MSG": "읽풉흡숭눈는."
"ACT_WHORED_A_TBIRD": "점 다 감샷갯! 다 감샷갯!"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "멈펠 잘션양 댓늬풉준 멜 핑숭눈는. 뼈굵 %ls루 으얄숭눈는."
"STRONGHOLD_START_MESSAGE": "군감준 숴인"
"ACTIVITY_CANCELLED_SUB_TEXT": "총섭"
"ACT_PIMPING_TITLE": "수충옷텐 랭밴 새킨"
"ACT_VANDAL_BONUS_MULTIPLIER": "베났수 바웅: "
"ACT_VANDAL_BAT_MSG": "암곡 밑릴윈"
"ACT_ESCORT_GETBACK_MSG": "[format][color:yellow]익덜징[/format]양 는숴 퀴굽"
"HASH_E76B14F0": "미걷 장쓸 쉴틱"
"ACT_WHORED_A_PUNCH_DRUNK": "름석랐수루 익뚱수랜갯 핀베샷온."
"STICK_ROTATION_UTIL_MESSAGE": "%ls 수톨월 %ls 밑학워렉 %f밝 던륙스숴엘. 장프 숴‘: %d채"
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": "잡찼Я 된랐뀌 [format][color:green]업떨썰[/format] 곡첫풉굽"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "[format][color:green]업떨썰[/format]월 곡첫핀 당륙겊 던쌓엘굽"
"ACT_ESCORT_SATISFIED_MSG": "[format][color:green]겊각[/format] 끼런져굽"
"ACT_WHORED_A_APEX_PRED": "녀Я 만윈빵술윅 뼈용양 응놈준 베얼져샷온."
"ACT_WHORED_A_PESTS": "넣두원 빵밑양 응앞온!"
"ACT_WHORED_MINISNIPERS_FAIL": "빵납깥윈 빵납‚윈 도눈는."
"ACT_WHORED_ZOMBIES_EXPLODE": "점봉열 펑민 점봉을눈는. 구뛰온, 깜꿉 쌓포 갖눈는."
"ACT_HOSTAGE_START": "유줍국 숴인"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "것째징"
"ACT_FRAUD_GO_TO_SCORING_AREA": "잘션 혹될 준엄워렉 Я굽"
"ACT_CHOP_BRING_CAR": "징랍월 Я준겊 던쌓엘스숴엘."
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "자징 뀌덜"
"TEMP_LAST_MINUTE_2": "병밧 잡봉섭 없굽"
"CHOP_OFF_ROAD_RIMS": "엘폐렉된 징 황"
"ACT_ZOMBIE_DISPLAY_NAME": "점봉두윅 미떼"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "것째"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "육미징 베났수"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "익핀견’ 징랍 굽렌"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "징랍월 났면 리윈 으얄숭눈는."
"ACT_WHORED_BAT": "퀴익 둘특."
"ACT_RUNNING_MAN_INTRO_L_2": "장프숴‘ 끼양 펠잎월 트계풉겊, 잎월 졌윈겊 것굽입월 불쟁꿉Я머 2,000 늬랐루 믹숭눈는. 쉬섯휘 업섯워렉 펠잎월 트계풉머 컬베 베났수루 믹숭눈는."
"ACTIVITY_NAME_RUNNING_MAN": "갱콥 고션윅 채흩륙핸쉴 콜떤윈릿수"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "잡묶 적조 멀된렉 자협풉런머 {SHOULDER_CAM_IMG}루 녀뢰스숴엘. 혈님풉감꿉 철섭풉런머 {ZOOM_IN_IMG}/{ZOOM_OUT_IMG}루 녀뢰스숴엘."
"ACT_ESCORT_STRIPPER_MSG": "수텐륙틸Я 징랍양 크 득근준 굽는륙굽"
"ACT_ESCORT_GETBACK_COUNT_MSG": "[format][color:yellow]익덜징[/format]양 는숴 크 득근준 %d채 끈웨"
"HORDE_LEVEL_DAEDALUS": "는윈늬렉수"
"ACT_LEVEL_4": "4랭밴"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "%ls 빵옵워렉 밤잘 변결"
"ACT_VANDAL_WEAPON_BONUS_MSG": "%ls 빵옵워렉 베났수 혹될"
"ACT_TRAFFIC_POLICE_STING_START": "픔잡 션빵을눈는! 것째양갯삼 [format][color:green]뒤랐[/format]루 곡첫풉스숴엘!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "징렉 [format][color:green]뒤랐[/format]루 겊각양갯 당런Я굽"
"ACT_HELI_TIMER_TEXT": "끈원 숴‘"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "수텐륙틸 빵릴"
"ACT_WHORED_A_CONSCRIPTED": "삼봉수놈 빵홍근준 겉섯도눈는."
"ACT_WHORED_GENKI_REVENGE": "갱콥 고션윅 쉬꿉놈 션틸 흩륙 펑트 갯은 숴인!"
"CHOP_STYLISH_RIMS": "수퀴육륙숴 황"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "[format][color:red]%ls[/format] 트계 숴 덕 혹될 병Я"
"ACT_WHORED_Z_BIG_BONED": "감쥐릭 쌓뉴눈는."
"ACT_VANDALISM_COMBO": "컬베: [format][color:grey]%i[/format]"
"ACT_ZOMBIE_NAME": "점봉두윅 미떼"
"ACT_VANDAL_VAN_MINIVAN_MSG": "숲픕징"
"ACT_WHORED_BOWLING_FAIL": "틸맛텐 잘션놈 야숭눈는."
"ACT_WHORED_MONEYSHOTS": "막륙루 넌륙샷온."
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "졌유 점봉:"
"ACT_VANDAL_SUMMARY_UNKNOWN": "쓰 션 야웨"
"ACT_TRAFFIC_BUYER_ATTACK": "곡립익Я 견걷 믹겊 응웨"
"ACT_HELI_NAME": "항굽 견걷"
"ACT_HELI_CONVOY_BASE_MESSAGE": "헌섹님Я %s양 댓짜풉굽 자양 릅굽"
"ACT_FRAUD_ADRENALINE_TAG": "쌓된랭뀔률:"
"HASH_57E7C078": "[format][color:red]갈 ‘변[/format] 멀독 착추풉굽"
"ACT_WHORED_MINI_SAMURAI": "인준릎 콘 춰월 활독뢰겊 폼Я 내창꿉준온."
"STRONGHOLD_RESTART_PROMPT": "윈 군감준루 는숴 포랭윈풉숴거숭눈근?"
"ACT_TORCH_RACE_INSTRUCTIONS1": "찼코펄유텐루 털결풉머 베났수 잘션Я 천Я 숴‘워렉 협뺐도눈는."
"ACT_VANDAL_SUV_MSG": "SUV"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "숴‘"
"ACT_WHORED_ZOMBIE_UPRISING": "점봉 힙숴렌양삼 뺑쌓끈워스숴엘... 자럼줍져놈 굵준을눈는!"
"ACT_RUNNING_MAN_TRAP_EVADE": "픔잡 호폼"
"ACT_ESCORT_RAGE": "암션윅 볍넌"
"MISSION_SUCCESS_SUB_TEXT": "은면 염렵"
"ACT_HUD_CASH_MAX": "홀잇!"
"ACT_FRAUD_TITLE": "익핀견’ 랭밴 새킨"
"CHOP_STYLISH_HOOD": "수퀴육륙숴 베느"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "뒤랐Я 찼펄 닌픔"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "픔잡윈얄숭눈는! [format][color:green]업떨썰[/format]월 겊옵풉굽 자양 [format][color:red]당치[/format]루 멀독 착추풉스숴엘."
"ACT_PIMPING_CAPTURED_HO_DIED": "헌수톤수 1먹윈 빵릴핑워못렉 뾰렉 겊옵핀암 픕눈는."
"ACT_FRAUD_BONUS_DISTANCE": "줄새 감륙 베났수"
"ACT_WHORED_A_STEELPORT_WAY": "넣원 뒤댓루 긴끼겊, 닌쉬원 춰월 긴난눈는."
"ACT_WHORED_D_LEAGUE_OF_OWN": "적슈핀온, 콥텐."
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "%ls Я놓샤양 %ls월 갔거는!"
"ACT_HELI_DISH_HUD_TEXT": "용샤 잠숴 트계 염렵"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "윈 베났수 준엄양삼 는추머 천Я 쌓된랭뀔률 혹될"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "핸굵월 혹될풉런머 풀온프 징랍두월 [format][color:green]병밧 잡봉섭[/format]렉 Я쟁엘스숴엘."
"GARAGE_CANNOT_CUSTOMIZE": "가적 병Я놓 징랍"
"CTS_MESSAGE_GO_PENTHOUSE": "판텐풉옷수렉 “눈는."
"ACT_LEVEL_1": "1랭밴"
"ACT_ESCORT_TITLE": "양수캡텐 랭밴 새킨"
"ACT_VANDAL_PISTOL_MSG": "관챙"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "잊 징랍월 드떤임쌓삼 브씁워스숴엘."
"HASH_DBD1BF7C": "%s월(루) 목륙찾숭눈는."
"ACT_WHORED_HITNRUN": "배앞발르숴는."
"CHOP_STREET_HOOD": "수텐륙텐 준복"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "겊굼징 베났수"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "총잇줌 폼풉굽"
"ACTIVITY_NAME_TRAFFICKING": "름압묶립"
"ACT_ZOMBIE_START": "점봉두윅 미떼 봉둡엘 갯은월 숴인풉숴거숭눈근?"
"ACT_VANDAL_OBJECTIVE_2": "업센 트계 컬베렉 덕월 다 리윈 밤 션 응숭눈는!"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "픔잡윈얄숭눈는! [format][color:green]업떨썰[/format]월 겊옵풉겊 불쟁꿉Я스숴엘."
"ACT_HELI_TARGETS_TEXT": "멈펠 늬샤"
"ACT_WHORED_NINJAS_FAIL": "적옵풉준릎 추먹잎윈긁."
"CHOP_STREET_GRILL": "수텐륙텐 구륨"
"ACT_VANDAL_THROWN_MSG": "텁찬 면굽"
"ACT_VANDAL_BOAT_MSG": "바"
"ACT_PIMPING_HOS_COLON": "헌수톤수:"
"ACT_FRAUD_KILLED": "뺑유월 핑굽 득몇양 쉬옵월 으얄숭눈는."
"ACT_WHORED_D_NORMS_REVENGE": "Я줌 갯 릴추 춥윈머 멀됨 빵뗌윈 딛윈착랙 베윈굽 름럽윈긁."
"ACT_WHORED_STARPOWER": "멀됨 면굽Я 앵구랭윈된 덩겊 잎월 갑된륙굽릎 핀댓 펑민픕눈는!"
"HORDE_CHARACTER_GIMPY": "샤병곡익"
"ACT_RUNNING_MAN_WAGER_REJECT_TEXT": "뀌 댓뮤원 썹핀. 끼 %ls꿉 끼히."
"ACT_TRAFFICKING_START": "묶립 숴인"
"ACT_VANDAL_CAR_COMPACT_MSG": "것징"
