"Storye01_In_Crawl_02": "Nedílná součást historie lidstva."
"Genki_Bobby02": "Je čas se podívat, jak se to hraje!"
"Story13_Zscene01_04_Cyrus": "To se nestane. Úkolem STAGu je zlikvidovat gangy ve Steelportu. Ale já rozhoduju, kam soustředit naši palebnou sílu. Pusť Birka a my budeme chvíli útočit na Syndikát... necháme vás trochu oddechnout."
"Story22_OutB_01_Player_BM": "Jdeme domů."
"Story17_Mid_08_Cyrus": "Díky."
"Story17_In_08_Player_BM": "Jdem na to."
"SH_Decker_13_Player_BM": "Děkuju."
"Story15_In_03_Pierce": "Nikde nevidím postel."
"Story08_Out_01_Killbane": "Zabijácký štětky?"
"Story02_In_32_Shaundi": "Johnny, ty to neumíš pořádně ani s autem, jak zvládneš letadlo?"
"Story16_Zscene02_06_Matt": "Řekni mi jméno společnosti a ta se stane majetkem Svatejch. Dostaneš zpátky svoji říši a já budu moct odejít."
"SH_Luchadore_04_Angel": "Ublížíme spoustě lidí."
"Story14_In_01_Player_BM": "Co se děje?"
"Story05_Out_03_Phillipe": "Přesně moje slova, pane Killbane."
"Story01_In_15_Player_BM": "Víte, jak to chodí."
"CTO_Angel01_03_Player_BM": "No je to tvůj boj, já jen říkám, že já radši bydlím pohodlnějc."
"Story17_Out_10_Cyrus": "Pochopitelně, paní."
"Story10_In_04_Viola": "Hele, nejdu s vámi bojovat. Naopak, musíme spolupracovat."
"SH_Morningstar02_02_Monica": "Osoby zodpovědné za ten teroristický útok budou nalezeny a odsouzeny."
"CTO_Pierce02_08_Pierce": "Tak udeříme na Powder."
"Story14_In_02_Kinzie": "Tohle musíš vidět..."
"Story12_In_13_Pierce": "Jmenuješ se Krvavá Kanonesa."
"Story01_In_11_Player_BM": "Fajn, lidi..."
"CTO_Kinzie01_11_Player_BM": "No konečně tomu rozumím."
"Story21_Zscene01_05_Bobby": "Jak může jediná osoba..."
"Story16_Zscene01_04_Player_BM": "Co to kurva..."
"Story19_In_20_Viola": "Ty o tom víš?"
"Story17_Out_07_Monica": "Znám Svaté. Jak reagoval starosta Reynolds?"
"Story16_In_04_Player_BM": "No to je fakt skvělej plán, Kinzie."
"Story11_Out_02_Josh": "Muži a ženy ze STAGu každý den riskujou své životy, aby ochránili vaše město před násilím. Chcete se stát opravdickým hrdinou? Ještě dneska zajděte za náborovým důstojníkem STAGu. Já to udělal."
"Story08_Out_03_Matt": "Dámy, to byl pěkně nahovnážní plán."
"Story07_Out_07_Kiki": "Uklidni se, Eddie..."
"Story14_In_07_Killbane": "Ne, ne, Jane, drahoušku, prosím. Svatí jsou kriminálníci. Klidně si o mně říkej, že jsem excentrickej, ale já jsem jen bavič, podnikatel, filantrop a..."
"Story11_In_02_Pierce": "Mám v týhle hře dvacet táců!"
"Story19_In_09_Reynolds": "Kdo jiný by mohl držet tohle město nad vodou? Kromě toho miluju svý voliče."
"Story07_Out_12_Player_BM": "Promluvte si s nima, řeknou vám, co je třeba. Teď je naše chvíle, tak to kurva rozjedeme."
"Story02_In_30_Shaundi": "Ale co letadlo?"
"Story02_In_12_Player_BM": "Máš vůbec tušení, do koho se sereš?"
"Story01_In_08_Josh": "Vy vykrádáte banku převlečený za sebe?"
"Story17_In_05_Player_BM": "Půjdu tam s vězněma, oni mě zavedou do lochu, já popadnu Shaundi a vypadneme."
"Story15_In_09_Player_BM": "Tak jak Deckery sundáme?"
"Story01_In_02_Gat": "Bude to velká vloupačka. Seš připravenej?"
