"ACT_WHORED_Z_AGRIZOOPHOBIA": "To spory problem."
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} NIE UKOŃCZYŁ)"
"ACT_WHORED_Z_TEXAS_ZOMB": "To powiedzenie chyba jest prawdziwe..."
"ACT_WHORED_D_7INNING": "Bierzcie, póki gorące!"
"ACT_LEVEL_7": "POZIOM 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "Obserwator zauważył nadjeżdżający [format][color:red]samochód[/format]."
"ACT_WHORED_Z_ERECTILE_DYS": "To się może przydarzyć każdemu."
"ACT_WHORED_Z_WELCOME": "Dobrze być na górze."
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "ZNISZCZONE OBIEKTY"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "PREMIA ZA WIELKIE CIĘŻARÓWKI"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "HELIKOPTER JEST ZAŁADOWANY, ZABIERZ PASAŻERA W [format][color:blue]BEZPIECZNE MIEJSCE[/format]"
"ACT_FRAUD_HITS_HUD": "TRAFIENIA:"
"ACT_ESCORT_LIMO_MSG": "WEŹ [format][color:green]SAMOCHÓD[/format] I ZABIERZ KLIENTA"
"HASH_3662C1D0": "NIE UDAŁO CI SIĘ ODZYSKAĆ OKOLICY"
"ACT_WHORED_D_STEELPORT_CONNECTION": "Futrzana pięść"
"ACT_WHORED_FLAMEBRUTE": "Ognisty brutal napalił się na ciebie!"
"ACT_WHORED_ZOMBIE_SLAYER": "Swoim świętym orężem oczyszczasz ten świat z plagi nieumarłych"
"ACT_WHORED_OLD_SCHOOL": "Bez sprintu, bez regeneracji zdrowia, z samą strzelbą i wolą przetrwania."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "TO PUŁAPKA! ZWERBUJ TE [format][color:green]DZIWKI[/format] I UCIEKAJ."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "LOTNISKO"
"ACT_WHORED_Z_BRUTE_ACTION": "Bawimy się z tobą."
"ACT_WHORED_HITNRUN_FAIL": "Wymagana umiejętność prowadzenia."
"ACT_ZOMBIE_TRIGGER_FAIL": "NIE UDAŁO CI SIĘ POWSTRZYMAĆ ATAKU ZOMBIE"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "PREMIA: NISZCZ %s (+$%d)"
"ACT_TRAFFIC_PROTECT_M": "OCHRANIAJ [format][color:green]DILERA[/format] PODCZAS DZISIEJSZYCH TRANSAKCJI"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "ZATRZYMAJ [format][color:red]POJAZD[/format] I WYCIĄGNIJ [format][color:green]DZIWKĘ[/format]"
"ACT_WHORED_D_IRONY": "Wcale nie \"mini\"."
"ACT_WHORED_APOC": "Sprzątanie ulic... poprzez wybuchanie ludzi."
"ACT_WHORED_ROUND1": "Witaj w trybie hordy!"
"ACT_VANDALISM_NAME": "CHAOS"
"ACT_VANDAL_BONUS_BASE_VALUE": "PODSTAWOWA WARTOŚĆ"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "MASZ %d SEK., BY UCIEC OD CELU"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "PREMIA ZA PRZEBICIE PRZEDNIEJ SZYBY"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "{HANDBRAKE_IMG} WEJDŹ W POŚLIZG NA %0.1f SEK., ŻEBY USPOKOIĆ TYGRYSA"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "TWÓJ SAMOCHÓD ZATONĄŁ"
"ACT_WHORED_MEGAFURRIES": "Największe, najsłodsze, najbardziej zabójcze!"
"ACT_WHORED_AYDIOSMIO_FAIL": "¿Por qué?"
"CHOP_SHOP_START": ", BY ZDOBYĆ LISTĘ POJAZDÓW DLA DZIUPLI"
"ACT_VANDAL_TEAM_BONUS_MSG": "Zabijanie %ls da ci premię."
"ACT_ESCORT_CLIENT_MSG": "ZABIERZ [format][color:green]KLIENTA[/format]"
"ACT_THEFT_SAFE_OPEN": "OTWORZYĆ SEJF"
"ACT_WHORED_A_SELF_CONSCIOUS": "A mówią, że rozmiar się nie liczy..."
"ACT_WHORED_MEGACAN_FAIL": "Teraz to puszka oddaje ciebie na przemiał."
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "Wszyscy wiedzieliśmy, że nadchodzi powstanie włóczęgów."
"ACT_WHORED_ZOMBIE_INFERNO": "Zombie biegają, wybuchają i podpalają cię. Aha, do tego nie odnawia ci się zdrowie. Wiem, wredni jesteśmy."
"ACT_RUNNING_MAN_WAGER_TITLE": "PODWOIĆ STAWKĘ?"
"ACT_ESCORT_NAME": "ESKORTA"
"ACT_EARNED_RESPECT": "Zarabiasz %d szacunu!"
"ACT_WHORED_D_APOTHEOSIS": "Żeby się zabawić, trzeba kogoś zabić!"
"ACT_WHORED_MINICANS": "Minispluwy, minipuszki - maxi zabawa!"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "SEJF Z KASĄ"
"ACT_ZOMBIE_START_WAVES": "ZABIJ POZOSTAŁYCH ZOMBIE, BY POWSTRZYMAĆ ICH ATAK"
"ACT_VANDAL_STATION_WAGON_MSG": "SAMOCHODY KOMBI"
"ACT_FRAUD_CURRENT_HIT": "OSTATNIE TRAFIENIE:"
"ACT_CHOP_NOT_WANTED": "Dziupla nie chce tego pojazdu. "
"ACT_WHORED_MEGA_TRANNY": "Brutella ma chcicę."
"ACT_TORCH_FRENZY_INSTRUCTIONS": "Spal wszystkie zaznaczone cele przed upływem czasu."
"ACT_WHORED_Z_ROLL_OVER": "Leż martwy."
"ACT_WHORED_A_VINTAGE_HORROR": "Walczysz z zombie bronią z nieograniczoną amunicją. Nie masz sprintu ani regeneracji zdrowia."
"ACT_TANK_MAYHEM_NAME": "PANCERNY CHAOS"
"ACT_VANDALISM_TITLE": "WYBÓR POZIOMU CHAOSU"
"ACT_LEVEL_3": "POZIOM 3"
"ACT_CHOP_SHOP_NAME": "DZIUPLA"
"ACT_WHORED_GAT_ATTACK": "Steruj olbrzymim Gatem-maskotką i zgniataj przeciwników!"
"ACT_LEVEL_6": "POZIOM 6"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "REKORD UPADKU PRZY WYŁUDZANIU"
"ACT_CHOP_SHOP_MODS_REQUIRED": "Niektóre pojazdy wymagają konkretnych modyfikacji."
"ACT_WHORED_A_TANK": "Będziemy potrzebowali większej łodzi."
"ACT_WHORED_D_TARGET_PRACTICE": "Wiejska strzelnica w nowoczesnym wydaniu."
"ACT_WHORED_WEAKSAUCE": "Twoja postać i siła zadawanych obrażeń zostały zmniejszone!"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "WSZYSTKIE TRANSAKCJE DOKONANE"
"ACT_YOU_HAVENT_COMPLETED": "(NIE UKOŃCZONE)"
"ACT_VANDAL_SUMMARY_PEOPLE": "LUDZIE"
"ACT_VANDAL_GOAL_MSG": "CEL:"
"ACT_TRAFFIC_PROTECT_F": "OCHRANIAJ [format][color:red]DILERKĘ[/format] PODCZAS DZISIEJSZYCH TRANSAKCJI"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "ZABIERZ [format][color:green]ŚWIĘTYCH[/format] I ZAWIEŹ ICH W [format][color:blue]BEZPIECZNE MIEJSCE[/format]"
"PUSHBACK_GSI_TITLE": "ODPÓR"
"ACT_WHORED_A_LITTLE_NIKITA": "Seksowna i zabójcza."
"CHOP_SPORT_SPOILER": "SPORTOWY SPOJLER"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "PREMIA ZA SAMOCHODY KOMPAKTOWE"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "ROZKUĆ DILERA"
"ACT_FRAUD_BONUS_COP_WITNESS": "PREMIA ZA GLINIARZY ŚWIADKÓW"
"ACT_CHOP_REJECT_BURNING": "Dziupla nie chce płonącego samochodu!"
"HASH_DBAAE25B": "OKOLICA JEST ATAKOWANA"
"ACT_WHORED_BOWLING": "Powal wszystkich!"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "PREMIA ZA PICKUPY"
"ACT_HUMAN_TORCH_NAME": "WYPALANIE SZLAKU"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "Samochód do ucieczki został zniszczony."
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "WRACAJ DO VANA!"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "UTRZYMUJ {ANALOG_RS_IMG} W GORĄCYM MIEJSCU I UŻYWAJ {ANALOG_LS_IMG}, BY WYKONYWAĆ RUCHY W ODPOWIEDNIM MOMENCIE"
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "PREMIA ZA SAMOCHODY SPORTOWE"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "JEDEN Z KONTAKTÓW ZGINĄŁ! BĘDZIESZ POTRZEBOWAĆ NASTĘPNEGO"
"ACT_WHORED_D_ANKLE_BITERS": "Drobiazgi potrafią być zabójcze."
"CHOP_SHOP_NAME": "DZIUPLA"
"ACT_FRAUD_HIT": "TRAFIENIA:"
"ACT_VANDAL_LAUNCHER_MSG": "WYRZUTNI RAKIET"
"CELL_PHONE_NO_VEHICLES": "BRAK POJAZDÓW"
"ACT_WHORED_GRENADIER_STRIPPERS": "Daj ministriptizerkom napiwek... byle bez zawleczki."
"ACT_WHORED_WEAKSAUCE_FAIL": "KIEPŚCIZNA!!!!"
"ACT_RUNNING_MAN_NAME": "S.E.R.C. PROFESORA GENKI"
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "Zarabiaj kasę niszcząc cele oraz zabijając wrogów i opuść arenę, zanim upłynie czas. Niszcząc obiekty jeden po drugim otrzymasz premię za kombo."
"ACT_VANDAL_NIGHTSTICK_MSG": "PAŁKI"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "PREMIA: UŻYWAJ %s (+$%d)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "PREMIA: ZABIJAJ %s (+$%d)"
"ACT_ESCORT_SPAWNED_MSG": "ZGUB WÓZ REPORTERSKI, KTÓRY CIĘ ŚLEDZI"
"ACT_ESCORT_ROADBLOCK_MSG": "WÓZ REPORTERSKI BLOKUJE PRZEJAZD"
"ACT_LEVEL_8": "POZIOM 8"
"ACT_VANDAL_RIFLE_MSG": "KARABINU"
"ACT_VANDAL_BONUS_MULTI_TEAM": "PREMIA: ZABIJAJ %s (X%d)"
"ACT_HELI_TITLE": "WYBÓR POZIOMU ATAKU Z POWIETRZA"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "Użyj karabinu snajperskiego do obrony [format][color:green]włamywaczy[/format]."
"ACT_ESCORT_OUTRUN": "UCIEKNIJ PRZED POŚCIGIEM"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "KLIENT ZOSTAŁ ZABITY"
"STRONGHOLD_RESTART_TITLE": "FORTECA NIEUDANA"
"MISSION_FAILURE_SUB_TEXT": "MISJA NIEUDANA"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "Rekord skoku z urwiska przy wyłudzaniu: %.2f st."
"ACT_FRAUD_IN_AREA": "ZARÓB JAK NAJWIĘCEJ PRZED ZMIANĄ [format][color:teal]OBSZARU KLUCZOWEGO[/format]"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "KLIENT ZOSTAŁ PRZEJECHANY PRZEZ CIEBIE"
"HASH_391B5C61": "OBRONA OKOLICY NIEUDANA"
"ACTIVITY_NAME_HELI": "ATAK Z POWIETRZA"
"LOCALIZE_CHOP_SHOP": "DZIUPLA"
"ACT_HITMAN_START": ", BY ROZPOCZĄĆ GRĘ W ZABÓJCĘ"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "ETAP %d UKOŃCZONY"
"ACT_FRAUD_BEST_HIT_HUD": "NAJLEPSZE TRAFIENIE:"
"ACT_WHORED_Z_MS_SEBERT": "Zaraz..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "Do dzieła."
"ACT_WHORED_GIMPS": "Dawać pokraki!"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "Trzeba było uszanować mięcho."
"ACT_LEVEL_5": "POZIOM 5"
"ACT_WHORED_A_AW_NUTS": "Chcesz kogoś załatwić? Celuj w worek."
"ACT_WHORED_A_WELCOME": "To oczywiste, ale to etap 1..."
"ACT_WHORED_APOC_FAIL": "Może udamy, że to się nie zdarzyło?"
"ACT_VANDAL_KNIFE_MSG": "NOŻA"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "ZBYT WIELE DZIWEK ZGINĘŁO, WERBUJ JE {RECRUIT_DISMISS_IMG}, A POTEM SZYBKO UCIEKAJ Z MIEJSCA ZBRODNI"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "REKORD SAMOCHODOWEGO FLIPERA PRZY WYŁUDZANIU"
"ACT_FRAUD_BONUS_AREA": "PREMIA OBSZAROWA"
"ACT_WHORED_THE_END": "Powodzenia!"
"HORDE_CHARACTER_COWGIRL": "COWGIRL"
"CTS_MESSAGE_PLACE_BOMBS": ", BY PODŁOŻYĆ BOMBĘ"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "PRZECIWNIE DO RUCHU WSKAZÓWEK"
"CHOP_CONVERTIBLE_ROOF": "SKŁADANY DACH"
"ACT_TORCH_FAIL_WATER": "KOMBINEZON CI ZGASŁ, UWAŻAJ Z WODĄ"
"ACT_GUARDIAN_ANGEL_START": "ROZPOCZĄĆ GRĘ W ANIOŁA STRÓŻA"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "PREMIA ZA BOGATYCH KIEROWCÓW"
"ACT_WHORED_D_TOKYO_BEWARE": "W każdym z nas jest odrobina Świętego."
"ACT_WHORED_GRENADIERS": "Te dziwki potrafią się bronić... granatami!"
"ACT_WHORED_MEGA_WHORE_FAIL": "Większe nie zawsze znaczy lepsze."
"ACT_RUNNING_MAN_INTRO_L_3": "Zarób $3500 niszcząc cele oraz zabijając wrogów i opuść arenę, zanim upłynie czas. Niszcząc obiekty jeden po drugim otrzymasz premię za kombo."
"ACT_VANDAL_PASSENGER": "PASAŻER"
"ACT_WHORED_ZOMBIESATV_FAIL": "Walnij ich, zanim oni walną ciebie."
"ACT_TRAFFIC_PROTECT_DRIVER": "ZAWIEŹ [format][color:green]DILERA[/format] DO [format][color:teal]KLIENTÓW[/format]"
"ACT_FRAUD_NO_TIME": "Czas minął."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "SZYBKO! USPOKÓJ TYGRYSA!"
"ACT_WHORED_A_COYOTE_UGLY": "Czas szybko wytrzeźwieć."
"ACT_WHORED_D_FEVER_DREAM": "Zrobiło się surrealistycznie."
"ACT_CHOP_SHOP_START": ", BY ROZPOCZĄĆ GRĘ W DZIUPLĘ"
"ACT_HELI_VAN_LIFE_TEXT": "WYTRZYMAŁOŚĆ WOZU"
"HASH_755E0DE8": "PRZEJEDŹ Z [format][color:green]KLIENTEM[/format] PRZEZ [format][color:teal]UNIWERSYTET[/format]"
"ACT_WHORED_Z_HANK_EAST": "On był na wojnach."
"ACT_WHORED_A_LEAF_BLOWER": "Zrób tu porządek."
"ACT_WHORED_MINISNIPERS": "Jeden strzał, jeden trup."
"ACT_RUNNING_MAN_TARGET_SHOT": "CEL ZASTRZELONY"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "CELE O WYSOKIEJ WARTOŚCI"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "CZAS MINĄŁ"
"ACT_FRAUD_TOTAL_MULTIPLIER": "Łączny mnożnik: %.2fx"
"HASH_6F3F6AE9": "ZABIERZ [format][color:green]KLIENTA[/format] NA [format][color:teal]PRZYSTAŃ[/format]"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "WYBÓR POZIOMU ZOMBIE"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "PREMIA ZA WYSKOCZENIE Z POJAZDU"
"HASH_AF6B906A": "ODPÓR NIEUDANY"
"ACT_WHORED_D_RUNNING_DEAD": "Zawsze zostawiaj ostatni nabój dla siebie."
"ACT_WHORED_MINI_BRUTES_FAIL": "Małe też potrafi sprawić ból."
"SUCCESS_CASH_TEXT": "KASA"
"CHOP_STREET_SPOILER": "ULICZNY SPOJLER"
"ACT_HELI_PROTECTION_CATCH_UP": "TWOI [format][color:green]ZIOMALE[/format] CZEKAJĄ NA CIEBIE"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "OBSERWATOR ZAUWAŻYŁ NADJEŻDŻAJĄCY [format][color:red]MOTOCYKL[/format]"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "KLIENT ŻYCZY SOBIE WYKONANIA %ls %ls"
"ACT_WHORED_ROLLERHOS_FAIL": "Są szybkie i zabójcze."
"ACT_ESCORT_COURAGE": "ODWAGA"
"CHOPCHOP_NONE": "BRAK"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "PREMIA: UŻYWAJ %s (X%d)"
"ACT_PIMPING_OBJECTIVE_1": "ZWERBUJ %d DZIWEK I ZABIERZ JE DO ZIMOSA"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": " PODŁOŻYĆ ŁADUNEK"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "PREMIA ZA POJAZDY SŁUŻB PUBLICZNYCH"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "POZOSTAŁO POJAZDÓW: %i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "Albo ci się zdawało, że masz supersiłę."
"ACT_TRAFFICKING_DAMAGE": "ZNISZCZENIA "
"BUTTON_MASHING_UTIL_MESSAGE": "MUSISZ WCISNĄĆ PRZYCISK %ls CO NAJMNIEJ %d RAZY W CIĄGU %d SEK."
"ACT_ZOMBIE_TRIGGER_WARNING": "Jeśli wyjdziesz, zombie opanują cały świat!"
"ACT_ZOMBIE_LIMITED_USES": "Rozsądnie korzystaj z broni. Liczba jej użyć jest ograniczona."
"ACT_VANDAL_BONUS_VEHICLE": "PREMIA ZA POJAZDY"
"ACT_PIMPING_FAIL_KILLED_HO": "ZABIŁEŚ WŁASNĄ DZIWKĘ"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "REKORD GLINIARZY-ŚWIADKÓW PRZY WYŁUDZANIU"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "Dlatego tak ważne jest dawanie striptizerkom napiwków. Nawet tym mini."
"ACT_WHORED_MEGA_WHORE": "Rozmiary hurtowe."
"ACTIVITY_FAILURE_CANCEL_TEXT": "AKCJA ANULOWANA"
"ACT_TORCH_TIME_ACCRUED": "PREMIA:"
"ACT_HELI_DIVIDER_TEXT": "/"
"HASH_7059B6EE": "Przejdź do kolejnego grupy [format][color:red]poruczników[/format]."
"ACT_MAYHEM_FAIL": "TWÓJ CZAS SIĘ SKOŃCZYŁ! KORZYSTAJ CZĘŚCIEJ Z KOMBINACJI, ŻEBY ZDOBYĆ WIĘCEJ PUNKTÓW"
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "PREMIA ZA DRUŻYNOWE TRAFIENIE"
"ACT_ESCORT_COMPLETE_MSG": "DOSKONALE"
"ACT_WHORED_A_TBIRD": "Odpalaj! Odpalaj!"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "NIE UDAŁO CI SIĘ OSIĄGNĄĆ WYZNACZONEGO WYNIKU. TWÓJ ZAKŁAD NA %ls PRZEPADŁ."
"STRONGHOLD_START_MESSAGE": ", BY ROZPOCZĄĆ GRĘ W FORTECĘ"
"ACTIVITY_CANCELLED_SUB_TEXT": "ANULOWANA"
"ACT_PIMPING_TITLE": "WYBÓR POZIOMU DZIEWCZYN DO WZIĘCIA"
"ACT_VANDAL_BONUS_MULTIPLIER": "MNOŻNIK PREMII:"
"ACT_VANDAL_BAT_MSG": "KIJA BEJSBOLOWEGO"
"ACT_ESCORT_GETBACK_MSG": "WRACAJ DO [format][color:yellow]SAMOCHODU[/format]"
"HASH_E76B14F0": "ODPÓR NIEUDANY"
"ACT_WHORED_A_PUNCH_DRUNK": "Przynieś chlubę Marcellusowi."
"STICK_ROTATION_UTIL_MESSAGE": "Musisz obrócić %ls drążek %ls %f razy w ciągu %d sek."
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": "WYKRYTO [format][color:green]KONTAKTY[/format].  URATUJ JE!"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "URATUJ [format][color:green]KONTAKTY[/format] I SPROWADŹ JE Z POWROTEM"
"ACT_ESCORT_SATISFIED_MSG": "WYSADŹ [format][color:green]KLIENTA[/format]"
"ACT_WHORED_A_APEX_PRED": "Pokaż im, kto jest na szczycie łańcucha pokarmowego."
"ACT_WHORED_A_PESTS": "Są wszędzie!"
"ACT_WHORED_MINISNIPERS_FAIL": "Myśliwy staje się zwierzyną."
"ACT_WHORED_ZOMBIES_EXPLODE": "Zombie i wybuchowe zombie. To może boleć."
"ACT_HOSTAGE_START": ", BY ROZPOCZĄĆ GRĘ W ZAKŁADNIKA"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "RADIOWÓZ"
"ACT_FRAUD_GO_TO_SCORING_AREA": "IDŹ DO OBSZARU KLUCZOWEGO"
"ACT_CHOP_BRING_CAR": "Wróć z pojazdem."
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "PANCERNY CHAOS"
"TEMP_LAST_MINUTE_2": ", BY OTWORZYĆ DZIUPLĘ"
"CHOP_OFF_ROAD_RIMS": "FELGI TERENOWE"
"ACT_ZOMBIE_DISPLAY_NAME": "POWSTANIE ZOMBIE"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "POLICJANTÓW"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "PREMIA ZA ZWYKŁE SAMOCHODY"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "REKORD SAMOCHODÓW PRZY WYŁUDZANIU"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "Utracono zbyt wiele samochodów."
"ACT_WHORED_BAT": "Pałkarze do dzieła."
"ACT_RUNNING_MAN_INTRO_L_2": "Zarób $2000 niszcząc cele oraz zabijając wrogów i opuść arenę, zanim upłynie czas. Niszcząc obiekty jeden po drugim otrzymasz premię za kombo."
"ACTIVITY_NAME_RUNNING_MAN": "SUPERETYCZNY WYSTRZAŁOWY REALITY SHOW PROFESORA GENKI"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "Wciśnij przycisk {SHOULDER_CAM_IMG}, by przejść do trybu dokładnego celowania. Wciśnij {ZOOM_IN_IMG}/{ZOOM_OUT_IMG}, by przybliżyć lub oddalić."
"ACT_ESCORT_STRIPPER_MSG": "ZACZEKAJ, AŻ STRIPTIZERKA WSIĄDZIE"
"ACT_ESCORT_GETBACK_COUNT_MSG": "MASZ %d SEK. NA POWRÓT DO [format][color:yellow]SAMOCHODU[/format]"
"HORDE_LEVEL_DAEDALUS": "DAEDALUS"
"ACT_LEVEL_4": "POZIOM 4"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "DOSTAJESZ KARĘ ZA UŻYWANIE %ls"
"ACT_VANDAL_WEAPON_BONUS_MSG": "DOSTAJESZ PREMIĘ ZA UŻYWANIE %ls"
"ACT_TRAFFIC_POLICE_STING_START": "PUŁAPKA TAJNIAKÓW! URATUJ [format][color:green]DILERA[/format] Z RĄK GLINIARZY!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "ZAWIEŹ [format][color:green]DILERA[/format] DO KLIENTÓW"
"ACT_HELI_TIMER_TEXT": "POZOSTAŁY CZAS"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "STRIPTIZERKA ZOSTAŁA ZABITA"
"ACT_WHORED_A_CONSCRIPTED": "Służba trwa nadal po śmierci."
"ACT_WHORED_GENKI_REVENGE": "Superetyczna Wybuchowa Zabawa Profesora Genki!"
"CHOP_STYLISH_RIMS": "STYLOWE FELGI"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "NIC NIE ZARABIASZ, DLATEGO ŻE NISZCZYSZ [format][color:red]%ls[/format]"
"ACT_WHORED_Z_BIG_BONED": "Naprawdę nie żartujemy."
"ACT_VANDALISM_COMBO": "COMBO: [format][color:grey]%i[/format]"
"ACT_ZOMBIE_NAME": "POWSTANIE ZOMBIE"
"ACT_VANDAL_VAN_MINIVAN_MSG": "MINIVANY"
"ACT_WHORED_BOWLING_FAIL": "Nie uzyskasz idealnego wyniku."
"ACT_WHORED_MONEYSHOTS": "Celuj w łeb."
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "ZABITYCH ZOMBIE:"
"ACT_VANDAL_SUMMARY_UNKNOWN": "NIEZNANE"
"ACT_TRAFFIC_BUYER_ATTACK": "NABYWCA JEST ATAKOWANY"
"ACT_HELI_NAME": "ATAK Z POWIETRZA"
"ACT_HELI_CONVOY_BASE_MESSAGE": "ZATRZYMAJ KONWÓJ, ZANIM DOTRZE NA %s"
"ACT_FRAUD_ADRENALINE_TAG": "ADRENALINA:"
"HASH_57E7C078": "ZABIJ WSZYSTKICH [format][color:red]PORUCZNIKÓW GANGU[/format]"
"ACT_WHORED_MINI_SAMURAI": "Mały człowiek, wielki miecz i mnóstwo krwi."
"STRONGHOLD_RESTART_PROMPT": "Czy chcesz rozegrać ponownie tę fortecę?"
"ACT_TORCH_RACE_INSTRUCTIONS1": "Zaliczaj punkty kontrolne, by zamieniać punkty premiowe na dodatkowy czas."
"ACT_VANDAL_SUV_MSG": "SAMOCHODY SUV"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "CZAS"
"ACT_WHORED_ZOMBIE_UPRISING": "Przeżyj apokalipsę zombie... bez sprintu!"
"ACT_RUNNING_MAN_TRAP_EVADE": "UNIKNIĘCIE PUŁAPKI"
"ACT_ESCORT_RAGE": "ZWIERZĘCY SZAŁ"
"MISSION_SUCCESS_SUB_TEXT": "MISJA UKOŃCZONA"
"ACT_HUD_CASH_MAX": "MNÓSTWO"
"ACT_FRAUD_TITLE": "WYBÓR POZIOMU PRZEKRĘTU"
"CHOP_STYLISH_HOOD": "STYLOWA MASKA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "DILER ZOSTAŁ ARESZTOWANY"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "ODKRYWASZ PUŁAPKĘ! ZABIJ WSZYSTKICH [format][color:red]DECKERÓW[/format] ZANIM ZREKRUTUJESZ [format][color:green]KONTAKTY[/format]."
"ACT_PIMPING_CAPTURED_HO_DIED": "JEDNA Z TWOICH DZIWEK NIE ŻYJE! MUSISZ ZNALEŹĆ INNĄ"
"ACT_FRAUD_BONUS_DISTANCE": "PREMIA ZA ODLEGŁOŚĆ W LINII PROSTEJ"
"ACT_WHORED_A_STEELPORT_WAY": "On wyciąga dildo, ty wyciągnij nóż."
"ACT_WHORED_D_LEAGUE_OF_OWN": "Uważaj, Kit."
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "POSTAW %ls I ZDOBĄDŹ SZANSĘ NA WYGRANIE %ls!"
"ACT_HELI_DISH_HUD_TEXT": "ANTENY SATELITARNE ZNISZCZONE"
