"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "ROODORANJE 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "ROESTVRIJ STAAL"
"CUST_VARIANT_TRACK_B": "STIJL 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "DISCO FEVER"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "OORHOOGTE"
"SLOT_DECAL_7": "DECORATIE 7"
"LOGO_BOOT": "LAARS"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "KLASSIEKE INSTAPPERS"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "HOOGTE DUBBELE ONDERKIN"
"HAIR_COLOR_BLUE": "BLAUW"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "HOOGTE WANGEN"
"VEHICLE_COLOR_BLACK": "ZWART"
"SLOT_GAS_TANKS": "BENZINETANKS"
"CUST_COLOR_CLOTHING_GREENS_6": "GROEN 6"
"CUST_TATTOO_STOMACH_8": "LELIEKUNST"
"CUST_COMP_FACE_SCAR_2": "GROOT LITTEKEN 2"
"COLOR_SLOT_WINDOW_NET": "RAAMNET"
"SLOT_BODY_COLOR": "CARROSSERIEKLEUR"
"LOGO_UNIVERSITY_1": "STILWATER U 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "URBAN SAFARI MET RECHTE NEK"
"VEHICLE_COLOR_DEEP_GRAY": "DIEPGRIJS"
"CUST_VARIANT_SHIRT_B": "STIJL 2"
"CUST_VARIANT_SANDAL": "SANDAAL"
"CUST_VARIANT_FLOWER_BAND": "BLOEMENRAND"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "SPACE PRINSES-TOPJE"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "DUBBELE ONDERKIN"
"PLAYER_GENDER_TEXT": "LICHAAMSVORM"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "MAMBA HAKKEN"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "NET KAPSEL"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "BREEDTE BOVENLIP"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "BLAUWGROEN 1"
"VEHICLE_COLOR_TITANIUM": "TITANIUM"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "HELDER ORANJE"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "DUBBELE MIDDELVINGER"
"SURGEON_CAT_PRESETS": "INSTELLINGEN"
"LOGO_GUITAR": "GITAAR"
"LOGO_FEEDDOGS": "HONDEN VOEREN"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "SPACE PRINSES-PANTY"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "STEELPORT HELD"
"PRESET_WARNING_BODY": "Als je deze instelling kiest, worden je huidige instellingen verwijderd.\nWeet je zeker dat je dit wilt doen?"
"CUST_COMP_EYES_DARK_BLUE": "DONKERBLAUW"
"CUST_COLOR_ORANGE_4": "ORANJE 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "BONDAGEBROEK"
"CUST_TATTOO_UPPER_CHEST": "BOVENBORST"
"CUST_COLOR_CLOTHING_RED_4": "ROOD 4"
"VEHICLE_COLOR_TINT_40": "TINT 40%%"
"SLOT_EXHAUST_TIPS": "UITLAATSIERSTUKKEN"
"LOGO_CAVE_4": "SPOKENGROT 4"
"CUST_COMP_FACE_WART_1": "WRAT 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "MISTGRIJS"
"COLOR_SLOT_PAINT_2_AND_TRIM": "VERF 2 EN SIERLIJST"
"IRIDESCENT_4": "REGENBOOGKLEURIG 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "STEAMPUNK MEISJESCORSET"
"CUST_MENU_FIGURE_PRESETS": "INSTELLINGEN BOUW"
"CUST_VARIANT_PLAID": "GERUIT"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "ELEGANTE LEGERBOOTS"
"LOGO_SQD": "SIGMA THETA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "GROTE RODE"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "BUSINESS CASUAL-BROEK"
"CUST_SKIN_RED_YELLOW_2": "WORTEL"
"CUST_SKIN_METAL_5": "SAFFIER"
"COLOR_SLOT_PAINT_2": "VERF 2"
"COLOR_SLOT_INTERIOR_2": "INTERIEUR 2"
"HAIR_COLOR_BLONDE": "BLOND"
"COMPONENT_OPTION_B": "OPTIE B"
"CUST_SAMEDI_COMPLIMENT_C": "SAMEDICOMPLIMENT 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "DETECTIVEHOED"
"CUST_INSULT_LINE": "STEEK DE LIJN OVER"
"CANCEL_WARNING_BODY": "Weet je zeker dat je je wijzigingen wilt weggooien?"
"WARDROBE_TITLE": "GARDEROBE"
"COLOR_SLOT_RIMS_1": "VELGEN 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "SAM ONTWERP 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "AANVAL HANDSCHOENEN"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "DIEPTE VAN DE PUNT"
"CUST_COLOR_CLOTHING_VIOLET_8": "PAARS 8"
"HAIR_COLOR_BLEACHED_MATTE": "MAT GEBLONDEERD"
"LOGO_FRECKLE_2": "FRECKLE BITCHS 2"
"CUST_VARIANT_TIGER": "TIJGER"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "SUBTERFUGE"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "DIERLIJK"
"CUST_SAMEDI_TAUNT_B": "SAMEDIBELEDIGING 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "KAAKDIEPTE"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "KRISTALWIT"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "HAAIENBEET-OORBELLEN"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "NEUSROL"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "SHOOT 'EM UP T-SHIRT"
"CUST_TATTOO_ENTIRE_CHEST": "HELE BORST"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "BREEDTE NEUSGATEN"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "OMVANG UITEINDEN BOVENLIP"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "LICHTBLAUWE TINT"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "INGESTOPT, DICHTGEKNOOPT, HOGE BROEK, GEEN BRETELS, STROPDAS"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "IMPRESSIONS VROUW R"
"CUST_ITEM_FEMALE_LP_BRA_1": "SPINNENBEET"
"CUST_SKIN_METAL_1": "ZILVER"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "ANTENNE"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "SUPER STRAKKE JAS"
"CUST_ITEM_CF_HAIR_CORNROWS": "SAINTS ROWS"
"PLAYER_MORPH_EAR_YAW_TEXT": "OOROPENING"
"FEMALE_BODYBUILDER": "VROUW BODYBUILDER"
"CUST_VARIANT_GLITTERY": "GLITTER"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "TRAININGSBROEK"
"FACIAL_EXPRESSION_DOPEY": "ONDER INVLOED"
"LOGO_STILWATER_CYCLE": "STILWATER CYCLES"
"FACTORY_STANDARD_HOOD_W__INTAKE": "FABRIEKSMOTORKAP M/LUCHTHAPPER"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "MEDIUM BOLLETJES"
"CUST_WEAR_RIGHT": "RECHTS"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "UITGEHONGERDE ARTIEST"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "SAINTS LOOSE FIT BROEK"
"SLOT_DECAL_3": "DECORATIE 3"
"CUST_VARIANT_ARMS": "ARMEN"
"CUST_CAT_HAIR_COLOR_SECONDARY": "SECUNDAIRE KLEUR HOOFDHAAR"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "RONDING BRUG"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "Je hebt het maximumaantal toegestane items bereikt in deze categorie."
"CUST_COLOR_CLOTHING_BLUES_3": "BLAUW 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "ROODORANJE 5"
"HAIR_COLOR_RED_MATTE": "MAT FELROOD"
"BRIGHT_ORANGE": "FELORANJE"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "BROSEPH SHORTS"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "PARTY-HAKKEN"
"CUST_CAT_MAKEUP_CHEEKS": "WANGEN"
"CUST_FACIAL_EXP_EMBARRASSED": "BESCHAAMD"
"PLAYER_MORPH_BROW_CURVE_TEXT": "RONDING WENKBRAUW"
"PLAYER_CREATION_HAIR_LENGTH": "HAARLENGTE"
"LOGO_HEADSTONE": "HEADSTONE"
"CUST_COLOR_GRAY_2": "GRIJS 2"
"CUST_VARIANT_DULL": "MAT"
"CUST_WEAR_STUD": "STUD"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "REBEL KID LAARZEN"
"SLOT_RIMS_FRONT": "VELGEN VOOR"
"SLOT_TAILLIGHTS": "ACHTERLICHTEN"
"SLOT_REAR_BUMPER": "ACHTERBUMPERS"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "IMPRESSIONS MAN N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "ZUID-STERRETJE"
"GANG_CUST_RANDOM": "WILLEKEURIG"
"CUST_COLOR_CLOTHING_GREENS_2": "GROEN 2"
"CUST_COMP_FACE_SCAR_6": "KLEIN LITTEKEN 2"
"COMPONENT_HIGH_PROFILE": "HOOG PROFIEL"
"LOGO_UNIVERSITY_5": "STILWATER U 5"
"CUST_WEAR_DEFAULT": "STANDAARD"
"CUST_SKIN_BLUE_2": "DIEPBLAUW"
"CUST_COMPLIMENT_Y": "VUISTGEZWAAI"
"PLAYER_MORPH_JAW_TEXT": "KAAK"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "BLAUWGROEN 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Gooi verder."
"CUST_GANG_COP": "POLITIEAGENT"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "HATER BLOCKERS"
"CUST_TATTOO_RIGHT_FOREARM": "RECHTERONDERARM"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "DIEPTE WANGEN"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "PLAATSING JUKBEENDEREN"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "BREEDTE HELLING"
"PLAYER_CREATION_TITLE": "SPELER CREËREN"
"RIM_SET_019": "VELGSET 19"
"COLOR_SLOT_RIMS": "VELGEN"
"CUST_VARIANT_STRIPE_1": "EÉN STREEP"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "URBAN SAFARI POLO"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "SKATER KAPSEL"
"PLAYER_MORPH_EAR_BEND_TEXT": "OORVOUW"
"CANT_WEAR_MEDALLION": "Je moet een lange of middellange ketting hebben om dit medaillon te dragen."
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Vergroot de munitiecapaciteit."
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "STRAAT 1"
"CUST_COLOR_CLOTHING_RED_8": "ROOD 8"
"COLOR_SLOT_DRAPES": "GORDIJNEN"
"CUST_ITEM_FEMALE_LL_BRA_4": "TOUGH CHICK"
"CUST_ITEM_CM_SUIT_CARDINAL": "KARDINAALSGEWAAD"
"FACIAL_EXPRESSION_DEATH_B": "DOODSANGST 2"
"FACIAL_EXPRESSION_JOYFUL": "OPGEWEKT"
"CUST_COLOR_CLOTHING_YELLOWS_3": "GEEL 3"
"CUST_TATTOO_RUPPARM_3": "EGYPTISCHE GODIN"
"COLOR_SLOT_PAINT_1_AND_RIMS": "VERF 1 EN VELGEN"
"CUST_VARIANT_STONEWASH_JEANS": "VAAL"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "BIKER CHICK"
"CUST_ITEM_LPA_M_SPACEPACK": "ASTROPACK"
"PLAYER_MORPH_FACE_AGE_TEXT": "LEEFTIJD GEZICHT"
"CUST_GANG_MASCOT": "MASCOTTE"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "RIDDERBEPANTSERING"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "MODERNE MAN NET OVERHEMD"
"CUST_ITEM_CF_HAIR_LONGBANGS": "EGYPTISCHE PRINSES"
"FACIAL_EXPRESSION_PAIN_C": "LIJDEN"
"CUST_BRO_COMPLIMENT_A": "BROTHERHOODCOMPLIMENT 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "STERREN"
"CUST_VARIANT_HAWAII": "HAWAÏAANS"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "GROOT KONIJN"
"CUST_TATTOO_LFORARM_3": "SCHEER HET VET"
"HAIR_COLOR_LIGHT_BROWN": "LICHTBRUIN"
"COMPONENT_PAINT_2": "VERF 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "HONDENHALSBAND"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "FUNTIME!-LAARZEN"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS MAN B"
"CUST_ITEM_GAT_BOBBLE": "GAT-WIEBELHOOFD"
"CUST_ITEM_6_LOOPS_RIGHT_2": "HEVIGE KLASSE"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "VERHOGING ACHTERKANT NEK"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "OUDE MAN MOCCASINS"
"CUST_VOICE": "STEM"
"CUST_COMP_MUSTACHE_21": "GEVOEL OPLAPPEN"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "KOFFIEROOMBRUIN"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "REGENBOOGVERF"
"SLOT_MECHANICAL_COLOR": "MECHANISCHE KLEUR"
"CUST_COLOR_TEAL_2": "BLAUWGROEN 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "UPTOWN GIRL"
"CUST_COMP_EYES_WHITE": "WIT"
"CUST_VARIANT_LIGHT_PLATINUM": "LICHTPLATINA"
"CUST_INSULT_CHEST": "BORST VOORUIT"
"CUST_GANG_MORNING_STAR": "MORNINGSTAR"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "OPGEROLD, RECHTS, HOOG"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMOERAI"
"CUST_TATTOO_RARM_1": "STREET SAINT"
"RIM_155": "LX-14"
"DIRT": "VUIL"
"CUST_WEAR_RIGHT_ROLLED_UP": "OPGEROLD, RECHTS"
"CUST_ITEM_CM_HAT_MOTORHELMET": "CHOPPERHELM"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "BAD BOY"
"CUST_MAKEUP_VARIATION": "VARIATIES"
"LOGO_BALANCE_2": "BALANS 2"
"CUST_VARIANT_TIE": "MET DAS"
"CUST_WEAR_FORWARD_RIGHT": "RECHTS NAAR VOREN"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "MODERNE JAS MET SWEATER"
"CUST_ITEM_LEATHER_LACE_MALE_B": "PLEZIER EN PIJN"
"CUST_ITEM_CF_HAIR_BEEHIVE": "BIJENKONINGIN"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "PEACE PIPE-SANDALEN"
"SLOT_REINFORCED_FRAME": "VERSTEVIGD FRAME"
"CUST_COLOR_RED_4": "ROOD 4"
"LOGO_NUMBER12": "NUMMER 12"
"CUST_VARIANT_2_SIDED_FADE": "TWEE KANTEN AFGEZWAKT"
"CUST_WEAR_FRONT RIGHT": "RECHTSVOOR"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "CYBERSPACE"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "EMO SNEAKS"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "NAUGHTY NAUGHTY HANDSCHOENEN"
"RIM_SET_011": "VELGSET 11"
"CUST_VARIANT_SHINY": "GLIMMEND"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "NIET INGESTOPT, DICHTGEKNOOPT, STROPDAS"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "NAUGHTY TIME BEHA"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "BREEDTE MIDDEN VAN NEUSGATEN"
"PLAYER_MORPH_HUE_TEXT": "TINT"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "PAARSBLAUW 6"
"SLOT_WINDOW_COVERS": "RAAMBEDEKKINGEN"
"SLOT_HOOD_ORNAMENT": "MOTORKAPVERSIERINGEN"
"BRIGHT_INDIGO": "FELINDIGO"
"CUST_VARIANT_BIG_STRIPES": "BREDE STREPEN"
"CUST_VARIANT_POLO_2": "POLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "GANG LEREN OVERJAS"
"CUST_TATTOO_STOMACH_4": "EENHOORN-DROMEN"
"CUST_COMP_MUSTACHE_2": "PORNSNOR"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "DOODSHOOFD"
"LOGO_RAYS_1": "STRALEN 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "HIGH NOON-HOED"
"CUST_COMPLIMENT_Q": "DE KOORZANGERES"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "RONDING ONDERSTE OOGLID"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "GLOBAAL GEZICHT"
"CUST_VARIANT_TIE_DYE_2": "DAS VERF 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "BUG EYES"
"CUST_TATTOO_LEFT_FOREARM": "LINKERONDERARM"
"FACIAL_EXPRESSION_HAPPY": "VROLIJK"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "DIEPTE HELLING"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "EMPIRE-HELM"
"CUST_SKIN_CAUCASIAN_02": "KAUKASISCH 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "ROODORANJE 9"
"CUST_COMP_FACE_BLOODY_LIP": "ZUIGZOEN"
"CUST_TATTOO_LEFT_ARM": "VOLLEDIGE LINKERARM"
"CUST_TATTOO_RARM_5": "BRENGER VAN SCHOONHEID"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "HYDRAULICA"
"CUST_VARIANT_SHORTSHORTS": "KORTE BROEK"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "JOYSTICK JUNKIES HOT SAINTS"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "VIXEN CORSET"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "NAUGHTY GIRL HAKKEN"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "STEELPORT GEVECHTSHANDSCHOENEN"
"CUST_SKIN_ASIAN_03": "AZIATISCH 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "OOGDIEPTE"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "LICHT BLAUWGRIJZE TINT"
"RIM_SET_015": "VELGSET 15"
"VEHICLE_PAINT_INTERRIORS": "INTERIEURS"
"BRIGHT_RED": "FELROOD"
"FEMALE_AVERAGE": "VROUW GEMIDDELD"
"CUST_VARIANT_PRIMARY": "PRIMAIR"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "BLAUWGROEN 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Laat het voertuig dat je op afstand bestuurt ontploffen."
"CUST_COMP_FACE_GILLS": "KIEUWEN"
"CUST_COLOR_ROSE_4": "ROZE 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "HOOGTE MIDDENSTUK ONDERLIP"
"CUST_COMP_MUSTACHE_6": "POTLOODKOKER"
"CUST_VARIANT_SILVER": "ZILVER"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "NEIGHBOR JASJE EN VEST"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "KLASSIEKE JEANS"
"CUST_FINGERNAILS": "VINGERNAGELS"
"CUST_COMPLIMENT_U": "HARTENVEROVERAAR"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "PAARSBLAUW 2"
"CUST_COMP_FACE_DIMPLE": "KUILTJE"
"CUST_VARIANT_STRIPE": "GESTREEPT"
"CUST_WEAR_HIGH_BOTH_ROLLED": "BEIDE GEROLD, HOOG"
"CUST_ITEM_IMPRESSIONS_MALE_B": "IMPRESSIONS MAN B"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "MARSHMALLOW VEST"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "VLAK TOP ONTWERP B"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "GEMANICUURDE NAGELS"
"CUST_WEAR_NORMAL_LOW": "NORMAAL, LAAG"
"CUST_COLOR_CLOTHING_VIOLET_4": "PAARS 4"
"HAIR_COLOR_REDHEAD_MATTE": "MAT ROODHARIG"
"CUST_VARIANT_NO_STRIPES": "EFFEN"
"CUST_WEAR_TATTOO_BAND_A": "BAND 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "BEIDE OPENGERITST, LINKS, HOOG"
"CUST_ITEM_TROOPER_SHADES": "KLAAR VOOR HOLLYWOOD"
"CUST_COLOR_CLOTHING_YELLOWS_7": "GEEL 7"
"CUST_TATTOO_RUPPARM_7": "IN JE BLOED"
"CUST_COMP_FACE_BLOODY_NOSE": "GEBROKEN NEUS"
"CUST_VARIANT_TIE_DYE": "DAS VERF"
"player_lips_gloss": "LIPGLOSS"
"FACIAL_EXPRESSION_GRUMPY": "CHAGRIJNIG"
"CUST_TATTOO_LFORARM_7": "BERISP HET"
"COLOR_SLOT_TRIM_4": "SIERLIJST 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "PRINSESKRIJGER"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "JUMP SHOT"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "LEREN JACK-OUTFIT"
"CUST_VARIANT_SPORT_SHORTS_2": "STIJL 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "LAZY DAY CAPRIS"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "DIEPTE NEUSGATEN"
"CUST_COMP_MUSTACHE_25": "DE MARSMAN"
"SLOT_BODY_KIT": "CARROSSERIEKITS"
"CUST_VARIANT_PIMPCOAT_HEARTS": "HARTEN"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "KUNSTSCHOOL"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "BREEDTE VAN DE PUNT"
"VEHICLE_COLOR_RED_LIGHT_TINT": "LICHTRODE TINT"
"CUST_VARIANT_SANDALS_03": "NORMAAL"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "RUNWAY PILOTENBRIL"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "LELIE LOGO'S"
"CUST_CAT_RIGHT_WRIST": "RECHTERVUIST"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "KAAKBREEDTE"
"COMPONENT_OPTION_1": "OPTIE 1"
"SLOT_INTERIOR_COLOR": "INTERIEURKLEUR"
"SK02": "HUID02"
"CUSTOM_WALK_2": "MAGERE POOIER"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "Draag meer projectielen."
"CUST_TATTOO_LOWBACK_5": "IN COLD STEEL WE TRUST"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "KOGELVRIJ VEST TOEKOMSTSOLDAAT"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "Draag meer springladingen."
"CUST_TATTOO_NECK_1": "NAUTISCHE STER"
"CUST_COMP_BODY_MASK_1": "GEEN"
"LOGO_MUSEUM_ERO_1": "EROMENOS MUSEA 1"
"CUST_VARIANT_BIKER_NODECAL": "GEEN DECORATIES"
"CUST_VARIANT_PLAIN_NO_TIE": "EFFEN"
"CUST_WEAR_SUSPENDERS": "BRETELS"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "CROOKS & CASTLES T-SHIRT B"
"CUST_ITEM_SHORT_SOCKS": "PAPASCHOENEN"
"CUST_ITEM_BIKER_BOOTS_3": "LAZY DAY SCHOENEN"
"CUST_TATTOO_RIGHT_LEG": "RECHTERBEEN"
"FACIAL_EXPRESSION_SAD": "DROEVIG"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "HOOGTE MIDDENSTUK WENKBRAUWEN"
"CUST_COMP_EYE_MAKEUP_15": "DE KONINGIN VAN DE NIJL"
"CUST_COLOR_BLEACHED_BLONDE": "GEBLONDEERD"
"CUST_VARIANT_17_DEFAULT": "STIJL 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "MOTIONCAPTURE PAK"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "FUNTIME! G-STRING"
"PRESET_WARNING_HEADING": "WAARSCHUWING"
"CUSTOM_WALK_MALE": "STANDAARDMAN"
"PLAYER_MORPH_EYE_SPACING_TEXT": "OOGPLAATSING"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "GEELGROEN 9"
"CUST_TATTOO_RHAND_1": "VIER SCHEDELS"
"Chin": "KIN"
"CUST_PRESET_SEX": "GESLACHT"
"CUST_COMP_FACE_MAKEUP_1": "HELEMAAL BEDEKT"
"VEHICLE_COLOR_GOLD": "GOUD"
"CUST_VARIANT_JERSEY_2": "STIJL 2"
"CUST_VARIANT_STRIPESA": "STREPEN 1"
"CUST_SKIN_HISPANIC_01": "LATINO 1"
"CUST_TATTOO_FACE_6": "VLINDER"
"SLOT_RIM_COLOR": "VELGKLEUR"
"DARK_PINK": "DONKERROZE"
"LOGO_BROTHERHOOD_1": "BROTHERHOOD 1"
"CUST_SKIN_PURPLE_5": "PAARS"
"CUSTOM_WALK_16": "TUIGSTIJL 11"
"CUST_MENU_FINE_TUNING": "GEZICHT"
"CUST_COLOR_CLOTHING_BROWNS_1": "BRUIN 1"
"CUST_COMP_MUSTACHE_16": "DE LEIDING"
"COMPONENT_DECAL_3": "DECORATIE 3"
"CUST_VARIANT_LEOPARD_1": "LUIPAARD 1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "CROOKS & CASTLES STUDENTENJASJE"
"CUST_SKIN_BLACK_06": "ZWART F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "HOEK WENKBRAUW"
