"Storye01_In_Crawl_02": "Główny składnik ludzkiej historii."
"Story10_In_14_Oleg": "Panie przodem."
"Story14_Out_09_Shaundi": "Naucz się, kurwa, latać!"
"Story19_Out_04_Cyrus": "Chce pani wyników? Proszę wydać upoważnienie do użycia Daedalusa!"
"Story15_In_06_Kinzie": "Matt włamał się pewnie do komputera pokładowego i usmażył go impulsem elektromagnetycznym."
"Story10_In_03_Player_BM": "Lepiej nie wkurzać takiego wielkiego gościa."
"Story07_In_16_Oleg": "Są tacy, którzy nienawidzą Syndykatu tak jak wy. Zabiorę was do nich."
"Story02_In_21_Kiki": "Oczywiście przed naliczeniem podatku."
"Genki_Bobby02": "Czas przekonać się na czym polega gra!"
"Story13_Zscene01_04_Cyrus": "Nic z tego. Misją STAG jest likwidacja gangów w Steelport. Ale to ja decyduję, na czym skupić ogień. Wypuść Birka, to przez jakiś czas będziemy tłukli Syndykat... żeby dać wam odetchnąć."
"Story22_OutB_01_Player_BM": "Wracamy do domu."
"Story17_Mid_08_Cyrus": "Dziękuję."
"Story17_In_08_Player_BM": "No to jedziemy."
"SH_Decker_13_Player_BM": "Dziękuję."
"Story15_In_03_Pierce": "Nie widzę łóżka."
"Story08_Out_01_Killbane": "Dziwki-zabójczynie?"
"Story02_In_32_Shaundi": "Johnny, z ręczną skrzynią sobie nie radzisz - jak chcesz pilotować samolot?"
"Story16_Zscene02_06_Matt": "Powiedz mi nazwę firmy, a stanie się własnością Świętych. Ty odzyskasz swoje imperium, a ja odejdę wolny."
"SH_Luchadore_04_Angel": "Skrzywdzimy wielu ludzi."
"Story14_In_01_Player_BM": "Co jest grane?"
"Story05_Out_03_Phillipe": "Też tak uważam, panie Killbane."
"Story01_In_15_Player_BM": "Wiecie, co robić."
"CTO_Angel01_03_Player_BM": "Jak tam chcesz, mówię tylko, że lubię mieć na chacie działające ogrzewanie."
"Story17_Out_10_Cyrus": "Oczywiście."
"Story10_In_04_Viola": "Nie przyszłam tu walczyć. Musimy działać razem."
"SH_Morningstar02_02_Monica": "Odpowiedzialni za ten akt terroru zostaną odnalezieni i osądzeni."
"CTO_Pierce02_08_Pierce": "To musisz odwiedzić Prochownię."
"Story14_In_02_Kinzie": "Musisz to zobaczyć..."
"Story12_In_13_Pierce": "Nazywasz się Krwawa Kanoniczka."
"Story01_In_11_Player_BM": "Słuchajcie, wszyscy..."
"CTO_Kinzie01_11_Player_BM": "To rozumiem."
"Story21_Zscene01_05_Bobby": "Ile może zrobić jedna osoba, żeby..."
"Story16_Zscene01_04_Player_BM": "Co to, kurwa..."
"Story19_In_20_Viola": "Wiesz coś o tym?"
"Story17_Out_07_Monica": "Znałam Świętych. Jak zareagował burmistrz Reynolds?"
"Story16_In_04_Player_BM": "Zajebisty plan, Kinzie."
"Story11_Out_02_Josh": "Agenci STAG codziennie ryzykują życiem, by chronić twoje miasto przed gangami. Chcesz być prawdziwym bohaterem? Skontaktuj się z oficerem werbunkowym STAG już dziś. Ja chcę być bohaterem."
"Story08_Out_03_Matt": "Drogie panie, ten plan był do dupy."
"Story07_Out_07_Kiki": "Uspokój się, Eddie..."
"Story14_In_07_Killbane": "Ależ proszę, droga Jane. To Święci są przestępcami. Może i ekscentryk ze mnie, ale jestem tylko zabawiaczem, biznesmenem, filantropem..."
"Story11_In_02_Pierce": "Mam w puli 20 kawałków!"
"Story19_In_09_Reynolds": "Kto inny dałby sobie radę z tym miastem? Poza tym kocham swoich wyborców."
"Story07_Out_12_Player_BM": "Porozmawiaj z jednym z tych kolesi, będą coś dla ciebie mieli. Nastał nasz czas - bierzmy się do roboty."
"Story02_In_30_Shaundi": "Co z samolotem?"
"Story02_In_12_Player_BM": "Masz pojęcie, do kogo podskakujesz?"
"Story01_In_08_Josh": "Obrabiacie bank przebrani za siebie?"
"Story17_In_05_Player_BM": "Wejdę z więźniami, zaprowadzą mnie do aresztu, znajdę Shaundi i w nogi."
"Story15_In_09_Player_BM": "Więc jak dorwiemy Deckerów?"
"Story01_In_02_Gat": "Kradzież też jest spoko. Gotowy?"
