"CUST_ITEM_CF_HAIR_MED": "セミロング"
"CANCEL_WARNING_BODY": "変更を破棄します。よろしいですか？ "
"WARDROBE_TITLE": "クローゼット"
"COLOR_SLOT_RIMS_1": "リム2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "サムデザイン2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "スラストグローブ"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "鼻先の出っ張り"
"CUST_COLOR_CLOTHING_VIOLET_8": "バイオレット8"
"HAIR_COLOR_BLEACHED_MATTE": "ブリーチブロンド（マット）"
"LOGO_FRECKLE_2": "FRECKLE BITCHS 2"
"CUST_VARIANT_TIGER": "タイガー"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "トレンチコートセット"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "アニマル着ぐるみセット"
"CUST_SAMEDI_TAUNT_B": "サムディ挑発2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "顎骨の出っ張り"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "クリスタルデカンタホワイト"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "サメの歯ピアス"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "鼻の巻き具合"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "ピストルTシャツ"
"CUST_TATTOO_ENTIRE_CHEST": "胸全体"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "鼻腔の幅"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "上唇の縁の大きさ"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "ライトスモーク（ブルー）"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "裾入れ ボタン留 腰深 サスペンダー無 ネクタイ有"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "IMPRESSIONS（女性用）R"
"CUST_ITEM_FEMALE_LP_BRA_1": "スパイダーバイト"
"CUST_SKIN_METAL_1": "シルバー"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "アンテナ"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "スーパータイトジャケット"
"CUST_ITEM_CF_HAIR_CORNROWS": "セインツロウ"
"PLAYER_MORPH_EAR_YAW_TEXT": "耳の方向"
"FEMALE_BODYBUILDER": "女性 ボディビルダー"
"CUST_VARIANT_GLITTERY": "きらびやか"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "トラックパンツ1"
"FACIAL_EXPRESSION_DOPEY": "ぼんやり"
"LOGO_STILWATER_CYCLE": "STILWATER CYCLES"
"FACTORY_STANDARD_HOOD_W__INTAKE": "標準ボンネットインテーク付き（使用禁止）"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "ドットミディアム"
"CUST_WEAR_RIGHT": "右"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "ストリートアーティスト"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "セインツルーズフィットパンツ"
"SLOT_DECAL_3": "ステッカー3"
"CUST_VARIANT_ARMS": "アーム"
"CUST_CAT_HAIR_COLOR_SECONDARY": "頭髪セカンドカラー"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "鼻の形"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "このカテゴリのアイテム最大所持数に達しました"
"CUST_COLOR_CLOTHING_BLUES_3": "ブルー3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "レッドオレンジ5"
"HAIR_COLOR_RED_MATTE": "ブライトレッド（マット）"
"BRIGHT_ORANGE": "明るいオレンジ"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "ブラザーショーツ"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "編み上げサンダル"
"CUST_CAT_MAKEUP_CHEEKS": "頬"
"CUST_FACIAL_EXP_EMBARRASSED": "恥ずかしがり"
"PLAYER_MORPH_BROW_CURVE_TEXT": "眉の曲がり具合"
"PLAYER_CREATION_HAIR_LENGTH": "髪の長さ"
"LOGO_HEADSTONE": "HEADSTONE"
"CUST_COLOR_GRAY_2": "グレー2"
"CUST_VARIANT_DULL": "マット"
"CUST_WEAR_STUD": "スタッズ"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "パンク編み上げブーツ"
"SLOT_RIMS_FRONT": "フロントリム"
"SLOT_TAILLIGHTS": "テールランプ"
"SLOT_REAR_BUMPER": "リアバンパー"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "IMPRESSIONS（男性用）N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "スカーレット"
"GANG_CUST_RANDOM": "ランダム"
"CUST_COLOR_CLOTHING_GREENS_2": "グリーン2"
"CUST_COMP_FACE_SCAR_6": "傷あと（小）2"
"COMPONENT_HIGH_PROFILE": "厚型"
"LOGO_UNIVERSITY_5": "STILWATER U 5"
"CUST_WEAR_DEFAULT": "デフォルト"
"CUST_SKIN_BLUE_2": "ディープブルー"
"CUST_COMPLIMENT_Y": "ワンワン！"
"PLAYER_MORPH_JAW_TEXT": "顎骨"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "ブルーグリーン5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "投てき距離が伸びます"
"CUST_GANG_COP": "警官"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "ブロックオールサングラス"
"CUST_TATTOO_RIGHT_FOREARM": "右腕"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "頬の出っ張り"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "頬骨の間隔"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "鼻筋の幅"
"PLAYER_CREATION_TITLE": "プレイヤーのカスタマイズ"
"RIM_SET_019": "リムセット19"
"COLOR_SLOT_RIMS": "リム"
"CUST_VARIANT_STRIPE_1": "ワンストライプ"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "アーバンサファリタートルネック"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "スケーターカット"
"PLAYER_MORPH_EAR_BEND_TEXT": "耳の湾曲"
"CANT_WEAR_MEDALLION": "メダリオンには、LかMの長さのネックレスが必要です"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "装弾数が増えます"
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "ストリート1"
"CUST_COLOR_CLOTHING_RED_8": "レッド8"
"COLOR_SLOT_DRAPES": "カーテン"
"CUST_ITEM_FEMALE_LL_BRA_4": "タフガール"
"CUST_ITEM_CM_SUIT_CARDINAL": "カーディナルローブ"
"FACIAL_EXPRESSION_DEATH_B": "死2"
"FACIAL_EXPRESSION_JOYFUL": "喜び"
"CUST_COLOR_CLOTHING_YELLOWS_3": "イエロー3"
"CUST_TATTOO_RUPPARM_3": "ファラオ"
"COLOR_SLOT_PAINT_1_AND_RIMS": "塗装1とリム"
"CUST_VARIANT_STONEWASH_JEANS": "ストーンウォッシュジーンズ"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "レディースバイカー"
"CUST_ITEM_LPA_M_SPACEPACK": "スペースバックパック"
"PLAYER_MORPH_FACE_AGE_TEXT": "顔年齢"
"CUST_GANG_MASCOT": "マスコット"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "ナイトアーマー"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "シンプルドレスシャツ（ネクタイ付き）"
"CUST_ITEM_CF_HAIR_LONGBANGS": "プリンセスエジプト"
"FACIAL_EXPRESSION_PAIN_C": "痛み3"
"CUST_BRO_COMPLIMENT_A": "ブラザーフッド敬意1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "スター"
"CUST_VARIANT_HAWAII": "ハワイアン"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "ウサギマスク"
"CUST_TATTOO_LFORARM_3": "カミソリ"
"HAIR_COLOR_LIGHT_BROWN": "ライトブラウン"
"COMPONENT_PAINT_2": "ペイント2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "ドッグチョーカー"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "ゲンキブーツ"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS（男性用）B"
"CUST_ITEM_GAT_BOBBLE": "ギャット首振り人形"
"CUST_ITEM_6_LOOPS_RIGHT_2": "ワイルド"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "首筋の高さ"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "ダンディーモカシン"
"CUST_VOICE": "声"
"CUST_COMP_MUSTACHE_21": "ソウルパッチ"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "コーヒークリームタン"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "イリデサント塗料"
"SLOT_MECHANICAL_COLOR": "メカニカルカラー"
"CUST_COLOR_TEAL_2": "ティール2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "リッチガール"
"CUST_COMP_EYES_WHITE": "ホワイト"
"CUST_VARIANT_LIGHT_PLATINUM": "ライトプラチナ"
"CUST_INSULT_CHEST": "大胸筋"
"CUST_GANG_MORNING_STAR": "モーニングスター"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "右ロールアップ（高）"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "サムライ"
"CUST_TATTOO_RARM_1": "エンジェル"
"RIM_155": "LX-14"
"DIRT": "汚れ"
"CUST_WEAR_RIGHT_ROLLED_UP": "右ロールアップ"
"CUST_ITEM_CM_HAT_MOTORHELMET": "チョッパーヘルメット"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "バッドボーイ"
"CUST_MAKEUP_VARIATION": "メイクバリエーション"
"LOGO_BALANCE_2": "BALANCE 2"
"CUST_VARIANT_TIE": "ネクタイ"
"CUST_WEAR_FORWARD_RIGHT": "前右側"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "コートジャケット&セーター"
"CUST_ITEM_LEATHER_LACE_MALE_B": "プレジャー＆ペイン"
"CUST_ITEM_CF_HAIR_BEEHIVE": "クイーンビー"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "ヒッピーサンダル"
"SLOT_REINFORCED_FRAME": "強化フレーム"
"CUST_COLOR_RED_4": "レッド4"
"LOGO_NUMBER12": "NUMBER 12"
"CUST_VARIANT_2_SIDED_FADE": "両面フェード"
"CUST_WEAR_FRONT RIGHT": "フロントライト"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "サイバースペース"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "エモスニーカー"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "スレイブグローブ"
"RIM_SET_011": "リムセット11"
"CUST_VARIANT_SHINY": "グロス"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "裾出し ボタン留 ネクタイ有"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "セクシーレースビスチェ"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "鼻腔中央の幅"
"PLAYER_MORPH_HUE_TEXT": "色合い"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "バイオレットブルー6"
"SLOT_WINDOW_COVERS": "ウィンドウカバー"
"SLOT_HOOD_ORNAMENT": "ボンネットデコレーション"
"BRIGHT_INDIGO": "ブライトインディゴ"
"CUST_VARIANT_BIG_STRIPES": "ストライプ（濃）"
"CUST_VARIANT_POLO_2": "ポロ2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "ギャングレザートップ"
"CUST_TATTOO_STOMACH_4": "ユニコーン"
"CUST_COMP_MUSTACHE_2": "ダンディー"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "SKULL"
"LOGO_RAYS_1": "RAYS 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "カウガールハット"
"CUST_COMPLIMENT_Q": "コーラスガール"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "下まぶたの曲り具合"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "顔の丸み"
"CUST_VARIANT_TIE_DYE_2": "タイダイ2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "ビックアイサングラス"
"CUST_TATTOO_LEFT_FOREARM": "左腕"
"FACIAL_EXPRESSION_HAPPY": "幸せ"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "鼻筋の出っ張り"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "ストームソルジャーヘルメット"
"CUST_SKIN_CAUCASIAN_02": "白人2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "レッドオレンジ9"
"CUST_COMP_FACE_BLOODY_LIP": "ラブバイト（唇）"
"CUST_TATTOO_LEFT_ARM": "左腕全体"
"CUST_TATTOO_RARM_5": "ビューティーパワー"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "ハイドロ"
"CUST_VARIANT_SHORTSHORTS": "ショートパンツ"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "JOYSTICK JUNKIESホットセイント"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "ギャングコルセット"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "セクシーレースサンダル"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "スティールポートバトルグローブ"
"CUST_SKIN_ASIAN_03": "アジア系3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "目の前後位置"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "ライトスモーク（ティール）"
"RIM_SET_015": "リムセット15"
"VEHICLE_PAINT_INTERRIORS": "内装"
"BRIGHT_RED": "明るいレッド"
"FEMALE_AVERAGE": "女性 標準"
"CUST_VARIANT_PRIMARY": "プライマリー"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "ブルーグリーン9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "操縦中の車両を爆発させます"
"CUST_COMP_FACE_GILLS": "エラ"
"CUST_COLOR_ROSE_4": "ローズ4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "下唇中央の高さ"
"CUST_COMP_MUSTACHE_6": "ペンシル"
"CUST_VARIANT_SILVER": "シルバー"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "ネイバージャケット&ベスト"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "ベーシックジーンズ"
"CUST_FINGERNAILS": "爪"
"CUST_COMPLIMENT_U": "胸を叩く"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "バイオレットブルー2"
"CUST_COMP_FACE_DIMPLE": "えくぼ"
"CUST_VARIANT_STRIPE": "ストライプ"
"CUST_WEAR_HIGH_BOTH_ROLLED": "左右ロールアップ（高）"
"CUST_ITEM_IMPRESSIONS_MALE_B": "IMPRESSIONS（男性用）B"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "ダウンベスト"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "フラットトップB"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "ロングネイル"
"CUST_WEAR_NORMAL_LOW": "普通（低）"
"CUST_COLOR_CLOTHING_VIOLET_4": "バイオレット4"
"HAIR_COLOR_REDHEAD_MATTE": "赤毛（マット）"
"CUST_VARIANT_NO_STRIPES": "プレインストライプなし"
"CUST_WEAR_TATTOO_BAND_A": "輪1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "左ジッパー開け（高）"
"CUST_ITEM_TROOPER_SHADES": "ハリウッドスタイル"
"CUST_COLOR_CLOTHING_YELLOWS_7": "イエロー7"
"CUST_TATTOO_RUPPARM_7": "タイガー"
"CUST_COMP_FACE_BLOODY_NOSE": "鼻血"
"CUST_VARIANT_TIE_DYE": "タイダイ"
"player_lips_gloss": "リップグロス"
"FACIAL_EXPRESSION_GRUMPY": "不機嫌"
"CUST_TATTOO_LFORARM_7": "ボルト"
"COLOR_SLOT_TRIM_4": "トリム4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "アマゾネス"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "バスケスタイル"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "レザージャケットセット"
"CUST_VARIANT_SPORT_SHORTS_2": "スタイル1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "カプリパンツ"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "鼻腔の出っ張り"
"CUST_COMP_MUSTACHE_25": "火星人"
"SLOT_BODY_KIT": "エアロキット"
"CUST_VARIANT_PIMPCOAT_HEARTS": "ハート"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "アートスチューデント"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "鼻先の幅"
"VEHICLE_COLOR_RED_LIGHT_TINT": "ライトスモーク（レッド）"
"CUST_VARIANT_SANDALS_03": "ノーマル"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "ランウェイアビエーターサングラス"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "ロゴ入りローライズショーツ"
"CUST_CAT_RIGHT_WRIST": "右手首"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "顎骨の幅"
"COMPONENT_OPTION_1": "オプション1"
"SLOT_INTERIOR_COLOR": "内装カラー"
"SK02": "肌02"
"CUSTOM_WALK_2": "スカウト"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "ミサイルの数を増やします"
"CUST_TATTOO_LOWBACK_5": "コールドスティール"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "ストームソルジャーアーマー"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "携行できる爆弾が増えます"
"CUST_TATTOO_NECK_1": "スター"
"CUST_COMP_BODY_MASK_1": "なし"
"LOGO_MUSEUM_ERO_1": "EROMENOS MUSEUM 1"
"CUST_VARIANT_BIKER_NODECAL": "デカールなし"
"CUST_VARIANT_PLAIN_NO_TIE": "プレインネクタイなし"
"CUST_WEAR_SUSPENDERS": "サスペンダー"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "CROOKS & CASTLES Tシャツ B"
"CUST_ITEM_SHORT_SOCKS": "マジックテープスニーカー"
"CUST_ITEM_BIKER_BOOTS_3": "カジュアルスニーカー"
"CUST_TATTOO_RIGHT_LEG": "右脚"
"FACIAL_EXPRESSION_SAD": "悲しげ"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "眉の高さ 中央"
"CUST_COMP_EYE_MAKEUP_15": "クイーン・オブ・ザ・ナイル"
"CUST_COLOR_BLEACHED_BLONDE": "ブリーチブロンド"
"CUST_VARIANT_17_DEFAULT": "スタイル2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "モーションキャプチャースーツ"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "ゲンキGストリング"
"PRESET_WARNING_HEADING": "警告"
"CUSTOM_WALK_MALE": "男性デフォルト"
"PLAYER_MORPH_EYE_SPACING_TEXT": "目の間隔"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "イエローグリーン9"
"CUST_TATTOO_RHAND_1": "クワッドスカル"
"Chin": "顎先"
"CUST_PRESET_SEX": "性別"
"CUST_COMP_FACE_MAKEUP_1": "カバーオール"
"VEHICLE_COLOR_GOLD": "ゴールド"
"CUST_VARIANT_JERSEY_2": "スタイル2"
"CUST_VARIANT_STRIPESA": "ストライプ1"
"CUST_SKIN_HISPANIC_01": "ラテンアメリカ系1"
"CUST_TATTOO_FACE_6": "バタフライ"
"SLOT_RIM_COLOR": "リムカラー"
"DARK_PINK": "ダークピンク"
"LOGO_BROTHERHOOD_1": "BROTHERHOOD 1"
"CUST_SKIN_PURPLE_5": "パープル"
"CUSTOM_WALK_16": "悪党11"
"CUST_MENU_FINE_TUNING": "顔"
"CUST_COLOR_CLOTHING_BROWNS_1": "ブラウン1"
"CUST_COMP_MUSTACHE_16": "エグゼクティブ"
"COMPONENT_DECAL_3": "デカール3"
"CUST_VARIANT_LEOPARD_1": "ヒョウ柄1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "CROOKS & CASTLESスタジャン"
"CUST_SKIN_BLACK_06": "黒人F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "眉の角度"
"LOGO_STALLA_1": "STALLAGERIFFIC"
"CUST_ITEM_CF_RING_F_GOTHSET": "ゴシックセット"
"CUST_ITEM_CF_RING_F_SMHEART": "スモールハートセット"
"CUST_INSULT_N": "ヴォーグ"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "鼻筋の高さ"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "連射速度、攻撃力を上げます。ドットサイトは精度を上げます"
"CUST_TATTOO_LUPPARM_8": "ブリンブリン"
"VEHICLE_COLOR_SEAFOAM_TEAL": "オーシャンフォームティール"
"CRAZY_1": "クレイジー1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "ロングネイル&ダイヤモンドリング"
"CUSTOM_WALK_FEMALE_4": "女性スカウト"
"CUST_COMP_CHEEK_MAKEUP_6": "キスマーク"
"SURGEON_CAT_BODY": "身体"
"CUST_TATTOO_LCALF_2": "パンチ"
"CUST_VARIANT_POLKA_DOTS": "水玉模様"
"CUST_VARIANT_MED_TRI_COLOR": "3色ミディアム"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "スティールポートヒロイン"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "スティールポートヒーローシャツ"
"CUST_COMPLIMENT_A": "エクスペリエンス"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "爆発する弾丸が敵にショックを与えます"
"CUST_COMP_EYE_MAKEUP_2": "パッチ（左）"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETERS 6"
"CUST_VARIANT_BRA_1": "水玉"
"CUST_VARIANT_WILD": "ワイルド"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "ラグランTシャツ"
"CUST_COMPLIMENT_CC": "雄たけび"
"SLOT_RIGHT_SIDE": "右側"
"SLOT_TAILS": "テール"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "裾入れ ボタン留 かなり腰深 サスペンダー無"
"CUST_WEAR_TUCKED_BUTTONED": "裾入れ ボタン留"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "シンプルフォーマルシャツ（ボタン開）"
"CUST_ITEM_CM_IMPM_EYES_M_SUNGLASSES": "カバナサングラス"
"PLAYER_MORPH_MOUTH_SHAPE_TEXT": "口の形"
"CUST_TATTOO_RFORARM_8": "銃"
"CUST_TATTOO_UPPBACK_7": "仮面"
"CUST_COMP_FACE_MOLE_9": "ホクロ9"
"LOCALIZE_NONE": "なし"
"RALLY_2": "バトル2"
"MALE_EMACIATED": "男性 虚弱"
"LOGO_VIRAL_1": "VIRAL 1"
"CUST_VARIANT_2STRIPE": "ダブルストライプ"
"CUST_VARIANT_SMALL_STRIPE": "ストライプ（薄）"
"CUST_VARIANT_STEEL": "スチール"
"SLOT_ROOF_LIGHTS": "ルーフ照明"
"DARK_ORANGE": "ダークオレンジ"
"CUST_ITEM_FEMALE_LL_UNDWEAR_1": "ビビッドゼブラショーツ"
"COLOR_SLOT_PAINT_1_AND_PAINT_3": "塗装1と塗装3"
"CUST_VARIANT_PLATINUM": "プラチナ"
"CUST_SKIN_OILED_2": "オイリーなアジア系1"
"PLAYER_MORPH_EYE_SIZE_TEXT": "目の大きさ"
"PLAYER_MORPH_BOTTOM_LIP_MIDDLE_SIZE_TEXT": "下唇の中央の大きさ"
"RIM_SPORTS": "スポーツ"
"CUST_ITEM_CF_NLMD_FOOT_F_CANVASSHOES": "ノーレースキャンバス"
"CUST_ITEM_CM_LPG_MASK_M_MASKLAMB": "ヒツジマスク"
"CUST_INSULT_J": "サッカー"
"CUST_TATTOO_LCALF_6": "ドリームキャッチャー"
"VEHICLE_COLOR_INSANE_RED": "インセイン・レッド"
"CUST_ITEM_FEMALE_NLM_EARRINGS_4": "カミソリ凶器ピアス"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_G": "セクシーカウガール"
"CUST_ITEM_CM_LPE_LBDY_M_MPANTS": "ストームソルジャーパンツ"
"CUST_ITEM_CM_LLA_UBDY_M_GIMPSHIRT": "スレイブシャツ"
"CUST_ITEM_CM_PSG_FOOT_M_SNEAKERS": "ベーシックスニーカー"
"CUST_COMPLIMENT_E": "アミーゴ"
"PLAYER_MORPH_BODY_FAT_TEXT": "脂肪"
"PLAYER_MORPH_SKULL_TOP_HEIGHT_TEXT": "頭頂部の高さ"
"CUST_COLOR_CLOTHING_GREYS_4": "グレー4"
"CUST_WPN_UPGRADE_DESC_GRENADE_FLASHBANG_3": "投てき距離が伸びます"
"CUST_GANG_NINJA": "ニンジャ"
"CUST_COMP_CHEEK_MAKEUP_2": "スーパーモデル"
"COMPONENT_ADD_REINFORCED_BUMPER": "強化バンパー"
"CUST_ITEM_CF_HAIR_SPACEGIRL": "ストレートボブ"
"CUST_ITEM_CF_IMPN_FOOT_F_SANDALS": "ストラップサンダル"
"CUST_TATTOO_UPPER_LEG_LEFT": "左脚上部"
"PLAYER_MORPH_SKULL_TOP_ELEVATION_TEXT": "頭頂部の高さ"
"CUST_ITEM_FEMALE_NLM_OUTFIT_D": "インディー・ロック"
"CUST_ITEM_CF_LPG_LBDY_F_SHORTSCHAPS": "セクシーカウガールパンツ"
"CUST_ITEM_CM_LLN_LBDY_M_WLPANTS": "ディスコディーバパンツ"
"CUST_ITEM_CM_LLB_FOOT_M_LTHRBOOTS": "ボンデージレザーブーツ"
"CUST_COMP_EYE_MAKEUP_6": "アイシャドウ"
"LOGO_NUMBER4": "NUMBER 4"
"LOGO_SKEETERS_2": "SKEETERS 2"
"CUST_ITEM_CF_LLI_UBDY_F_TUBETOP": "チューブトップ"
"CUST_VARIANT_SPORT_SHOE": "スポーツシューズ"
"CUST_ITEM_FEMALE_LL_UNDWEAR_5": "ラブラブ Gストリング"
"CUST_VOICE_FEMALE_ASIAN": "女性1"
"CUST_WPN_UPGRADE_DESC_RIFLE_STAG_3": "連射速度を上げます。ロングバレルは反動を軽減します"
"CUST_TATTOO_UPPBACK_3": "ロケット"
"COLOR_SLOT_PAINT_1_AND_RIMS_2": "塗装1とリム2"
"CUST_TATTOO_LOWBACK_1": "デッドスカル"
"CUST_COLOR_FLESH_1": "ベージュ1"
"CUST_VARIANT_ULTORSHIRT": "アルター"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_ROLLED": "右ロールアップ（低）"
"RIM_SET_007": "リムセット7"
"VEHICLE_PAINT_MILITARY": "ミリタリー"
"COMPONENT_OPTION_5": "オプション5"
"LOGO_DOGFIGHT": "Dog Fight!"
"CUST_VARIANT_BALD": "ボールド"
"CUST_ITEM_CM_DECKERSUIT": "デッカーウェア"
"CUSTOM_WALK_6": "男性デフォルト2"
"CUST_COMP_EYE_MAKEUP_11": "ダークライナー"
"CUST_VARIANT_SKIRTC": "スタイル1"
"CUST_VARIANT_TRICOLOR": "3色"
