"HASH_9EA21200": "ZERO COOL"
"HASH_C2D2176F": "DESTROY [format][color:kill]RELAY[/format]"
"HASH_D1F62E6F": "DODGE KILLBANE'S COUNTERATTACK"
"HASH_B96C106F": "Do you really count Earth as one of the weakest cultures in the universe? You really should think higher of yourself."
"HASH_E3F32270": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_BD9E3E70": "I'm writing a follow-up to Regicide and I need some source material."
"HASH_50DE1F70": "START MISSION"
"HASH_712F0070": "PLANT [format][color:use]BOMBS 1/2[/format]"
"HASH_EA599070": "KILL [format][color:kill]PAUL[/format]"
"HASH_C5988C70": "MY POLITICAL ACUMEN"
"HASH_957A5471": "MEET [format][color:Location]KINZIE[/format] ON SHIP"
"HASH_4F12A271": "HACK THE RIM JOBS IN ARAPICE"
"HASH_EC95F471": "BREAK THE RULES OF REALITY"
"HASH_45AD8A71": "GO TO [format][color:location]ZIMOS' PLACE[/format]"
"HASH_85773571": " [format][color:use]GRAVITY INHIBITORS [/format] COLLECTED "
"HASH_BCC37F71": "CLEAR OUT [format][color:kill]LOWER DECK[/format]"
"HASH_59B9F971": "His testing over, I formally named Zinjai as my lieutenant/servant, and we continued our trek into deep space. Per my grand plan, I set about culling the universe of its weakest cultures first, starting with:"
"HASH_5C7AEA71": "QUESTIONED MY CHARACTER"
"sh03_failure_pierce_died": "PIERCE DIED!"
"HASH_75981772": "COMPLETE [format][color:Location]RACE[/format]"
"HASH_9591BD72": "SIGNAL STRENGTH "
"HASH_07AFCD72": "MAKE A RAFT OUT OF SEAGULL CORPSES AND KALE"
"HASH_A6255F73": "START MISSION"
"HASH_D30D9B73": "ASSASSINATE ROGUE PROGRAM"
"HASH_42309E73": "\\"I don't think so.\\"  Matt Miller's dodge fails and Killbane hits him again.  Hard.\n\nWhat should Matt do?"
"HASH_EE0E1473": "\\"FUCK OFF\\""
"HASH_720A7E74": "POWER ELEMENT TRAINING"
"HASH_A5407774": "REVIVE HOMIE"
"HASH_A51DD274": "SEARCH [format][color:power_tele]ALIEN CONTAINERS [/format]"
"HASH_E095FF74": "[format][color:defend]SURVIVE[/format] TRAP"
"HASH_20288974": "Hehehe. Yes. Very droll. I stay quiet for no one."
"HASH_EC749874": "GANACHE-DRENCHED ECLAIRS"
"HASH_5D6E9275": "ANSWER THE CALL"
"HASH_41B29575": "LEARN TO DAMAGE THE ALIEN PRESENCE"
"HASH_C7BF8A75": "PUNCH KILLBANE AGAIN"
"HASH_B58AD375": "ZINJAI'S BROTHER DIED DURING AN EXAMINATION ON PROPER CROSS-CULTURAL GREETINGS"
"HASH_95E54375": "It was my celebrated essay on Jane Austen's body of work that caught the attention of the Zinkov admissions board who not only allowed me entry into their fine institution but secured my later position as Head of the English-Language Appreciator's Society."
"HASH_1C4BAF76": "If you want the reward, you'll do this."
"HASH_EC873876": "CLEAR OUT ZIN TROOPS"
"HASH_F6777176": "RETURN TO MISSION OBJECTIVE"
"HASH_533D2F76": "KILL [format][color:kill]ZIN-NYTEBLAYDE[/format]"
"HASH_4751CE76": "DESTROY [format][color:kill]HELICOPTER[/format]"
"HASH_28B13A76": "PET THE UNICORN"
"HASH_86430676": "\\"LET'S DO THIS\\""
"HASH_AA123276": "EAT THE HEART"
"HASH_97EEA776": "A PETTING ZOO"
"HASH_F7B44577": "STEAL [format][color:Location]VEHICLE[/format]"
"HASH_C2996C77": "STEAL [format][color:Location]VEHICLE[/format]"
"HASH_B9ADB277": "RACE THROUGH THE SYSTEM"
"HASH_F2EF4B77": "TOUCH [format]SYMBOL[/format]"
"M11_FAILURE_KILLED": "YOU WERE KILLED!"
"HASH_43B3EB77": "\\"LET ME GO\\""
"HASH_6FE2DF77": "MAKE A COCONUT RADIO"
"HASH_265C5B77": "On the screen one question is asked: \\"What are you?\\"\n\nWhat do you type?"
"HASH_6AD2BB77": "With the might of the Zin Empire behind me, I set out toward the far corner of the universe, toward a new galaxy, to conquer a planet I had only enjoyed through its culture: Earth."
"HASH_9EC53A78": "CLEAR OUT ZIN TROOPS"
"HASH_0435AE78": "MEET [format][color:Location]KINZIE[/format] ON SHIP"
"HASH_0D348978": "PLAY AGAIN"
"HASH_A3C6B578": "OFFER THE ARCHITECT A DRINK"
"HASH_0C2D7279": "GO TO [format][color:location]PARK[/format]"
"HASH_C3C18E79": "GET IN [format][color:location]RESCUE VEHICLE[/format]"
"HASH_ADB62879": "MELEE KILL"
"HASH_1DC77779": "GO TO [format][color:location]PRIZE ROOM[/format]"
"HASH_4A676C79": "LOOK AT THE COMPUTER"
"HASH_779BF979": "A LIFE WITHOUT ME"
"HASH_02DA037A": "HACK THE RUSTYS NEEDLE IN SUNSET PARK"
"HASH_657BA07A": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_CE7D087A": "MEET [format][color:Location]SHAUNDI[/format] ON SHIP"
"HASH_18E5C37A": "BACK TO BASICS"
"HASH_13C4717A": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_B35FC17A": "GO TO [format][color:location]FINAL STOP[/format]"
"HASH_2EDC487A": "PIERCE DIED!"
"HASH_6400CD7A": "\\"No.\\"\n\nWhat do you say?"
"HASH_288E2D7A": "I considered it but ultimately opted for something else."
"HASH_1F56D37A": "It was evident even then that I had conqueror's blood coursing through my veins. I took to every task with gusto, never accepting anything but the best from myself and all those around me. I had vision, I had drive, I had everything needed to seize the universe by the nebulas and make it mine."
"HASH_F0569F7B": "I think we all know how this story has to end."
"HASH_04CF7A7B": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_EF02157B": "MEET [format][color:Location]MATT[/format] ON THE SHIP"
"HASH_F8554D7B": "GO TO [format][color:location]FRAUD START[/format]"
"HASH_BE6FA47B": "HIJACK [format][color:use]TANK[/format]"
"HASH_80F57E7B": "SHAUNDI DIED!\n USE THE GRENADES TO SEPARATE KIA AND SHAUNDI, THEN BLAST KIA."
"HASH_CC1DEB7B": "FIELD COMBAT"
"HASH_57E2457C": "HACK THE FRIENDLY FIRE IN SALANDER"
"HASH_F465137C": "CLEAR OUT ZIN TROOPS"
"HASH_0EE16E7C": "MEET [format][color:Location]JOHNNY[/format] ON SHIP"
"HASH_B15D587C": "YOU NEED A 4-DOOR VEHICLE"
"HASH_79E2847C": "GO TO [format][color:location]TOWER [/format]"
"HASH_D884227C": "YOU BAILED TOO SOON!"
"HASH_AAEEE77C": "PICK UP WEAPON"
"HASH_8CD8427C": "START AGAIN"
"HASH_222A7E7C": "\\"I KNOW YOU CAN BEAT HIM, MATT\\""
"HASH_0E7B4A7C": "PET THE PARROT"
"HASH_EF119B7D": "REPLAY"
"HASH_51830E7D": "If you want to finish this quest, you have to do this."
"HASH_A14F997D": "MEET ASHA ON THE SHIP"
"HASH_3ED1D27D": "Start to degrade the simulation's stability by completing Activities."
"HASH_10624C7D": "THROW [format][color:kill]TANYA[/format] OFF THE ROOF"
"HASH_BF98F47D": "KING ME"
"HASH_4B09857D": "GET IN [format][color:use]MUSIC TRUCK[/format]"
"HASH_4928AF7D": "KEEP WALKING"
"HASH_4941987D": "GET CID TO [format][color:location]TERMINAL[/format]"
"HASH_135C6B7D": "CAUSE MORE SUFFERING"
"HASH_E7DA937D": "\\"FUCK THAT, I WANT TO DESTROY ZINYAK\\""
"HASH_83B8E07D": "\\"No.\\"\n\nWhat do you say?"
"HASH_CB8BA77D": "WAKE UP"
"HASH_5BB9E07E": "HACK [format][color:Location]RUSTY'S NEEDLE[/format]"
"HASH_7AA8917E": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_825ACF7E": "It looks like a unicorn.\n\nWhat would you like to do?\n\n"
"HASH_8801CD7E": "SLAYING HIS SECOND-IN-COMMAND ATOP A VERDANT HILLSIDE"
"HASH_E5D6D57F": "MEET [format][color:Location]JOHNNY[/format] ON SHIP"
"HASH_91FF427F": "I need a deeper understanding of the simulation. Are you game for a spot of trouble?"
"HASH_49DD177F": "GO TO [format][color:location]ARMORY ISLAND[/format]"
"HASH_77E0557F": "KILL [format][color:kill]GENKI[/format]"
"HASH_63D6F27F": "\\"TOLD YOU, KID\\""
"HASH_3B6CBC7F": "HOLD [format][color:location]POSITION[/format]"
"HASH_25EDD27F": "ME"
"HASH_66C7A37F": "Upon our arrival on their planet's surface, the head of the Theocracy, an imposing figure named Bishop Quirkzug, pleaded for not only his own life but the lives of his people. Always a fair man, I agreed to meet him on a level field of battle. Mano-a-mano as true gentlemen. I even let him select the contest. Much to my surprise, he chose:"
"HASH_CCCAA080": "CLEAR [format][color:Location]ZIN TROOPS[/format]"
"HASH_8E113880": "The more you disrupt the simulation, the more control we have."
"HASH_F9A6B980": "GO TO [format][color:location]THUNDER PUMP[/format]"
"HASH_11275780": "KINZIE'S ADVENTURES"
"M17_FAIL_BOMBS_EXPLODED": "THE BOMBS EXPLODED"
"HASH_953BEE80": "JOSH DIED!"
"HASH_65912780": "SURVIVE THE [format][color:defend]TEXT ADVENTURE[/format]"
"HASH_A7D55180": "DRINK THE WINE"
"HASH_2A897980": "Typical, no? I was now entering the proud and prejudice-filled society I had read about so eagerly just a few months prior. While Zinfax was a boor and a constant thorn in my side, I found solace in my studies. Literature had engaged me early on but the offerings of Zinkov Prep allowed me to expand into even higher-minded subjects such as intergalactic warfare and how to exploit diplomacy for personal gain. What a world of knowledge there was to explore!"
"HASH_8E635681": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_C4DD1B81": "CLEAR OUT ZIN TROOPS"
"HASH_B60C2881": "ANGEL DIED!"
"HASH_E412AD81": "\\"Sad, I wasn't done with him yet.\\"  She sighs.  \\"Then you will have to fight Matt Miller's most feared opponent.\\"\n\nWhat do you say?"
"HASH_A89C4D81": "My enemies didn't simply fall by my sword-their wills were snapped like the bones of a mouthy subordinate. I no longer had only the echo of their dying words to remember them by, I had a whole world of twisted imagery and deep-rooted doubts and phobias. Oh joy! Oh cascading bliss!"
"HASH_9F44B381": "After my time at Zinkov Preparatory Academy, I did what all young people on Zin must do: I entered the military. Prior to my days at Zinkov, I admit I did not look forward to this rite of passage but, after, I relished the idea of honing myself into the specimen I would later become."
"HASH_B7D2ED82": "ASCEND THE TOWER"
"HASH_79FF5582": "Let's see how things work here."
"HASH_8C3F1282": "GO TO [format][color:location]THE BROKEN SHILLELAGH[/format]"
"HASH_32193982": "RESCUE [format][color:defend]ASHA[/format]"
"HASH_D3BCE482": "GO TO [format][color:location]KINZIE'S HIDEOUT[/format]"
"HASH_1CC2B982": "HELP OUT ASHA"
"HASH_14F76682": "GET A [format][color:location]CAR[/format]"
"HASH_387E7482": "GO DOWNSTAIRS TO [format][color:location]KITCHEN[/format]"
"HASH_B4A02482": "One might think a place such as Zinshire would not support a fine bakery-and you would be right; it closed after a year-but it was not for lack on trying on my mother's part. She wished for her only child to have an appreciation for the finer offerings of life and she began my education with Zinkar's delectable pastries."
"HASH_04A15783": "CLEAR OUT ZIN TROOPS"
"HASH_42FDE283": "POWER PLAY"
"HASH_C4FA5283": "PURPLE OPS"
"HASH_5A3AF083": "REPEL THE BOARDERS"
"HASH_C16CEF83": "GET [format][color:use]WEAPON[/format]"
"HASH_E4433C83": "SCOUT [format][color:location]AHEAD[/format]"
"M11_FAILURE_DISCOVERED": "YOU WERE DETECTED!"
"HASH_D115CC84": "HACK [format][color:Location]PLANET ZIN[/format]"
"HASH_E2EAAB84": "CARJACK THE DATA"
"HASH_990F0284": "PLATFORMING RIFT"
"HASH_065B1B84": "A STATE OF MIND"
"HASH_DCEADF84": "KILL [format][color:kill]TERRORISTS[/format]"
"HASH_E6D5C384": "Heh. Say that again and I'll kill you."
"HASH_A574C685": "CLEAR OUT ZIN TROOPS"
"HASH_0D427585": "GO TO [format][color:location]ACTIVITY START[/format]"
"HASH_4A4EAE85": "SET BOMB"
"HASH_0248AF85": "You lift the torch out of the wall sconce and open the door. Before you stretches a dark corridor that fades into inky, tenebrous, blackness. You walk for what feels like an eternity before you realize that your torch is beginning to burn out.\n\nWhat do you do?\n\n"
"HASH_53180985": "My mother on the other hand, a gifted seamstress who married far below her station, wanted me to enjoy the things so many others could not. I remember clearly, on the eve of my thirteenth birthday, her taking me to:"
"HASH_CBE76386": "Hey, Boss, I noticed you've been a little tense. If you want to blow off some steam, I got some ideas."
"HASH_6C590886": "MEET BEN ON THE SHIP"
"HASH_3F8A9486": "THE REAL WORLD"
"HASH_BD99B086": "SHAUNDI DIED!"
"HASH_F2ED1786": "\\"I AM THE LEADER OF THE SAINTS\\""
"HASH_DB3E4586": "[format][color:blue]TOTALLY[/format]"
"HASH_4F246086": "The Simulation was not perfect. Nothing is. Even the masterwork Venus de Milo is short a couple appendages. But it was mine. And it was beautiful. For those who tested my patience by attempting escape, I had protocols in place. When needed, I intervened personally. Though it was rarely necessary. Many of the subjects thought they were exceptions to the Simulation's rule but I put everyone of them summarily back into place."
"HASH_FC519686": "A QUIZ TO DETERMINE HIS UNDERSTANDING OF BASIC ETIQUETTE"
"HASH_31F78F87": "MEET [format][color:Location]ASHA[/format] ON SHIP"
"HASH_F5BB6E87": "MEET BEN ON THE SHIP"
"HASH_0CEC5187": "EMERGENCY SITUATION"
"HASH_2BBF7D87": "To access the other simulations, we need the AI. If we have to get him a body then do it."
"HASH_4B10DE87": "RESCUE THE [format][color:defend]VIP[/format]"
"HASH_A1953387": "KILL [format][color:kill]ALIENS[/format]"
"HASH_F9BD5687": "JANE AUSTEN"
"HASH_4969F688": "WIN ZINYAK'S FAVORITE GAME SHOW"
"HASH_ADE8EC88": "SHUT DOWN [format][color:Location]HOTSPOT[/format]"
"HASH_0F354388": "THE TURN"
"HASH_B2793F88": "GO TO [format][color:location]AMBUSH[/format]"
"HASH_A8B79C88": "GRAB [format][color:use]NEWSPAPER[/format]"
"HASH_2DC67188": "COAT OF MANY COLORS"
"HASH_FA1A4C89": "RACE THROUGH THE SYSTEM"
"HASH_57718089": "MEET MATT ON THE SHIP"
"HASH_74FB5D89": "HACK [format][color:Location]FRIENDLY FIRE[/format]"
"HASH_999D9489": "FINISH HIM"
"HASH_F18FAE89": "PROTECT THE [format][color:defend]VIP[/format]"
"M17_FAIL_SHAUNDI_DIED": "SHAUNDI_DIED"
"HASH_6FED9689": "CLOSE AIRLOCK"
"M06_FAILURE_BIKE_DESTROYED": "BIKE DELETED"
"HASH_16EB8789": "ENTER [format][color:location]DINER[/format]"
"HASH_F24F0E89": "To be honest, while I enjoyed the laboratory experiments greatly, I found science as a whole to be a rather dull subject."
"HASH_802A6E89": "TRAVELING ZINSPEARE COMPANY'S \\"LE DANSE ROMANTIQUE\\""
"HASH_CF490F8A": "OBEY (AGAIN)"
"HASH_25870F8A": "STEAL DEVICE"
"HASH_D70A038B": "STOMP [format]FLOWERS[/format]"
"HASH_C4840C8C": "CLIMB [format][color:Location]TOWER[/format]"
"HASH_6E9C9E8C": "RISING ACTION"
"HASH_0A9CB68C": "MEET [format][color:Location]JOHNNY[/format] ON SHIP"
"HASH_DC2DFC8C": "ASSASSINATE ROGUE PROGRAM"
"HASH_9E02C18C": "YOU WAITED TOO LONG TO RC THE VEHICLE!"
"HASH_EA5B048C": "ALL STAG TANKS DESTROYED!"
"HASH_0E2F508C": "STOP PROPAGANDA [format][color:kill]TRUCK[/format]"
"HASH_899E1D8C": "FIND [format][color:location]EVIL YOU[/format]"
"HASH_A64E3B8C": "The planet appears to be a desert world with a radius of 3100 Km.\n\nWhat do you do?"
"HASH_7D18698D": "HACK [format][color:Location]IMAGE AS DESIGNED[/format]"
"HASH_862FC28D": "Let's do what we do best."
"HASH_D8985B8D": "DO A [format][color:location]SEXY DANCE[/format]"
"HASH_6FFBF38D": "ENTER [format][color:use]SIMULATION[/format]"
"m20_failure_homie_dismissed": "HOMIE DISMISSED! "
"HASH_9164EA8E": "MEET KEITH ON THE SHIP"
"HASH_E8BC678E": "SHUT DOWN THE HOTSPOT"
"HASH_881DAF8E": "HACKING"
"HASH_AE01D68E": "MAKE 2 MARTINI GLASSES OUT OF COCONUTS"
"HASH_15F7238E": "While I am no stranger to the Euclidean paradigm, mathematics was not the subject that drew me in."
"HASH_8A12908F": "DISRUPT [format][color:Location]SYSTEM[/format]"
"HASH_57ABE98F": "MEET [format][color:Location]KEITH[/format] ON SHIP"
"HASH_08868C8F": "MEET KEITH ON THE SHIP"
"HASH_38F1D58F": "FINISH THE KEY"
"HASH_DA76108F": "GO TO THE [format][color:location]SOURCE[/format]"
"HASH_9D7F698F": "KILL [format][color:kill]WARDEN[/format]"
"HASH_A03AE98F": "Recognition breeds contempt though and I made many enemies throughout my military career but perhaps none more scathing, more heartbreaking than Zinfob. The Brutus to my Caesar, Zinfob served with me well against the Bedardian army but his pride got the best of him when he:"
"HASH_490C4F90": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_424B8A90": "PICK A FIGHT WITH THE ZIN"
"HASH_681D3E90": "KILL [format][color:Location]TARGET[/format]"
"HASH_15F58D90": "FLY TOWARDS THE PURPLE STAR"
"HASH_901FFE91": "HACK [format][color:Location]RIM JOBS[/format]"
"HASH_E3D25891": "EXPLORE [format][color:Location]RIFT[/format]"
"HASH_52A66891": "GO THROUGH THE HOLE"
"HASH_40EF0091": "To be honest, I didn't give him much thought."
"HASH_1670A092": "We need to get back to Earth."
"HASH_2BBD5192": "OPEN"
"HASH_79773592": "HOS' HELICOPTER DESTROYED!\nKILL THE MORNINGSTAR BEFORE THEY KILL YOU!"
"HASH_D2628D93": "CHECKPOINT REACHED"
"HASH_75B96D93": "SURVIVE [format][color:Location]TRAINING[/format]"
"HASH_78583593": "BACK AWAY"
"HASH_04D1ED93": "DRINK THE WINE"
"HASH_DEC65D93": "It was a plucky young soldier named Zinjai who stood cranial crown and shoulders above the rest. I knew he would be make a fine lieutenant. But, as is customary to prove one's successor's worth, I first administered:"
"HASH_DABB0194": "MEET CID ON THE SHIP"
"HASH_61FE0A94": "HACK [format][color:Location]IMAGE AS DESIGNED[/format]"
"HASH_0171DE94": "KILL [format][color:Location]TARGET[/format]"
"HASH_4B763F94": "TOUCH  [format][color:use]SYMBOL[/format]"
"HASH_75E1A394": "PIERCE DIED!"
"HASH_380F9994": "TAKE RIFLE"
"HASH_43596795": "MEET CID ON THE SHIP"
"HASH_A597CA95": "EXPLORE THE RIFT"
"HASH_D8626F95": "PLAY IN [format][color:Location]TRAFFIC[/format]"
"HASH_DB403895": "MEET KINZIE ON THE SHIP"
"HASH_058E7795": "SATCHEL CHARGES"
"HASH_89FA5195": "MEET [format][color:location]ASHA[/format]"
"HASH_61AF0295": "RETURN TO MISSION OBJECTIVE"
"HASH_E4207995": "SPEED RIFT"
"HASH_960C4195": "OTHER"
"HASH_A123FF95": "The dull sound of a heartbeat fills the room. thumpTHUMP. thumpTHUMP. thumpTHUMP...\n\nWhat do you do?"
"HASH_51E9AB95": "\\"I AM AWESOME\\""
"HASH_DA75E195": "No, but I like the way you think."
"HASH_96F4F396": "STEAL [format][color:Location]VEHICLE[/format]"
"HASH_A5772896": "VIOLA WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"HASH_A9FBA496": "USE [format][color:power_tele]TELEKINESIS[/format] TO KILL [format][color:power_tele]ENEMIES[/format]"
"HASH_A7572D96": "I was brought before my superiors in a mock tribunal, held simply to satiate Zinfob's whim, I assure you, where I was called upon to defend myself against these allegations."
"HASH_EBF0E397": "Not bad. But that's only the beginning."
"HASH_A4698397": "NYTEFALL"
"HASH_0315CD97": "DISABLE GENERATOR"
"HASH_92C7C897": "TIME IS UP! KILLBANE ESCAPED!"
"HASH_5F934697": "COLLECT [format][color:use]WEAPONS[/format]"
"HASH_E39D5597": "REMAINED SILENT"
"HASH_D7932C97": "A MANUFACTURED HATRED OF THE ENEMY"
"HASH_129AE797": "As was my mother's wish, Zinkov Prep was an institution that prided itself on its scholastic offerings. To that end, it only accepted candidates that displayed academic prowess and further promise. So it was that I endured many weeks of standardized testing and training prior to my entrance examination."
"HASH_FA1C7298": "MEET FUN SHAUNDI ON THE SHIP"
"HASH_BD672D98": "HACK THE IMAGE AS DESIGNED"
"HASH_DF5F7D98": "THE SAINTS FLOW"
"HASH_B7BADD98": "USE [format][color:power_buff]BUFF[/format] THEN SHOOT [format][color:power_buff]WARDEN[/format]"
"HASH_EF7DC698": "EXAMINE [format][color:location]CLONING POD[/format]"
"HASH_E37F6998": "\\"I never get any visitors, you're the first person that shows up and you treat me like dirt!\\"\n\nWhat do you say?"
"HASH_AFF18998": "And who better to test the Simulation upon than my right-hand man. Zinjai was not eager to partake in the Simulation but after a brief, though intensely painful, discussion, he saw the benefits of the architect being the first to walk into his own building."
"HASH_98297798": "\\"Relied\\" is perhaps a bit strong. I certainly \\"possessed\\" an iron will but \\"relied\\" on it?"
"HASH_9FE6AD98": "\\"ZINYAK, YOU ARE NATURAL BORN LEADER.'"
"HASH_DAA84199": "ZIMOS DIED"
"HASH_63FE1499": "MEET FUN SHAUNDI ON THE SHIP"
"HASH_D02CC399": "CLIMB [format][color:Location]TOWER[/format]"
"HASH_F1A6BF99": "DESTROY [format][color:kill]TRUCKS[/format]"
"HASH_45CF8B99": "FOLLOW [format][color:location]NYTEBLAYDE[/format]"
"HASH_8B80DB99": "ENTER [format][color:use]PORTAL[/format]"
"HASH_70F3C099": "DEBUG THE [format][color:kill]ERROR SCREEN[/format]"
"HASH_F721449A": "INITIALIZE VIRUS INJECTION"
"HASH_4DF9C59A": "LOYALTY - TRAINING DAY"
"HASH_03524B9A": "DANCING QUEEN"
"HASH_E0A4BC9A": "FOLLOW [format][color:location]JOHNNY GAT[/format]"
"HASH_AE36829A": "STOMP [format][color:use]FLOWERS[/format]"
"HASH_FCDDE89A": "HONK THE [format][color:use]HORN[/format]"
"HASH_CCA91C9A": "DEFEND [format][color:defend]KINZIE[/format]"
"HASH_F395359A": "KICK [format][color:use]DOOR[/format]"
"HASH_06002A9A": "By harnessing the geothermal energy of Jetyang's molten core, the Theocracy were able to power a Dyson Sphere-like shield around their entire planet. It sparkled in the sun like a chorus line of stars pirouetting in the sheerest glimmer of light. The way it shattered in the wake of our neutronic lasers was, simply, breathtaking."
"HASH_0F832B9B": "DESTROY (DISRUPT THE SYSTEM)"
"HASH_0081E79B": "This perfect life is brought to you by Friendly Fryer."
"HASH_6F41899B": "MEET [format][color:location]PIERCE[/format]"
"HASH_8B52D69B": "ENTER THE [format][color:location]SIMULATION[/format]"
"HASH_08B5289B": "WAIT FOR THE [format][color:defend]VIP[/format]"
"HASH_35F49F9B": "PICK UP BATTERY"
"HASH_E29D469B": "As you walk towards the indigo glow, the corridor gives way to a larger cavern, and the source of the light becomes apparent... the room is lit by a massive luminescent lake. Lapping at the lake is a unicorn.\n\nWhat do you do?\n\n"
"HASH_F19DEE9B": "MURDER METER"
"M16_FAIL_ASHA_DIED": "ASHA DIED!"
"HASH_56F4D59C": "CLEAR OUT ZIN TROOPS"
"HASH_672DB89C": "MEET [format][color:Location]ASHA[/format] ON SHIP"
"HASH_1284F89C": "INITIALIZE VIRUS INJECTION"
"HASH_2080019C": "START MISSION"
"HASH_AF1AD79C": "FIND [format][color:location]BATTERY [/format]"
"HASH_05256B9C": "You do not know magic.\n\nWhat would you like to do?\n\n"
"HASH_089F809C": "GO [format][color:location]OUTSIDE[/format]"
"HASH_3A74AA9C": "TRY AGAIN"
"HASH_5475CD9C": "The first of those struggles were my parents. My father, a simple butcher, was a small man with a fierce temper. Of all the things I learned from my father, the one that sticks with me most has to be:"
"HASH_44AA829D": "ZIMOS WAS ABANDONED!\nTHE SAINTS NEED TO STICK TOGETHER!"
"HASH_6F05F49D": "MEET KINZIE ON THE SHIP"
"HASH_5ABB6D9D": "MASS MURDER (INITIALIZE VIRUS INJECTION)"
"HASH_E1B8079D": "Despite centuries of effort dedicated to that pursuit, all of their attempts at melding flesh and technology resulted in nothing greater than automated harvesting machines."
"HASH_E85F6B9E": "CARJACK THE DATA"
"HASH_9688999E": "EXPLORE THE RIFT"
"HASH_EBA3C29E": "SELECT FIRST PROTOTYPE"
"HASH_BAEB239E": "THE TRUCK WAS DESTROYED!"
"HASH_A8C06A9E": "DID NOT REACH RIM JOBS IN TIME!"
"HASH_1C210A9E": "\\"YOUR MOM'S A SLAVE\\""
"HASH_6C4F5E9E": "PUNCH A DICKHEAD"
"HASH_87C03D9F": "MEET KINZIE ON [format][color:location]THE SHIP[/format]"
"HASH_75084D9F": "FINISH [format][color:use]HER[/format]"
"HASH_38E7509F": "MATT'S BACK"
"HASH_DC307A9F": "OLEG DIED!"
"HASH_CA13CC9F": "ZIMOS DIED!"
"HASH_4CF46FA0": "RACE THROUGH THE SYSTEM"
"HASH_32239DA0": "CLEAR OUT ZIN TROOPS"
"HASH_2E3EE1A0": "Pierce needs help. BAD."
"HASH_09F7D1A0": "MISSION ABANDONED!"
"HASH_4F3049A0": "YOUR HELICOPTER WAS DESTROYED!"
"HASH_43D20BA0": "STEAL BOUNCE GUN"
"HASH_48405AA0": "You've found some Element Uno.\n\nWhat do you do?"
"HASH_EA2404A0": "SNEAKING INTO HIS BASE UNDER THE COVER OF DARKNESS"
"HASH_42679DA1": "UPLOAD [format][color:Location]VIRUS[/format]"
"HASH_783090A1": "KILL KILL DESTROY KILL"
"MOL_P01_FAILURE_PIERCE_CAR": "PIERCE'S CAR WAS DESTROYED"
"HASH_A5A484A1": "CLEAR [format][color:kill]THE DOCK[/format]"
"HASH_A3AF46A1": "TELEKINESIS RIFT"
"HASH_DEBC3EA1": "KILL [format][color:kill]RELAYED ALIENS[/format]"
"HASH_AE29AEA1": "GO TO [format][color:location]RELAY[/format]"
"sh03_failure_homie_dismissed": "PIERCE WAS DISMISSED!"
"HASH_7ED2BFA2": "HACK [format][color:Location]RIM JOBS[/format]"
"HASH_CAD496A2": "THE SOLID"
"HASH_7EE8F2A2": "PICK UP [format][color:location]VIP[/format]"
"HASH_03FD6DA2": "GO TO [format][color:location]ACTIVITY START[/format]"
"HASH_EEFD8BA2": "KILL UNICORN"
"HASH_CB43B8A2": "[format][color:defend]SURVIVE[/format] ATTACK"
"HASH_A2A3E4A2": "[format][color:location]DROP OFF[/format] SAINTS"
"HASH_EF792AA2": "START DOWNLOAD"
"HASH_400FB7A2": "MAKE A RAFT OUT OF SEAGULL CORPSES AND KALE"
"M00_FAILURE_KILLED_BY_CYRUS": "Cyrus killed you!"
"HASH_FBF942A2": "My word! What sort of barbaric school did you attend?"
"HASH_A7C10EA3": "HACK [format][color:Location]PLANET ZIN[/format]"
"HASH_B51F64A3": "SIMULATED FRAUD"
"M17_FAIL_PIERCE_DIED": "PIERCE_DIED"
"m09_open_container": "OPEN CONTAINER"
"HASH_A12A03A4": "EXPLORE [format][color:Location]RIFT[/format]"
"HASH_6CCD25A4": "SNEAK [format][color:location]AHEAD[/format]"
"HASH_072D31A4": "OLEG DIED!"
"HASH_8E7FEBA4": "CAUSE [format][color:kill]MAYHEM[/format]"
"HASH_6BC8CFA4": "SNEAKING INTO HIS BASE UNDER THE COVER OF DARKNESS"
"HASH_C3C810A4": "PROMINENT CRANIAL CROWN"
"HASH_14142DA5": "MEET SHAUNDI ON THE SHIP"
"HASH_AB282FA5": "BLOW SHIT UP IN A FUCKING TANK"
"mol_kz_01_failure_kinzie_died": "KINZIE DIED!"
"HASH_F22AA9A5": "THE GOETZ-BRAY ALLIANCE"
"HASH_6E240FA5": "A CAMP FOR ROWDY CHILDREN"
"HASH_0FA8C7A6": "GO TO [format][color:location]ACTIVITY START[/format]"
"HASH_29437FA6": "DEATH"
"HASH_3CCBFAA6": "VIOLA DIED!"
"HASH_EDB248A6": "TOUCH THE PENDULUM"
"HASH_37A5F8A6": "Possessing astute foresight as I do, coupled with my at-times all-consuming need for control, I knew that before I set out to do anything more, I must:"
