"HASH_0FFDDB00": "RECRUITING"
"HASH_5FEF4DA3": "RESPECT BONUS"
"HASH_F84C8FA3": "Harder instances of the TANK MAYHEM Activity are available in the simulation. \nCheck your MAP for locations."
"HASH_18989CA3": "Call up your understudy to fight alongside you."
"HASH_778ED2A3": "UNKNOWN"
"HASH_F80313A4": "SNIPER SCOPE UPGRADE"
"HASH_FCB761A4": "BONUS - XP"
"HASH_5C8E30A4": "Moderate reduction in damage taken from falls."
"HASH_C2270AA4": "ITEM - GAS MASK"
"HASH_0BA09AA4": "HELICOPTER"
"HASH_6B63B5A4": "THIS IS A PROTOTYPE, IF YOU SEE ME, PLEASE BUG ME"
"HASH_7C167BA4": "FT"
"HASH_B6886DA5": "Your minimap displays the shortest legal route to your objective."
"HASH_4A1E2EA5": "INSTANT RELOAD - RIFLES"
"HASH_EB1CD7A5": "It's a party in a gun! Make the world dance to your beat and fear the power of your wubs!"
"HASH_986359A5": "FLASHPOINT"
"HASH_2A44DBA6": "FASTER RELOADS 3"
"HASH_68AA47A6": "MIN"
"HASH_70F935A6": "RETRY OR EXIT MISSION"
"HASH_D2F665A7": "{0} DISMISS"
"HASH_15978DA7": "DAMAGE - FIRE 3"
"HASH_CF86B3A7": "Get down to business with Dane Vogel."
"HASH_9784D5A7": "Rain down on your enemies with a plague of explosive frogs!"
"HASH_4DC1F9A7": "REAPER DRONE"
"HASH_BE1FFBA7": "%.1f meters!"
"HASH_98F586A8": "SECURITY DELETION"
"HASH_FBB254A8": "MOLLUSK LAUNCHER"
"HASH_95DFDDA8": "AUDIO LOGS"
"HASH_029894A8": "AMMO - RIFLE 4"
"HASH_D679F6A8": "15%% bonus to ALL XP earned"
"STUN_GUN": "STUN GUN"
"HASH_7E196EA9": "You now have the Mars Rover available at your Gateway Garage"
"HASH_FF09EAA9": "You have unlocked the Bloody Mess cheat."
"HASH_5B810FA9": "It's a grenade; it hurts when it explodes."
"WPNCAT_MELEE": "MELEE"
"HASH_54D654A9": "5 YEARS LATER..."
"HASH_CD5FA2AA": "If a follower loses all their health, you have only a few seconds to reach and revive them."
"HASH_D0A5B8AA": "HEALTH - REGEN 4"
"HASH_58B49CAA": "You now receive a 10%% bonus to Hourly City Income from the Stanfield district."
"HASH_861BB6AA": "CONFIRMING STRONGHOLD START WITH %ls"
"HASH_2B2129AA": "A dozen guns, a rocket launcher, and a flamethrower, all wrapped together behind one convenient trigger."
"HASH_543E4CAA": "YOU CAN'T VISIT HERE DURING THIS ACTIVITY"
"HASH_F48F91AA": "KILL COMMAND C.I.D."
"HASH_75FDC1AB": "VIRUS COLLECTION"
"HASH_9F8585AB": "Image As Designed allows you to change your appearance, taunts, and compliments. "
"HASH_7C238AAB": "DISTRICT CASH PER HOUR"
"HASH_5C564AAB": "You reload all weapons faster"
"HASH_180A03AB": "OUTFIT - MOCAP SUIT"
"HASH_6D93FDAB": "SHAUNDI"
"HASH_6CDD93AB": "JULIUS"
"HASH_0AB849AB": "ENTER WATERCRAFT"
"HASH_09B517AC": "{MENU_DP_LEFT_IMG} TAUNT \n{MENU_DP_RIGHT_IMG} COMPLIMENT \nInteract with people and gain [format][color:purple]XP[/format] by taunting and killing Aliens."
"HASH_8200C7AC": "Show off your goods for cache!"
"HASH_C441D0AC": "BONUS - XP"
"HASH_4E42DAAC": "SPECIAL OPS VEHICLE PACK"
"HASH_265128AC": "Player health is increased by 50%%"
"HASH_A81DDCAC": "RANK UP"
"HASH_73E0A5AD": "Tattoo parlors allow you to customize your character. Buying Tattoos earns [format][color:purple]XP[/format]."
"HASH_68422EAD": "DUAL WIELD - SMGS"
"HASH_81E3B1AD": "Equip the Sonic Boom weapon at your Crib Weapon Cache."
"HASH_C3FFDBAD": "You have unlocked more of the TRAFFICKING Activity. \nCheck your MAP for locations."
"HASH_4E94B5AD": "TELEKINESIS"
"HASH_E3CE90AD": "UNLOCKED"
"HASH_AD4BFFAD": "PRESS"
"HASH_6F39C3AD": "OPEN DOOR"
"HASH_F36F35AD": "Switch Hitter"
"HASH_8E4CBAAD": "I Am Become Death"
"HASH_F1692DAE": "NOTORIETY WIPE - POLICE"
"HASH_7BBA4AAE": "BONUS - LUMP SUM DEPOSIT"
"HASH_3EECDDAE": "Retrieve the Tank at your Gateway Garage."
"HASH_BD6810AE": "BUFF"
"WPNCAT_PISTOL": "PISTOL"
"HASH_287BB6AF": "AMMO - SHOTGUN 2"
"HASH_2EA6ECAF": "AMMO - GRENADES 3"
"HASH_BA347BAF": "HOMIE - ZIMOS"
"HASH_4F13AFAF": "REVIVE - SPEED"
"HASH_51D45CAF": "Fourth and Forty"
"HASH_0C2DDAB0": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} RAGDOLL \nThrow yourself into cars, objects, and buildings to break the rules of the simulation."
"HASH_E662BDB0": "BLAZIN"
"HASH_BD5A8DB0": "MAYHEM"
"HASH_9C7D64B0": "Instantly reload your rifles"
"HASH_D6E0F0B0": "Anyone representing Ultor needs to look the part.  This sexy one piece puts the class back in assassination."
"HASH_EF09E4B0": "Call in the Genki Girls to back you up."
"HASH_6E60B7B0": "Why play with a tiny remote-controlled car when you can remotely control a full size vehicle!"
"HASH_BD0954B0": "FLASHPOINT"
"HASH_321BBEB1": "{ATTACK_PRIMARY_IMG} FIRE TURRET WEAPON \nWhile in a vehicle with a turret. "
"HASH_4D8B58B1": "BONUS - CACHE TRANSFER RATE"
"HASH_89B181B1": "Rewards tied to Decker mission choices are now in effect."
"HASH_F2FBA1B1": "THE GROVE"
"HASH_365B8BB1": "TINY PISTOL"
"HASH_475F56B1": "The devastating special attack coined by Killbane now in portable gloves!"
"HASH_862077B1": "HEALTH"
"HASH_3D1820B2": "SAINTS BACKUP"
"HASH_BDCF35B2": "Cannot retrieve vehicle from this location."
"HASH_724B37B3": "Your Alien Notoriety will decay at a faster rate"
"HASH_A67EA6B3": "TRANSFER LIMIT"
"HASH_37CC3EB3": "LASERGUN ARM"
"HASH_3F0002B3": "%ls has been dismissed!"
"HASH_C4DAE8B4": "Everything from driving dangerously to killing enemies earns XP. XP increases your Rank and unlocks Upgrades."
"HASH_3D29DFB4": "AMMO - SPECIAL 4"
"HASH_17B331B4": "GANG - FOLLOWERS 2"
"HASH_554E43B4": "Control the time of day of the simulation by accessing the computer terminal on the ship."
"HASH_ECAD02B4": "You now receive a 5%% bonus to all Respect earned for acquiring the Mega Brothel crib."
"HASH_BB1179B4": "Revive followers much faster."
"HASH_064566B4": "Your City Income Transfer Limit is increased for upgrading the Three Count crib."
"HASH_3AAFFEB5": "NOTORIETY"
"HASH_A36B37B5": "This weapon has a limited number of uses and cannot be carried like regular weapons. It must be dropped to enter vehicles."
"HASH_8A1CD7B5": "NYTE BLAYDE"
"HASH_6A82E0B6": "Kill Killbane but Shaundi will die"
"HASH_9FECB3B6": "AMMO - SHOTGUN 4"
"HASH_46BB81B6": "HOMIE - NYTEBLAYDE"
"HASH_6E7ADBB6": "You can now have Gimps in your gang."
"HASH_71A4D1B6": "Everyone you kill becomes a bloody mess"
"HASH_36E8AAB6": "MISSILES"
"HASH_2C3E52B7": "RESPECT BONUS"
"HASH_613EAAB7": "Deep Silver weapon costume for the SWAT SMG."
"HASH_862267B8": "{ATTACK_SECONDARY_IMG} DETONATE OCTOPI \nHitting people with a Genki Octopus causes them to fight on your side. The Octopi can be manually detonated at any time."
"HASH_572E7DB8": "HEALTH - UPGRADE 4"
"HASH_056168B8": "SKILL - SCAVENGER"
"HASH_E6F06BB9": "REWARD: STAG City Takeover Assistance"
"HASH_9ABF93B9": "RESPECT BONUS"
"HASH_5A2968B9": "Kick some ass with King."
"HASH_041CC6BA": "VEHICLE DEALERSHIPS"
"HASH_AA5D85BA": "By killing every marked enemy at a Flashpoint you will take control of that area."
"HASH_B3AB33BA": "SILVERLINK - WEAPON COSTUME"
"HASH_B0C4A7BA": "Your City Income Transfer Limit is increased for upgrading the Mega Brothel crib."
"HASH_21119EBA": "SWAP - CACHE FOR XP 3"
"HASH_8EC7BCBA": "HOTSPOT"
"HASH_116238BB": "Tank Homie can be found in your HUB \\"PHONE\\" menu. He will deliver a tank to you in combat."
"HASH_CD5F08BB": "Josh can be found in your Cell Phone \\"PHONE\\" menu. He will help the Saints in combat."
"HASH_EBBB39BB": "BONUS - CACHE BOOST"
"HASH_7AD2A5BB": "TRANSFER LIMIT"
"HASH_5A4243BB": "DAMN THAT'S TALL!!!"
"HASH_02B2C1BB": "Epic Jump Quest"
"HASH_7AD56ABC": "GIANT LADLE"
"HASH_053D94BD": "TK MAYHEM"
"HASH_D4FBDEBD": "Unlimited rifle ammo"
"HASH_C4CAF6BD": "Your Morningstar Notoriety will decay at a much faster rate"
"HASH_17D53DBD": "Are you sure you want to leave the Rift?\n You will lose all progress since the last checkpoint."
"HASH_D46D52BD": "YOU CAN'T VISIT HERE DURING THIS MISSION"
"HASH_81346EBD": "OPEN DOOR"
"HASH_4A9338BD": "YOU CAN ONLY STORE AIRPLANES HERE"
"HASH_DC1330BE": "TEMPORARY WEAPONS"
"HASH_262D12BE": "WEAPON - CHAINSAW"
"HASH_6333D8BE": "SILVERLINK - CHEAT"
"HASH_9C991DBE": "DUMB FIRE MISSILE"
"RIFLE_NG": "BURST RIFLE"
"HASH_4AF99DBE": "MINUTES"
"HASH_A99513BF": "MAYHEM"
"HASH_9B39A1BF": "BLAZIN"
"HASH_596DD7BF": "{ATTACK_PRIMARY_IMG} FIRE BLASTER"
"HASH_50922BBF": "STAMINA - INCREASE 4"
"HASH_485DCBBF": "FRAUD"
"HASH_F9516EBF": "You now have a prototype tank available at your Gateway Garage"
"HASH_AB8C9EBF": "ZOMBIE GAT"
"HASH_4555B6BF": "DUBSTEP GUN"
"HASH_D3BBC7BF": "%ls has left you!"
"HASH_2FC8CBC0": "ACTIVITY COMPLETE"
"HASH_FEC01EC0": "Carry 75%% more shotgun ammo"
"HASH_F81D44C0": "Carry 50%% more grenades"
"HASH_2E46E8C0": "Your Notoriety will decay at a slightly faster rate"
"HASH_7F7D70C0": "Super Strength! Increases the power of your punches and how far you can throw people."
"HASH_0ACACDC0": "WEAPON CACHE AMMO"
"HASH_9BBB5FC1": "PLASTIC SURGEONS"
"HASH_B6897DC1": "GARAGE - NEW VEHICLES"
"HASH_79C9C4C1": "SILVERLINK - CACHE BOOST"
"HASH_DF0306C1": "GANG CUSTOMIZATION"
"HASH_0476F7C1": "Collectible items are highlighted in the world"
"HASH_3732A0C1": "PORT PRYOR"
"HASH_B6762DC2": "You now have this helicopter available at your Gateway Garage"
"HASH_FA7A27C2": "Great reduction in damage taken from explosions."
"HASH_6CF37AC2": "GANG - REVIVE TIMER"
"HASH_5111AFC2": "{0} secs"
"HASH_9077B7C3": "REWARD: Apoca-Fist weapon"
"HASH_B22735C3": "VEHICLE CUSTOMIZE"
"HASH_7F418EC3": "SUPER SPRINT"
"HASH_274607C3": "Bring in Nyte Blayde to fight alongside you."
"HASH_4AE218C3": "FLASHPOINT COMPLETED %d/%d"
"HASH_C3B60DC3": "Elementary"
"HASH_AAA1E7C4": "STOMP MAYHEM"
"HASH_4463C8C4": "More of this Activity is now available; check your Map {MAP_MENU_IMG} to find it."
"HASH_D48DB5C4": "EXO-SUIT"
"HASH_B5CCBCC4": "YOU CAN ONLY STORE HELICOPTERS AT A CRIB WITH A HELIPAD"
"HASH_B5C97EC4": "There Is No Pancakes"
"HASH_517E47C5": "HOMIE - HEALTH INCREASE 3"
"HASH_B91BD8C5": "GANG - WEAPONS - RIFLES"
"HASH_5CFD76C5": "You now receive a 15%% bonus to Hourly City Income from the New Colvin district."
"HASH_6A9B35C5": "ASHWOOD"
"HASH_2F0483C5": "CONFIRMING START WITH %ls"
"HASH_456492C6": "Purchase Upgrades to make you, your cars, and your gang better, stronger, and more deadly."
"HASH_863E1DC6": "STREAKING"
"HASH_B1D746C6": "Cause widespread carnage with the weapons provided."
"HASH_346E78C6": "NOTORIETY - ALIEN 3"
"HASH_2ECBB7C6": "GANG CUSTOMIZATION"
"HASH_5DBB94C6": "Suck the blood of your human shield to regain health while killing them"
"HASH_09B849C6": "Settle scores with William Sharp."
"HASH_CFA752C6": "SHAUNDI"
"HASH_A408F6C6": "Trades full-auto ability for accurate burst fire."
"HASH_CFF237C7": "HOURLY CACHE TRANSFER"
"HASH_A95D68C7": "You can now have Morningstar in your gang."
"HASH_67992DC7": "SUIT - ULTOR ASSASSIN"
"HASH_82EFB9C8": "NOTORIETY - MORNINGSTAR 2"
"HASH_617AB4C8": "ACTIVITY"
"HASH_34899EC8": "STORE IN USE BY PARTNER"
"HASH_560FCBC8": "SCANNING TARGET"
"HASH_3BAE34C9": "VOLITION COMICS PACK"
"HASH_26AA83C9": "VEHICLE - SAINTS MILITARY VEHICLES"
"HASH_FD4351C9": "You can now have Luchadores in your gang."
"HASH_1BAC9CC9": "Recruit Three Saint followers. Press {RECRUIT_DISMISS_IMG}  to recruit nearby Saints."
"HASH_CAD109C9": "MELEE - POWER 2"
"HASH_6EAD9EC9": "SIGNAL {0}"
"HASH_36EDE8C9": "MILES"
"HASH_C525B4C9": "EXIT DIVERSION"
"HASH_8D3C6ACA": "REWARD: Lump Sum Cash Payout"
"HASH_FF4E24CA": "Carry 50%% more rifle ammo"
"HASH_9E36A7CA": "ADD VEHICLES TO ACCESS GARAGE"
"HASH_1C6484CA": "OBJECTIVE COMPLETE"
"HASH_326CD6CA": "GENKI LAUNCHER AMMO"
"HASH_725640CA": "You Chose... Poorly"
"HASH_C9C36CCB": "{CRUISE_CONTROL_B_IMG} ENTER CRUISE CONTROL \n{BRAKE_REVERSE_IMG} / {ACCELERATE_IMG} CHANGE CRUISE SPEED \nCruise control maintains your vehicle speed allowing you to focus on shooting."
"HASH_EA7CB7CB": "You now receive a 10%% bonus to Hourly City Income from the Carver Island district."
"HASH_6204DBCB": "A hefty punch in a small package. "
"HASH_BFFB9CCB": "TOGO-13"
"HASH_063089CC": "{ATTACK_PRIMARY_IMG} to fire your current weapon"
"HASH_B08A30CC": "{GAME_CASH}%ls is available in the Hub \\"CACHE\\" menu. Each hour you earn {GAME_CASH}%ls from controlling areas of the simulation."
"HASH_B40265CC": "TRANSFER LIMIT"
"HASH_83638FCC": "ALT FIRE MODE"
"HASH_A03F10CD": "NOTORIETY - DECKERS 2"
"HASH_075835CD": "BLOODSUCKER PACK"
"HASH_029F56CD": "You now have a set of Aircraft available at your Gateway Garage"
"HASH_1CF3E2CD": "Carry 75%% more pistol ammo"
"HASH_A62CFDCD": "DAMAGE - VEHICLE"
"HASH_8B1C67CD": "+{0} SEC"
"HASH_A2407BCE": "HUMAN SHIELD - QUICK KILL"
"HASH_CFEFACCE": "TANK MAYHEM"
"HASH_76C6D3CE": "RESPECT BONUS"
"HASH_025FBECE": "Carry 25%% more explosive ammo"
"HASH_F1D135CE": "Customize this Stronghold at the 'Burns Hill Reactors' Crib to receive huge bonuses."
"HASH_3CF7EACE": "Your City Income Transfer Limit is increased for upgrading the Powder crib."
"HASH_779FE9CE": "BLACK HOLE LAUNCHER"
"HASH_593200CE": "DAMAGE"
"HASH_6C2876CF": "STRONGHOLDS"
"HASH_68052DCF": "{MAP_MENU_IMG} ACCESS UPGRADE STORE \nYou just Ranked up! \nNew Upgrades are available for purchase at the Upgrade Store."
"HASH_9BA1BCCF": "GARAGE - NEW VEHICLES"
"HASH_B418B5CF": "Twice as much Cache is dropped by deleted simulations"
"GRENADE": "GRENADES"
"HASH_CE8CA3CF": "{0}BRONZE[/format] {1}"
"HASH_6A08F3CF": "Bringin' the Heat"
"HASH_22787CD0": "{HELI_UP_IMG} INCREASE ELEVATION\n{HELI_DOWN_IMG} DECREASE ELEVATION\n{VTOL_TRANSITION_IMG} SWITCH FLIGHT MODE"
"HASH_059F42D0": "HUMAN SHIELD"
"HASH_0BCBDAD0": "GARAGE"
"HASH_EB2BDBD0": "UPGRADED RPG"
"HASH_04B0BBD0": "This upgrade is hidden until you discover it"
"HASH_A4EE50D0": "Great reduction in damage taken from fire."
"HASH_FCFF78D0": "PLEASANTON"
"HASH_7A3890D0": "LEAVING RESTRICTED ZONE"
"HASH_E53772D1": "CRIB - 3 COUNT CASINO"
"HASH_908BAAD1": "CAMANO PLACE"
"SMG_GANG": "HEAVY SMG"
"HASH_BF18E9D1": "The Challenge King"
"HASH_6265A2D2": "You are low on ammo. Visit a Friendly Fire store {MAP_IMG_WEAPON} to purchase more."
"HASH_921B6AD2": "Great reduction in damage taken from bullets and lasers."
"HASH_12DFE8D2": "Shaundi's Ex's Apartment is now a Saints Crib. Access your Weapons Cache, and Clothes here."
"HASH_E98D98D2": "Have a tank delivered."
"HASH_B2856FD3": "You have completed this diversion!  You can still play the diversion to earn more [format][color:purple]XP[/format] or cache."
"HASH_B0359CD3": "SILVERLINK - CACHE"
"HASH_EDF7EDD3": "DAMAGE - FALL 2"
"HASH_479145D3": "Dominate the Dominatrix with Donnie"
"TENTACLE_BAT": "TENTACLE BAT"
"HASH_C64863D3": "Here! Catch!"
"HASH_625305D4": "REWARD: Vehicle customization cost reduction"
"HASH_FBBEB5D4": "NOTORIETY - FASTER DECAY 2"
"HASH_6AD03AD4": "Customize this Stronghold at the '3 Count' Crib to receive huge bonuses."
"HASH_AF64F1D4": "Unlimited Sprinting."
"HASH_E1DC65D4": "Wipe your current Notoriety."
"HASH_85CA79D5": "BONUS - HO BUSINESS"
"HASH_8F63CED5": "Carry 75%% more SMG ammo"
"HASH_4E1F33D5": "'MERICA"
"HASH_7CC847D5": "BEHEMOTH"
"HASH_38F4A1D6": "UPGRADE STORE"
"HASH_C32423D6": "Race through Cyberspace hitting [format][color:blue]Decker targets[/format] while avoiding [format][color:red]Firewalls[/format] before the time runs out."
"HASH_26C11BD6": "HOMIE - TANK"
"HASH_FAFC2BD6": "HOMIE - JOSH BIRK"
"HASH_6740FBD6": "Maximize the length of the Stamina bar."
"HASH_BB8FFED6": "Repair Homie can be found in your Cell Phone \\"PHONE\\" menu. He will repair your current vehicle."
"HASH_98E2C9D6": "Your City Income Transfer Limit is increased for upgrading the Nuke Plant crib."
"HASH_6487EAD6": "ZINYAK"
"HASH_CBA2ABD6": "Double Team"
"HASH_20B6EBD7": "{ACTION_IMG} THROW SHIELD"
"HASH_01034ED7": "Cause widespread carnage by throwing balls."
"HASH_2F796DD7": "Take Remote Control of civilian vehicles with the RC POSSESSOR, now available at your Crib Weapon Cache."
"HASH_8CDFBCD7": "Your Deckers Notoriety will decay at a slightly faster rate"
"HASH_A79AAED7": "The Zin's secret weapon is at your disposal!"
"HASH_AAF3B2D7": "Increase all Cache received by 25%%"
"HASH_8669FDD7": "YOU CAN'T STORE DOWNLOADABLE CONTENT YOU HAVE NOT PURCHASED"
"HASH_8E74AED8": "ARMOR BLASTER"
"HASH_3E7274D8": "Protect your Contact using the attack helicopter."
"HASH_E65026D8": "CRIB - SAINTS PENTHOUSE"
"HASH_66FC92D8": "Carry 25%% more special ammo"
"HASH_D13B7FD8": "New Downloadable Content skills and reward tiers are now available!"
"HASH_594BBDD8": "PAUSED"
"HASH_B55CF8D8": "Hack successful!"
"HASH_7750C3D9": "SATCHEL CHARGES"
"HASH_DC4DCDD9": "{ATTACK_SECONDARY_IMG} SECONDARY FIRE \nThis weapon has a secondary fire mode available."
"HASH_5EDE82D9": "AMMO - PISTOL 4"
"HASH_7000BFD9": "Warrior gear that's revealing and protective."
"HASH_73D4A0D9": "Moderate reduction in damage when hit by a vehicle."
"HASH_20713ED9": "You store 10%% more ammo in your Crib Weapon Cache."
"HASH_4E9AC6D9": "Have Tanya do your bidding."
"HASH_EDF2DCD9": "Are you sure you want to leave the Mission?\nYou will lose all progress since the last checkpoint."
"HASH_0F3D2AD9": "YOU CAN'T VISIT HERE DURING THIS STRONGHOLD"
"ANAL_PROBE": "RECTIFIER PROBE"
"HASH_081300DA": "FRAUD"
"HASH_FCD025DB": "{ACCELERATE_IMG} ACCELERATE \n{BRAKE_REVERSE_IMG} BRAKE + REVERSE \n {ANALOG_LS_IMG} lets you pop wheelies and perform stoppies."
"HASH_9453DCDB": "Lock-on to vehicle targets by Zooming {SHOULDER_CAMERA_IMG}. \nControl the launched rocket by aiming your reticule."
"HASH_836FADDB": "OUTFIT - INTERGALACTIC WARRIOR"
"HASH_2BD52DDB": "CRIB - POWDER"
"HASH_7BA0BADC": "WEAPONS FIRE"
"HASH_D7FB3FDC": "AMMO - EXPLOSIVE 3"
"HASH_D8E01ADC": "GANG - HEALTH INCREASE 2"
"HASH_EDCD7EDC": "New Downloadable Content available in your Gateway Wardrobe."
"HASH_F0C9C9DC": "Saints Military Vehicles."
"HASH_DA706CDC": "The space costume has been added to your Crib Wardrobe"
"HASH_5D2C23DC": "DAMAGE - EXPLOSIVE 4"
"HASH_AFDC0FDC": "OLEG"
"HASH_F7A93FDC": "LOCKED"
"HASH_67AFDDDD": "{CBA_OFC_HS_EXECUTE_IMG} QUICK MELEE BASH"
"HASH_A2DAB8DD": "After filling the adrenaline meter, use adrenaline mode to chain together crazy amplified hits!"
"HASH_2A202ADD": "VEHICLE - WATERCRAFT"
"HASH_A29929DD": "VEHICLE - GUNSHIP"
"HASH_0CC3D3DD": "Hourly Cache Transfer of {game_cash}2,500"
"HASH_8D4873DD": "Every vehicle you drive has nitrous.  Press {NITRO_IMG} to engage."
"HASH_F71680DD": "Health regenerates faster"
"HASH_FA9BF4DD": "Completes city takeover automatically"
"WPNCAT_RIFLE": "RIFLE"
"HASH_202778DE": "INSTANT RELOAD - PISTOLS"
"HASH_FF7236DE": "OUTFIT - THE IRON ROGUE"
"HASH_5F0A29DE": "REWARDS - LUCHADOR"
"HASH_8FAAEDDE": "BLAST"
"HASH_BA8A00DE": "GL G20"
"HASH_3E9124DF": "Enemy Notoriety can be wiped by catching the Master Controller when it appears."
"HASH_292D6EDF": "AMMO - RIFLE 2"
"HASH_E409FBDF": "DAMAGE - SMALL ARMS"
"HASH_A0E2E7DF": "NEW COLVIN"
"HASH_396D8ADF": "CRICKET BAT"
"HASH_CC2AA3DF": "GUIDED MISSILE"
"HASH_D764CBDF": "And I Ran..."
"HASH_C50E47E0": "CAMERA ZOOM"
"HASH_AC3125E0": "THE RECTIFIER"
"HASH_C4D8D6E0": "The grim metal visage will fill your enemies with fear!"
"HASH_5A0C04E0": "TRANSFER LIMIT"
"HASH_F2FD83E1": "Carry 25%% more pistol ammo"
"HASH_913FD0E1": "You now receive a 10%% bonus to all Respect earned for upgrading the Powder crib."
"HASH_48229CE1": "DAMAGE - VEHICLE 3"
"HASH_D8385EE1": "Have a homie deliver you a random weapon.   CUT"
"HASH_7E8502E2": "YOU DIED!"
"HASH_98C8B2E2": "RESPECT BONUS"
"HASH_EC51DFE2": "Carry 75%% more explosive ammo"
"HASH_439017E2": "Increase all Cache received by 10%%"
"HASH_D2F98BE2": "Your City Income Transfer Limit is increased for acquiring the Powder crib."
"HASH_52456DE2": "WEAPON CACHE AMMO"
"HASH_568FA2E2": "WEAPON CACHE AMMO"
"HASH_BBEC23E2": "%ls FOUND A COLLECTIBLE YOU MISSED"
"HASH_01324AE2": "VIOLA"
"HASH_D91068E3": "DIVERSIONS"
"RIFLE_LASER": "ALIEN RIFLE"
"HASH_5CCE90E3": "NEW QUEST"
"HASH_8AFF36E4": "The Simulation has security programs everywhere. Hunt them down."
"HASH_87D56DE4": "Recover lost memories while learning untold stories from your and your allies past."
"HASH_CDB0CFE4": "SILVERLINK - XP BOOST"
"HASH_3F9E67E4": "Zimos' Pad is now a Saints Crib. Access your Weapons Cache, and Clothes here."
"HASH_1A15DDE4": "Angel's place is now a Saints Crib. Access your Weapons Cache, and Clothes here."
"HASH_79E80FE4": "ESPINA"
"HASH_F5A2FDE5": "Recruit One Saint Gang Member as a Follower."
"HASH_CBBC2AE5": "Wipe your current Gang Notoriety."
"HASH_2FD13EE6": "VEHICLE TURRETS"
"HASH_1BA203E6": "AMMO - GRENADES 4"
"HASH_D0AD7AE6": "You now have this helicopter available at your Gateway Garage"
"HASH_049448E6": "DAMAGE - FALL 4"
"HASH_C83FA0E6": "You can't customize your partner's car."
"HASH_D21D99E6": "Fires three beams at once. More firepower, less aiming.  What's not to love?"
"HASH_A0770FE7": "SNATCH"
"HASH_B6D747E7": "You can now have Deckers in your gang."
"HASH_3FD64AE7": "VIPER LASER RIFLE"
"HASH_D75620E7": "ALIEN PISTOL"
"HASH_7BAC11E8": "JEWELRY STORES"
"HASH_B4B891E8": "SNATCH"
"HASH_E5A076E8": "Hourly Cache Transfer of {game_cash}1,000"
"HASH_1E7525E8": "Health regenerates extremely fast"
"HASH_550A31E8": "Upgrade your gang members to carry SMGS"
"HASH_2D588AE8": "New Downloadable Content outfits are available in your Crib Wardrobe."
"HASH_557A90E8": "YOU VOTED TO SKIP"
"HASH_89F33DE8": "LASER BEAM"
"RIFLE_DISINTEGRATOR": "DISINTEGRATOR"
"grenade_electric": "ELECTRIC GRENADES"
"HASH_3CEE91E8": "Bouncin' with an Old Friend"
"HASH_E5ED5BE9": "A Diversion meter shows up here when you're doing something special that rewards XP. The more it fills up the more XP you get."
"HASH_BF7026E9": "HOMIE - HEALTH INCREASE 1"
"HASH_9C304EE9": "WEAPON - THE RECTIFIER"
"HASH_B2F317E9": "You now receive a 5%% bonus to Hourly City Income from the New Colvin district."
"HASH_B44F86E9": "DAMAGE - EXPLOSIVE 2"
"HASH_97C9B6EA": "BOAT CONTROLS"
"HASH_DA6019EA": "NOTORIETY - ALIEN"
"HASH_79973BEA": "Angel can be found in your Cell Phone \\"PHONE\\" menu. He will help the Saints in combat."
"decker_sword": "NOCTURNE"
"HASH_06F8ECEA": "The Face of the Saints"
"HASH_B691C5EB": "Start Co-op Stronghold?"
"HASH_530BBDEB": "Tag team it with Angel."
"HASH_F406D3EB": "XP"
"HASH_2E48E1EC": "Use {ANALOG_RS_IMG} to find the target's weak spot. \nKeep {ANALOG_RS_IMG} there then push {ANALOG_LS_IMG} in time with the arrows to pound that spot."
"HASH_10CE7FEC": "Carry 25%% more shotgun ammo"
"HASH_C04889EC": "Your Notoriety will decay at a much faster rate"
"HASH_917311EC": "Fisticuffs much? Your punches are now very powerful, and you can throw people much further."
"HASH_9AB705EC": "You will not take ANY damage when hit by a vehicle."
"HASH_CC4F58EC": "Hang out and chill out with 'classic' Shaundi"
"HASH_55DEBDEC": "%ls AND %ls TO ZOOM IN AND OUT"
"HASH_B03D76EC": "Blast from the Past"
"HASH_C9BBADED": "HOMIE - REPAIR"
"HASH_ABC9CEED": "You now have the prototype Jet Bike available at your Gateway Garage"
"HASH_501987ED": "Woah."
"HASH_A0AA5EEE": "DISTRICT CASH PER HOUR"
"HASH_6A0C08EE": "OUTFIT - KABUKI WARRIOR"
"HASH_D09C7BEE": "Heli Homie can be found in your HUB \\"PHONE\\" menu. He will deliver a helicopter to you in combat."
"HASH_147446EE": "Minor reduction in damage taken from explosions."
"HASH_82FD1BEE": "GANG - REVIVE TIMER 3"
"HASH_F74316EE": "CRIB - SAFEWORD"
"HASH_B15F4CEE": "AMBULANCE"
"HASH_0B9FB7EF": "HOSTAGE"
"HASH_0FC803EF": "WEAPON - REAPER DRONE"
"HASH_01F6DFEF": "INSTANT RELOAD - SHOTGUNS"
"HASH_F3EE6EEF": "OUTFIT - ALTAR BOY"
"HASH_D3C293EF": "The real American Dream."
"HASH_D87D79EF": "You store 10%% more ammo in your Crib Weapon Cache."
"HASH_AADC5BEF": "Fires compressed energy bolts that bounce from target to target.  Fun at parties!"
"HASH_DE7D09F0": "[format][color:green]SPARE KILLBANE[/format]"
"HASH_39F55EF0": "AMMO - EXPLOSIVE"
"HASH_83F890F0": "BRICKSTON"
"HASH_C7EFD5F0": "GENKI BACKUP"
