"HASH_B9F9F000": "Maybe later, alright?"
"HASH_0A44D1E5": "Oof!"
"HASH_BDAAA1E5": "I touched it."
"HASH_57BE31E5": "Lemme hear ya scream!"
"HASH_72E981E5": "I got the same problem, I never get to just sit down and relax without being pestered by the missus."
"HASH_628A79E5": "When am I ever NOT ready?"
"HASH_FEA559E5": "Hot stuff!"
"HASH_20DF71E5": "It's time to take out Zinyak.  Are you ready?"
"HASH_C4AEA5E6": "Shit. Get ready."
"HASH_3CF475E6": "Do not put that image in my head."
"HASH_F575C5E6": "Like cabinet meetings."
"HASH_B0A64DE6": "Pleasure doing business... I think."
"HASH_EA939DE6": "Johnny I have so many ques-"
"HASH_B97C75E6": "All done.  What's next."
"HASH_0D36A9E6": "Why is Gat's pod so much different than the others."
"HASH_421EBDE6": "There's a giant glass orb here, Kinzie."
"HASH_1D2D15E6": "How is it we always end up in situations like this?"
"HASH_4023F5E6": "Oh god. Why don't they have these things in the real world?"
"HASH_09D4C9E6": "It won't get destroyed, I promise."
"HASH_8B41A9E6": "I got superpowers. Let's do this."
"HASH_81119DE6": "What the hell is she doing?"
"HASH_57AF81E6": "I'm trying to save you!"
"HASH_6E4141E6": "If you don't start telling me how you can help me save my friends I'm walking."
"HASH_18F6C1E6": "That sounds awesome."
"HASH_E1F56DE6": "Shaundi, aren't we supposed to be going after--"
"HASH_6B1E61E6": "Boss, Kinzie's..."
"HASH_934755E6": "One hell of a jump start!"
"HASH_9008E9E7": "Are you kid- what the fuck is on the screen?"
"HASH_96D4C1E7": "Woo. Tingly."
"HASH_3A4661E7": "Shit, watch the eye beams!  Block!"
"HASH_F21605E7": "I was also busy saving my favorite hacker from a lifetime of bad sweaters."
"HASH_0CF101E7": "I've tried shutting it down remotely. I can't."
"HASH_ACC8B5E7": "Seriously, more shieldbots?"
"HASH_C97F65E7": "The Zin have barricaded the road."
"HASH_312DD9E7": "Indeed I do."
"HASH_145C5DE7": "No worries, Kinzie. I got this."
"HASH_A9CB75E7": "No.  "
"HASH_C4C021E8": "I hope your whole empire's watching."
"HASH_35E499E8": "Zinyak, this ain't pride... This is karma."
"HASH_76CBD1E8": "Fine..."
"HASH_605D51E8": "Is it behind the one that's gonna crash?"
"HASH_8E59DDE8": "Kinzie, go."
"HASH_27C331E8": "Come again?  Are you putting in people who want to kill me?"
"HASH_7C1195E8": "You've gotta be fucking joking."
"HASH_24E2CDE8": "Killed me?  I don't think so sweetie."
"HASH_1386EDE8": "DELETE"
"HASH_7F172DE8": "Bullshit."
"HASH_58B14DE8": "So what're we hoping to find here?"
"HASH_24D7D5E8": "No.  "
"HASH_C31D2DE8": "Are you fucking kidding me?"
"HASH_067BE9E8": "Incoming!"
"HASH_8743A1E8": "Who schedules a press conference for this early in the morning?"
"HASH_C48509E8": "One moment, please."
"HASH_EA1151E8": "I wrote the original short story between Seasons 2 and 3, when it seemed NyteBlayde may be retiring so he set about finding the one person who could take his place--"
"HASH_CE4815E8": "Fine..."
"HASH_EE4739E8": "So why don't you do this yourself?  Where are you anyway?"
"HASH_7DEBF9E8": "Just talk to me Ketih..."
"HASH_53FEB1E8": "Nice work, Oleg."
"HASH_CB65B9E9": "Could use some more stripper poles in the bedrooms, too."
"HASH_5EE1A9E9": "Zinyak fucked with Biz Markie..."
"HASH_CF4169E9": "Fuck me..."
"HASH_843639E9": "Alright, I'll play your game.  Consider it done."
"HASH_FF5CC1E9": "DELETE"
"HASH_F71D85E9": "Let's get to the cockpit and fly the hell away from these bastards."
"HASH_015D25E9": "You stole my crew!"
"HASH_53D7F1E9": "So I'm in here, and I'm also in the simulation.  A younger, stupider me is still in the simulation.  How the hell does that even work?  And how come nobody else is having this crazy split-personality experience?  You know what, forget it.  I'm going to pretend none of this is happening."
"HASH_7B8071E9": "The fight against the creatures of the night and the fellows that turned on him must continue, Matt. Don't let Franklyn Nyte have died in vain."
"HASH_024685E9": "A virus injection. Don't let the Zin stop you."
"HASH_4F5109E9": "Eh. Fair mix of both."
"HASH_2C5F39E9": "This seems an odd place for an electrical field."
"HASH_DF04C5E9": "Right on, let's do it."
"HASH_7BFA99E9": "There's just one, right?"
"HASH_2B8621E9": "So I'll meet you at the docks in a few minutes?"
"HASH_0EF4C1E9": "DAMMIT."
"HASH_7FA70DE9": "DELETE"
"HASH_407525E9": "It is Chekov's Gun.  Saying it is too easy now means something must go wrong later, or else there was no point to this conversation."
"HASH_1E0779E9": "Gat, take care of these guys while I get the door open."
"HASH_308C99E9": "Fair enough."
"HASH_AA81A5E9": "Bank right!"
"HASH_634F49EA": "Well shit..."
"HASH_BCB851EA": "Do you have a place I can test this?"
"HASH_7B1821EA": "Excuse me?"
"HASH_B07EC1EA": "Continue to disrupt the system so you get rewarded by myself."
"HASH_35E2E5EA": "What just happened to Kinzie?"
"HASH_72B319EA": "Shaundi and I are on it..."
"HASH_731EB1EA": "Get back there!"
"HASH_D67E65EA": "I am with Shaundi on this one.  Do it yourself."
"HASH_D9F2C9EA": "The fish are--what the heck're you talking about?"
"HASH_6C7329EA": "Right!"
"HASH_B18C19EA": "Here we go."
"HASH_1B75F5EA": "Pick it up Matt, you don't wanna dissapoint Keith David..."
"HASH_34716DEA": "Ah... Little help here!"
"HASH_BAEEB1EA": "Well, after talking with a bunch of folks, I decided the last thing I wanted in a running mate was a politician."
"HASH_5055E5EA": "Rockets.  I need more rockets..."
"HASH_AC6C95EA": "So Kinzie was in a poodle skirt, huh? Hahaha! Don't worry, I won't say a thing.  Just don't tell her I know.  I don't want her throwing me out the airlock or anything when I'm not looking.  Still, good to have her back on board."
"HASH_2993EDEA": "I almost forgot: Kinzie, I forgive you..."
"HASH_0FB169EA": "Because you are cursed."
"HASH_571975EA": "Best intelligence shows Codename: Mr. X is preparing a full assault against their own nation. I've been tasked with making sure they don't succeed."
"HASH_2B03F1EA": "Time to bring Zinyak to his knees."
"HASH_587BCDEA": "And you're just telling me that now?!"
"HASH_42BAB1EA": "Wha-whoa... where's the big ship, Kinzie?"
"HASH_9DB361EA": "Veteran Child's not going anywhere. And if these drugs give us a boost like young Shaundi said, all the better."
"HASH_F33FA9EA": "Speaking of hunger, tell the kitchen to send up a burger."
"HASH_BAED2DEA": "Oh shit! Matt get back!"
"HASH_DA4575EB": "Should I be concerned with how detached you are about all this?"
"HASH_24FB69EB": "Shouldn't have blown up my planet, should ya?"
"HASH_CBF6BDEB": "Throw me whatever you got."
"HASH_EC7F05EB": "This is what happens when you fuck with the Saints."
"HASH_637199EB": "I was great, right?  I mean, I know I was but I wanna hear it from you too."
"HASH_3A88B1EB": "Are you two done? I thought you wanted to get Veteran Child."
"HASH_F496FDEB": "Planet Zin... Don't make me laugh."
"HASH_99F7B9EB": "You have fun with that. I'm taking the air duct."
"HASH_F19F2DEB": "Hell no, I want details on this trainwreck..."
"HASH_64BE15EB": "*sigh * Revenge for Earth..."
"HASH_64E385EB": "Overloading?"
"HASH_DCF7FDEB": "Even Pierce would be passing this shit after that speech."
"HASH_9EAFB5EB": "Ahh-aaagh!"
"HASH_C332F9EB": "A book's only as good as its ending. Let's knock this one out of the motherfucking park."
"HASH_A7A0ADEB": "I'm seeing, like, seven of everything..."
"HASH_8C69C1EB": "Don't worry, I'm coming, blah blah FUCK."
"HASH_5923C9EB": "ummm...maybe?"
"HASH_D41A01EB": "DELETE"
"HASH_F29AEDEB": "Mommy? Is that you?"
"HASH_E2B895EB": "I was just checking."
"HASH_5F7841EC": "Big and glowy. Looks perfect."
"HASH_9A9995EC": "Do evil geniuses usually leave their air duct covers unscrewed?"
"HASH_D8B23DEC": "Ah, locked. Can you open this door, Kinzie?"
"HASH_0CF39DEC": "Clear 'em out!"
"HASH_4783C9EC": "Look at these shields! Shouldn't they be connected to something that isn't so easy to break?"
"HASH_8B1759EC": "C'mon, Johnny, we just got you back.  Can you land in one piece?"
"HASH_8D0AC5EC": "You'll find Matt has disabled your special abilities for the duration of this exercise."
"HASH_4988A1EC": "I knew you could do it."
"HASH_88AE0DEC": "Okay, let's give this a shot."
"HASH_15F551EC": "Ugh!"
"HASH_3C9055EC": "And what's the call once we get there?"
"HASH_CAEBBDEC": "Found it."
"HASH_83A401EC": "The power of three, huh. Zinyak must be a fan of that witch show."
"HASH_04BCF5EC": "Say goodbye."
"HASH_54D5B1EC": "What next? Are we gonna bomb a supply closet?"
"HASH_04E475ED": "I don't remember Cyrus being this sexist."
"HASH_1065C1ED": "I'm glad Kinzie is okay. I hope she'll forgive me."
"HASH_8B17EDED": "Oh. Wait--years of torture resistance? I thought you worked computer crime at the FBI."
"HASH_06F4B5ED": "Mon Dieu, not this again...wait, is that Matthew?"
"HASH_96FCB1ED": "But you know how to stop them..."
"HASH_1CB875ED": "Brute force works."
"HASH_1EE1B1ED": "King, it's me.  Remember, I'm the President and you're my Chief of Staff?"
"HASH_283B71ED": "You just earned your paycheck, mademoiselle!"
"HASH_F75E4DED": "Well, things get messy sometimes..."
"HASH_4ED7B9ED": "Shit!"
"HASH_8EF919EE": "Empty."
"HASH_6FEA49EE": "Alright. Where did he go?"
"HASH_559D41EE": "Do you think the whole White House was destroyed?"
"HASH_5BE6B1EE": "Okay CID, how do we take out the relays?"
"HASH_5C61F5EE": "Ha ha! You know me so well."
"HASH_520061EE": "Okay, time to lay low for a bit."
"HASH_12BED9EE": "Why would Zinyak set this up?"
"HASH_275849EE": "And what was your job at the White House again?"
"HASH_2C5571EE": "At least they'd live longer."
"HASH_3751F1EE": "That's what you get for driving on the wrong side of the *BEEP*ing street!"
"HASH_7ED6D1EE": "still wouldn't run like a bitch..."
"HASH_A2CA3DEE": "Same difference."
"HASH_D681EDEE": "That's what you think.  You shouldn't have fucked with the Vice Kings."
"HASH_D32CF5EE": "It may be your mission, but I'm driving, Pierce."
"HASH_5B91C9EE": "God, I feel sick..."
"HASH_D44701EE": "Thanks for giving me a bigger target."
"HASH_DCE12DEE": "Looks like they're bringing out tanks."
"HASH_CEAF69EE": "Ensuring my safety would be advantageous to us both."
"HASH_1B0145EE": "*sigh* If that psycho man-cat's around, we'll feed him to the Zin."
"HASH_1F2F81EE": "100%% sure that's all, right?"
"HASH_431D15EE": "Holy shit...how many of these are there?"
"HASH_6E6BA5EE": "Cheers, Johnny.  For everything."
"HASH_1CC5B9EE": "They laughed when I said I wanted an SMG and a pinch of mint julep in every room."
"HASH_98FE81EF": "Okay. Okay. We're good. We're fine. I managed to throttle the connection a bit so it should be much more stable now."
"HASH_616FADEF": "Eh."
"HASH_64C8F5EF": "Everybody, hold on!"
"HASH_5D9F29EF": "All right, lets get that last power cell..."
"HASH_F74B3DEF": "Excuse me?"
"HASH_CBD2E5EF": "All right. Do what you gotta."
"HASH_294F19EF": "You are the best, Kinzie."
"HASH_D83799EF": "Time for the big show. Let's cause some mayhem out there, playa!"
"HASH_1F0125EF": "Come at me! I'll kill every last one of you!"
"HASH_03F91DEF": "Iiiiis...?"
"HASH_EB960DEF": "This is so fucking bad."
"HASH_9F2A69EF": "Any way to make this go faster?"
"HASH_C30681EF": "Doesn't matter.  They'll be free."
"HASH_DA6755EF": "Johnny. How do I get to him?"
"HASH_E87DC1EF": "Download complete.*long tone* All right. Time to kill us some aliens!"
"HASH_A00BE5EF": "If you were wearing this you'd make this a priority."
"HASH_9A0715EF": "Will do."
"HASH_20B52DEF": "I can't!"
"HASH_98F2A9EF": "Look, I'm really busy here."
"HASH_B70A41EF": "Deal."
"HASH_6E7C55EF": "Explain later. Powers now."
"HASH_2DCD55EF": "You don't know? Well then. This will be educational."
"HASH_88A29DF0": "Pleasure doing business... I think."
"HASH_70EBE5F0": "I wonder...if I set her and Pierce up on a blind date, who'd kill who first?"
"HASH_E0EB09F0": "...no."
"HASH_5EEFCDF0": "How do you shake that one off?"
"HASH_751201F0": "Will taking out the vehicle mess up the thing on board?"
"HASH_366579F0": "Matt sure likes touching, doesn't he?"
"HASH_694099F0": "Come on' you fuckers!"
"HASH_E012F9F0": "Not gonna lie. Still not sure how to take the fact evil me is your version of hell."
"HASH_D79F9DF0": "Now what? Oh my friend, surely even you must know what's next."
"HASH_1141E1F0": "So is taking down these relays something CID can help with?"
"HASH_065301F0": "Come on..."
"HASH_C8A601F0": "I take it you'll be good on your own?"
"HASH_F8C38DF0": "That's a lot of Veteran Children."
"HASH_BA07E1F0": "Shaundis!"
"HASH_2121BDF0": "A bit?"
"HASH_E34CC1F0": "You really think he's that big a problem?  "
"HASH_7CF705F0": "Sure thing. Let's do this. *static*"
"HASH_BC7869F0": "CID, just get it done."
"HASH_9BD631F0": "You mean...other you?"
"HASH_7039B9F1": "Yep, the security at this Planet Zin is blocking me here.  Shut it down."
"HASH_389245F1": "I don't know if I can."
"HASH_792645F1": "Planet Zin.  If I'm gonna work to take a store back from Zinyak that's where I'm going first."
"HASH_035C79F1": "The Saints."
"HASH_FB9295F1": "With the gangs dropping left and right, the next part of Ultor's plan was focused on Shivington.  The investors were all lining up, but the board wasn't convinced we could handle the Saints.  With the police on our side I figured Bradshaw could handle his end of the deal, but I was wrong.  Ultor had to step in, though that was a miscalculation on my part.  Our security force was not as... effictive as I'd hoped."
"HASH_B7E3C5F1": "Yaaaaaahhhhhhh!"
"HASH_051179F1": "See, you did it!"
"HASH_A49821F1": "This would be great at a barbeque."
"HASH_CFC889F1": "DELETE"
"HASH_8D89CDF1": "I'm liking this."
"HASH_CC7851F1": "Awesome."
"HASH_3E1129F1": "Uh. Yeah. Matt, get us out of here."
"HASH_4FB1FDF1": "Kinzie? Am I hearing things now?"
"HASH_545499F1": "I'm sorry, but we didn't have time to pad the truck for safety."
"HASH_D4CC4DF1": "I'll be honest, I'm not to wild about driving a bomb..."
"HASH_DF7C9DF1": "A door. Well, of course it's a door."
"HASH_8CFE81F1": "Sure, CID."
"HASH_AD105DF1": "Is Kinzie okay?"
"HASH_C2D019F1": "Let's do this.  Geronimo!"
"HASH_8B45C1F1": "You should be nearing Gat's room."
"HASH_521511F1": "Bryan? Neil? Anoop?"
"HASH_466829F1": "Didn't Kinzie save a copy of her file or program or whatever?"
"HASH_817915F1": "You aliens are so dead."
"HASH_055EADF2": "Well, we don't have to worry about that now, right?"
"HASH_CC6331F2": "So everything's cool?"
"HASH_600A89F2": "Damn, they activated the blast shield.  You'll have to land and find a way to override it."
"HASH_2AE3E1F2": "Ugh.  What was this contestant thinking?"
"HASH_0DF939F2": "What do you think I'm doing?"
"HASH_71E8C5F2": "Um, shouldn't we be moving faster?"
"HASH_0EE38DF2": "You don't happen to have a training room I can use, do ya?"
"HASH_B7EE71F2": "Do you realize how crazy that sounds?"
"HASH_DB773DF2": "Okay, try focusing on charging your jump.  That should get you higher."
"HASH_F27AF1F2": "Yeah, it's her."
"HASH_787F61F2": "Playa, more comin' in!"
"HASH_CF5565F2": "Does this place not have light switches?"
"HASH_0A99FDF2": "Why the hell didn't you lead with that?"
"HASH_D88445F2": "Got one, Kinzie.  Is it safe to touch?"
"HASH_8CB865F2": "I'll keep up with you, Johnny.  Kinzie, keep your eyes on us."
"HASH_59FCD5F2": "But nothing worked...nothing ever made me feel alive like you did.  And I always thought it was just because I was depressed but seeing you now has made me realize how much I need you.  I know I'm not Aisha, and I'm not trying to be, but if--"
"HASH_63CFA5F2": "Then shouldn't we get our asses moving?"
"HASH_D7A509F2": "Without me, you'd still be stuck in those rifts without a body here or in the real world."
"HASH_403115F2": "Manually?"
"HASH_61CC81F2": "That's lovely, but there seems to be--"
"HASH_EE64B5F3": "I know you think you're being valiant here. Really. I get that. You're an A1 superhero, Asha."
"HASH_592C8DF3": "That was fun. They have more games like this in Steelport?"
"HASH_7C4DE1F3": "DELETE"
"HASH_DE4081F3": "There it is.  Just be careful with it, all right?"
"HASH_AED691F3": "Show me what you got, Johnny."
"HASH_037209F3": "Oh. Well. Sorry."
"HASH_0BFB19F3": "No, I'm not judging."
"HASH_75D899F3": "Are you there, Asha? Hold on, Matt wants to speak with me."
"HASH_C019C5F3": "What...are you..."
"HASH_F99035F3": "Look I gotta tell you something....it always drove me crazy that you had ex's in every city and were willing to go on a dating show but not once did you ever give me a shot"
"HASH_92DB8DF3": "King's a coward? You're the one who's running!"
"HASH_1B8D61F4": "This better be worth it..."
"HASH_D829F5F4": "I'mgonnashoottheconduit!"
"HASH_945861F4": "With you here, I guess you're right."
"HASH_8C6485F4": "How are we now?"
"HASH_0013D5F4": "Zinyak must be pulling the data from somewhere. As with all the simulations, these manifest from the subconscious of the captives hooked into the machines."
"HASH_FE5861F4": "Holy crap I'm fast!"
"HASH_8BBF01F4": "Up ya go!"
"HASH_2C2A85F4": "Shit!"
"HASH_09BCB1F4": "I see 'em. And they don't look pleased."
"HASH_F2AB59F4": "*ooo* This feels weird."
"HASH_668A35F4": "I know that.  You think I don't know that?"
"HASH_DE4F89F4": "Anyone would think about retiring after that."
"HASH_AC1575F4": "You didn't give them a choice.  It's time that changed."
"HASH_03A731F4": "I don't have time to explain this. Just pick up people and throw them into it."
"HASH_A07105F4": "There's some data stored in a vehicle.  Kinzie says it's important Zin stuff.  That means we should steal it."
"HASH_BE5B35F4": "Don't worry, Pierce and I can handle anything going on in there."
"HASH_094525F4": "Hold on, this isn't an upgrade to my mind powers."
"HASH_5E80D5F4": "Why don't ya glad-hand a bit. We got time."
"HASH_E7DB45F4": "Boss, he's kinda helping us..."
"HASH_53B0E9F4": "Kinzie sent me in to pick you two up."
"HASH_DF95EDF5": "What the fuck is this portal?"
"HASH_C15D95F5": "Another one down..."
"HASH_843FEDF5": "Die, you fucking man-cat!"
"HASH_8104C1F5": "What did they do now?"
"HASH_1910B1F5": "I found you power armor! The guns are just missing...stuff."
"HASH_AAD829F5": "DELETE"
"HASH_8CB699F5": "Like hitting \\"delete\\"?"
"HASH_B87815F5": "Kinzie! Let's get outta here!"
"HASH_6106BDF5": "Never stop."
"HASH_7D6FE9F5": "Way to balance inspirational speech and totally creepy cult leader, Asha."
"HASH_9EBA59F5": "To the cockpit!"
"HASH_D41F85F5": "We're still kicking."
"HASH_0A2149F5": "CID, I'm going to need you to tell me when we're close to the next cell..."
"HASH_191519F5": "Pierce, come with me. You two go through that door."
"HASH_BD8879F5": "You wanna tell me who that is?"
"HASH_836B0DF6": "You wouldn't tell me if it wasn't, would you...?"
"HASH_F72715F6": "I suppose you're right."
"HASH_7632A9F6": "You abducted my cabinet!"
"HASH_39041DF6": "Zinyak, you piece of shit--"
"HASH_31B305F6": "That's NEWSTIME STREET GANG OF THE YEAR thankyouverymuch."
"HASH_42CF09F6": "Everyone in this city will end up my slave."
"HASH_B453FDF6": "Okay, I'm in trouble!"
"HASH_ECF64DF6": "Zinyak, this ain't pride... This is wrath."
"HASH_764FE9F6": "What is this?  Where have I landed?"
"HASH_4BE999F6": "Cardboard boxes? You're serious?"
"HASH_DA6A21F6": "DELETE"
"HASH_B836DDF6": "That many?!"
"HASH_0C653DF6": "Oh my god! Oh my god! It's really them! Hi! Hi!"
"HASH_6F84FDF6": "Contingent on one condition..."
"HASH_475F09F6": "Free and clear."
"HASH_7EB705F6": "Fuck!  He's got some sort of field protecting him."
"HASH_8857B5F6": "You gonna pile on the bullshit here, too?"
"HASH_B4AB91F7": "Because I have no love for the Zin as I was once their prisoner too.  I have been stuck inside the Zin simulations creating rifts which cause chaos for Zinyak, though the Zin inevitably shut them down."
"HASH_77BF19F7": "Hey, Kinzie, are you still trying to fight a man's fight?"
"HASH_22B6C5F7": "Where is this fucking platform..."
"HASH_E29EDDF7": "Well, I kind of am. But I'm not trying to have this conversation right now."
"HASH_779BBDF7": "Not gonna happen, Tanya.  I'm fulfilling two dreams tonight: unleashing the grace within me, and watching you die."
"HASH_112BE1F7": "So?"
"HASH_D2C115F7": "Educational, huh. You know me so well."
"HASH_0E777DF7": "Don't worry, I'll be there, blah blah FUCK"
"HASH_C46BE5F7": "Don't worry Paul, I'll pour one out for you."
"HASH_25205DF7": "Mmm. Breakfast sure smells good!"
"HASH_5E10E1F7": "Kinzie... what's going on..."
"HASH_847C55F7": "Reckon this'll do just fine."
"HASH_EF453DF7": "DELETE"
"HASH_A222D1F7": "Be well, Matthew.  "
"HASH_F2C095F7": "So I can climb walls now?"
"HASH_264661F8": "What the hell is The Brotherhood doing here?"
"HASH_1EC851F8": "DELETE"
"HASH_A0B195F8": "Zinyak blew up Earth and HE'S the one getting pissed?"
"HASH_5D16C9F8": "DELETE"
"HASH_7BC14DF8": "*crazed laughter*"
"HASH_73FAC9F8": "Was this simulation seriously made for Asha?"
"HASH_37026DF8": "NyteBlayde, huh. There's more to it, right? Like a love interest or something?"
"HASH_DB8585F8": "It is a start."
"HASH_2E3509F8": "Are you fucking kidding me?"
"HASH_48F8D9F8": "How quick can we get this thing rewired?"
"HASH_46A3D5F8": "Fuck that. I'm not waiting for them to come to me."
"HASH_D053B1F8": "You'll see me differently..."
"HASH_903345F8": "Is this okay?"
"HASH_E9E931F8": " Found another one."
"HASH_3454E5F8": "How 'bout that?  You actually made sense. "
"HASH_DA8A01F8": "So you and old you had a talk then?"
"HASH_999DC9F8": "Nice, Asha. Real nice."
"HASH_EC8B21F8": "Oh fuck...what's that taste in my throat?"
"HASH_0DEF99F8": "You gotta clean this place up a bit if I'm gonna be stuck here, Boss."
"HASH_31BD41F8": "Known what?"
"HASH_CC3035F8": "Come on, legs. We can do it."
"HASH_A2FFB9F8": "Time's up, Zinyak."
"HASH_80D221F9": "Why can't I change lanes?"
"HASH_6D15B1F9": "Shaundi--!"
"HASH_AADD61F9": "You mean how you dangle good ideas in front of me like a cheeseburger in front of a starving child and then snatch them away making me cry a little inside each time?"
"HASH_D8DC41F9": "This is getting ugly real quick."
"HASH_65B841F9": "What?! Oh shit. Fuck. No, man. Just..no. Uh-uh."
"HASH_30ED19F9": "Stop CID.   Just.  Stop."
"HASH_42205DF9": "I'll send the cypher to CID.  Meet him at the usual spot."
"HASH_892915F9": "Got the gadgets.  Got the accent.  All I need now is pussy galore."
"HASH_A4D3C5F9": "Sounds like a strange comparison but okay."
"HASH_7E9679F9": "The Zin have to pay. I want to see their shit blown up good."
"HASH_319605F9": "Huh, looks like she's spiced this place up a bit."
"HASH_8C08BDF9": "Unplug you while you sit here jacked in to the simulation for ruining our only hope of stopping Zinyak."
"HASH_CE4205F9": "Is Pierce still complaining about my space ship?  I got this for all of us, duh.  It's not like I'm gonna tell him to get off and find his own.  Not like he'd be able to anyway."
"HASH_190221FA": "Um. Is that how it's being delivered?"
"HASH_38BF05FA": "Ssss, ah!  Too bad for our contestant."
"HASH_2F202DFA": "Ooh, they could sign my bill anytime."
"HASH_6E3441FA": "I...fuck, I don't know where I'm at--shit! Something on the door changed. What's that mean?"
"HASH_301B49FA": "That Judas is gonna get what's coming to him...I don't care how well he turns a phrase..."
"HASH_C71515FA": "Oof... Hole, I'm gonna fuckin'..."
"HASH_747389FA": "Onward toward battle!"
"HASH_774705FA": "How the hell are we going to get past that?"
"HASH_939DADFA": "So what is this stuff exactly?"
"HASH_8058E9FA": "DELETE"
"HASH_1A9C89FA": "You gonna gimmie a hand or what?"
"HASH_FC5FE1FA": "Lights. Out."
"HASH_901945FA": "Hey, I'm just trying to give us an edge.  What's wrong with that?"
"HASH_A7E4B5FA": "And *powering down sounds*!"
"HASH_7EFBEDFA": "Yes Kinzie, I still have them."
"HASH_9B1C55FA": "Because... they're not turned on?"
"HASH_84FC69FB": "Die, dammit!"
"HASH_D5AD31FB": "I'm doing most of the work."
"HASH_424429FB": "Let's show this town what it means to be young!"
"HASH_AE9F0DFB": "Asha, I'm pretty much a superhero. I'm set for whatever you can throw at me."
"HASH_E565A9FB": "We need more than that!  Find a way to track him down!"
"HASH_1AE685FB": "Hurry people!"
"HASH_FF9175FB": "Pierce... I'm gonna kill you later."
"HASH_0911CDFB": "I don't care what else you have up your sleeve, it won't save you."
"HASH_7D94BDFB": "Ow, you--"
"HASH_BAD2F5FB": "I don't know if I can."
"HASH_B38B31FB": "DELETE"
"HASH_0CB535FC": "I know what I'm walking into."
"HASH_B66A15FC": "Kinzie, you're up."
"HASH_57CB8DFC": "That should do it, though last time she disappeared right in front of us."
"HASH_3129F5FC": "Now they're at peace."
"HASH_4C9A05FC": "I hope it's not a cookbook."
"HASH_90EA21FC": "What kind of facility is this exactly?"
"HASH_F8E665FC": "Eesh, you home?"
"HASH_8E31B5FC": "You sure this absorption thing is going to work?"
"HASH_7B9899FC": "This is all from your head, Asha. He's getting this from you."
"HASH_227BBDFC": "Up! Go up, go up!"
"HASH_90E515FC": "For all the shit I've given you I gotta say, man, you've done a damn good job for us, Matt."
"HASH_87B50DFC": "Okay, maybe it's just me, but I'm kinda gettin' used to Matt.  He DID help us out back with that saving the world thing, and he's helping Kinzie out here.  I don't know, maybe that whole MI6 training changed him.  Then again, maybe I'm just glad he isn't trying to kill us anymore."
"HASH_7EF129FC": "Ow, you--"
"HASH_AF34E9FC": "Stubborn and defensive? Sounds like Asha all right. "
"HASH_FB89DDFC": "The ship's at the platform, Matt! Get to it!"
"HASH_684855FC": "Okay... Part 1..."
"HASH_84FFDDFC": "So there are probably aliens in here?"
"HASH_48922DFD": "Kinzie, where have you been?  And how do you know this thing's name?"
"HASH_4B85A9FD": "Kinzie, I don't swing that way."
"HASH_DB68BDFD": "Look I gotta tell you something....it always drove me crazy that you had ex's in every city and were willing to go on a dating show but not once did you ever give me a shot"
"HASH_EFAC05FD": "That's a lot of fucking people, Kinzie."
"HASH_815D7DFD": "MILLER!"
"HASH_B617D9FD": "So where is this \\"Army of Minions\\" at?"
"HASH_F15E1DFD": "The only edge I need is already within me."
"HASH_A2BD45FD": "Yeah, well, big towers controlling security on a linear path... Not very creative for your \\"superior intelligence\\"."
"HASH_0AE929FD": "That's a good thing, isn't it?"
"HASH_322491FD": "I don't know if I can."
"HASH_F9AC99FD": "DAMMIT."
"HASH_973E85FD": "Let's get to the cockpit and fly the hell away from these bastards."
"HASH_EA633DFD": "Take your time, huh? Sounds like a plan."
"HASH_696FF1FD": "That's... vague."
"HASH_F83E01FD": "Matt, is there any way you could help Kinzie and speed up the process?"
"HASH_0C2AF1FD": "Known what?"
"HASH_A55DF9FD": "I need to know what happens when the Zin simulations are killed.  I found a patrol for you.  Mind killing them for me?"
"HASH_A9A29DFD": "So how do I get to Johnny?"
"HASH_3F526DFD": "God, you and Kinzie both with your technobabble..."
"HASH_0A5CC1FD": "Whatever.  If they're so useful why isn't Zinyak collecting them?"
"HASH_2F7189FD": "Not for long. "
"HASH_A3759DFD": "Oh, I'm just fine."
"HASH_2C357DFD": "Hey, I've gotten us this far, haven't I?"
"HASH_B568D5FE": "WILL YOU BLOW UP ALREADY."
"HASH_E9D801FE": "Matt! Asha! What do we know?"
"HASH_4D4E71FE": "If you were wearing this I'm sure you'd up that priority."
"HASH_271AF9FE": "Uh... No wait, don't.  I wanna see how their reaction protocols work."
"HASH_60D1CDFE": "Fuck it's good to see you, man..."
"HASH_994049FE": "Zinyak's making you think that, Keith...don't give in to him..."
"HASH_DC3835FE": "Not now, Ben. I'm in the zone."
"HASH_EFDF45FF": "So, if you catch the golden orb and shut it down then the Zin should no longer see you as an immediate threat."
"HASH_B161B1FF": "Freckle Bitches Get!"
"HASH_E906DDFF": "Why would evil me hire such idiots?"
"HASH_628D85FF": "What do we know, CID?"
"HASH_87CD99FF": "I was able to find one of the Zin Control and Interface Devices here on the ship.  Don't worry, it was just a shell with no programming.  But it allowed me to upload CID's consciousness into it and let him exist in the real world.  Now if he would just sit still so I can study how his real memories turned themselves into computer code..."
"HASH_2A26D1FF": "Tastes wonderful!"
"HASH_3431F1FF": "Come on! I'll kill ALL y'all!"
"HASH_8E55E9FF": "You know I love you, Kinzie."
"HASH_B29841FF": "Something is not right with this car..."
"HASH_E4E065FF": "Hey. I'm the President of the United States."
