"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_FB0734DB": "BROW"
"HASH_9A5346DB": "MOD STYLE"
"HASH_BB48D4DB": "SHORT AND LEFT"
"HASH_D484C8DB": "TEDDY BEAR"
"HASH_75A784DC": "HISPANIC 5"
"HASH_813076DC": "HIP SKINNIES"
"HASH_83BF16DC": "BUTTERFLY CLIP"
"HASH_21A62EDC": "PROMISE NECKLACE"
"HASH_34F302DC": "POCKET ROCKET PANTS"
"HASH_CAAFFADC": "MONK"
"cm_suit_m_falcon": "STEELPORT HERO SUIT"
"HASH_9912EEDC": "CAN'T SLEEP"
"HASH_7F098EDD": "UNCLE SAM HAT"
"HASH_808654DD": "SAINTS FLEUR CHAIN"
"HASH_0E99ACDD": "ANIME"
"HASH_94C2E6DD": "REBEL SANDALS"
"HASH_B9B040DD": "SHANKAKU SHURIKEN"
"HASH_A1B484DD": "LOVE MACHINE"
"HASH_8A10E2DE": "For cool customers"
"HASH_D70302DE": "CHIN ELEVATION"
"HASH_DE5014DE": "AFRICAN AMERICAN 2"
"HASH_4FAF32DE": "PAINT ALL"
"HASH_5A1412DE": "DECAL 7"
"HASH_7EE578DE": "UNCLE SAM"
"cf_wrst_50sbracelet": "VINTAGE BANGLE"
"HASH_C450DEDE": "VIOLET RED 4"
"HASH_0A5872DE": "BROWN 5"
"HASH_6D1F2EDF": "NECK BACK DEPTH"
"HASH_7FCD18DF": "DEEP PURPLE"
"HASH_8FA1C8DF": "SPD UNIFORM"
"HASH_59AD54DF": "WHEN SAINTS CRY"
"HASH_3226AADF": "YELLOW ORANGE 8"
"HASH_FDF1D8E0": "THE NINJA"
"HASH_BD510AE0": "OPTION 10"
"HASH_32A60CE0": "PLANET SAINTS HOOPS"
"HASH_D50210E0": "TRUE FIT JEANS"
"HASH_8BCBA6E0": "COWGIRL STYLE"
"HASH_E565C4E0": "CELTIC WOLF"
"HASH_0F073EE1": "The Zin's heaviest hitter."
"HASH_CDA938E1": "THE MIX 107.77"
"HASH_32ADDEE2": "Put two energy balls in play with each squeeze of the trigger."
"HASH_FD610CE2": "HERO OF THE DESERT"
"HASH_047CCAE2": "LUCHADOR SPECIALIST"
"HASH_50EC68E2": "PARTY TIME THONG"
"HASH_6154D4E2": "STYLISH PUNK EARRING"
"HASH_2EF030E2": "HILLS MAGICIAN VEST"
"cf_ubdy_camisole": "LACY CAMISOLE"
"HASH_5FDFDEE2": "WHITE"
"HASH_6593ACE2": "ANCHORED DOWN"
"HASH_410A26E2": "SNAKE CHARMER"
"HASH_19EDD2E2": "CAUGHT IN THE WEB"
"HASH_9EAC96E3": "GUNMETAL"
"HASH_FB42E6E3": "LOBE SIZE"
"HASH_2E678AE3": "DANIEL-SAN"
"HASH_04DB8CE3": "FEATHERED CAP"
"HASH_EC6AF8E3": "SLASHER"
"HASH_487D5EE4": "CUSTOMIZE CHARACTER"
"HASH_A9FE8AE4": "KABUKI RED"
"HASH_DD4D5CE4": "KABANA SHORTS"
"HASH_83AE92E5": "ONYX"
"female_overweight": "FEMALE OVERWEIGHT"
"HASH_0B62C4E5": "STONE COLD"
"HASH_F5F9B2E5": "MOLE 5"
"HASH_FBB2F2E6": "WINDOW TINT"
"HASH_8F045CE6": "BLACK"
"HASH_FD31E4E6": "BRIGHT BLUE"
"HASH_6C350AE7": "Double rainbow ... what does it mean?"
"HASH_2A9A2EE7": "WEAPON 2"
"HASH_6AF5EEE7": "CHROME"
"HASH_E75E98E7": "HILLS CASUALWEAR"
"HASH_7C87C0E8": "For urban predators."
"HASH_84C760E8": "RAVE X GLOWSTICK BRACELET"
"HASH_06188AE8": "SAFEWORD SPECIAL"
"HASH_E65D6EE8": "BRIGHT-EYED"
"HASH_4D0A02E8": "ORANGE 7"
"HASH_92E042E9": "BACKBLAST"
"HASH_0CC634E9": "The weapon now bashes most opponents into bloody bits."
"HASH_EC366AE9": "A big gun for a big guy"
"HASH_74D220E9": "MUSCULARITY"
"cm_foot_slshoes": "CASUAL WALKER"
"HASH_48AD16EA": "LOUD LOCUST"
"HASH_71082EEA": "MALE 1"
"HASH_C4B970EA": "APPROVAL"
"HASH_2FD746EA": "MORNINGSTAR GLOVES"
"HASH_07F1A4EA": "ANARCHIST BAND"
"HASH_189126EB": "What is this? Another ultimate weapon?"
"HASH_D9572AEB": "NAILGUN"
"HASH_46D4E0EB": "LOWER LIP SIDE HEIGHT"
"HASH_262498EB": "COOL MINT GREEN"
"HASH_76C10EEB": "MECHANICAL"
"HASH_E94F34EB": "PARTY TIME BRACELETS"
"HASH_7D9CC6EB": "VINTAGE UPDO"
"cm_ubdy_sweatmurder": "MURDER BRAWL SWEATSHIRT"
"cm_ubdy_joecolatee": "JOE COLA TEE"
"HASH_52E8F2EC": "Feel like you could take on the world?"
"HASH_8EAFF8EC": "HOOCHIE SHORTS"
"HASH_551348EC": "SKIN"
"HASH_98E772ED": "TAUNT"
"CUST_VARIANT_DEFAULT": "DEFAULT"
"HASH_443392ED": "BANDIT"
"cm_lp35l_suit": "FLIGHT SUIT"
"HASH_CE9774ED": "INTO THE FLAME"
"HASH_0831F6ED": "LIVE OR..."
"cm_lbdy_hoochishorts": "DAISY APPROVED SHORTS"
"HASH_8607B6EF": "Acid-laced bullets do additional damage over time."
"HASH_1B62AAEF": "DAY OF THE DEAD"
"HASH_8568C0EF": "Suppress your next insurgency in style."
"Level_3": "LEVEL 3"
"HASH_FCF3F4EF": "STRIPED DANGLES"
"HASH_9110FAEF": "DRESSED UP IN CASHMERE"
"HASH_47269AEF": "DARK RED"
"HASH_B2C1C8EF": "OPEN WIDE"
"HASH_86C2A8EF": "YELLOW GREEN 5"
"HASH_1EBFB0F0": "Projectiles have more explosive power"
"HASH_52B1FAF0": "JAW SPACING"
"HASH_29ADF0F0": "METAL"
"HASH_BB3CBCF0": "STRIPPER"
"HASH_BF43D8F1": "NECK BACK WIDTH"
"HASH_860BCCF1": "RIMS"
"HASH_4A67C6F1": "ORANGE 3"
"HASH_C06D24F2": "FLAME RANGE"
"HASH_7C10F6F2": "JOWL HEIGHT"
"HASH_21495CF2": "JOLLY GREEN GUY"
"HASH_E22374F2": "OPTION 9"
"HASH_2419FEF2": "SAINTS BRIEFS"
"cm_hand_postapocman": "APOCALYPTIC GLOVES"
"cf_hand_80slacegloves": "LACE GLOVES"
"HASH_B5EAD0F2": "UNIBROW"
"HASH_46651AF3": "Adds a classy touch to your crime sprees"
"HASH_215798F3": "MOD MALE WITH SHIRT"
"cf_hair_pigtails_01": "LOOSE PIGTAILS"
"HASH_DCBAE8F4": "GANGLAND"
"HASH_1675D0F4": "BODY"
"HASH_482C88F4": "MOUTH"
"HASH_042308F4": "OKTOBERFEST GIRL"
"HASH_0F5C32F4": "HEARTBROKEN"
"HASH_3B90E6F4": "YELLOW ORANGE 4"
"Paint_1": "PAINT 1"
"male_slender": "MALE SLENDER"
"HASH_E64598F5": "SOUTH BEACH SHIRT"
"HASH_20969CF5": "GO TEAM! SHOES"
"cf_hair_longwavy_01": "LONG WAVY STYLE"
"HASH_CDE692F5": "VIOLET RED 8"
"HASH_03EE3EF5": "BROWN 9"
"HASH_78FAE0F6": "Increases the distance the frogs will hop in search of targets"
"HASH_40EA10F6": "BUY AMMO"
"HASH_82E648F6": "DARK SIDE SHIRT"
"HASH_009040F6": "DIVA HEELS"
"HASH_B5AC0CF6": "LUCKY DRAGON"
"HASH_81AF6CF6": "YELLOW GREEN 1"
"HASH_323496F7": "Upgrade your tires to avoid getting a blowout at an embarrassing moment."
"HASH_655E68F7": "ALUMINUM"
"HASH_F56020F7": "GEM EARRINGS"
"cm_foot_bootslowtrendy": "KNIT CUFF BOOTS"
"HASH_90A4A2F7": "BLACK EYE RIGHT"
"HASH_76BF02F7": "NOSE BANDAGE"
"HASH_932D54F8": "LEFT HAND"
"HASH_2E721EF8": "SUPER HEROINE MASK"
"cf_hair_vintagebob-03": "50'S LADY STYLE"
"HASH_556BC2F8": "DARK INDIGO"
"HASH_5E9216F8": "GREY 8"
"HASH_5C1F62F8": "LEFT WRIST"
"HASH_FA9C1CF9": "GIDDEE UP!"
"HASH_F03800F9": "ACTIVE RED"
"HASH_F32DA2F9": "THREE COUNT WOMAN"
"HASH_521A84F9": "PREPPY SLACKS"
"cm_lp35k_suit_m_bones": "BONES"
"HASH_7A2352FA": "MOUTH BITE"
"HASH_290A4EFA": "#FIAJ"
"HASH_39CDE2FA": "PURPLE DARK TINT"
"HASH_66B946FA": "FRESH PLUM PURPLE"
"HASH_B85662FA": "TAMED FRO"
"HASH_CC3780FA": "EYEBROW RING RIGHT"
"cm_wrstl_benking": "KING WATCH"
"cm_eyes_benking": "KING SHADES"
"Gray": "GRAY"
"HASH_A542CAFB": "HIPSTER SHADES"
"HASH_62FE68FB": "CROSS TO BEAR"
"HASH_1E8016FB": "BRINGER OF DEATH"
"HASH_9C694EFB": "TAPERED BACK"
"HASH_D5F022FC": "EAR OPENNESS"
"HASH_8BBADCFC": "SMARMY "
"HASH_84C356FC": "ALABASTER"
"HASH_621A2EFC": "MINT CHAR GREEN"
"HASH_9733FEFC": "DUST RED"
"HASH_C71E10FC": "KOALA KIKS"
"HASH_F29476FC": "MOLE 1"
"HASH_253C0AFD": "INDUSTRIAL"
"HASH_0CC7E0FD": "HOODS"
"HASH_6C3560FD": "SPRINGTIME CASUAL"
"HASH_C8ABA2FD": "EX-CON"
"HASH_43793EFD": "STEELPORT HERO GLOVES"
"HASH_0AB47CFD": "KARATE BOOTS"
"HASH_C42EBCFF": "BLACK AND WHITE"
"HASH_30603AFF": "Time for a Saints-themed block party."
"HASH_1C94F0FF": "SATIN BRIGHT WHITE"
"HASH_F741A6FF": "HIPPIE RAVER"
"HASH_450D4700": "CAMO"
"HASH_F26C0700": "Spray and pray, baby."
"HASH_E7A03300": "MASTER OF THE SEAS"
"HASH_F0926300": "CYBER SAINT"
"cm_hat_elephant_mask": "ELEPHANT MASK"
"HASH_BC00D300": "VIOLET 7"
"HASH_11F70701": "PROJECTILE SPEED"
"HASH_10F3EB01": "ACCURACY"
"HASH_79FF2B01": "GREEN CAMO"
"HASH_71A8A101": "HOT STUFF"
"HASH_0D1E6F01": "TRIM COLOR"
"HASH_1C36DB01": "SLASHER"
"HASH_5184C501": "ANARCHY BANGLE"
"HASH_5C80DD01": "YELLOW 4"
"HASH_B9DC2302": "SAINTS STUNNER"
"HASH_ACDB8902": "MALE 3"
"HASH_AA95F902": "TOUCH MY HEART"
"HASH_0BFC3F02": "T-ROY STYLE"
"Brunette": "BRUNETTE"
"HASH_D8D17903": "GOLD-TRIMMED"
"HASH_57445503": "WAFFLE CONE"
"HASH_1F245503": "MALE"
"HASH_787E5703": "STEAMPUNK FIGHTER"
"cm_hat_shortsleggingscap": "CADET CAP"
"HASH_2B1CE704": "BEACH BUM"
"HASH_89946F04": "THE SPANIARD"
"HASH_CAB79505": "The weapon no longer needs to recharge, ever."
"HASH_D20F8105": "SCANDALOUS SAINTS THONG"
"HASH_744E4905": "JUST WOKE UP"
"HASH_5B388B06": "LIGHTS"
"HASH_B3792D06": "STREET SMART"
"HASH_1093ED06": "SNAZZY PANTS"
"HASH_8F31DB06": "EYEBROW RING LEFT"
"HASH_EBE6E106": "Z STYLE BLING"
"HASH_D7A95706": "PRESIDENTIAL BS"
"cm_lp35i_foot_f_stpboots": "APOC BOOTS"
"cm_lbdy_spacesmuggler": "PUCKISH ROGUE PANTS"
"HASH_6F605D06": "CONCEALED WEAPON"
"HASH_FF073107": "BRIGHT PURPLE"
"HASH_0ADEC508": "EL FUGITIVO"
"HASH_06543D09": "TEE SHIRT"
"HASH_2BC59109": "TEAM SAINTS JERSEY"
"HASH_AC5EDD09": "STEAMPUNK BOOTS"
"HASH_2031B109": "CAUGHT IN THE WEB"
"HASH_CF5D4509": "UPPER BACK"
"HASH_4BDC790A": "ENTIRE BACK"
"Paint": "PAINT"
"CUST_VARIANT_10_DEFAULT": "VARIANT 10"
"HASH_E6F77B0A": "VINTAGE WINGTIPS"
"HASH_D04EFB0A": "HIP HOP JEANS"
"cm_hat_gatliberty_mask": "GATUE OF LIBERTY MASK"
"HASH_9529970A": "SHOES"
"HASH_876E3B0B": "CAUCASIAN 1"
"HASH_3EB2970B": "MAKE-UP"
"HASH_617EA50C": "AGE PRESETS"
"HASH_7794110C": "CLAP HANDS"
"HASH_81E5930C": "TINT 20%%"
"HASH_6D54BD0C": "DEBUTANTE"
"HASH_A00D310C": "NATURE'S RAFT"
"HASH_D920710C": "TOOTHBRUSH"
"HASH_20EF350D": "RATE OF FIRE"
"HASH_4EC61D0D": "TAXI CAB"
"HASH_04B4FB0D": "This skin wouldn't look so good if we'd been purchased by a company named 'Deep Puce'"
"HASH_D280F10D": "A LITTLE BIT OF THIS"
"HASH_F51DE90D": "KARATE GLOVES"
"HASH_79E72D0D": "VIOLET BLUE 1"
"HASH_84A66F0E": "RECOIL"
"HASH_14449D0E": "Feel good-as-gold, inside and out!"
"HASH_25C4850E": "AMERICANA RED"
"HASH_E105250E": "ZOMBIE"
"HASH_37A4C70F": "Head into the light ...."
"HASH_FA446B0F": "MINIGUN"
"HASH_EE54A10F": "FEATURES"
"Logo": "LOGO"
"Presidential Male": "MR. PRESIDENT"
"HASH_18FE3B0F": "BEATEN"
"HASH_32E6110F": "EYEWEAR"
"HASH_89677B10": "ASIAN 4"
"HASH_9707CF10": "EYES"
"HASH_7DBF3110": "EYELINER"
"HASH_C2085F10": "MISCELLANEOUS"
"HASH_269BDB10": "DECAL 8"
"HASH_FD8EFB10": "EXOTIC"
"HASH_5F9B9910": "FITTED CASHMERE V NECK"
"HASH_AAD28B10": "HARD ROCK"
"HASH_3BF62910": "POLE DANCER HEELS"
"HASH_B5751310": "CREEPER GLASSES"
"HASH_275C7510": "BRINGER OF DEATH"
"HASH_1B524111": "Weapon damage now scales up with overheat level."
"HASH_D3643111": "DOORS"
"HASH_9FBBA511": "LEATHER AND LACE"
"HASH_BB3FD511": "PUNKER ANARCHY JACKET"
"cm_hair_fauxhawk": "FAUXHAWK"
"HASH_4F592511": "BLUE 8"
"HASH_BDCB8712": "LEVER-ACTION"
"HASH_8003FF12": "CAUCASIAN 5"
"EXIT": "EXIT"
"HASH_A2024512": "TORQUE"
"HASH_3B743F12": "JOYSTICK JUNKIES CODE CONTROL"
"HASH_E7F79B12": "STEELPORT HEROINE TIGHTS"
"HASH_C381D513": "BLOODY MESS"
"HASH_8E6A0713": "It's a blaster. On your suit. This ain't rocket science."
"HASH_E0DB3713": "NUCLEAR MELTDOWN MASK"
"HASH_7B2F3D13": "WAKE AND BAKE HOODIE"
"HASH_4548E913": "BRIGHT BLUE-GREEN"
"HASH_82031714": "TIP SPACING"
"HASH_15A40F14": "HEAD NOD"
"HASH_A01AD714": "CHASSIS"
"HASH_42063514": "SAFARI TOUR GUIDE"
"HASH_A2AD9914": "HOODIE UP WITH SHIRT AND TIE"
"HASH_3418E714": "ALL CLEANED UP"
"HASH_1AEDF314": "PUNK ROCK"
"HASH_B79A6F14": "FIRE WYRM"
"HASH_7E8AE914": "VIOLET BLUE 5"
"HASH_BF165314": "BODY HAIR"
"HASH_70F9D515": "THE JESSICA"
"cf_suit_shaundisr2": "RETRO SHAUNDI"
"HASH_A760F515": "THE ACE OF DEATH"
"HASH_DE4DB515": "CHEVRON"
"HASH_F0B5D715": "GREEN 9"
"HASH_B8F80D16": "FEMALE 3"
"HASH_9DB0E516": "PEARLESCENT PAINT"
"HASH_C098E116": "SQUEALER"
"HASH_9AF2FD17": "RIM SET 12"
"HASH_93E8FB17": "FLEUR CHAIN"
"HASH_B622C517": "PALE BLUE"
"HASH_E67A2F18": "JOWL SPACING"
"HASH_51E1FB18": "FUZZY DICE"
"HASH_8E46C118": "PUNK ROCK STRIPPER"
"HASH_2BA20718": "HILLS PANTS"
"cm_ubdy_genkitee": "GENKI SPLAT TEE"
"HASH_F8A76519": "TIP HEIGHT"
"HASH_90EB2319": "MURDERTIME GLOVES"
"cm_ubdy_oldsteeltee": "OLD STEEL TEE"
"HASH_BB6D1719": "VIOLET 3"
"HASH_7FABC119": "UPPER BODY"
"HASH_9AE81D1A": "SLOW BURN RED"
"HASH_F992CD1B": "NINJA"
"HASH_638DFF1B": "SHARK BITE RING"
"HASH_7EA0F51C": "NOSE ELEVATION"
"HASH_EE4C371C": "BLANK"
"HASH_09808B1C": "POET HAT"
"HASH_EDA6531C": "PARTY TIME SHAG BOOTS"
"HASH_2A19CB1C": "URBAN SAFARI PLATFORMS"
"HASH_8B09211D": "REAR MODS"
"HASH_A3B3A31D": "RUST BROWN"
"HASH_3739091D": "WULF"
"Lets Pretend Female E": "TACTICAL MAIDEN"
"HASH_ABB2271D": "HI-TOPS"
"HASH_8887531D": "HIDDEN EVIL"
"HASH_8EF9AB1D": "CHIN STRIP"
"HASH_159C9D1E": "REIGNING CHAMP"
"HASH_1E740D1E": "QUIRK"
"HASH_3D60371E": "NETWORK SUNGLASSES"
"HASH_3FA3111E": "BASCINET"
"cm_suit_cid": "CID SUIT"
"HASH_338E8D1E": "GIMP"
"HASH_9B24991F": "TRIM 3"
"HASH_BB91B71F": "PAINT 1"
"HASH_31C0351F": "SEDUCTRESS CHOKER"
"HASH_E504F31F": "EYEBROWS"
"HASH_D08E5920": "SAINTS CAP"
"HASH_34542B21": "UNDERGLOW COLOR"
"HASH_21960D21": "TEAL DARK TINT"
"HASH_E7A5C722": "NUDE"
"HASH_2FD04D23": "PENETRATING SHOTS"
"HASH_500CF523": "For hitting screwballs"
"HASH_BFFDE723": "TINT"
"HASH_91602D23": "ROAD HOG"
"HASH_E9C32723": "CARDINAL HAT"
"cm_ubdy_hooddecker": "DECKER HOODIE"
"HASH_34CEF323": "HERO SHIRT"
"cm_hat_horse_mask": "HORSE MASK"
"cf_hair_longstraight-06": "FREE LOVE"
"HASH_961AC123": "RED ORANGE 6"
"HASH_3FA2B924": "You've gone to plaid!"
"HASH_6A826924": "HEADLIGHTS"
"HASH_E899C924": "STEELPORT HERO BOOTS"
"HASH_27EBB124": "BLACK"
"HASH_46F94924": "BLUE GREEN 6"
"HASH_2CE2B725": "HIGH VOLTAGE"
"HASH_DB36BD26": "THE WORD"
"HASH_4E8D8D26": "DARK RED METAL"
"HASH_F891EB26": "MAD DECENT 106.9"
"HASH_588EB126": "THE ENTERTAINER"
"HASH_4CDDBD26": "SOUTH BEACH"
"HASH_6C9A8F26": ""
"HASH_4EFBE327": "UNDERGROUND ELF"
"HASH_7E225D27": "THUMBS UP"
"female_slender": "FEMALE SLENDER"
"HASH_5B9A3127": "BUGGIN' OUT RINGS"
"HASH_D78BA727": "URBAN SAFARI WITH TURTLE NECK"
"HASH_D0963D27": "INSPECTOR"
"HASH_E2D65127": "SMALL SCAR 1"
"HASH_FE6E5F27": "GREEN 1"
"HASH_6F385528": "FRIENDLY FIRE"
"HASH_75A19B28": "EAR ROLL"
"HASH_AF03C328": "IRIDESCENT 3"
"HASH_39A70928": "DARK YELLOW"
"HASH_1C762D29": "FULL CHOKE SILENCED"
"HASH_CEB5A129": "BODY MASK"
"cm_ubdy_benking": "KING STYLE BLAZER"
"cm_ubdy_80sjacket": "THRILLING JACKET"
"HASH_57E8C129": "RED 3"
"HASH_99A3492A": "DEATH IS LIFE"
"HASH_4CE3C52A": "RED SHIRT SPECIAL"
"HASH_C7DD1F2A": "WEAPONS"
"HASH_B015132A": "Z STYLE"
"HASH_2CBEF32A": "CHUM THE WATERS"
"HASH_5536912A": "YELLOW 8"
"HASH_7B094F2B": "BUSINESS BLAZER"
"HASH_7CC7CD2B": "SPACE PRINCESS GLOVES"
"HASH_7E33A32B": "STRAWBERRY BLONDE"
"HASH_F1A9412B": "FACIAL HAIR"
"HASH_9AAFFB2C": "PURPLE"
"HASH_B0E64F2C": "HAIR"
"HASH_AD2D492C": "RIGHT HOOK"
"HASH_A6567F2C": "HYDRAULICS"
"HASH_A4364B2C": "LAZY BUM HOODIE"
"cm_suit_jumpsuit01": "SPACESUIT"
"cf_hair_vintageshort-02": "MARILYN CURLS"
"HASH_F626F72D": "A shoulder-mounted, 24-carat apocalypse"
"HASH_EDA0F32D": "TNSLB"
"HASH_BACF612D": "HIP HOP LEGEND"
"HASH_66D6112D": "CLIPPED WING"
"HASH_7EF4E52D": "GREEN"
"HASH_C884252E": "SICKLY YELLOW"
"HASH_D3859D2E": "MERCURY"
"HASH_FF832F2E": "CAST IRON"
"HASH_175B4B2E": "80'S GONE WRONG"
"HASH_7DEC3F2E": "TRULY VENOMOUS"
"cm_eyes_cucumbers": "SPA DAY"
"cf_hair_longbouffant_01": "LONG BOUFFANT"
"HASH_BF2DA92F": "EYEBALL HEIGHT"
"HASH_49D6072F": "Z STYLE PIMP VISION"
"HASH_BA4E492F": "BULLSEYE"
"HASH_63C4B530": "WINDOW GUARDS"
"cf_lbdy_skinnyshortjeans": "DENIM CAPRIS"
"HASH_50850530": "RED 7"
"HASH_667C4731": "OWNED"
"HASH_45744F31": "Misc. Color"
"HASH_FCFCC131": "KNOCKOUT BANDAGES"
"HASH_6B85C131": "ALIENS EXIST EARRINGS"
"HASH_F7DDDD31": "SWEATER VEST AND SHIRT"
"HASH_CFE2ED31": "IRON SAINT"
"HASH_DBC25131": "WART 2"
"HASH_0B1E2132": "YELLOW"
"HASH_33617D33": "The hero's choice."
"HASH_F92FB133": "PINK DARK TINT"
"HASH_6A722734": "PRIMARY COLOR"
"HASH_42A55F34": "PAINT 1"
"HASH_B1246534": "INTERIOR 1"
"HASH_075A0B34": "CHERRY BOMB"
"HASH_20D7A135": "POWER POPS"
"HASH_1C2AD135": "TIME TO DANCE"
"HASH_C003D135": "RAVE X KANDY KONSTRUCTION"
"HASH_CE6B1D35": "WOMEN'S TRACK TOP UP"
"cm_suit_f_mighty": "MAIDEN SOLDIER SUIT"
"HASH_495C7536": "Ah, whimsy!"
"HASH_7EBF7536": "LOWER LIP SIDE SIZE"
"HASH_CADDAB36": "HEAD"
"HASH_D0885F36": "BAD GIRL BOOTS"
"HASH_6D407136": "ANIME KITTY"
"HASH_1800ED36": "CELEBRATE LIFE"
"HASH_BD238D36": "KITTY KISSES"
"HASH_CFE9E137": "DEVILISH RED"
"cf_hair_medbob_01": "CLASSIC BOB"
"HASH_E0F0CD38": "The law-enforcer's first choice."
"HASH_AB600738": "STEEL"
"HASH_D2D95B38": "MENS FREE THROW JERSEY"
"HASH_3F512139": "For when you need to get medieval."
"HASH_7BE56B39": "LOWER LIP MIDDLE SIZE"
"HASH_0B99E539": "FENDER SKIRT"
"HASH_A34E6339": "DASH"
"HASH_5A78C739": "MARSHMALLOW COAT"
"cm_suit_f_witch": "NOT SO WICKED SUIT"
"HASH_A395513A": "TRUMPET YELLOW"
"HASH_59EC7B3A": "LIGHT CHAIN"
"HASH_C2C5093A": "FUTURE SOLDIER GLOVES"
"cf_hair_longstraight-02": "LAYERED STRAIGHT"
"HASH_9177053A": "RED ORANGE 2"
"HASH_46EF693A": "BLUE 4"
"HASH_C671453B": "Wubs fired by this weapon now explode."
"HASH_6BD6A33B": "DISGUSTED"
"HASH_2F2D973B": "DECAL 4"
"Doctor Rogue": "THE IRON ROGUE"
"HASH_68AC173B": "SHARK BITE HAT"
"HASH_3A0B353C": "GOLD-PLATED"
"HASH_7E8A873C": "DIGITAL CAMO"
"HASH_1D6C1F3C": "TANGERINE ORANGE"
"HASH_E67E153C": "LUCHADOR SOLDIER MASK"
"HASH_8DED4D3C": "DOGGY STYLE"
"HASH_86DE233C": "URBAN SAFARI 3/4 LENGTH T SHIRT"
"cm_lbdy_slbottoms": "SHORTS AND LEGGINGS"
"HASH_B5E5AF3C": "HAPPO SHURIKEN"
"HASH_AB05913D": ".45 FLETCHER"
"HASH_AAD9CB3D": "EFF YOU"
"HASH_62AEF53D": "SLATE GRAY"
"HASH_6C9B973D": "KHAKI GREEN"
"HASH_334F313D": "HOT PINK"
"HASH_7617EB3D": "BURNIN' FOR YOU"
"HASH_3F1BEF3D": "GO TEAM! SWEATER"
"HASH_41948D3D": "BLUE GREEN 2"
"HASH_EADCF33E": "It's wild!"
"HASH_3AF7E73E": "OUTER BROW HEIGHT"
"HASH_4996273E": "FROZEN BLUE"
"HASH_75D9633E": "LICENSE PLATE"
"cm_ubdy_ultortee": "ULTOR CORP TEE"
"HASH_AA92473E": "THE NATURAL MALE"
"HASH_E5BB953E": "LARGE SCAR 1"
"HASH_F9039B3E": "GREEN 5"
"HASH_0FA6CD3E": "HEAD"
"HASH_1940993F": "Classic camo look"
"HASH_773CA53F": "VIOLET BLUE 9"
"HASH_EA359540": "GOLD-PLATED"
"HASH_3EB12340": "THE PENETRATOR"
"HASH_21D45D40": "HOMER"
"HASH_262C4340": "NOSE"
"HASH_B0031F40": "FOURTH GRADE"
"HASH_8CC22B40": "BUILD"
"Nobody Loves Me Female H": "CANDY GIRL"
"HASH_F27F0540": "YOUNG SOLDIER"
"HASH_FBF73941": "SHE DEVIL"
"HASH_DF6EB341": "MAN IN THE SUN"
"HASH_87894741": "DEMON SAINT"
"HASH_E1389D41": "NAIL POLISH  "
"HASH_05601F41": "OVERPLUCKED"
"HASH_152F6742": "ENTIRE LEFT ARM"
"cm_hair_wizfro": "TEXTURED AFRO"
"cm_foot_deckermatt": "DECKER KING SHOES"
"HASH_CF2CAD43": "EYES"
"HASH_8FCFA143": "EAR WIDTH"
"HASH_63954D43": "THE JENKINS"
"HASH_ACC29943": "JERSEY GIRL HOOPS"
"HASH_504A8D43": "CHEER CAPTAIN"
"HASH_201AF944": "FURIOUS ORANGE"
"HASH_BC0E8B44": "ALLOY"
"HASH_30E96144": "EVERYDAY LINER"
"HASH_5D27ED45": "DIGITAL CAMO"
"HASH_A9696B45": "Time for a camoflage-themed block party.  Wait ... what?"
"HASH_B3E9C345": "STUNNER"
"HASH_ED191D45": "GRAY"
"HASH_B5288146": "EXPLOSIVE WUBS"
"HASH_1DCA0746": "SLATE GREY"
"HASH_A2FCCD46": "ZOMBIE SHIRT"
"HASH_51EFEB46": "STAG OUTFIT"
"HASH_67BD0346": "WOMEN'S TRACK TOP DOWN"
"HASH_95065146": "THIEF IN LAW"
"HASH_6B9D2746": "MOLE 2"
"HASH_AC9BED46": "BLOOD FEAST"
"HASH_670EAB46": "HATS"
"HASH_86FFD747": "For that Midas touch"
"HASH_974DE547": "TOUCHSTONE 40-CAL"
"HASH_BC355B47": "POP STAR"
"HASH_F7BCA947": "GIRL FIGHT TIGHTS"
"HASH_51A2F347": "STEAMPUNK FIGHTER"
"HASH_2A73AF48": "DEEP SILVER"
"HASH_B8400D48": "PUTRID GREEN"
"M11_Cloning_Room_BM": "GLOSS PAINT"
"HASH_91F42748": "SOUTH BEACH AVIATORS"
"HASH_DF6C4B49": "Arrr, she be a fine gun!"
"HASH_271A3D49": "WHITE GOLD"
"HASH_FC926749": "TINT 70%%"
"cm_lp35p_eyes_m_xray": "XRAY"
"cf_hair_pigtails_02": "BRAIDED PIGTAILS"
"HASH_38FF5749": "WHOLE FRONT"
"HASH_176F754A": "Makes the weapon's projectiles move faster"
"HASH_F3AED94A": "PUFFER COAT"
"HASH_7EBFC54A": "BLOODY CANONESS"
"HASH_9739414B": "Alien weapons never looked so good."
"HASH_4C2A034B": "COMPONENT CHASSIS"
"cm_lp35p_eyes_m_monocler": "RIGHT MONOCLE"
"HASH_319FBF4B": "PURPLE"
"HASH_DCAEB14B": "BRIGHT PINK"
"HASH_1039E34C": "It's Zin bling!  'Zinbling' is a fun word.  Zinbling! "
"HASH_276AB94C": "Affordable lethality for the discerning thug"
"HASH_B071814C": "GREEN LIGHT TINT"
"HASH_0528194C": "STREET COMFORT BRA"
"HASH_6297614C": "BAD COP EARRINGS"
