"ACT_WHORED_Z_AGRIZOOPHOBIA": "Es un gran problema."
"ACT_TRAFFIC_PROTECT_M": "PROTEGE AL [format][color:green]CAMELLO[/format] DURANTE SUS ENTREGAS DE HOY"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "DETÉN EL [format][color:red]VEHÍCULO[/format] Y SACA A LA [format][color:green]CHICA[/format]"
"ACT_WHORED_D_IRONY": "De \"mini\" nada."
"ACT_WHORED_APOC": "Limpiando las calles... haciendo explotar a la gente."
"ACT_WHORED_ROUND1": "¡Bienvenido al modo Hordas!"
"ACT_VANDALISM_NAME": "CAOS"
"ACT_VANDAL_BONUS_BASE_VALUE": "VALOR BASE"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "TIENES %d SEGUNDOS PARA ALEJARTE DEL OBJETIVO"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "BONIFICACIÓN DE CAÑÓN DE PARABRISAS"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "{HANDBRAKE_IMG} DERRAPA DURANTE %0.1f SEGUNDOS PARA CALMAR AL TIGRE"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "HAS HUNDIDO EL COCHE"
"ACT_WHORED_MEGAFURRIES": "¡Los más grandes, monos y letales!"
"ACT_WHORED_AYDIOSMIO_FAIL": "¿Por qué?"
"CHOP_SHOP_START": "CONSEGUIR LISTA DE TALLERES ILEGALES"
"ACT_VANDAL_TEAM_BONUS_MSG": "Si matas %ls obtendrás una bonificación."
"ACT_ESCORT_CLIENT_MSG": "RECOGE AL [format][color:green]CLIENTE[/format]"
"ACT_THEFT_SAFE_OPEN": "ABRIR LA CAJA FUERTE"
"ACT_WHORED_A_SELF_CONSCIOUS": "Se dice que el tamaño no importa..."
"ACT_WHORED_MEGACAN_FAIL": "Ahora la lata te recicla a ti."
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "Todos sabíamos que los mendigos se iban a levantar."
"ACT_WHORED_ZOMBIE_INFERNO": "Los zombis corren, explotan y te prenden fuego. Y tampoco recuperas salud. Sí, somos unos capullos."
"ACT_RUNNING_MAN_WAGER_TITLE": "¿DOBLAR?"
"ACT_ESCORT_NAME": "ESCOLTA"
"ACT_EARNED_RESPECT": "¡Has ganado %d de respeto!"
"ACT_WHORED_D_APOTHEOSIS": "¡Hora de matar, hora de pasarlo bien!"
"ACT_WHORED_MINICANS": "Minilatas, minicañón... ¡Superdiversión!"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "LA BANCA"
"ACT_ZOMBIE_START_WAVES": "DETÉN EL ASALTO ZOMBI ANIQUILANDO AL RESTO DE LOS ZOMBIS"
"ACT_VANDAL_STATION_WAGON_MSG": "COCHES FAMILIARES"
"ACT_FRAUD_CURRENT_HIT": "ÚLTIMO IMPACTO:"
"ACT_CHOP_NOT_WANTED": "El taller no quiere ese vehículo. "
"ACT_WHORED_MEGA_TRANNY": "Brutella quiere un poco."
"ACT_TORCH_FRENZY_INSTRUCTIONS": "Acaba con los objetivos marcados antes de que se agote el tiempo."
"ACT_WHORED_Z_ROLL_OVER": "Muere de una vez."
"ACT_WHORED_A_VINTAGE_HORROR": "Luchas contra zombis utilizando un arma con munición ilimitada. No puedes correr ni recobrar la salud."
"ACT_TANK_MAYHEM_NAME": "CAOS DE TANQUE"
"ACT_VANDALISM_TITLE": "SELECCIÓN DE NIVEL DE CAOS"
"ACT_LEVEL_3": "NIVEL 3"
"ACT_CHOP_SHOP_NAME": "TALLER ILEGAL"
"ACT_WHORED_GAT_ATTACK": "¡Toma el control de un Gat mascota gigante y aplasta a tus enemigos!"
"ACT_LEVEL_6": "NIVEL 6"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "RÉCORD DE SALTADOR FALSO"
"ACT_CHOP_SHOP_MODS_REQUIRED": "Algunos coches necesitan modificaciones especiales."
"ACT_WHORED_A_TANK": "Vamos a necesitar un barco más grande."
"ACT_WHORED_D_TARGET_PRACTICE": "La galería de tiro rural con un toque moderno."
"ACT_WHORED_WEAKSAUCE": "¡Se reducen tu tamaño y el daño que causas!"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "REALIZADOS TODOS LOS TRATOS"
"ACT_YOU_HAVENT_COMPLETED": "(NO HAS COMPLETADO)"
"ACT_VANDAL_SUMMARY_PEOPLE": "PERSONAS"
"ACT_VANDAL_GOAL_MSG": "OBJETIVO:"
"ACT_TRAFFIC_PROTECT_F": "PROTEGE AL [format][color:red]CAMELLO[/format] DURANTE SUS ENTREGAS DE HOY"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "RECOGE A LOS [format][color:green]SAINTS[/format] Y PONLOS [format][color:blue]A SALVO[/format]"
"PUSHBACK_GSI_TITLE": "RETIRADA"
"ACT_WHORED_A_LITTLE_NIKITA": "Sexy y mortal."
"CHOP_SPORT_SPOILER": "SPOILER DEPORTIVO"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "BONIFICACIÓN DE COCHE COMPACTO"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "DESESPOSA AL CAMELLO"
"ACT_FRAUD_BONUS_COP_WITNESS": "BONIFICACIÓN DE TESTIGO POLICIAL"
"ACT_CHOP_REJECT_BURNING": "¡El taller no quiere un vehículo enmarronado!"
"HASH_DBAAE25B": "ESTE BARRIO ESTÁ SIENDO ATACADO"
"ACT_WHORED_BOWLING": "¡Tíralos todos!"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "BONIFICACIÓN DE CAMIONETA"
"ACT_HUMAN_TORCH_NAME": "RASTRO LLAMEANTE"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "Ha sido destruido un coche de huida."
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "¡REGRESA A LA FURGONETA!"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "MANTÉN PULSADO {ANALOG_RS_IMG} EN LA \"ZONA CALIENTE\" Y USA {ANALOG_LS_IMG} PARA MEDIR TUS MOVIMIENTOS CORRECTAMENTE"
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "BONIFICACIÓN DE DEPORTIVO"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "¡UNO DE LOS CONTACTOS HA MUERTO! NECESITARÁS A OTRO"
"ACT_WHORED_D_ANKLE_BITERS": "Las cosas más mortíferas vienen en frascos pequeños."
"CHOP_SHOP_NAME": "TALLER ILEGAL"
"ACT_FRAUD_HIT": "ATROPELLOS:"
"ACT_VANDAL_LAUNCHER_MSG": "LANZACOHETES"
"CELL_PHONE_NO_VEHICLES": "SIN VEHÍCULOS"
"ACT_WHORED_GRENADIER_STRIPPERS": "Dales a las ministrippers una granada de propina."
"ACT_WHORED_WEAKSAUCE_FAIL": "¡TIRILLAS!"
"ACT_RUNNING_MAN_NAME": "PROFESSOR GENKI'S SERC"
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "Consigue dinero destruyendo objetivos y matando a enemigos y sal del pabellón antes de que se agote el tiempo. Si destruyes varios objetos muy seguidos, ganarás una bonificación de combo."
"ACT_VANDAL_NIGHTSTICK_MSG": "PORRA"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "BONIFICACIÓN: USA %s (+%d $)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "BONIFICACIÓN: MATA %s (+%d $)"
"ACT_ESCORT_SPAWNED_MSG": "PIERDE A LA FURGONETA DE LA PRENSA QUE TE SIGUE"
"ACT_ESCORT_ROADBLOCK_MSG": "LA CALLE ESTÁ BLOQUEADA POR FURGONETAS DE LA PRENSA"
"ACT_LEVEL_8": "NIVEL 8"
"ACT_VANDAL_RIFLE_MSG": "FUSIL"
"ACT_VANDAL_BONUS_MULTI_TEAM": "BONIFICACIÓN: MATA %s (X%d)"
"ACT_HELI_TITLE": "SELECCIÓN DE NIVEL DE ASALTO DE HELICÓPTERO"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "Protege a los [format][color:green]ladrones[/format] con el fusil de francotirador."
"ACT_ESCORT_OUTRUN": "EVITA A TU PERSEGUIDOR"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "HAN MATADO AL CLIENTE"
"STRONGHOLD_RESTART_TITLE": "FORTALEZA FRACASADA"
"MISSION_FAILURE_SUB_TEXT": "MISIÓN FRACASADA"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "Récord de saltador falso: %.2f pies"
"ACT_FRAUD_IN_AREA": "GANA TODO EL DINERO POSIBLE ANTES DE QUE EL [format][color:teal]ÁREA DE PUNTUACIÓN[/format] SE MUEVA"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "HAS ATROPELLADO AL CLIENTE"
"HASH_391B5C61": "DEFENSA DE BARRIO FRACASADA"
"ACTIVITY_NAME_HELI": "ASALTO DE HELICÓPTERO"
"LOCALIZE_CHOP_SHOP": "TALLER ILEGAL"
"ACT_HITMAN_START": "INICIAR SICARIO"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "OLEADA %d SOBREVIVIDA"
"ACT_FRAUD_BEST_HIT_HUD": "MEJOR IMPACTO:"
"ACT_WHORED_Z_MS_SEBERT": "Está a punto de..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "Se va a liar."
"ACT_WHORED_GIMPS": "¡Saca la ropa sadomaso!"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "Deberías haber respetado la carne."
"ACT_LEVEL_5": "NIVEL 5"
"ACT_WHORED_A_AW_NUTS": "¿Quieres derribar a alguien? Apunta a la basura."
"ACT_WHORED_A_WELCOME": "Es obvio, pero es la oleada 1..."
"ACT_WHORED_APOC_FAIL": "¿Y si fingimos que no ha sucedido?"
"ACT_VANDAL_KNIFE_MSG": "CUCHILLO"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "HAN MUERTO DEMASIADAS CHICAS. RECLÚTALAS {RECRUIT_DISMISS_IMG} Y LUEGO HUYE RÁPIDAMENTE DEL LUGAR"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "RÉCORD DE COCHE DE FLÍPER FALSO"
"ACT_FRAUD_BONUS_AREA": "BONIFICACIÓN DE ÁREA"
"ACT_WHORED_THE_END": "¡Buena suerte!"
"HORDE_CHARACTER_COWGIRL": "VAQUERA"
"CTS_MESSAGE_PLACE_BOMBS": "COLOCAR BOMBAS"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "SENTIDO ANTIHORARIO"
"CHOP_CONVERTIBLE_ROOF": "TECHO DESCAPOTABLE"
"ACT_TORCH_FAIL_WATER": "HAS APAGADO EL TRAJE, CUIDADO CON EL AGUA"
"ACT_GUARDIAN_ANGEL_START": "INICIAR ÁNGEL DE LA GUARDA"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "BONIFICACIÓN DE CONDUCTOR RICO"
"ACT_WHORED_D_TOKYO_BEWARE": "Cada persona encierra un pequeño Saint en su interior."
"ACT_WHORED_GRENADIERS": "Las nenas saben cómo defenderse... ¡con granadas!"
"ACT_WHORED_MEGA_WHORE_FAIL": "Más grande no siempre es mejor."
"ACT_RUNNING_MAN_INTRO_L_3": "Consigue 3.500 $ destruyendo objetivos y matando a enemigos y sal del pabellón antes de que se agote el tiempo. Si destruyes varios objetos muy seguidos, ganarás una bonificación de combo."
"ACT_VANDAL_PASSENGER": "PASAJERO"
"ACT_WHORED_ZOMBIESATV_FAIL": "Dales antes de que te den a ti."
"ACT_TRAFFIC_PROTECT_DRIVER": "LLEVA AL [format][color:green]CAMELLO[/format] CON [format][color:teal]LOS CLIENTES[/format]"
"ACT_FRAUD_NO_TIME": "Se te ha acabado el tiempo."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "¡RÁPIDO! ¡CALMA AL TIGRE!"
"ACT_WHORED_A_COYOTE_UGLY": "Hay que recobrar la sobriedad cuanto antes."
"ACT_WHORED_D_FEVER_DREAM": "El tema se ha vuelto surrealista."
"ACT_CHOP_SHOP_START": "INICIAR TALLER ILEGAL"
"ACT_HELI_VAN_LIFE_TEXT": "VIDA DE FURGONETA"
"HASH_755E0DE8": "LLEVA AL [format][color:green]CLIENTE[/format] POR LA [format][color:teal]UNIVERSIDAD[/format]"
"ACT_WHORED_Z_HANK_EAST": "Ha cubierto guerras, ¿sabes?"
"ACT_WHORED_A_LEAF_BLOWER": "Limpia este lugar."
"ACT_WHORED_MINISNIPERS": "Un tiro, un muerto."
"ACT_RUNNING_MAN_TARGET_SHOT": "TIRO EN EL BLANCO"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "OBJETIVOS VALIOSOS"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "SE ACABÓ EL TIEMPO"
"ACT_FRAUD_TOTAL_MULTIPLIER": "Multiplicador total: %.2fx"
"HASH_6F3F6AE9": "LLEVA AL [format][color:green]CLIENTE[/format] AL [format][color:teal]PUERTO DEPORTIVO[/format]"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "SELECCIÓN DE NIVEL DE ZOMBI"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "BONIFICACIÓN DE FIANZA"
"HASH_AF6B906A": "RETIRADA FRACASADA"
"ACT_WHORED_D_RUNNING_DEAD": "Resérvate siempre la última ronda."
"ACT_WHORED_MINI_BRUTES_FAIL": "Los paquetes pequeños también duelen."
"SUCCESS_CASH_TEXT": "DINERO"
"CHOP_STREET_SPOILER": "SPOILER DE CALLE"
"ACT_HELI_PROTECTION_CATCH_UP": "TUS [format][color:green]COLEGAS[/format] TE ESPERAN"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "EL OBSERVADOR HA VISTO UNA [format][color:red]MOTOCICLETA[/format] DETENIÉNDOSE"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "EL CLIENTE SOLICITA QUE LE HAGAS %ls %ls"
"ACT_WHORED_ROLLERHOS_FAIL": "Son rápidas y letales."
"ACT_ESCORT_COURAGE": "VALOR"
"CHOPCHOP_NONE": "NINGUNA"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "BONIFICACIÓN: USA %s (X%d)"
"ACT_PIMPING_OBJECTIVE_1": "RECLUTA A %d CHICAS Y LLÉVALAS CON ZIMOS"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": "COLOCA UNA CARGA"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "BONIFICACIÓN DE VEHÍCULO CIVIL"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "VEHÍCULOS QUE QUEDAN: %i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "O creías que tenías superfuerza."
"ACT_TRAFFICKING_DAMAGE": "DAÑO"
"BUTTON_MASHING_UTIL_MESSAGE": "TIENES QUE PULSAR EL BOTÓN %ls %d VECES MÁS EN %d SEGUNDOS"
"ACT_ZOMBIE_TRIGGER_WARNING": "¡Si abandonas, harás que los zombis ataquen el mundo!"
"ACT_ZOMBIE_LIMITED_USES": "Usa las armas con prudencia. Tienen un número limitado de usos."
"ACT_VANDAL_BONUS_VEHICLE": "BONIFICACIÓN DE VEHÍCULO"
"ACT_PIMPING_FAIL_KILLED_HO": "HAS MATADO A TU PROPIA CHICA"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "RÉCORD DE TESTIGO POLICIAL FALSO"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "Por eso es importante dar propina a tu stripper. Incluso a las mini."
"ACT_WHORED_MEGA_WHORE": "Tamaño al por mayor."
"ACTIVITY_FAILURE_CANCEL_TEXT": "ACTIVIDAD CANCELADA"
"ACT_TORCH_TIME_ACCRUED": "BONIFICACIÓN:"
"ACT_HELI_DIVIDER_TEXT": "/"
"HASH_7059B6EE": "Continúa hasta el siguiente grupo de [format][color:red]lugartenientes[/format]."
"ACT_MAYHEM_FAIL": "¡SE TE HA ACABADO EL TIEMPO! USA MÁS COMBOS DE DAÑO PARA CONSEGUIR MÁS PUNTOS"
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "BONIFICACIÓN DE IMPACTO DE GRUPO"
"ACT_ESCORT_COMPLETE_MSG": "BIEN HECHO"
"ACT_WHORED_A_TBIRD": "¡Que arda! ¡Que arda!"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "NO HAS CONSEGUIDO LA PUNTUACIÓN OBJETIVO. HAS PERDIDO TU APUESTA DE %ls."
"STRONGHOLD_START_MESSAGE": "INICIAR FORTALEZA"
"ACTIVITY_CANCELLED_SUB_TEXT": "CANCELADO"
"ACT_PIMPING_TITLE": "SELECCIÓN DE NIVEL DE CHULEO"
"ACT_VANDAL_BONUS_MULTIPLIER": "MULTIPLICADOR DE BONIFICACIÓN: "
"ACT_VANDAL_BAT_MSG": "BATE DE BÉISBOL"
"ACT_ESCORT_GETBACK_MSG": "VUELVE AL [format][color:yellow]COCHE[/format]"
"HASH_E76B14F0": "RETIRADA FRACASADA"
"ACT_WHORED_A_PUNCH_DRUNK": "Haz que Marcellus se sienta orgulloso."
"STICK_ROTATION_UTIL_MESSAGE": "Tienes que girar el stick %ls en %ls %f veces en %d segundos."
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": "HAN DESCUBIERTO A LOS [format][color:green]CONTACTOS[/format], VE A RESCATARLOS"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "RESCATA A LOS [format][color:green]CONTACTOS[/format] Y TRÁELOS DE VUELTA"
"ACT_ESCORT_SATISFIED_MSG": "DEJA AL [format][color:green]CLIENTE[/format]"
"ACT_WHORED_A_APEX_PRED": "Demuéstrales quién manda en la cadena alimentaria."
"ACT_WHORED_A_PESTS": "¡Están por todas partes!"
"ACT_WHORED_MINISNIPERS_FAIL": "El cazador se convierte en presa."
"ACT_WHORED_ZOMBIES_EXPLODE": "Zombis y zombis explosivos. Sí, podría hacer pupa."
"ACT_HOSTAGE_START": "INICIAR REHÉN"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "COCHE DE POLICÍA"
"ACT_FRAUD_GO_TO_SCORING_AREA": "VE AL ÁREA DE PUNTUACIÓN"
"ACT_CHOP_BRING_CAR": "Regresa con un vehículo."
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "CAOS DE TANQUE"
"TEMP_LAST_MINUTE_2": "ABRIR EL TALLER ILEGAL"
"CHOP_OFF_ROAD_RIMS": "LLANTAS DE TODOTERRENO"
"ACT_ZOMBIE_DISPLAY_NAME": "ZOMBIE UPRISING"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "POLICÍA"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "BONIFICACIÓN DE COCHE ESTÁNDAR"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "RÉCORD DE VEHÍCULO FALSO"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "Se han perdido demasiados coches."
"ACT_WHORED_BAT": "A batear."
"ACT_RUNNING_MAN_INTRO_L_2": "Consigue 2.000 $ destruyendo objetivos y matando a enemigos y sal del pabellón antes de que se agote el tiempo. Si destruyes varios objetos muy seguidos, ganarás una bonificación de combo."
"ACTIVITY_NAME_RUNNING_MAN": "PROFESSOR GENKI'S SUPER ETHICAL REALITY CLIMAX"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "Pulsa {SHOULDER_CAM_IMG} para apuntar con precisión. Pulsa {ZOOM_IN_IMG}/{ZOOM_OUT_IMG} para acercar y alejar la vista"
"ACT_ESCORT_STRIPPER_MSG": "ESPERA A QUE LA BAILARINA DE STRIPTEASE SUBA AL COCHE"
"ACT_ESCORT_GETBACK_COUNT_MSG": "TIENES %d SEGUNDOS PARA VOLVER AL [format][color:yellow]COCHE[/format]"
"HORDE_LEVEL_DAEDALUS": "DAEDALUS"
"ACT_LEVEL_4": "NIVEL 4"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "RECIBIRÁS UNA PENALIZACIÓN SI UTILIZAS EL ARMA %ls"
"ACT_VANDAL_WEAPON_BONUS_MSG": "RECIBIRÁS UNA BONIFICACIÓN SI UTILIZAS EL ARMA %ls"
"ACT_TRAFFIC_POLICE_STING_START": "¡GOLPE ENCUBIERTO! ¡RESCATA AL [format][color:green]CAMELLO[/format] DE LOS MADEROS!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "LLEVA AL [format][color:green]CAMELLO[/format] CON LOS CLIENTES"
"ACT_HELI_TIMER_TEXT": "TIEMPO RESTANTE"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "HAN MATADO A LA BAILARINA"
"ACT_WHORED_A_CONSCRIPTED": "El servicio continúa incluso después de morir."
"ACT_WHORED_GENKI_REVENGE": "Professor Genki's Super Ethical Explosion Funtime Go!"
"CHOP_STYLISH_RIMS": "LLANTAS ELEGANTES"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "NO GANAS DINERO POR DESTRUIR [format][color:red]%ls[/format]"
"ACT_WHORED_Z_BIG_BONED": "Va muy en serio."
"ACT_VANDALISM_COMBO": "COMBO: [format][color:grey]%i[/format]"
"ACT_ZOMBIE_NAME": "ZOMBIE UPRISING"
"ACT_VANDAL_VAN_MINIVAN_MSG": "FURGONETAS"
"ACT_WHORED_BOWLING_FAIL": "Adiós puntuación perfecta."
"ACT_WHORED_MONEYSHOTS": "Apunta a la cabeza."
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "ZOMBIS MUERTOS: "
"ACT_VANDAL_SUMMARY_UNKNOWN": "DESCONOCIDO"
"ACT_TRAFFIC_BUYER_ATTACK": "ESTÁN ATACANDO AL CLIENTE"
"ACT_HELI_NAME": "ASALTO DE HELICÓPTERO"
"ACT_HELI_CONVOY_BASE_MESSAGE": "DETÉN EL CONVOY ANTES DE QUE LLEGUE A %s"
"ACT_FRAUD_ADRENALINE_TAG": "ADRENALINA:"
"HASH_57E7C078": "MATA A TODOS LOS [format][color:red]LUGARTENIENTES DE LA BANDA[/format]"
"ACT_WHORED_MINI_SAMURAI": "Un hombre pequeño, una espada enorme y sangre a raudales."
"STRONGHOLD_RESTART_PROMPT": "¿Quieres volver a jugar esta fortaleza?"
"ACT_TORCH_RACE_INSTRUCTIONS1": "Pasa por los puntos de control para convertir las bonificaciones en tiempo extra."
"ACT_VANDAL_SUV_MSG": "4X4"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "HORA"
"ACT_WHORED_ZOMBIE_UPRISING": "Sobrevive al apocalipsis zombi... ¡sin correr!"
"ACT_RUNNING_MAN_TRAP_EVADE": "TRAMPA EVITADA"
"ACT_ESCORT_RAGE": "FURIA ANIMAL"
"MISSION_SUCCESS_SUB_TEXT": "MISIÓN COMPLETADA"
"ACT_HUD_CASH_MAX": "MONTONES"
"ACT_FRAUD_TITLE": "SELECCIÓN DE NIVEL DE FRAUDE AL SEGURO"
"CHOP_STYLISH_HOOD": "CAPÓ ELEGANTE"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "HAN ARRESTADO AL CAMELLO"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "¡HAS DESCUBIERTO UNA TRAMPA! MATA A LOS [format][color:red]DECKERS[/format] ANTES DE RECLUTAR A LOS [format][color:green]CONTACTOS[/format]"
"ACT_PIMPING_CAPTURED_HO_DIED": "¡UNA DE LAS CHICAS HA MUERTO! NECESITARÁS OTRA"
"ACT_FRAUD_BONUS_DISTANCE": "BONIFICACIÓN DE DISTANCIA LINEAL"
"ACT_WHORED_A_STEELPORT_WAY": "Él saca un consolador; tú, un cuchillo."
"ACT_WHORED_D_LEAGUE_OF_OWN": "Cuidado, Kit."
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "¡APOSTAR %ls PARA LOGRAR %ls!"
"ACT_HELI_DISH_HUD_TEXT": "PARABÓLICAS DESTRUIDAS"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "RESULTAR HERIDO EN ESTA ZONA DE BONIFICACIÓN SUMA UN MULTIPLICADOR 2X"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "Trae los coches indicados al [format][color:green]taller ilegal[/format] para conseguir dinero."
"GARAGE_CANNOT_CUSTOMIZE": "VEHÍCULO NO PERSONALIZABLE"
"CTS_MESSAGE_GO_PENTHOUSE": "VE AL ÁTICO"
"ACT_LEVEL_1": "NIVEL 1"
"ACT_ESCORT_TITLE": "SELECCIÓN DE NIVEL DE ESCOLTA"
"ACT_VANDAL_PISTOL_MSG": "PISTOLA"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "Alcanza ese coche y róbalo."
"HASH_DBD1BF7C": "%s RECHAZADOS"
"ACT_WHORED_HITNRUN": "Empieza a acribillarlos."
"CHOP_STREET_HOOD": "CAPÓ DE CALLE"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "BONIFICACIÓN DE COCHE DE LUJO"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "EVITA A LA PRENSA"
"ACTIVITY_NAME_TRAFFICKING": "TRÁFICO DE DROGAS"
"ACT_ZOMBIE_START": "¿Jugar al videojuego \"Zombie Uprising\"?"
"ACT_VANDAL_OBJECTIVE_2": "¡Los combos de destrucción en cadena brindan dinero adicional!"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "¡HAS DESCUBIERTO UNA TRAMPA! RECLUTA A ESOS [format][color:green]CONTACTOS[/format] Y SAL DE AHÍ"
"ACT_HELI_TARGETS_TEXT": "OBJETIVOS COMPLETADOS"
"ACT_WHORED_NINJAS_FAIL": "Silencioso pero mortal."
"CHOP_STREET_GRILL": "RADIADOR DE CALLE"
"ACT_VANDAL_THROWN_MSG": "ARMA ARROJADIZA"
"ACT_VANDAL_BOAT_MSG": "BARCOS"
"ACT_PIMPING_HOS_COLON": "CHICAS:"
"ACT_FRAUD_KILLED": "Has perdido credibilidad después de matar a una persona."
"ACT_WHORED_D_NORMS_REVENGE": "Cuando lo único que tienes es un martillo, allá donde miras no ves más que clavos."
"ACT_WHORED_STARPOWER": "¡Todas sus armas se han mejorado y los enemigos explotan cuando los tocas!"
"HORDE_CHARACTER_GIMPY": "GIMPY"
"ACT_RUNNING_MAN_WAGER_REJECT_TEXT": "NO APUESTO. DAME MIS %ls."
"ACT_TRAFFICKING_START": "INICIAR TRÁFICO DE DROGAS"
"ACT_VANDAL_CAR_COMPACT_MSG": "COCHES COMPACTOS"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "BONIFICACIÓN DE FURGONETA"
"ACT_FRAUD_BONUS_DISTRICT": "BONIFICACIÓN DE DISTRITO"
