"ACT_WHORED_Z_AGRIZOOPHOBIA": "Je to velkej problém."
"HASH_3662C1D0": "NEPODAŘILO SE TI ZÍSKAT SOUSEDSTVÍ ZPĚT."
"ACT_WHORED_D_STEELPORT_CONNECTION": "Pěst chlupatých"
"ACT_WHORED_FLAMEBRUTE": "Chystá se bestiální grilovačka!"
"ACT_WHORED_ZOMBIE_SLAYER": "Se svou svatou zbraní očistíš svět od nákazy nemrtvých."
"ACT_WHORED_OLD_SCHOOL": "Žádný sprint, žádná regenerace zdraví, jen brokovnice a pud sebezáchovy."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "JE TO PAST! NAVERBUJ [format][color:green]ŠLAPKY[/format] A VYPADNI."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "LETIŠTĚ"
"ACT_WHORED_Z_BRUTE_ACTION": "Jen tak si s tebou hrajem."
"ACT_WHORED_HITNRUN_FAIL": "Nauč se řídit!"
"ACT_ZOMBIE_TRIGGER_FAIL": "NEDOKÁZAL JSI ZASTAVIT ÚTOK ZOMBIÍ"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "BONUS: ZNIČ %s (+%d DOLARŮ)"
"ACT_TRAFFIC_PROTECT_M": "CHRAŇ [format][color:green]DEALERA[/format] BĚHEM DNEŠNÍ ROZVÁŽKY"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "ZASTAV [format][color:red]VOZIDLO[/format] A NABER [format][color:green]ŠLAPKU[/format]."
"ACT_WHORED_D_IRONY": "Na tom není nic \"mini\"."
"ACT_WHORED_APOC": "Uklízíme ulice... Vyhazováním lidí do luftu."
"ACT_WHORED_ROUND1": "Vítej v režimu děvky!"
"ACT_VANDALISM_NAME": "VANDALSTVÍ"
"ACT_VANDAL_BONUS_BASE_VALUE": "ZÁKLADNÍ BONUS"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "MÁŠ %d SEKUND NA ÚNIK OD CÍLE"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "BONUS ZA AUTODĚLO"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "JEĎ {HANDBRAKE_IMG} SMYKEM PO %0.1f SEKUND, AŤ TYGRA UKLIDNÍŠ"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "UTOPIL JSI AUTO"
"ACT_WHORED_MEGAFURRIES": "Velký, roztomilý a vražedný!"
"ACT_WHORED_AYDIOSMIO_FAIL": "¿Por qué?"
"CHOP_SHOP_START": "VZÍT SEZNAM VOZŮ DÍLNY"
"ACT_VANDAL_TEAM_BONUS_MSG": "Pokud zahyne %ls, získáš zvláštní bonus."
"ACT_ESCORT_CLIENT_MSG": "VYZVEDNI [format][color:green]KLIENTA[/format]"
"ACT_THEFT_SAFE_OPEN": "OTEVŘÍT SEJF"
"ACT_WHORED_A_SELF_CONSCIOUS": "Na velikosti prej nezáleží."
"ACT_WHORED_MEGACAN_FAIL": "A teď zrecyklujou tebe."
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "Bylo jasný, že jednou bezďácká apokalypsa přijde."
"ACT_WHORED_ZOMBIE_INFERNO": "Zombie běhají, vybuchují a podpalují tě. Jo, a nebude ti ani přibývat zdraví. Ano, jsme zlí."
"ACT_RUNNING_MAN_WAGER_TITLE": "DVOJNÁSOBEK?"
"ACT_ESCORT_NAME": "ESKORTA"
"ACT_EARNED_RESPECT": "Získáno %d respektu!"
"ACT_WHORED_D_APOTHEOSIS": "Čas na vraždu, čas na srandu!"
"ACT_WHORED_MINICANS": "Miniguny a miniplechovky, pořádná zábava!"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "SKŘÍŇ S PENĚZI"
"ACT_ZOMBIE_START_WAVES": "ZNIČ ZBÝVAJÍCÍ ZOMBIE A ZASTAV TAK ÚTOK NEMRTVÝCH."
"ACT_VANDAL_STATION_WAGON_MSG": "KOMBÍKY"
"ACT_FRAUD_CURRENT_HIT": "POSLEDNÍ ZÁSAH:"
"ACT_CHOP_NOT_WANTED": "O tohle auto nemá dílna zájem. "
"ACT_WHORED_MEGA_TRANNY": "Brutella si chce užít."
"ACT_TORCH_FRENZY_INSTRUCTIONS": "Spal všechny označené cíle, než vyprší čas."
"ACT_WHORED_Z_ROLL_OVER": "Zůstaňte mrtví."
"ACT_WHORED_A_VINTAGE_HORROR": "Bojuješ proti zombíkům a tvoje zbraň má neomezenou munici. Nemůžeš sprintovat a zdraví se neobnovuje."
"ACT_TANK_MAYHEM_NAME": "TANKOVÝ MASAKR"
"ACT_VANDALISM_TITLE": "VÝBĚR ÚROVNĚ VANDALSTVÍ"
"ACT_LEVEL_3": "ÚROVEŇ 3"
"ACT_CHOP_SHOP_NAME": "AUTODÍLNA"
"ACT_WHORED_GAT_ATTACK": "Převezmi kontrolu nad Gatovým obřím maskotem a rozdrť své nepřátele!"
"ACT_LEVEL_6": "ÚROVEŇ 6"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "REKORD PODVODU 'SKOKAN'"
"ACT_CHOP_SHOP_MODS_REQUIRED": "Některá auta potřebují zvláštní úpravy."
"ACT_WHORED_A_TANK": "Budeme potřebovat větší loď."
"ACT_WHORED_D_TARGET_PRACTICE": "Venkovská střelecká galerie s nádechem moderny."
"ACT_WHORED_WEAKSAUCE": "Zmenšil ses a působíš menší poškození!"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "VŠECHNY KŠEFTY JSOU DOKONČENY"
"ACT_YOU_HAVENT_COMPLETED": "(NEDOKONČENO)"
"ACT_VANDAL_SUMMARY_PEOPLE": "LIDÉ"
"ACT_VANDAL_GOAL_MSG": "CÍL:"
"ACT_TRAFFIC_PROTECT_F": "CHRAŇ [format][color:red]DEALERA[/format] BĚHEM DNEŠNÍ ROZVÁŽKY"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "VYZVEDNI [format][color:green]SVATÉ[/format] A ODVEZ JE DO [format][color:blue]BEZPEČÍ[/format]"
"PUSHBACK_GSI_TITLE": "PŘEVRAT"
"ACT_WHORED_A_LITTLE_NIKITA": "Sexy a smrtící."
"CHOP_SPORT_SPOILER": "SPORTOVNÍ SPOJLER"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "BONUS ZA KOMPAKTNÍ AUTA"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "SUNDEJ DEALEROVI POUTA"
"ACT_FRAUD_BONUS_COP_WITNESS": "BONUS ZA POLICEJNÍHO SVĚDKA"
"ACT_CHOP_REJECT_BURNING": "O hořící auto nemá dílna zájem!"
"HASH_DBAAE25B": "TATO ČTVRŤ JE POD ÚTOKEM"
"ACT_WHORED_BOWLING": "Sraz je na zem!"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "BONUS ZA PICKUPY"
"ACT_HUMAN_TORCH_NAME": "ŽIVÁ POCHODEŇ"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "Únikové auto bylo zničeno. "
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "VRAŤ SE ZPÁTKY DO DODÁVKY!"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "DRŽ {ANALOG_RS_IMG} NA AKTIVNÍM BODU A POMOCÍ {ANALOG_LS_IMG} SPRÁVNĚ NAČASUJ SVÉ POHYBY"
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "BONUS ZA SPORTOVNÍ AUTA"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "JEDEN Z INFORMÁTORŮ ZEMŘEL! BUDEŠ POTŘEBOVAT DALŠÍHO."
"ACT_WHORED_D_ANKLE_BITERS": "Smrtící věci jsou v malých balíčcích."
"CHOP_SHOP_NAME": "AUTODÍLNA"
"ACT_FRAUD_HIT": "ZÁSAHY:"
"ACT_VANDAL_LAUNCHER_MSG": "RAKETOMET"
"CELL_PHONE_NO_VEHICLES": "ŽÁDNÁ VOZIDLA"
"ACT_WHORED_GRENADIER_STRIPPERS": "Dej ministriptérkám granát místo dýška."
"ACT_WHORED_WEAKSAUCE_FAIL": "SLABOUČKÝ!"
"ACT_RUNNING_MAN_NAME": "S.E.R.K. PROFESORA GENKIHO"
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "Vydělej si peníze ničením cílů, zabíjením nepřátel a útěkem z arény dřív, než ti vyprší čas. Za rozbíjení věcí v rychlém sledu dostaneš bonus."
"ACT_VANDAL_NIGHTSTICK_MSG": "PENDREK"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "BONUS: POUŽIJ %s (+%d DOLARŮ)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "BONUS: ZABIJ %s (+%d DOLARŮ)"
"ACT_ESCORT_SPAWNED_MSG": "SETŘES ZPRAVODAJSKÝ VŮZ, KTERÝ SE NA TEBE PŘILEPIL"
"ACT_ESCORT_ROADBLOCK_MSG": "ZPRAVODAJSKÉ VOZY TI BLOKUJÍ CESTU"
"ACT_LEVEL_8": "ÚROVEŇ 8"
"ACT_VANDAL_RIFLE_MSG": "PUŠKA"
"ACT_VANDAL_BONUS_MULTI_TEAM": "BONUS: ZABIJ %s (X%d)"
"ACT_HELI_TITLE": "VÝBĚR ÚROVNĚ ÚTOKU ZE VZDUCHU"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "Pomocí odstřelovací pušky ochraň [format][color:green]lupiče[/format]."
"ACT_ESCORT_OUTRUN": "SETŘES PRONÁSLEDOVATELE"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "KLIENT ZAHYNUL"
"STRONGHOLD_RESTART_TITLE": "PEVNOST SKONČILA NEZDAREM"
"MISSION_FAILURE_SUB_TEXT": "MISE SKONČILA NEZDAREM"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "Rekord v podvodné jízdě na útesu: %.2f stop"
"ACT_FRAUD_IN_AREA": "ZÍSKEJ CO NEJVÍC PENĚZ, NEŽ SE [format][color:teal]BODOVACÍ ÚZEMÍ[/format] PŘESUNE"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "PŘEJEL JSI KLIENTA"
"HASH_391B5C61": "OBRANA SOUSEDSTVÍ SKONČILA NEZDAREM"
"ACTIVITY_NAME_HELI": "VRTULNÍKOVÝ ÚTOK"
"LOCALIZE_CHOP_SHOP": "AUTODÍLNA"
"ACT_HITMAN_START": "SPUSTIT ZABIJÁKA"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "VLNA %d PŘEČKÁNA"
"ACT_FRAUD_BEST_HIT_HUD": "NEJLEPŠÍ ZÁSAH:"
"ACT_WHORED_Z_MS_SEBERT": "A teď bude..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "Odvaž se."
"ACT_WHORED_GIMPS": "Masochisti už jdou!"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "Měl jsi respektovat maso."
"ACT_LEVEL_5": "ÚROVEŇ 5"
"ACT_WHORED_A_AW_NUTS": "Chceš někoho sejmout? Miř mu na nádobíčko."
"ACT_WHORED_A_WELCOME": "Je to očividný, ale tohle je první vlna..."
"ACT_WHORED_APOC_FAIL": "Je to v pohodě, budeme předstírat, že se to nestalo."
"ACT_VANDAL_KNIFE_MSG": "NŮŽ"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "ZEMŘELO PŘÍLIŠ MNOHO PROSTITUTEK. NAVERBUJ JE POMOCÍ {RECRUIT_DISMISS_IMG} A PAK ODSUD RYCHLE VYPADNI"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "REKORD PODVODU 'PINBALL'"
"ACT_FRAUD_BONUS_AREA": "BONUS ZA HROMADNÉ POŠKOZENÍ"
"ACT_WHORED_THE_END": "Hodně štěstí!"
"HORDE_CHARACTER_COWGIRL": "KOVBOJKA"
"CTS_MESSAGE_PLACE_BOMBS": "UMÍSTIT BOMBU"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "PROTI SMĚRU HODIN"
"CHOP_CONVERTIBLE_ROOF": "SKLÁDACÍ STŘECHA"
"ACT_TORCH_FAIL_WATER": "UHASIL JSI SVŮJ OBLEK, DÁVEJ SI POZOR POBLÍŽ VODY"
"ACT_GUARDIAN_ANGEL_START": "ZAČÍT STRÁŽNÉHO ANDĚLA"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "BONUS ZA BOHATÉHO ŘIDIČE"
"ACT_WHORED_D_TOKYO_BEWARE": "V každém z nás je kus Svatého."
"ACT_WHORED_GRENADIERS": "Štětky, které mají kurz sebeobrany s granáty!"
"ACT_WHORED_MEGA_WHORE_FAIL": "Větší neznamená vždycky lepší."
"ACT_RUNNING_MAN_INTRO_L_3": "Vydělej si 3500 dolarů ničením cílů, zabíjením nepřátel a útěkem z arény dřív, než ti vyprší čas. Za rozbíjení věcí v rychlém sledu dostaneš bonus."
"ACT_VANDAL_PASSENGER": "CESTUJÍCÍ"
"ACT_WHORED_ZOMBIESATV_FAIL": "Zasáhni je dřív, než něco schytáš ty."
"ACT_TRAFFIC_PROTECT_DRIVER": "ODVEZ [format][color:green]DEALERA[/format] ZA [format][color:teal]KLIENTY[/format]"
"ACT_FRAUD_NO_TIME": "Vypršel ti čas."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "RYCHLE! UKLIDNI TYGRA!"
"ACT_WHORED_A_COYOTE_UGLY": "Je čas rychle vystřízlivět."
"ACT_WHORED_D_FEVER_DREAM": "Začíná to být surrealistické."
"ACT_CHOP_SHOP_START": "SPUSTIT AUTODÍLNU"
"ACT_HELI_VAN_LIFE_TEXT": "POŠKOZENÍ DODÁVKY"
"HASH_755E0DE8": "ZPROSTŘEDKUJ [format][color:green]KLIENTOVI[/format] PROHLÍDKU [format][color:teal]UNIVERZITY[/format]"
"ACT_WHORED_Z_HANK_EAST": "On si prošel válkami, víš?"
"ACT_WHORED_A_LEAF_BLOWER": "Vyčisti to tady."
"ACT_WHORED_MINISNIPERS": "Jeden výstřel, jedna smrt."
"ACT_RUNNING_MAN_TARGET_SHOT": "CÍL ZASAŽEN"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "CENNÉ CÍLE"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "ČAS VYPRŠEL"
"ACT_FRAUD_TOTAL_MULTIPLIER": "Celkový násobitel: %.2fx"
"HASH_6F3F6AE9": "ZAVEZ [format][color:green]KLIENTA[/format] DO [format][color:teal]ČTVRTI MARINA[/format]"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "VÝBĚR ÚROVNĚ "
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "BONUS ZA KATAPULT"
"HASH_AF6B906A": "PŘEVRAT SE NEZDAŘIL"
"ACT_WHORED_D_RUNNING_DEAD": "Poslední rundu si vždycky nech pro sebe."
"ACT_WHORED_MINI_BRUTES_FAIL": "I malé balení může bolet."
"SUCCESS_CASH_TEXT": "HOTOVOST"
"CHOP_STREET_SPOILER": "SPOJLER DO MĚSTA"
"ACT_HELI_PROTECTION_CATCH_UP": "TVOJI [format][color:green]PARŤÁCI[/format] NA TEBE ČEKAJÍ"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "ZLOČINECKÁ SPOJKA ZAHLÉDLA BLÍŽÍCÍ SE [format][color:red]MOTORKU[/format]"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "KLIENT MÁ PŘÁNÍ - TVÝM ÚKOLEM TEĎ JE %ls %ls"
"ACT_WHORED_ROLLERHOS_FAIL": "Jsou rychlý a nebezpečný."
"ACT_ESCORT_COURAGE": "ODVAHA"
"CHOPCHOP_NONE": "NIC"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "BONUS: POUŽIJ %s (X%d)"
"ACT_PIMPING_OBJECTIVE_1": "NAVERBUJ %d ŠLAPKY A ZAVEZ JE K ZIMOSOVI"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": "NASTAV NÁLOŽ"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "BONUS ZA CIVILNÍ VOZIDLO"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "ZBÝVAJÍCÍ AUTA: %i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "Nebo sis myslel, že máš supersílu."
"ACT_TRAFFICKING_DAMAGE": "POŠKOZENÍ"
"BUTTON_MASHING_UTIL_MESSAGE": "MUSÍŠ STISKNOUT TLAČÍTKO %ls JEŠTĚ %dKRÁT ZA %d SEKUND"
"ACT_ZOMBIE_TRIGGER_WARNING": "Pokud skončíš, zombie zaútočí na celý svět!"
"ACT_ZOMBIE_LIMITED_USES": "Používej své zbraně rozumně. Máš pouze omezený počet nábojů."
"ACT_VANDAL_BONUS_VEHICLE": "BONUS ZA VŮZ"
"ACT_PIMPING_FAIL_KILLED_HO": "ZABIL JSI VLASTNÍ ŠLAPKU"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "REKORD PODVODU 'POLICEJNÍ SVĚDEK': %.0.F POLICAJTŮ"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "Proto je důležitý dávat striptérkám dýško, i těm malinkatým."
"ACT_WHORED_MEGA_WHORE": "Velkoobchodní velikost."
"ACTIVITY_FAILURE_CANCEL_TEXT": "AKTIVITA BYLA ZRUŠENA"
"ACT_TORCH_TIME_ACCRUED": "BONUS:"
"ACT_HELI_DIVIDER_TEXT": "/"
"HASH_7059B6EE": "Přesuň se k další skupině [format][color:red]kapitánů[/format]."
"ACT_MAYHEM_FAIL": "VYPRŠEL TI ČAS! POUŽÍVEJ KOMBA, AŤ DOSÁHNEŠ VYŠŠÍHO SKÓRE"
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "BONUS ZA TÝMOVÝ ZÁSAH"
"ACT_ESCORT_COMPLETE_MSG": "VÝBORNĚ"
"ACT_WHORED_A_TBIRD": "Rozpal to! Rozpal to!"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "NEPODAŘILO SE TI DOSÁHNOUT CÍLOVÉHO SKÓRE. PŘIŠEL JSI O SVOU SÁZKU - %ls."
"STRONGHOLD_START_MESSAGE": "SPUSTIT PEVNOST"
"ACTIVITY_CANCELLED_SUB_TEXT": "ZRUŠENO"
"ACT_PIMPING_TITLE": "VÝBĚR ÚROVNĚ SOUBOJE PASÁKŮ"
"ACT_VANDAL_BONUS_MULTIPLIER": "NÁSOBEK BONUSU: "
"ACT_VANDAL_BAT_MSG": "BASEBALLOVÁ PÁLKA"
"ACT_ESCORT_GETBACK_MSG": "VRAŤ SE DO [format][color:yellow]AUTA[/format]"
"HASH_E76B14F0": "PŘEVRAT SE NEZDAŘIL"
"ACT_WHORED_A_PUNCH_DRUNK": "Ať je Marcellus pyšný."
"STICK_ROTATION_UTIL_MESSAGE": "Musíš otočit páčku (%ls) %ls %fkrát za %d sekund."
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": "[format][color:green]KONTAKTI[/format] BYLI OBJEVENI, JDI JE ZACHRÁNIT"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "ZACHRAŇ [format][color:green]INFORMÁTORY[/format] A DOVEZ JE ZPÁTKY"
"ACT_ESCORT_SATISFIED_MSG": "VYSAĎ [format][color:green]KLIENTA[/format]"
"ACT_WHORED_A_APEX_PRED": "Ukaž jim, kdo je na vrcholku potravního řetězce."
"ACT_WHORED_A_PESTS": "Jsou všude kolem!"
"ACT_WHORED_MINISNIPERS_FAIL": "Lovec se stává kořistí."
"ACT_WHORED_ZOMBIES_EXPLODE": "Zombie a vybuchující zombie. Ano, to bude bolet."
"ACT_HOSTAGE_START": "SPUSTIT RUKOJMÍ"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "POLICEJNÍ VŮZ"
"ACT_FRAUD_GO_TO_SCORING_AREA": "JDI NA BODOVACÍ ÚZEMÍ"
"ACT_CHOP_BRING_CAR": "Vrať se s autem."
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "TANKOVÝ MASAKR"
"TEMP_LAST_MINUTE_2": "OTEVŘÍT AUTODÍLNU"
"CHOP_OFF_ROAD_RIMS": "TERÉNNÍ RÁFKY"
"ACT_ZOMBIE_DISPLAY_NAME": "VZPOURA ZOMBIÍ"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "POLICIE"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "BONUS ZA STANDARDNÍ AUTA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "REKORD PODVODU 'ZÁSAH VOZU'"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "Přišel jsi o příliš mnoho aut."
"ACT_WHORED_BAT": "Pálkař na čáru."
"ACT_RUNNING_MAN_INTRO_L_2": "Vydělej si 2000 dolarů ničením cílů, zabíjením nepřátel a útěkem z arény dřív, než ti vyprší čas. Za rozbíjení věcí v rychlém sledu dostaneš bonus."
"ACTIVITY_NAME_RUNNING_MAN": "SUPER ETICKÝ KLIMAX PROFESORA GENKIHO"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "Stisknutím {SHOULDER_CAM_IMG} zapneš zaměřování. {ZOOM_IN_IMG}/{ZOOM_OUT_IMG} slouží k přiblížení a oddálení pohledu"
"ACT_ESCORT_STRIPPER_MSG": "POČKEJ, NEŽ STRIPTÉRKA NASTOUPÍ DO AUTA"
"ACT_ESCORT_GETBACK_COUNT_MSG": "MÁŠ %d SEKUND NA NÁVRAT DO [format][color:yellow]AUTA[/format]"
"HORDE_LEVEL_DAEDALUS": "DAJDALOS"
"ACT_LEVEL_4": "ÚROVEŇ 4"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "POKUD SE PŘI AKCI OBJEVÍ %ls, DOSTANEŠ POSTIH"
"ACT_VANDAL_WEAPON_BONUS_MSG": "POKUD TI POSLOUŽÍ %ls, DOSTANEŠ BONUS"
"ACT_TRAFFIC_POLICE_STING_START": "TAJNÝ ZÁTAH! ZACHRAŇ [format][color:green]DEALERA[/format] PŘED POLICAJTY!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "ODVEZ [format][color:green]DEALERA[/format] ZA KLIENTY"
"ACT_HELI_TIMER_TEXT": "ZBÝVAJÍCÍ ČAS"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "STRIPTÉRKA ZAHYNULA"
"ACT_WHORED_A_CONSCRIPTED": "Služba pokračuje i po smrti."
"ACT_WHORED_GENKI_REVENGE": "Super etický klimax profesora Genkiho, jedem!"
"CHOP_STYLISH_RIMS": "STYLOVÉ RÁFKY"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "ZA ZNIČENÍ CÍLE ([format][color:red]%ls[/format]) ŽÁDNÝ BONUS NEDOSTANEŠ."
"ACT_WHORED_Z_BIG_BONED": "To myslíme vážně."
"ACT_VANDALISM_COMBO": "KOMBO: [format][color:grey]%i[/format]"
"ACT_ZOMBIE_NAME": "VZPOURA ZOMBIÍ"
"ACT_VANDAL_VAN_MINIVAN_MSG": "DODÁVKY"
"ACT_WHORED_BOWLING_FAIL": "Netrefil ses!"
"ACT_WHORED_MONEYSHOTS": "Miř na ksicht."
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "ZABITÉ ZOMBIE:"
"ACT_VANDAL_SUMMARY_UNKNOWN": "NEZNÁMÉ"
"ACT_TRAFFIC_BUYER_ATTACK": "ZÁKAZNÍK BYL NAPADEN"
"ACT_HELI_NAME": "ÚTOK ZE VZDUCHU"
"ACT_HELI_CONVOY_BASE_MESSAGE": "ZASTAV KONVOJ, NEŽ SE DOSTANE DO OBLASTI: %s"
"ACT_FRAUD_ADRENALINE_TAG": "ADRENALIN:"
"HASH_57E7C078": "ZABIJ [format][color:red]KAPITÁNY GANGU[/format]"
"ACT_WHORED_MINI_SAMURAI": "Malý mužík, velký meč a spousta krve."
"STRONGHOLD_RESTART_PROMPT": "Chceš si tuto pevnost zahrát znovu?"
"ACT_TORCH_RACE_INSTRUCTIONS1": "Po projetí kontrolních bodů se bonusové body promění v přidaný čas."
"ACT_VANDAL_SUV_MSG": "SUVČKA"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "ČAS"
"ACT_WHORED_ZOMBIE_UPRISING": "Přežij zombáckou apokalypsu... a zapomeň na sprint!"
"ACT_RUNNING_MAN_TRAP_EVADE": "VYHNUTÍ SE PASTI"
"ACT_ESCORT_RAGE": "ZVÍŘECÍ VZTEK"
"MISSION_SUCCESS_SUB_TEXT": "MISE DOKONČENA"
"ACT_HUD_CASH_MAX": "MOC"
"ACT_FRAUD_TITLE": "VÝBĚR POJISTNÉHO PODVODU"
"CHOP_STYLISH_HOOD": "STYLOVÁ KAPOTA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "DEALER BYL ZATČEN"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "ODHALIL JSI PAST! NEJDŘÍV ZABIJ VŠECHNY [format][color:red]DECKERY[/format] A PAK NAVERBUJ [format][color:green]INFORMÁTORY[/format]."
"ACT_PIMPING_CAPTURED_HO_DIED": "JEDNA Z TVÝCH ŠLAPEK ZEMŘELA, POTŘEBUJEŠ DALŠÍ"
"ACT_FRAUD_BONUS_DISTANCE": "BONUS ZA SKOK DO DÁLKY"
"ACT_WHORED_A_STEELPORT_WAY": "On vytáhne robertka, ty vytáhneš kudlu."
"ACT_WHORED_D_LEAGUE_OF_OWN": "Pozor, Kite."
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "VSADIT %ls NA ŠANCI %ls!"
"ACT_HELI_DISH_HUD_TEXT": "SATELITNÍ ANTÉNY ZNIČENY"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "ZA ZRANĚNÍ ZÍSKÁŠ V TÉTO BONUSOVÉ OBLASTI ADRENALINOVÝ BONUS"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "Za dovezení požadovaných aut do [format][color:green]dílny[/format] získáš peníze."
"GARAGE_CANNOT_CUSTOMIZE": "TOTO VOZIDLO NELZE UPRAVIT"
"CTS_MESSAGE_GO_PENTHOUSE": "VYJEĎ DO STŘEŠNÍHO BYTU"
"ACT_LEVEL_1": "ÚROVEŇ 1"
"ACT_ESCORT_TITLE": "VÝBĚR ÚROVNĚ ESKORTY"
"ACT_VANDAL_PISTOL_MSG": "PISTOLE"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "Dožeň tohle auto a ukradni ho."
"HASH_DBD1BF7C": "%s ZAPUZENO"
"ACT_WHORED_HITNRUN": "Začni je sekat."
"CHOP_STREET_HOOD": "KAPOTA DO MĚSTA"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "BONUS ZA LUXUSNÍ AUTA"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "VYHNI SE TISKU"
"ACTIVITY_NAME_TRAFFICKING": "KŠEFTOVÁNÍ"
"ACT_ZOMBIE_START": "Hrát hru Vzpoura zombií?"
"ACT_VANDAL_OBJECTIVE_2": "Série ničivých komb za extra peníze!"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "ODHALIL JSI PAST!  NAVERBUJ [format][color:green]INFORMÁTORY[/format] A VYPADNI."
"ACT_HELI_TARGETS_TEXT": "SPLNĚNÉ ÚKOLY"
"ACT_WHORED_NINJAS_FAIL": "Tichý, ale smrtící."
"CHOP_STREET_GRILL": "MASKA CHLADIČE DO MĚSTA"
