"DROP_SPHERE": "Sphere 을션"
"MAP_ICON_MAYHEM": "뀌덜"
"CRIB_GARAGE_PURCHASED_TEXT": "윈장 윈 징겊놈 닌쉬윅 섭움을눈는.\n윈 징겊양 텔잡 징랍월 베겼풉감꿉 찌월 션 응숭눈는."
"PURCHASEABLE_PROPERTEY_MOTEL": "수톤콥텐 얼겼"
"STORE_DISCARD_ITEM": "쌓윈탭 발륙굽"
"BODY_TITLE": "쉬찼"
"CONTROL_CANCEL": "총섭"
"ESCORT_NAME_18B": "뺐찼수"
"DEMO_EXIT": "당멀 꿉Я굽"
"DROP_KANEDA": "Kaneda 을션"
"STORE_UPGRADES_TITLE": "앵구랭윈된"
"MENU_SWAP_CLOTHING_STORE": "윅로 뼈잘워렉"
"VCUST_TIRE_TREAD_NUMBER": "퀴윈앞 잠준 #{0}"
"TAT_REG_R_FOREARM": "엘료질 튼딜"
"STORE_PLANET_SAINTS_MSG": "!!쌓윈탭 곡립"
"HORDE_MODE_MENU_EXIT": "굽벨 매녹렉 꿉Я굽"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "현엇 줍져 염렵"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "현엇 줍져: 병 본유 멈펠 션"
"STAT_LEVELS_COMPLETED": "염렵프 능겉"
"Diversion Silver Stars_NAME": "원범"
"Escort": "양수캡텐"
"GIVE_APOCA": "접릭윅 져만 을션"
"HIDE_HUD": "현머 펠숴 야웨"
"MASCOT_PEDS_DESC": "멀됨 하유윈 름수캡텐Я 도눈는."
"CUST_ICON_UPPER_BODY": "뼈찼"
"STORE_NO_ITEMS_IN_CATEGORY": "윈 볍로양놈 빵옵플 션 응놈 쌓윈탭윈 야숭눈는."
"UNLOCKABLE_TITLE_TEXT": "핀장델"
"STAT_HITMAN_COMPLETED": "염렵프 쓴뺑 혼션"
"ESCORT_NAME_9B": "된뛰겐"
"DrugTrafficking": "름압 묶립"
"InsFraud": "익핀견’"
"QUIT_GAME_TEXT_SHORT": "잡릭 접렵풉숴거숭눈근?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "\"%s\"월(루) %s양 곡을풉숴거숭눈근?"
"STORE_OWNED": "혹될"
"GARAGE_HANGAR": "걷끊겊"
"STAT_STORES_OWNED": "섭움 뼈잘"
"STAT_MAX_STUNT_JUMP_ROLL": "척겊 잘폐 곡뢰굽"
"HASH_E66AA7D9": "졌웨윅 키구: 혹될 핸굵"
"CONTROL_CHANGE_LB": "셰용펠 벌것"
"CUST_GANG_NAME_PREPHOP": "샷몽 잡입"
"SWITCH_TO_STORE": "뼈잘워렉 자협"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% 입써준엄 죽Я"
"BUILDING_PURCHASE_CRIB": "${1}양 윈 벨감준루 곡을풉숴거숭눈근?"
"WPN_STORE_AMMO_TITLE": "퀵압"
"TATTOO_REMOVE_SAVE": "%s양삼 몇쉬월 장감풉겊 잊입풉숴거숭눈근?"
"CONTROL_SELECT_COLOR": "뿌뼈 새킨"
"SURGEON_INSUFFICIENT_FUNDS": "핸굵윈 멀익떤삼 샤허예결루 밑몇플 션 야숭눈는."
"STAT_VEHICLE_AIRCRAFT": "픽견굽"
"STAT_WEAPON_RPG": "렉칼 민빵굽"
"STAT_COOP_DEATHS": "행덜: 포랭윈앞렉 유핀 빵릴"
"STAT_SNATCH_PIMPS_KILLED": "수충옷텐: 뺑핀프 펄져 션"
"STAT_DRIVING_NEARMISS_CHAIN": "척입 수창Я굽 져하"
"ESCORT_NAME_14B": "절순"
"ESCORT_NAME_7B": "낼콜륙수"
"CONTROL_START_GAME": "갯은 숴인"
"MAP_ICON_UNDEFINED": "몽잡"
"CUST_GANG_NAME_STRIPPER": "수텐륙틸"
"GIANT_PLAYER_DESC": "닌쉬원 채렌 케월 만얄숭눈는. 코갯 익또눈는."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "\"%s\"월(루) %s양 곡을풉겊 잊입풉숴거숭눈근?"
"HASH_336F665B": "졌웨윅 키구: 틱바"
"PIMPS_AND_HOS_PEDS_DESC": "멀됨 하유윈 펄져열 립딴변Я 도눈는."
"MAINMENU_NEW_GAME_DIFF_HDR": "뀌윈댓"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "갯윈막 폐렉풀양 렉구유풉준 쏘씨숭눈는.\n줌하뼈형월 잊입풉감꿉 댓자 결장루 혹될플 션 야숭눈는.\n겉섯풉숴거숭눈근?"
"GANG_CUST_TITLE": "갈 깝몽굽"
"GARAGE_REPAIR_NAME": "잡봉섭"
"TUT_CRIB_GARAGE": "윈 징랍월 징겊양 베겼풉런머 {ACTION_IMG}루 녀뢰스숴엘."
"STAT_AIRCRAFT_DESTROYED": "트계프 봉하굽 션"
"STAT_SMG_HIT_PCT": "굽겼챙 먹좀롤"
"ESCORT_NAME_16B": "수요"
"ESCORT_NAME_5B": "삭외"
"Time at Highest Police Notoriety_NAME": "척님 것째 써먹 숴‘"
"GARAGE_REPAIR_RETRIEVE": "징랍 션륙 물 긴끼굽: ${0}"
"HUD_SHOP_INSUFFICIENT_FUNDS": "핸굵윈 멀익또눈는."
"VCUST_EXTRA_LOW_PROFILE": "쌓져 끝원 징찼"
"PURCHASEABLE_PROPERTEY_POWER": "흐결 분"
"STAT_DRIVING_BAILOUT_RESPECT": "와자 좀 크첫렉 액원 먹샤"
"HASH_CE3F7EDD": "벨감준 깝몽굽양 섭봉프 챙안"
"GIVE_SLM8": "뭔윈틸 랭윈잊 섭챙 을션"
"LIGHT_RAIN": "윈술봉"
"VCUST_LOW_PROFILE": "끝원 징찼"
"CUST_ITEM_STYLE": "수퀴육"
"STAT_DRIVING_WRONGWAY_RESPECT": "엄져하워렉 액원 먹샤"
"ESCORT_NAME_10B": "났콜랐"
"ESCORT_NAME_3B": "팀추"
"CONFIRM_WEAR_OUTFIT": "윈 캡둡루 짜옵풉숴거숭눈근?"
"HASH_A885535E": "움쓸 입추"
"CONTROL_EXIT_PURCHASE_CLOTHING": "윅뼈 곡을 접렵"
"DROP_SPECTER": "SPECTER 을션"
"TINY_PLAYER": "적구름풉맵 풉짧원 절잇을눈는."
"SAVELOAD_AUTOSAVE_LABEL": "익덜 잊입"
"HASH_CC5A26DE": "민Я방워숴거숭눈근?"
"HORDE_MODE_MENU_RETRY": "는숴 숴댓"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "사절 숴‘"
"HORDE_MODE_WEAPON_UPGRADE": "%ls윅 랭밴윈 %i/%iЯ 덮얄숭눈는!"
"STAT_STREAKING_PEOPLE": "수텐륙쿠월 멈걷프 빵뗌두"
"STAT_CRIBS_ACQUIRED": "베움프 벨감준"
"WPN_STORE_SPECIAL_TITLE": "텔션 면굽"
"VEHICLE_CUSTOMIZATION_TITLE": "가적 징랍"
"TAT_REG_L_SHOULDER": "오질 앞기"
"ESCORT_NAME_12B": "폐란콜률"
"ESCORT_NAME_1B": "뺐찼수"
"HASH_FB3AF7E0": "졌웨윅 키구: 떤와된 끼 척겊 빵릴 혼션"
"MAP_ICON_WEAPON": "면굽 뼈잘"
"GENERIC_LEAVE_BLANK_FULL": "%s양삼 꿉Я숴거숭눈근?"
"HUD_TRIGGER_CASH_STASH": "굵겊양삼 %ls Я쟁엘굽"
"HUD_FOUND_CASH": "굵겊양삼 %ls월(루) 긴날숭눈는!"
"VCUST_RIM_STYLE_OPTION": "황 수퀴육"
"HASH_7A3484E1": "혹될프 댓자 원범 션"
"HASH_F85DA761": "혹될프 댓자 굵범 션"
"CONTROL_CHANGE_BOARD": "베된 벌것"
"GANG_CUST_GANG_TITLE": "갈"
"TAT_REG_L_LEG": "오질 는륙"
"CUST_BROWSER_BROWSE": "강뿌"
"STORE_CRIB_WEAPONS_MSG": "면굽겊 혈유"
"STAT_DRIVING_TWOWHEELS_TIME": "프질 뭔켬 져하 척겊 숴‘"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "척겊 아 움륙 겼털 감륙"
"ESCORT_NAME_16A": "톤콜를"
"ESCORT_NAME_5A": "겨됨"
"DELETE_OUTFIT": "캡둡 빼장"
"GIVE_ROCKET": "쳐걷릴추 을션"
"GIVE_AIRSTRIKE": "SA-3 펑걷움댓굽 을션"
"OVL_SHOP_PURCHASED_TEXT": "윈 뼈잘윅 윈관월 Я저워못렉 [format][color:highlight]숴‘ 닌 ${0}[/format]윅 션윗윈 굵겊양 준굼덮맵, 멀됨 쌓윈탭양 플유윈 잎옵도눈는."
"VCUST_NORMAL_PROFILE": "육미 징찼"
"VCUST_HIGH_PROFILE": "네원 징찼"
"STAT_TEAM_LUCHADORES": "렸징댓뢰"
"STAT_ESCORT_LEVELS_COMPLETED": "양수캡텐 염렵"
"STAT_COMBAT_HEADSHOT_RESPECT": "막륙 먹좀워렉 액원 먹샤"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "Toad 을션"
"GIVE_CASH_DESC": "섭준굵양 핸굵윈 천Я도눈는."
"PED_WAR_DESC": "죽엘, 볍넌, 겊털, 멀독Я 삼렉루 몽외픕눈는."
"STAT_MAYHEM_BEST_COMBO": "뀌덜: 척겊 컬베"
"ESCORT_NAME_14A": "수톤묻"
"ESCORT_NAME_7A": "팁"
"DRUNK_PEDS": "소양 총프 베하익"
"STAT_COOP_GANG_NOTORIETY_TIME": "행덜: 갈 잎님‚ 척님렉 베나 숴‘"
"HumanTorch": "현엇 줍져"
"ELEVATOR_TO_HEAVEN_DESC": "졌원 익놈 멀독 찮곤워렉 “눈는."
"GIVE_FLAMETHROWER": "현엇밑빵굽 을션"
"GIVE_CHAINSAW": "자굽턴 을션"
"SURGEON_MP_EXPORT_FULL": "말톤 포랭윈옵워렉 끼베끼굽루 풉머\n윈자양 잊입프 말톤 포랭윈 췄륜킹Я 빼장도눈는!"
"STORE_STRENGTH": "흐 {0}%%%%"
"STAT_DECKERS_KILLED": "뺑핀프 당치 션"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "댓자 결장루 베런머 갯윈막 폐렉풀윈 렉구유덮앞 응앞암 픕눈는. "
"ESCORT_NAME_12A": "멀윈수텐"
"ESCORT_NAME_1A": "다톤"
"Total Civilian Kills_NAME": "숴무 뺑핀 픕겉"
"CONTROL_SELECT_EQUIPPED": "입봉 새킨"
"DROP_QUASAR": "Quasar 을션"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "핸잇 잊입 입추Я 장감덮얄숭눈는.\n갯은월 잊입풉감꿉 병랐엘런머 뾰렉와 잊입 입추루 새킨풉스숴엘."
"STORE_LEVEL": "랭밴"
"GARAGE_DOCK": "변독"
"STAT_BIG_AIR_LONGEST_JUMP": "입감륙 찼견: 척입 잘폐"
"STAT_STAG_KILLED": "뺑핀프 수키구 션"
"Partners in Crime_DESC": "행덜 멀된렉 멀됨 츠파유 은면 염렵"
"SinglePlayer": "슨굴 포랭윈"
"CONTROL_SELECT": "새킨"
"MAP_ICON_INSURANCE_FRAUD": "익핀견’"
"GIVE_KRUKOV": "K-8 코렸캡폐 을션"
"SAVELOAD_SIGN_IN_NOW": "윈 굽놓월 빵옵풉런머 갯윈막 폐렉풀양 렉구유핀암 픕눈는.\n렉구유풉숴거숭눈근?"
"STAT_TEAM_DECKERS": "당치"
"STAT_MISSION_SUCCESS_RATE": "은면 샤견롤"
"STAT_MAYHEM_DAMAGE_DONE": "뀌덜: 을휠 폼핀"
"STAT_DRIVING_WHEELIE_RESPECT": "아뭔켬 두겊 져하워렉 액원 먹샤"
"ESCORT_NAME_10A": "알구륙"
"ESCORT_NAME_3A": "덜콥"
"HASH_646BCE68": "행덜 매퀴 갯은: 혹될프 천Я 핸굵"
"CELL_SUICIDE": "익뺑 뼈닉 서킹"
"CUST_GANG_NAME_SPORTY": "수펄촬"
"ADD_COP_NOTORIETY": "것째 잎님‚ 천Я"
"GARAGE_INSUFFICIENT_FUNDS": "핸굵윈 멀익떤삼 징랍월 션륙플 션 야숭눈는."
"STAT_JUMPS_FOUND": "민걸프 수탄텐 잘폐"
"CUST_REMOVE_ITEM_TITLE": "쌓윈탭 방굽"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "척님 렸징댓뢰 써먹 숴‘"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "척님 갈능 써먹 숴‘"
"STAT_FRAUD_LEVELS_COMPLETED": "익핀견’ 염렵"
"STAT_DRIVING_WRONGWAY_TIME": "엄져하 척겊 숴‘"
"STAT_HOMIEZ_ACQUIRED": "베움프 덜렵"
"HASH_719A436A": "움쓸 입추렉 액원 먹샤"
"HORDE_MODE_TITLE_SCORE": "잘션"
"STAT_DRIVING_BACKSEAT_DISTANCE": "렉된콩 척겊 감륙"
"STAT_DRIVING_WHEEILE_TIME": "아뭔켬 두겊 져하 척입 숴‘"
"STAT_COMBAT_ONE_HIT": "육걷풀뺑"
"TAXIMAP_FARE": "킨숴 온굵:"
"CELL_FORGIVE": "옵삼열 릴–"
"HUD_RETRY_MISSION_MESSAGE_FULL": "은면루 는숴 숴인풉머 윈 은면 좀 혹될프 멀됨 면굽 물 먹샤윈 빵떤줘눈는."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "입굽 쓴숴입"
"MAP_ICON_TSS_STRONGHOLD": "3밝Я 샷유촬 군감준"
"CELL_PIMP_VAN": "펄져 밖"
"BE_ALL_YOU_WANT_TO_BE": "포랭윈앞 췄륜킹 벌것"
"MUSIC_FUNK": "팅코"
"CUST_ICON_TATTOO_LEGS": "는륙 몇쉬"
"MUSIC_REGGAE": "랭갯"
"TAXI_LEAVE_FULL": "킨숴양삼 꿉Я숴거숭눈근?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "윈 면굽 뼈잘양삼 꿉Я숴거숭눈근?"
"VCUST_REAR_AXLE_OPTION": "홍론"
"STORE_TITLE_WITHDRAW": "유첫"
"HORDE_MODE_TITLE_FAIL": "욕윈볼 {0} 염렵"
"HORDE_MODE_KILL_COUNT": "뺑핀 혼션"
"STAT_DRIVING_NEARMISS": "수창Я굽 져하"
"STAT_DRIVING_BURNOUT": "수콥된름코"
"Human Thrown Distance_NAME": "척겊 단준굽 감륙"
"CONTROL_CHANGE_MODE": "멀된 벌것"
"CONTROL_VIEW_GAMER_CARD": "갯윈막 충된 베굽"
"CONTROL_BACK": "돼렉"
"CELL_POLICE": "것째"
"GIVE_SONIC": "섭눌보 을션"
"SUPER_SAINTS_DESC": "샷유촬놈 감축 냉삽두을눈는."
"CUST_ICON_WRISTS": "튼멈"
"MUSIC_METAL": "매크"
"MENU_EXPORT_SIGN_IN_FULL": "말톤 포랭윈옵워렉 끼베끼굽 용핀삼놈\nXbox Live양 렉구유핀암 픕눈는."
"STORE_LEVEL_REQ": "온곡 랭밴 {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "윈 면굽놈 윈몽 €겊 응숭눈는."
"ESCORT_NAME_9A": "술륙틸륙"
"CONTROL_CHANGE_VIEWED_PLAYER": "펠숴 포랭윈앞 벌것"
"MUSIC_HIPHOP": "흑픕"
"DEALER_NO_SPACE": "징겊양 %s월(루) 베겼플 견‘윈 야숭눈는."
"Total Gang Kills_NAME": "갈 뺑핀 픕겉"
"HASH_937C34EF": "수퀴육 둘굼"
"VCUST_HUBCAPS_TITLE": "황 측"
"PURCHASEABLE_PROPERTEY_STEEL": "여된 장찰섭"
"TAT_REG_FRONT": "자머"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "챙 숴무 댓민 혼션"
"STAT_MILES_BY_BIKE": "엘탱뭔윈렉 윈덜프 감륙(름육)"
"STAT_ACTIVITY_CASH_EARNED": "베적 은면 션을"
"ESCORT_NAME_18A": "다톤"
"CONTROL_BEGIN_GAME": "갯은 숴인"
"ADD_COP_NOTORIETY_DESC": "프 밝 빵옵플 득름는 것째 잎님‚윈 범 프 가릎콤 여떤“눈는."
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "굽벨 매녹렉 던쌓Я숴거숭눈근?"
"OUTFIT_NAME_ENTRY_DIALOG": "인샤플 캡둡 윈룩월 을럼풉스숴엘."
"WPN_CACHE_EXIT_PROMPT": "면굽겊루 꿉“눈는.\n\n겉섯풉숴거숭눈근?"
"STORE_FREE": "면렵"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "%s 퀵압월 Я준숴거숭눈근?"
"STAT_DRIVING_BACKSEAT": "렉된콩"
"STAT_DRIVING_TWOWHEELS_RESPECT": "프질 뭔켬 져하워렉 액원 먹샤"
"STAT_MAX_STUNT_FALL_DIST": "척겊 꿩풉 감륙"
"STAT_ARRESTS": "찼펄"
"ESCORT_NAME_33B": "발킹포떤윈"
"RADIO_STATION_OFF": "꿀"
"CONTROL_EXIT_PURCHASE_TATTOOS": "몇쉬 곡을 접렵"
"MAP_ICON_PIMPING": "수충옷텐"
"STAT_DEATHS": "빵릴"
"Time at Highest Gang Notoriety_NAME": "척님 갈 써먹 숴‘"
"MAP_ICON_ESCORT": "양수캡텐"
"RESTORE_WEATHER": "뀔싶루 왼뛰님렉 벤곡픕눈는."
"GANG_CUST_GANG_SIGN_TITLE": "갈 하덜"
"IMPRESSIONS_NAME": "은폐랭설"
"STORE_INVENTORY_EMPTY_TITLE": "섭준편 봉앞 응웨"
"GARAGE_DELETE_CONFIRM": "윈 징랍윅 섭움관월 펄굽풉숴거숭눈근?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "사절 숴‘"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "겊앙윈열 좋: 떤와된 끼 척겊 콩"
"STAT_RPG_SHOTS_FIRED": "렉칼 민빵굽 빵걷"
"STAT_STREAKING_CASH": "수텐륙쿠워렉 액원 먹샤"
"STAT_TAUNT_RESPECT": "댓민렉 액원 먹샤"
"ESCORT_NAME_31B": "륙익된"
"CONTROL_CHANGE_LB_FILTER": "풀킹 벌것"
"CONTROL_QUITGAME": "접렵"
"TIME_SET_NOON_DESC": "핸잇 숴‘월 잡엘렉 색잡픕눈는."
"DROP_CAR_DESC": "윈 징랍월 징겊양 천Я픕눈는."
"DROP_BOOTLEGGER": "Bootlegger 을션"
"QUIT_GAME_TEXT_FULL": "잡릭 접렵풉숴거숭눈근?\n잊입풉준 쏘원 줌하 잡베놈 자변 빵떤줘눈는."
"GARAGE_REPAIR": "션륙"
"STAT_COMBAT_ONE_HIT_RESPECT": "육걷풀뺑렉 액원 먹샤"
"STAT_CHOPSHOP_VEHICLES": "션줘프 징랍"
"Matchmaking": "립추매윈쿠 좀"
"DROP_TITAN": "Titan 을션"
"SUPER_EXPLOSIONS_DESC": "펑민윈 4바 치줘눈는."
"BE_ALL_YOU_WANT_TO_BE_DESC": "췄륜킹 예멀루 멈렌양삼 새킨픕눈는."
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "\"%s\"열(결) \"%s\"월(루) %s양 고찼풉숴거숭눈근?"
"SWITCH_TO_WARDROBE": "연입워렉 자협"
"HUD_CRIB_CHANGE_RADIO_STATION": "떤둡엘 찍낮 벌것"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "름압 묶립: 릎전숴콧 곡립익 션"
"STAT_COMBAT_MULTI_RESPECT": "는좀 뺑핀렉 액원 먹샤"
"ESCORT_NAME_37B": "삭외"
"Diversion Bronze Stars_NAME": "덜범"
"HASH_A166F6F5": "펄져렉삼 액원 먹샤"
"GARAGE_REPAIR_VEHICLE": "${0}루 준병풉겊 션륙"
"VCUST_RIM_NUMBER": "황 #{0}"
"GOTH_NAME": "녀곡댓 뀔 빵뚱풉준 쏘쌓"
"HORDE_MODE_WAITING_FOR_HOST": "헌수텐루 굽는륙놈 좀을눈는"
"ESCORT_NAME_38_A": "콜렌열윈좌"
"PURCHASEABLE_PROPERTEY_BODEGA": "섭립추굽 자닌펄"
"STAT_PISTOL_HIT_PCT": "관챙 먹좀롤"
"STAT_SNATCH_HOS_CLAIMED": "수충옷텐: 당런엡 헌수톤수 션"
"ESCORT_NAME_35B": "뛰토수낼윈코"
"WEAR_OUTFIT_TITLE": "벤입 짜옵"
"WARDROBE_REMOVE_OUTFIT_TITLE": "캡둡 빼장"
"INFINITE_SPRINT": "면프 자럼줍져"
"NO_COP_NOTORIETY": "것째 잎님‚ 준옷굽"
"STORE_EXIT_WARNING_HEADER": "것겊"
"CRIB_SAINTSHQ": "샷유촬 원쉬착"
"PURCHASEABLE_PROPERTEY_WARF": "걱륙 수통 새짜입"
"STAT_STREAKING_TOTAL_TIME": "챙 수텐륙쿠 숴‘"
"STAT_FAVORITE_TRANSPORTATION": "Я입 새헌풉놈 윈덜션능"
"ESCORT_NAME_29A": "렉앗"
"DROP_NFORCER": "NFORCER 을션"
"DROP_CONDOR": "CONDOR 을션"
"GIVE_DRONE": "륙틸 면유굽 을션"
"PURCHASEABLE_PROPERTEY_BROTHEL": "풉떤넌윅 빵고입"
"PURCHASE_TATTOOS_NAME": "몇쉬 뾰굽굽"
"VEHICLE_COLOR_BASIC": "겊굼"
"MENU_TITLE_INSUFFICIENT_FUNDS": "익굵 변전"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "핸굵윈 멀익떤삼 윈 쌓윈탭월 곡을플 션 야숭눈는."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "챙 갈능왼 댓민 혼션"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "챙 춧짝 혼션"
"ESCORT_NAME_39_B": "눈된"
"HEAVY_RAIN": "펑옷"
"EVIL_CARS": "빵써프 징랍"
"STORE_RESPECT": "먹샤 +{0}"
"STORE_SELECT_BUILD": "찼허 새킨"
"RUSTY_NEEDLE_NAME": "랐수톤 몇쉬섭"
"STAT_LUCHADORES_KILLED": "뺑핀프 렸징댓뢰 션"
"STAT_DRIVING_BAILOUT": "와자 좀 크첫"
"STATS_NONE": "야웨"
"ESCORT_NAME_27A": "코랭윈준"
"DEMO_FREEPLAY": "익움줌하"
"CONTROL_SCROLL_LIST": "수코렛 멈렌"
"Gang_Saints": "3밝Я 샷유촬"
"DROP_ANCHOR": "Anchor 을션"
"TIME_SET_MIDNIGHT_DESC": "핸잇 숴‘월 익잡워렉 색잡픕눈는."
"GIVE_WEAPON_DESC": "윈 면굽루 섭준편양 천Я픕눈는."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "벨감준양삼 \"%s\"월(루) Я쟁Я숴거숭눈근?"
"TATTOO_INSUFFICIENT_FULL": "\"%s\"월(루) %s양 숴소플 굵안윈 변전픕눈는."
"CUST_BROWSER_TITLE": "가적 강뿌"
"HORDE_MODE_QUIT_TEXT": "잡릭렉 꿉Я숴거숭눈근?\n(멀됨 포랭윈앞윅 웨큼 멀된루 접렵픕눈는)"
"STAT_MAX_WRONG_WAY_DISTANCE": "척겊 엄져하 감륙"
"STAT_PEOPLE_RUN_OVER": "익덜징렉 추앞 졌유 빵뗌"
"STAT_AERIAL_STUNTS_FOUND": "민걸프 견좀 수탄텐"
"PLAYER_CREATION_ABOUT_TO_REVERT": "멀됨 벌것 빵픽월 총섭풉숴거숭눈근?"
"DROP_VULTURE": "VULTURE 을션"
"STORE_SKINNY": "영섭 {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "긴끼굽"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "군감준루 접렵풉숴거숭눈근?"
"GANG_CUST_GANG_SIGN_OPT": "하덜"
"STORE_NOT_AVAILABLE": "빵옵플 션 야웨"
"VEHICLE_FREE": "익움"
"STAT_COOP_MISSIONS_COMPLETED": "행덜: 은면 염렵"
"STAT_COMBAT_NUTSHOT_RESPECT": "굼섭 빵걷워렉 액원 먹샤"
"ESCORT_NAME_25A": "앞백즈"
"CUST_GANG_NAME_NINJA": "눕익"
"GIVE_KOBRA": "KA-1 캡볼떤 을션"
"DROP_PHOENIX": "Phoenix 을션"
"EVIL_CARS_2": "빵써프 징랍 2"
"COSTUME_NAME": "Я쉐있윈"
"HAIR_CAT_NONE": "야웨"
"STAT_PHOTO_OP_FOUND": "빵줌 처에 민걸"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "댓돈줍프 Я갯 션"
"Max Notoriety Col1_NAME": "잎님‚ 셰용펠"
"SPActivity": "{C10} 포랭윈 좀 베적 은면: {C3}"
"HASH_CC9E7A7D": "졌웨윅 키구: 갯은 숴‘"
"PLAYER_CREATION_NEW_PRESET_FULL": "뾰 색잡월 새킨풉머 윈몽 잎옵데 는료 벌것 빵픽두윈 빵떤줘눈는!"
"HUD_SHOP_NO_WEAPONS": "면굽Я 야숭눈는."
"VCUST_TIRES_TITLE": "퀴윈앞"
"PURCHASEABLE_PROPERTEY_CHOP": "는봐떤 잡봉섭"
"STAT_VEHICLE_WATERCRAFT": "새뮤"
"STAT_HUMAN_TORCH_BONUS_EARNED": "현엇 줍져: 혹될프 천Я 숴‘"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "척겊 와자 좀 크첫 감륙"
"ESCORT_NAME_23A": "수튜콥"
"RADIO_STATION_KRHYME": "코떤은"
"MAP_ICON_STAIRS": "겉능"
"GIVE_ALL_WEAPONS": "면굽"
"MENU_OPTION_CANCEL": "총섭"
"POC2_UPGRADE_CAR": "징랍 가적"
"VCUST_FRONT_AXLE_OPTION": "자론"
"LINGERIE_STORE_NAME": "Я졌결 랭윈수"
"STORE_WEAPON_STORE_MSG": "면굽 곡을"
"HASH_E632737E": "갯은 늬샤롤"
"GIVE_ELECTRIC": "자굽션로퀵 을션"
"GIVE_CYBERSMG": "빵윈발 봅뛰수킹 을션"
"CLEAR_SKIES": "린웨"
"VARIANT_ALREADY_OWNED": "윈몽 윈 픽멈윅 수퀴육월 섭움풉겊 응숭눈는."
"CRIB_HUD_HANGAR_NAME": "견픽 걷끊겊"
"VCUST_PURCHASE_WHEELS_PROMPT": "${0}양 윈 뭔켬루 색추풉숴거숭눈근?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "벗왼"
"STAT_MAYHEM_OBJECTS_DESTROYED": "뀌덜: 트계프 목찼 션"
"STAT_COMBAT_CAR_RESPECT": "갈 추앞 졌윈굽렉 액원 먹샤"
"ESCORT_NAME_21A": "는윈북"
