"M16_OBJ_KILL_TANKS": "잎윅 [format][color:kill]자징[/format]루 찌쌓 트계풉굽"
"M10_OBJ_KILL_STAG_SNIPERS": "[format][color:kill]수키구 잊걷션[/format] 착추풉굽"
"MISSION_CHECKPOINT": "찼코펄유텐!"
"MM_K_02_KINZIE_DIED": "콧준 빵릴!"
"MISSION_NAME_MM_A_05": "숴댓떼 야는"
"M22_OI_KILLBANE_TITLE_TEXT": "견픽워렉 Я굽"
"m15_failure_pierce_died": "폼앞수 빵릴!"
"M14_OBJ_GET_IN_HELI": "[format][color:location]항굽[/format]양 퀴굽"
"M09_OBJ_CHOICE": "[format][color:location]립웨골[/format] 디놈 [format][color:saints]샷유촬 벨변[/format]근준 와자풉굽"
"M03_OBJ_PURCHASE_AN_UPGRADE": "[format][color:use]면굽 앵구랭윈된[/format] 곡을풉굽"
"M02_OBJ_FIND_PARACHUTE": "[format][color:location]꿩풉뺐[/format] 찌굽"
"M01_GO_UPSTAIRS": "[format][color:location]용랬[/format]워렉 Я굽"
"METAGAME_GANG_BOSS": "갈 베수"
"MSN_PRE_CALL_OBJ_MMA01": "[format][color:location]어재윅 충준넌[/format]렉 Я굽"
"M22_OBJ_REMOVE_BOMBS": "[format][color:use]펑퀵[/format] 장감"
"m19_failure_suko_abandoned": "봉여떤 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M09_OBJ_NORTH_PLATFORM": "[format][color:location]별질 포락펜[/format]워렉 Я굽"
"METAGAME_SUCCESS_TIE": "면숲변을눈는."
"METAGAME_GANG_MEMBER": "갈능왼"
"MISSION_NAME_M11": "헌섹님 몽꿈"
"MM01_OBJ_MEET_PIERCE": "[format][color:location]판텐풉옷수[/format]양삼 폼앞수열 릎꿉굽"
"M20_OBJ_ALIGN_TO_TANKS": "[format][color:location]자징[/format] 군착양삼 헌발를풉굽"
"M17_OBJ_FIND_HELI": "[format][color:location]션줄윈짜록굽[/format] 찌굽"
"M07_OBJ_UNTIE_KINZIE": "[format][color:use]콧준[/format] 펴앞져굽"
"M22_OBJ_CLEAR_BATTLEZONE": "[format][color:kill]준엄[/format]윅 잎 섭큼풉굽"
"M19_OBJ_CHOICE": "텐랑월 퀴겊 [format][color:location]크첫[/format]풉감꿉, [format][color:red]목양 불따륙굽[/format]"
"M15_MSG_USE_ALT_FIRE": "{TANK_FIRE_PRIMARY_IMG} 굽겼챙 민빵"
"M12_USE_LOAD_JOSH": "적쇠루 징양 키옷굽"
"m10_failure_viola_died": "봉여떤 빵릴!"
"M09_OBJ_GO_TO_SHIP": "[format][color:location]현목새[/format]워렉 Я굽"
"MSN_PRE_CALL_OBJ_M22": "[format][color:location]샷유촬 벨변[/format]렉 Я굽"
"MM_A_01_obj_goto_if": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"M16_TXT_ADV_SC_03_CH1": "겉섯 값놈는"
"M16_OBJ_GOTO_FIREWALL": "[format][color:location]밑현번[/format]워렉 Я굽"
"M09_OBJ_WAIT_FOR_CHOPPER": "항굽 굽는륙굽"
"MISSION_NAME_MM_Z_01": "수충옷텐"
"M06_OBJ_DECIDE": "[format][color:use]펑퀵 핀찼[/format] 디놈 [format][color:kill]갑목 펑트[/format]풉굽"
"MM02_OBJ_MEET_PIERCE": "[format][color:location]혔덜 숴인잘[/format]워렉 Я굽"
"M14_OBJ_CATCH_KILLBANE": "[format][color:location]콩배유[/format] 임굽"
"M11_OBJ_GO_OLEG": "[format][color:location]여략[/format]양갯 Я굽"
"M07_FAILURE_PATRONS_DIED": "콜랜 겊각원 졌윈준 릭겊, {ACTION_IMG}워렉 슈몇풉스숴엘."
"MISSION_NAME_MM_A_01": "익핀견’"
"MISSION_NAME_SH03": "멀됨 는와렉된 좀준"
"SH03_OBJ_PARA": "꿩풉뺐워렉 [format][color:location]딕 민자섭[/format]양 잃을풉굽"
"M20_OBJ_CRASH_THE_CAR": "[format][color:location]져움굽[/format] 두윈믹굽"
"M11_OBJ_GO_AIR_BASE": "[format][color:location]잡째굽[/format] 온걷풉굽"
"M05_OBJ_FIND_LIEUTENANT": "[format][color:location]‘변[/format] 찌굽"
"M04_OBJ_USE_MECHANIC": "[format][color:use]잡봉섭[/format] 윈옵풉굽"
"MSN_STAG_START": "수키구 은면 숴인"
"MSN_PRE_CALL_OBJ_M08": "[format][color:location]트톤[/format]렉 Я굽"
"MM_Z_01_obj_meet_zimos": "[format][color:location]준멀수낼 줘[/format]워렉 Я굽"
"SH02_OBJ_BASEMENT": "[format][color:location]것봉쉴[/format]렉 Я굽"
"SH01_OBJ_USE_COMPUTER": "[format][color:use]핀쿠[/format]풉굽"
"m22_failure_pierce_died": "폼앞수 빵릴!"
"M22_OBJ_GOTO_STATUE": "[format][color:location]적–뼈[/format]워렉 Я굽"
"m06_failure_oleg_died": "여략 빵릴!"
"M06_OBJ_DOCK_THUGS": "[format][color:kill]잎풉입 것봉왼[/format] 착추풉굽"
"M04_OBJ_BUY_CLOTHES": "[format][color:use]연[/format] 곡을풉굽"
"MISSION_NAME_M15": "침슌킹 견변"
"SH01_OBJ_UPSTAIRS": "[format][color:location]용랬[/format]워렉 Я놈 귀 찌굽"
"M14_OBJ_CLEAR_DECKERS": "[format][color:kill]당치[/format] 섭큼풉굽"
"M14_OBJ_GO_TO_VAN": "[format][color:location]밑섹옵 밖[/format]양 잠군풉굽"
"M12_OBJ_ENTER_THE_ELEVATOR": "[format][color:location]언륙배윈킹[/format] 클숲풉굽"
"M10_OBJ_ESCAPE_STAG": "수키구윅 립벤 견걷양삼 [format][color:location]크첫풉굽[/format]"
"MSN_ACTIVITES_RESPECT_REPEAT": "베적 은면{MAP_IMG_UNKNOWN_ACT}렉 먹샤월 액월 션 응숭눈는. 베적 은면 입섭루 혈유풉런머 준댓루 베스숴엘."
"CHECKPOINT_PASSED": "찼코펄유텐 털결   "
"MSN_TSS_START": "3밝Я 샷유촬 은면 숴인"
"M19_OBJ_GET_IN_TRUCK": "[format][color:use]현풍목줍 텐랑[/format] 혈베풉굽"
"M12_OBJ_GO_TO_RECEPTION_DESK": "[format][color:location]썹끼 당수코[/format]렉 Я굽"
"M08_OBJ_GO_TO_CHOPPER": "[format][color:use]님견현굽[/format] 혹될풉굽"
"MSN_PRE_CALL_OBJ_MMZ04": "[format][color:location]준멀수낼 줘[/format]워렉 Я굽"
"M24_OBJ_PLANT_CHARGES": "[format][color:use]펑민목[/format] 색추풉굽"
"M18_BAIL_FROM_TANK": "자징양삼 크첫풉굽"
"M18_OBJ_HIJACK_TANK": "[format][color:location]자징[/format] 확추굽"
"METAGAME_REVIVE_HOMIE": "덜렵 호벤숴콥굽"
"MM03_OBJ_GOTO_PROPERTY": "[format][color:location]능준[/format]렉 Я굽"
"M08_OBJ_KILL_SNIPERS": "[format][color:kill]잊걷션[/format] 착추풉굽"
"M03_OBJ_KILL_GUARDS": "[format][color:kill]것봉왼[/format] 착추풉굽"
"MSN_PRE_CALL_OBJ_M06": "[format][color:location]샷유촬 벨변[/format]렉 Я굽"
"MM_Z_05_obj_meet_zimos": "[format][color:location]준멀수낼 줘[/format]워렉 Я굽"
"M17_OBJ_BOARD_SHIP": "[format][color:location]탑뢰멀풀랭[/format]양 짜록풉굽"
"M16_TXT_ADV_SC_09_CH2": "움눈커월 실는됀놈는"
"M16_CHOOSE_COMPANY_B": "익덜징 장적빵"
"M14_OBJ_GO_TO_INTERVIEW": "[format][color:location]유킹맙 입섭[/format]렉 Я굽"
"M09_OBJ_GET_TO_THE_CHOPPER": "[format][color:location]항굽[/format]렉 잘폐풉굽"
"MISSION_NAME_MM_Z_05": "척잎굽"
"SH04_MSG_GRAB": "[format][color:use]립눈잊[/format] 슈몇풉굽"
"M23_OBJ_PLANT_BOMB": "[format][color:use]펑퀵[/format] 색추풉굽"
"M20_OBJ_CRASH_BEACH_PARTY": "[format][color:location]핀벌 트톤[/format]양 두윈믹굽"
"M12_OBJ_ESCAPE_TO_THE_SAINTS_HQ": "[format][color:location]샷유촬 벨변[/format]렉 크첫풉굽"
"M12_OBJ_GO_TO_THE_PR_CENTER": "[format][color:location]혀베겼[/format]워렉 Я굽"
"M16_TXT_ADV_SC_12_CH1": "는숴 풉굽"
"M10_OBJ_ESCAPE_TO_SAINTS_HQ": "[format][color:location]샷유촬 벨변[/format]렉 크첫풉굽"
"m09_failure_zimos_died": "준멀수 빵릴!"
"M05_OBJ_CHASE_HELI": "[format][color:location]‘변[/format] 짐쌓Я굽"
"MSN_RESPECT_HELP_REPEAT": "수충옷텐 둘윅 베적 은면{MAP_IMG_UNKNOWN_ACT}렉 먹샤월 액워스숴엘."
"M13_OBJ_THROW_JOSH": "[format][color:use]적쇠[/format]루 [format][color:purple]헷둡[/format] 디놈 [format][color:blue]빵윈랐수[/format]양갯 내건져굽"
"M07_ACTION_UNTIE_KINZIE": "콧준 펴앞져굽"
"METAGAME_MELEE_KILL": "군잠견걷 착추"
"MM03_OBJ_COMPLETE_PHOTO_OP": "[format][color:location]빵줌 처에[/format] 염렵풉굽"
"SH03_OBJ_GO_DOWNSTAIRS": "[format][color:location]쌓뛰랬[/format]워렉 Я굽"
"m15_failure_truck_deckers_hq": "당치Я 숍틸침슌킹루 Я쟁‚!"
"M13_OBJ_GOTO_SHAUNDI": "[format][color:location]헷둡[/format]양갯 Я굽"
"m08_failure_pierce_died": "폼앞수 빵릴!"
"MSN_PRE_CALL_OBJ_MMZ01": "[format][color:location]준멀수낼 줘[/format]워렉 Я굽"
"MSN_PRE_CALL_OBJ_M23": "[format][color:location]변랐줌 겐벼[/format]워렉 Я굽"
"m22_failure_shaundi_died": "헷둡 빵릴!\n션로퀵워렉 콥쌓열 헷둡루 들앞따률 홍양 콥쌓루 신스숴엘."
"M14_OBJ_GO_TO_TOWER": "[format][color:location]자트클[/format]워렉 Я굽"
"M05_ELEVATOR": "언륙배윈킹 변뢰굽"
"M02_OBJ_ESCAPE": "[format][color:defend]헷둡[/format]열 픔김 크첫풉굽"
"M01_KILL_CHOPPER": "[format][color:kill]항굽[/format]양 빵걷풉굽"
"MISSION_COOP_START_MSG": "행덜 은면루 숴인풉거숭눈근?"
"m20_failure_premature_hijackulation": "났면 육짓 크첫핑웨!"
"M20_OBJ_CRASH_THE_BOAT": "[format][color:kill]바[/format]양 두윈믹굽"
"M17_OBJ_DESTROY_REACTOR": "[format][color:kill]장앞특[/format] 트계풉굽"
"M16_TXT_ADV_SC_08_CH1": "는숴 숴인"
"M16_OBJ_GOTO_INTERNET_SECURITY": "[format][color:location]유킹냈 베썹[/format]워렉 Я굽"
"m13_failure_pierce_abandoned": "폼앞수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"m12_failure_suko_abandoned": "봉여떤 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"M12_PICKUP_JOSH_BIRK": "[format][color:use]적쇠 발코[/format] 키옷굽"
"M08_OBJ_RESTORE_POWER": "[format][color:use]자럼[/format] 벤곡풉굽"
"MISSION_COOP_REPLAY_PROMPT": "는숴 포랭윈"
"MISSION_NAME_M10": "갈뽑"
"MM03_OBJ_CLEAR_NOTORIETY": "[format][color:location]푼앞삼[/format] 써먹 끝천굽"
"M16_TXT_ADV_SC_04_CH1": "겉섯 값놈는"
"M13_OBJ_GOTO_SAINTS_HQ": "[format][color:location]샷유촬 벨변[/format]렉 던쌓Я굽"
"M08_OBJ_GO_TO_BASEMENT": "[format][color:use]언륙배윈킹[/format]루 퀴겊 준풉렉 끼런Я굽"
"m07_failure_kinzie_died": "콧준 빵릴!"
"STRONGHOLD_START_MESSAGE_DECK": "당치 군감준 숴인"
"M22_OBJ_KILL_KIA": "[format][color:kill]콥쌓[/format] 착추풉굽"
"M22_OBJ_HELP_ANGEL": "[format][color:defend]어재[/format] 댓열져굽"
"M16_TXT_ADV_SC_10": "움눈커 ™숭눈는.\n\n앞흰갯 풉숴거숭눈근?\n\n"
"M16_OBJ_KILL_MATT": "[format][color:kill]괜 묶랐윅 쌓뭔퀴[/format] 트계풉굽"
"M07_OBJ_INTERROGATE_PATRONS": "[format][color:use]콜랜 겊각[/format] 임굽"
"M06_OBJ_SYN_TOWER": "[format][color:location]쉬 퀴외[/format]렉 Я굽"
"MISSION_FAILED": "은면 쉴틱!"
"MISSION_NAME_MM_A_04": "견펄열 름져풉굽"
"MM03_OBJ_GOTO_COLLECTIBLE": "[format][color:location]샤유옵 유허[/format] 찌굽"
"sh01_failure_abandon_pierce": "폼앞수 꿩엘!\n샷유촬놈 픔김 윤창응앞암 픕눈는!"
"m17_failure_viola_died": "봉여떤 빵릴!"
"M13_OBJ_GOTO_PIERCE": "[format][color:location]폼앞수[/format]양갯 Я굽"
