"DROP_SPHERE": "GIVE SPHERE"
"STAT_CRIBS_ACQUIRED": "CRIBS ACQUIRED"
"WPN_STORE_SPECIAL_TITLE": "SPECIAL"
"VEHICLE_CUSTOMIZATION_TITLE": "VEHICLE CUSTOMIZATION"
"TAT_REG_L_SHOULDER": "L SHOULDER"
"ESCORT_NAME_12B": "FRANKLIN"
"ESCORT_NAME_1B": "SANCHEZ"
"MAP_ICON_WEAPON": "WEAPON STORE"
"GENERIC_LEAVE_BLANK_FULL": "Do you really want to leave %s?"
"HUD_TRIGGER_CASH_STASH": "TAKE %ls FROM YOUR STASH"
"HUD_FOUND_CASH": "You received %ls from your stash!"
"VCUST_RIM_STYLE_OPTION": "RIM STYLE"
"CONTROL_CHANGE_BOARD": "CHANGE BOARD"
"GANG_CUST_GANG_TITLE": "GANG"
"TAT_REG_L_LEG": "L LEG"
"CUST_BROWSER_BROWSE": "BROWSE"
"STORE_CRIB_WEAPONS_MSG": "ACCESS YOUR WEAPON CACHE"
"STAT_DRIVING_TWOWHEELS_TIME": "LONGEST TIME ON TWO WHEELS"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "MAX WINDSHIELD CANNON DISTANCE"
"ESCORT_NAME_16A": "TICKLING"
"ESCORT_NAME_5A": "GOLDEN"
"DELETE_OUTFIT": "DELETE OUTFIT"
"GIVE_ROCKET": "GIVE SHOCK HAMMER"
"GIVE_AIRSTRIKE": "GIVE SA-3 AIRSTRIKE"
"OVL_SHOP_PURCHASED_TEXT": "You now get a piece of the action at this store and will receive a [format][color:highlight]${0}/hour[/format] payout to your crib stash as well as discounts on all items."
"VCUST_NORMAL_PROFILE": "NORMAL PROFILE"
"VCUST_HIGH_PROFILE": "HIGH PROFILE"
"STAT_TEAM_LUCHADORES": "LUCHADORES"
"STAT_ESCORT_LEVELS_COMPLETED": "ESCORT COMPLETED"
"STAT_COMBAT_HEADSHOT_RESPECT": "RESPECT EARNED FROM HEADSHOTS"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "GIVE TOAD"
"GIVE_CASH_DESC": "Instantly gives you cash."
"PED_WAR_DESC": "Hatred, Anger, Suffering, everybody hates each other."
"STAT_MAYHEM_BEST_COMBO": "MAYHEM: BEST COMBO"
"ESCORT_NAME_14A": "STEAMING"
"ESCORT_NAME_7A": "PEARL"
"DRUNK_PEDS": "DRUNK PEDESTRIANS"
"STAT_COOP_GANG_NOTORIETY_TIME": "CO-OP: TIME AT HIGHEST GANG NOTORIETY"
"ELEVATOR_TO_HEAVEN_DESC": "The dead all go to Heaven."
"GIVE_FLAMETHROWER": "GIVE FLAMETHROWER"
"GIVE_CHAINSAW": "GIVE CHAINSAW"
"SURGEON_MP_EXPORT_FULL": "Exporting to multiplayer will replace\nany previously saved multiplayer character!"
"STORE_STRENGTH": "STRENGTH {0}%%%%"
"STAT_DECKERS_KILLED": "DECKERS KILLED"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "You must be signed in with a gamer profile to view achievements. "
"ESCORT_NAME_12A": "MOIST"
"ESCORT_NAME_1A": "DIRTY"
"CONTROL_SELECT_EQUIPPED": "SELECT EQUIPPED"
"DROP_QUASAR": "GIVE QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "The current storage device was removed.\nPlease select a new storage device to continue with saving or loading."
"STORE_LEVEL": "LEVEL"
"GARAGE_DOCK": "DOCK"
"STAT_BIG_AIR_LONGEST_JUMP": "BIG AIR: LONGEST JUMP"
"STAT_STAG_KILLED": "STAG KILLED"
"CONTROL_SELECT": "SELECT"
"MAP_ICON_INSURANCE_FRAUD": "INSURANCE FRAUD"
"GIVE_KRUKOV": "GIVE K-8 KRUKOV"
"SAVELOAD_SIGN_IN_NOW": "You must sign in with a gamer profile to access this feature.\nWould you like to sign in?"
"STAT_TEAM_DECKERS": "DECKERS"
"STAT_MISSION_SUCCESS_RATE": "MISSION SUCCESS RATE"
"STAT_MAYHEM_DAMAGE_DONE": "MAYHEM: DAMAGE DONE"
"STAT_DRIVING_WHEELIE_RESPECT": "RESPECT EARNED FROM WHEELIES"
"ESCORT_NAME_10A": "ANGRY"
"ESCORT_NAME_3A": "DONKEY"
"CELL_SUICIDE": "SUICIDE HOTLINE"
"CUST_GANG_NAME_SPORTY": "SPORTY"
"ADD_COP_NOTORIETY": "ADD POLICE NOTORIETY "
"GARAGE_INSUFFICIENT_FUNDS": "YOU DON'T HAVE ENOUGH MONEY TO REPAIR THIS VEHICLE"
"STAT_JUMPS_FOUND": "STUNT JUMPS FOUND"
"CUST_REMOVE_ITEM_TITLE": "REMOVE ITEM"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "MAX LUCHADOR NOTORIETY TIME"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "MAX GANG NOTORIETY TIME"
"STAT_FRAUD_LEVELS_COMPLETED": "INSURANCE FRAUD COMPLETED"
"STAT_DRIVING_WRONGWAY_TIME": "LONGEST ONCOMING LANE DRIVE"
"STAT_HOMIEZ_ACQUIRED": "HOMIES ACQUIRED"
"HORDE_MODE_TITLE_SCORE": "SCORE"
"STAT_DRIVING_BACKSEAT_DISTANCE": "LONGEST ROADKILL"
"STAT_DRIVING_WHEEILE_TIME": "LONGEST WHEELIE"
"STAT_COMBAT_ONE_HIT": "ONE HIT KILLS"
"TAXIMAP_FARE": "CAB FARE:"
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Retrying a mission will cause you to lose any weapons or respect you earned while playing the mission."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "ORGAN BLACKMARKET"
"MAP_ICON_TSS_STRONGHOLD": "3RD SREET SAINTS STRONGHOLD"
"CELL_PIMP_VAN": "PIMP VAN"
"BE_ALL_YOU_WANT_TO_BE": "CHANGE PC MODEL"
"MUSIC_FUNK": "FUNK"
"CUST_ICON_TATTOO_LEGS": "LEG TATTOOS"
"MUSIC_REGGAE": "REGGAE"
"TAXI_LEAVE_FULL": "Do you really want to leave the taxi?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Do you really want to leave Friendly Fire?"
"VCUST_REAR_AXLE_OPTION": "REAR AXLE"
"STORE_TITLE_WITHDRAW": "WITHDRAW"
"HORDE_MODE_TITLE_FAIL": "WAVE {0} COMPLETE"
"HORDE_MODE_KILL_COUNT": "KILL COUNT"
"STAT_DRIVING_NEARMISS": "NEAR MISSES"
"STAT_DRIVING_BURNOUT": "BURNOUTS"
"CONTROL_CHANGE_MODE": "CHANGE MODE"
"CONTROL_VIEW_GAMER_CARD": "VIEW GAMER CARD"
"CONTROL_BACK": "BACK"
"CELL_POLICE": "POLICE"
"GIVE_SONIC": "GIVE SONIC BOOM"
"SUPER_SAINTS_DESC": "The Saints are bad muthas."
"CUST_ICON_WRISTS": "WRISTS"
"MUSIC_METAL": "METAL"
"MENU_EXPORT_SIGN_IN_FULL": "You must be signed in to Xbox LIVE\nto export to multiplayer."
"STORE_LEVEL_REQ": "LEVEL REQUIRED {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "You already own this weapon."
"ESCORT_NAME_9A": "SLIPPERY"
"CONTROL_CHANGE_VIEWED_PLAYER": "CHANGE VIEWED PLAYER"
"MUSIC_HIPHOP": "HIP-HOP"
"DEALER_NO_SPACE": "YOU DO NOT HAVE ENOUGH SPACE IN YOUR GARAGE FOR %s"
"VCUST_HUBCAPS_TITLE": "HUBCAPS"
"PURCHASEABLE_PROPERTEY_STEEL": "OLDE STEEL FACTORY"
"TAT_REG_FRONT": "FRONT"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "TOTAL CIVILIANS TAUNTED"
"STAT_MILES_BY_BIKE": "MILES TRAVELED BY MOTORCYCLE"
"STAT_ACTIVITY_CASH_EARNED": "ACTIVITIES EARNINGS"
"ESCORT_NAME_18A": "DIRTY"
"CONTROL_BEGIN_GAME": "BEGIN GAME"
"ADD_COP_NOTORIETY_DESC": "Bumps Police Notoriety one star with each use."
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "Do you really want to return\nto the Main Menu?"
"OUTFIT_NAME_ENTRY_DIALOG": "ENTER A NAME FOR YOUR OUTFIT"
"WPN_CACHE_EXIT_PROMPT": "Exit Weapon Cache\n\nAre you sure?"
"STORE_FREE": "FREE"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "Do you wish to take \"%s\" ammo?"
"STAT_DRIVING_BACKSEAT": "ROADKILL"
"STAT_DRIVING_TWOWHEELS_RESPECT": "RESPECT EARNED FROM TWO WHEELS"
"STAT_MAX_STUNT_FALL_DIST": "LONGEST FALL"
"STAT_ARRESTS": "ARRESTS"
"ESCORT_NAME_33B": "BUTTERFLY"
"RADIO_STATION_OFF": "OFF"
"CONTROL_EXIT_PURCHASE_TATTOOS": "EXIT PURCHASE TATTOOS"
"MAP_ICON_PIMPING": "SNATCH"
"STAT_DEATHS": "DEATHS"
"MAP_ICON_ESCORT": "ESCORT"
"RESTORE_WEATHER": "RESTORE WEATHER TO NORMAL"
"GANG_CUST_GANG_SIGN_TITLE": "GANG SIGN"
"IMPRESSIONS_NAME": "IMPRESSIONS"
"STORE_INVENTORY_EMPTY_TITLE": "INVENTORY EMPTY"
"GARAGE_DELETE_CONFIRM": "Do you wish to disown this vehicle?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "SURVIVED"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "CAT & MOUSE: MOST KILLS IN A ROUND"
"STAT_RPG_SHOTS_FIRED": "RPG SHOTS FIRED"
"STAT_STREAKING_CASH": "RESPECT EARNED FROM STREAKING"
"STAT_TAUNT_RESPECT": "RESPECT EARNED THROUGH TAUNTING"
"ESCORT_NAME_31B": "LIZARD"
"CONTROL_CHANGE_LB_FILTER": "CHANGE FILTER"
"CONTROL_QUITGAME": "QUIT"
"TIME_SET_NOON_DESC": "Sets the current time to Noon."
"DROP_CAR_DESC": "Puts this vehicle into your garage."
"DROP_BOOTLEGGER": "GIVE BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "Do you really want to quit?\n(Any unsaved progress will be lost.)"
"GARAGE_REPAIR": "REPAIR"
"STAT_COMBAT_ONE_HIT_RESPECT": "RESPECT EARNED FROM ONE-HIT KILLS"
"STAT_CHOPSHOP_VEHICLES": "VEHICLES COLLECTED"
"DROP_TITAN": "GIVE TITAN"
"SUPER_EXPLOSIONS_DESC": "Explosions are 4x bigger."
"BE_ALL_YOU_WANT_TO_BE_DESC": "Choose who or what your character looks like from a list."
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "Do you wish to replace \"%s\" with \"%s\" for %s?"
"SWITCH_TO_WARDROBE": "SWITCH TO WARDROBE"
"HUD_CRIB_CHANGE_RADIO_STATION": "CHANGE RADIO STATION"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "DRUG TRAFFICKING: NUMBER OF BUYERS SATISFIED"
"STAT_COMBAT_MULTI_RESPECT": "RESPECT EARNED FROM MULTI-KILLS"
"ESCORT_NAME_37B": "SHOWER"
"GARAGE_REPAIR_VEHICLE": "REPAIR FOR ${0}"
"VCUST_RIM_NUMBER": "RIM #{0}"
"GOTH_NAME": "NOBODY LOVES ME"
"HORDE_MODE_WAITING_FOR_HOST": "Waiting for host."
"ESCORT_NAME_38_A": "CLOCKWISE"
"PURCHASEABLE_PROPERTEY_BODEGA": "PICKPOCKET PAWN SHOP"
"STAT_PISTOL_HIT_PCT": "PISTOL HIT PERCENTAGE"
"STAT_SNATCH_HOS_CLAIMED": "SNATCH: NUMBER OF HOS CLAIMED"
"ESCORT_NAME_35B": "RATTLESNAKE"
"WEAR_OUTFIT_TITLE": "WEAR OUTFIT"
"WARDROBE_REMOVE_OUTFIT_TITLE": "REMOVE OUTFIT"
"INFINITE_SPRINT": "INFINITE SPRINT"
"NO_COP_NOTORIETY": "NO COP NOTORIETY"
"STORE_EXIT_WARNING_HEADER": "WARNING"
"CRIB_SAINTSHQ": "SAINTS HIDEOUT"
"PURCHASEABLE_PROPERTEY_WARF": "HENRY STEEL WHARF"
"STAT_STREAKING_TOTAL_TIME": "TOTAL STREAKING TIME"
"STAT_FAVORITE_TRANSPORTATION": "FAVORITE MODE OF TRANSPORTATION"
"ESCORT_NAME_29A": "ROYAL"
"DROP_NFORCER": "GIVE NFORCER"
"DROP_CONDOR": "GIVE CONDOR"
"GIVE_DRONE": "GIVE REAPER DRONE"
"PURCHASEABLE_PROPERTEY_BROTHEL": "HARANO'S HOOKUP HOUSE"
"PURCHASE_TATTOOS_NAME": "PURCHASE TATTOOS"
"VEHICLE_COLOR_BASIC": "ADVANCED"
"MENU_TITLE_INSUFFICIENT_FUNDS": "INSUFFICIENT FUNDS"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "You do not have enough money to purchase this item."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "TOTAL GANG MEMBERS TAUNTED"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "TOTAL COMPLIMENTS GIVEN"
"ESCORT_NAME_39_B": "KNEAD"
"HEAVY_RAIN": "HEAVY RAIN"
"EVIL_CARS": "EVIL CARS"
"STORE_RESPECT": "RESPECT +{0}"
"STORE_SELECT_BUILD": "SELECT BUILD"
"RUSTY_NEEDLE_NAME": "RUSTY'S NEEDLE"
"STAT_LUCHADORES_KILLED": "LUCHADORES KILLED"
"STAT_DRIVING_BAILOUT": "BAILOUTS"
"STATS_NONE": "NONE"
"ESCORT_NAME_27A": "CRAZY"
"DEMO_FREEPLAY": "FREEPLAY"
"CONTROL_SCROLL_LIST": "SCROLL LIST"
"Gang_Saints": "3RD STREET SAINTS"
"DROP_ANCHOR": "GIVE ANCHOR"
"TIME_SET_MIDNIGHT_DESC": "Sets the current time to Midnight."
"GIVE_WEAPON_DESC": "Adds this weapon to your inventory."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "Do you wish to take \"%s\" from your crib?"
"TATTOO_INSUFFICIENT_FULL": "You do not have enough money to purchase a(n) \"%s\" on the %s."
"CUST_BROWSER_TITLE": "CUSTOMIZATION BROWSER"
"HORDE_MODE_QUIT_TEXT": "Are you sure you want to quit?\n(This will end Whored mode for both players)"
"STAT_MAX_WRONG_WAY_DISTANCE": "MAX ONCOMING LANE DISTANCE"
"STAT_PEOPLE_RUN_OVER": "PEOPLE RUN OVER"
"STAT_AERIAL_STUNTS_FOUND": "BARNSTORMS FOUND"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Would you like to cancel these changes?"
"DROP_VULTURE": "GIVE VULTURE"
"STORE_SKINNY": "SKINNY {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "RETRIEVE"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "Are you sure you wish to quit the stronghold?"
"GANG_CUST_GANG_SIGN_OPT": "SIGN"
"STORE_NOT_AVAILABLE": "NOT AVAILABLE"
"VEHICLE_FREE": "FREE"
"STAT_COOP_MISSIONS_COMPLETED": "CO-OP: MISSIONS COMPLETED"
"STAT_COMBAT_NUTSHOT_RESPECT": "RESPECT EARNED FROM NUTSHOTS"
"ESCORT_NAME_25A": "AVENGING"
"CUST_GANG_NAME_NINJA": "NINJAS"
"GIVE_KOBRA": "GIVE KA-1 KOBRA"
"DROP_PHOENIX": "GIVE PHOENIX"
"EVIL_CARS_2": "EVIL CARS 2"
"COSTUME_NAME": "LET'S PRETEND"
"HAIR_CAT_NONE": "NONE"
"STAT_PHOTO_OP_FOUND": "PHOTO OPS FOUND"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "STORES ROBBED"
"PLAYER_CREATION_NEW_PRESET_FULL": "Selecting a new preset will change any other changes that you have made already!"
"HUD_SHOP_NO_WEAPONS": "You don't have any weapons."
"VCUST_TIRES_TITLE": "TIRES"
"PURCHASEABLE_PROPERTEY_CHOP": "DAVILA'S AUTOMOTIVE"
"STAT_VEHICLE_WATERCRAFT": "WATERCRAFT"
"STAT_HUMAN_TORCH_BONUS_EARNED": "TRAIL BLAZING: BONUS TIME EARNED"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "MAX DRIVER BAILOUT DISTANCE"
"ESCORT_NAME_23A": "STINKY"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "STAIRS"
"GIVE_ALL_WEAPONS": "WEAPONS"
"MENU_OPTION_CANCEL": "CANCEL"
"POC2_UPGRADE_CAR": "CUSTOMIZE VEHICLE"
"VCUST_FRONT_AXLE_OPTION": "FRONT AXLE"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "PURCHASE WEAPONS"
"HASH_E632737E": "GAME PERCENT COMPLETE"
"GIVE_ELECTRIC": "GIVE ELECTRIC GRENADE"
"GIVE_CYBERSMG": "GIVE CYBER BLASTER"
"CLEAR_SKIES": "CLEAR SKIES"
"VARIANT_ALREADY_OWNED": "You already own this item style."
"CRIB_HUD_HANGAR_NAME": "AIRPORT HANGAR"
"VCUST_PURCHASE_WHEELS_PROMPT": "Do you wish to purchase this wheel setup for ${0}?"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "HOSPITAL"
"STAT_MAYHEM_OBJECTS_DESTROYED": "MAYHEM: NUMBER OF OBJECTS DESTROYED"
"STAT_COMBAT_CAR_RESPECT": "RESPECT EARNED FROM GANG VEHICLE KILLS"
"ESCORT_NAME_21A": "DIVING"
