"CUST_ITEM_CF_HAIR_MED": "DO RAMION"
"CUST_COMPLIMENT_L": "WCIĄŻ WIERZĘ"
"PLAYER_MORPH_CHEEK_CREASE_TEXT": "BRUZDA POLICZKA"
"CUST_VARIANT_01_DEFAULT": "WARIANT 1"
"CUST_ITEM_CF_LLJ_FOOT_F_BIKERBOOTS": "BUTY MOTOCYKLOWE DLA STARSZEJ PANI"
"CUST_CAT_MAKEUP_FOREHEAD": "CZOŁO"
"SLOT_LIGHT_COVERS": "OSŁONY ŚWIATEŁ"
"CUST_ITEM_CF_LLJ_UBDY_F_LTHRJCKT": "KURTKA MOTOCYKLISTKI"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "DIAMENTOWE KOLCZYKI"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "ŻÓŁTOZIELONY 4"
"CUST_TATTOO_CHEST_7": "SZCZĘŚLIWA TĘCZA"
"LEVEL_2": "POZIOM 2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "MASKOTKA JOHNNY'EGO GATA"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "PACIORKI \"LOVE2RAVE\""
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "KOLCZYKI \"PRAWDZIWA MIŁOŚĆ\""
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "ZAWADIAKA"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "SZEROKOŚĆ TWARZY"
"CUST_COMP_EYES_BLUE": "NIEBIESKIE"
"SLOT_INTERIOR": "WNĘTRZA"
"PAINT_4": "LAKIER 4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "IMPREZOWE BRANSOLETKI"
"CUST_VOICE_FEMALE_BLACK": "KOBIETA 2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "ŻÓŁTOPOMARAŃCZOWY 1"
"CUST_TATTOO_LHAND_3": "PIEC NIENAWIŚCI"
"VEHICLE_COLOR_FROSTED_BLUE": "MROŹNY BŁĘKIT"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "KULISTOŚĆ TWARZY"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "WIELKOŚĆ BRZEGÓW DOLNEJ WARGI"
"CUST_TATTOO_LOWBACK_8": "NISKA KRZYWA"
"SLOT_TRUNK": "BAGAŻNIKI"
"CUST_VARIANT_CHILD_HEMP": "STYL 1"
"CUST_VARIANT_WITH_DECALS": "NADRUKI"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "CHEERLEADERKA"
"CUST_CAT_FACE": "TWARZ"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "Masz za mało pieniędzy,\nby kupić \"%s\"."
"CUST_COMP_MALE_EYEBROWS_1": "GRUBE MĘSKIE"
"COMPONENT_EXTRA_HIGH_PROFILE": "B. WYSOKI PROFIL"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "WPUSZCZONA, ZAPIĘTA"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "OKULARY KRWAWEJ KANONICZKI"
"CUST_SKIN_GREEN_4": "KONICZYNKA"
"CUST_MOVEMENT_FACE": "WYRAZ TWARZY"
"CUST_RONIN_TAUNT_A": "DRWINA RONINÓW 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "WIELKOŚĆ KOŚCI POLICZKOWYCH"
"CUST_COLOR_CLOTHING_ORANGE_6": "POMARAŃCZOWY 6"
"CUST_COMP_EYE_MAKEUP_18": "GOTYCKA NOC"
"CUST_VARIANT_MIXED": "MIESZANE"
"CUST_ITEM_CF_RING_F_STUDRING": "NIEOSZLIFOWANY DIAMENT"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "STEAMPUNKOWY SZYK"
"CUST_COMP_TEST_CHEEK_MAKEUP": "WYMALOWANA"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "LUKSUSOWY ZEGAREK ŚWIĘTYCH"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "OBCISŁE SZORTY"
"CUST_ITEM_LPA_M_SPACE_HELMET": "INTERGALAKTYCZNY HEŁM"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "WYSOKOŚĆ GÓRNEJ POWIEKI"
"CUST_COLOR_CLOTHING_BLUES_7": "NIEBIESKI 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "CZERWONOPOMARAŃCZOWY 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "CHROMOWANA STAL"
"CUST_VARIANT_TRACK_B": "STYL 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "GORĄCZKA DISCO"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "WYSOKOŚĆ USZU"
"SLOT_DECAL_7": "NAKLEJKA 7"
"LOGO_BOOT": "BUT"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "MIEJSKIE MOKASYNY"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "WYSOKOŚĆ PODWÓJNEGO PODBRÓDKA"
"HAIR_COLOR_BLUE": "NIEBIESKIE"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "WYSOKOŚĆ POLICZKÓW"
"VEHICLE_COLOR_BLACK": "CZERŃ"
"SLOT_GAS_TANKS": "BAKI"
"CUST_COLOR_CLOTHING_GREENS_6": "ZIELONY 6"
"CUST_TATTOO_STOMACH_8": "FLEUR D'ART"
"CUST_COMP_FACE_SCAR_2": "DUŻA BLIZNA 2"
"COLOR_SLOT_WINDOW_NET": "SIATKA NA OKNA"
"SLOT_BODY_COLOR": "KOLOR KAROSERII"
"LOGO_UNIVERSITY_1": "UNIW. STILWATER 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "PROSTY DEKOLT \"MIEJSKIE SAFARI\""
"VEHICLE_COLOR_DEEP_GRAY": "GŁĘBOKA SZAROŚĆ"
"CUST_VARIANT_SHIRT_B": "STYL 2"
"CUST_VARIANT_SANDAL": "SANDAŁ"
"CUST_VARIANT_FLOWER_BAND": "OPASKA Z KWIATÓW"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "TOP KOSMICZNEJ KSIĘŻNICZKI"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "PODWÓJNY PODBRÓDEK"
"PLAYER_GENDER_TEXT": "FIGURA"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "SZPILKI \"MAMBA\""
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "KRÓTKO PRZYCIĘTE"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "SZEROKOŚĆ GÓRNEJ WARGI"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "NIEBIESKOZIELONY 1"
"VEHICLE_COLOR_TITANIUM": "TYTAN"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "JASNY POMARAŃCZ"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "SAM SIĘ PIE..."
"SURGEON_CAT_PRESETS": "GOTOWE ZESTAWY"
"LOGO_GUITAR": "GITARA"
"LOGO_FEEDDOGS": "FEED DOGS"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "RAJTUZY KOSMICZNEJ KSIĘŻNICZKI"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "BOHATER STEELPORT"
"PRESET_WARNING_BODY": "Wybranie tej opcji spowoduje odrzucenie obecnych ustawień.\nCzy na pewno tego chcesz?"
"CUST_COMP_EYES_DARK_BLUE": "CIEMNONIEBIESKIE"
"CUST_COLOR_ORANGE_4": "POMARAŃCZOWY 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "SPODNIE SADO-MASO"
"CUST_TATTOO_UPPER_CHEST": "GÓRNA CZĘŚĆ TORSU"
"CUST_COLOR_CLOTHING_RED_4": "CZERWONY 4"
"VEHICLE_COLOR_TINT_40": "ODCIEŃ 40%%"
"SLOT_EXHAUST_TIPS": "KOŃCÓWKI WYDECHÓW"
"LOGO_CAVE_4": "JASKINIA ZJAW 4"
"CUST_COMP_FACE_WART_1": "BRODAWKA 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "MGLISTA SZAROŚĆ"
"COLOR_SLOT_PAINT_2_AND_TRIM": "LAKIER 2 I DODATKI"
"IRIDESCENT_4": "OPALIZUJĄCY 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "GORSET STEAMPUNKOWEJ PANNY"
"CUST_MENU_FIGURE_PRESETS": "ZESTAWY SYLWETEK"
"CUST_VARIANT_PLAID": "TARTAN"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "BUTY BOJOWEGO SZYKU"
"LOGO_SQD": "SIGMA TETA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "WIELKI CZERWONY"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "SPODNIE \"BUSINESS CASUAL\""
"CUST_SKIN_RED_YELLOW_2": "MARCHEWKOWA"
"CUST_SKIN_METAL_5": "SZAFIROWA"
"COLOR_SLOT_PAINT_2": "LAKIER 2"
"COLOR_SLOT_INTERIOR_2": "WNĘTRZE 2"
"HAIR_COLOR_BLONDE": "BLOND"
"COMPONENT_OPTION_B": "OPCJA B (NIE POWINNA BYĆ UŻYWANA)"
"CUST_SAMEDI_COMPLIMENT_C": "KOMPLEMENT SAMEDI 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "KAPELUSZ DETEKTYWA"
"CUST_INSULT_LINE": "PRZEKROCZONA GRANICA"
"CANCEL_WARNING_BODY": "Na pewno chcesz odrzucić zmiany?"
"WARDROBE_TITLE": "GARDEROBA"
"COLOR_SLOT_RIMS_1": "FELGI 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "KRÓJ SAMA 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "RĘKAWICE CIĄG"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "DŁUGOŚĆ CZUBKA"
"CUST_COLOR_CLOTHING_VIOLET_8": "FIOLETOWY 8"
"HAIR_COLOR_BLEACHED_MATTE": "MATOWY TLENIONY BLOND"
"LOGO_FRECKLE_2": "U PIEGOWATEJ DZIWKI 2"
"CUST_VARIANT_TIGER": "TYGRYS"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "PODSTĘP"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "ZUPEŁNE ZWIERZĘ"
"CUST_SAMEDI_TAUNT_B": "DRWINA SAMEDI 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "GŁĘBOKOŚĆ ŻUCHWY"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "KRYSZTAŁOWA BIEL"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "KOLCZYKI \"UGRYZIENIE REKINA\""
"PLAYER_MORPH_NOSE_ROLL_TEXT": "OBRÓCENIE NOSA"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "T-SHIRT \"STRZELANINA\""
"CUST_TATTOO_ENTIRE_CHEST": "CAŁY TORS"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "SZEROKOŚĆ NOZDRZY"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "WIELKOŚĆ KRAWĘDZI GÓRNEJ WARGI"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "ODCIEŃ JASNEGO BŁĘKITU"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "WPUSZCZONA, ZAPIĘTA, WYS. SPODNIE, BEZ SZELEK, KRAWAT"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "DAMSKI R \"WRAŻENIA\" "
"CUST_ITEM_FEMALE_LP_BRA_1": "UGRYZIENIE PAJĄKA"
"CUST_SKIN_METAL_1": "SREBRNA"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "ANTENKA"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "SUPEROBCISŁA KURTKA"
"CUST_ITEM_CF_HAIR_CORNROWS": "WARKOCZYKI PRZY SKÓRZE"
"PLAYER_MORPH_EAR_YAW_TEXT": "ODCHYLENIE USZU"
"FEMALE_BODYBUILDER": "KOBIETA - KULTURYSTKA"
"CUST_VARIANT_GLITTERY": "LŚNIĄCE"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "SPODNIE NA WF"
"FACIAL_EXPRESSION_DOPEY": "GŁUPKOWATY"
"LOGO_STILWATER_CYCLE": "CYKLE STILWATER"
"FACTORY_STANDARD_HOOD_W__INTAKE": "FABRYCZNA MASKA Z WLOTEM POWIETRZA (NIE POWINNA BYĆ UŻYWANA)"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "ŚREDNIE KROPKI"
"CUST_WEAR_RIGHT": "PRAWE"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "GŁODUJĄCY ARTYSTA"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "LUŹNE SPODNIE ŚWIĘTYCH"
"SLOT_DECAL_3": "NAKLEJKA 3"
"CUST_VARIANT_ARMS": "RAMIONA"
"CUST_CAT_HAIR_COLOR_SECONDARY": "DRUGORZĘDNY KOLOR WŁOSÓW NA GŁOWIE"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "KRZYWIZNA GRZBIETU NOSA"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "Osiągnięto maksymalną liczbę przedmiotów w tej kategorii."
"CUST_COLOR_CLOTHING_BLUES_3": "NIEBIESKI 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "CZERWONOPOMARAŃCZOWY 5"
"HAIR_COLOR_RED_MATTE": "MATOWY JASNY RUDY"
"BRIGHT_ORANGE": "JASKRAWOPOMARAŃCZOWE"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "SZORTY BRACHOLA"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "IMPREZOWE SZPILKI"
"CUST_CAT_MAKEUP_CHEEKS": "POLICZKI"
"CUST_FACIAL_EXP_EMBARRASSED": "SPESZONY"
"PLAYER_MORPH_BROW_CURVE_TEXT": "KRZYWIZNA BRWI"
"PLAYER_CREATION_HAIR_LENGTH": "DŁUGOŚĆ WŁOSÓW"
"LOGO_HEADSTONE": "NAGROBEK"
"CUST_COLOR_GRAY_2": "SZARY 2"
"CUST_VARIANT_DULL": "NIJAKIE"
"CUST_WEAR_STUD": "ĆWIEK"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "BUTY ZBUNTOWANEGO DZIECIAKA"
"SLOT_RIMS_FRONT": "PRZEDNIE FELGI"
"SLOT_TAILLIGHTS": "TYLNE REFLEKTORY"
"SLOT_REAR_BUMPER": "TYLNE ZDERZAKI"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "GYROSIARNIA"
"CUST_ITEM_IMPRESSIONS_MALE_N": "MĘSKI N \"WRAŻENIA\" "
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "POŁUDNIOWA PIĘKNOŚĆ"
"GANG_CUST_RANDOM": "LOSOWO"
"CUST_COLOR_CLOTHING_GREENS_2": "ZIELONY 2"
"CUST_COMP_FACE_SCAR_6": "MAŁA BLIZNA 2"
"COMPONENT_HIGH_PROFILE": "WYSOKI PROFIL"
"LOGO_UNIVERSITY_5": "STILWATER U 5"
"CUST_WEAR_DEFAULT": "DOMYŚLNE"
"CUST_SKIN_BLUE_2": "GŁĘBOKI BŁĘKIT"
"CUST_COMPLIMENT_Y": "ZACHĘTA"
"PLAYER_MORPH_JAW_TEXT": "ŻUCHWA"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "NIEBIESKOZIELONY 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Zwiększony zasięg rzutu."
"CUST_GANG_COP": "GLINIARZ"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "FILTR PALANTÓW"
"CUST_TATTOO_RIGHT_FOREARM": "PRAWE PRZEDRAMIĘ"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "GŁĘBOKOŚĆ POLICZKÓW"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "ROZSTAW KOŚCI POLICZKOWYCH"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "SZEROKOŚĆ BOKÓW"
"PLAYER_CREATION_TITLE": "TWORZENIE POSTACI"
"RIM_SET_019": "ZESTAW FELG 19"
"COLOR_SLOT_RIMS": "FELGI"
"CUST_VARIANT_STRIPE_1": "JEDEN PASEK"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "GOLF \"MIEJSKIE SAFARI\""
"CUST_ITEM_CM_HAIR_SKATERBOWL": "NA SKEJTERA"
"PLAYER_MORPH_EAR_BEND_TEXT": "WYGIĘCIE USZU"
"CANT_WEAR_MEDALLION": "Musisz mieć długi lub średni naszyjnik, by nosić ten medalion."
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Zwiększa pojemność magazynka."
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "ULICZNE 1"
"CUST_COLOR_CLOTHING_RED_8": "CZERWONY 8"
"COLOR_SLOT_DRAPES": "ZASŁONKI"
"CUST_ITEM_FEMALE_LL_BRA_4": "TWARDA LASKA"
"CUST_ITEM_CM_SUIT_CARDINAL": "SZATA KARDYNALSKA"
"FACIAL_EXPRESSION_DEATH_B": "ŚMIERĆ 2"
"FACIAL_EXPRESSION_JOYFUL": "WESOŁY"
"CUST_COLOR_CLOTHING_YELLOWS_3": "ŻÓŁTY 3"
"CUST_TATTOO_RUPPARM_3": "EGIPSKA BOGINI"
"COLOR_SLOT_PAINT_1_AND_RIMS": "LAKIER 1 I FELGI"
"CUST_VARIANT_STONEWASH_JEANS": "PODNISZCZONE"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "LASKA MOTOCYKLISTY"
"CUST_ITEM_LPA_M_SPACEPACK": "KOSMICZNY PLECAK"
"PLAYER_MORPH_FACE_AGE_TEXT": "WIEK TWARZY"
"CUST_GANG_MASCOT": "MASKOTKA"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "ZBROJA RYCERZA"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "ELEGANCKA MĘSKA KOSZULA \"MODERN\""
"CUST_ITEM_CF_HAIR_LONGBANGS": "EGIPSKA KSIĘŻNICZKA"
"FACIAL_EXPRESSION_PAIN_C": "CIERPIENIE"
"CUST_BRO_COMPLIMENT_A": "KOMPLEMENT BRACTWA 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "GWIAZDY"
"CUST_VARIANT_HAWAII": "HAWAJSKA"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "WIELKI KRÓLIK"
"CUST_TATTOO_LFORARM_3": "WYTNIJ TŁUSZCZ"
"HAIR_COLOR_LIGHT_BROWN": "JASNOBRĄZOWE"
"COMPONENT_PAINT_2": "LAKIER 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "OBRÓŻKA RASOWEGO PSA"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "BUTY \"ZABAWA!\""
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "MĘSKI B \"PLANETA ŚWIĘTYCH\""
"CUST_ITEM_GAT_BOBBLE": "FIGURKA GATA"
"CUST_ITEM_6_LOOPS_RIGHT_2": "SUROWA KLASA"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "WZNIESIENIE KARKU"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "MOKASYNY STARSZEGO PANA"
"CUST_VOICE": "GŁOS"
"CUST_COMP_MUSTACHE_21": "KĘPKA POD USTAMI"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "KAWOWA OPALENIZNA"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "OPALIZUJĄCY LAKIER"
"SLOT_MECHANICAL_COLOR": "KOLOR MECHANIKI"
"CUST_COLOR_TEAL_2": "TURKUSOWY 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "DZIEWCZYNA Z MIASTA"
"CUST_COMP_EYES_WHITE": "BIAŁE"
"CUST_VARIANT_LIGHT_PLATINUM": "JASNA PLATYNA"
"CUST_INSULT_CHEST": "PCHNIĘCIE W PIERŚ"
"CUST_GANG_MORNING_STAR": "JUTRZENKA"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "PRAWY PODWINIĘTY, WYSOKO"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMURAJ"
"CUST_TATTOO_RARM_1": "ULICZNY ŚWIĘTY"
"RIM_155": "LX-14"
"DIRT": "BŁOTO"
"CUST_WEAR_RIGHT_ROLLED_UP": "PRAWY ZWINIĘTY"
"CUST_ITEM_CM_HAT_MOTORHELMET": "KASK MOTOCYKLISTY"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "NIEGRZECZNY CHŁOPCZYK"
"CUST_MAKEUP_VARIATION": "ODMIANY"
"LOGO_BALANCE_2": "RÓWNOWAGA 2"
"CUST_VARIANT_TIE": "Z KRAWATEM"
"CUST_WEAR_FORWARD_RIGHT": "PRZÓD PRAWO"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "KURTKA ZE SWETREM \"MODERN\""
"CUST_ITEM_LEATHER_LACE_MALE_B": "PRZYJEMNOŚĆ I BÓL"
"CUST_ITEM_CF_HAIR_BEEHIVE": "PSZCZELI UL"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "SANDAŁY FAJKA POKOJU"
"SLOT_REINFORCED_FRAME": "WZMOCNIONA RAMA"
"CUST_COLOR_RED_4": "CZERWONY 4"
"LOGO_NUMBER12": "NUMER 12"
"CUST_VARIANT_2_SIDED_FADE": "DWUSTRONNIE SPRANE"
"CUST_WEAR_FRONT RIGHT": "PRZÓD PRAWO"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "CYBERPRZESTRZEŃ"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "TENISÓWKI EMO"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "NIEGRZECZNE RĘKAWICZKI"
"RIM_SET_011": "ZESTAW FELG 11"
"CUST_VARIANT_SHINY": "ŚWIECĄCE"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "WYPUSZCZONA, ZAPIĘTA, KRAWAT"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "GORSET \"NIEGRZECZNA ZABAWA\""
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "SZEROKOŚĆ ŚRODKA NOZDRZY"
"PLAYER_MORPH_HUE_TEXT": "ODCIEŃ"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "FIOLETOWONIEBIESKI 6"
"SLOT_WINDOW_COVERS": "OSŁONY OKIEN"
"SLOT_HOOD_ORNAMENT": "OZDOBY NA MASKĘ"
"BRIGHT_INDIGO": "JASNE INDYGO"
"CUST_VARIANT_BIG_STRIPES": "GRUBE PASY"
"CUST_VARIANT_POLO_2": "POLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "GANGSTERSKI SKÓRZANY TOP"
"CUST_TATTOO_STOMACH_4": "SNY O JEDNOROŻCU"
"CUST_COMP_MUSTACHE_2": "AKTOR PORNO"
"RIM_201": "RBP REVOLVER 3 ELEMENTY"
"LOGO_SKULL_1": "CZASZKA"
"LOGO_RAYS_1": "PROMIENIE 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "KAPELUSZ W SAMO POŁUDNIE"
"CUST_COMPLIMENT_Q": "DAMA Z CHÓRU"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "KRZYWIZNA DOLNEJ POWIEKI"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "KULISTOŚĆ TWARZY"
"CUST_VARIANT_TIE_DYE_2": "NIERÓWNOMIERNIE FARBOWANE 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "OWADZIE OCZY"
"CUST_TATTOO_LEFT_FOREARM": "LEWE PRZEDRAMIĘ"
"FACIAL_EXPRESSION_HAPPY": "SZCZĘŚLIWY"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "GŁĘBOKOŚĆ BOKÓW"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "HEŁM \"IMPERIUM\""
"CUST_SKIN_CAUCASIAN_02": "KAUKASKA 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "CZERWONOPOMARAŃCZOWY 9"
"CUST_COMP_FACE_BLOODY_LIP": "POCAŁUNEK Z ZĘBAMI"
"CUST_TATTOO_LEFT_ARM": "CAŁA LEWA RĘKA"
"CUST_TATTOO_RARM_5": "NIOSĄCY PIĘKNO"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "HYDRAULIKA"
"CUST_VARIANT_SHORTSHORTS": "KRÓTKIE SZORTY"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "JOYSTICK JUNKIES - GORĄCY ŚWIĘTY"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "GORSET LISICY"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "SZPILKI \"NIEGRZECZNA DZIEWCZYNKA\""
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "RĘKAWICE WOJOWNIKA ZE STEELPORT"
"CUST_SKIN_ASIAN_03": "AZJATYCKA 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "GŁĘBOKOŚĆ OCZU"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "ODCIEŃ JASNEGO TURKUSU"
"RIM_SET_015": "ZESTAW FELG 15"
"VEHICLE_PAINT_INTERRIORS": "WNĘTRZE"
"BRIGHT_RED": "JASKRAWOCZERWONE"
"FEMALE_AVERAGE": "KOBIETA - ŚREDNIA"
"CUST_VARIANT_PRIMARY": "PODSTAWOWE"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "NIEBIESKOZIELONY 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Pozwala zdetonować sterowany pojazd."
"CUST_COMP_FACE_GILLS": "SKRZELA"
"CUST_COLOR_ROSE_4": "RÓŻOWY 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "WYSOKOŚĆ ŚRODKA DOLNEJ WARGI"
"CUST_COMP_MUSTACHE_6": "CIENIUTKIE"
"CUST_VARIANT_SILVER": "SREBRO"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "MARYNARKA Z KAMIZELKĄ \"SĄSIAD\""
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "ZWYKŁE DŻINSY"
"CUST_FINGERNAILS": "PAZNOKCIE"
"CUST_COMPLIMENT_U": "KLEPNIĘCIE"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "FIOLETOWONIEBIESKI 2"
"CUST_COMP_FACE_DIMPLE": "DOŁECZEK"
"CUST_VARIANT_STRIPE": "W PASY"
