"CUST_ITEM_CF_HAIR_MED": "OFF THE SHOULDER"
"CUST_VARIANT_FLOWER_BAND": "FLOWER BAND"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "SPACE PRINCESS TOP"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "DOUBLE CHIN"
"PLAYER_GENDER_TEXT": "BODY SHAPE"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "MAMBA HEELS"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "CLEAN CUT"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "UPPER LIP WIDTH"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "BLUE GREEN 1"
"VEHICLE_COLOR_TITANIUM": "TITANIUM"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "BRIGHT DAY ORANGE"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "EFF YOU TWO"
"SURGEON_CAT_PRESETS": "PRESETS"
"LOGO_GUITAR": "GUITAR"
"LOGO_FEEDDOGS": "FEED DOGS"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "SPACE PRINCESS TIGHTS"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "STEELPORT HERO"
"PRESET_WARNING_BODY": "Selecting this preset will discard your current settings.\nAre you sure you want to do this?"
"CUST_COMP_EYES_DARK_BLUE": "DARK BLUE"
"CUST_COLOR_ORANGE_4": "ORANGE 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "BONDAGE PANTS"
"CUST_TATTOO_UPPER_CHEST": "UPPER CHEST"
"CUST_COLOR_CLOTHING_RED_4": "RED 4"
"VEHICLE_COLOR_TINT_40": "TINT 40%%"
"SLOT_EXHAUST_TIPS": "EXHAUST TIPS"
"LOGO_CAVE_4": "PHANTOM CAVE 4"
"CUST_COMP_FACE_WART_1": "WART 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "HAZY DAY GRAY"
"COLOR_SLOT_PAINT_2_AND_TRIM": "PAINT 2 AND TRIM"
"IRIDESCENT_4": "IRIDESCENT 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "STEAMPUNK MAIDEN CORSET"
"CUST_MENU_FIGURE_PRESETS": "BUILD PRESETS"
"CUST_VARIANT_PLAID": "PLAID"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "COMBAT CHIC BOOTS"
"LOGO_SQD": "SIGMA THETA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "BIG RED"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "BUSINESS CASUAL PANTS"
"CUST_SKIN_RED_YELLOW_2": "CARROT"
"CUST_SKIN_METAL_5": "SAPPHIRE"
"COLOR_SLOT_PAINT_2": "PAINT 2"
"COLOR_SLOT_INTERIOR_2": "INTERIOR 2"
"HAIR_COLOR_BLONDE": "BLONDE"
"COMPONENT_OPTION_B": "OPTION B (SHOULD NOT BE USED)"
"CUST_SAMEDI_COMPLIMENT_C": "SAMEDI COMPLIMENT 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "DETECTIVE HAT"
"CUST_INSULT_LINE": "CROSS THE LINE"
"CANCEL_WARNING_BODY": "Are you sure you want to discard your changes?"
"WARDROBE_TITLE": "WARDROBE"
"COLOR_SLOT_RIMS_1": "RIMS 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "SAM DESIGN 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "THRUST GLOVES"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "TIP DEPTH"
"CUST_COLOR_CLOTHING_VIOLET_8": "VIOLET 8"
"HAIR_COLOR_BLEACHED_MATTE": "BLEACHED BLONDE MATTE"
"LOGO_FRECKLE_2": "FRECKLE BITCHS 2"
"CUST_VARIANT_TIGER": "TIGER"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "SUBTERFUGE"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "TOTAL ANIMAL"
"CUST_SAMEDI_TAUNT_B": "SAMEDI TAUNT 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "JAW DEPTH"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "CRYSTAL DECANTER WHITE"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "SHARK BITE EARRINGS"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "NOSE ROLL"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "SHOOT 'EM UP T"
"CUST_TATTOO_ENTIRE_CHEST": "ENTIRE CHEST"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "NOSTRIL WIDTH"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "UPPER LIP EDGES SIZE"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "BLUE LIGHT TINT"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "TUCKED, BUTTONED, HIGH PANT, NO SUSPENDERS, TIE"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "IMPRESSIONS FEMALE R"
"CUST_ITEM_FEMALE_LP_BRA_1": "SPIDER BITE"
"CUST_SKIN_METAL_1": "SILVER"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "ANTENNA"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "SUPER TITE JACKET"
"CUST_ITEM_CF_HAIR_CORNROWS": "SAINTS ROWS"
"PLAYER_MORPH_EAR_YAW_TEXT": "EAR YAW"
"FEMALE_BODYBUILDER": "FEMALE BODYBUILDER"
"CUST_VARIANT_GLITTERY": "GLITTERY"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "PHYS-ED PANTS"
"FACIAL_EXPRESSION_DOPEY": "DOPEY "
"LOGO_STILWATER_CYCLE": "STILWATER CYCLES"
"FACTORY_STANDARD_HOOD_W__INTAKE": "FACTORY STANDARD HOOD W/INTAKE (SHOULD NOT BE USED)"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "MEDIUM DOTS"
"CUST_WEAR_RIGHT": "RIGHT"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "STARVING ARTIST"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "SAINTS LOOSE FIT"
"SLOT_DECAL_3": "DECAL 3"
"CUST_VARIANT_ARMS": "ARMS"
"CUST_CAT_HAIR_COLOR_SECONDARY": "HEAD HAIR SECONDARY COLOR"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "BRIDGE CURVE"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "You have reached the maximum number of items allowed in this category."
"CUST_COLOR_CLOTHING_BLUES_3": "BLUE 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "RED ORANGE 5"
"HAIR_COLOR_RED_MATTE": "BRIGHT RED MATTE"
"BRIGHT_ORANGE": "BRIGHT ORANGE"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "BROSEPH SHORTS"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "PARTY HEELS"
"CUST_CAT_MAKEUP_CHEEKS": "CHEEKS"
"CUST_FACIAL_EXP_EMBARRASSED": "EMBARRASSED"
"PLAYER_MORPH_BROW_CURVE_TEXT": "BROW CURVE"
"PLAYER_CREATION_HAIR_LENGTH": "HAIR LENGTH"
"LOGO_HEADSTONE": "HEADSTONE"
"CUST_COLOR_GRAY_2": "GRAY 2"
"CUST_VARIANT_DULL": "DULL"
"CUST_WEAR_STUD": "STUD"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "REBEL KID BOOTS"
"SLOT_RIMS_FRONT": "FRONT RIMS"
"SLOT_TAILLIGHTS": "TAIL LIGHTS"
"SLOT_REAR_BUMPER": "REAR BUMPERS"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "IMPRESSIONS MALE N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "SOUTHERN BELLE"
"GANG_CUST_RANDOM": "RANDOM"
"CUST_COLOR_CLOTHING_GREENS_2": "GREEN 2"
"CUST_COMP_FACE_SCAR_6": "SMALL SCAR 2"
"COMPONENT_HIGH_PROFILE": "HIGH PROFILE"
"LOGO_UNIVERSITY_5": "STILWATER U 5"
"CUST_WEAR_DEFAULT": "DEFAULT"
"CUST_SKIN_BLUE_2": "DEEP BLUE ME"
"CUST_COMPLIMENT_Y": "WOOF WOOF"
"PLAYER_MORPH_JAW_TEXT": "JAW"
"CAVERNS_GIFT_NAME": "SPELUNKER'S"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "BLUE GREEN 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Throw farther."
"CUST_GANG_COP": "COP"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "HATER BLOCKERS"
"CUST_TATTOO_RIGHT_FOREARM": "RIGHT FOREARM"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "CHEEK DEPTH"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "CHEEKBONE SPACING"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "SLOPE WIDTH"
"PLAYER_CREATION_TITLE": "PLAYER CREATION"
"RIM_SET_019": "RIM SET 19"
"COLOR_SLOT_RIMS": "RIMS"
"CUST_VARIANT_STRIPE_1": "ONE STRIPE"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "URBAN SAFARI TURTLE NECK"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "SKATER CUT"
"PLAYER_MORPH_EAR_BEND_TEXT": "EAR BEND"
"CANT_WEAR_MEDALLION": "You must have a long or medium necklace to wear this medallion."
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Increase ammo capacity. "
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "STREET 1"
"CUST_COLOR_CLOTHING_RED_8": "RED 8"
"COLOR_SLOT_DRAPES": "DRAPES"
"CUST_ITEM_FEMALE_LL_BRA_4": "TOUGH CHICK"
"CUST_ITEM_CM_SUIT_CARDINAL": "THE CARDINAL ROBE"
"FACIAL_EXPRESSION_DEATH_B": "DEATH 2"
"FACIAL_EXPRESSION_JOYFUL": "JOYFUL"
"CUST_COLOR_CLOTHING_YELLOWS_3": "YELLOW 3"
"CUST_TATTOO_RUPPARM_3": "EGYPTIAN GODDESS"
"COLOR_SLOT_PAINT_1_AND_RIMS": "PAINT 1 AND RIMS"
"CUST_VARIANT_STONEWASH_JEANS": "STONE WASHED"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "BIKER CHICK"
"CUST_ITEM_LPA_M_SPACEPACK": "ASTROPACK"
"PLAYER_MORPH_FACE_AGE_TEXT": "FACE AGE"
"CUST_GANG_MASCOT": "MASCOT"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "KNIGHT ARMOR"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "MODERN MALE DRESS SHIRT"
"CUST_ITEM_CF_HAIR_LONGBANGS": "EGYPTIAN PRINCESS"
"FACIAL_EXPRESSION_PAIN_C": "SUFFERING"
"CUST_BRO_COMPLIMENT_A": "BROTHERHOOD COMPLIMENT 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "STARS"
"CUST_VARIANT_HAWAII": "HAWAIIAN"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "BIG BUNNY"
"CUST_TATTOO_LFORARM_3": "CUT THE FAT"
"HAIR_COLOR_LIGHT_BROWN": "LIGHT BROWN"
"COMPONENT_PAINT_2": "PAINT 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "TOP DOG CHOKER"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "FUNTIME! BOOTS"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS MALE B"
"CUST_ITEM_GAT_BOBBLE": "GAT BOBBLE HEAD"
"CUST_ITEM_6_LOOPS_RIGHT_2": "RUGGED CLASS"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "NECK BACK ELEVATION"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "OLD MAN MOCCASINS"
"CUST_VOICE": "VOICE"
"CUST_COMP_MUSTACHE_21": "SOUL PATCH"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "COFFEE CREAMER TAN"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "IRIDESCENT PAINT"
"SLOT_MECHANICAL_COLOR": "MECHANICAL COLOR"
"CUST_COLOR_TEAL_2": "TEAL 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "UPTOWN GIRL"
"CUST_COMP_EYES_WHITE": "WHITE"
"CUST_VARIANT_LIGHT_PLATINUM": "LIGHT PLATINUM"
"CUST_INSULT_CHEST": "CHEST THRUST"
"CUST_GANG_MORNING_STAR": "MORNING STAR"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "RIGHT ROLLED, HIGH"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMURAI "
"CUST_TATTOO_RARM_1": "STREET SAINT"
"RIM_155": "LX-14"
"DIRT": "DIRT"
"CUST_WEAR_RIGHT_ROLLED_UP": "RIGHT ROLLED UP"
"CUST_ITEM_CM_HAT_MOTORHELMET": "CHOPPER HELMET"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "BAD BOY"
"CUST_MAKEUP_VARIATION": "VARIATIONS"
"LOGO_BALANCE_2": "BALANCE 2"
"CUST_VARIANT_TIE": "WITH TIE"
"CUST_WEAR_FORWARD_RIGHT": "FORWARD RIGHT"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "MODERN JACKET WITH SWEATER"
"CUST_ITEM_LEATHER_LACE_MALE_B": "PLEASURE AND PAIN"
"CUST_ITEM_CF_HAIR_BEEHIVE": "QUEEN BEE"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "PEACE PIPE SANDALS"
"SLOT_REINFORCED_FRAME": "REINFORCED FRAME"
"CUST_COLOR_RED_4": "RED 4"
"LOGO_NUMBER12": "NUMBER 12"
"CUST_VARIANT_2_SIDED_FADE": "TWO SIDED FADE"
"CUST_WEAR_FRONT RIGHT": "FRONT RIGHT"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "CYBERSPACE"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "EMO SNEAKS"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "NAUGHTY NAUGHTY GLOVES"
"RIM_SET_011": "RIM SET 11"
"CUST_VARIANT_SHINY": "SHINY"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "UNTUCKED, BUTTONED, TIE"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "NAUGHTY TIME BUSTIER"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "NOSTRIL MIDDLE WIDTH"
"PLAYER_MORPH_HUE_TEXT": "HUE"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "VIOLET BLUE 6"
"SLOT_WINDOW_COVERS": "WINDOW COVERS"
"SLOT_HOOD_ORNAMENT": "HOOD ORNAMENTS"
"BRIGHT_INDIGO": "BRIGHT INDIGO"
"CUST_VARIANT_BIG_STRIPES": "THICK STRIPES"
"CUST_VARIANT_POLO_2": "POLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "GANG LEATHERTOP"
"CUST_TATTOO_STOMACH_4": "UNICORN DREAMS"
"CUST_COMP_MUSTACHE_2": "PORNSTACHE"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "SKULL"
"LOGO_RAYS_1": "RAYS 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "HIGH NOON HAT"
"CUST_COMPLIMENT_Q": "THE CHORUS LADY"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "LOWER EYELID CURVE"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "FACE GLOBAL"
"CUST_VARIANT_TIE_DYE_2": "TIE DYE 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "BUG EYES"
"CUST_TATTOO_LEFT_FOREARM": "LEFT FOREARM"
"FACIAL_EXPRESSION_HAPPY": "HAPPY "
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "SLOPE DEPTH"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "EMPIRE HELMET"
"CUST_SKIN_CAUCASIAN_02": "CAUCASIAN 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "RED ORANGE 9"
"CUST_COMP_FACE_BLOODY_LIP": "LOVE BITE"
"CUST_TATTOO_LEFT_ARM": "WHOLE LEFT ARM"
"CUST_TATTOO_RARM_5": "BRINGER OF BEAUTY"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "HYDRAULICS"
"CUST_VARIANT_SHORTSHORTS": "SHORT SHORTS"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "JOYSTICK JUNKIES HOT SAINT"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "VIXEN CORSET"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "NAUGHTY GIRL HEELS"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "STEELPORT FIGHTER GLOVES"
"CUST_SKIN_ASIAN_03": "ASIAN 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "EYE DEPTH"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "TEAL LIGHT TINT"
"RIM_SET_015": "RIM SET 15"
"VEHICLE_PAINT_INTERRIORS": "INTERIORS"
"BRIGHT_RED": "BRIGHT RED"
"FEMALE_AVERAGE": "FEMALE AVERAGE"
"CUST_VARIANT_PRIMARY": "PRIMARY"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "BLUE GREEN 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Detonate the vehicle you're controlling."
"CUST_COMP_FACE_GILLS": "GILLS"
"CUST_COLOR_ROSE_4": "ROSE 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "LOWER LIP MIDDLE HEIGHT"
"CUST_COMP_MUSTACHE_6": "PENCIL STASH"
"CUST_VARIANT_SILVER": "SILVER"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "NEIGHBOR JACKET AND VEST"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "BASIC JEANS"
"CUST_FINGERNAILS": "FINGERNAILS"
"CUST_COMPLIMENT_U": "CHEST POUND"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "VIOLET BLUE 2"
"CUST_COMP_FACE_DIMPLE": "DIMPLE"
"CUST_VARIANT_STRIPE": "STRIPED"
"CUST_WEAR_HIGH_BOTH_ROLLED": "BOTH ROLLED, HIGH"
"CUST_ITEM_IMPRESSIONS_MALE_B": "IMPRESSIONS MALE B"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "MARSHMALLOW VEST"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "FLAT TOP DESIGN B"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "MANICURED NAILS"
"CUST_WEAR_NORMAL_LOW": "NORMAL, LOW"
"CUST_COLOR_CLOTHING_VIOLET_4": "VIOLET 4"
"HAIR_COLOR_REDHEAD_MATTE": "REDHEAD MATTE"
"CUST_VARIANT_NO_STRIPES": "PLAIN"
"CUST_WEAR_TATTOO_BAND_A": "BAND 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "LEFT UNZIPPED, HIGH"
"CUST_ITEM_TROOPER_SHADES": "HOLLYWOOD READY"
"CUST_COLOR_CLOTHING_YELLOWS_7": "YELLOW 7"
"CUST_TATTOO_RUPPARM_7": "IN YOUR BLOOD"
"CUST_COMP_FACE_BLOODY_NOSE": "BUSTED NOSE"
"CUST_VARIANT_TIE_DYE": "TIE DYE"
"player_lips_gloss": "LIP GLOSS"
"FACIAL_EXPRESSION_GRUMPY": "GRUMPY "
"CUST_TATTOO_LFORARM_7": "CALL IT DOWN"
"COLOR_SLOT_TRIM_4": "TRIM 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "WARRIOR PRINCESS"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "JUMP SHOT"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "LEATHER JACKET OUTFIT"
"CUST_VARIANT_SPORT_SHORTS_2": "STYLE 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "LAZY DAY CAPRIS"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "NOSTRIL DEPTH"
"CUST_COMP_MUSTACHE_25": "THE MARTIAN"
"SLOT_BODY_KIT": "BODY KITS"
"CUST_VARIANT_PIMPCOAT_HEARTS": "HEARTS"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "ART SCHOOL"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "TIP WIDTH"
"VEHICLE_COLOR_RED_LIGHT_TINT": "RED LIGHT TINT"
"CUST_VARIANT_SANDALS_03": "NORMAL"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "RUNWAY AVIATORS"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "FLEUR DE LIS LOGOS"
"CUST_CAT_RIGHT_WRIST": "RIGHT WRIST"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "JAW WIDTH"
"COMPONENT_OPTION_1": "OPTION 1"
"SLOT_INTERIOR_COLOR": "INTERIOR COLOR"
"SK02": "SKIN02"
"CUSTOM_WALK_2": "PIMP LEAN"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "Carry more missiles."
"CUST_TATTOO_LOWBACK_5": "IN COLD STEEL WE TRUST"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "FUTURE SOLDIER BODY ARMOR"
"MUSEUM_GIFT_NAME": "BUY JOVE"
"HAIRSALON_NAME": "SHEAR INTENSITY"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "Carry more charges."
"CUST_TATTOO_NECK_1": "NAUTICAL STAR"
"CUST_COMP_BODY_MASK_1": "NONE"
"LOGO_MUSEUM_ERO_1": "EROMENOS MUSEUM 1"
"CUST_VARIANT_BIKER_NODECAL": "NO DECALS"
"CUST_VARIANT_PLAIN_NO_TIE": "PLAIN"
"CUST_WEAR_SUSPENDERS": "SUSPENDERS"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "CROOKS & CASTLES T-SHIRT B"
"CUST_ITEM_SHORT_SOCKS": "DAD SHOES"
"CUST_ITEM_BIKER_BOOTS_3": "LAZY DAY SHOES"
"CUST_TATTOO_RIGHT_LEG": "RIGHT LEG"
"FACIAL_EXPRESSION_SAD": "SAD"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "MIDDLE BROW HEIGHT"
"CUST_COMP_EYE_MAKEUP_15": "QUEEN OF THE NILE"
"CUST_COLOR_BLEACHED_BLONDE": "BLEACHED BLONDE"
"CUST_VARIANT_17_DEFAULT": "STYLE 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "THE MOCAP"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "FUNTIME! G STRING"
"PRESET_WARNING_HEADING": "WARNING"
"CUSTOM_WALK_MALE": "DEFAULT MALE"
"PLAYER_MORPH_EYE_SPACING_TEXT": "EYE SPACING"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_9": "YELLOW GREEN 9"
"CUST_TATTOO_RHAND_1": "FOUR SKULLS"
"Chin": "CHIN"
"CUST_PRESET_SEX": "SEX"
"CUST_COMP_FACE_MAKEUP_1": "ALL COVERED UP"
"VEHICLE_COLOR_GOLD": "GOLD"
"CUST_VARIANT_JERSEY_2": "STYLE 2"
"CUST_VARIANT_STRIPESA": "STRIPES 1"
"CUST_SKIN_HISPANIC_01": "HISPANIC 1"
"CUST_TATTOO_FACE_6": "BUTTERFLY"
"SLOT_RIM_COLOR": "RIM COLOR"
"DARK_PINK": "DARK PINK"
"LOGO_BROTHERHOOD_1": "BROTHERHOOD 1"
"CUST_SKIN_PURPLE_5": "PURPLE"
"CUSTOM_WALK_16": "THUG STYLE 11"
"CUST_MENU_FINE_TUNING": "FACE"
"CUST_COLOR_CLOTHING_BROWNS_1": "BROWN 1"
"CUST_COMP_MUSTACHE_16": "EXECUTIVE"
"COMPONENT_DECAL_3": "DECAL 3"
"CUST_VARIANT_LEOPARD_1": "LEOPARD 1"
"CUST_ITEM_CM_CNC_UBDY_M_VARJACKET": "CROOKS & CASTLES VARSITY JACKET"
"CUST_SKIN_BLACK_06": "BLACK F"
"PLAYER_MORPH_BROW_ANGLE_TEXT": "BROW ANGLE"
"LOGO_STALLA_1": "STALLAGERIFFIC"
"CUST_ITEM_CF_RING_F_GOTHSET": "EDGE OF DARKNESS RINGS"
"CUST_ITEM_CF_RING_F_SMHEART": "SMALL HEART SET"
"CUST_INSULT_N": "VOGUE"
"PLAYER_MORPH_SLOPE_ELEVATION_TEXT": "SLOPE HEIGHT"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_STAG_2": "Increase rate of fire and damage. Red dot sight improves fine-aim accuracy."
"CUST_TATTOO_LUPPARM_8": "ALL ABOUT THE BLING"
"VEHICLE_COLOR_SEAFOAM_TEAL": "SEAFOAM TEAL"
"CRAZY_1": "CRAZY 1"
"CUST_ITEM_CF_RING_F_DMNDNAILS": "THE GOLDDIGGER"
"CUSTOM_WALK_FEMALE_4": "LADY PIMP"
"CUST_COMP_CHEEK_MAKEUP_6": "DAMN GOOD NIGHT"
"SURGEON_CAT_BODY": "BODY"
"CUST_TATTOO_LCALF_2": "SUCKER PUNCH"
"CUST_VARIANT_POLKA_DOTS": "POLKA DOT"
"CUST_VARIANT_MED_TRI_COLOR": "MEDIUM TRI-COLOR"
"CUST_ITEM_FEMALE_LETSPRETEND_OUTFIT_C": "STEELPORT HEROINE"
"CUST_ITEM_CM_LPC_UBDY_M_HEROSHIRT": "STEELPORT HERO SHIRT"
"CUST_COMPLIMENT_A": "THE EXPERIENCE"
"SURGEON_STORE_NAME_1": "IMAGE AS DESIGNED"
"CUST_WPN_UPGRADE_DESC_PISTOL_GANG_4": "Exploding bullets shock your enemies."
"CUST_COMP_EYE_MAKEUP_2": "LEFT PATCH"
"RIM_189": "C-X 503"
"LOGO_SKEETERS_6": "SKEETERS 6"
"CUST_VARIANT_BRA_1": "DOTS"
"CUST_VARIANT_WILD": "WILD"
"CUST_ITEM_CF_NLMD_UBDY_F_SHIRT": "RAWK SHIRT"
"CUST_COMPLIMENT_CC": "WOOOO SCREAM"
"SLOT_RIGHT_SIDE": "RIGHT SIDE"
"SLOT_TAILS": "TAILS"
"CUST_WEAR_TUCKED_BUTTONED_EXTRA_HIGH_PANT_NO_SUSPENDERS": "TUCKED, BUTTONED, EXTRA HIGH PANT, NO SUSPENDERS"
"CUST_WEAR_TUCKED_BUTTONED": "TUCKED, BUTTONED"
"CUST_ITEM_CM_IMPN_UBDY_M_UNBUTTONED": "MODERN UNBUTTONED DRESS SHIRT"
