"HITMAN_TARGET_33_SHORT_DESC": "非協力的なサプリ製造組織"
"DIVERSION_STREAKING_SHOCKS_HUD_MESSAGE": "ショック"
"DIVERSION_COMPLETED": "デバージョンクリア！"
"DIVERSION_COMBAT_TRICKS_SPRINT_ATTACK": "テイクダウン"
"ACT_HITMAN_TARGET_LEFT_COUNT": "排除したターゲット：%I／%I人"
"HITMAN_TARGET_23_DESCRIPTION": "私はスティールポートで活動する「思慮深きプロギャンブラー協会」の代表だ。アルモンゾが八百長ゲームで予定どおりに負けなかったことは、きわめて遺憾だ。二度と勝てないようにしてやらなければ。[format][color:em]THE GROVEへ行って、ヤツと親しいルチャドールの仲間にちょっかいを出せば[/format]おびき出せるだろう"
"DIVERSION_CHALLENGES_PARACHUTE_LANDINGS_D": "お前が飛び付きたくなるような賭けがある。パラシュートで15回着陸成功を達成できるか？倍率は3倍だ..."
"STAGE_TAKEOVER_SUBTITLE_COLLECTED": "占拠支援"
"HITMAN_TARGET_DECOY_KILLED": "はめられた。今のはただの囮だ。本物のターゲットを始末しろ！"
"DIVERSION_EXPLORATION_SECRET_TITLE": "隠しエリア"
"CHOPSHOP_LONG_1_5": "クルミ材のダッシュボードと、足が冷たくならないホットアクセル。2つとも完備してるのは、JUSTICEだけだ。HENRY STEEL MILLSへ行けば見つかるぜ"
"HITMAN_LOC_7_3": "HENRY STEEL MILLS"
"HITMAN_TARGET_1_3": "アグネス"
"DIVERSION_CHALLENGES_DESTROY_MORNINGSTAR_VEHICLES": "モーニングスターの車両を破壊しろ"
"MONEY_PALLET_COLLECTED": "キャッシュの山"
"TUT_TITLE_DIV_INTRO_COOP_CAT_AND_MOUSE": "協力プレイ キャット&マウス"
"DIVERSION_COOP_SURVIVAL_TITLE": "協力サバイバル"
"DIVERSION_FLASHING_HELP_TEXT": "%lsを押してフラッシュだ！"
"DIVERSION_CHOP_SHOP_NAME_5": "HUMANITARIAN AID, INC. "
"DIVERSION_CHALLENGES_NEAR_MISSES_GROUND": "ニアミス"
"DIVERSION_COOP_GSI_OTHER_SCORE": "%sのスコア："
"HITMAN_TARGET_31_DESCRIPTION": "[format][color:em]CAMANO PLACEにあるLEATHER AND LACE[/format]のオーナーのトニーは、問題を起こす客はボコボコにするのが正しい接客と思ってるらしい。お客様は神様だぜ？たとえ殺されようと、おとなしく従うのが筋だってことを思い知らせてやってくれ。[format][color:em]店へ行って服を注文すれば[/format]トニーがレジを打ちにくるはずだ"
"DIVERSION_COOP_SUCCESS_HOST_WIN": "%.0fドル獲得！{PICKUP_RELOAD_IMG}でもう1ラウンドプレーするか、{ACTION_IMG}で終了する"
"DIVERSION_COOP_CAT_AND_MOUSE_TITLE": "キャット&マウス"
"Hitman_Targets": "ターゲット"
"HITMAN_RIVAL_HITMAN_SPAWNED": "敵のヒットマンが現れた。ヤツより先にターゲットを仕留めろ"
"DIVERSION_TAUNTING": "挑発"
"DIVERSION_HIJACKING_TITLE": "爆裂！セインツ"
"DIV_FLASHING_COMPLETE": "デバージョン「フラッシング」全レベルクリア！"
"CHOP_SHOP_CASH": "キャッシュ"
"LOCALIZE_FRANCHISE": "フランチャイズ"
"DIVERSION_SURVIVAL_TIME_TAG": "時間"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_4_STRING": "小悪党"
"DIVERSION_CHALLENGES_FALL_NO_PARACHUTE": "死ななかった落下距離"
"DIVERSION_CHALLENGES_STAG_COMMANDO_KILLS_D": "言った通り、STAGの装備とトレーニングはあなどれないわ。特殊部隊を倒せばヤツらの戦術的な実力を鈍らせることができるでしょうね。"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_2_STRING": "残虐非道"
"CHOP_SHOP_RESPECT": "リスペクト"
"DIVERSION_STORE_HOLDUP_TEXT": "店舗強盗"
"ACT_HITMAN_FIRST KILL_MSG": "残りの[format][color:red]ターゲット[/format]をすべて排除しろ"
"ACT_HITMAN_COMP WITNESS_MSG": "目撃者を残すな！"
"HITMAN_TARGET_6_3": "オリバー"
"DIVERSION_COMBAT_TRICKS_STAG_VEHICLE_KILL": "STAG車両"
"DIVERSION_COMBAT_TRICKS_BRUTE_KILL": "ブルートキル"
"DIVERSION_COMBAT_TRICKS_BEAT_DOWN_KILL": "格闘キル"
"DIVERSION_CHALLENGES_MILES_DRIVEN": "乗り物での移動距離"
"DIVERSION_CHALLENGES_CHALLENGE_COMPLETED": "チャレンジをクリア！"
"DIVERSION_COOP_SUCCESS_HOST_LOSE": "敗北した。{PICKUP_RELOAD_IMG}でもう1ラウンドプレーするか、{ACTION_IMG}で終了する"
"DIVERSION_COMBAT_TRICKS_NUT_SHOT_KILL": "急所攻撃"
"DIVERSION_CHALLENGES_CARS_JACKED": "カージャック回数"
"DIVERSION_COOP_GSI_OTHER_ALT_SCORE": "相手プレイヤーのスコア："
"DIVERSION_THEFT_SAFE_OPEN": "金庫を開けろ"
"DIVERSION_STREAKING_LEVEL_COMPLETE_RESPECT": "ストリーキングレベル%dクリア！\n%d のリスペクトを獲得"
"DIVERSION_FAILED": "デバージョン失敗！"
"DIVERSION_DRIVEBY_TITLE_TEXT": "デバージョン「ドライブバイ」"
"DIVERSION_COMBAT_TRICKS_THROWING": "スローイング"
"DIVERSION_BARNSTORMING_SUBTITLE": "見つけたスポット"
"DIVERSION_CHALLENGES_DESTROY_LUCHADORE_VEHICLES": "ルチャドールの車両を破壊しろ"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_BALANCE_MESSAGE_TEXT": "{ANALOG_LS_IMG}：車両の上でバランスを取れ"
"DIVERSION_SURVIVAL_CAMERAMAN_NOT_FOLLOWER_TEXT": "カメラマンは激怒して1人で行ってしまった"
"DIVERSION_HOSTAGES_KIDNAPPED": "人質を取った"
"DIVERSION_EXPLORATION_DISTRICT": "%lsを探索した"
"HITMAN_TARGET_43_DESCRIPTION": "セインツブックも、もう少しセキュリティ対策をしたほうがいいな。それはそうと仕事を頼みたいんだ。PROTIPというヤツにPvPで何回もキルされてるんだが、リアルにキルされるとどうなるか思い知らせてやってくれ。[format][color:em]デッカー本部[/format]の近くでゲームの腕を自慢しまくってるはずだ"
"DIVERSION_CHALLENGES_HOS_SNATCHED": "調達したエステティシャン"
"DIVERSION_CHALLENGES_KILL_STAG": "STAGを始末しろ"
"DIVERSION_CHALLENGES_KILL MORNINGSTAR": "モーニングスターを始末しろ"
"DIVERSION_WHORING_TIME_UP_TEXT": "出直してこい！"
"DIVERSION_SURVIVAL_WAVE_COMPLETED": "ウェーブをクリア！"
"DIVERSION_COMBAT_TRICKS_PROP_KILL": "即席攻撃"
"DIVERSION_BASE_JUMPING": "パラシュート降下"
"HITMAN_TARGET_22_SHORT_DESC": "復讐の炎"
"DIVERSION_DRIVEBY_DIVERSION_OUT_OF_TIME": "時間切れだ"
"HITMAN_TARGET_H12_SHORT_DESC": "徹底的にやってくれ"
"DIVERSION_CHALLENGES_MORNINGSTAR_SPECIALISTS": "倒したモーニングスタースペシャリスト"
"DIVERSION_SURVIVAL_CAMERAMAN_DEATH_TEXT": "カメラマンが死んだ"
"DIVERSION_BASE_JUMPING_USE_MESSAGE": "パラシュートを開く"
"HITMAN_LOC_H2_3": "BURNS HILL"
"HITMAN_TARGET_42_DESCRIPTION": "「ブレイズ」とかいうスーパーヒーロー気取りが、犯罪者を潰して楽しんでやがる。オレたちも迷惑こうむってるクチだ。これ以上ヤツに走り回られるのは気にいらねえ[format][color:em]南西部に位置するCARVER ISLANDで強盗に入れ。どの店でもいいぜ。[/format]ヤツが怒って飛んできたところを始末してやるんだ"
"HITMAN_TARGET_H2_3": "ルーカス"
"DIVERSION_CHALLENGES_SURVIVAL_COMPLETED_D": "お前はこれまで色んなヤバイ状況を切り抜けてきたが、まだ疑ってるヤツらもいる。そいつらに証明してやろうぜ"
"DIVERSION_CHALLENGES_EXPLORE_HOODS_D": "これはシンジケートとの抗争だ、間違いない。地理を詳しく知るのは手堅いことだ"
"DIVERSION_CHALLENGES_KILL_MORNINGSTAR": "モーニングスターを始末しろ"
"DIVERSION_COMBAT_TRICKS_EXPLOSIVE_KILL": "爆破攻撃キル"
"DIVERSION_COMBAT_TRICKS_REGULAR_KILL": "キル"
"DIVERSION_BEST_JUMP_HEIGHT": "ビッグエア高度記録"
"DIVERSION_BARNSTORMING": "アクロバット飛行"
"CHOPSHOP_SHORT_1_5": "ディーター様はJUSTICEが欲しい！"
"DIVERSION_STREAKING_TITLE": "ストリーキング"
"DIVERSION_LOW_FLYING_LONGEST_DISTANCE": "低空飛行距離記録"
"DIVERSION_HOSTAGES_ESCAPED": "人質が全員逃げたぞ"
"DIVERSION_BURNOUT_TITLE": "バーンアウト"
"DIVERSION_CHALLENGES_KILL_MASCOTS": "倒したマスコット"
"DIVERSION_CHALLENGES_DESTROY_HELICOPTERS_D": "墜落したやつでもかまわん... それなりの金額を支払ってやる"
"DIVERSION_CHALLENGES_DO_HEADSHOTS_D": "ジョニーはヘッドショットってのを高く評価していた。あいつへの手向けとしていくつか狙ってみたらどうだ"
"STAGE_TAKEOVER_TITLE_COLLECTED": "S.T.A.G."
"PAUSE_ACT_HITMAN_VIEW_TARGET": "ターゲットを選択"
"DIVERSION_HYDRAULICS_STYLE_1_TITLE": "ハイドロ"
"DIVERSION_BACK_SEAT_DRIVER_DISTANCE": "ロードキル最長距離記録"
"HITMAN_TARGET_H31_DESCRIPTION": "スムーヴは仁義を無視するナメたスカウトでシンジケートに寝返りやがった。[format][color:em]HENRY STEEL MILLS[/format]で[format][color:em]ヤツの抱えてるエステティシャンを捕まえれば[/format]姿を現すはずだ。ヤツのお抱えエステティシャンは太って醜いのばかりだ...好みのエステティシャンは対象外と思いな。とにかくヤツが姿を現したら息の根を止めてやれ"
"HITMAN_TARGET_32_SHORT_DESC": "求むプロフェッショナル"
"DIVERSION_CHALLENGES_VEHICLE_SURFING_D": "カーサーフィンは最高よ！やってみたらどう？きっと気に入るわ！"
"DIVERSION_CHALLENGES_PARACHUTE_MOVES": "パラシュートトリック"
"DIVERSION_STUNT_JUMPING_STATS_SPIN": "スピン%.0f{temp_degrees}"
"DIVERSION_COOP_HOST_PLAY_AGAIN": "{MENU_SELECT_IMG}別のマッチをプレイする"
"DIVERSION_CAT_AND_MOUSE_MIN_SPEED_WARNING": "スピードアップして生き残れ！"
"DIVERSION_BEST_JUMP_DISTANCE": "ビッグエア最長記録"
"HITMAN_CALL_DISPLAY_7B": "STAGオペレーションセンター"
"HITMAN_LOC_1_4": "BRIDGEPORT"
"HITMAN_TARGET_34_DESCRIPTION": "お助けください！夫のハリーが自殺しようとしているのです。そんなことをされたら、私は保険金を受け取れなくなってしまう！自殺する前に彼を始末して！夫は、[format][color:em]THE GROVEとLOREN SQUARE をつなぐ橋から飛び降りる[/format]つもりです。急いで！"
"DIVERSION_CHALLENGES_KILL_MASCOTS_D": "ウレタンコスチュームのこいつらは子供の頃から嫌いだったんだ。あのホットドッグ野郎め... ああ気にしないでくれ。とにかく数を減らしてくれるか？"
"DIVERSION_DRIVEBY_DIVERSION_FAILED_TO_KILL_FROM_CAR": "車両内からギャングを倒せ"
"DIVERSION_COOP_SUCCESS_CLIENT_TIE": "引き分け。{PICKUP_RELOAD_IMG}で続行する"
"HITMAN_TARGET_6_2": "グリゴール"
"DIVERSION_ONCOMING_TITLE": "逆走"
"DIVERSION_FLASHING_FAILED_DUE_TO_WATER_TEXT": "デバージョンがキャンセルされた。水から出ろ"
"DIVERSION_DRIVEBY_DIVERSION_NUM_SPOTS_COMPLETE_PARAMETERIZED": "ドライブバイ成功！ %i／%i"
"DIVERSION_DRIFTING_BEST": "ドリフト記録"
"CHOPSHOP_SHORT_1_1": "RE：SOVEREIGNSを盗ってきな"
"HITMAN_LOC_6_4": "YEARWOOD"
"DIVERSION_HOSTAGES_RETURN_THEM": "引渡し場所に人質を全員連れて行け"
"DIVERSION_QTE_TITLE": "格闘キル"
"DIVERSION_CHOP_DELIVERED": "%s\n車両を届けた"
"PAUSE_ACT_HITMAN_VIEW": "場所を確認"
"HITMAN_TARGET_KILL_FAILED": "始末する前にターゲットが死んでしまった！"
"DIVERSION_SURVIVAL_CLEAR_OUT_ENEMY": "残りの敵を始末しろ！"
"DIVERSION_BASE_JUMPING_RECORD_FALL": "パラシュート降下最高高度"
"DIVERSION_BARNSTORMING_COMPLETE": "すべてのアクロバットスポットを見つけた！スゲえな！"
"CHOPSHOP_LONG_1_4": "困った客には、「セメントシューズ」がお似合いだ。ディーター様の客にもずいぶんと困ったヤツがいてセメントがたっぷり必要だ。\nYEARWOODでMIXMASTERを調達してくれ"
"HITMAN_LOC_7_2": "ABANDONED MEMORIAL"
"HITMAN_TARGET_1_2": "DJエニグマス"
"DIVERSION_CHALLENGES_CHAINSAW_KILLS": "チェーンソーによるキル"
"DIVERSION_CHALLENGES_RUN_OVER_CIVILIANS": "ひいた人数"
"DIVERSION_CHOP_SHOP_NAME_4": "RIGG'S SEA-AIR SUPPLIES"
"HITMAN_LOC_H3_1": "HENRY STEEL MILLS"
"HITMAN_TARGET_H3_1": "スムーヴ"
"DIVERSION_CHALLENGES_DESTROY_STAG_VEHICLES": "STAGの車両を破壊しろ"
"HITMAN_START": "ヒットマンのターゲットリストを入手しろ"
"DIVERSION_SURVIVAL_FIRST_LOCATION_TAG": "最初の現場に向かえ"
"DIVERSION_HOSTAGE_SPEED_EXPLAIN": "スピードを落とすと人質に逃げられる"
"DIVERSION_CHOP_SHOP_COOP_COLLECTION_REWARD": "協力プレイのパートナーを手伝った報酬として、%dドルと%dリスペクトを獲得した"
"ACT_HITMAN_WARN WITNESS_MSG": "目撃者を始末しろ"
"CHOPSHOP_LONG_1_1": "あんた、この街で名を上げたいんだろ？ディーター様の耳にも入ってるぜ。その筋の人間に注目されたいなら、SOVEREIGNを調達してディーター様に届けることだ。\nスマートなオトコは盗んでなんぼだ。\nDOWNTOWN地区へ行けば見つかるぜ"
"HITMAN_TARGET_71_DESCRIPTION": "ラスプーチンの汚い仕事を手伝わされたあげくヤツに始末されそうになったらしいな（ついでに言っておくと、ヤツの本名はバリーだ。まったく見下げた野郎だぜ）バリーはズラかるつもりだぞ。[format][color:em]DOWNTOWNにあるアジトの屋上[/format]でヘリを待ってやがる。そこへ迎えに現われるのがお前なら、傑作だろうな..."
"HITMAN_TARGET_72_SHORT_DESC": "STAG軍曹からの招集命令"
"DIVERSION_CHALLENGES_DESTROY_POLICE_VEHICLES": "警察車両を破壊しろ"
"DIVERSION_WINDSHIELD_CANNON_TITLE": "フロントガラス砲"
"DIVERSION_SURVIVAL_NEXT_LOCATION_TAG": "ミニマップを見て次の現場へ向かえ"
"DIVERSION_DRIFTING_TITLE": "ドリフト"
"DIVERSION_CHOP_SHOP_NAME_1": "DIETER'S CHOP SHOP"
"DIVERSION_VEHICLE_SURFING_BEST_HANDSTAND_TIME": "逆立ち記録"
"HITMAN_LOC_H2_2": "SALANDER"
"HITMAN_TARGET_H2_2": "キルスティン"
"DIVERSION_DRIVEBY_DIVERSION_RATING_LEVEL_3_STRING": "無法者"
"DIVERSION_BEST_WHEELIE_FEET": "ウィリー記録：%.0fフィート！"
"DIVERSION_BASE_JUMPING_START": "パラシュート降下の目標地点を設定"
"CHOPSHOP_SHORT_1_4": "MIXMASTERで万事解決"
"HITMAN_LOC_6_1": "HENRY STEEL MILLS"
"DIVERSION_CHALLENGES_SURVIVAL_COMPLETED": "クリアしたサバイバル"
"HITMAN_TARGET_62_SHORT_DESC": "報酬を用意した"
"DIVERSION_CHALLENGES_PLANET_SAINTS": "PLANET SAINTSで買ったアイテム数"
"DIVERSION_CHALLENGES_MINUTE_SURF": "サーフィンした車両"
"DIVERSION_COMBAT_TRICKS_HELI_KILL": "エアクラフトキル"
"HITMAN_CALL_TEXT_7B": "シュタイナーの挑戦を受けるのか？像のところへ来るがいい。遺書を書くのを忘れるな"
"DIVERSION_WHORING_TIME_HUD_TAG": "時間"
"ACT_HITMAN_KILL WRONG_MSG": "[format][color:red]ターゲット[/format]を始末していない。ボーナスはなしだ"
"HITMAN_LOC_1_1": "NEW COLVIN"
"HITMAN_TARGET_7_1": "バリー"
"DIVERSION_CHALLENGES_GRENADE_KILLS": "手榴弾によるキル"
"DIVERSION_BEST_WHEELIE": "ウィリー記録"
"DIVERSION_BURNOUT": "バーンアウト"
"DIVERSION_BACK_SEAT_DRIVER_TITLE": "ロードキル"
