"CUST_ITEM_CF_HAIR_MED": "ДО ПЛЕЧ" 
"CUST_VOICE_MALE_LATINO": "МУЖЧИНА 3"
"CUST_VARIANT_GANG_CAMO": "БАНДИТСКИЙ КАМУФЛЯЖ"
"CUST_ITEM_CM_NLMA_LBDY_M_SPPANTS": "СТИМПАНКОВСКИЙ БОЕЦ"
"PLAYER_CREATION_PRESET_MALE": "МУЖЧИНА"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_2": "Емкость обойм увеличивается."
"CUST_COMP_MUSTACHE_26": "ИСПАНЕЦ"
"RIM_177": "SD RZ245"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_D": "ПЛЯЖНИЦА"
"CUST_ITEM_FEMALE_PS_UNDWEAR_2": "ТАНГА СВЯТЫХ"
"CUST_ITEM_CM_LLK_LBDY_M_BOXERS": "ТОЛЬКО ВСТАЛ"
"STRONGHOLD_CUSTOMIZATION": "НАСТРОЙКА КРЕПОСТИ"
"TATTOO_STORE_TITLE": "RUSTY'S NEEDLE"
"CUST_TATTOO_LFORARM_4": "СКРЫТОЕ ОРУЖИЕ"
"COLOR_SLOT_SOFTTOP": "СИДЕНЬЯ"
"SLOT_LIGHTS": "ФАРЫ"
"CUST_VARIANT_TRI_COLOR": "ТРИКОЛОР"
"CUST_ITEM_CM_DLC_RING_M_PIMPSET": "БЛЕСТЯШКИ В СТИЛЕ ЗЕД"
"CUST_ITEM_CM_FPIC_EYEBLEFT": "КОЛЬЦО В ЛЕВУЮ БРОВЬ"
"CUST_ITEM_CM_IMPB_LBDY_M_DRESSPANTS": "ШИКАРНЫЕ ШТАНЫ"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_E": "УЛИЧНЫЙ ПАЦАН"
"BRIGHT_PURPLE": "ЯРКО-ФИОЛЕТОВЫЙ"
"LOGO_8BALL": "ШАР N°8"
"CUST_VARIANT_SPORT_SHORTS_1": "СТИЛЬ 2"
"CUST_VARIANT_ARGYLE": "УЗОР РОМБИКАМИ"
"CUST_TATTOO_RARM_6": "ПОЙМАН В СЕТИ"
"RIM_152": "LUMINATI"
"CUST_ITEM_CM_NLMA_FOOT_M_SPBOOTS": "СТИМПАНКОВСКИЕ САПОГИ"
"CUST_ITEM_PLAIN_WHITE_TEE": "ФУТБОЛКА"
"CUST_ITEM_CM_PSF_UBDY_M_SAINTSJERSEY": "КОМАНДНАЯ МАЙКА СВЯТЫХ"
"CUST_TATTOO_TORSO_UPPER_BACK": "ЗАДНЯЯ ЧАСТЬ - ВЕРХ"
"Paint": "РИСОВАТЬ"
"LOGO_GIRL_1": "ДЕВУШКА 1"
"CUST_VARIANT_10_DEFAULT": "ВАРИАНТ 10"
"CUST_VARIANT_TIE_DYE_1": "ПОКРАШЕННЫЙ ГАЛСТУК 1"
"CUST_VARIANT_CMCOA_MSUNSHINE01": "НОРМАЛЬНЫЙ"
"CUST_WEAR_TATTOO_AZTEC_TURTLE": "ЧЕРЕПАХА АЦТЕКОВ"
"CUST_ITEM_MID_LENGTH_CHAIN_LOOPS_1": "ХИП-ХОП ДЖИНСЫ"
"CUST_SHOES": "ОБУВЬ"
"CUST_TATTOO_ENTIRE_BACK": "ВСЯ СПИНА"
"PLAYER_MORPH_NOSE_SLOPE_TEXT": "НАКЛОН НОСА"
"CUST_SKIN_CAUCASIAN_01": "БЕЛЫЙ 1"
"CUST_MENU_MAKEUP": "КОСМЕТИКА"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_2": "Действует на большую площадь."
"CUST_TATTOO_STOMACH_3": "ЖИВОЙ ПЛОТ"
"CUST_COMP_MUSTACHE_5": "ЗУБНАЯ ЩЕТКА"
"VEHICLE_COLOR_TINT_20": "КРАСКА 20%%"
"CUST_ITEM_CF_CLASSICUP": "ДЕБЮТАНТ"
"CUST_COMPLIMENT_V": "ХЛОПОК В ЛАДОШИ"
"PLAYER_MORPH_OLD_TEXT": "ВОЗРАСТ"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_1": "ИНДИГО 1"
"LOGO_WASHINGTON": "Вашингтон."
"CUST_GANG_ZOMBIE": "ЗОМБИ"
"VEHICLE_COLOR_AMERICANA_RED": "АМЕРИКАНСКИЙ КРАСНЫЙ"
"RIM_SET_016": "НАБОР ОБОДОВ 16"
"CUST_VARIANT_PATTERN_1_DECALS": "СТИЛЬ С КАРТИНКАМИ"
"CUST_FACIAL_EXP_SAINTLY": "ПРАВЕДНЫЙ"
"CUST_ITEM_WEAR_OPTIONS": "СТИЛЬ ОДЕЖДЫ"
"CUST_COMP_FACE_BLOODY_FACE": "ЛИЦО В КРОВЬ"
"LOGO": "ЛОГОТИП"
"CUST_COLOR_RED_3": "КРАСНЫЙ 3"
"CUST_ITEM_CF_IMPO_NECK_F_NECKLACE": "ОЖЕРЕЛЬЕ \"ГОРОДСКОЕ САФАРИ\""
"CUST_EYEWEAR": "ОЧКИ"
"CUST_FACIAL_FEATURES": "ФИШКИ"
"TATTOO_NAME": "RUSTY'S NEEDLE"
"CUST_TATTOO_RARM_2": "НЕСУЩИЙ СМЕРТЬ"
"VEHICLE_PAINT_EXOTIC": "ЭКЗОТИЧНЫЙ"
"RIM_156": "LX-19"
"SLOT_DECAL_8": "КАРТИНКА 8"
"SLOT_MISCELLANEOUS": "РАЗНОЕ"
"CUST_VARIANT_FADE": "ЗАТЕМНЕННЫЙ"
"CUST_ITEM_CM_IMPB_UBDY_M_LOWSHIRT": "КАШЕМИРОВЫЙ СВИТЕР С ВЫРЕЗОМ"
"CUST_ITEM_CF_LLI_EYES_F_SUNGLASSES": "ТЕМНЫЕ ОЧКИ"
"CUST_ITEM_CM_HAIR_WILDMESSY2": "ХАРД-РОК"
"CUST_ITEM_CF_PSE_FOOT_F_STRAPPYSANDLES": "САНДАЛИИ СТИРТИЗЕРШИ"
"CUST_SKIN_ASIAN_04": "АЗИАТ 4"
"CUST_EYELINER": "КАРАНДАШ ДЛЯ ГЛАЗ"
"CUST_MORPH_CAT_EYES": "ГЛАЗА"
"CUST_COLOR_CLOTHING_BLUES_8": "СИНИЙ 8"
"SLOT_DOORS": "ДВЕРИ"
"LOGO_BALANCE_1": "БАЛАНС 1"
"CUST_ITEM_LEATHER_LACE_MALE_A": "КОСТЮМ \"КОЖА И ШНУРОВКА\""
"CUST_ITEM_CM_NLMD_UBDY_M_JACKETCOMBO": "ПАНКОВСКАЯ АНАРХИЧЕСКАЯ КУРТКА"
"PLAYER_MORPH_EYE_HEIGHT_TEXT": "ВЫСОТА ГЛАЗ"
"SLOT_TORQUE": "КРУТЯЩИЙ МОМЕНТ"
"LOGO_SCORPION": "СКОРПИОН"
"CUST_VARIANT_THICK_STRIPES": "ТОЛСТЫЕ ПОЛОСЫ"
"CUST_VARIANT_PLAID_BIG": "В КЛЕТКУ 2"
"CUST_ITEM_CM_JOY_UBDY_THECODE": "ДЖОЙСТИКОВЫЕ ТОРЧКИ - КОНТРОЛЬ КОДА"
"CUST_ITEM_CF_LPC_LBDY_F_FEMHEROLEGS": "ЧУЛКИ ГЕРОИНИ СТИЛПОРТА"
"CUST_SKIN_CAUCASIAN_05": "БЕЛЫЙ 5"
"EXIT": "ВЫХОД"
"BRIGHT_BLUE-GREEN": "ЯРКИЙ СИНИЙ-ЗЕЛЕНЫЙ"
"CUST_VARIANT_LETTERMANSTYLE": "СТИЛЬ 1"
"CUST_VARIANT_CMUNS_UTSHIRT04_U": "СТИЛЬ 2"
"CUST_ITEM_CM_RADIATIONMASK": "РАДИАЦИОННАЯ МАСКА"
"CUST_ITEM_CF_NLME_UBDY_F_HOODIEDOWN": "БАЛАХОН \"ПРОСНИСЬ И ПОЙ\""
"CUST_COLOR_CLOTHING_VIOLET-BLUE_5": "ИНДИГО 5"
"SLOT_CHASSIS": "ШАССИ"
"CUST_VARIANT_MATERIAL__1": "CUST_VARIANT_MATERIAL_#1"
"CUST_WEAR_LOW_LEFT_ZIPPED_RIGHT_UNZIPPED": "ПРАВЫЙ РАССТЕГНУТ, НИЗКО"
"CUST_ITEM_IMPRESSIONS_MALE_E": "САФАРИ-ГИД"
"CUST_ITEM_CM_IMPB_UBDY_M_DRSSHIRTTIE": "КЛЕРК"
"CUST_ITEM_CF_HAIR_PUNKSHAVEDSIDES": "ПАНК-РОК"
"CUST_ITEM_CM_PSC_UBDY_M_HOODIEUP": "ТОЛСТОВКА С МАЙКОЙ И ШНУРКОМ, КАПЮШОН ПОДНЯТ"
"CUST_CAT_BODY_HAIR": "ВОЛОСЫ НА ТЕЛЕ"
"CUST_COMPLIMENT_ZZ": "КИВОК ГОЛОВОЙ"
"PLAYER_MORPH_TIPS_SPACING_TEXT": "РАЗМЕР КОНЧИКА"
"CUST_COLOR_CLOTHING_GREENS_9": "ЗЕЛЕНЫЙ 9"
"CUST_TATTOO_STOMACH_7": "ЛИК СМЕРТИ"
"CUST_COMP_MUSTACHE_1": "ШЕВРОН"
"RIM_202": "RBP R96 CUSTOM PURPLE"
"LOGO_ROUNDHOUSE": "ДЕПО"
"LOGO_REAPER": "СМЕРТЬ С КОСОЙ"
"CUST_COMPLIMENT_R": "ДЖЕССИКА"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_4": "Управлять военной техникой."
"VEHICLE_PAINT_PEARLESCENT_PAINT": "ПЕРЛАМУТРОВЫЙ РИСУНОК"
"HAIR_COLOR_BLONDE_MATTE": "МАТОВЫЙ БЛОНДИН"
"CUST_COLOR_ROSE_3": "РОЗОВЫЙ 3"
"LOGO_NUMBER11": "НОМЕР 11"
"CUST_ITEM_CM_LPG_MASK_M_MASKPIG": "ХРЮША"
"CUST_CAT_PIERCING_NOSE": "НОС"
"PLAYER_MORPH_UPPER_LIP_SHAPE_TEXT": "ФОРМА ВЕРХНЕЙ ГУБЫ"
"CUST_VOICE_FEMALE_LATINO": "ЖЕНЩИНА 3"
"CUST_COMP_EYES_PALE_BLUE": "БЛЕДО-СИНИЙ"
"RIM_SET_012": "НАБОР ОБОДОВ 12"
"CUST_VARIANT_STOCKINGS_1": "ОДНОТОННЫЙ"
"CUST_VARIANT_3COLOR_THICK": "ТРИКОЛОР ТОЛСТЫЙ"
"CUST_WEAR_UNTUCKED": "НАРАСПАШКУ"
"CUST_ITEM_CM_PSI_NECK_M_CHAINS": "ЦВЕТОЧНАЯ ЦЕПОЧКА"
"SLOT_FUZZY_DICE": "СУВЕНИР"
"CUST_WEAR_BOTH_ROLLED_LOW": "ОБА ЗАСТЕГНУТЫ, НИЗКО"
"CUST_ITEM_CF_IMPR_LBDY_F_PANTS": "ШТАНЫ С ХОЛМОВ"
"CUST_ITEM_LEATHER_LACE_FEMALE_I": "ПАНК-РОК-СТРИПТИЗЕРША"
"PLAYER_MORPH_JOWLS_SPACING_TEXT": "РАЗМЕРЫ ЧЕЛЮСТЕЙ"
"CUST_COLOR_CLOTHING_VIOLET_3": "ФИОЛЕТОВЫЙ 3"
"CUST_ITEM_CM_DLC_HAND_M_GPGLOVES": "ПЕРЧАТКИ \"ВРЕМЯ УБИВАТЬ\""
"CUST_CAT_UPPER_BODY": "ВЕРХНЯЯ ЧАСТЬ ТЕЛА"
"CUST_BRO_COMPLIMENT_B": "ПОХВАЛА БРАТСТВА 2"
"PLAYER_CREATION_AGE_YOUNG": "МОЛОДОЙ"
"PLAYER_MORPH_TIPS_ELEVATION_TEXT": "ВЫСОТА КОНЧИКА"
"PLAYER_CREATION_PRESET_HISPANIC": "ЛАТИНОС"
"VEHICLE_COLOR_SLOW_BURN_RED": "ТЛЕЮЩИЕ УГЛИ"
"CUST_VARIANT_PEACE": "ХИППИ"
"CUST_WEAR_ZIPPED_HOOD_DOWN": "ЗАСТЕГНУТЫЙ, С ОПУЩЕННЫМ КАПЮШОНОМ"
"CUST_ITEM_CF_RING_F_SHARKTOOTH": "КОЛЬЦО \"АКУЛИЙ ЗУБ\""
"CUST_ITEM_CM_LLB_SUIT_M_LTHR2": "БДСМ-КОСТЮМ"
"FACIAL_EXPRESSION_DEATH_A": "СМЕРТЬ 1"
"CUST_ITEM_CF_IMPO_FOOT_M_PLTFRMS": "ПЛАТФОРМЫ \"ГОРОДСКОЕ САФАРИ\""
"CUST_ITEM_CF_NLMH_FOOT_F_SHAGBOOTSM": "БОТИНКИ \"ВРЕМЯ ПАТИ\""
"CUST_ITEM_CF_PSB_HAT_F_BASTILLECAP": "ШАПОЧКА ПОЭТА"
"FACIAL_EXPRESSION_BLANK": "ПУСТОЙ"
"PLAYER_MORPH_NOSE_ELEVATION_TEXT": "ПОДЪЕМ НОСА"
"CUST_COMP_MUSTACHE_22": "ПОЛОСА НА ПОДБОРОДКЕ"
"VEHICLE_COLOR_RUST_BROWN": "РЖАВО-КОРИЧНЕВЫЙ"
"SLOT_REAR_MODS": "ЗАДНИЕ ДЕТАЛИ"
"CUST_COLOR_TEAL_1": "БИРЮЗОВЫЙ 1"
"CUST_VARIANT_SQUARES": "В КЛЕТКУ"
"CUST_WEAR_TUCKED_ZIPPED": "ЗАПРАВЛЕННЫЙ, ЗАСТЕГНУТЫЙ"
"CUST_ITEM_CM_PSC_FOOT_M_SNEAKERS": "HI-TOPS"
"PLAYER_MORPH_TEMPLE_WIDTH_TEXT": "ШИРИНА ВИСКОВ"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_2": "Увеличенный боекомплект. Гранаты при попадании прилипают."
"CUST_GANG_GIMP": "УРОД"
"CUST_ITEM_CM_DLC_HAT_M_KNIGHT": "РЫЦАРСКИЙ ШЛЕМ"
"CUST_ITEM_CM_NLME_EYES_M_SUNGLASSES": "СЕТЕВЫЕ СОЛНЕЧНЫЕ ОЧКИ"
"PLAYER_MORPH_MOUTH_EDGES_TEXT": "КРАЯ РТА"
"COLOR_SLOT_TRIM_3": "НАКЛАДКИ 3"
"LOGO_FLOWERS": "ЦВЕТЫ"
"COMPONENT_PAINT_1": "РИСУНОК 1"
"CUST_WEAR_LOW": "НИЗКО"
"CUST_ITEM_CF_LLR_NECK_F_IVORYCHOKER": "ОЖЕРЕЛЬЕ СОБЛАЗНИТЕЛЬНИЦЫ"
"CUST_CAT_HAIR_EYEBROWS": "БРОВИ"
"CUST_EXIT_WARNING_TITLE": "ВНИМАНИЕ"
"PLAYER_CREATION_FIGURE_ATHLETIC": "АТЛЕТИЧНЫЙ"
"LOGO_SIZZURP": "Sizzurp 101.69"
"CUST_ITEM_CM_PSI_HAT_M_SRCAP": "КЕПКА СВЯТЫХ"
"PLAYER_MORPH_NOSE_TIP_TEXT": "КОНЧИК НОСА"
"VEHICLE_COLOR_TEAL_DARK_TINT": "ТЕМНО-БИРЮЗОВАЯ КРАСКА"
"CUST_COLOR_GRAY_1": "СЕРЫЙ 1"
"VCUST_UNDERGLOW_COLOR": "ЦВЕТ СИЯНИЯ"
"CUST_GANG_NUDE": "ГОЛЫЙ"
"CUST_COLOR_CLOTHING_RED-ORANGE_6": "ГРАНАТОВЫЙ 6"
"COLOR_SLOT_TINT": "УЗОР"
"CUST_VARIANT_TRENCH": "ОДНОЦВЕТНЫЙ"
"CUST_ITEM_LEATHER_LACE_MALE_I": "ВОИН ДОРОГИ"
"CUST_ITEM_CM_HAT_CARDINAL_HAT": "КАРДИНАЛЬСКАЯ ШАПКА"
"CUST_MENU_LOGO_COLOR": "ЦВЕТ ЛОГОТИПА"
"CUST_COLOR_CLOTHING_BLUE-GREEN_6": "СИНЕ-ЗЕЛЕНЫЙ 6"
"CUST_COMP_EYES_BLACK": "ЧЕРНЫЙ"
"SLOT_HEADLIGHTS": "ПОДСВЕТКА"
"CUST_VARIANT_MATERIAL_15": "CUST_VARIANT_MATERIAL#15"
"CUST_ITEM_CM_LPC_FOOT_M_HEROBOOTS": "БОТИНКИ ГЕРОЯ СТИЛПОРТА"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_2": "Увеличивается скорострельность, емкость обойм и урон. Целеуказатель повышает точность прицельной стрельбы."
"CUST_VARIANT_JEANS": "ОБЫЧНЫЕ"
"CUST_VARIANT_STRIPE_2": "ГОРИЗОНТАЛЬНЫЕ ПОЛОСЫ"
"CUST_WEAR_LOW_BOTH_ZIPPED": "НИЗКО"
"CUST_ITEM_IMPRESSIONS_MALE_M": "ЮЖНЫЙ ПЛЯЖ"
"CUST_ITEM_CM_HATHAIR_PULLEDPONYTAIL": ""
"NOBODY_LOVE_NAME": "NOBODY LOVES ME"
"CUST_COLOR_CLOTHING_GREENS_1": "ЗЕЛЕНЫЙ 1"
"CUST_COMP_FACE_SCAR_5": "МАЛЕНЬКИЙ ШРАМ 1"
"CUST_COMP_MUSTACHE_9": "ИНСПЕКТОР"
"FEMALE_SLENDER": "СТРОЙНАЯ ЖЕНЩИНА"
"CUST_VARIANT_FLAT_TOP_SHORT_SIDES": "ПЛОСКИЙ ВЕРХ, КОРОТКО С БОКОВ"
"CUST_ITEM_CF_RING_F_LDYBUG_SPIDER": "ЖУЧИНЫЕ СЕРЬГИ"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2D": "\"ГОРОДСКОЕ САФАРИ\" С ВОДОЛАЗКОЙ С ВЫСОКИМ ВОРОТОМ"
"CUST_SKIN_BLUE_1": "ПОДЗЕМНЫЙ ЭЛЬФ"
"CUST_COMPLIMENT_Z": "БОЛЬШИЕ ПАЛЬЦЫ"
"IRIDESCENT_3": "РАДУЖНЫЙ 3"
"DARK_YELLOW": "ТЕМНО-ЖЕЛТЫЙ"
"PLAYER_MORPH_EARS_ROLL_TEXT": "ОКРУГЛОСТЬ УШЕЙ"
"PLAYER_MORPH_LIP_NOTCH_TEXT": "ШЕРОХОВАТОСТЬ ГУБ"
"PLAYER_MORPH_JOWLS_TEXT": "ЧЕЛЮСТИ"
"CUST_COLOR_CLOTHING_RED_3": "КРАСНЫЙ 3"
"RIM_190": "C-X 504 GREEN-BLACK"
"LOGO_CAVE_3": "ПЕЩЕРА ПРИЗРАКОВ 3"
"CUST_WEAR_TUCKED_EXTRA_HIGH_PANT_SUSPENDERS": "ЭКСТРА ПОДНЯТЫЕ ШТАНЫ, ПОДТЯЖКИ"
"CUST_BODY_MASK": "ДЕТАЛИ КОЖИ"
"CUST_COLOR_CLOTHING_YELLOWS_8": "ЖЕЛТЫЙ 8"
"CUST_TATTOO_RUPPARM_8": "УБИЙЦА МОРЕЙ"
"COLOR_SLOT_RIMS_2": "РАМКА 1"
"SLOT_WEAPONS": "ОРУЖИЕ"
"CUST_COLOR_ORANGE_3": "АПЕЛЬСИН 3"
"CUST_WEAR_TATTOO_SAM_DESIGN1": "СТИЛЬ СЭМА 1"
"CUST_WEAR_BUTTONED_HOOD_UP": "ЗАСТЕГНУТ, С НАДЕТЫМ КАПЮШОНОМ"
"CUST_ITEM_ZIMOS_BLING_PACK": "СТИЛЬ ЗЕД"
"CUST_COLOR_STRAWBERRY_BLONDE": "РЫЖЕВАТЫЙ БЛОНДИН"
"LOGO_FRECKLE_1": "ВЕСНУШЧАТАЯ СУКА 1"
"CUST_VARIANT_JERSEY": "СТИЛЬ 1"
"CUST_ITEM_CF_DLC_SPACE_HAND_F_GLOVES": "ПЕРЧАТКИ КОСМИЧЕСКОЙ ПРИНЦЕССЫ"
"CUST_ITEM_CF_IMPR_UBDY_F_JSHRTBTTNS": "ПАРЕНЬ-МОДНИК"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_D": "ПРИТВОРИМСЯ МАЛЬЧИКОМ D"
"CUST_CAT_HAIR_FACIAL": "РАСТИТЕЛЬНОСТЬ НА ЛИЦЕ"
"CUST_SAMEDI_TAUNT_A": "НАСМЕШКА САМЕДИ 1"
"SLOT_HYDRAULICS": "ГИДРАВЛИКА"
"HAIR_COLOR_STRAWBERRY_BLONDE_MATTE": "РЫЖЕВАТЫЙ БЛОНДИН МАТОВЫЙ"
"CUST_ITEM_CF_PSD_UBDY_F_GFXHOODCOMBODOWN": "БОМЖОВСКИЙ СВИТЕР"
"CUST_INSULT_HOOK": "ПРАВЫЙ ХУК"
"CUST_MENU_HAIR": "ВОЛОСЫ"
"CUST_COMP_EYES_GREEN": "ЗЕЛЕНЫЙ"
"CUST_TATTOO_LFORARM_8": "ОБРЕЗАННЫЕ КРЫЛЬЯ"
"COMPONENT_OPTION_E": "ВАРИАНТ Е (НЕ ДОЛЖЕН ИСПОЛЬЗОВАТЬСЯ)"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_I": "ЛЕГЕНДА ХИП-ХОПА"
"CUST_CAT_MAKEUP_AROUND_EYES": "ВОКРУГ ГЛАЗ"
"CUST_SAMEDI_COMPLIMENT_D": "ПОХВАЛА САМЕДИ 4"
"VEHICLE_COLOR_CAST_IRON": "ЛИТОЕ ЖЕЛЕЗО"
"CUST_ITEM_IMPRESSIONS_FEMALE_Q": "БЕДА ИЗ 80-Х"
"CUST_ITEM_FEMALE_LP_BRA_2": "ЯДОВИТАЯ ЗМЕЯ"
"CUST_SKIN_RED_YELLOW_5": "БОЛЕЗНЕННО-ЖЕЛТЫЙ"
"CUST_SKIN_METAL_2": "РТУТНЫЙ"
"CUST_COMP_FACE_MAKEUP_11": "В ЯБЛОЧКО"
"LOGO_HHH": "ШЕРСТЯНЫЕ ШЛЯПЫ"
"CUST_VARIANT_BLURRY": "РАСПЛЫВЧАТЫЙ"
"CUST_WEAR_OPEN": "ОТКРЫТЫЙ"
"CUST_ITEM_CM_DLC_M_GLASSES01": "ОЧКИ В СТИЛЕ ЗЕД"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_H": "БАНДИТКА"
"CUST_CAT_LEFT_HAND": "ЛЕВАЯ РУКА"
"PLAYER_MORPH_EYEBALLS_ELEVATION_TEXT": "ВЫСОТА ГЛАЗ"
"PLAYER_MORPH_CHEEK_WIDTH_TEXT": "ШИРИНА ЩЕК"
"CUST_COLOR_CLOTHING_RED_7": "КРАСНЫЙ 7"
"RIM_194": "AF1 MONOBLOCK CX 502"
"SLOT_WINDOW_GUARD": "ЗАЩИТА ОКОН"
"CUST_VARIANT_MATERIAL_#172": "НОРМАЛЬНЫЙ"
"CUST_COMP_FACE_WART_2": "БОРОДАВКА 2"
"SLOT_MISC_COLOR": "Разн. цвет"
"CUST_VARIANT_FOREST_CAMO": "ЛЕСНОЙ КАМУФЛЯЖ"
"CUST_ITEM_FEMALE_LP_EARRINGS_4": "СЕРЕЖКИ \"ПРИШЕЛЕЦ\""
"CUST_ITEM_CM_PSJ_UBDY_M_BDSHIRTVEST": "ВЯЗАНЫЙ ЖИЛЕТ И РУБАШКА"
"CUST_ITEM_THREE_QUARTER_T_SHIRT": "КРУТЯЩИЕСЯ ФИНТИФЛУШКИ"
"CUST_ITEM_LEFT_UPPER_ARM_GEISHA_02": "ОБМОТКИ БОКСЕРА"
"STORE_WEAPON_OWNED": "КУПЛЕНО"
"CUST_COMP_EYES_YELLOW": "ЖЕЛТЫЙ"
"CUST_VARIANT_CMCOA_UCOPVEST1": "ПОЛИЦИЯ"
"CUST_VARIANT_FLOWERS": "ЦВЕТЫ"
"CUST_WEAR_BACK LEFT": "СЗАДИ СЛЕВА"
"VEHICLE_COLOR_PINK_DARK_TINT": "ТЕМНО-РОЗОВАЯ ТОНИРОВКА"
"COLOR_SLOT_PAINT_1": "РИСУНОК 1"
"COLOR_SLOT_INTERIOR_1": "ИНТЕРЬЕР 1"
"COMPONENT_OPTION_A": "ВАРИАНТ А (НЕ ДОЛЖЕН ИСПОЛЬЗОВАТЬСЯ)"
"CUST_NO_ITEMS": "БЕЗ ЛОГОТИПА"
"LOGO_VOLITION_3": "VOLITION 3"
"CUST_PRIMARY_COLOR": "ПЕРВЫЙ ЦВЕТ"
"PLAYER_MORPH_SKULL_SIZE_TEXT": "РАЗМЕР ЧЕРЕПА"
"PLAYER_MORPH_LOWER_LIP_NOTCH_TEXT": "ШЕРОХОВАТОСТЬ НИЖНЕЙ ГУБЫ"
"OPTION_40": "ВАРИАНТ 40"
"RIM_131": "R131"
"CUST_ITEM_CM_NLMC_UBDY_M_SHIRTCOMBO": "РЭЙВЕРСКАЯ КОНСТРУКЦИЯ"
"CUST_ITEM_CF_PSF_UBDY_F_GFXTRACKTOPUP": "СПОРТИВНАЯ КОФТА, КАПЮШОН"
"CUST_ITEM_WORKER_BOOTS": "ТУФЛИ ПЛОХОЙ ДЕВЧОНКИ"
"CUST_ITEM_PARACHUTE_BACKPACK": "АНИМЕ-КОШКА"
"CUST_TATTOO_HEAD": "ГОЛОВА"
"PLAYER_MORPH_LOWER_LIP_SIDES_SIZE_TEXT": "БОК. РАЗМЕР НИЖН. ГУБЫ"
"CUST_VARIANT_FLOWER": "В ЦВЕТОЧЕК"
"CUST_SKIN_RED_YELLOW_1": "ДЬЯВОЛЬСКИЙ КРАСНЫЙ"
"VEHICLE_COLOR_STEEL": "СТАЛЬ"
"CUST_VARIANT_STRIPES_BIG": "БОЛЬШИЕ ПОЛОСЫ"
"CUST_VARIANT_BAGGAGE": "БАГАЖ"
"CUST_ITEM_CM_PSF_UBDY_M_JERSEY23": "МУЖСКОЙ СВИТЕР \"ВБРАСЫВАНИЕ\""
"VEHICLE_PAINT_SPECIAL_PLASTIC": "ОСОБЫЙ ПЛАСТИК"
"SLOT_FENDER_SKIRT": "КРЫШКА КРЫЛА"
"SLOT_DASH": "ПАНЕЛЬ"
"CUST_VARIANT_CMBOT_WSLACKME01": "ТВЕРДЫЙ"
"CUST_VARIANT_PLAID_SMALL": "В КЛЕТКУ 1"
"CUST_ITEM_CM_PSE_UBDY_M_PUFFYCOAT-UP": "ДУТАЯ КУРТКА"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_SIZE_TEXT": "РАЗМЕР СЕРЕД. НИЖН. ГУБЫ"
"CUST_COLOR_CLOTHING_BLUES_4": "СИНИЙ 4"
"CUST_COLOR_CLOTHING_RED-ORANGE_2": "ГРАНАТОВЫЙ 2"
"VEHICLE_COLOR_TRUMPET_YELLOW": "ЖЕЛТАЯ ТРУБА"
"CUST_VARIANT_TRACK_A": "СТИЛЬ 4"
"CUST_VARIANT_TRIANGLE": "ТРЕУГОЛЬНИК"
"CUST_VARIANT_POLICE_CHIEF": "БЭДЖ ШЕФА"
"CUST_ITEM_CM_NECK_ROPECHAIN": "ЛЕГКАЯ ЦЕПОЧКА"
"CUST_ITEM_CM_LPE_HAND_M_GLOVESCOMB": "ПЕРЧАТКИ СОЛДАТА БУДУЩЕГО"
"VEHICLE_COLOR_TOBIAS_FUR_WHITE": "БЕЛЫЙ МЕХ"
"SLOT_DECAL_4": "КАРТИНКА 4"
"CUST_VARIANT_PIMPCOAT_COAT": "ПРОСТОЙ"
"CUST_ITEM_CM_DLC_HEAD_M_SHARKHAT": "ШЛЯПА \"УКУС АКУЛЫ\""
"FACIAL_EXPRESSION_DISGUSTED": "ПРОТИВНЫЙ"
"VEHICLE_COLOR_TANGERINE_ORANGE": "ТАНЖЕРИН-ОРАНЖЕВЫЙ"
"CUST_VARIANT_FLAME": "ПЛАМЯ"
"CUST_WEAR_BOTH_ROLLED_UP": "ОБА ЗАСТЕГНУТЫ"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2C": "УКОРОЧЕННАЯ ФУТБОЛКА \"ГОРОДСКОЕ САФАРИ\""
"CUST_ITEM_CM_LPG_MASK_M_MASKDOG": "ПО-СОБАЧЬИ"
"CUST_COLOR_CLOTHING_BLUE-GREEN_2": "СИНЕ-ЗЕЛЕНЫЙ 2"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_4": "Граната прилипает при попадании в цель."
"VEHICLE_COLOR_SLATE_GRAY": "АСПИДНО-СЕРЫЙ"
"VEHICLE_COLOR_KHAKI_GREEN": "ХАКИ"
