"DROP_SPHERE": "DONNER SPHÈRE"
"HASH_9B93BC50": "ÉTOILES DE BRONZE DISTRACTION"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "Veux-tu remplacer l'article \"%s\" par l'article \"%s\" pour %s?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Vague défi!"
"CUST_GANG_NAME_GANGSTER": "GANGSTA"
"GIVE_FLASHBANG": "DONNER GRENADE PARALYSANTE"
"PURCHASEABLE_PROPERTEY_METH": "LABO DE MÉTH"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "GAINS MISSIONS/BASTIONS"
"STAT_HOSTAGES_TAKEN": "OTAGES PRIS"
"GANG_CIVILIAN": "CIVILS"
"GIVE_AR55": "DONNER AR 55"
"DROP_TORNADO": "DONNER TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "COOP : PLUS LONGUE SÉRIE EN NOTORIÉTÉ POLICE MAXIMALE"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "CLASSEMENT NOTORIÉTÉ"
"STORE_EXIT_TELEVISiON": "Éteindre la télé?"
"HORDE_MODE_TITLE_HIGHSCORE": "MEILLEUR SCORE"
"STAT_COMBAT_THROWN": "LANCÉ"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "DONNER AS3 ULTIMAX"
"POC2_DROP_HELICOPTER": "LÂCHER HÉLICOPTÈRE"
"VCUST_COLOR_PALETTE_TITLE": "PALETTE DE FINITIONS"
"PURCHASEABLE_PROPERTEY_FLATS": "PARKVIEW FLATS"
"GARAGE_CANNOT_REPAIR": "Tu ne peux pas personnaliser ton véhicule tant qu'il n'est pas réparé\nTu n'as pas assez d'argent pour le réparer."
"STAT_BASE_HIGH": "PLUS HAUT SAUT"
"BasicSP": "JOUER {C10}"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "CHAOS"
"CRIB_GARAGE_PURCHASED_TEXT": "Ce garage t'appartient désormais. \nTu peux stocker et accéder à certains véhicules ici."
"PURCHASEABLE_PROPERTEY_MOTEL": "STIKIT INN"
"STORE_DISCARD_ITEM": "SUPPRIMER ÉLÉMENT"
"BODY_TITLE": "CORPS"
"CONTROL_CANCEL": "ANNULER"
"ESCORT_NAME_18B": "SANCHEZ"
"DEMO_EXIT": "QUITTER DÉMO"
"DROP_KANEDA": "DONNER KANEDA"
"STORE_UPGRADES_TITLE": "AMÉLIORATIONS"
"MENU_SWAP_CLOTHING_STORE": "MAGASIN DE FRINGUES"
"VCUST_TIRE_TREAD_NUMBER": "SILLONS DES PNEUS #{0}"
"TAT_REG_R_FOREARM": "AVANT-BRAS D"
"STORE_PLANET_SAINTS_MSG": "!!acheter des objets"
"HORDE_MODE_MENU_EXIT": "REVENIR AU MENU PRINCIPAL"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "TRAÎNÉES ARDENTES TERMINÉES"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "TRAÎNÉE ARDENTE : NOMBRE D'OBJETS ENFLAMMÉS"
"STAT_LEVELS_COMPLETED": "NIVEAUX TERMINÉS"
"Diversion Silver Stars_NAME": "ÉTOILES D'ARGENT"
"Escort": "ESCORTE"
"GIVE_APOCA": "DONNER A-POING-CALYPSE"
"HIDE_HUD": "PAS D'ATH"
"MASCOT_PEDS_DESC": "Tous les piétons sont des mascottes."
"CUST_ICON_UPPER_BODY": "ZONE SUPÉRIEURE"
"STORE_NO_ITEMS_IN_CATEGORY": "IL N'EXISTE PAS D'OBJET DISPONIBLE DANS CETTE CATÉGORIE"
"UNLOCKABLE_TITLE_TEXT": "ACCESSIBLE"
"STAT_HITMAN_COMPLETED": "CIBLES ÉLIMINÉES"
"ESCORT_NAME_9B": "DRAGON"
"DrugTrafficking": "TRAFIC DE DROGUE"
"InsFraud": "FRAUDE À L'ASSURANCE"
"QUIT_GAME_TEXT_SHORT": "Veux-tu vraiment quitter?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "Veux-tu acheter l'article \"%s\" pour %s?"
"STORE_OWNED": "POSSÉDÉ"
"GARAGE_HANGAR": "HANGAR"
"STAT_STORES_OWNED": "MAGASINS POSSÉDÉS"
"STAT_MAX_STUNT_JUMP_ROLL": "VRILLE HORIZONTALE SAUT MAXI"
"HASH_E66AA7D9": "TAG DE LA MORT : GAINS"
"CONTROL_CHANGE_LB": "CHANGER CLASSEMENT"
"CUST_GANG_NAME_PREPHOP": "HIP-HOP BOURGE"
"SWITCH_TO_STORE": "BASCULER VERS MAGASIN"
"BUILDING_PURCHASE_CONTROL_INCREASE": "CONTRÔLE ACCRU DE {0}%%%"
"BUILDING_PURCHASE_CRIB": "Acheter cette habitation pour {1} $?"
"WPN_STORE_AMMO_TITLE": "MUNITIONS"
"TATTOO_REMOVE_SAVE": "Veux-tu enlever le tatouage sur la partie %s et sauvegarder?"
"CONTROL_SELECT_COLOR": "SÉLECTIONNER COULEUR"
"SURGEON_INSUFFICIENT_FUNDS": "Tu n'as pas assez d'argent pour aller chez le chirurgien plastique."
"STAT_VEHICLE_AIRCRAFT": "VÉHICULE AÉRIEN"
"STAT_WEAPON_RPG": "LANCE-ROQUETTES"
"STAT_COOP_DEATHS": "COOP : MORTS PROVOQUÉES"
"STAT_SNATCH_PIMPS_KILLED": "MAC À DAMES : NOMBRE DE MACS TUÉS"
"STAT_DRIVING_NEARMISS_CHAIN": "PLUS LONGUE SÉRIE D'ESQUIVES"
"ESCORT_NAME_14B": "JOHNSON"
"ESCORT_NAME_7B": "NECKLACE"
"CONTROL_START_GAME": "COMMENCER PARTIE"
"MAP_ICON_UNDEFINED": "NON DÉFINI"
"CUST_GANG_NAME_STRIPPER": "STRIP-TEASEUSES"
"GIANT_PLAYER_DESC": "Tu as mangé beaucoup de soupe, ça fait grandir!"
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "Veux-tu acheter et sauvegarder 1 \"%s\" pour %s?"
"HASH_336F665B": "TAG DE LA MORT : DÉFAITES"
"PIMPS_AND_HOS_PEDS_DESC": "Tous les piétons sont des macs ou des putes."
"MAINMENU_NEW_GAME_DIFF_HDR": "DIFFICULTÉ"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "Tu n'es pas connecté à un profil du joueur.\nTu ne pourras donc pas sauvegarder ta progression ou obtenir des succès.\nContinuer?"
"GANG_CUST_TITLE": "PERSONNALISATION GANG"
"GARAGE_REPAIR_NAME": "GARAGE AUTOMOBILE"
"TUT_CRIB_GARAGE": "APPUIE SUR {ACTION_IMG} POUR STOCKER CE VÉHICULE DANS TON GARAGE"
"STAT_AIRCRAFT_DESTROYED": "NOMBRE DE VÉHICULES AÉRIENS DÉTRUITS"
"STAT_SMG_HIT_PCT": "PRÉCISION PISTOLET-MITRAILLEUR"
"ESCORT_NAME_16B": "SWIRL"
"ESCORT_NAME_5B": "SHOWER"
"Time at Highest Police Notoriety_NAME": "TEMPS PASSÉ EN NOTORIÉTÉ POLICE MAX."
"GARAGE_REPAIR_RETRIEVE": "RÉPARER ET RÉCUPÉRER VÉHICULE: {0} $"
"HUD_SHOP_INSUFFICIENT_FUNDS": "TU N'AS PAS ASSEZ D'ARGENT"
"VCUST_EXTRA_LOW_PROFILE": "SUPER BAS"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "RESPECT GAGNÉ AVEC DES HOMME QUI TOMBE À PIC"
"HASH_CE3F7EDD": "DÉPENSES AMÉLIORATIONS HABITATIONS"
"GIVE_SLM8": "DONNER FUSIL LASER VIPER"
"LIGHT_RAIN": "PLUIE LÉGÈRE"
"VCUST_LOW_PROFILE": "BAS"
"CUST_ITEM_STYLE": "STYLE"
"STAT_DRIVING_WRONGWAY_RESPECT": "RESPECT GAGNÉ AVEC DES CONTRE SENS"
"ESCORT_NAME_10B": "KNUCKLER"
"ESCORT_NAME_3B": "PUNCH"
"CONFIRM_WEAR_OUTFIT": "Veux-tu vraiment porter cette tenue?"
"HASH_A885535E": "HYDRAULIQUE"
"CONTROL_EXIT_PURCHASE_CLOTHING": "QUITTER L'ACHAT DE FRINGUES"
"DROP_SPECTER": "RECEVOIR SPECTER"
"TINY_PLAYER": "MINI-MINI"
"SAVELOAD_AUTOSAVE_LABEL": "SAUVEGARDE AUTO"
"HASH_CC5A26DE": "À poil?"
"HORDE_MODE_MENU_RETRY": "RÉESSAYER"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "TEMPS DE SURVIE"
"HORDE_MODE_WEAPON_UPGRADE": "TON ARME %ls A ATTEINT LE NIVEAU %i SUR %i"
"STAT_STREAKING_PEOPLE": "PERSONNES TOUCHÉES"
"STAT_CRIBS_ACQUIRED": "HABITATIONS ACQUISES"
"WPN_STORE_SPECIAL_TITLE": "SPÉCIAL"
"VEHICLE_CUSTOMIZATION_TITLE": "PERSONNALISATION VÉHICULE"
"TAT_REG_L_SHOULDER": "ÉPAULE G"
"ESCORT_NAME_12B": "FRANKLIN"
"ESCORT_NAME_1B": "SANCHEZ"
"HASH_FB3AF7E0": "TAG DE LA MORT : PLUS DE MORTS DANS UN ROUND"
"MAP_ICON_WEAPON": "ARMURERIE"
"GENERIC_LEAVE_BLANK_FULL": "Veux-tu vraiment quitter %s?"
"HUD_TRIGGER_CASH_STASH": "PRENDRE %ls DANS TON MAGOT"
"HUD_FOUND_CASH": "Tu as reçu %ls de ton magot!"
"VCUST_RIM_STYLE_OPTION": "STYLE DE JANTES"
"HASH_7A3484E1": "ÉTOILES D'ARGENT DISTRACTION"
"HASH_F85DA761": "ÉTOILES D'OR DISTRACTION"
"CONTROL_CHANGE_BOARD": "CHANGER TABLEAU"
"GANG_CUST_GANG_TITLE": "GANG"
"TAT_REG_L_LEG": "JAMBE G"
"CUST_BROWSER_BROWSE": "VISUALISEUR"
"STORE_CRIB_WEAPONS_MSG": "ACCÉDER À LA PLANQUE D'ARMES"
"STAT_DRIVING_TWOWHEELS_TIME": "PLUS LONGUE DURÉE SUR DEUX ROUES"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "DISTANCE CHAIR À CANON MAXI"
"ESCORT_NAME_16A": "TICKLING"
"ESCORT_NAME_5A": "GOLDEN"
"DELETE_OUTFIT": "SUPPRIMER TENUE"
"GIVE_ROCKET": "DONNER SHOCK HAMMER"
"GIVE_AIRSTRIKE": "DONNER FRAPPE AÉRIENNE SA-3"
"OVL_SHOP_PURCHASED_TEXT": "Tu peux maintenant profiter des revenus de ce commerce. Tu recevras une prime de [format][color:highlight]{0} $/heure[/format] dans ton habitation, ainsi que des ristournes sur tous les objets."
"VCUST_NORMAL_PROFILE": "NORMAL"
"VCUST_HIGH_PROFILE": "ÉLEVÉ"
"STAT_TEAM_LUCHADORES": "LUCHADORES"
"STAT_ESCORT_LEVELS_COMPLETED": "ESCORTES TERMINÉES"
"STAT_COMBAT_HEADSHOT_RESPECT": "RESPECT GAGNÉ AVEC DES PLEINE TÊTE"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "DONNER TOAD"
"GIVE_CASH_DESC": "Te donne du fric instantanément."
"PED_WAR_DESC": "Haine, colère, souffrance... Tout le monde se déteste."
"STAT_MAYHEM_BEST_COMBO": "CHAOS : MEILLEUR COMBO"
"ESCORT_NAME_14A": "STEAMING"
"ESCORT_NAME_7A": "PEARL"
"DRUNK_PEDS": "PIÉTONS SAOULS"
"STAT_COOP_GANG_NOTORIETY_TIME": "COOP : TEMPS PASSÉ EN NOTORIÉTÉ GANG MAXIMALE"
"HumanTorch": "TRAÎNÉE ARDENTE"
"ELEVATOR_TO_HEAVEN_DESC": "Tous les morts vont au Paradis."
"GIVE_FLAMETHROWER": "DONNER LANCE-FLAMMES"
"GIVE_CHAINSAW": "DONNER TRONÇONNEUSE"
"SURGEON_MP_EXPORT_FULL": "L'exportation multijoueur remplacera tout personnage\nmultijoueur précédemment sauvegardé!"
"STORE_STRENGTH": "FORCE {0}%%%%"
"STAT_DECKERS_KILLED": "DECKERS TUÉS"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "Tu dois être connecté sur un profil du joueur pour voir les succès. "
"ESCORT_NAME_12A": "MOIST"
"ESCORT_NAME_1A": "DIRTY"
"Total Civilian Kills_NAME": "TOTAL MEURTRES DE CIVILS"
"CONTROL_SELECT_EQUIPPED": "EQUIPER LA SELECTION"
"DROP_QUASAR": "RECEVOIR QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "Le périphérique de stockage actuel a été retiré. \nPour sauvegarder ou charger, choisis-en un autre."
"STORE_LEVEL": "NIVEAU"
"GARAGE_DOCK": "QUAI"
"STAT_BIG_AIR_LONGEST_JUMP": "BIG AIR : PLUS LONG SAUT"
"STAT_STAG_KILLED": "STAG TUÉS"
"Partners in Crime_DESC": "TERMINÉ: TOUTES LES MISSIONS DE CAMPAGNE EN COOP"
"SinglePlayer": "SOLO"
"CONTROL_SELECT": "SÉLECTIONNER"
"MAP_ICON_INSURANCE_FRAUD": "FRAUDE À L'ASSURANCE"
"GIVE_KRUKOV": "DONNER K-8 KRUKOV"
"SAVELOAD_SIGN_IN_NOW": "Tu dois être connecté à un profil du joueur pour accéder à cette fonctionnalité.\nVeux-tu te connecter?"
"STAT_TEAM_DECKERS": "DECKERS"
"STAT_MISSION_SUCCESS_RATE": "TAUX DE RÉUSSITE DES MISSIONS"
"STAT_MAYHEM_DAMAGE_DONE": "CHAOS : DÉGÂTS PROVOQUÉS"
"STAT_DRIVING_WHEELIE_RESPECT": "RESPECT GAGNÉ AVEC DES ROUES ARRIÈRE"
"ESCORT_NAME_10A": "ANGRY"
"ESCORT_NAME_3A": "DONKEY"
"HASH_646BCE68": "MÉTA-PARTIE COOP : BONUS D'ARGENT REMPORTÉ"
"CELL_SUICIDE": "HOTLINE SUICIDE"
"CUST_GANG_NAME_SPORTY": "SPORTIF"
"ADD_COP_NOTORIETY": "AJOUT. NOTORIÉTÉ POLICE"
"GARAGE_INSUFFICIENT_FUNDS": "TU N'AS PAS ASSEZ D'ARGENT POUR RÉPARER CETTE VOITURE"
"STAT_JUMPS_FOUND": "SAUTS TROUVÉS"
"CUST_REMOVE_ITEM_TITLE": "RETIRER OBJET"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "DURÉE NOTORIÉTÉ LUCHADORES MAXIMALE"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "DURÉE NOTORIÉTÉ GANG MAXIMALE"
"STAT_FRAUD_LEVELS_COMPLETED": "FRAUDES À L'ASSURANCE TERMINÉES"
"STAT_DRIVING_WRONGWAY_TIME": "PLUS LONG CONTRE SENS"
"STAT_HOMIEZ_ACQUIRED": "POTES ACQUIS"
"HASH_719A436A": "RESPECT GAGNÉ AVEC DES HYDRAULIQUES"
"HORDE_MODE_TITLE_SCORE": "SCORE"
"STAT_DRIVING_BACKSEAT_DISTANCE": "PLUS LONG PASSAGER"
"STAT_DRIVING_WHEEILE_TIME": "PLUS LONGUE ROUE ARRIÈRE"
"STAT_COMBAT_ONE_HIT": "MEURTRES COUP UNIQUE"
"TAXIMAP_FARE": "PRIX TAXI:"
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Si tu réessayes une mission, tu perdras les armes et le respect que tu as gagnés lors de cette mission."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "ORGAN BLACKMARKET"
"MAP_ICON_TSS_STRONGHOLD": "BASTION SAINTS DE 3RD STREET"
"CELL_PIMP_VAN": "VAN DE MAQUEREAU"
"BE_ALL_YOU_WANT_TO_BE": "CHANGER MODÈLE PJ"
"MUSIC_FUNK": "FUNK"
"CUST_ICON_TATTOO_LEGS": "TATOUAGES JAMBES"
"MUSIC_REGGAE": "REGGAE"
"TAXI_LEAVE_FULL": "Veux-tu vraiment quitter le taxi?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Veux-tu vraiment quitter Friendly Fire?"
"VCUST_REAR_AXLE_OPTION": "ESSIEU ARRIÈRE"
"STORE_TITLE_WITHDRAW": "RETRAIT"
"HORDE_MODE_TITLE_FAIL": "VAGUE {0} PASSÉE"
"HORDE_MODE_KILL_COUNT": "NOMBRE DE VICTIMES"
"STAT_DRIVING_NEARMISS": "ESQUIVES"
"STAT_DRIVING_BURNOUT": "BURNOUTS"
"Human Thrown Distance_NAME": "PLUS LONG LANCER"
"CONTROL_CHANGE_MODE": "CHANGER MODE"
"CONTROL_VIEW_GAMER_CARD": "VOIR LA CARTE DU JOUEUR"
"CONTROL_BACK": "RETOUR"
"CELL_POLICE": "FLICS"
"GIVE_SONIC": "DONNER PISTOLET SUPERSONIQUE"
"SUPER_SAINTS_DESC": "Les Saints sont des racailles."
"CUST_ICON_WRISTS": "POIGNETS"
"MUSIC_METAL": "MÉTAL"
"MENU_EXPORT_SIGN_IN_FULL": "Tu dois être inscrit à Xbox LIVE pour\nfaire une exportation multijoueur."
"STORE_LEVEL_REQ": "NIVEAU REQUIS {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "Tu possèdes déjà cette arme."
"ESCORT_NAME_9A": "SLIPPERY"
"CONTROL_CHANGE_VIEWED_PLAYER": "CHANGER LE JOUEUR AFFICHÉ"
"MUSIC_HIPHOP": "HIP-HOP"
"DEALER_NO_SPACE": "TU N'AS PAS ASSEZ DE PLACE DANS TON GARAGE POUR %s"
"Total Gang Kills_NAME": "TOTAL MEURTRES DE GANGS"
"HASH_937C34EF": "RANG DE STYLE"
"VCUST_HUBCAPS_TITLE": "ENJOLIVEURS"
"PURCHASEABLE_PROPERTEY_STEEL": "OLDE STEEL FACTORY"
"TAT_REG_FRONT": "BUSTE"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "TOTAL CIVILS VANNÉS"
"STAT_MILES_BY_BIKE": "MILES PARCOURUS EN MOTO"
"STAT_ACTIVITY_CASH_EARNED": "GAINS ACTIVITÉS"
"ESCORT_NAME_18A": "DIRTY"
"CONTROL_BEGIN_GAME": "COMMENCER LA PARTIE"
"ADD_COP_NOTORIETY_DESC": "Fait monter la Notoriété police d'un cran."
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "Veux-tu vraiment retourner\nau menu principal?"
"OUTFIT_NAME_ENTRY_DIALOG": "SAISIR NOM DE LA TENUE"
"WPN_CACHE_EXIT_PROMPT": "Quitter la planque d'armes \n\nConfirmer?"
"STORE_FREE": "GRATUIT"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "Veux-tu prendre des munitions pour l'arme : \"%s\"?"
"STAT_DRIVING_BACKSEAT": "PASSAGER"
"STAT_DRIVING_TWOWHEELS_RESPECT": "RESPECT GAGNÉ SUR DEUX ROUES"
"STAT_MAX_STUNT_FALL_DIST": "PLUS LONGUE CHUTE"
"STAT_ARRESTS": "ARRESTATIONS"
"ESCORT_NAME_33B": "BUTTERFLY"
"RADIO_STATION_OFF": "DÉSACTIVÉ"
"CONTROL_EXIT_PURCHASE_TATTOOS": "QUITTER L'ACHAT DE TATOUAGE"
"MAP_ICON_PIMPING": "MAC À DAMES"
"STAT_DEATHS": "MORTS"
"Time at Highest Gang Notoriety_NAME": "TEMPS PASSÉ EN NOTORIÉTÉ GANG MAX."
"MAP_ICON_ESCORT": "ESCORTE"
"RESTORE_WEATHER": "RÉTABLIR LA MÉTÉO NORMALE"
"GANG_CUST_GANG_SIGN_TITLE": "SIGNE DU GANG"
"IMPRESSIONS_NAME": "IMPRESSIONS"
"STORE_INVENTORY_EMPTY_TITLE": "INVENTAIRE VIDE"
"GARAGE_DELETE_CONFIRM": "Est-ce que tu veux te débarrasser de ce véhicule?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "SURVIE"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "CHAT & SOURIS : PLUS DE MEURTRES DANS UN ROUND"
"STAT_RPG_SHOTS_FIRED": "TIRS DE LANCE-ROQUETTES"
"STAT_STREAKING_CASH": "RESPECT GAGNÉ AVEC STREAKING"
"STAT_TAUNT_RESPECT": "RESPECT GAGNÉ AVEC VANNES"
"ESCORT_NAME_31B": "LIZARD"
"CONTROL_CHANGE_LB_FILTER": "CHANGE FILTRE"
"CONTROL_QUITGAME": "QUITTER"
"TIME_SET_NOON_DESC": "Régler l'heure sur midi."
"DROP_CAR_DESC": "Mettre ce véhicule dans ton garage."
"DROP_BOOTLEGGER": "RECEVOIR BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "Veux-tu vraiment quitter? \n(Toute progression non sauvegardée sera perdue.)"
"GARAGE_REPAIR": "RÉPARER"
"STAT_COMBAT_ONE_HIT_RESPECT": "RESPECT GAGNÉ AVEC DES MEURTRES COUP UNIQUE"
"STAT_CHOPSHOP_VEHICLES": "VÉHICULES COLLECTÉS"
"Matchmaking": "EN MATCHMAKING"
"DROP_TITAN": "RECEVOIR TITAN"
"SUPER_EXPLOSIONS_DESC": "Les explosions sont 4x plus grosses."
"BE_ALL_YOU_WANT_TO_BE_DESC": "Choisis l'apparence de ton personnage dans une liste."
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "Veux-tu remplacer l'article \"%s\" par l'article \"%s\" pour %s?"
"SWITCH_TO_WARDROBE": "BASCULER VERS GARDE-ROBE"
"HUD_CRIB_CHANGE_RADIO_STATION": "CHANGER DE STATION DE RADIO"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "TRAFIC DE DROGUE : NOMBRE DE CLIENTS SATISFAITS"
"STAT_COMBAT_MULTI_RESPECT": "RESPECT GAGNÉ PAR MULTI-MEURTRES"
"ESCORT_NAME_37B": "SHOWER"
"Diversion Bronze Stars_NAME": "ÉTOILES DE BRONZE"
"HASH_A166F6F5": "RESPECT GAGNÉ COMME MAC"
"GARAGE_REPAIR_VEHICLE": "RÉPARER POUR {0} $"
"VCUST_RIM_NUMBER": "JANTES #{0}"
"GOTH_NAME": "NOBODY LOVES ME"
"HORDE_MODE_WAITING_FOR_HOST": "En attente de l'hôte."
"ESCORT_NAME_38_A": "SENS DES AIGUILLES"
"PURCHASEABLE_PROPERTEY_BODEGA": "PICKPOCKET PAWN SHOP"
"STAT_PISTOL_HIT_PCT": "PRÉCISION PISTOLET"
"STAT_SNATCH_HOS_CLAIMED": "MAC À DAMES : NOMBRE DE PUTES REVENDIQUÉES"
"ESCORT_NAME_35B": "RATTLESNAKE"
"WEAR_OUTFIT_TITLE": "PORTER TENUE"
"WARDROBE_REMOVE_OUTFIT_TITLE": "RETIRER TENUE"
"INFINITE_SPRINT": "SPRINT INFINI"
"NO_COP_NOTORIETY": "PAS DE NOTORIÉTÉ POLICE"
"STORE_EXIT_WARNING_HEADER": "AVERTISSEMENT"
"CRIB_SAINTSHQ": "QG DES SAINTS"
"PURCHASEABLE_PROPERTEY_WARF": "HENRY STEEL WHARF"
"STAT_STREAKING_TOTAL_TIME": "TEMPS TOTAL DE STREAKING"
"STAT_FAVORITE_TRANSPORTATION": "MOYEN DE TRANSPORT PRÉFÉRÉ"
"ESCORT_NAME_29A": "ROYAL"
"DROP_NFORCER": "RECEVOIR NFORCER"
"DROP_CONDOR": "RECEVOIR CONDOR"
"GIVE_DRONE": "DONNER DRONE LÉTAL"
"PURCHASEABLE_PROPERTEY_BROTHEL": "HARANO'S HOOKUP HOUSE"
"PURCHASE_TATTOOS_NAME": "ACHETER TATOUAGES"
"VEHICLE_COLOR_BASIC": "AVANCÉE"
"MENU_TITLE_INSUFFICIENT_FUNDS": "FONDS INSUFFISANTS"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "Tu n'as pas assez d'argent pour acheter cet objet."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "TOTAL MEMBRES DE GANGS VANNÉS"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "TOTAL COMPLIMENTS FAITS"
"ESCORT_NAME_39_B": "MALAXAGE"
"HEAVY_RAIN": "PLUIE FORTE"
"EVIL_CARS": "VOITURES D'ENFER"
"STORE_RESPECT": "RESPECT +{0}"
"STORE_SELECT_BUILD": "CHOIX DE LA CARRURE"
"RUSTY_NEEDLE_NAME": "RUSTY'S NEEDLE"
"STAT_LUCHADORES_KILLED": "LUCHADORES TUÉS"
"STAT_DRIVING_BAILOUT": "L'HOMME QUI TOMBE À PIC"
"STATS_NONE": "VIDE"
"ESCORT_NAME_27A": "CRAZY"
"DEMO_FREEPLAY": "DÉMO LIBRE"
"CONTROL_SCROLL_LIST": "LISTE DE DÉFILEMENT"
"Gang_Saints": "SAINTS DE 3RD STREET"
"DROP_ANCHOR": "RECEVOIR ANCHOR"
"TIME_SET_MIDNIGHT_DESC": "Régler l'heure sur minuit."
"GIVE_WEAPON_DESC": "Ajouter cette arme à ton inventaire."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "Veux-tu prendre l'objet suivant chez toi : %s?"
"TATTOO_INSUFFICIENT_FULL": "Tu n'as pas assez d'argent pour acheter 1 \"%s\" sur la partie %s."
"CUST_BROWSER_TITLE": "DÉFILEUR PERSONNALISATION"
"HORDE_MODE_QUIT_TEXT": "Veux-tu vraiment quitter?\n(Cela mettra fin au mode Horde pour les deux joueurs.)"
"STAT_MAX_WRONG_WAY_DISTANCE": "DISTANCE CONTRESENS MAXI"
"STAT_PEOPLE_RUN_OVER": "PERSONNES RENVERSÉES"
"STAT_AERIAL_STUNTS_FOUND": "CASCADES AÉRIENNES TROUVÉES"
"PLAYER_CREATION_ABOUT_TO_REVERT": "Veux-tu vraiment annuler ces changements?"
"DROP_VULTURE": "RECEVOIR VULTURE"
"STORE_SKINNY": "MAIGRE {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "RÉCUPÉRER"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "Es-tu certain de vouloir quitter le bastion?"
"GANG_CUST_GANG_SIGN_OPT": "SIGNE"
"STORE_NOT_AVAILABLE": "INDISPONIBLE"
"VEHICLE_FREE": "GRATUIT"
"STAT_COOP_MISSIONS_COMPLETED": "COOP : MISSIONS TERMINÉES"
"STAT_COMBAT_NUTSHOT_RESPECT": "RESPECT GAGNÉ AVEC DES BIJOUX DE FAMILLE"
"ESCORT_NAME_25A": "AVENGING"
"CUST_GANG_NAME_NINJA": "NINJAS"
"GIVE_KOBRA": "DONNER KOBRA KA-1"
"DROP_PHOENIX": "DONNER PHOENIX"
"EVIL_CARS_2": "VOITURES D'ENFER 2"
"COSTUME_NAME": "LET'S PRETEND"
"HAIR_CAT_NONE": "AUCUN(E)"
"STAT_PHOTO_OP_FOUND": "SÉANCES PHOTO TROUVÉES"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "COMMERCES CAMBRIOLÉS"
"Max Notoriety Col1_NAME": "CLASSEMENT NOTORIÉTÉ"
"SPActivity": "JOUER {C10} ACTIVITÉ: {C3}"
"HASH_CC9E7A7D": "TAG DE LA MORT : TEMPS PASSÉ"
"PLAYER_CREATION_NEW_PRESET_FULL": "Si tu choisis un nouveau préréglage, cela changera toutes les modifications que tu as déjà faites!"
"HUD_SHOP_NO_WEAPONS": "Tu n'as aucune arme."
"VCUST_TIRES_TITLE": "PNEUS"
"PURCHASEABLE_PROPERTEY_CHOP": "DAVILA'S AUTOMOTIVE"
"STAT_VEHICLE_WATERCRAFT": "VÉHICULE AQUATIQUE"
"STAT_HUMAN_TORCH_BONUS_EARNED": "TRAÎNÉE ARDENTE : TEMPS BONUS GAGNÉ"
