"DROP_SPHERE": "SPHÄRE ENTFERNEN"
"VEHICLE_TYPE_TITLE": "FAHRZEUGTYP"
"STAT_CAT_MOUSE_MOST_ROUND_DEATHS": "KATZ & MAUS: MEISTE TODE IN EINER RUNDE"
"STAT_CAT_MOUSE_WINS": "KATZ & MAUS: SIEGE"
"ESCORT_NAME_35A": "SITTING"
"GARAGE_REMOVE_PROMPT": "Bist du sicher, dass du dieses Fahrzeug löschen möchtest?"
"STAT_WEAPON_SPECIAL": "SPEZIAL"
"STAT_DRIVING_BURNOUT_RESPECT": "DURCH BURNOUTS VERDIENTER RESPEKT"
"ESCORT_NAME_29B": "PRINCESS"
"CUST_ICON_TATTOO_ARMS": "ARMTÄTOWIERUNGEN"
"CUST_ICON_TATTOO_TORSO": "KÖRPERTÄTOWIERUNGEN"
"CUST_ICON_HEAD": "KOPF"
"STORE_NAME_GAS_STATION": "TANKSTELLE"
"PURCHASEABLE_PROPERTEY_HOSTEL": "ODYSSEY HOSTEL"
"CUST_ITEM_DELETE_OUTFIT": "EIN VORHANDENES OUTFIT LÖSCHEN"
"HORDE_MODE_MENU_NEW_GAME": "NEUES SPIEL"
"STAT_DRIVING_STOPPIE": "STOPPIES"
"ESCORT_NAME_37A": "INVERTED"
"PAUSE_MAP_WAYPOINT_SET": "WEGPUNKT FESTLEGEN"
"MAP_IMG_WEAPON": "[format][scale:1.0][image:map_store_gun][/format]"
"GOD_MODE": "GOTT-MODUS"
"MUSIC_ROCK": "ROCK"
"GANG_CUST_SLOT": "PLATZ {0} - {1:TEXT_TAG_CRC}"
"STAT_WEAPON_SHOTGUN": "SCHROTFLINTE"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "INSGESAMT VERSPOTTETE POLIZISTEN"
"STAT_ESCORT_CLIENTS_SERVICED": "ESKORTE: ANZAHL BEDIENTER KUNDEN"
"STAT_SURFING_TIME": "LÄNGSTE FAHRZEUG-SURF-ZEIT"
"STAT_HITMAN_TARGETS": "ELIMINIERTE ZIELE"
"ESCORT_NAME_38_B": "SCHRAUBENSCHLÜSSEL"
"HASH_D5C46250": "TODESSTOSS: KILLS"
"HASH_9B93BC50": "VERDIENTE MINISPIEL-BRONZESTERNE"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "Möchtest du \"%s\" mit \"%s\" für %s tauschen?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "Herausforderungswelle!"
"CUST_GANG_NAME_GANGSTER": "GANGSTER"
"GIVE_FLASHBANG": "BLENDGRANATE GEBEN"
"PURCHASEABLE_PROPERTEY_METH": "METHADONLABOR"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "VERDIENST DURCH AUFTRÄGE/FESTUNGEN"
"STAT_HOSTAGES_TAKEN": "GENOMMENE GEISELN"
"GANG_CIVILIAN": "ZIVILISTEN"
"GIVE_AR55": "AR 55 GEBEN"
"DROP_TORNADO": "TORNADO ENTFERNEN"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "KOOP: LÄNGSTE STRÄHNE MIT HÖCHSTER POLIZEIBEKANNTHEIT"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "BEKANNTHEITSBESTENLISTE"
"STORE_EXIT_TELEVISiON": "Fernsehen beenden?"
"HORDE_MODE_TITLE_HIGHSCORE": "HÖCHSTPUNKTZAHL"
"STAT_COMBAT_THROWN": "WERFEN"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "AS3 ULTIMAX GEBEN"
"POC2_DROP_HELICOPTER": "HUBSCHRAUBER ABSTELLEN"
"VCUST_COLOR_PALETTE_TITLE": "FARBPALETTE (2/3)"
"PURCHASEABLE_PROPERTEY_FLATS": "PARKVIEW FLATS"
"GARAGE_CANNOT_REPAIR": "Du kannst dein Auto nicht verändern, so lange es nicht vollständig repariert ist.\nDu hast nicht genug Geld, um dein Auto reparieren zu lassen."
"STAT_BASE_HIGH": "HÖCHSTER SPRUNG"
"BasicSP": "SPIELT {C10}"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "VANDALISMUS"
"CRIB_GARAGE_PURCHASED_TEXT": "Diese Garage gehört nun dir.\nDu kannst nun Fahrzeuge dort abstellen und abholen."
"PURCHASEABLE_PROPERTEY_MOTEL": "STIKIT INN"
"STORE_DISCARD_ITEM": "GEGENSTAND ENTFERNEN"
"BODY_TITLE": "KÖRPER"
"CONTROL_CANCEL": "ABBRUCH"
"ESCORT_NAME_18B": "SANCHEZ"
"DEMO_EXIT": "DEMO VERLASSEN"
"DROP_KANEDA": "KANEDA ENTFERNEN"
"STORE_UPGRADES_TITLE": "VERBESSERUNGEN"
"MENU_SWAP_CLOTHING_STORE": "MODEGESCHÄFT"
"VCUST_TIRE_TREAD_NUMBER": "REIFENPROFIL #{0}"
"TAT_REG_R_FOREARM": "R. UNTERARM"
"STORE_PLANET_SAINTS_MSG": "!!purchase items"
"HORDE_MODE_MENU_EXIT": "ZURÜCK ZUM HAUPTMENÜ"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "BEENDETE AMOKFAHRTEN"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "AMOKFAHRT: ANZAHL VERBRANNTER OBJEKTE"
"STAT_LEVELS_COMPLETED": "VOLLENDETE LEVEL"
"Diversion Silver Stars_NAME": "SILBERSTERNE"
"Escort": "ESKORTE"
"GIVE_APOCA": "APOKAFÄUSTE GEBEN"
"HIDE_HUD": "KEINE BILDSCHIRMANZEIGE"
"MASCOT_PEDS_DESC": "Alle Fußgänger sind Maskottchen"
"CUST_ICON_UPPER_BODY": "OBERKÖRPER"
"STORE_NO_ITEMS_IN_CATEGORY": "IN DIESER KATEGORIE SIND KEINE POSTEN VORHANDEN"
"UNLOCKABLE_TITLE_TEXT": "FREIGESCHALTET"
"STAT_HITMAN_COMPLETED": "VOLLENDETE TREFFER"
"ESCORT_NAME_9B": "DRAGON"
"DrugTrafficking": "ILLEGALER HANDEL"
"InsFraud": "VERSICHERUNGSBETRUG"
"QUIT_GAME_TEXT_SHORT": "Möchtest du das Spiel wirklich beenden?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "Möchtest du \"%s\" für %s kaufen?"
"STORE_OWNED": "IN BESITZ"
"GARAGE_HANGAR": "HANGAR"
"STAT_STORES_OWNED": "LÄDEN IM BESITZ"
"STAT_MAX_STUNT_JUMP_ROLL": "MAX. SPRUNGROLLE"
"HASH_E66AA7D9": "TODESSTOSS: VERDIENTES GELD"
"CONTROL_CHANGE_LB": "BESTENLISTE WECHSELN"
"CUST_GANG_NAME_PREPHOP": "PREPHOP"
"SWITCH_TO_STORE": "ZUM LADEN WECHSELN"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% KONTROLLERHÖHUNG"
"BUILDING_PURCHASE_CRIB": "Dieses Domizil für {1}$ kaufen?"
"WPN_STORE_AMMO_TITLE": "MUNITION"
"TATTOO_REMOVE_SAVE": "Möchtest du die Tätowierung (%s) entfernen lassen uns speichern?"
"CONTROL_SELECT_COLOR": "FARBE AUSWÄHLEN"
"SURGEON_INSUFFICIENT_FUNDS": "Du hast nicht genug Geld, um den plastischen Chirurgen zu besuchen."
"STAT_VEHICLE_AIRCRAFT": "LUFTFAHRZEUG"
"STAT_WEAPON_RPG": "PANZERFAUST"
"STAT_COOP_DEATHS": "KOOP: DURCH SPIELER VERURSACHTE TODE"
"STAT_SNATCH_PIMPS_KILLED": "ABGREIFEN: ANZAHL GETÖTETER ZUHÄLTER"
"STAT_DRIVING_NEARMISS_CHAIN": "LÄNGSTE KNAPP-VERFEHLT-KETTE"
"ESCORT_NAME_14B": "JOHNSON"
"ESCORT_NAME_7B": "NECKLACE"
"CONTROL_START_GAME": "SPIEL STARTEN"
"MAP_ICON_UNDEFINED": "UNDEFINIERT"
"CUST_GANG_NAME_STRIPPER": "STRIPPER"
"GIANT_PLAYER_DESC": "Du hast deine grünen Bohnen gegessen, also wirst du groß."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "Möchtest du \"%s\" für \"%s\" kaufen und speichern?"
"HASH_336F665B": "TODESSTOSS: NIEDERLAGEN"
"PIMPS_AND_HOS_PEDS_DESC": "Alle Fußgänger sind Zuhälter und Nutten."
"MAINMENU_NEW_GAME_DIFF_HDR": "SCHWIERIGKEITSGRAD"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "Du bist momentan nicht mit einem Spielerprofil angemeldet.\nSomit kannst du weder deinen Fortschritt, noch deine erbrachten Erfolge speichern.\nFortfahren?"
"GANG_CUST_TITLE": "BANDENANPASSUNG"
"GARAGE_REPAIR_NAME": "KFZ-WERKSTATT"
"TUT_CRIB_GARAGE": "DRÜCKE {ACTION_IMG}, UM DIESES FAHRZEUG IN DEINER GARAGE UNTERZUBRINGEN"
"STAT_AIRCRAFT_DESTROYED": "ANZAHL ZERSTÖRTER FLUGZEUGE"
"STAT_SMG_HIT_PCT": "TREFFERQUOTE MIT MP"
"ESCORT_NAME_16B": "SWIRL"
"ESCORT_NAME_5B": "SHOWER"
"Time at Highest Police Notoriety_NAME": "ZEIT MIT MAX. POLIZEIBEKANNTHEIT"
"GARAGE_REPAIR_RETRIEVE": "FAHRZEUG REPARIEREN UND ZURÜCKHOLEN: ${0}"
"HUD_SHOP_INSUFFICIENT_FUNDS": "DU HAST NICHT GENUG GELD"
"VCUST_EXTRA_LOW_PROFILE": "EXTRATIEF"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "DURCH AUSSTIEGE VERDIENTER RESPEKT"
"HASH_CE3F7EDD": "FÜR DOMIZILVERBESSERUNGEN AUSGEGEBENES GELD"
"GIVE_SLM8": "VIPER LASERGEWEHR GEBEN"
"LIGHT_RAIN": "LEICHTER REGEN"
"VCUST_LOW_PROFILE": "TIEF"
"CUST_ITEM_STYLE": "STYLE"
"STAT_DRIVING_WRONGWAY_RESPECT": "DURCH FAHREN IN FALSCHE RICHTUNG VERDIENTER RESPEKT"
"ESCORT_NAME_10B": "KNUCKLER"
"ESCORT_NAME_3B": "PUNCH"
"CONFIRM_WEAR_OUTFIT": "Bist du sicher, dass du dieses Outfit anziehen möchtest?"
"HASH_A885535E": "HYDRAULIK"
"CONTROL_EXIT_PURCHASE_CLOTHING": "KLEIDUNGSKAUF BEENDEN"
"DROP_SPECTER": "SPECTER ENTFERNEN"
"TINY_PLAYER": "KLITZEKLEIN"
"SAVELOAD_AUTOSAVE_LABEL": "AUTOMATISCHES SPEICHERN"
"HASH_CC5A26DE": "Entkleiden?"
"HORDE_MODE_MENU_RETRY": "NOCH MAL VERSUCHEN"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "ÜBERLEBENSZEIT"
"HORDE_MODE_WEAPON_UPGRADE": "%ls IST NUN AUF STUFE %i VON %i"
"STAT_STREAKING_PEOPLE": "ANGEFLITZTE PERSONEN"
"STAT_CRIBS_ACQUIRED": "ANGEEIGNETE DOMIZILE"
"WPN_STORE_SPECIAL_TITLE": "SPEZIALWAFFEN"
"VEHICLE_CUSTOMIZATION_TITLE": "FAHRZEUGTUNING"
"TAT_REG_L_SHOULDER": "L. SCHULTER"
"ESCORT_NAME_12B": "FRANKLIN"
"ESCORT_NAME_1B": "SANCHEZ"
"HASH_FB3AF7E0": "TODESSTOSS: MEISTE TODE IN EINER RUNDE"
"MAP_ICON_WEAPON": "WAFFEN"
"GENERIC_LEAVE_BLANK_FULL": "Möchtest du %s wirklich verlassen?"
"HUD_TRIGGER_CASH_STASH": "%ls AUS DER KASSE ENTNEHMEN"
"HUD_FOUND_CASH": "Du hast %ls aus deiner Kasse entnommen."
"VCUST_RIM_STYLE_OPTION": "FELGENSTIL"
"HASH_7A3484E1": "VERDIENTE MINISPIEL-SILBERSTERNE"
"HASH_F85DA761": "VERDIENTE MINISPIEL-GOLDSTERNE"
"CONTROL_CHANGE_BOARD": "TAFEL WECHSELN"
"GANG_CUST_GANG_TITLE": "BANDE"
"TAT_REG_L_LEG": "L. BEIN"
"CUST_BROWSER_BROWSE": "DURCHSUCHEN"
"STORE_CRIB_WEAPONS_MSG": "ÖFFNE DEIN WAFFENARSENAL"
"STAT_DRIVING_TWOWHEELS_TIME": "LÄNGSTE ZEIT AUF ZWEI RÄDERN"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "MAX. DISTANZ BEI WINDSCHUTZSCHEIBENKANONE"
"ESCORT_NAME_16A": "TICKLING"
"ESCORT_NAME_5A": "GOLDEN"
"DELETE_OUTFIT": "OUTFIT LÖSCHEN"
"GIVE_ROCKET": "SCHOCKHAMMER GEBEN"
"GIVE_AIRSTRIKE": "SA-3 LUFTANGRIFF GEBEN"
"OVL_SHOP_PURCHASED_TEXT": "Du übernimmst einen Teil dieses Geschäfts und bekommst [format][color:highlight]{0}$/Stunde[/format] und einen Rabatt auf alle Waren."
"VCUST_NORMAL_PROFILE": "NORMAL"
"VCUST_HIGH_PROFILE": "HOCH"
"STAT_TEAM_LUCHADORES": "LUCHADORES"
"STAT_ESCORT_LEVELS_COMPLETED": "BEENDETE ESKORTENAUFTRÄGE"
"STAT_COMBAT_HEADSHOT_RESPECT": "DURCH KOPFSCHÜSSE VERDIENTER RESPEKT"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "TOAD ENTFERNEN"
"GIVE_CASH_DESC": "Du bekommst auf der Stelle Bargeld."
"PED_WAR_DESC": "Hass, Ärger, Leiden. Jeder hasst jeden."
"STAT_MAYHEM_BEST_COMBO": "VANDALISMUS: BESTE KOMBI"
"ESCORT_NAME_14A": "STEAMING"
"ESCORT_NAME_7A": "PEARL"
"DRUNK_PEDS": "BETRUNKENE FUSSGÄNGER"
"STAT_COOP_GANG_NOTORIETY_TIME": "KOOP: ZEIT MIT HÖCHSTER BANDENBEKANNTHEIT"
"HumanTorch": "AMOKFAHRT"
"ELEVATOR_TO_HEAVEN_DESC": "Die Toten kommen alle in den Himmel."
"GIVE_FLAMETHROWER": "FLAMMENWERFER GEBEN"
"GIVE_CHAINSAW": "KETTENSÄGE GEBEN"
"SURGEON_MP_EXPORT_FULL": "Der Export in den Mehrspielermodus ersetzt alle\nzuvor gespeicherten Mehrspieler-Charaktere!"
"STORE_STRENGTH": "STÄRKE {0}%%%%"
"STAT_DECKERS_KILLED": "GETÖTETE DECKER"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "Du musst mit einem Spielerprofil angemeldet sein, um deine Erfolge ansehen zu können. "
"ESCORT_NAME_12A": "MOIST"
"ESCORT_NAME_1A": "DIRTY"
"Total Civilian Kills_NAME": "GESAMT-ZIVILISTEN-KILLS"
"CONTROL_SELECT_EQUIPPED": "AUSRÜSTUNG AUSWÄHLEN"
"DROP_QUASAR": "QUASAR ENTFERNEN"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "Das aktuelle Speichergerät wurde entfernt. \nBitte wähle ein neues Speichergerät, um den Speicher- bzw. Ladevorgang fortsetzen zu können."
"STORE_LEVEL": "STUFE"
"GARAGE_DOCK": "DOCK"
"STAT_BIG_AIR_LONGEST_JUMP": "BIG AIR: WEITESTER SPRUNG"
"STAT_STAG_KILLED": "GETÖTETE STAG"
"Partners in Crime_DESC": "ALLE KAMPAGNEN-AUFTRÄGE IM KOOP-MODUS GESCHAFFT"
"SinglePlayer": "EINZELSPIELER"
"CONTROL_SELECT": "AUSWAHL"
"MAP_ICON_INSURANCE_FRAUD": "VERSICHERUNGSBETRUG"
"GIVE_KRUKOV": "K-8 KRUKOW GEBEN"
"SAVELOAD_SIGN_IN_NOW": "Du musst dich mit einem Spielerprofil anmelden, um diese Funktion nutzen zu können.\nMöchtest du dich jetzt anmelden?"
"STAT_TEAM_DECKERS": "DECKERS"
"STAT_MISSION_SUCCESS_RATE": "ERFOLGREICHE AUFTRÄGE"
"STAT_MAYHEM_DAMAGE_DONE": "VANDALISMUS: VERURSACHTER SCHADEN"
"STAT_DRIVING_WHEELIE_RESPECT": "DURCH WHEELIES VERDIENTER RESPEKT"
"ESCORT_NAME_10A": "ANGRY"
"ESCORT_NAME_3A": "DONKEY"
"HASH_646BCE68": "KOOP-META-SPIEL: VERDIENTES BONUSGELD"
"CELL_SUICIDE": "TELEFONSEELSORGE"
"CUST_GANG_NAME_SPORTY": "SPORTLICH"
"ADD_COP_NOTORIETY": "POLIZEIBEKANNTHEIT HINZUFÜGEN"
"GARAGE_INSUFFICIENT_FUNDS": "DU HAST NICHT GENUG GELD, UM DIESES AUTO REPARIEREN ZU LASSEN"
"STAT_JUMPS_FOUND": "GEFUNDENE STUNT-SPRÜNGE"
"CUST_REMOVE_ITEM_TITLE": "GEGENSTAND ENTFERNEN"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "ZEIT BEI MAXIMALER LUCHADORES-BEKANNTHEIT"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "ZEIT BEI MAXIMALER BANDENBEKANNTHEIT"
"STAT_FRAUD_LEVELS_COMPLETED": "ERFOLGREICHE VERSICHERUNGSBETRÜGE"
"STAT_DRIVING_WRONGWAY_TIME": "LÄNGSTE ZEIT IN FALSCHER RICHTUNG"
"STAT_HOMIEZ_ACQUIRED": "ANGEWORBENE BEGLEITER"
"HASH_719A436A": "DURCH HYDRAULIK VERDIENTER RESPEKT"
"HORDE_MODE_TITLE_SCORE": "PUNKTE"
"STAT_DRIVING_BACKSEAT_DISTANCE": "LÄNGSTE RÜCKSITZFAHRT"
"STAT_DRIVING_WHEEILE_TIME": "LÄNGSTER WHEELIE"
"STAT_COMBAT_ONE_HIT": "KILLS MIT EINEM TREFFER"
"TAXIMAP_FARE": "TAXIGELD:"
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Wenn du einen Auftrag wiederholen möchtest, verlierst du alle Waffen und den Respekt, den du dir bereits erarbeitetet hattest."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "ORGAN BLACKMARKET"
"MAP_ICON_TSS_STRONGHOLD": "3RD STREET SAINTS FESTUNG"
"CELL_PIMP_VAN": "ZUHÄLTERLIEFERWAGEN"
"BE_ALL_YOU_WANT_TO_BE": "PC-MODELL ÄNDERN"
"MUSIC_FUNK": "FUNK"
"CUST_ICON_TATTOO_LEGS": "BEINTÄTOWIERUNGEN"
"MUSIC_REGGAE": "REGGAE"
"TAXI_LEAVE_FULL": "Möchtest du das Taxi wirklich verlassen?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "Möchtest du Friendly Fire wirklich verlassen?"
"VCUST_REAR_AXLE_OPTION": "HECKACHSEN"
"STORE_TITLE_WITHDRAW": "STORNIEREN"
"HORDE_MODE_TITLE_FAIL": "WELLE {0} GESCHAFFT"
"HORDE_MODE_KILL_COUNT": "KILL-ZÄHLER"
"STAT_DRIVING_NEARMISS": "KNAPP VERFEHLT"
"STAT_DRIVING_BURNOUT": "BURNOUTS"
"Human Thrown Distance_NAME": "BESTE WURFWEITE"
"CONTROL_CHANGE_MODE": "MODUS WECHSELN"
"CONTROL_VIEW_GAMER_CARD": "SPIELERKARTE ANSEHEN"
"CONTROL_BACK": "ZURÜCK"
"CELL_POLICE": "POLIZEI"
"GIVE_SONIC": "SCHALLKNALL GEBEN"
"SUPER_SAINTS_DESC": "Die Saints sind böse ..."
"CUST_ICON_WRISTS": "HANDGELENKSBÄNDER"
"MUSIC_METAL": "METAL"
"MENU_EXPORT_SIGN_IN_FULL": "Du musst bei Xbox LIVE eingeloggt sein, um in den\nMehrspielermodus exportieren zu können."
"STORE_LEVEL_REQ": "BENÖTIGTE STUFE {0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "Du besitzt diese Waffe bereits."
"ESCORT_NAME_9A": "SLIPPERY"
"CONTROL_CHANGE_VIEWED_PLAYER": "ANDEREN SPIELER ANSEHEN"
"MUSIC_HIPHOP": "HIP-HOP"
"DEALER_NO_SPACE": "DU HAST FÜR EIN(EN) %s NICHT GENUG PLATZ IN DEINER GARAGE"
"Total Gang Kills_NAME": "GESAMT-BANDEN-KILLS"
"HASH_937C34EF": "STIL-WERTUNG"
"VCUST_HUBCAPS_TITLE": "RADKAPPEN"
"PURCHASEABLE_PROPERTEY_STEEL": "OLDE STEEL FACTORY"
"TAT_REG_FRONT": "VORDERSEITE"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "INSGESAMT VERSPOTTETE ZIVILISTEN"
"STAT_MILES_BY_BIKE": "MIT MOTORRAD GEFAHRENE MEILEN"
"STAT_ACTIVITY_CASH_EARNED": "VERDIENST DURCH AKTIVITÄTEN"
"ESCORT_NAME_18A": "DIRTY"
"CONTROL_BEGIN_GAME": "SPIEL STARTEN"
"ADD_COP_NOTORIETY_DESC": "Erhöht die Polizeibekanntheit um einen Stern bei jeder Benutzung."
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "Möchtest du wirklich zum\nHauptmenü zurückkehren?"
"OUTFIT_NAME_ENTRY_DIALOG": "GIB EINEN NAMEN FÜR DEIN OUTFIT EIN"
"WPN_CACHE_EXIT_PROMPT": "Arsenal verlassen\n\nBist du sicher?"
"STORE_FREE": "FREI"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "Möchtest du Munition für folgende Waffe nehmen: \"%s\"?"
"STAT_DRIVING_BACKSEAT": "RÜCKSITZFAHRER"
"STAT_DRIVING_TWOWHEELS_RESPECT": "DURCH FAHREN AUF ZWEI RÄDERN VERDIENTER RESPEKT"
"STAT_MAX_STUNT_FALL_DIST": "LÄNGSTER STURZ"
"STAT_ARRESTS": "VERHAFTUNGEN"
"ESCORT_NAME_33B": "BUTTERFLY"
"RADIO_STATION_OFF": "AUS"
"CONTROL_EXIT_PURCHASE_TATTOOS": "TÄTOWIERUNGSKAUF BEENDEN"
"MAP_ICON_PIMPING": "ABGREIFEN"
"STAT_DEATHS": "TODE"
"Time at Highest Gang Notoriety_NAME": "ZEIT MIT MAX. BANDENBEKANNTHEIT"
"MAP_ICON_ESCORT": "ESKORTE"
"RESTORE_WEATHER": "WETTER WIEDER AUF NORMAL SETZEN"
"GANG_CUST_GANG_SIGN_TITLE": "BANDENZEICHEN"
"IMPRESSIONS_NAME": "IMPRESSIONS"
"STORE_INVENTORY_EMPTY_TITLE": "GEPÄCK LEER"
"GARAGE_DELETE_CONFIRM": "Möchtest du dieses Auto loswerden?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "ÜBERLEBT"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "KATZ & MAUS: MEISTE KILLS IN EINER RUNDE"
"STAT_RPG_SHOTS_FIRED": "ABGEFEUERTE PANZERFAUSTSCHÜSSE"
"STAT_STREAKING_CASH": "DURCH FLITZEN VERDIENTER RESPEKT"
"STAT_TAUNT_RESPECT": "DURCH SPOTTGESTEN VERDIENTER RESPEKT"
"ESCORT_NAME_31B": "LIZARD"
"CONTROL_CHANGE_LB_FILTER": "FILTER WECHSELN"
"CONTROL_QUITGAME": "ENDE"
"TIME_SET_NOON_DESC": "Setzt die aktuelle Uhrzeit auf Mittag."
"DROP_CAR_DESC": "Stellt dieses Fahrzeug in deiner Garage ab."
"DROP_BOOTLEGGER": "BOOTLEGGER ENTFERNEN"
"QUIT_GAME_TEXT_FULL": "Möchtest du das Spiel wirklich beenden? \n(Nicht gespeicherte Fortschritte gehen verloren.)"
"GARAGE_REPAIR": "REPARIEREN"
"STAT_COMBAT_ONE_HIT_RESPECT": "DURCH KILLS MIT EINEM TREFFER VERDIENTER RESPEKT"
"STAT_CHOPSHOP_VEHICLES": "GESAMMELTE FAHRZEUGE"
"Matchmaking": "BEI DER SPIELERSUCHE"
"DROP_TITAN": "TITAN ENTFERNEN"
"SUPER_EXPLOSIONS_DESC": "Explosionen sind viermal größer."
"BE_ALL_YOU_WANT_TO_BE_DESC": "Wähle aus einer Liste aus, wie dein Charakter aussehen soll."
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "Möchtest du \"%s\" mit \"%s\" für \"%s\" tauschen?"
"SWITCH_TO_WARDROBE": "ZUM KLEIDERSCHRANK WECHSELN"
"HUD_CRIB_CHANGE_RADIO_STATION": "DEN RADIOSENDER ZU WECHSELN"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "ILLEGALER HANDEL: ANZAHL BEDIENTER KÄUFER"
"STAT_COMBAT_MULTI_RESPECT": "DURCH MEHRFACH-KILLS VERDIENTER RESPEKT"
"ESCORT_NAME_37B": "SHOWER"
"Diversion Bronze Stars_NAME": "BRONZESTERNE"
"HASH_A166F6F5": "ALS ZUHÄLTER VERDIENTER RESPEKT"
"GARAGE_REPAIR_VEHICLE": "FÜR {0}$ REPARIEREN"
"VCUST_RIM_NUMBER": "FELGE #{0}"
"GOTH_NAME": "NOBODY LOVES ME"
"HORDE_MODE_WAITING_FOR_HOST": "Warten auf den Host."
"ESCORT_NAME_38_A": "IM UHRZEIGERSINN"
"PURCHASEABLE_PROPERTEY_BODEGA": "PICKPOCKET PAWN SHOP"
"STAT_PISTOL_HIT_PCT": "TREFFERQUOTE MIT PISTOLE"
"STAT_SNATCH_HOS_CLAIMED": "ABGREIFEN: ANZAHL GENOMMENER NUTTEN"
"ESCORT_NAME_35B": "RATTLESNAKE"
"WEAR_OUTFIT_TITLE": "OUTFIT TRAGEN"
"WARDROBE_REMOVE_OUTFIT_TITLE": "OUTFIT ENTFERNEN"
"INFINITE_SPRINT": "UNENDLICH SPRINT"
"NO_COP_NOTORIETY": "KEINE POLIZEIBEKANNTHEIT"
"STORE_EXIT_WARNING_HEADER": "WARNUNG"
"CRIB_SAINTSHQ": "VERSTECK DER SAINTS"
"PURCHASEABLE_PROPERTEY_WARF": "HENRY STEEL WERFT"
"STAT_STREAKING_TOTAL_TIME": "GESAMTFLITZZEIT"
"STAT_FAVORITE_TRANSPORTATION": "LIEBLINGSTRANSPORTMITTEL"
"ESCORT_NAME_29A": "ROYAL"
"DROP_NFORCER": "NFORCER ENTFERNEN"
"DROP_CONDOR": "CONDOR ENTFERNEN"
"GIVE_DRONE": "REAPER-DROHNE GEBEN"
"PURCHASEABLE_PROPERTEY_BROTHEL": "HARANO'S HOOKUP HOUSE"
"PURCHASE_TATTOOS_NAME": "TÄTOWIERUNGEN KAUFEN"
"VEHICLE_COLOR_BASIC": "ERWEITERT"
"MENU_TITLE_INSUFFICIENT_FUNDS": "ZU WENIG GELD"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "Du hast nicht genug Geld, um diesen Gegenstand zu kaufen."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "INSGESAMT VERSPOTTETE BANDENMITGLIEDER"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "INSGESAMT GEMACHTE KOMPLIMENTE"
"ESCORT_NAME_39_B": "KNETEN"
"HEAVY_RAIN": "STARKER REGEN"
"EVIL_CARS": "BÖSE AUTOS"
"STORE_RESPECT": "RESPEKT +{0}"
"STORE_SELECT_BUILD": "KÖRPERBAU AUSWÄHLEN"
"RUSTY_NEEDLE_NAME": "RUSTY'S NEEDLE"
"STAT_LUCHADORES_KILLED": "GETÖTETE LUCHADORES"
"STAT_DRIVING_BAILOUT": "AUSSTIEGE"
"STATS_NONE": "KEIN/E/R"
"ESCORT_NAME_27A": "CRAZY"
"DEMO_FREEPLAY": "FREIES SPIEL"
"CONTROL_SCROLL_LIST": "SCROLL-LISTE"
"Gang_Saints": "3RD STREET SAINTS"
