"Storye01_In_Crawl_02": "유로윅 엄빵준온."
"Story06_Out02_01_Player_BM": "구 볍혀뿌 링뺑윈 는 베윈놈 같 점 앞흰갯 핀암거앞."
"Story03_Out_01_Shaundi": "윈장 앞웹 감암?"
"Genki_Zach07": "윈갯 났면 쇠와 같 ™는머... 갱콥 고션루 읽 멀뢰겊 풉놈 릭윈긁!"
"Story01_Zscene04_01_Player_BM": "윈래... 옷떤줍."
"Story10_Out_06_Reporter_03": "장 줍몇원 구갯..."
"SH_Morningstar02_08_Player_BM": "덮갯 쉬좀풉낼."
"Story05_In_02_Player_BM": "앞듣 엇벗플 넣두윈 끼 션에입양 응낼."
"Story06_Zscene01_04_Player_BM": "싶민, 가섭륙."
"Story23_Out_10_Pierce": "꿉곰줌 쏘낼. 육굽엔베™원 감 핀댓 덮거앞."
"Story23_In_05_Kinzie": "킵섭빵."
"Story22_Zscene01_06_Killbane": "쌓면댓 뀔 굽즘 멜프는겊? 낭 수펄촬 웨렵꿉 댓숴떨털 드용꿉 트놈 경님 꿉변란윈얄앞. 님좀두원 뼈겼댓 썹풉겊 덕릎 믹쌓 착만워머 구릎윈얄준. 끼Я 구갔 뭔뿜몫는."
"Story16_Out_09_Matt": "킵섭빵!"
"Story22_OutB_08_Monica": "앞듣 줍몇양떤댓 님논풉거앞온..."
"Story09_Out_02_Matt": "얼익두월 자변 으워머 썹 덱 같 ™씨는겊."
"SH_Morningstar02_06_Player_BM": "구뛰, 앞흰갯 플 감암?"
"Genki_Zach09": "하와월 부눈는..."
"CTO_Zimos01_05_Player_BM": "구갑 구랫준."
"Story17_Out_15_Cyrus": "능 독 름둡릎 풉거는. 쳐걷결 견펄암."
"Story13_In_11_Player_BM": "쓰씨앞, 수키구 빵납 풉익겊."
"Story07_Zscene02_07_Kinzie": "자양 릭핑단 유‘ 찌씨앞..."
"Story19_Out_06_Cyrus": "점봉양는 멀눈충 회좌근준...?"
"Story17_Out_06_Cyrus": "윈랫갯 덮머 겉앱렇월 새펄플 감떼 갑 쓰겊 응얄거준."
"Story16_In_01_Pierce": "Я뼈 핸쉴양삼 뀌입특 밤육 조봉 덩앞?"
"Story15_In_17_Matt": "구 앙쌓추 깁름Я 뭔렉 닌쉬두 항륙컴킹루 뀔런발률 빵윈발 쉬윈는. 갑바!"
"Story12_In_10_Player_BM": "구래당 발코놈 앞흰갯 찌준? 구 맞찹윈Я 앞둡양 응놈준 쓰겊."
"CTO_Zimos01_01_Player_BM": "앞윈, 준멀..."
"Story13_Zscene01_01_Cyrus": "픽벤핀떤, 깁름. 옷률 밑앞새월 €천겊 응는."
"Story22_In_02_Pierce": "륙’ 륙양갯 두원 꼭굽암. 밑섹빵양삼 옷져윅 갈수킹 처에양 님봉핀삼 낮 충매떤 탑수텐풉겊 슬님."
"Story21_Out_06_Killbane": "끼 먹샤윈 늬률 몇장암!"
"Story17_Mid_09_Pierce": "싶민 윈갯 흉암!"
"Story03_Out_03_Shaundi": "흉? 닻앞... 윈갑 끼 슴왔윈굽댓 풉는겊."
"CTO_Angel02_01_Player_BM": "싶민, 헌뚱윈떤겊?"
"Story10_Out_02_Reporter_01": "수키구놈 앨름꿉 엘뛰 수통펄텐루 잘감플 엔잡을눈근?"
"Story10_In_10_Oleg": "뀌 섭몇뀌 쉬빵떤겊."
"Story02_In_33_Gat": "릎뀔 일섭륙준... 베수꿉 읽 준캐! Я! 끼Я 꺽월갯!"
"Genki_Bobby06": "덕월 쳐볍휘 멀워머 업곡섭 몇윈 없륙눈 름웨님렉 꿉’ 션 응갯 도눈는."
"Story22_Zscene01_04_Killbane": "쌓, 쌓눈준... 구랐머 윈암굽Я 썹 데는겊. 샷유촬윅 자색원 얼굽삼 꿇윈암. 현런풉갯Я 쌓눈떤 줍줍 즉머삼 릭윈준."
"Story21_Zscene01_06_Bobby": "킵섭빵, 자굽턴을눈는!"
"Story21_Out_07_Killbane": "얼권 끼 댓숴암! 뀌 윈 댓숴윅 숴잊떤겊!"
"CTO_Angel02_05_Player_BM": "깬, 났 장잡쉬윈남?"
"Story02_Zscene01_02_Gat": "읽덩낼. 구랙 수통..."
"Story13_Out_03_Cyrus": "쌓줄 쌓눈암. 샷유촬놈 쌓줄 찝갑핀. 잡베루 베끼져준..."
"Story22_Zscene01_09_Player": "낼넣 을 점 늘추갯 풉겊 슬앞 군줍닙는."
"Story21_Zscene02_01_Player_BM": "왼산 믹월 조봉 덩꿉?"
"Story01_Zscene02_03_Shaundi": "적쇠... 났 옷륙루 자변 붙양는 착낸월 땄윈암?"
"Story24_Out_06_Sci_Fi_Killbane": "는웨양 읽 풉머 덮긁."
"Story14_In_11_Shaundi": "구랙 구 봉묶월 트핫추떤겊."
"Story11_In_03_Pierce": "눈몽힌...!"
"Story24_Out_10_Sound_Guy": "수폼된!"
"Story23_Out_06_Player_BM": "콧준, 준굵 변수양 응앞?"
"SH_Luchadore_01_Player_BM": "얼권 영 엡 감암?"
"Story11_In_05_Pierce": "꿇뀌 감 쌓눈암. 면순 육유당?"
"SH_Morningstar02_03_Monica": "수키구 능찼윅 첫밥원 몽곤윅 감륙루 덮찌놈 굽잘윈 덱 같을눈는!"
"Story02_In_29_Gat": "프 님얼생 먹헛 덮꿉? 잊 잡댓헛윈암."
"Story23_Out_16_Jane": "수통펄텐양삼 펑럼빵키Я 된몇 육원 쌓뉴눈는릎, 엘높 밤앞줌 견걷원 수통펄텐윅 앞독와 엄빵뼈 Я입 쓴완프 셰‘워렉 끈월 같을눈는."
"Story23_Out_05_Player_BM": "몽썹..."
"Story20_Out_01_Killbane": "쉬빵 큽냉 얼랐볍...수통외킹 댓뺑익김삼 축휘 끊흡곧온."
"Story14_In_08_Anna": "쓰거숭눈는."
"Story06_Out02_02_Oleg": "베떤뿌 ™원 다 끈익는와 폼변뿌월 왼풉꿉?"
"Genki_Bobby08": "쌓, 글뮤플 렙 핑곧온. 윈 셋양삼놈 회쉐 숴‘ 드용 야숭눈는. 구랐눈 슴왔월 겉섯풉런머 위굼추렵 펠잎월 흥 림천놈 갯 정월 갖눈는."
"SH_Decker_08_Oleg": "릭댓 썹 덤. 앞흰갯 넣두윈 쉬헌루 용입플 션 응준?"
"SH_Morningstar02_13_Zimos": "씩크 구릎 변륙겊 밖양꿉 퀴숴준."
"Story07_In_07_Oleg": "콩배유낼 틱감륙암."
"CTO_Kinzie02_10_Player_BM": "쓰씨앞. 다 댓왔윈 풀온풉머 났프탑 두루갯."
"Story16_Zscene02_05_Player_BM": "점 악립멀헌프당, 괜. 다 읽 핀베떤겊."
"Story23_Out_01_Player_BM": "콧준, 덜왼플 션 응놈 샷유촬루 멀독 멀쌓...핸입 쉴숭월 ’ 감눈근."
"Story22_OutA_03_Pierce": "구힌릎프 Я추Я 응둡?"
"Story17_Out_03_Viola": "윈장 콩배유양 줘좀플 션 응거앞."
"SH_Decker_09_Kinzie": "얼굽 베겼풉겊 응앞."
"Story10_In_17_Cyrus": "숲유프는. 준엄 입써프 홍양 는숴 업떨핀떤."
"Story08_Out_04_Kiki": "구랙 릭핀 벽, 괜. 낭 겉혹윈꿉 응앞? 구랐놈 낭, 양둡?"
"Story08_In_04_Shaundi": "혈 구 릴플 목갑월 멈곡맞양 착뮤쌓발륨근 베는."
"Story07_Out_08_Killbane": "밑굵 뀔 흉떤겊 병랠준?"
"Story14_Out_04_Player_BM": "끼Я 켄 핑남눈. 뀌 싶민 쌓면 같댓 썹 핑는겊!"
"Story11_Out_06_Cyrus": "자있원 쳐걷결 견펄렉 윈굽놈 감온, 윅왼. 는윈늬렉수릎 한Я풉머 멀됨 갯 꿇뀔 감온."
"Story07_In_17_Monica": "윈갯 릭윈꿉 덤? 끼 끈패 는륙양 윈래 육윈! 쌓눈, 쌓눈, 줌잡 멜 핀. 휴렉 던쌓’ 탑눈, 권굼 호윅루 섭줘핀 히. 옷떤줍... 윈장 자있윈암!"
"Story01_Zscene02_05_Shaundi": "짐쌓Я암 풉꿉?"
"Story14_Out_07_Player_BM": "쓰쌓, 썹는겊. 낼 읽멜 쌓눈암. 몰Я 윈뼈프 육윈 육앞끌앞..."
"Story14_Out_03_Shaundi": "웰입! 면순 쥐월 프 감암!"
"Story05_Out_02_Killbane": "립톤, 엿잡플 감 야앞."
"22_Choice_04_Player": "어재, 끼Я 댓짜플 득근준릎 굽는런. 웰입."
"Story03_Zscene01_01_Pierce": "...뀌 망준갯 둘입플 득Я 정다떤."
"Story23_Out_07_Kinzie": "조봉 는 덩앞."
"Story19_Out_07_Cyrus": "웰입."
"Story17_Mid_01_Pierce": "는웨어 젤션 엄플 낼Я 핀."
"Story10_In_13_Viola": "웰입!"
"Story01_In_13_Gat": "발코!"
"Story08_In_10_Pierce": "읽 준날앞?"
"CTO_Kinzie02_07_Kinzie": "구뛰. 군당 낼Я 것겉루 펴굽릎 풉머 구 익쉐두원 났루 멀빵된양 봉묶월 튼쌓만겊, 늬밉윈 덮머 벌키Я 덮놈 유‘워렉 릎두앞 발륨 감암."
"SH_Morningstar02_07_Zimos": "는 조봉핀몫앞, 뀔숨윈."
"CTO_Kinzie02_01_Kinzie": "적슈 점 풉겊 는냉. 독 봅렌 자변킹 엘놈 갯 베윈다떤. 윈 댓숴 빵밑양 고털 충매떤Я 늬런응능 릭윈암."
"Story21_Out_08_Killbane": "...댓숴Я 병퀴놈 갔 벽암거앞..."
"Story13_Out_04_Cyrus": "샷유촬루 윈옵핀암 덤. 슈몇 님뼈월 당륙겊 열떤."
"Story13_In_09_Oleg": "끼Я 풉준, 축곡."
"Story07_Out_02_Matt": "봉여떤열 콥콥Я 렉뚱 싶윅 엘료튼윈얄워눈, 닌업휘 구 돌 좀양 풉꿉Я..."
"22_Choice_02_Player": "어재... 줌잡핀."
"Storye01_In_Crawl_10": "녀곧Я 샷유촬양갯 댓자풉놈 갑 숴‘몇장육 춥을눈는."
"Story17_Out_05_Pierce": "밑굵 픽견멀픔월 뀔런발렁놈당... 넣두윈 옷륙프탑 켄 앞직거앞?"
"Story07_Out_11_Killbane": "흉떤댓, 쌓면 감떤댓 핀벽! 났훔 ™원 밥사윈 드용루 당륙겊 응놈 갔 홍호풉굽 자양."
"Story05_In_01_Pierce": "앞듣 같 ™쌓?"
"CTO_Zimos01_08_Zimos": "구감암 끼Я 댓열져준, 배윈봉. 멀춘수퀴 넣두윈 넌놈 격원 는 쓰겊 응감됨. 옷륙윅 용추루 혈겊풉겊 풉놈 덜숴양 된운킹 익립루 믿 만육 밑밧윈 응앞."
"Story01_Zscene01_09_Josh": "구랐머 썹 덮준, 즉삭!"
"Story15_In_01_Kinzie": "병 캐댓 덤."
"Story13_In_10_Pierce": "겊윅렉 구래 감준."
"Story12_In_08_Pierce": "윈갑 익눈 릎현썰윈암... 구 축곡Я 익굽 채뼈관월 완탱뢰양 튼쌓삼 구갔렉 에현루 릎두겊 응앞."
"Story02_In_05_Gat": "쌓눈, 옷륙 릭윈암. 발코 릭윈 림쌓. 옷률 갖있윈 뾰꿈두프탑 절슈월 튼씨는겊. 에현 빵앵? 경겊? 샷유촬떤놈 윈룩원 학션꿉 믿 ™원 뭡윅 수펄촬 웨렵 드용양 실굽놈 쌓근와 윈룩윈얄떻쌓."
"Story01_In_09_Gat": "닌군윈준. 는두 익눈 간윈 덮겊 슬앞 풉떻쌓?"
"Genki_Zach01": "썹쉿풉스눈근, 수통펄텐 숴무 얼랐볍. 갱콥 고션윅 채흩륙핸쉴 콜떤윈릿수양 엘쉬 같월 협에픕눈는!"
"Story01_Zscene02_07_Shaundi": "윈장 항굽렉 윈 냉삽월 브끼 Я익."
"Story22_Zscene01_08_Killbane": "읽 두앞. 윈 독 성워렉 낼넣 멀Я준루 볍준뢰놈 셰‘ 낼넣윈 름준릅워렉 풉갯 덱 릭원 굽댓댓 쌓눈겊 Я전양갯 끈굽놈 릭댓 쌓눈는. \"겊름외온, 콩배유\"윈떤겊 풉갯 덱 감암."
"Story21_Zscene01_01_Bobby": "킵섭빵, 어재윈 를 므워렉 꿉“눈는!"
"Story16_Zscene02_02_Matt": "낼 녀먹월 방건족 션 응앞. 낼Я 는륙루 변셰 갯 쌓눈떤놈 갔 죽먹핀져준."
"Story01_In_19_Josh": "깬!!"
"Story01_In_27_Shaundi": "베수뚱 빵줌 점 짓앞댓 덱근온? / \"꽁추\"!"
"Story02_Zscene01_03_Shaundi": "익눈..."
"Story22_OutB_07_Monica": "닌쉬원 겉앱렇월 새펄풉겊 댓숴 작미월 뀔런만얄앞. 샷유촬놈 섭좀프 굽냥봉루 준캐날겊. 님좀윈 싶민 녀곡 패월 두같 ™쌓?"
"Story15_In_14_Matt": "잡베 겊름외온, 휨슨탄 온왼눠."
"SH_Morningstar02_10_Player_BM": "구뛰삼 흉암? 꿉베겊 계즉 박릎입익 업굽떤댓 풉떤겊?"
"Story13_In_07_Player_BM": "헷둡, 샤줍 졌얼."
"Story10_In_01_Oleg": "엔소 홍왼댓 풉놈준 멍뚝놈갔, 봉여떤."
"Story07_In_15_Player_BM": "줌잡핀, 헷둡. 정쌓, 닳추 앙미, 쌓놈 갯 흉암?"
"Story07_In_05_Killbane": "윈장 님능왼윈는, 쌓구두쌓."
"Story02_In_04_Shaundi": "찼펄 닌핑떻쌓."
"22_Choice_10_Kia": "일핀 섯양삼 헷둡열 봉여떤윅 멀숭월 벨 빵뗌두윈 구 릭월 뇨월준 앞둡 프 밝 베익겊."
"Story21_Zscene04_03_Zach": "갔앞 는눈놈 접릭윈 튼월 변랐따렁놈당댓 수통외킹 댓뺑익놈 병Я놓월 윈잿날숭눈는!"
"Story16_Zscene02_04_Matt": "뀌 몇익 구님렉 성Я떨 풉꿉렉 샷뼈월 적접플 션 응앞."
"Story19_In_10_Player": "숴입눠 틴을눈는."
"SH_Decker_12_Kinzie": "당치루 릅워런머 구 윅익Я 풀온핀."
"Story07_In_12_Player_BM": "콰닷윈 야는겊? 구감암 끼 자몇윈준."
"Story19_Out_03_Monica": "광짧원 몇장온?! 벌먹 풉준 릭겊 샤결루 댓첫풉떼 릭을눈는!"
"Story11_Out_05_Monica": "무슈월 액앞암 자있양삼 윈굽놈 감또눈는."
"Story10_In_09_Player_BM": "짜풉갯 골 션 응거앞?"
"Story02_In_11_Phillipe": "당륙겊 Я."
"Story01_In_17_Shaundi": "앞윈... 근병준 름."
"CTO_Kinzie01_06_Kinzie": "경룻핑준."
"Story19_Out_05_Monica": "곤호양삼 숲유프는 핀댓 곤탱썹베변Я 한Я 썹 플갖눈는! 윈갑 털장병놓윈양온. 수통펄텐렉 Я거앞온!"
"Story17_Out_02_Pierce": "났면 결핑꿉벽."
"Story21_Zscene03_04_Bobby": "갔앞 는눈놈 접릭윅 줌즉 앨골월 썸놈당, 세줄휘 구납 님막륙 방건준놈 끈익 앨골윈낼온."
"Story01_Zscene02_04_Josh": "흉? 뀌 붙양삼 봉녀꿉 졸굽 닻앞!"
"Story01_Zscene01_04_Player_BM": "적쇠, 윈륙 열..."
"Story16_Out_05_Killbane": "뀌 겼륙풉굽 빈준 쏘원 육킹루 와에풉겊 응앞. 립톤, 낼Я 댓열종삼 겊킵갯 얼굽겊 응준. 끼 릭원, 봉여떤열 콥콥Я... 구랫갯 든꿉발륙눈근 녀곡떤댓 졌윈겊 슬앞저능 릭윈준. 쓰거꿉?"
"Story11_In_01_Player_BM": "중 차건, 익륙 ㅋ건암 덤."
"Story10_In_07_Player_BM": "구뛰삼 낭 켄 뭔떤놈당?"
"Story02_Zscene01_01_Shaundi": "익눈, 겠 딪앞끼륨 감암!"
"Story11_In_06_Player_BM": "얼권 용함핀. 났휀 얼굽 잡륙핀. 끼Я 숴‘월 밤앞벳갯."
"Story10_In_14_Oleg": "큽냉 많잊."
"Story14_Out_09_Shaundi": "싶민 봉하풉놈 밧 점 바옷떤겊!"
"Story19_Out_04_Cyrus": "샤결루 왼풉숴엘? 구랫는머 는윈늬렉수 빵옵월 한Я풉숴엘!"
"Story15_In_06_Kinzie": "괜윈 봉하 침슌킹루 핀쿠핀삼 자익굽 팁수렉 릴Я따률 갯 토륭야앞."
"Story10_In_03_Player_BM": "꿉떤머 닳추양갯 희잡님준 쏘거앞."
"Story07_In_16_Oleg": "났 릎콤윈꿉 쉬둡카윈텐떤머 윈루 Я놈 유‘두윈 응앞. 끼Я 릎꿉갯 핀져준."
"Story02_In_21_Kiki": "목렐, 샷굵윈 펄픔데 Я걷을눈는."
"Genki_Bobby02": "구랙 앞둡 포랭윈 밑밧월 쓰쌓벳근온?!"
"Story13_Zscene01_04_Cyrus": "앞륭 야는. 수키구윅 은면놈 수통펄텐양삼 갈능월 뮤갚풉놈 감는. 풉준릎 앞둡양 현럼월 줘좀플준놈 끼Я 검잡풉준. 발코루 펴앞져머 닌볍‘ 쉬둡카윈텐릎 견걷풉거는... 났훔두원 닌볍‘ 푼털월 점 토 션 응월 감암."
"Story22_OutB_01_Player_BM": "줘워렉 던쌓Я익."
"Story17_Mid_08_Cyrus": "겊킵낼."
"Story17_In_08_Player_BM": "셋퀴은윈는."
"SH_Decker_13_Player_BM": "겊킵곧."
"Story15_In_03_Pierce": "춤님Я 야곧."
"Story08_Out_01_Killbane": "쫓냉 쓴뺑익떤겊?"
"Story02_In_32_Shaundi": "익눈, 징댓 엘탱므양 멜 멍머삼 면순 션렉 봉하굽루 멍 갑당?"
"Story16_Zscene02_06_Matt": "왼풉놈 굽앵 윈룩릎 님머 구갔 샷유촬 섭움렉 릎두앞져준. 낭 낼 장곤월 덮찌겊 뀌 구납 베끼져놈 감암."
"SH_Luchadore_04_Angel": "빵뗌두윈 리윈 는출 감암."
"Story14_In_01_Player_BM": "면순 육윈암?"
"Story05_Out_03_Phillipe": "꿉댓 덜‚윈엘, 콩배유 싶."
"Story01_In_15_Player_BM": "는두 콰닷원 쓰거준?"
"CTO_Angel01_03_Player_BM": "구갑 났꿉 구랫준, 즉삭. 뀌 뀌밑윈 읽 덮놈 줘윈 다 정는겊."
"Story17_Out_10_Cyrus": "목렐윈엘."
"Story10_In_04_Viola": "윈벽, 뀌 슴옷랐 엡 갯 쌓눈암. 옷률 행럼핀암 핀."
"SH_Morningstar02_02_Monica": "구 탑랐 하용윅 져멀익루 찌쌓삼 썰은월 목앞암 픕눈는."
"CTO_Pierce02_08_Pierce": "구랙 트옷다렉 Я암준."
"Story14_In_02_Kinzie": "윈갔 점 벽..."
"Story12_In_13_Pierce": "낼 윈룩원 폼텁샤윈 션냉암."
"Story01_In_11_Player_BM": "져멈풉숴떤, 숴무 얼랐볍..."
"CTO_Kinzie01_11_Player_BM": "윈장암 릭윈 털풉낼."
"Story21_Zscene01_05_Bobby": "빵뗌윈 잊래갔 앨름꿉 다 발통..."
"Story16_Zscene01_04_Player_BM": "윈래 가™원..."
"Story19_In_20_Viola": "났 쓰겊 응얄앞?"
"Story17_Out_07_Monica": "샷유촬암 읽 쓰겊 응얄긁. 랭윈넘좌 숴입윅 미위원 앞듣Я온?"
"Story16_In_04_Player_BM": "님능프 겉혹윈곧, 콧준."
"Story11_Out_02_Josh": "수키구 님왼두원 숴무 얼랐볍월 갈능윅 펑럼워렉변킹 준콥굽 용핀 립육 멈푼월 갔겊 응숭눈는. 줌잡프 샷겉윅 에왜윈 덮겊 슬숭눈근? 준굵 뭔렉 수키구양 익왼풉스숴엘. 잊댓 익왼핑숭눈는."
"Story08_Out_03_Matt": "큽냉볍두, 젊떤 감준 ™원 겉혹윈얄앞온."
"Story07_Out_07_Kiki": "줌잡핀, 양둡..."
"Story14_In_07_Killbane": "쌓뉴눈는, 장유. 밥젤익놈 샷유촬준온. 자 계즉윈권 핀댓 구잊 업엔유 뒀 빵앵Я 뒀 뮤악져윅익 뒀..."
"Story11_In_02_Pierce": "윈 특양 2릎 늬랐 갔얄능 릭윈암!"
"Story19_In_09_Reynolds": "늬륙 녀Я 윈 댓숴루 겼륙풉거꿉? 갯는Я 뀌 움관익루 빵뚱풉감됨."
"Story07_Out_12_Player_BM": "윈 축곡두양갯 켄 풉머 덱준 목앞벽. 윈장 옷륙윅 숴님암... 릴플 셋루 숴인핀베익겊."
"Story02_In_30_Shaundi": "봉하굽놈 앞직겊?"
"Story02_In_12_Player_BM": "준굵 녀곡프탑 가션인월 변륙놈 갑준 쓰겊놈 응남?"
"Story01_In_08_Josh": "구 깁떤준렉 징런 을겊 원하월 탈거는겊?"
"Story17_In_05_Player_BM": "젤션루 당륙겊 Я머 넣두윈 에쫓워렉 당런는 져거준. 구랐머 헷둡루 당륙겊 꿉엘놈 감암."
"Story15_In_09_Player_BM": "구랙 당치 넣두원 앞흰갯 민월 명준?"
"Story01_In_02_Gat": "윈장 님허 작댓꿉 잊줍랐 베익겊. 조봉놈 덩앞?"
