"ACT_WHORED_Z_AGRIZOOPHOBIA": "È un grosso problema."
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "HAI AFFONDATO L'AUTO"
"ACT_WHORED_MEGAFURRIES": "Grossi, pelosi e mortali!"
"ACT_WHORED_AYDIOSMIO_FAIL": "¿Por qué?"
"CHOP_SHOP_START": "VISUALIZZA LISTA VEICOLI RIVENDITORE"
"ACT_VANDAL_TEAM_BONUS_MSG": "Uccidi %ls per ottenere un bonus."
"ACT_ESCORT_CLIENT_MSG": "PRELEVA IL [format][color:green]CLIENTE[/format]"
"ACT_THEFT_SAFE_OPEN": "APRIRE LA CASSAFORTE"
"ACT_WHORED_A_SELF_CONSCIOUS": "Poi dicono che la dimensione non conta..."
"ACT_WHORED_MEGACAN_FAIL": "Ora è la lattina a riciclare te."
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "Tutti noi sapevamo che la rivolta dei vagabondi era alle porte."
"ACT_WHORED_ZOMBIE_INFERNO": "Gli zombi corrono, esplodono e ti incendiano. E la tua energia non si rigenera. Lo so, siamo piuttosto perfidi."
"ACT_RUNNING_MAN_WAGER_TITLE": "RADDOPPIO DELLA PUNTATA?"
"ACT_ESCORT_NAME": "ESCORT"
"ACT_EARNED_RESPECT": "Hai guadagnato %d rispetto!"
"ACT_WHORED_D_APOTHEOSIS": "Ora di divertirsi. Tempo di uccidere!"
"ACT_WHORED_MINICANS": "Mini-gun, mini-lattine, maxi-divertimento!"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "ARMADIETTO DEI SOLDI"
"ACT_ZOMBIE_START_WAVES": "FERMA L'ATTACCO DEGLI ZOMBI SPAZZANDO VIA QUELLI RIMASTI"
"ACT_VANDAL_STATION_WAGON_MSG": "STATION WAGON"
"ACT_FRAUD_CURRENT_HIT": "ULTIMO COLPO:"
"ACT_CHOP_NOT_WANTED": "L'officina non ha bisogno di questo veicolo. "
"ACT_WHORED_MEGA_TRANNY": "Brutella vuole menare le mani."
"ACT_TORCH_FRENZY_INSTRUCTIONS": "Brucia tutti i bersagli segnalati entro il tempo massimo."
"ACT_WHORED_Z_ROLL_OVER": "Resta morto."
"ACT_WHORED_A_VINTAGE_HORROR": "Affronta gli zombi con un'arma dotata di munizioni infinite. Non hai sprint, né rigenerazione energia."
"ACT_TANK_MAYHEM_NAME": "VANDALISMO BLINDATO"
"ACT_VANDALISM_TITLE": "SELEZIONE LIVELLO VANDALISMO"
"ACT_LEVEL_3": "LIVELLO 3"
"ACT_CHOP_SHOP_NAME": "RIVENDITORE D'AUTO RUBATE"
"ACT_WHORED_GAT_ATTACK": "Controlla Gat, la mascotte gigante, e distruggi i nemici!"
"ACT_LEVEL_6": "LIVELLO 6"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "RECORD TRUFFA TUFFO DALLA SCOGLIERA"
"ACT_CHOP_SHOP_MODS_REQUIRED": "Alcune auto richiedono certe modifiche."
"ACT_WHORED_A_TANK": "Ci serve qualcosa di più potente."
"ACT_WHORED_D_TARGET_PRACTICE": "Il vecchio tiro a segno di campagna... con un tocco in più."
"ACT_WHORED_WEAKSAUCE": "Le tue dimensioni e i danni inferti si sono ridotti!"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "AFFARI COMPLETATI"
"ACT_YOU_HAVENT_COMPLETED": "(NON COMPLETATO)"
"ACT_VANDAL_SUMMARY_PEOPLE": "PERSONE"
"ACT_VANDAL_GOAL_MSG": "OBIETTIVO:"
"ACT_TRAFFIC_PROTECT_F": "PROTEGGI LO [format][color:red]SPACCIATORE[/format] MENTRE EFFETTUA LE CONSEGNE DI OGGI"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "PRELEVA I [format][color:green]SAINTS[/format] E PORTALI IN [format][color:blue]SALVO[/format]"
"PUSHBACK_GSI_TITLE": "CONTRATTACCO"
"ACT_WHORED_A_LITTLE_NIKITA": "Sexy e letale."
"CHOP_SPORT_SPOILER": "ALETTONE SPORT"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "BONUS UTILITARIA"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "TOGLI LE MANETTE ALLO SPACCIATORE"
"ACT_FRAUD_BONUS_COP_WITNESS": "BONUS TESTIMONIANZA DELLA POLIZIA"
"ACT_CHOP_REJECT_BURNING": "L'officina non accetta auto in fiamme!"
"HASH_DBAAE25B": "IL QUARTIERE È SOTTO ATTACCO"
"ACT_WHORED_BOWLING": "Abbattili tutti!"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "BONUS PICKUP"
"ACT_HUMAN_TORCH_NAME": "PALLA DI FUOCO"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "È stata distrutta un'auto per la fuga."
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "TORNA AL FURGONE!"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "TIENI PREMUTO {ANALOG_RS_IMG} NEL PUNTO CALDO E USA {ANALOG_LS_IMG} PER SINCRONIZZARE LE TUE MOSSE"
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "BONUS AUTO SPORTIVA"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "UNO DEI CONTATTI È MORTO! TE NE SERVE UN ALTRO"
"ACT_WHORED_D_ANKLE_BITERS": "Nella botte piccola c'è il vino letale."
"CHOP_SHOP_NAME": "RIVENDITORE D'AUTO RUBATE"
"ACT_FRAUD_HIT": "COLPI:"
"ACT_VANDAL_LAUNCHER_MSG": "LANCIARAZZI"
"CELL_PHONE_NO_VEHICLES": "NESSUN VEICOLO"
"ACT_WHORED_GRENADIER_STRIPPERS": "Dai una granata per mancia alle mini-spogliarelliste."
"ACT_WHORED_WEAKSAUCE_FAIL": "MEZZA SEGA!!!"
"ACT_RUNNING_MAN_NAME": "PROFESSOR GENKI'S S.E.R.C."
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "Guadagna denaro distruggendo gli obiettivi, uccidendo i nemici e lasciando l'arena entro il tempo limite. Distruggendo molti oggetti di seguito, otterrai un bonus combo."
"ACT_VANDAL_NIGHTSTICK_MSG": "MANGANELLO"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "BONUS: USA %s (+$%d)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "BONUS: UCCIDI %s (+$%d)"
"ACT_ESCORT_SPAWNED_MSG": "SEMINA I FURGONI CHE TI STANNO ALLE COSTOLE"
"ACT_ESCORT_ROADBLOCK_MSG": "PAPARAZZI IN VISTA, FAI ATTENZIONE AL BLOCCO"
"ACT_LEVEL_8": "LIVELLO 8"
"ACT_VANDAL_RIFLE_MSG": "FUCILE"
"ACT_VANDAL_BONUS_MULTI_TEAM": "BONUS: UCCIDI %s (X%d)"
"ACT_HELI_TITLE": "SELEZIONE LIVELLO ASSALTO IN ELICOTTERO"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "Proteggi i [format][color:green]rapinatori[/format] con il fucile da cecchino."
"ACT_ESCORT_OUTRUN": "SFUGGI AL TUO INSEGUITORE"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "IL CLIENTE È STATO UCCISO"
"STRONGHOLD_RESTART_TITLE": "ROCCAFORTE NON CONQUISTATA"
"MISSION_FAILURE_SUB_TEXT": "MISSIONE FALLITA"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "Record truffa tuffo dalla rupe: %.2f piedi"
"ACT_FRAUD_IN_AREA": "GUADAGNA PIÙ SOLDI POSSIBILE PRIMA CHE LA [format][color:teal]ZONA PUNTI[/format] SI SPOSTI"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "HAI INVESTITO IL CLIENTE"
"HASH_391B5C61": "DIFESA DEL QUARTIERE FALLITA"
"ACTIVITY_NAME_HELI": "ASSALTO IN ELICOTTERO"
"LOCALIZE_CHOP_SHOP": "RIVENDITORE DI AUTO RUBATE"
"ACT_HITMAN_START": "AVVIA LA MODALITÀ KILLER"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "SOPRAVVISSUTO ALL'ONDATA %d"
"ACT_FRAUD_BEST_HIT_HUD": "MIGLIOR COLPO:"
"ACT_WHORED_Z_MS_SEBERT": "Sta per..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "Allaccia le cinture."
"ACT_WHORED_GIMPS": "Fa' uscire i pervertiti!"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "Avresti dovuto apprezzare la carne."
"ACT_LEVEL_5": "LIVELLO 5"
"ACT_WHORED_A_AW_NUTS": "Vuoi abbattere qualcuno? Punta al pacco."
"ACT_WHORED_A_WELCOME": "Ovvio, ma è la prima ondata..."
"ACT_WHORED_APOC_FAIL": "Fingeremo di non aver visto niente."
"ACT_VANDAL_KNIFE_MSG": "COLTELLO"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "SONO MORTE TROPPE PROSTITUTE; ASSOLDALE {RECRUIT_DISMISS_IMG} E POI SCAPPA DI CORSA"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "RECORD TRUFFA FLIPPER AUTO"
"ACT_FRAUD_BONUS_AREA": "BONUS AREA"
"ACT_WHORED_THE_END": "Buona fortuna!"
"HORDE_CHARACTER_COWGIRL": "COWGIRL"
"CTS_MESSAGE_PLACE_BOMBS": "POSIZIONA LA BOMBA"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "IN SENSO ANTIORARIO"
"CHOP_CONVERTIBLE_ROOF": "TETTO CABRIOLET"
"ACT_TORCH_FAIL_WATER": "LA TUA TUTA SI È SPENTA; FAI ATTENZIONE CON L'ACQUA"
"ACT_GUARDIAN_ANGEL_START": "AVVIARE LA MODALITÀ ANGELO CUSTODE"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "BONUS PILOTA RICCO"
"ACT_WHORED_D_TOKYO_BEWARE": "In ognuno di noi c'è un piccolo Saint."
"ACT_WHORED_GRENADIERS": "Le zoccole sanno come difendersi... con le granate!"
"ACT_WHORED_MEGA_WHORE_FAIL": "Più grande non sempre significa migliore."
"ACT_RUNNING_MAN_INTRO_L_3": "Guadagna $3.500 distruggendo gli obiettivi, uccidendo i nemici e lasciando l'arena entro il tempo limite. Distruggendo molti oggetti di seguito, otterrai un bonus combo."
"ACT_VANDAL_PASSENGER": "PASSEGGERO"
"ACT_WHORED_ZOMBIESATV_FAIL": "Colpiscili prima che loro colpiscano te."
"ACT_TRAFFIC_PROTECT_DRIVER": "PORTA LO [format][color:green]SPACCIATORE[/format] DAI [format][color:teal]CLIENTI[/format]"
"ACT_FRAUD_NO_TIME": "Il tempo è scaduto."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "SVELTO! CALMA LA TIGRE!"
"ACT_WHORED_A_COYOTE_UGLY": "Torna sobrio.... e fallo in fretta."
"ACT_WHORED_D_FEVER_DREAM": "La situazione si fa surreale."
"ACT_CHOP_SHOP_START": "AVVIA LA MODALITÀ RIVENDITORE D'AUTO RUBATE"
"ACT_HELI_VAN_LIFE_TEXT": "ENERGIA DEL FURGONE"
"HASH_755E0DE8": "ACCOMPAGNA IL [format][color:green]CLIENTE[/format] ALL'[format][color:teal]UNIVERSITÀ[/format]"
"ACT_WHORED_Z_HANK_EAST": "Ne ha viste di peggio, credimi."
"ACT_WHORED_A_LEAF_BLOWER": "Ripulisci questo posto."
"ACT_WHORED_MINISNIPERS": "Un uccisione per ogni colpo."
"ACT_RUNNING_MAN_TARGET_SHOT": "OBIETTIVO COLPITO"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "OBIETTIVI DI VALORE"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "TEMPO SCADUTO"
"ACT_FRAUD_TOTAL_MULTIPLIER": "Moltiplicatore totale: %.2fx"
"HASH_6F3F6AE9": "PORTA IL [format][color:green]CLIENTE[/format] AL [format][color:teal]PORTICCIOLO[/format]"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "SELEZIONE LIVELLO ZOMBI"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "BONUS ESPULSIONE DAL VEICOLO"
"HASH_AF6B906A": "CONTRATTACCO FALLITO"
"ACT_WHORED_D_RUNNING_DEAD": "L'ultimo colpo lascialo per te."
"ACT_WHORED_MINI_BRUTES_FAIL": "I piccoli sanno far male."
"SUCCESS_CASH_TEXT": "DENARO"
"CHOP_STREET_SPOILER": "ALETTONE DA STRADA"
"ACT_HELI_PROTECTION_CATCH_UP": "I TUOI [format][color:green]AMICI[/format] TI STANNO ASPETTANDO"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "LA VEDETTA HA VISTO UNA [format][color:red]MOTO[/format] IN ARRIVO"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "IL CLIENTE VUOLE CHE ESEGUI IL %ls %ls SU DI LUI/LEI"
"ACT_WHORED_ROLLERHOS_FAIL": "Veloci e micidiali."
"ACT_ESCORT_COURAGE": "CORAGGIO"
"CHOPCHOP_NONE": "NESSUNA"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "BONUS: USA %s (X%d)"
"ACT_PIMPING_OBJECTIVE_1": "RECLUTA %d PROSTITUTE E RIPORTALE DA ZIMOS"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": "PIAZZA UNA CARICA"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "BONUS VEICOLO CIVILE"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "VEICOLI RIMASTI: %i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "O credi di essere più forte."
"ACT_TRAFFICKING_DAMAGE": "DANNI"
"BUTTON_MASHING_UTIL_MESSAGE": "DEVI PREMERE %ls PIÙ DI %d VOLTE IN %d SECONDI"
"ACT_ZOMBIE_TRIGGER_WARNING": "Se te ne vai, gli zombi si diffonderanno nel resto del mondo!"
"ACT_ZOMBIE_LIMITED_USES": "Usa saggiamente le tue armi: hai un numero limitato di colpi."
"ACT_VANDAL_BONUS_VEHICLE": "BONUS VEICOLO"
"ACT_PIMPING_FAIL_KILLED_HO": "HAI UCCISO LA TUA PROSTITUTA"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "RECORD TRUFFA TESTIMONI POLIZIOTTI"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "Ecco perché è importante dare mance alle spogliarelliste, anche a quelle più piccole."
"ACT_WHORED_MEGA_WHORE": "Strage all'ingrosso."
"ACTIVITY_FAILURE_CANCEL_TEXT": "ANNULLATO LA MODALITÀ."
"ACT_TORCH_TIME_ACCRUED": "BONUS:"
"ACT_HELI_DIVIDER_TEXT": "/"
"HASH_7059B6EE": "Passa al prossimo gruppo di [format][color:red]luogotenenti[/format]."
"ACT_MAYHEM_FAIL": "IL TEMPO È SCADUTO! USA PIÙ COMBO PER OTTENERE UN PUNTEGGIO SUPERIORE"
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "BONUS CENTRI SQUADRA"
"ACT_ESCORT_COMPLETE_MSG": "MOLTO BENE"
"ACT_WHORED_A_TBIRD": "Al fuoco! Al fuoco!"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "NON HAI RAGGIUNTO IL PUNTEGGIO OBIETTIVO. HAI PERSO I %ls DELLA SCOMMESSA."
"STRONGHOLD_START_MESSAGE": "AVVIA LA CONQUISTA DELLA ROCCAFORTE"
"ACTIVITY_CANCELLED_SUB_TEXT": "CANCELLATO"
"ACT_PIMPING_TITLE": "SELEZIONE LIVELLO PAPPONE"
"ACT_VANDAL_BONUS_MULTIPLIER": "MOLTIPLICATORE BONUS: "
"ACT_VANDAL_BAT_MSG": "MAZZA DA BASEBALL"
"ACT_ESCORT_GETBACK_MSG": "TORNA NELL'[format][color:yellow]AUTO[/format]"
"HASH_E76B14F0": "CONTRATTACCO FALLITO"
"ACT_WHORED_A_PUNCH_DRUNK": "In onore di Cassius."
"STICK_ROTATION_UTIL_MESSAGE": "Devi ruotare la levetta %ls %ls %f volte in %d secondi."
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": "I [format][color:green]CONTATTI[/format] SONO STATI SCOPERTI. VAI A SALVARLI"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "SALVA I [format][color:green]CONTATTI[/format] E RIPORTALI INDIETRO"
"ACT_ESCORT_SATISFIED_MSG": "FAI SCENDERE IL [format][color:green]CLIENTE[/format]"
"ACT_WHORED_A_APEX_PRED": "Fagli capire chi è in cima alla catena alimentare."
"ACT_WHORED_A_PESTS": "Sono dovunque!"
"ACT_WHORED_MINISNIPERS_FAIL": "Il cacciatore diventa la preda."
"ACT_WHORED_ZOMBIES_EXPLODE": "Zombi e zombi esplosivi. Si mette male."
"ACT_HOSTAGE_START": "INIZIA LA MODALITÀ OSTAGGIO"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "AUTO DELLA POLIZIA"
"ACT_FRAUD_GO_TO_SCORING_AREA": "VAI NELLA ZONA PUNTI"
"ACT_CHOP_BRING_CAR": "Torna con un veicolo."
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "VANDALISMO BLINDATO"
"TEMP_LAST_MINUTE_2": "AVVIA L'ATTIVITÀ RIVENDITORE D'AUTO RUBATE"
"CHOP_OFF_ROAD_RIMS": "CERCHIONI FUORISTRADA"
"ACT_ZOMBIE_DISPLAY_NAME": "ATTACCO DEGLI ZOMBI"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "POLIZIA"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "BONUS BERLINA"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "RECORD TRUFFA VEICOLI COLPITI"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "Hai perso troppe macchine."
"ACT_WHORED_BAT": "Battitutto."
"ACT_RUNNING_MAN_INTRO_L_2": "Guadagna $2.000 distruggendo gli obiettivi, uccidendo i nemici e lasciando l'arena entro il tempo limite. Distruggendo molti oggetti di seguito, otterrai un bonus combo."
"ACTIVITY_NAME_RUNNING_MAN": "PROFESSOR GENKI'S SUPER ETHICAL REALITY CLIMAX"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "Premi {SHOULDER_CAM_IMG} per passare alla modalità Mira precisa. Premi {ZOOM_IN_IMG}/{ZOOM_OUT_IMG} per ingrandire e rimpicciolire"
"ACT_ESCORT_STRIPPER_MSG": "ASPETTA CHE LA SPOGLIARELLISTA SALGA IN MACCHINA"
"ACT_ESCORT_GETBACK_COUNT_MSG": "HAI %d SECONDI PER TORNARE ALLA TUA [format][color:yellow]AUTO[/format]"
"HORDE_LEVEL_DAEDALUS": "DAEDALUS"
"ACT_LEVEL_4": "LIVELLO 4"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "RICEVI UNA PENALITÀ SE UTILIZZI LA SEGUENTE ARMA: %ls"
"ACT_VANDAL_WEAPON_BONUS_MSG": "RICEVI UN BONUS SE UTILIZZI LA SEGUENTE ARMA: %ls"
"ACT_TRAFFIC_POLICE_STING_START": "SBIRRI IN BORGHESE! SALVA LO [format][color:green]SPACCIATORE[/format] DALLA POLIZIA!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "PORTA LO [format][color:green]SPACCIATORE[/format] DAI CLIENTI"
"ACT_HELI_TIMER_TEXT": "TEMPO RIMASTO"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "LA SPOGLIARELLISTA È STATA UCCISA"
"ACT_WHORED_A_CONSCRIPTED": "In servizio anche da morto."
"ACT_WHORED_GENKI_REVENGE": "Via al divertentissimo Professor Genki's Super Ethical Reality Climax!"
"CHOP_STYLISH_RIMS": "CERCHIONI ELEGANTI"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "NON GUADAGNI NULLA PER LA DISTRUZIONE DI: [format][color:red]%ls[/format]"
"ACT_WHORED_Z_BIG_BONED": "Letteralmente."
"ACT_VANDALISM_COMBO": "COMBO: [format][color:grey]%i[/format]"
"ACT_ZOMBIE_NAME": "ATTACCO DEGLI ZOMBI"
"ACT_VANDAL_VAN_MINIVAN_MSG": "FURGONCINI"
"ACT_WHORED_BOWLING_FAIL": "Il punteggio lascia a desiderare."
"ACT_WHORED_MONEYSHOTS": "Mira alla testa."
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "ZOMBI UCCISI: "
"ACT_VANDAL_SUMMARY_UNKNOWN": "SCONOSCIUTO"
"ACT_TRAFFIC_BUYER_ATTACK": "IL COMPRATORE È SOTTO ATTACCO"
"ACT_HELI_NAME": "ASSALTO IN ELICOTTERO"
"ACT_HELI_CONVOY_BASE_MESSAGE": "FERMA IL CONVOGLIO PRIMA CHE ARRIVI A: %s"
"ACT_FRAUD_ADRENALINE_TAG": "ADRENALINA:"
"HASH_57E7C078": "UCCIDI TUTTI I [format][color:red]LUOGOTENENTI DELLA GANG[/format]"
"ACT_WHORED_MINI_SAMURAI": "Piccolo, con una spada enorme e uno spirito sanguinario."
"STRONGHOLD_RESTART_PROMPT": "Vuoi provare di nuovo a conquistare questa roccaforte?"
"ACT_TORCH_RACE_INSTRUCTIONS1": "Corri verso i punti di controllo e converti punti bonus in tempo extra."
"ACT_VANDAL_SUV_MSG": "SUV"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "TEMPO"
"ACT_WHORED_ZOMBIE_UPRISING": "Sopravvivi all'apocalisse degli zombi... senza usare lo sprint!"
"ACT_RUNNING_MAN_TRAP_EVADE": "EVASIONE TRAPPOLA"
"ACT_ESCORT_RAGE": "FURIA ANIMALE"
"MISSION_SUCCESS_SUB_TEXT": "MISSIONE COMPLETATA"
"ACT_HUD_CASH_MAX": "MOLTI"
"ACT_FRAUD_TITLE": "SELEZIONE LIVELLO FRODE"
"CHOP_STYLISH_HOOD": "COFANO ELEGANTE"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "LO SPACCIATORE È STATO ARRESTATO"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "HAI SCOPERTO UNA TRAPPOLA! ELIMINA I [format][color:red]DECKERS[/format] PRIMA DI RECLUTARE I [format][color:green]CONTATTI[/format]."
"ACT_PIMPING_CAPTURED_HO_DIED": "UNA DELLE TUE RAGAZZE È MORTA! TE NE SERVE UN'ALTRA"
"ACT_FRAUD_BONUS_DISTANCE": "BONUS DISTANZA LINEARE"
"ACT_WHORED_A_STEELPORT_WAY": "Lui ha un dildo, tu un coltello."
"ACT_WHORED_D_LEAGUE_OF_OWN": "Occhio, ok?"
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "SCOMMETTI %ls PER OTTENERNE %ls!"
"ACT_HELI_DISH_HUD_TEXT": "ANTENNA PARABOLICA DISTRUTTA"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "SE TI COLPISCONO IN QUESTA AREA BONUS, AVRAI UN MOLTIPLICATORE DOPPIO IN PIÙ"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "Porta le auto indicate al [format][color:green]rivenditore d'auto rubate[/format] in cambio di contanti."
"GARAGE_CANNOT_CUSTOMIZE": "VEICOLO NON PERSONALIZZABILE"
"CTS_MESSAGE_GO_PENTHOUSE": "ANDARE ALL'ATTICO"
"ACT_LEVEL_1": "LIVELLO 1"
"ACT_ESCORT_TITLE": "SELEZIONE LIVELLO ESCORT"
"ACT_VANDAL_PISTOL_MSG": "PISTOLA"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "Prendi quella macchina e rubala."
"HASH_DBD1BF7C": "%s RESPINTI"
"ACT_WHORED_HITNRUN": "Inizia a sbarazzartene."
"CHOP_STREET_HOOD": "COFANO DA STRADA"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "BONUS AUTO DI LUSSO"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "SFUGGI AI PAPARAZZI"
"ACTIVITY_NAME_TRAFFICKING": "TRAFFICI ILLECITI"
"ACT_ZOMBIE_START": "Giochi ad Attacco degli zombi?"
"ACT_VANDAL_OBJECTIVE_2": "Le distruzioni a catena fruttano soldi extra!"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "HAI SCOPERTO UNA TRAPPOLA! RECLUTA QUEI [format][color:green]CONTATTI[/format] E VATTENE"
"ACT_HELI_TARGETS_TEXT": "OBIETTIVI COMPLETATI"
"ACT_WHORED_NINJAS_FAIL": "Silenzioso, ma micidiale."
"CHOP_STREET_GRILL": "GRIGLIA DA STRADA"
"ACT_VANDAL_THROWN_MSG": "ARMA DA LANCIO"
"ACT_VANDAL_BOAT_MSG": "BARCHE"
"ACT_PIMPING_HOS_COLON": "PROSTITUTE:"
"ACT_FRAUD_KILLED": "Hai perso credibilità a causa della vittima coinvolta"
"ACT_WHORED_D_NORMS_REVENGE": "Se tutto ciò che hai sono un martello e un chiodo, vedi buchi dappertutto."
"ACT_WHORED_STARPOWER": "Tutte le tue armi sono state potenziate e i nemici esplodono appena li tocchi!"
"HORDE_CHARACTER_GIMPY": "GIMPY"
"ACT_RUNNING_MAN_WAGER_REJECT_TEXT": "NON AMO LE SCOMMESSE. DAMMI I MIEI %ls."
"ACT_TRAFFICKING_START": "AVVIA LA MODALITÀ TRAFFICI ILLECITI"
"ACT_VANDAL_CAR_COMPACT_MSG": "UTILITARIE"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "BONUS FURGONE"
"ACT_FRAUD_BONUS_DISTRICT": "BONUS DISTRETTO"
