"ACT_WHORED_Z_AGRIZOOPHOBIA": "これはやっかいだ"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "ソーセージ地獄だったか？"
"ACT_LEVEL_5": "レベル5"
"ACT_WHORED_A_AW_NUTS": "急所はどこだかわかってるよな"
"ACT_WHORED_A_WELCOME": "ありがちだけどウェーブ1だし"
"ACT_WHORED_APOC_FAIL": "なかったことにしとく...？"
"ACT_VANDAL_KNIFE_MSG": "ナイフ"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "エステティシャンを失いすぎだ。調達{RECRUIT_DISMISS_IMG}したら、すぐにその場から逃走しろ "
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "保険金詐欺ピンボール記録"
"ACT_FRAUD_BONUS_AREA": "エリアボーナス"
"ACT_WHORED_THE_END": "ここまでくれば、運まかせ"
"HORDE_CHARACTER_COWGIRL": "カウガール"
"CTS_MESSAGE_PLACE_BOMBS": "爆弾を仕掛ける"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "反時計回り"
"CHOP_CONVERTIBLE_ROOF": "コンバーチブルルーフ"
"ACT_TORCH_FAIL_WATER": "スーツの火を消してしまった。水の近くでは注意しろ"
"ACT_GUARDIAN_ANGEL_START": "ガーディアンエンジェルを開始"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "金持ちドライバーボーナス"
"ACT_WHORED_D_TOKYO_BEWARE": "聖人流"
"ACT_WHORED_GRENADIERS": "エステティシャンは手榴弾で身を守っている"
"ACT_WHORED_MEGA_WHORE_FAIL": "デカけりゃいいってもんじゃない"
"ACT_RUNNING_MAN_INTRO_L_3": "ターゲットを破壊し、敵を始末して3,500ドルの損害額を叩き出せ。時間切れになる前にアリーナから脱出しろ。連続で物を破壊すると、コンボボーナスを獲得できる"
"ACT_VANDAL_PASSENGER": "乗客"
"ACT_WHORED_ZOMBIESATV_FAIL": "やられる前にやれ"
"ACT_TRAFFIC_PROTECT_DRIVER": "[format][color:green]ディーラー[/format]を[format][color:teal]客[/format]のところへ連れて行け"
"ACT_FRAUD_NO_TIME": "時間切れだ"
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "急げ！トラを落ち着かせろ！"
"ACT_WHORED_A_COYOTE_UGLY": "酔いが覚めたら..."
"ACT_WHORED_D_FEVER_DREAM": "超リアル現象"
"ACT_CHOP_SHOP_START": "ヤミ改造工場を開始"
"ACT_HELI_VAN_LIFE_TEXT": "バン"
"HASH_755E0DE8": "[format][color:green]客[/format]を車に乗せて[format][color:teal]大学[/format]内を案内しろ"
"ACT_WHORED_Z_HANK_EAST": "ライジングデッド"
"ACT_WHORED_A_LEAF_BLOWER": "清掃開始"
"ACT_WHORED_MINISNIPERS": "一撃必殺"
"ACT_RUNNING_MAN_TARGET_SHOT": "ターゲットにヒット"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "高額ターゲット"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "時間切れ！"
"ACT_FRAUD_TOTAL_MULTIPLIER": "合計ボーナス：×%.2fx"
"HASH_6F3F6AE9": "[format][color:green]客[/format]を[format][color:teal]MARINA[/format]へ連れて行け"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "ゾンビレベル選択"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "脱出ボーナス"
"HASH_AF6B906A": "奪回阻止に失敗した"
"ACT_WHORED_D_RUNNING_DEAD": "最後の1発は..."
"ACT_WHORED_MINI_BRUTES_FAIL": "小さくても最強"
"SUCCESS_CASH_TEXT": "キャッシュ"
"CHOP_STREET_SPOILER": "ストリートスポイラー"
"ACT_HELI_PROTECTION_CATCH_UP": "[format][color:green]仲間[/format]がお待ちかねだぞ"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "こちらに向かっている[format][color:red]バイク[/format]が目撃された"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "客からのリクエストだ\n%ls %lsをキめろ"
"ACT_WHORED_ROLLERHOS_FAIL": "素早いうえに破壊的だ"
"ACT_ESCORT_COURAGE": "度胸"
"CHOPCHOP_NONE": "なし"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "ボーナス：%sを使用した（X%d）"
"ACT_PIMPING_OBJECTIVE_1": "%d人のエステティシャンをスカウトしてズィーモスの所に連れ戻せ"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": "爆薬を設置しろ"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "政府車両ボーナス"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "残り台数：%i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "眠れる力があればの話"
"ACT_TRAFFICKING_DAMAGE": "損害"
"BUTTON_MASHING_UTIL_MESSAGE": "%lsボタンを%d回押せ（期限：%d秒）"
"ACT_ZOMBIE_TRIGGER_WARNING": "お前が逃げると世界中がゾンビで溢れることになるぞ！"
"ACT_ZOMBIE_LIMITED_USES": "武器は有効に使え。使用回数には制限がある"
"ACT_VANDAL_BONUS_VEHICLE": "車両ボーナス"
"ACT_PIMPING_FAIL_KILLED_HO": "調達したエステティシャンを始末してしまった"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "保険金詐欺警官目撃記録"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "たとえミニでも、ダンサーへのチップが大事なのはそういうわけだ"
"ACT_WHORED_MEGA_WHORE": "業務用サイズ"
"ACTIVITY_FAILURE_CANCEL_TEXT": "アクティビティが\nキャンセルされました"
"ACT_TORCH_TIME_ACCRUED": "ボーナス"
"ACT_HELI_DIVIDER_TEXT": "／"
"HASH_7059B6EE": "次の[format][color:red]幹部[/format]を探せ"
"ACT_MAYHEM_FAIL": "時間切れだ！高得点を狙うならダメージコンボを重ねろ"
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "チーム衝突ボーナス"
"ACT_ESCORT_COMPLETE_MSG": "よくやった！"
"ACT_WHORED_A_TBIRD": "エンジン全開！"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "目標得点に届かなかった。掛け金%lsは没収された"
"STRONGHOLD_START_MESSAGE": "拠点制圧を開始"
"ACTIVITY_CANCELLED_SUB_TEXT": "キャンセルされました"
"ACT_PIMPING_TITLE": "スカウトレベル選択"
"ACT_VANDAL_BONUS_MULTIPLIER": "ボーナス倍数："
"ACT_VANDAL_BAT_MSG": "バット"
"ACT_ESCORT_GETBACK_MSG": "[format][color:yellow]車[/format]に戻れ"
"HASH_E76B14F0": "奪回阻止に失敗した"
"ACT_WHORED_A_PUNCH_DRUNK": "マーセラスもうっとり"
"STICK_ROTATION_UTIL_MESSAGE": "%lsスティックを%ls方向に%f回まわせ（%d秒以内）"
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": "[format][color:green]協力者[/format]が見つかった。救助に向かえ！"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "[format][color:green]協力者[/format]を救出し、連れ戻せ"
"ACT_ESCORT_SATISFIED_MSG": "[format][color:green]客[/format]を降ろせ"
"ACT_WHORED_A_APEX_PRED": "食物連鎖の頂点は誰だ"
"ACT_WHORED_A_PESTS": "いっぱいいるぞ！"
"ACT_WHORED_MINISNIPERS_FAIL": "ハンターが獲物になる"
"ACT_WHORED_ZOMBIES_EXPLODE": "ノーマルゾンビと爆発するゾンビ、こいつは痛いかも"
"ACT_HOSTAGE_START": "人質を開始"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "パトカー"
"ACT_FRAUD_GO_TO_SCORING_AREA": "スコアリングエリアに行け"
"ACT_CHOP_BRING_CAR": "車に乗って来い"
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "タンクメイヘム"
"TEMP_LAST_MINUTE_2": "ヤミ改造工場を開始"
"CHOP_OFF_ROAD_RIMS": "オフロードリム"
"ACT_ZOMBIE_DISPLAY_NAME": "ゾンビの反乱"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "警察"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "標準車ボーナス"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "保険金詐欺車両記録"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "車を失い過ぎだ"
"ACT_WHORED_BAT": "ダメだこりゃ"
"ACT_RUNNING_MAN_INTRO_L_2": "ターゲットを破壊し、敵を始末して2,000ドルの損害額を叩き出せ。時間切れになる前にアリーナから脱出しろ。連続で物を破壊すると、コンボボーナスを獲得できる"
"ACTIVITY_NAME_RUNNING_MAN": "天才ゲンキ博士の\n超絶有頂天\n倫理委員会"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "{SHOULDER_CAM_IMG}を押すとエイムモードになる。{ZOOM_IN_IMG}／{ZOOM_OUT_IMG}でズームイン／ズームアウト"
"ACT_ESCORT_STRIPPER_MSG": "ダンサーが車に乗るまで待て"
"ACT_ESCORT_GETBACK_COUNT_MSG": "%d秒以内に[format][color:yellow]車[/format]に戻れ"
"HORDE_LEVEL_DAEDALUS": "ダイダロス"
"ACT_LEVEL_4": "レベル4"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "%lsを使うとペナルティだ"
"ACT_VANDAL_WEAPON_BONUS_MSG": "%lsを使うとボーナスが出るぞ"
"ACT_TRAFFIC_POLICE_STING_START": "はめられた！警察から[format][color:green]ディーラー[/format]を救出しろ！"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "[format][color:green]ディーラー[/format]を客の元へ連れて行け"
"ACT_HELI_TIMER_TEXT": "残り時間"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "ダンサーが死んでしまった"
"ACT_WHORED_A_CONSCRIPTED": "死してなお仕えるべし"
"ACT_WHORED_GENKI_REVENGE": "天才ゲンキ博士の超絶有頂天倫理委員会！"
"CHOP_STYLISH_RIMS": "スタイリッシュリム"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "破壊ボーナス対象外：[format][color:red]%ls[/format]"
"ACT_WHORED_Z_BIG_BONED": "いやマジで"
"ACT_VANDALISM_COMBO": "コンボ：[format][color:grey]%i[/format]"
"ACT_ZOMBIE_NAME": "ゾンビの反乱"
"ACT_VANDAL_VAN_MINIVAN_MSG": "バン"
"ACT_WHORED_BOWLING_FAIL": "満点は出なかった"
"ACT_WHORED_MONEYSHOTS": "頭を狙え"
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "倒したゾンビ："
"ACT_VANDAL_SUMMARY_UNKNOWN": "不明"
"ACT_TRAFFIC_BUYER_ATTACK": "バイヤーが攻撃を受けている"
"ACT_HELI_NAME": "ヘリアサルト"
"ACT_HELI_CONVOY_BASE_MESSAGE": "%sに到着する前に車列を止めろ"
"ACT_FRAUD_ADRENALINE_TAG": "アドレナリン："
"HASH_57E7C078": "[format][color:red]ギャングの幹部[/format]を全員殺せ"
"ACT_WHORED_MINI_SAMURAI": "カラダ小さくカタナはデカく。大量出血注意"
"STRONGHOLD_RESTART_PROMPT": "この拠点制圧をもう一度プレイしますか？"
"ACT_TORCH_RACE_INSTRUCTIONS1": "チェックポイントを走り抜けてボーナスポイントを残り時間に変換しろ"
"ACT_VANDAL_SUV_MSG": "SUV"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "時間"
"ACT_WHORED_ZOMBIE_UPRISING": "ゾンビ黙示録！ダッシュ使用不可！"
"ACT_RUNNING_MAN_TRAP_EVADE": "トラップ回避"
"ACT_ESCORT_RAGE": "トラの怒り"
"MISSION_SUCCESS_SUB_TEXT": "ミッションクリア！"
"ACT_HUD_CASH_MAX": "ロット"
"ACT_FRAUD_TITLE": "保険金詐欺レベル選択"
"CHOP_STYLISH_HOOD": "スタイリッシュボンネット"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "ディーラーが逮捕された"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "罠だ！[format][color:red]デッカー[/format]を全員始末してから[format][color:green]協力者[/format]たちをスカウトしろ"
"ACT_PIMPING_CAPTURED_HO_DIED": "エステティシャンの1人が死んだ。\n新しいエステティシャンが必要だ"
"ACT_FRAUD_BONUS_DISTANCE": "直線距離ボーナス"
"ACT_WHORED_A_STEELPORT_WAY": "バットvsナイフ"
"ACT_WHORED_D_LEAGUE_OF_OWN": "道具には用心"
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "%ls賭けて%ls獲得を狙う！"
"ACT_HELI_DISH_HUD_TEXT": "破壊した衛星アンテナ"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "ボーナスエリア内で負傷すると\nアドレナリンを多く獲得できる"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "必要な車を[format][color:green]ヤミ改造工場[/format]に引き渡して現金化しろ"
"GARAGE_CANNOT_CUSTOMIZE": "特別仕様車のため改造できない"
"CTS_MESSAGE_GO_PENTHOUSE": "ペントハウスに行く"
"ACT_LEVEL_1": "レベル1"
"ACT_ESCORT_TITLE": "エスコートレベル選択"
"ACT_VANDAL_PISTOL_MSG": "ピストル"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "その車を押さえて盗め"
"HASH_DBD1BF7C": "%sを追い払った"
"ACT_WHORED_HITNRUN": "まとめて始末しろ"
"CHOP_STREET_HOOD": "ストリートボンネット"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "高級車ボーナス"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "報道陣をまけ"
"ACTIVITY_NAME_TRAFFICKING": "デリバリー"
"ACT_ZOMBIE_START": "ゲーム「ゾンビの反乱」をプレイしますか？"
"ACT_VANDAL_OBJECTIVE_2": "破壊コンボをつないでさらにキャッシュを獲得しろ！"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "罠だ！[format][color:green]協力者[/format]たちをスカウトして脱出しろ"
"ACT_HELI_TARGETS_TEXT": "目標達成"
"ACT_WHORED_NINJAS_FAIL": "静かだが破壊的"
"CHOP_STREET_GRILL": "ストリートグリル"
"ACT_VANDAL_THROWN_MSG": "投てき武器"
"ACT_VANDAL_BOAT_MSG": "ボート"
"ACT_PIMPING_HOS_COLON": "エステティシャン："
"ACT_FRAUD_KILLED": "人を殺したため信用がなくなった"
"ACT_WHORED_D_NORMS_REVENGE": "頼りはハンマー"
"ACT_WHORED_STARPOWER": "全武器アップグレード完了！\n触れただけで敵が爆死するぞ！"
"HORDE_CHARACTER_GIMPY": "ギンピー"
"ACT_RUNNING_MAN_WAGER_REJECT_TEXT": "ギャンブルは趣味じゃない。%lsくれ"
"ACT_TRAFFICKING_START": "デリバリーを開始"
"ACT_VANDAL_CAR_COMPACT_MSG": "コンパクトカー"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "バンボーナス"
"ACT_FRAUD_BONUS_DISTRICT": "地区ボーナス"
