"Storye01_In_Crawl_02": "L'histoire de l'humanité."
"Story16_In_04_Player_BM": "Super plan, Kinzie."
"Story11_Out_02_Josh": "Les hommes et les femmes des STAG risquent leur vie chaque jour pour protéger la ville contre les gangs. Vous voulez être un héros? Parlez à un recruteur des STAG. C'est ce que j'ai fait."
"Story08_Out_03_Matt": "Mesdames, c'était un plan pourri."
"Story07_Out_07_Kiki": "Calme-toi, Eddie..."
"Story14_In_07_Killbane": "Non, non, Jane. Je vous en prie. Les Saints sont des criminels. Je peux passer pour un excentrique, mais je ne suis qu'un artiste, un philanthrope, et un..."
"Story11_In_02_Pierce": "J'ai misé 20 000 dollars sur cette partie!"
"Story19_In_09_Reynolds": "Qui d'autre pourrait gouverner cette ville? En plus, j'aime mes électeurs."
"Story07_Out_12_Player_BM": "Parlez à un de ces gars, il vous dira quoi faire. C'est notre heure. Allez, on commence."
"Story02_In_30_Shaundi": "Et pour l'avion?"
"Story02_In_12_Player_BM": "Tu sais vraiment à qui tu as affaire?"
"Story01_In_08_Josh": "Vous braquez une banque habillés en Saints?"
"Story17_In_05_Player_BM": "J'entre avec mes prisonniers, ils me mènent aux cellules, je prends Shaundi, et on se tire."
"Story15_In_09_Player_BM": "Alors, comment on se débarrasse des Deckers?"
"Story01_In_02_Gat": "Le vol qualifié, c'est juste là. Tu te sens prêt?"
