"ACT_WHORED_Z_AGRIZOOPHOBIA": "It's a big problem."
"ACT_ESCORT_ROADBLOCK_MSG": "NEWS VAN ROADBLOCK AHEAD"
"ACT_LEVEL_8": "LEVEL 8"
"ACT_VANDAL_RIFLE_MSG": "RIFLE"
"ACT_VANDAL_BONUS_MULTI_TEAM": "BONUS: KILL %s  (X%d)"
"ACT_HELI_TITLE": "HELI ASSAULT LEVEL SELECTION"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "Use the sniper rifle to protect the [format][color:green]robbers[/format]."
"ACT_ESCORT_OUTRUN": "EVADE YOUR PURSUER"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "THE CLIENT WAS KILLED"
"STRONGHOLD_RESTART_TITLE": "STRONGHOLD FAILED"
"MISSION_FAILURE_SUB_TEXT": "MISSION FAILED"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "Fraud Cliff Diver Record: %.2f feet"
"ACT_FRAUD_IN_AREA": "EARN AS MUCH MONEY AS POSSIBLE BEFORE THE [format][color:teal]SCORING AREA[/format] MOVES"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "YOU RAN OVER THE CLIENT"
"ACTIVITY_NAME_HELI": "HELI ASSAULT"
"LOCALIZE_CHOP_SHOP": "CHOP SHOP"
"ACT_HITMAN_START": "START HITMAN"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "WAVE %d SURVIVED"
"ACT_FRAUD_BEST_HIT_HUD": "BEST HIT:"
"ACT_WHORED_Z_MS_SEBERT": "It's about to..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "Strap it on."
"ACT_WHORED_GIMPS": "Bring out the gimps!"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "Should have respected the meat."
"ACT_LEVEL_5": "LEVEL 5"
"ACT_WHORED_A_AW_NUTS": "You wanna take someone down?  Aim for the junk."
"ACT_WHORED_A_WELCOME": "It's obvious, but it's wave 1..."
"ACT_WHORED_APOC_FAIL": "Shall we pretend that didn't happen?"
"ACT_VANDAL_KNIFE_MSG": "KNIFE"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "TOO MANY HOS DIED, RECRUIT THEM {RECRUIT_DISMISS_IMG} THEN QUICKLY FLEE THE SCENE"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "FRAUD PINBALL CAR RECORD"
"ACT_FRAUD_BONUS_AREA": "AREA BONUS"
"ACT_WHORED_THE_END": "Good luck!"
"HORDE_CHARACTER_COWGIRL": "COWGIRL"
"CTS_MESSAGE_PLACE_BOMBS": "PLACE BOMB"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "COUNTER-CLOCKWISE"
"CHOP_CONVERTIBLE_ROOF": "CONVERTIBLE ROOF"
"ACT_TORCH_FAIL_WATER": "YOU EXTINGUISHED YOUR SUIT, CAREFUL AROUND WATER"
"ACT_GUARDIAN_ANGEL_START": "START GUARDIAN ANGEL"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "RICH DRIVER BONUS"
"ACT_WHORED_D_TOKYO_BEWARE": "There's a little Saint in all of us."
"ACT_WHORED_GRENADIERS": "Hos know how to defend themselves... with grenades!"
"ACT_WHORED_MEGA_WHORE_FAIL": "Bigger doesn't always mean better."
"ACT_RUNNING_MAN_INTRO_L_3": "Get $3,500 by destroying targets, killing enemies, and exiting the arena before time runs out. If you destroy things in quick succession, you will earn a combo bonus."
"ACT_VANDAL_PASSENGER": "PASSENGER"
"ACT_WHORED_ZOMBIESATV_FAIL": "Hit them before they hit you."
"ACT_TRAFFIC_PROTECT_DRIVER": "DRIVE THE [format][color:green]DEALER[/format] TO THE [format][color:teal]CLIENTS[/format]"
"ACT_FRAUD_NO_TIME": "You're out of time."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "QUICK!  CALM THE TIGER DOWN!"
"ACT_WHORED_A_COYOTE_UGLY": "Time to sober up quick."
"ACT_WHORED_D_FEVER_DREAM": "Things just got surreal."
"ACT_CHOP_SHOP_START": "START CHOP SHOP"
"ACT_HELI_VAN_LIFE_TEXT": "VAN'S LIFE"
"ACT_WHORED_Z_HANK_EAST": "He's covered wars ya know."
"ACT_WHORED_A_LEAF_BLOWER": "Clean up this place."
"ACT_WHORED_MINISNIPERS": "One shot, one kill."
"ACT_RUNNING_MAN_TARGET_SHOT": "TARGET SHOT"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "HIGH VALUE TARGETS"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "TIME'S UP"
"ACT_FRAUD_TOTAL_MULTIPLIER": "Total Multiplier: %.2fx"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "ZOMBIE LEVEL SELECTION"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "BAIL-OUT BONUS"
"ACT_WHORED_D_RUNNING_DEAD": "Always save the last round for yourself."
"ACT_WHORED_MINI_BRUTES_FAIL": "Small packages still hurt."
"SUCCESS_CASH_TEXT": "CASH"
"CHOP_STREET_SPOILER": "STREET SPOILER"
"ACT_HELI_PROTECTION_CATCH_UP": "YOUR [format][color:green]HOMIES'[/format] ARE WAITING FOR YOU"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "SPOTTER HAS SEEN A [format][color:red]BIKE[/format] DRIVING UP"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "CLIENT WANTS YOU TO PERFORM THE %ls %ls"
"ACT_WHORED_ROLLERHOS_FAIL": "They are quick and deadly."
"ACT_ESCORT_COURAGE": "COURAGE"
"CHOPCHOP_NONE": "NONE"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "BONUS: USE %s  (X%d)"
"ACT_PIMPING_OBJECTIVE_1": "RECRUIT %d HOS AND BRING THEM BACK TO ZIMOS"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": " SET A CHARGE"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "CIVIL VEHICLE BONUS"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "VEHICLES LEFT: %i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "Or you thought you had super strength."
"ACT_TRAFFICKING_DAMAGE": "DAMAGE "
"BUTTON_MASHING_UTIL_MESSAGE": "YOU HAVE TO HIT THE %ls BUTTON %d MORE TIMES IN %d SECONDS"
"ACT_ZOMBIE_TRIGGER_WARNING": "If you leave, you'll unleash the zombie assault into the world!"
"ACT_ZOMBIE_LIMITED_USES": "Use your weapons wisely.  You only have a limited number of uses."
"ACT_VANDAL_BONUS_VEHICLE": "VEHICLE BONUS"
"ACT_PIMPING_FAIL_KILLED_HO": "YOU KILLED YOUR OWN HO"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "FRAUD COP WITNESS RECORD"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "That's why it's important to tip your stripper; even mini ones."
"ACT_WHORED_MEGA_WHORE": "Wholesale sized."
"ACTIVITY_FAILURE_CANCEL_TEXT": "ACTIVITY CANCELED"
"ACT_TORCH_TIME_ACCRUED": "BONUS:"
"ACT_HELI_DIVIDER_TEXT": "/"
"ACT_MAYHEM_FAIL": "YOU RAN OUT OF TIME! USE MORE DAMAGE COMBOS TO SCORE HIGHER"
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "TEAM HIT BONUS"
"ACT_ESCORT_COMPLETE_MSG": "WELL DONE"
"ACT_WHORED_A_TBIRD": "Fire it up! Fire it up!"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "YOU FAILED TO REACH THE GOAL SCORE. YOUR WAGER OF %ls HAS BEEN LOST."
"STRONGHOLD_START_MESSAGE": "START STRONGHOLD"
"ACTIVITY_CANCELLED_SUB_TEXT": "CANCELED"
"ACT_PIMPING_TITLE": "SNATCH LEVEL SELECTION"
"ACT_VANDAL_BONUS_MULTIPLIER": "BONUS MULTIPLIER: "
"ACT_VANDAL_BAT_MSG": "BASEBALL BAT"
"ACT_ESCORT_GETBACK_MSG": "GET BACK IN THE [format][color:yellow]CAR[/format]"
"ACT_WHORED_A_PUNCH_DRUNK": "Make Marcellus proud."
"STICK_ROTATION_UTIL_MESSAGE": "You have to rotate the %ls stick %ls direction %f times in %d seconds."
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": "THE [format][color:green]CONTACTS[/format] HAVE BEEN DISCOVERED, GO RESCUE THEM"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "RESCUE THE [format][color:green]CONTACTS[/format] AND BRING THEM BACK"
"ACT_ESCORT_SATISFIED_MSG": "DROP THE [format][color:green]CLIENT[/format] OFF"
"ACT_WHORED_A_APEX_PRED": "Show 'em who's on top of the food chain."
"ACT_WHORED_A_PESTS": "They're everywhere!"
"ACT_WHORED_MINISNIPERS_FAIL": "The hunter becomes the prey."
"ACT_WHORED_ZOMBIES_EXPLODE": "Zombies and exploding zombies.  Yes, this could hurt."
"ACT_HOSTAGE_START": "START HOSTAGE"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "POLICE CRUISER"
"ACT_FRAUD_GO_TO_SCORING_AREA": "GO TO THE SCORING AREA"
"ACT_CHOP_BRING_CAR": "Come back with a vehicle."
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "TANK MAYHEM"
"TEMP_LAST_MINUTE_2": "OPEN CHOP SHOP"
"CHOP_OFF_ROAD_RIMS": "OFF ROAD RIMS"
"ACT_ZOMBIE_DISPLAY_NAME": "ZOMBIE UPRISING"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "POLICE"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "STANDARD CAR BONUS"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "FRAUD VEHICLE RECORD"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "Too many cars were lost."
"ACT_WHORED_BAT": "Batters up."
"ACT_RUNNING_MAN_INTRO_L_2": "Get $2,000 by destroying targets, killing enemies, and exiting the arena before time runs out. If you destroy things in quick succession, you will earn a combo bonus."
"ACTIVITY_NAME_RUNNING_MAN": "PROFESSOR GENKI'S SUPER ETHICAL REALITY CLIMAX"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "Press {SHOULDER_CAM_IMG}  to go into Fine Aim mode. Press {ZOOM_IN_IMG}/{ZOOM_OUT_IMG} to zoom in and out"
"ACT_ESCORT_STRIPPER_MSG": "WAIT FOR THE STRIPPER TO GET IN THE CAR"
"ACT_ESCORT_GETBACK_COUNT_MSG": "YOU HAVE %d SECONDS TO GET BACK IN THE [format][color:yellow]CAR[/format]"
"HORDE_LEVEL_DAEDALUS": "DAEDALUS"
"ACT_LEVEL_4": "LEVEL 4"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "YOU GET A PENALTY FOR USING A %ls"
"ACT_VANDAL_WEAPON_BONUS_MSG": "YOU GET A BONUS FOR USING A %ls"
"ACT_TRAFFIC_POLICE_STING_START": "UNDERCOVER STING!  RESCUE THE [format][color:green]DEALER[/format] FROM THE COPS!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "DRIVE THE [format][color:green]DEALER[/format] TO THE CLIENTS"
"ACT_HELI_TIMER_TEXT": "TIME LEFT"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "THE STRIPPER WAS KILLED"
"ACT_WHORED_A_CONSCRIPTED": "Service continues even after death."
"ACT_WHORED_GENKI_REVENGE": "Professor Genki's Super Ethical Explosion Funtime Go!"
"CHOP_STYLISH_RIMS": "STYLISH RIMS"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "YOU EARN NO MONEY FOR DESTROYING [format][color:red]%ls[/format]"
"ACT_WHORED_Z_BIG_BONED": "We really mean it."
"ACT_VANDALISM_COMBO": "COMBO: [format][color:grey]%i[/format]   "
"ACT_ZOMBIE_NAME": "ZOMBIE UPRISING"
"ACT_VANDAL_VAN_MINIVAN_MSG": "VANS"
"ACT_WHORED_BOWLING_FAIL": "No perfect score here."
"ACT_WHORED_MONEYSHOTS": "Aim for the head."
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "ZOMBIES KILLED: "
"ACT_VANDAL_SUMMARY_UNKNOWN": "UNKNOWN"
"ACT_TRAFFIC_BUYER_ATTACK": "THE BUYER IS UNDER ATTACK"
"ACT_HELI_NAME": "HELI ASSAULT"
"ACT_HELI_CONVOY_BASE_MESSAGE": "STOP THE CONVOY BEFORE IT REACHES %s"
"ACT_FRAUD_ADRENALINE_TAG": "ADRENALINE:"
"ACT_WHORED_MINI_SAMURAI": "Small man, huge sword, and lots of blood."
"STRONGHOLD_RESTART_PROMPT": "Would you like to replay this stronghold?"
"ACT_TORCH_RACE_INSTRUCTIONS1": "Race through the checkpoints to convert bonus points into extra time."
"ACT_VANDAL_SUV_MSG": "SUVS"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "TIME "
"ACT_WHORED_ZOMBIE_UPRISING": "Survive the zombie apocalypse... with no sprint!"
"ACT_RUNNING_MAN_TRAP_EVADE": "TRAP EVADE"
"ACT_ESCORT_RAGE": "ANIMAL RAGE"
"MISSION_SUCCESS_SUB_TEXT": "MISSION COMPLETED"
"ACT_HUD_CASH_MAX": "LOTS"
"ACT_FRAUD_TITLE": "FRAUD LEVEL SELECTION"
"CHOP_STYLISH_HOOD": "STYLISH HOOD"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "THE DEALER WAS ARRESTED"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "YOU UNCOVERED A TRAP! KILL ALL THE [format][color:red]DECKERS[/format] BEFORE RECRUITING THE [format][color:green]CONTACTS[/format]."
"ACT_PIMPING_CAPTURED_HO_DIED": "ONE OF YOUR HOS DIED, YOU'LL NEED ANOTHER"
"ACT_FRAUD_BONUS_DISTANCE": "LINEAR DISTANCE BONUS"
"ACT_WHORED_A_STEELPORT_WAY": "He pulls a dildo, you pull a knife."
"ACT_WHORED_D_LEAGUE_OF_OWN": "Look out, Kit."
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "WAGER %ls FOR THE CHANCE AT %ls!"
"ACT_HELI_DISH_HUD_TEXT": "SATELLITE DISHES DESTROYED"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "GETTING HURT IN THIS BONUS AREA WILL EARN YOU EXTRA ADRENALINE"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "Bring required cars to the [format][color:green]chop shop[/format] to earn cash."
"GARAGE_CANNOT_CUSTOMIZE": "NON CUSTOMIZABLE VEHICLE"
"CTS_MESSAGE_GO_PENTHOUSE": "GO TO THE PENTHOUSE"
"ACT_LEVEL_1": "LEVEL 1"
"ACT_ESCORT_TITLE": "ESCORT LEVEL SELECTION"
"ACT_VANDAL_PISTOL_MSG": "PISTOL"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "Catch that car and steal it."
"ACT_WHORED_HITNRUN": "Start mowing them down."
"CHOP_STREET_HOOD": "STREET HOOD"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "LUXURY CAR BONUS"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "EVADE THE PRESS"
"ACTIVITY_NAME_TRAFFICKING": "TRAFFICKING"
"ACT_ZOMBIE_START": "Play Zombie Uprising videogame?"
"ACT_VANDAL_OBJECTIVE_2": "Chain destruction combos for extra money!"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "YOU UNCOVERED A TRAP! RECRUIT THE [format][color:green]CONTACTS[/format] AND GET AWAY."
"ACT_HELI_TARGETS_TEXT": "OBJECTIVES COMPLETED"
"ACT_WHORED_NINJAS_FAIL": "Silent, but deadly."
"CHOP_STREET_GRILL": "STREET GRILL"
"ACT_VANDAL_THROWN_MSG": "THROWN WEAPON"
"ACT_VANDAL_BOAT_MSG": "BOATS"
"ACT_PIMPING_HOS_COLON": "HOS:"
"ACT_FRAUD_KILLED": "You've lost credibility by killing someone."
"ACT_WHORED_D_NORMS_REVENGE": "When all you have is a hammer, everyone starts looking like hoes."
"ACT_WHORED_STARPOWER": "All of your weapons are upgraded and enemies explode at your touch!"
"HORDE_CHARACTER_GIMPY": "GIMPY"
"ACT_RUNNING_MAN_WAGER_REJECT_TEXT": "I DON'T GAMBLE. JUST GIVE ME MY %ls."
"ACT_TRAFFICKING_START": "START TRAFFICKING"
"ACT_VANDAL_CAR_COMPACT_MSG": "COMPACT CARS"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "VAN BONUS"
"ACT_FRAUD_BONUS_DISTRICT": "DISTRICT BONUS"
