"CUST_ITEM_CF_HAIR_MED": "ALLE SPALLE"
"CUST_COMP_EYE_MAKEUP_18": "NOTTE GOTH"
"CUST_VARIANT_MIXED": "MISTO"
"CUST_ITEM_CF_RING_F_STUDRING": "DIAMANTE GREZZO"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "STEAMPUNK CHIC"
"CUST_COMP_TEST_CHEEK_MAKEUP": "TRUCCO DA BAMBOLA"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "OROLOGIO DI LUSSO SAINTS"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "PANTALONCINI STRETTI"
"CUST_ITEM_LPA_M_SPACE_HELMET": "CASCO INTERGALATTICO"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "ALTEZZA PALPEBRA SUP."
"CUST_COLOR_CLOTHING_BLUES_7": "BLU 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "ROSSO ARANCIONE 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "ACCIAIO INOSSIDABILE"
"CUST_VARIANT_TRACK_B": "STILE 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "FEBBRE DA DISCOTECA"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "ELEVAZ. ORECCHIO"
"SLOT_DECAL_7": "DECALCOMANIA 7"
"LOGO_BOOT": "STIVALI"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "MOCASSINI URBANI"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "ALTEZZA DOPPIO MENTO"
"HAIR_COLOR_BLUE": "BLU"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "ALT. GUANCIA"
"VEHICLE_COLOR_BLACK": "NERO"
"SLOT_GAS_TANKS": "SERBATOI"
"CUST_COLOR_CLOTHING_GREENS_6": "VERDE 6"
"CUST_TATTOO_STOMACH_8": "FIORE D'ARTE"
"CUST_COMP_FACE_SCAR_2": "CICATRICE GRANDE 2"
"COLOR_SLOT_WINDOW_NET": "RETE FINESTRINO"
"SLOT_BODY_COLOR": "COLORE CARROZZERIA"
"LOGO_UNIVERSITY_1": "U DI STILWATER 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "URBAN SAFARI CON T-SHIRT SCOLLO ORIZZONTALE"
"VEHICLE_COLOR_DEEP_GRAY": "GRIGIO SCURO"
"CUST_VARIANT_SHIRT_B": "STILE 2"
"CUST_VARIANT_SANDAL": "SANDALO"
"CUST_VARIANT_FLOWER_BAND": "FASCIA FIORI"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "MAGLIA DA PRINCIPESSA SPAZIALE"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "DOPPIO MENTO"
"PLAYER_GENDER_TEXT": "FORMA DEL CORPO"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "TACCHI ALTI MAMBA"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "TAGLIO ORDINATO"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "LARGHEZZA LABBRO SUP."
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "BLU VERDE 1"
"VEHICLE_COLOR_TITANIUM": "TITANIO"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "ARANCIONE GIORNO DI SOLE"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "FOTTETEVI"
"SURGEON_CAT_PRESETS": "PREDEFINITI"
"LOGO_GUITAR": "CHITARRA"
"LOGO_FEEDDOGS": "FEED DOGS"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "CALZAMAGLIA DA PRINCIPESSA SPAZIALE"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "EROE DI STEELPORT"
"PRESET_WARNING_BODY": "Selezionando questo set predefinito annullerai le impostazioni attuali.\nVuoi davvero farlo?"
"CUST_COMP_EYES_DARK_BLUE": "BLU SCURO"
"CUST_COLOR_ORANGE_4": "ARANCIONE 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "PANTALONI DA BONDAGE"
"CUST_TATTOO_UPPER_CHEST": "TORSO IN ALTO"
"CUST_COLOR_CLOTHING_RED_4": "ROSSO 4"
"VEHICLE_COLOR_TINT_40": "TINTA 40%%"
"SLOT_EXHAUST_TIPS": "TUBI DI SCAPPAMENTO"
"LOGO_CAVE_4": "CAVERNA FANTASMI 4"
"CUST_COMP_FACE_WART_1": "VERRUCA 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "GRIGIO NEBBIA"
"COLOR_SLOT_PAINT_2_AND_TRIM": "VERNICE 2 E RIFINITURA"
"IRIDESCENT_4": "IRIDESCENTE 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "CORSETTO STEAMPUNK SEXY"
"CUST_MENU_FIGURE_PRESETS": "SET PREDEFINITI CORPORATURA"
"CUST_VARIANT_PLAID": "SCOZZESE"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "STIVALI DA DONNA COMBATTENTE"
"LOGO_SQD": "SIGMA THETA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "PROFONDO ROSSO"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "PANTALONI DA MANAGER"
"CUST_SKIN_RED_YELLOW_2": "CAROTA"
"CUST_SKIN_METAL_5": "ZAFFIRO"
"COLOR_SLOT_PAINT_2": "VERNICE 2"
"COLOR_SLOT_INTERIOR_2": "INTERNI 2"
"HAIR_COLOR_BLONDE": "BIONDI"
"COMPONENT_OPTION_B": "OPZIONE B"
"CUST_SAMEDI_COMPLIMENT_C": "COMPLIMENTO SAMEDI 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "CAPPELLO DA DETECTIVE"
"CUST_INSULT_LINE": "FATTI SOTTO"
"CANCEL_WARNING_BODY": "Vuoi davvero annullare le modifiche?"
"WARDROBE_TITLE": "GUARDAROBA"
"COLOR_SLOT_RIMS_1": "CERCHIONI 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "SAM 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "GUANTI DA MOTO"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "PROFONDITÀ PUNTA"
"CUST_COLOR_CLOTHING_VIOLET_8": "VIOLA 8"
"HAIR_COLOR_BLEACHED_MATTE": "OSSIGENATI OPACO"
"LOGO_FRECKLE_2": "FRECKLE BITCHS 2"
"CUST_VARIANT_TIGER": "TIGRE"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "SOTTERFUGIO"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "TOTALMENTE ANIMALE"
"CUST_SAMEDI_TAUNT_B": "PROVOCAZIONE SAMEDI 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "PROF. MASCELLA"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "BIANCO CRISTALLO"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "ORECCHINI MORSO DELLO SQUALO"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "ROTAZIONE NASO"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "T-SHIRT SPARATUTTO"
"CUST_TATTOO_ENTIRE_CHEST": "TUTTO IL TORSO"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "LARGHEZZA NARICE"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "MISURA ESTREMITÀ LABBRO SUP."
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "TINTA BLU CHIARO"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "DENTRO, CHIUSA, VITA ALTA, SENZA BRETELLE, CRAVATTA"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "IMPRESSIONS DONNA R"
"CUST_ITEM_FEMALE_LP_BRA_1": "VEDOVA NERA"
"CUST_SKIN_METAL_1": "ARGENTO"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "ANTENNA"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "GIACCA MOLTO STRETTA"
"CUST_ITEM_CF_HAIR_CORNROWS": "SAINTS ROW"
"PLAYER_MORPH_EAR_YAW_TEXT": "PIEGA ORECCHIO"
"FEMALE_BODYBUILDER": "FEMMINA PALESTRATA"
"CUST_VARIANT_GLITTERY": "BRILLANTINI"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "PANTALONI DA ED. FISICA"
"FACIAL_EXPRESSION_DOPEY": "DROGATO"
"LOGO_STILWATER_CYCLE": "STILWATER CYCLES"
"FACTORY_STANDARD_HOOD_W__INTAKE": "COFANO STANDARD DI SERIE CON PRESE D'ARIA"
"LOGO_VOLITION_4": "VOLITION 4"
"CUST_VARIANT_MED_DOTS": "PUNTINI MEDI"
"CUST_WEAR_RIGHT": "DESTRA"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "ARTISTA PEZZENTE"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "PANTALONI LARGHI SAINTS"
"SLOT_DECAL_3": "DECALCOMANIA 3"
"CUST_VARIANT_ARMS": "BRACCIA"
"CUST_CAT_HAIR_COLOR_SECONDARY": "COLORE SECONDARIO CAPELLI"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "CURVA SETTO NASALE"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "Hai raggiunto il numero massimo di oggetti permessi in questa categoria."
"CUST_COLOR_CLOTHING_BLUES_3": "BLU 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "ROSSO ARANCIONE 5"
"HAIR_COLOR_RED_MATTE": "ROSSO BRILLANTE OPACO"
"BRIGHT_ORANGE": "ARANCIONE BRILLANTE"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "BERMUDA AMICONE"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "TACCHI ALTI DA DISCOTECA"
"CUST_CAT_MAKEUP_CHEEKS": "GUANCE"
"CUST_FACIAL_EXP_EMBARRASSED": "IMBARAZZATO"
"PLAYER_MORPH_BROW_CURVE_TEXT": "CURVA SOPRACCIGLIA"
"PLAYER_CREATION_HAIR_LENGTH": "LUNGHEZZA CAPELLI"
"LOGO_HEADSTONE": "HEADSTONE"
"CUST_COLOR_GRAY_2": "GRIGIO 2"
"CUST_VARIANT_DULL": "SMORTO"
"CUST_WEAR_STUD": "SBARRETTA"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "STIVALI DA RAGAZZO RIBELLE"
"SLOT_RIMS_FRONT": "CERCHIONI ANTERIORI"
"SLOT_TAILLIGHTS": "FANALI POSTERIORI"
"SLOT_REAR_BUMPER": "PARAURTI POSTERIORI"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "IMPRESSIONS UOMO N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "DONNA BORGHESE"
"GANG_CUST_RANDOM": "CASUALE"
"CUST_COLOR_CLOTHING_GREENS_2": "VERDE 2"
"CUST_COMP_FACE_SCAR_6": "CICATRICE PICCOLA 2"
"COMPONENT_HIGH_PROFILE": "PROFILO ALTO"
"LOGO_UNIVERSITY_5": "U DI STILWATER 5"
"CUST_WEAR_DEFAULT": "PREDEFINITO"
"CUST_SKIN_BLUE_2": "PROFONDO BLU"
"CUST_COMPLIMENT_Y": "BAU BAU"
"PLAYER_MORPH_JAW_TEXT": "MASCELLA"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "BLU VERDE 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Lancia più distante."
"CUST_GANG_COP": "POLIZIOTTI"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "OCCHIALI TAMARRI"
"CUST_TATTOO_RIGHT_FOREARM": "AVAMBRACCIO DESTRO"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "PROF. GUANCIA"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "DISTANZA ZIGOMO"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "LARGHEZZA CURVA"
"PLAYER_CREATION_TITLE": "CREAZIONE GIOCATORE"
"RIM_SET_019": "SET DI CERCHIONI 19"
"COLOR_SLOT_RIMS": "CERCHIONI"
"CUST_VARIANT_STRIPE_1": "UNA STRISCIA"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "LUPETTO URBAN SAFARI"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "DA SKATER"
"PLAYER_MORPH_EAR_BEND_TEXT": "CURV. ORECCHIO"
"CANT_WEAR_MEDALLION": "Per indossare questo medaglione devi avere una collana lunga o media."
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Aumenta capienza munizioni."
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "STRADA 1"
"CUST_COLOR_CLOTHING_RED_8": "ROSSO 8"
"COLOR_SLOT_DRAPES": "TENDINE"
"CUST_ITEM_FEMALE_LL_BRA_4": "RAGAZZA TOSTA"
"CUST_ITEM_CM_SUIT_CARDINAL": "VESTE DEL CARDINALE"
"FACIAL_EXPRESSION_DEATH_B": "AGONIA 2"
"FACIAL_EXPRESSION_JOYFUL": "GIOIOSO"
"CUST_COLOR_CLOTHING_YELLOWS_3": "GIALLO 3"
"CUST_TATTOO_RUPPARM_3": "DEA EGIZIANA"
"COLOR_SLOT_PAINT_1_AND_RIMS": "VERNICE 1 E CERCHIONI"
"CUST_VARIANT_STONEWASH_JEANS": "LAVATO SU PIETRA"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "RAGAZZA IN MOTO"
"CUST_ITEM_LPA_M_SPACEPACK": "ASTROZAINO"
"PLAYER_MORPH_FACE_AGE_TEXT": "ETÀ VOLTO"
"CUST_GANG_MASCOT": "MASCOTTE"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "CORAZZA DA CAVALIERE"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "CAMICIA FORMALE MODERNA DA UOMO"
"CUST_ITEM_CF_HAIR_LONGBANGS": "CLEOPATRA"
"FACIAL_EXPRESSION_PAIN_C": "SOFFERENZA"
"CUST_BRO_COMPLIMENT_A": "COMPLIMENTO BROTHERHOOD 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "STELLE"
"CUST_VARIANT_HAWAII": "HAWAIANO"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "CONIGLIO"
"CUST_TATTOO_LFORARM_3": "ELIMINA IL GRASSO"
"HAIR_COLOR_LIGHT_BROWN": "MARRONE CHIARO"
"COMPONENT_PAINT_2": "VERNICE 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "GIROCOLLO DA CANE"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "STIVALI DIVERTIMENTO"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS UOMO B"
"CUST_ITEM_GAT_BOBBLE": "PUPAZZO GAT"
"CUST_ITEM_6_LOOPS_RIGHT_2": "CLASSE DA DURO"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "ELEVAZIONE NUCA"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "MOCASSINI DA VECCHIETTO"
"CUST_VOICE": "VOCE"
"CUST_COMP_MUSTACHE_21": "MOSCA"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "MARRONCINO CAFFÈ"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "VERNICE IRIDESCENTE"
"SLOT_MECHANICAL_COLOR": "COLORE MECCANICA"
"CUST_COLOR_TEAL_2": "AZZURRO 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "DONNA DI CLASSE"
"CUST_COMP_EYES_WHITE": "BIANCHI"
"CUST_VARIANT_LIGHT_PLATINUM": "PLATINO CHIARO"
"CUST_INSULT_CHEST": "GONFIA IL PETTO"
"CUST_GANG_MORNING_STAR": "MORNING STAR"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "DESTRA ARROTOLATA, ALTI"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMURAI"
"CUST_TATTOO_RARM_1": "STREET SAINT"
"RIM_155": "LX-14"
"DIRT": "SPORCA"
"CUST_WEAR_RIGHT_ROLLED_UP": "DESTRA ARROTOLATA"
"CUST_ITEM_CM_HAT_MOTORHELMET": "CASCO DA CHOPPER"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "RAGAZZACCIO"
"CUST_MAKEUP_VARIATION": "VARIAZIONI"
"LOGO_BALANCE_2": "BALANCE 2"
"CUST_VARIANT_TIE": "CON CRAVATTA"
"CUST_WEAR_FORWARD_RIGHT": "AVANTI A DESTRA"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "GIACCA MODERNA CON MAGLIONE"
"CUST_ITEM_LEATHER_LACE_MALE_B": "PIACERE E DOLORE"
"CUST_ITEM_CF_HAIR_BEEHIVE": "APE REGINA"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "SANDALI DA CALUMET"
"SLOT_REINFORCED_FRAME": "TELAIO RINFORZATO"
"CUST_COLOR_RED_4": "ROSSO 4"
"LOGO_NUMBER12": "NUMERO 12"
"CUST_VARIANT_2_SIDED_FADE": "DISSOLVENZA SU DUE LATI"
"CUST_WEAR_FRONT RIGHT": "DAVANTI DESTRA"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "CYBERSPAZIO"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "SCARPE DA EMO"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "GUANTI PER GIOCHINI"
"RIM_SET_011": "SET DI CERCHIONI 11"
"CUST_VARIANT_SHINY": "LUCIDO"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "FUORI, CHIUSA, CRAVATTA"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "BUSTINO PER MOMENTI PICCANTI"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "LARGHEZZA SPAZIO NARICI"
"PLAYER_MORPH_HUE_TEXT": "COLORE"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "VIOLA BLU 6"
"SLOT_WINDOW_COVERS": "COPERTURA FINESTRINI"
"SLOT_HOOD_ORNAMENT": "ORNAMENTI PER COFANI"
"BRIGHT_INDIGO": "INDACO BRILLANTE"
"CUST_VARIANT_BIG_STRIPES": "STRISCE SPESSE"
"CUST_VARIANT_POLO_2": "POLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "TOP DI PELLE DA GANG"
"CUST_TATTOO_STOMACH_4": "SOGNANDO GLI UNICORNI"
"CUST_COMP_MUSTACHE_2": "ATTORE PORNO ANNI 80"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "TESCHIO"
"LOGO_RAYS_1": "RAGGI 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "CAPPELLO MEZZOGIORNO DI FUOCO"
"CUST_COMPLIMENT_Q": "SIGNORA DEL CORO"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "CURVA PALPEBRA INF."
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "VOLTO GLOBALE"
"CUST_VARIANT_TIE_DYE_2": "TIE DYE 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "OCCHIALI DA MOSCA"
"CUST_TATTOO_LEFT_FOREARM": "AVAMBRACCIO SINISTRO"
"FACIAL_EXPRESSION_HAPPY": "FELICE"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "PROFONDITÀ CURVA"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "CASCO IMPERO"
"CUST_SKIN_CAUCASIAN_02": "CAUCASICO 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "ROSSO ARANCIONE 9"
"CUST_COMP_FACE_BLOODY_LIP": "SUCCHIOTTO"
"CUST_TATTOO_LEFT_ARM": "TUTTO IL BRACCIO SINISTRO"
"CUST_TATTOO_RARM_5": "PORTATORE DI BELLEZZA"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "SOSPENSIONI IDRAULICHE"
"CUST_VARIANT_SHORTSHORTS": "PANTALONCINI CORTI"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "JOYSTICK JUNKIES HOT SAINT"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "CORSETTO DA STREGA"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "TACCHI DA RAGAZZA BIRICHINA"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "GUANTI COMBATTENTE DI STEELPORT"
"CUST_SKIN_ASIAN_03": "ASIATICO 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "PROFONDITÀ OCCHI"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "TINTA AZZURRO CHIARO"
"RIM_SET_015": "SET DI CERCHIONI 15"
"VEHICLE_PAINT_INTERRIORS": "INTERNI"
"BRIGHT_RED": "ROSSO BRILLANTE"
"FEMALE_AVERAGE": "FEMMINA MEDIA"
"CUST_VARIANT_PRIMARY": "PRIMARIO"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "BLU VERDE 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Detona il veicolo che stai controllando."
"CUST_COMP_FACE_GILLS": "BRANCHIE"
"CUST_COLOR_ROSE_4": "ROSA 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "ALTEZZA CENTRO LABBRO INF."
"CUST_COMP_MUSTACHE_6": "PENNA"
"CUST_VARIANT_SILVER": "ARGENTO"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "GIACCA NEIGHBOR CON GILET"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "JEANS SEMPLICI"
"CUST_FINGERNAILS": "UNGHIE"
"CUST_COMPLIMENT_U": "PUGNI SUL PETTO"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "VIOLA BLU 2"
"CUST_COMP_FACE_DIMPLE": "FOSSETTA"
"CUST_VARIANT_STRIPE": "A STRISCE"
"CUST_WEAR_HIGH_BOTH_ROLLED": "ENTRAMBE ARROTOLATE, ALTI"
"CUST_ITEM_IMPRESSIONS_MALE_B": "IMPRESSIONS UOMO B"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "GILET MARSHMALLOW"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "SOMMITÀ PIATTA, MODELLO B"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "UNGHIE CON MANICURE"
"CUST_WEAR_NORMAL_LOW": "NORMALI, BASSI"
"CUST_COLOR_CLOTHING_VIOLET_4": "VIOLA 4"
"HAIR_COLOR_REDHEAD_MATTE": "ROSSO OPACO"
"CUST_VARIANT_NO_STRIPES": "NORMALE"
"CUST_WEAR_TATTOO_BAND_A": "FASCIA 1"
"CUST_WEAR_HIGH_LEFT_UNZIPPED_RIGHT_ZIPPED": "LAMPO APERTA A SX, ALTI"
"CUST_ITEM_TROOPER_SHADES": "PRONTO PER HOLLYWOOD"
"CUST_COLOR_CLOTHING_YELLOWS_7": "GIALLO 7"
"CUST_TATTOO_RUPPARM_7": "NEL TUO SANGUE"
"CUST_COMP_FACE_BLOODY_NOSE": "NASO ROTTO"
"CUST_VARIANT_TIE_DYE": "TIE DYE"
"player_lips_gloss": "LUCIDALABBRA"
"FACIAL_EXPRESSION_GRUMPY": "BRONTOLONE"
"CUST_TATTOO_LFORARM_7": "BLITZ"
"COLOR_SLOT_TRIM_4": "RIFINITURA 4"
"CUST_ITEM_CF_DLC_WP_OUTFIT": "PRINCIPESSA GUERRIERA"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_F": "TIRO IN SOSPENSIONE"
"CUST_ITEM_LEATHER_JACKET_OUTFIT": "COMPLETO GIACCA DI PELLE"
"CUST_VARIANT_SPORT_SHORTS_2": "STILE 1"
"CUST_ITEM_CF_PSD_LBDY_F_GFXSWEATPANTS": "PINOCCHIETTO DA PANTOFOLAIO"
"PLAYER_MORPH_NOSTRILS_DEPTH_TEXT": "PROFONDITÀ NARICE"
"CUST_COMP_MUSTACHE_25": "IL MARZIANO"
"SLOT_BODY_KIT": "KIT CARROZZERIA"
"CUST_VARIANT_PIMPCOAT_HEARTS": "CUORI"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_G": "SCUOLA D'ARTE"
"PLAYER_MORPH_BALL_WIDTH_TEXT": "LARGHEZZA PUNTA"
"VEHICLE_COLOR_RED_LIGHT_TINT": "TINTA ROSSO CHIARO"
"CUST_VARIANT_SANDALS_03": "NORMALE"
"CUST_ITEM_CM_IMPL_EYES_M_DSSUNGLS": "OCCHIALI RUNWAY DA AVIATORE"
"CUST_ITEM_FEMALE_PS_UNDWEAR_1": "LOGO GIGLIO"
"CUST_CAT_RIGHT_WRIST": "POLSO DESTRO"
"PLAYER_MORPH_JAW_WIDTH_TEXT": "LARGHEZZA MASCELLA"
"COMPONENT_OPTION_1": "OPZIONE 1"
"SLOT_INTERIOR_COLOR": "COLORE INTERNI"
"SK02": "PELLE02"
"CUSTOM_WALK_2": "POSA PAPPONE"
"CUST_WPN_UPGRADE_DESC_SPECIAL_DRONE_3": "Trasporta più missili."
"CUST_TATTOO_LOWBACK_5": "CONFIDIAMO NEL FREDDO ACCIAIO"
"CUST_ITEM_CM_LPE_UBDY_M_MUBODYSUIT": "CORAZZA SOLDATO DEL FUTURO"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_SATCHEL_4": "Trasporta più cariche esplosive."
"CUST_TATTOO_NECK_1": "STELLA MARINA"
"CUST_COMP_BODY_MASK_1": "NIENTE"
"LOGO_MUSEUM_ERO_1": "MUSEO EROMENOS 1"
"CUST_VARIANT_BIKER_NODECAL": "SENZA DECALCOMANIE"
"CUST_VARIANT_PLAIN_NO_TIE": "NORMALE"
"CUST_WEAR_SUSPENDERS": "BRETELLE"
"CUST_ITEM_CM_CNC_UBDY_M_LOGOB": "T-SHIRT CROOKS & CASTLES B"
"CUST_ITEM_SHORT_SOCKS": "SCARPE DEL PAPI"
"CUST_ITEM_BIKER_BOOTS_3": "SCARPE DA PANTOFOLAIO"
"CUST_TATTOO_RIGHT_LEG": "GAMBA DESTRA"
"FACIAL_EXPRESSION_SAD": "TRISTE"
"PLAYER_MORPH_MIDDLE_BROW_ELEVATION_TEXT": "ALT. CENTRO SOPRACCIGLIA"
"CUST_COMP_EYE_MAKEUP_15": "REGINA DEL NILO"
"CUST_COLOR_BLEACHED_BLONDE": "OSSIGENATI"
"CUST_VARIANT_17_DEFAULT": "STILE 2"
"CUST_ITEM_CM_MOCAP_SUIT_M_MOCAP": "IL CATTURAMOVIMENTO"
"CUST_ITEM_FEMALE_LP_UNDWEAR_1": "PERIZOMA DIVERTIMENTO"
"PRESET_WARNING_HEADING": "ATTENZIONE"
"CUSTOM_WALK_MALE": "UOMO PREDEFINITO"
"PLAYER_MORPH_EYE_SPACING_TEXT": "DISTANZA OCCHIO"
