"CUST_ITEM_CF_HAIR_MED": "PO RAMENA"
"CUST_ITEM_FEMALE_IMPRESSIONS_EARRINGS_1": "DIAMANTOVÉ NÁUŠNICE"
"CUST_COLOR_CLOTHING_YELLOW_GREEN_4": "ŽLUTOZELENÁ 4"
"CUST_TATTOO_CHEST_7": "ŠŤASTNÁ DUHA"
"LEVEL_2": "ÚROVEŇ 2"
"CUST_VARIANT_BABYT_OG": "OG"
"CUST_ITEM_MALE_GATSUIT": "MASKOT JOHNNYHO GATA"
"CUST_ITEM_CM_NLMC_LWRST_M_WRISTBANDS": "NÁRAMEK LOVE2RAVE"
"CUST_ITEM_FEMALE_LL_EARRINGS_2": "NÁUŠNICE PRAVÉ LÁSKY"
"CUST_ITEM_CM_LPH_UBDY_M_PIRATESHIRT": "PIRÁTSKÁ KOŠILE"
"PLAYER_MORPH_FACE_WIDTH_TEXT": "ŠÍŘKA OBLIČEJE"
"CUST_COMP_EYES_BLUE": "MODRÁ"
"SLOT_INTERIOR": "INTERIÉRY"
"PAINT_4": "LAK 4"
"CUST_ITEM_CF_NLMH_RWRST_F_WRISTBANDS": "NÁRAMKY PARTY TIME"
"CUST_VOICE_FEMALE_BLACK": "ŽENA 2"
"CUST_COLOR_CLOTHING_YELLOW-ORANGE_1": "ŽLUTOORANŽOVÁ 1"
"CUST_TATTOO_LHAND_3": "NENÁVISTNÁ VÝHEŇ"
"VEHICLE_COLOR_FROSTED_BLUE": "ZAMRZLÁ MODŘ"
"PLAYER_MORPH_GLOBAL_FACE_TEXT": "CELKOVÝ VZHLED OBLIČEJE"
"PLAYER_MORPH_BOTTOM_LIP_EDGES_SIZE_TEXT": "VELIKOST OKRAJŮ DOLNÍHO RTU"
"CUST_TATTOO_LOWBACK_8": "KŘIVKA, NÍZKO"
"SLOT_TRUNK": "KUFRY"
"CUST_VARIANT_CHILD_HEMP": "STYL 1"
"CUST_VARIANT_WITH_DECALS": "POTISKY"
"CUST_ITEM_CF_HAIR_LONGHIPONYBANGS": "ROZTLESKÁVAČKA"
"CUST_CAT_FACE": "OBLIČEJ"
"CLOTHES_INSUFFICIENT_FUNDS_TEXT": "\n\"%s\" stojí víc, než si můžeš dovolit."
"CUST_COMP_MALE_EYEBROWS_1": "TLUSTÉ MUŽSKÉ"
"COMPONENT_EXTRA_HIGH_PROFILE": "EXTRA VYSOKÝ PROFIL"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS": "ZASTRČENÉ, ZAPNUTÉ"
"CUST_ITEM_CF_DLC_EYES_F_BCAN": "BRÝLE KRVAVÉ KANONESY"
"CUST_SKIN_GREEN_4": "ČTYŘLÍSTKOVÁ ZELENÁ"
"CUST_MOVEMENT_FACE": "VÝRAZ TVÁŘE"
"CUST_RONIN_TAUNT_A": "URÁŽKA RONINŮ 1"
"PLAYER_MORPH_CHEEKBONES_SIZE_TEXT": "VELIKOST LÍCNÍCH KOSTÍ"
"CUST_COLOR_CLOTHING_ORANGE_6": "ORANŽOVÁ 6"
"CUST_COMP_EYE_MAKEUP_18": "GOTICKÁ NOC"
"CUST_VARIANT_MIXED": "MIX"
"CUST_ITEM_CF_RING_F_STUDRING": "DIAMANTOVÁ SADA"
"CUST_ITEM_CF_NLMF_LBDY_F_SKIRTHOLSTER": "STEAMPUNK CHIC"
"CUST_COMP_TEST_CHEEK_MAKEUP": "POŘÁDNĚ VYMALOVÁNO"
"CUST_ITEM_CM_PSI_WRST_M_WATCH": "LUXUSNÍ HODINKY SVATÝCH"
"CUST_ITEM_CF_PSE_LBDY_F_SHORTSHORTS": "KRÁTKÉ ELASŤÁKY"
"CUST_ITEM_LPA_M_SPACE_HELMET": "INTERGALAKTICKÁ HELMA"
"PLAYER_MORPH_UPPER_EYELIDS_PITCH_TEXT": "VÝŠKA HORNÍHO VÍČKA"
"CUST_COLOR_CLOTHING_BLUES_7": "MODRÁ 7"
"CUST_COLOR_CLOTHING_RED-ORANGE_1": "ČERVENOORANŽOVÁ 1"
"VEHICLE_COLOR_STAINLESS_STEEL": "NEREZOVÁ OCEL"
"CUST_VARIANT_TRACK_B": "STYL 3"
"CUST_VARIANT_MATERIAL_4GVSDF": "CUST_VARIANT_MATERIAL#4GVSDF"
"CUST_ITEM_LEATHER_LACE_MALE_N": "HOREČKA SOBOTNÍ NOCI"
"PLAYER_MORPH_EARS_ELEVATION_TEXT": "VÝŠKA UŠÍ"
"SLOT_DECAL_7": "POTISK 7"
"LOGO_BOOT": "BOTA"
"CUST_ITEM_CM_IMPN_FOOT_M_LEATHERSHOES": "METRO KOŽENÉ BOTY"
"PLAYER_MORPH_DOUBLE_CHIN_HEIGHT_TEXT": "VÝŠKA DVOJITÉ BRADY"
"HAIR_COLOR_BLUE": "MODRÁ"
"PLAYER_MORPH_CHEEKS_ELEVATION_TEXT": "VÝŠKA TVÁŘÍ"
"VEHICLE_COLOR_BLACK": "ČERNÁ"
"SLOT_GAS_TANKS": "NÁDRŽE"
"CUST_COLOR_CLOTHING_GREENS_6": "ZELENÁ 6"
"CUST_TATTOO_STOMACH_8": "FLEUR D'ART"
"CUST_COMP_FACE_SCAR_2": "VELKÁ JIZVA 2"
"COLOR_SLOT_WINDOW_NET": "SÍŤOVÁNÍ OKNA"
"SLOT_BODY_COLOR": "BARVA KAPOTY"
"LOGO_UNIVERSITY_1": "STILWATERSKÁ UNIVERZITA 1"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2C": "URBAN SAFARI S TRIKEM"
"VEHICLE_COLOR_DEEP_GRAY": "TMAVĚ ŠEDÁ"
"CUST_VARIANT_SHIRT_B": "STYL 2"
"CUST_VARIANT_SANDAL": "SANDÁL"
"CUST_VARIANT_FLOWER_BAND": "KVĚTINOVÝ PÁSEK"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_TORSO": "VRŠEK VESMÍRNÉ PRINCEZNY"
"PLAYER_MORPH_DOUBLE_CHIN_TEXT": "DVOJITÁ BRADA"
"PLAYER_GENDER_TEXT": "TVAR TĚLA"
"CUST_ITEM_CF_LLT_FOOT_F_RBDHEELS": "BOTY MAMBA"
"CUST_ITEM_CM_HAIR_CLIPPEREDSHORT": "SESTŘIH S VÝBRUSEM"
"PLAYER_MORPH_UPPER_LIP_WIDTH_TEXT": "ŠÍŘKA HORNÍHO RTU"
"CUST_COLOR_CLOTHING_BLUE-GREEN_1": "MODROZELENÁ 1"
"VEHICLE_COLOR_TITANIUM": "TITAN"
"VEHICLE_COLOR_BRIGHT_DAY_ORANGE": "ORANŽOVÁ PRO JASNÝ DEN"
"LOGO_MURRY": "MURRY"
"CUST_INSULT_R": "EFF YOU TWO"
"SURGEON_CAT_PRESETS": "PŘEDVOLBY"
"LOGO_GUITAR": "KYTARA"
"LOGO_FEEDDOGS": "FEED DOGS"
"CUST_ITEM_CF_DLC_SPACE_LBDY_F_LEGGINGS": "PUNČOCHY VESMÍRNÉ PRINCEZNY"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_C": "STEELPORTSKÝ HRDINA"
"PRESET_WARNING_BODY": "Tímto krokem zrušíš stávající nastavení. \nPřeješ si pokračovat?"
"CUST_COMP_EYES_DARK_BLUE": "TMAVĚ MODRÁ"
"CUST_COLOR_ORANGE_4": "ORANŽOVÁ 4"
"CUST_ITEM_CF_LLJ_LBDY_F_LTHRPANTS": "BONDÁŽOVÉ KALHOTY"
"CUST_TATTOO_UPPER_CHEST": "HRUDNÍK NAHOŘE"
"CUST_COLOR_CLOTHING_RED_4": "ČERVENÁ 4"
"VEHICLE_COLOR_TINT_40": "ODSTÍN 40%%"
"SLOT_EXHAUST_TIPS": "VÝFUKY"
"LOGO_CAVE_4": "FANTÓMOVA JESKYNĚ 4"
"CUST_COMP_FACE_WART_1": "BRADAVICE 1"
"VEHICLE_COLOR_HAZY_DAY_GRAY": "ŠEĎ ZAMRAČENÉHO DNE"
"COLOR_SLOT_PAINT_2_AND_TRIM": "LAK 2 A LEMOVÁNÍ"
"IRIDESCENT_4": "DUHOVÁ 4"
"CUST_ITEM_CF_NLMF_UBDY_F_SHIRTCORSET": "STEAMPUNKOVÝ KORZET"
"CUST_MENU_FIGURE_PRESETS": "PŘEDVOLBY POSTAVY"
"CUST_VARIANT_PLAID": "PLÉD"
"CUST_ITEM_CF_PSB_FOOT_F_COMBATBOOTS": "DÁMSKÉ KANADY"
"LOGO_SQD": "SIGMA THÉTA DELTA"
"CUST_ITEM_FEMALE_LP_BRA_5": "VELKÁ RUDÁ"
"CUST_ITEM_CF_PSH_LBDY_F_OSDRESSPANTS": "OBLEKOVÉ KALHOTY"
"CUST_SKIN_RED_YELLOW_2": "MRKVOVÁ"
"CUST_SKIN_METAL_5": "SAFÍROVÁ"
"COLOR_SLOT_PAINT_2": "LAK 2"
"COLOR_SLOT_INTERIOR_2": "INTERIÉR 2"
"HAIR_COLOR_BLONDE": "BLOND"
"COMPONENT_OPTION_B": "OPTION B (SHOULD NOT BE USED)"
"CUST_SAMEDI_COMPLIMENT_C": "POKLONA SYNŮ SAMEDIHO 3"
"RIM_132": "R132"
"CUST_ITEM_CM_PSD_HAT_M_FEDORA": "DETEKTIVNÍ KLOBOUK"
"CUST_INSULT_LINE": "ZKUS SI TO"
"CANCEL_WARNING_BODY": "Opravdu chceš změny zrušit?"
"WARDROBE_TITLE": "ŠATNÍK"
"COLOR_SLOT_RIMS_1": "RÁFKY 2"
"CUST_WEAR_TATTOO_SAM_DESIGN2": "SAMŮV NÁVRH 2"
"CUST_ITEM_CF_LLT_HAND_F_MGLOVES": "RUKAVICE NA PLNÝ PLYN"
"PLAYER_MORPH_BALL_DEPTH_TEXT": "HLOUBKA ŠPIČKY NOSU"
"CUST_COLOR_CLOTHING_VIOLET_8": "FIALOVÁ 8"
"HAIR_COLOR_BLEACHED_MATTE": "MATNÁ BLOND, ODBARVENÁ"
"LOGO_FRECKLE_2": "PIHATÝ DĚVKY 2"
"CUST_VARIANT_TIGER": "TYGR"
"CUST_ITEM_CM_NLME_UBDY_M_TCOATCOMBO2": "ZÁKEŘŇÁK"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_G": "TOTÁLNÍ ZVÍŘE"
"CUST_SAMEDI_TAUNT_B": "URÁŽKA SYNŮ SAMEDIHO 2"
"PLAYER_MORPH_JAW_DEPTH_TEXT": "HLOUBKA ČELISTÍ"
"VEHICLE_COLOR_CRYSTAL_DECANTER_WHITE": "KŘIŠŤÁLOVĚ BÍLÁ"
"CUST_ITEM_FEMALE_LP_EARRINGS_3": "NÁUŠNICE ŽRALOČÍ SKUS"
"PLAYER_MORPH_NOSE_ROLL_TEXT": "ZAKROUCENÍ NOSU"
"RIM_193": "AF1 MONOBLOCK 110"
"CUST_ITEM_CF_NLMD_UBDY_F_PISTOL": "PISTOLOVÉ TRIČKO"
"CUST_TATTOO_ENTIRE_CHEST": "CELÝ HRUDNÍK"
"PLAYER_MORPH_NOSTRILS_WIDTH_TEXT": "ŠÍŘKA NOSNÍCH DÍREK"
"PLAYER_MORPH_UPPER_LIP_EDGES_SIZE_TEXT": "VELIKOST OKRAJŮ HORNÍHO RTU"
"VEHICLE_COLOR_BLUE_LIGHT_TINT": "SVĚTLE MODRÝ ODSTÍN"
"CUST_WEAR_TUCKED_BUTTONED_HIGH_PANT_NO_SUSPENDERS_TIE": "ZASTRČENÉ, ZAPNUTÉ, VYSOKÉ KALHOTY, BEZ KŠAND, KRAVATA"
"CUST_ITEM_IMPRESSIONS_FEMALE_R": "IMPRESSIONS ŽENA R"
"CUST_ITEM_FEMALE_LP_BRA_1": "KOUSNUTÍ PAVOUKA"
"CUST_SKIN_METAL_1": "STŘÍBRNÁ MATNÁ"
"RIM_178": " SD EDV2"
"CUST_ITEM_CM_HEAD_M_ANTENNA": "ANTÉNA"
"CUST_ITEM_CF_LLK_UBDY_F_LATEXJACKET": "LATEXOVÝ KORZET"
"CUST_ITEM_CF_HAIR_CORNROWS": "PROUŽKY SVATÝCH"
"PLAYER_MORPH_EAR_YAW_TEXT": "VYBOČENÍ UCHA"
"FEMALE_BODYBUILDER": "KULTURISTKA"
"CUST_VARIANT_GLITTERY": "TŘPYTIVÝ"
"CUST_ITEM_CF_PSF_LBDY_F_GFXTRACKPANTS": "SPORTOVNÍ TEPLÁKY"
"FACIAL_EXPRESSION_DOPEY": "PŘIPITOMĚLÝ"
"LOGO_STILWATER_CYCLE": "STILWATERSKÁ KOLA"
"FACTORY_STANDARD_HOOD_W__INTAKE": "FACTORY STANDARD HOOD W/INTAKE (SHOULD NOT BE USED)"
"LOGO_VOLITION_4": "ROZHODNUTÍ 4"
"CUST_VARIANT_MED_DOTS": "STŘEDNÍ TEČKY"
"CUST_WEAR_RIGHT": "VPRAVO"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_J": "HLADOVĚJÍCÍ UMĚLEC"
"CUST_ITEM_CM_PSI_LBDY_M_SAGPANTS": "VOLNÉ KALHOTY SVATÝCH"
"SLOT_DECAL_3": "POTISK 3"
"CUST_VARIANT_ARMS": "PAŽE"
"CUST_CAT_HAIR_COLOR_SECONDARY": "VEDLEJŠÍ BARVA VLASŮ"
"PLAYER_MORPH_BRIDGE_CURVE_TEXT": "ZAKŘIVENÍ KOŘENE NOSU"
"CUST_MENU_CATEGORY_LIMIT_REACHED": "Víc položek v této kategorii už mít nemůžeš. Toto je maximum."
"CUST_COLOR_CLOTHING_BLUES_3": "MODRÁ 3"
"CUST_COLOR_CLOTHING_RED-ORANGE_5": "ČERVENOORANŽOVÁ 5"
"HAIR_COLOR_RED_MATTE": "MATNÁ SVĚTLE ČERVENÁ"
"BRIGHT_ORANGE": "SVĚTLE ORANŽOVÁ"
"CUST_ITEM_CM_NLMB_LBDY_M_SHORTS": "ŠORTKY BROSEPH"
"CUST_ITEM_CF_IMPP_FOOT_HEELSTRAP": "VEČÍRKOVÉ STŘEVÍCE"
"CUST_CAT_MAKEUP_CHEEKS": "TVÁŘE"
"CUST_FACIAL_EXP_EMBARRASSED": "ROZPAČITÝ"
"PLAYER_MORPH_BROW_CURVE_TEXT": "ZAKŘIVENÍ OBOČÍ"
"PLAYER_CREATION_HAIR_LENGTH": "DÉLKA VLASŮ"
"LOGO_HEADSTONE": "NÁHROBNÍ KÁMEN"
"CUST_COLOR_GRAY_2": "ŠEDÁ 2"
"CUST_VARIANT_DULL": "BEZVÝRAZNÉ"
"CUST_WEAR_STUD": "CVOČEK"
"CUST_ITEM_CF_NLMB_FOOT_F_LACEDBOOTS": "BOTY REBEL KID"
"SLOT_RIMS_FRONT": "PŘEDNÍ RÁFKY"
"SLOT_TAILLIGHTS": "ZADNÍ SVĚTLA"
"SLOT_REAR_BUMPER": "ZADNÍ NÁRAZNÍKY"
"LOGO_VEGAS": "VEGAS"
"LOGO_GYROS": "COMPANY OF GYROS"
"CUST_ITEM_IMPRESSIONS_MALE_N": "IMPRESSIONS MUŽ N"
"CUST_ITEM_CF_HAIR_SCARLETJOHANSSON": "DÁMA Z JIHU"
"GANG_CUST_RANDOM": "NÁHODNÝ"
"CUST_COLOR_CLOTHING_GREENS_2": "ZELENÁ 2"
"CUST_COMP_FACE_SCAR_6": "MALÁ JIZVA 2"
"COMPONENT_HIGH_PROFILE": "VYSOKÝ PROFIL"
"LOGO_UNIVERSITY_5": "STILWATER U 5"
"CUST_WEAR_DEFAULT": "VÝCHOZÍ"
"CUST_SKIN_BLUE_2": "TMAVĚ MODRÁ"
"CUST_COMPLIMENT_Y": "HAF HAF"
"PLAYER_MORPH_JAW_TEXT": "ČELIST"
"CUST_COLOR_CLOTHING_BLUE-GREEN_5": "MODROZELENÁ 5"
"CUST_WPN_UPGRADE_DESC_GRENADE_ELECTRIC_3": "Dohodíš dál."
"CUST_GANG_COP": "POLICAJT"
"CUST_ITEM_CF_PSG_EYES_F_GFXSUNGLASSES": "BLOKÁTOR NENÁVISTI"
"CUST_TATTOO_RIGHT_FOREARM": "PRAVÉ PŘEDLOKTÍ"
"PLAYER_MORPH_CHEEKS_DEPTH_TEXT": "HLOUBKA TVÁŘÍ"
"PLAYER_MORPH_CHEEKBONES_SPACING_TEXT": "ROZESTUP LÍCNÍCH KOSTÍ"
"PLAYER_MORPH_SLOPE_WIDTH_TEXT": "ŠÍŘKA HŘBETU NOSU"
"PLAYER_CREATION_TITLE": "TVORBA POSTAVY"
"RIM_SET_019": "SADA RÁFKŮ 19"
"COLOR_SLOT_RIMS": "RÁFKY"
"CUST_VARIANT_STRIPE_1": "PRUH"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2D": "ROLÁK URBAN SAFARI"
"CUST_ITEM_CM_HAIR_SKATERBOWL": "SKATERSKÝ SESTŘIH"
"PLAYER_MORPH_EAR_BEND_TEXT": "TVAR UCHA"
"CANT_WEAR_MEDALLION": "Tento medailon můžeš mít pouze na dlouhém nebo středně dlouhém řetízku"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_2": "Zvětšení zásobníku."
"LOGO_EZZZY": "EZZZY 105"
"STREET_1": "ULICE 1"
"CUST_COLOR_CLOTHING_RED_8": "ČERVENÁ 8"
"COLOR_SLOT_DRAPES": "ZÁCLONKY"
"CUST_ITEM_FEMALE_LL_BRA_4": "DRSNÁ HOLKA"
"CUST_ITEM_CM_SUIT_CARDINAL": "7"
"FACIAL_EXPRESSION_DEATH_B": "SMRTKA 2"
"FACIAL_EXPRESSION_JOYFUL": "RADOSTNÝ"
"CUST_COLOR_CLOTHING_YELLOWS_3": "ŽLUTÁ 3"
"CUST_TATTOO_RUPPARM_3": "EGYPTSKÁ BOHYNĚ"
"COLOR_SLOT_PAINT_1_AND_RIMS": "LAK 1 A RÁFKY"
"CUST_VARIANT_STONEWASH_JEANS": "VYPRANÉ"
"CUST_ITEM_LEATHER_LACE_FEMALE_J": "MOTORKÁŘKA"
"CUST_ITEM_LPA_M_SPACEPACK": "ASTROPAK"
"PLAYER_MORPH_FACE_AGE_TEXT": "STÁŘÍ OBLIČEJE"
"CUST_GANG_MASCOT": "MASKOT"
"CUST_ITEM_CM_DLC_SUIT_M_KNIGHT": "RYTÍŘSKÁ ZBROJ"
"CUST_ITEM_CM_IMPN_UBDY_M_TIE": "MODERNÍ KOŠILE K OBLEKU"
"CUST_ITEM_CF_HAIR_LONGBANGS": "EGYPTSKÁ PRINCEZNA"
"FACIAL_EXPRESSION_PAIN_C": "UTRPENÍ"
"CUST_BRO_COMPLIMENT_A": "POKLONA BRATRSTVA 1"
"LOGO_XXXY": "XX/XY"
"CUST_VARIANT_STAR": "HVĚZDY"
"CUST_VARIANT_HAWAII": "HAVAJSKÝ"
"CUST_ITEM_CM_LPG_MASK_M_MASKRABBIT": "VELKÝ KRÁLÍK"
"CUST_TATTOO_LFORARM_3": "BŘITVA"
"HAIR_COLOR_LIGHT_BROWN": "SVĚTLE HNĚDÁ"
"COMPONENT_PAINT_2": "LAK 2"
"CUST_ITEM_CM_NECK_LL_STUDCHOKER": "OBOJEK ALFA SAMCE"
"CUST_ITEM_CM_DLC_FOOT_M_GPBOOTS": "GENKIHO BOTY PRO ZÁBAVU"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_B": "PLANET SAINTS MUŽ B"
"CUST_ITEM_GAT_BOBBLE": "GATOVA MASKA"
"CUST_ITEM_6_LOOPS_RIGHT_2": "KLASICKÉ VLASY"
"PLAYER_MORPH_NECK_BACK_ELEVATION_TEXT": "POSAZENÍ ZADNÍ STRANY KRKU"
"CUST_ITEM_CM_IMPO_FOOT_M_MOCCASINS": "USEDLÉ MOKASÍNY"
"CUST_VOICE": "HLAS"
"CUST_COMP_MUSTACHE_21": "MUŠKA"
"VEHICLE_COLOR_COFFEE_CREAMER_TAN": "BARVA BÍLÉ KÁVY"
"VEHICLE_PAINT_IRIDESCENT_PAINT": "MĚŇAVÝ LAK"
"SLOT_MECHANICAL_COLOR": "MECHANICKÁ BARVA"
"CUST_COLOR_TEAL_2": "MODROZELENÁ 2"
"LOGO_ADULT_SWIM": "ADULT SWIM WDDTCPDG"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_C": "HOLKA Z MĚSTA"
"CUST_COMP_EYES_WHITE": "BÍLÁ"
"CUST_VARIANT_LIGHT_PLATINUM": "LEHKÁ PLATINA"
"CUST_INSULT_CHEST": "PROVOKACE"
"CUST_GANG_MORNING_STAR": "MORNING STAR"
"CUST_WEAR_RIGHT_ROLLED_HIGH": "SROLOVAT PRAVOU, VYSOKO"
"CUST_ITEM_CM_DLC_SAM_OUTFIT": "SAMURAJ"
"CUST_TATTOO_RARM_1": "SVATÝ Z ULICE"
"RIM_155": "LX-14"
"DIRT": "ŠPÍNA"
"CUST_WEAR_RIGHT_ROLLED_UP": "SROLOVAT PRAVOU NAHORU"
"CUST_ITEM_CM_HAT_MOTORHELMET": "LETECKÁ HELMA"
"CUST_ITEM_CM_HAIR_WILDMESSY1": "RAUBÍŘ"
"CUST_MAKEUP_VARIATION": "MOŽNOSTI"
"LOGO_BALANCE_2": "ROVNOVÁHA 2"
"CUST_VARIANT_TIE": "S KRAVATOU"
"CUST_WEAR_FORWARD_RIGHT": "DOPŘEDU VPRAVO"
"CUST_ITEM_CM_IMPN_UBDY_M_CJSWEATER": "MODERNÍ KABÁT A SVETR"
"CUST_ITEM_LEATHER_LACE_MALE_B": "POTĚŠENÍ A BOLEST"
"CUST_ITEM_CF_HAIR_BEEHIVE": "VČELÍ ÚL"
"CUST_ITEM_CF_NLME_FOOT_F_SANDALS": "SANDÁLY DÝMKA MÍRU"
"SLOT_REINFORCED_FRAME": "ZESÍLENÝ RÁM"
"CUST_COLOR_RED_4": "ČERVENÁ 4"
"LOGO_NUMBER12": "ČÍSLO 12"
"CUST_VARIANT_2_SIDED_FADE": "OBOUSTRANÉ, VYBLEDLÉ"
"CUST_WEAR_FRONT RIGHT": "VZADU VPRAVO"
"CUST_ITEM_CYBER_AVATAR_OUTFIT": "KYBERPROSTOR"
"CUST_ITEM_CM_NLMG_FOOT_M_CSHOES": "EMO TENISKY"
"CUST_ITEM_CM_LLA_HAND_M_LTXGLOVES": "ZLOBIVÉ RUKAVICE"
"RIM_SET_011": "SADA RÁFKŮ 11"
"CUST_VARIANT_SHINY": "TŘPYTIVÝ"
"CUST_WEAR_UNTUCKED_BUTTONED_TIE": "NEZASTRČENÉ, ZAPNUTÉ, KRAVATA"
"CUST_ITEM_CF_LLR_UBDY_F_LACEBUSTIER": "KORZET SVŮDNICE"
"PLAYER_MORPH_NOSTRIL_MIDDLE_WIDTH_TEXT": "ŠÍŘKA PŘEPÁŽKY"
"PLAYER_MORPH_HUE_TEXT": "ZTMAVENÍ"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_6": "MODROFIALOVÁ 6"
"SLOT_WINDOW_COVERS": "KRYTY OKEN"
"SLOT_HOOD_ORNAMENT": "ZDOBENÍ KAPOTY"
"BRIGHT_INDIGO": "SVĚTLE INDIGOVÁ"
"CUST_VARIANT_BIG_STRIPES": "ŠIROKÉ PRUHY"
"CUST_VARIANT_POLO_2": "PÓLO 2"
"CUST_ITEM_CF_LLS_UBDY_F_LEATHERTOP": "KOŽENÝ PLÁŠŤ GANG"
"CUST_TATTOO_STOMACH_4": "SNY JEDNOROŽCE"
"CUST_COMP_MUSTACHE_2": "KNÍR PORNOHERCE"
"RIM_201": "RBP REVOLVER 3 PIECE"
"LOGO_SKULL_1": "LEBKA"
"LOGO_RAYS_1": "PAPRSKY 1"
"CUST_ITEM_CF_LPG_COWGIRLHAT": "KLOBOUK PRO KOVBOJKU"
"CUST_COMPLIMENT_Q": "KANKÁN"
"PLAYER_MORPH_LOWER_EYELIDS_ROLL_TEXT": "ZAKŘIVENÍ DOLNÍHO VÍČKA"
"PLAYER_MORPH_FACE_GLOBAL_TEXT": "CELKOVÝ VZHLED OBLIČEJ"
"CUST_VARIANT_TIE_DYE_2": "BATIKA 2"
"CUST_ITEM_LARGE_ROUND_GLASSES": "VELKÉ BRÝLE"
"CUST_TATTOO_LEFT_FOREARM": "LEVÉ PŘEDLOKTÍ"
"FACIAL_EXPRESSION_HAPPY": "ŠŤASTNÝ"
"PLAYER_MORPH_SLOPE_DEPTH_TEXT": "HLOUBKA HŘBETU NOSU"
"CUST_ITEM_CM_LPE_HAT_M_MHELMET": "IMPERIÁLNÍ HELMA"
"CUST_SKIN_CAUCASIAN_02": "BĚLOCH 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_9": "ČERVENOORANŽOVÁ 9"
"CUST_COMP_FACE_BLOODY_LIP": "ROZBITÝ RET"
"CUST_TATTOO_LEFT_ARM": "CELÁ LEVÁ RUKA"
"CUST_TATTOO_RARM_5": "KRÁSONOŠ"
"RIM_151": "CVX-55"
"COMPONENT_ADD_HYDRAULICS": "HYDRAULIKA"
"CUST_VARIANT_SHORTSHORTS": "KRÁTKÉ KRAŤASY"
"CUST_ITEM_CM_JOY_UBDY_TATTOO": "JOYSTICK JUNKIES HOT SAINT"
"CUST_ITEM_CF_LLS_UBDY_F_CORSET": "KORZET PRO DRAČICI"
"CUST_ITEM_CF_LLR_FOOT_F_SANDALS": "SVŮDNÉ OTEVŘENÉ BOTY"
"CUST_ITEM_CF_LPE_HAND_F_MGLOVES": "RUKAVICE STEELPORTSKÉHO RVÁČE"
"CUST_SKIN_ASIAN_03": "ASIAT 3"
"PLAYER_MORPH_EYE_DEPTH_TEXT": "HLOUBKA OKA"
"VEHICLE_COLOR_TEAL_LIGHT_TINT": "SVĚTLE NAZELENALÝ ODSTÍN"
"RIM_SET_015": "SADA RÁFKŮ 15"
"VEHICLE_PAINT_INTERRIORS": "INTERIÉRY"
"BRIGHT_RED": "SVĚTLE ČERVENÁ"
"FEMALE_AVERAGE": "BĚŽNÁ ŽENA"
"CUST_VARIANT_PRIMARY": "HLAVNÍ"
"CUST_COLOR_CLOTHING_BLUE-GREEN_9": "MODROZELENÁ 9"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_3": "Schopnost nechat vybuchnout ovládané vozidlo."
"CUST_COMP_FACE_GILLS": "ŽÁBRY"
"CUST_COLOR_ROSE_4": "RŮŽOVÁ 4"
"PLAYER_MORPH_LOWER_LIP_MIDDLE_ELEVATION_TEXT": "VÝŠKA STŘEDU DOLNÍHO RTU"
"CUST_COMP_MUSTACHE_6": "TENKÝ KNÍREK"
"CUST_VARIANT_SILVER": "STŘÍBRNÝ"
"CUST_ITEM_CM_IMPO_UBDY_M_JCSHIRTWTIE": "USEDLÉ SAKO S VESTOU"
"CUST_ITEM_CM_PSJ_LBDY_M_JEAN": "NORMÁLNÍ DŽÍNY"
"CUST_FINGERNAILS": "NEHTY"
"CUST_COMPLIMENT_U": "PLÁCÁNÍ DO HRUDI"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_2": "MODROFIALOVÁ 2"
"CUST_COMP_FACE_DIMPLE": "DŮLEK NA BRADĚ"
"CUST_VARIANT_STRIPE": "PROUŽKY"
"CUST_WEAR_HIGH_BOTH_ROLLED": "OBOJÍ SROLOVAT, VYSOKO"
"CUST_ITEM_IMPRESSIONS_MALE_B": "IMPRESSIONS MUŽ B"
"CUST_ITEM_CM_PSD_UBDY_M_PUFFYVEST": "NADÝCHANÁ VESTA"
"CUST_VARIANT_FLAT_TOP_DESIGN_B": "TRIČKO NÁVRH B"
"CUST_ITEM_CF_RING_F_LGFINGERNAILS": "NEHTY S MANIKUROU"
"CUST_WEAR_NORMAL_LOW": "NORMÁLNÍ, NÍZKÉ"
"CUST_COLOR_CLOTHING_VIOLET_4": "FIALOVÁ 4"
"HAIR_COLOR_REDHEAD_MATTE": "MATNÁ ZRZAVÁ"
"CUST_VARIANT_NO_STRIPES": "BEZ VZORU"
