"DROP_SPHERE": "DAR ESFERA"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "POLICÍAS PROVOCADOS EN TOTAL"
"STAT_ESCORT_CLIENTS_SERVICED": "ESCOLTA: NÚMERO DE CLIENTES ATENDIDOS"
"STAT_SURFING_TIME": "SURFEO DE VEHÍCULO MÁS LARGO"
"STAT_HITMAN_TARGETS": "OBJETIVOS ELIMINADOS"
"ESCORT_NAME_38_B": "LLAVE INGLESA"
"HASH_D5C46250": "MARCA DE MUERTE: MUERTOS"
"HASH_9B93BC50": "ESTRELLAS DE BRONCE DE DISTRACCIÓN GANADAS"
"CONTROL_START": "START"
"WPNSTOR_REPLACE_WITH_BLANK_FOR_CASH_BLANK": "¿Quieres sustituir \"%s\" por \"%s\" a cambio de %s?"
"HORDE_MODE_NEW_CHALLENGE_WAVE_TITLE": "¡Oleada de desafío!"
"CUST_GANG_NAME_GANGSTER": "GÁNGSTER"
"GIVE_FLASHBANG": "DAR GRANADA DETONADORA"
"PURCHASEABLE_PROPERTEY_METH": "LABORATORIO METH"
"STAT_MISSION_STRONGHOLD_CASH_EARNED": "GANADO EN MISIONES/FORTALEZAS"
"STAT_HOSTAGES_TAKEN": "REHENES HECHOS"
"GANG_CIVILIAN": "CIVILES"
"GIVE_AR55": "DAR AR 55"
"DROP_TORNADO": "DAR TORNADO"
"STAT_COOP_MAX_POLICE_NOTORIETY_STREAK": "COOP.: RACHA MÁS LARGA CON LA PEOR REPUTACIÓN ANTE LA POLICÍA"
"RADIO_STATION_K12": "K12"
"Max Notoriety Col2_NAME": "MARCADOR DE REPUTACIÓN"
"STORE_EXIT_TELEVISiON": "¿Salir de televisión?"
"HORDE_MODE_TITLE_HIGHSCORE": "PUNTUACIÓN MÁS ALTA"
"STAT_COMBAT_THROWN": "ARROJADIZAS"
"CELL_FRIENDLY_FIRE": "FRIENDLY FIRE"
"GIVE_ULTIMAX": "DAR AS3 ULTIMAX"
"POC2_DROP_HELICOPTER": "DEJAR EL HELICÓPTERO"
"VCUST_COLOR_PALETTE_TITLE": "ACABADO DE COLOR"
"PURCHASEABLE_PROPERTEY_FLATS": "PARKVIEW FLATS"
"GARAGE_CANNOT_REPAIR": "No puedes personalizar tu coche si no está completamente reparado.\nNo tienes suficiente dinero para reparar tu coche."
"STAT_BASE_HIGH": "MAYOR SALTO"
"BasicSP": "JUGANDO {C10}"
"VOLITION": "VOLITION"
"MAP_ICON_MAYHEM": "CAOS"
"CRIB_GARAGE_PURCHASED_TEXT": "Ahora este garaje es tuyo. \nEn él puedes guardar tus coches y acceder a ellos."
"PURCHASEABLE_PROPERTEY_MOTEL": "STIKIT INN"
"STORE_DISCARD_ITEM": "DESHACERTE DEL OBJETO"
"BODY_TITLE": "CUERPO"
"CONTROL_CANCEL": "CANCELAR"
"ESCORT_NAME_18B": "SÁNCHEZ"
"DEMO_EXIT": "SALIR DE LA DEMO"
"DROP_KANEDA": "DAR KANEDA"
"STORE_UPGRADES_TITLE": "MEJORAS"
"MENU_SWAP_CLOTHING_STORE": "TIENDA DE ROPA"
"VCUST_TIRE_TREAD_NUMBER": "DIBUJO {0}"
"TAT_REG_R_FOREARM": "ANTEBRAZO DER."
"STORE_PLANET_SAINTS_MSG": "!!comprar objetos"
"HORDE_MODE_MENU_EXIT": "VOLVER AL MENÚ PRINCIPAL"
"STAT_HUMAN_TORCH_LEVELS_COMPLETED": "RASTRO LLAMEANTE COMPLETADO"
"STAT_HUMAN_TORCH_OBJECTS_TORCHED": "RASTRO LLAMEANTE: NÚMERO DE OBJETOS PRENDIDOS"
"STAT_LEVELS_COMPLETED": "NIVELES SUPERADOS"
"Diversion Silver Stars_NAME": "ESTRELLAS DE PLATA"
"Escort": "ESCOLTA"
"GIVE_APOCA": "DAR APOCA-PUÑO"
"HIDE_HUD": "SIN HUD"
"MASCOT_PEDS_DESC": "Todos los peatones son mascotas."
"CUST_ICON_UPPER_BODY": "TORSO"
"STORE_NO_ITEMS_IN_CATEGORY": "NO HAY OBJETOS DISPONIBLES EN ESTA CATEGORÍA"
"UNLOCKABLE_TITLE_TEXT": "DESBLOQUEADO"
"STAT_HITMAN_COMPLETED": "IMPACTOS REALIZADOS"
"ESCORT_NAME_9B": "DRAGÓN"
"DrugTrafficking": "TRÁFICO DE DROGAS"
"InsFraud": "FRAUDE AL SEGURO"
"QUIT_GAME_TEXT_SHORT": "¿De verdad quieres salir?"
"STORE_CONFIRM_PURCHASE_BLANK_FULL": "¿Quieres comprar \"%s\" por %s?"
"STORE_OWNED": "PROPIEDAD"
"GARAGE_HANGAR": "HANGAR"
"STAT_STORES_OWNED": "TIENDAS EN PROPIEDAD"
"STAT_MAX_STUNT_JUMP_ROLL": "RODADA MÁXIMA DE SALTO"
"HASH_E66AA7D9": "MARCA DE MUERTE: DINERO GANADO"
"CONTROL_CHANGE_LB": "CAMBIAR DE MARCADOR"
"CUST_GANG_NAME_PREPHOP": "PREPHOP"
"SWITCH_TO_STORE": "CAMBIAR A TIENDA"
"BUILDING_PURCHASE_CONTROL_INCREASE": "{0}%%% DE AUMENTO DE CONTROL"
"BUILDING_PURCHASE_CRIB": "¿Comprar esta casa por {1} $?"
"WPN_STORE_AMMO_TITLE": "MUNICIÓN"
"TATTOO_REMOVE_SAVE": "¿Quieres quitarte el tatuaje de tu %s y guardar?"
"CONTROL_SELECT_COLOR": "SELECCIONAR COLOR"
"SURGEON_INSUFFICIENT_FUNDS": "No tienes suficiente dinero para visitar al cirujano plástico."
"STAT_VEHICLE_AIRCRAFT": "VEHÍCULO AÉREO"
"STAT_WEAPON_RPG": "LANZACOHETES"
"STAT_COOP_DEATHS": "COOP.: MUERTES CAUSADAS POR EL JUGADOR"
"STAT_SNATCH_PIMPS_KILLED": "CHULEO: NÚMERO DE CHULOS MUERTOS"
"STAT_DRIVING_NEARMISS_CHAIN": "CADENA MÁS LARGA DE CASI CHOQUES"
"ESCORT_NAME_14B": "JOHNSON"
"ESCORT_NAME_7B": "COLLAR"
"CONTROL_START_GAME": "INICIAR PARTIDA"
"MAP_ICON_UNDEFINED": "INDEFINIDO"
"CUST_GANG_NAME_STRIPPER": "STRIPPERS"
"GIANT_PLAYER_DESC": "Si te comes los guisantes, te harás muy grande."
"STORE_TEXT_CONFIRM_PURCHASE_AND_SAVE_FULL": "¿Quieres comprar y guardar un \"%s\" por %s?"
"HASH_336F665B": "MARCA DE MUERTE: DERROTAS"
"PIMPS_AND_HOS_PEDS_DESC": "Todos los peatones son chulos y chicas."
"MAINMENU_NEW_GAME_DIFF_HDR": "DIFICULTAD"
"MAINMENU_NEW_GAME_NO_PROFILE_EXPOSITION": "No has iniciado sesión con un perfil de jugador.\nNo podrás guardar tus avances en el juego ni obtener logros.\n¿Continuar sin guardar?"
"GANG_CUST_TITLE": "PERSONALIZACIÓN"
"GARAGE_REPAIR_NAME": "GARAJE MECÁNICO"
"TUT_CRIB_GARAGE": "PULSA {ACTION_IMG} PARA GUARDAR ESTE VEHÍCULO EN TU GARAJE"
"STAT_AIRCRAFT_DESTROYED": "NÚMERO DE VEHÍCULOS AÉREOS DESTRUIDOS"
"STAT_SMG_HIT_PCT": "PORCENTAJE DE ACIERTOS DE SUBFUSIL"
"ESCORT_NAME_16B": "REMOLINO"
"ESCORT_NAME_5B": "DUCHA"
"Time at Highest Police Notoriety_NAME": "TIEMPO CON MÁXIMA MALA REPUTACIÓN ANTE LA POLICÍA"
"GARAGE_REPAIR_RETRIEVE": "REPARACIÓN Y RECOGIDA DE VEHÍCULO: {0} $"
"HUD_SHOP_INSUFFICIENT_FUNDS": "NO TIENES SUFICIENTE DINERO."
"VCUST_EXTRA_LOW_PROFILE": "PERFIL EXTRA BAJO"
"PURCHASEABLE_PROPERTEY_POWER": "POWER AND LIGHT"
"STAT_DRIVING_BAILOUT_RESPECT": "RESPETO GANADO POR SALTOS EN MARCHA"
"HASH_CE3F7EDD": "DINERO GASTADO EN MEJORAS DE CASA"
"GIVE_SLM8": "DAR RIFLE LÁSER VIPER"
"LIGHT_RAIN": "LLOVIZNA"
"VCUST_LOW_PROFILE": "PERFIL BAJO"
"CUST_ITEM_STYLE": "ESTILO"
"STAT_DRIVING_WRONGWAY_RESPECT": "RESPETO GANADO POR IR EN SENTIDO CONTRARIO"
"ESCORT_NAME_10B": "PELOTAZO"
"ESCORT_NAME_3B": "PUÑETAZO"
"CONFIRM_WEAR_OUTFIT": "¿Seguro que quieres ponerte este traje?"
"HASH_A885535E": "HIDRÁULICOS"
"CONTROL_EXIT_PURCHASE_CLOTHING": "SALIR DE COMPRAR ROPA"
"DROP_SPECTER": "DAR SPECTER"
"TINY_PLAYER": "PEQUEÑÍN"
"SAVELOAD_AUTOSAVE_LABEL": "AUTOGUARDADO"
"HASH_CC5A26DE": "¿Desnudo?"
"HORDE_MODE_MENU_RETRY": "VOLVER A INTENTAR"
"HORDE_MODE_TITLE_SURVIVAL_TIME": "SUPERVIVENCIA"
"HORDE_MODE_WEAPON_UPGRADE": "TU %ls HA ALCANZADO EL NIVEL %i DE %i"
"STAT_STREAKING_PEOPLE": "PERSONAS ANTE LAS QUE HAS HECHO EXHIBICIONISMO"
"STAT_CRIBS_ACQUIRED": "CASAS CONSEGUIDAS"
"WPN_STORE_SPECIAL_TITLE": "ESPECIAL"
"VEHICLE_CUSTOMIZATION_TITLE": "SELECCIÓN VEHÍCULO"
"TAT_REG_L_SHOULDER": "HOMBRO IZQ."
"ESCORT_NAME_12B": "FRANKLIN"
"ESCORT_NAME_1B": "SÁNCHEZ"
"HASH_FB3AF7E0": "MARCA DE MUERTE: MÁXIMO DE MUERTES EN UNA RONDA"
"MAP_ICON_WEAPON": "ARMA"
"GENERIC_LEAVE_BLANK_FULL": "¿De verdad quieres salir de %s?"
"HUD_TRIGGER_CASH_STASH": "SACAR %ls DE TU ESCONDITE"
"HUD_FOUND_CASH": "¡Has recibido %ls de tu escondite!"
"VCUST_RIM_STYLE_OPTION": "ESTILO DE LLANTAS"
"HASH_7A3484E1": "ESTRELLAS DE PLATA DE DISTRACCIÓN GANADAS"
"HASH_F85DA761": "ESTRELLAS DE ORO DE DISTRACCIÓN GANADAS"
"CONTROL_CHANGE_BOARD": "CAMBIAR TABLA"
"GANG_CUST_GANG_TITLE": "BANDA"
"TAT_REG_L_LEG": "PIERNA IZQ."
"CUST_BROWSER_BROWSE": "EXAMINAR"
"STORE_CRIB_WEAPONS_MSG": "ACCEDER AL DEPÓSITO DE ARMAS"
"STAT_DRIVING_TWOWHEELS_TIME": "TIEMPO MÁXIMO LADEADO"
"STAT_MAX_WINDSHIELD_CANNON_DISTANCE": "DISTANCIA MÁXIMA DE CAÑÓN DE PARABRISAS"
"ESCORT_NAME_16A": "COSQUILLAS"
"ESCORT_NAME_5A": "DE ORO"
"DELETE_OUTFIT": "BORRAR CONJUNTO"
"GIVE_ROCKET": "DAR MARTILLO DE IMPACTO"
"GIVE_AIRSTRIKE": "DAR SA-3 AIRSTRIKE"
"OVL_SHOP_PURCHASED_TEXT": "Ahora te llevas una parte de los beneficios de esta tienda, así que recibirás unos ingresos de [format][color:highlight]{0} $/hora[/format] en el escondite de tu casa, así como un descuento en todos los artículos."
"VCUST_NORMAL_PROFILE": "PERFIL NORMAL"
"VCUST_HIGH_PROFILE": "PERFIL ALTO"
"STAT_TEAM_LUCHADORES": "LUCHADORES"
"STAT_ESCORT_LEVELS_COMPLETED": "ESCOLTA COMPLETADA"
"STAT_COMBAT_HEADSHOT_RESPECT": "RESPETO GANADO POR TIROS EN LA CABEZA"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "DAR TOAD"
"GIVE_CASH_DESC": "Te da dinero al momento."
"PED_WAR_DESC": "Odio, furia, sufrimiento, todos se odian."
"STAT_MAYHEM_BEST_COMBO": "CAOS: MEJOR COMBO"
"ESCORT_NAME_14A": "HUMEANTE"
"ESCORT_NAME_7A": "PERLA"
"DRUNK_PEDS": "PEATONES BORRACHOS"
"STAT_COOP_GANG_NOTORIETY_TIME": "COOP.: TIEMPO CON LA PEOR REPUTACIÓN ANTE LAS BANDAS"
"HumanTorch": "RASTRO LLAMEANTE"
"ELEVATOR_TO_HEAVEN_DESC": "Todos los muertos van al cielo."
"GIVE_FLAMETHROWER": "DAR LANZALLAMAS"
"GIVE_CHAINSAW": "DAR SIERRA MECÁNICA"
"SURGEON_MP_EXPORT_FULL": "¡Al exportar a multijugador se sustituirán los personajes\nde multijugador guardados anteriormente!"
"STORE_STRENGTH": "FUERZA {0}%%%%"
"STAT_DECKERS_KILLED": "DECKERS MUERTOS"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "Tienes que iniciar sesión en un perfil de jugador para ver los logros. "
"ESCORT_NAME_12A": "HÚMEDO"
"ESCORT_NAME_1A": "SUCIO"
"Total Civilian Kills_NAME": "TOTAL DE CIVILES MUERTOS"
"CONTROL_SELECT_EQUIPPED": "SELECCIONAR EQUIPADO"
"DROP_QUASAR": "TRAER QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "Se ha extraído el dispositivo de almacenamiento actual. \nSelecciona un nuevo dispositivo de almacenamiento para seguir guardando o cargando."
"STORE_LEVEL": "NIVEL"
"GARAGE_DOCK": "MUELLE"
"STAT_BIG_AIR_LONGEST_JUMP": "GRAN SALTO: SALTO MÁS LARGO"
"STAT_STAG_KILLED": "AGENTES DE LA STAG MUERTOS"
"Partners in Crime_DESC": "HAS COMPLETADO EN MODO COOPERATIVO TODAS LAS MISIONES DE CAMPAÑA"
"SinglePlayer": "UN JUGADOR"
"CONTROL_SELECT": "SELECCIONAR"
"MAP_ICON_INSURANCE_FRAUD": "FRAUDE AL SEGURO"
"GIVE_KRUKOV": "DAR K-8 KRUKOV"
"SAVELOAD_SIGN_IN_NOW": "Tienes que iniciar sesión con un perfil de jugador para acceder a esta función.\n¿Quieres iniciar sesión?"
"STAT_TEAM_DECKERS": "DECKERS"
"STAT_MISSION_SUCCESS_RATE": "PORCENTAJE DE ÉXITO EN LAS MISIONES"
"STAT_MAYHEM_DAMAGE_DONE": "CAOS: DAÑO CAUSADO"
"STAT_DRIVING_WHEELIE_RESPECT": "RESPETO GANADO POR CABALLITOS"
"ESCORT_NAME_10A": "ENFADADO"
"ESCORT_NAME_3A": "BURRO"
"HASH_646BCE68": "JUEGO EXTRA COOPERATIVO: BONIFICACIÓN DE DINERO OBTENIDA"
"CELL_SUICIDE": "TELÉFONO DE LA ESPERANZA"
"CUST_GANG_NAME_SPORTY": "DEPORTIVO"
"ADD_COP_NOTORIETY": "AÑADE MALA REPUTACIÓN ANTE LA POLICÍA"
"GARAGE_INSUFFICIENT_FUNDS": "NO TIENES SUFICIENTE DINERO PARA REPARAR ESTE COCHE"
"STAT_JUMPS_FOUND": "SALTOS ACROBÁTICOS ENCONTRADOS"
"CUST_REMOVE_ITEM_TITLE": "ELIMINAR OBJETO"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "TIEMPO EN MALA FAMA MÁXIMA CON LUCHADORES"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "TIEMPO EN MALA FAMA MÁXIMA CON BANDA"
"STAT_FRAUD_LEVELS_COMPLETED": "FRAUDE AL SEGURO COMPLETADO"
"STAT_DRIVING_WRONGWAY_TIME": "MAYOR TIEMPO EN SENTIDO CONTRARIO"
"STAT_HOMIEZ_ACQUIRED": "COLEGAS RECLUTADOS"
"HASH_719A436A": "RESPETO GANADO POR HIDRÁULICOS"
"HORDE_MODE_TITLE_SCORE": "PUNTUACIÓN"
"STAT_DRIVING_BACKSEAT_DISTANCE": "CONDUCCIÓN DE ACOMPAÑANTE MÁS LARGA"
"STAT_DRIVING_WHEEILE_TIME": "CABALLITO MÁS LARGO"
"STAT_COMBAT_ONE_HIT": "MUERTOS A LA PRIMERA"
"TAXIMAP_FARE": "TARIFA DE TAXI:"
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "Si vuelves a empezar una misión perderás todas las armas y el respeto conseguidos en ella."
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "ORGAN BLACKMARKET"
"MAP_ICON_TSS_STRONGHOLD": "FORTALEZA DE 3RD STREET SAINTS"
"CELL_PIMP_VAN": "CAMIONETA DE CHULO"
"BE_ALL_YOU_WANT_TO_BE": "CAMBIAR MODELO DE PC"
"MUSIC_FUNK": "FUNK"
"CUST_ICON_TATTOO_LEGS": "TATUAJES DE PIERNA"
"MUSIC_REGGAE": "REGGAE"
"TAXI_LEAVE_FULL": "¿De verdad quieres salir del taxi?"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "¿De verdad quieres salir de Friendly Fire?"
"VCUST_REAR_AXLE_OPTION": "EJE TRASERO"
"STORE_TITLE_WITHDRAW": "RETIRAR"
"HORDE_MODE_TITLE_FAIL": "OLEADA {0} SUPERADA"
"HORDE_MODE_KILL_COUNT": "MUERTES"
"STAT_DRIVING_NEARMISS": "CASI CHOQUES"
"STAT_DRIVING_BURNOUT": "QUEMAR RUEDAS"
"Human Thrown Distance_NAME": "DISTANCIA DE MEJOR LANZAMIENTO"
"CONTROL_CHANGE_MODE": "CAMBIAR DE MODO"
"CONTROL_VIEW_GAMER_CARD": "VER TARJETA DE JUGADOR"
"CONTROL_BACK": "ATRÁS"
"CELL_POLICE": "POLICÍA"
"GIVE_SONIC": "DAR BUM SÓNICO"
"SUPER_SAINTS_DESC": "Los Saints son duros de pelar."
"CUST_ICON_WRISTS": "MUÑEQUERAS"
"MUSIC_METAL": "METAL"
"MENU_EXPORT_SIGN_IN_FULL": "Tienes que iniciar sesión en Xbox LIVE\npara exportar a multijugador."
"STORE_LEVEL_REQ": "NIVEL {0} REQUERIDO"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "Ya tienes esta arma."
"ESCORT_NAME_9A": "RESBALADIZO"
"CONTROL_CHANGE_VIEWED_PLAYER": "CAMBIAR DE PERSONAJE MOSTRADO"
"MUSIC_HIPHOP": "HIP-HOP"
"DEALER_NO_SPACE": "NO TIENES SUFICIENTE ESPACIO EN TU GARAJE PARA %s"
"Total Gang Kills_NAME": "TOTAL DE MUERTES DE BANDAS"
"HASH_937C34EF": "CLASIFICACIÓN DE ESTILO"
"VCUST_HUBCAPS_TITLE": "TAPACUBOS"
"PURCHASEABLE_PROPERTEY_STEEL": "OLDE STEEL FACTORY"
"TAT_REG_FRONT": "PECHO"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "CIVILES PROVOCADOS EN TOTAL"
"STAT_MILES_BY_BIKE": "MILLAS RECORRIDAS EN MOTOCICLETA"
"STAT_ACTIVITY_CASH_EARNED": "GANADO EN ACTIVIDADES"
"ESCORT_NAME_18A": "SUCIO"
"CONTROL_BEGIN_GAME": "INICIAR PARTIDA"
"ADD_COP_NOTORIETY_DESC": "Cada uso sube una estrella de mala reputación ante la policía."
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "¿De verdad quieres volver\nal menú principal?"
"OUTFIT_NAME_ENTRY_DIALOG": "INTRODUCE EL NOMBRE DE TU TRAJE"
"WPN_CACHE_EXIT_PROMPT": "Salir del depósito de armas.\n\n¿Seguro?"
"STORE_FREE": "GRATIS"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "¿Quieres llevarte munición de \"%s\"?"
"STAT_DRIVING_BACKSEAT": "CONDUCCIÓN DE ACOMPAÑANTE"
"STAT_DRIVING_TWOWHEELS_RESPECT": "RESPETO GANADO POR LADEADOS"
"STAT_MAX_STUNT_FALL_DIST": "CAÍDA MÁS LARGA"
"STAT_ARRESTS": "ARRESTOS"
"ESCORT_NAME_33B": "MARIPOSA"
"RADIO_STATION_OFF": "DESACTIVADO"
"CONTROL_EXIT_PURCHASE_TATTOOS": "SALIR DE COMPRAR TATUAJES"
"MAP_ICON_PIMPING": "CHULEO"
"STAT_DEATHS": "MUERTES"
"Time at Highest Gang Notoriety_NAME": "TIEMPO CON MÁXIMA MALA REPUTACIÓN ANTE LAS BANDAS"
"MAP_ICON_ESCORT": "ESCOLTA"
"RESTORE_WEATHER": "RESTABLECER CLIMA A NORMAL"
"GANG_CUST_GANG_SIGN_TITLE": "SEÑAL DE BANDA"
"IMPRESSIONS_NAME": "IMPRESSIONS"
"STORE_INVENTORY_EMPTY_TITLE": "INVENTARIO VACÍO"
"GARAGE_DELETE_CONFIRM": "¿Quieres librarte de este coche?"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "HAS SOBREVIVIDO"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "GATO Y RATÓN: MÁXIMO DE MUERTOS EN UNA RONDA"
"STAT_RPG_SHOTS_FIRED": "DISPAROS DE RPG"
"STAT_STREAKING_CASH": "RESPETO CONSEGUIDO POR EXHIBICIONISMO"
"STAT_TAUNT_RESPECT": "RESPETO GANADO POR PROVOCACIÓN"
"ESCORT_NAME_31B": "LAGARTO"
"CONTROL_CHANGE_LB_FILTER": "CAMBIAR DE FILTRO"
"CONTROL_QUITGAME": "SALIR"
"TIME_SET_NOON_DESC": "Pasa a ser mediodía."
"DROP_CAR_DESC": "Pone este vehículo en tu garaje."
"DROP_BOOTLEGGER": "TRAER BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "¿De verdad quieres salir?\n(Los progresos no guardados se perderán.)"
"GARAGE_REPAIR": "REPARAR"
"STAT_COMBAT_ONE_HIT_RESPECT": "RESPETO GANADO POR MUERTOS A LA PRIMERA"
"STAT_CHOPSHOP_VEHICLES": "VEHÍCULOS RECOGIDOS"
"Matchmaking": "EN MATCHMAKING"
"DROP_TITAN": "TRAER TITAN"
"SUPER_EXPLOSIONS_DESC": "Explosiones 4 veces más grandes."
"BE_ALL_YOU_WANT_TO_BE_DESC": "Elige de una lista a tu personaje y su aspecto."
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "¿Quieres sustituir \"%s\" por \"%s\" a cambio de %s?"
"SWITCH_TO_WARDROBE": "CAMBIAR A ARMARIO ROPERO"
"HUD_CRIB_CHANGE_RADIO_STATION": "CAMBIAR EMISORA DE RADIO"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "TRÁFICO DE DROGAS: NÚMERO DE COMPRADORES SATISFECHOS"
"STAT_COMBAT_MULTI_RESPECT": "RESPETO GANADO POR MUERTOS MÚLTIPLES"
"ESCORT_NAME_37B": "DUCHA"
"Diversion Bronze Stars_NAME": "ESTRELLAS DE BRONCE"
"HASH_A166F6F5": "RESPETO GANADO COMO CHULO"
"GARAGE_REPAIR_VEHICLE": "REPARAR POR {0} $"
"VCUST_RIM_NUMBER": "LLANTA {0}"
"GOTH_NAME": "NOBODY LOVES ME"
"HORDE_MODE_WAITING_FOR_HOST": "Esperando al anfitrión."
"ESCORT_NAME_38_A": "SENTIDO HORARIO"
"PURCHASEABLE_PROPERTEY_BODEGA": "PICKPOCKET PAWN SHOP"
"STAT_PISTOL_HIT_PCT": "PORCENTAJE DE ACIERTOS DE PISTOLA"
"STAT_SNATCH_HOS_CLAIMED": "CHULEO: NÚMERO DE CHICAS CONSEGUIDAS"
"ESCORT_NAME_35B": "SERPIENTE DE CASCABEL"
"WEAR_OUTFIT_TITLE": "LLEVAR CONJUNTO"
"WARDROBE_REMOVE_OUTFIT_TITLE": "QUITAR TRAJE"
"INFINITE_SPRINT": "CORRER ILIMITADO"
"NO_COP_NOTORIETY": "SIN MALA REPUTACIÓN ANTE LA POLICÍA"
"STORE_EXIT_WARNING_HEADER": "ATENCIÓN"
"CRIB_SAINTSHQ": "ESCONDRIJO DE LOS SAINTS"
"PURCHASEABLE_PROPERTEY_WARF": "HENRY STEEL WHARF"
"STAT_STREAKING_TOTAL_TIME": "TOTAL DE EXHIBICIONISMO"
"STAT_FAVORITE_TRANSPORTATION": "MEDIO DE TRANSPORTE PREFERIDO"
"ESCORT_NAME_29A": "REAL"
"DROP_NFORCER": "DAR NFORCER"
"DROP_CONDOR": "DAR CONDOR"
"GIVE_DRONE": "DAR REAPER DIRIGIDO"
"PURCHASEABLE_PROPERTEY_BROTHEL": "HARANO'S HOOKUP HOUSE"
"PURCHASE_TATTOOS_NAME": "COMPRAR TATUAJES"
"VEHICLE_COLOR_BASIC": "AVANZADO"
"MENU_TITLE_INSUFFICIENT_FUNDS": "FONDOS INSUFICIENTES"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "No tienes suficiente dinero para comprar este objeto."
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "MIEMBROS DE BANDA PROVOCADOS EN TOTAL"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "CUMPLIDOS EN TOTAL"
"ESCORT_NAME_39_B": "AMASAR"
"HEAVY_RAIN": "AGUACERO"
"EVIL_CARS": "COCHES MALVADOS"
"STORE_RESPECT": "RESPETO +{0}"
"STORE_SELECT_BUILD": "SELECCIONAR CREACIÓN"
"RUSTY_NEEDLE_NAME": "RUSTY'S NEEDLE"
"STAT_LUCHADORES_KILLED": "LUCHADORES MUERTOS"
"STAT_DRIVING_BAILOUT": "SALTOS EN MARCHA"
"STATS_NONE": "NINGUNA"
"ESCORT_NAME_27A": "LOCO"
"DEMO_FREEPLAY": "JUEGO LIBRE"
"CONTROL_SCROLL_LIST": "DESPLAZAR LISTA"
"Gang_Saints": "3RD STREET SAINTS"
"DROP_ANCHOR": "TRAER ANCHOR"
"TIME_SET_MIDNIGHT_DESC": "Pasa a ser medianoche."
"GIVE_WEAPON_DESC": "Añade esta arma a tu inventario."
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "¿Quieres llevarte %s de tu casa?"
"TATTOO_INSUFFICIENT_FULL": "No tienes suficiente dinero para comprar \"%s\" en %s."
"CUST_BROWSER_TITLE": "VISOR DE PERSONALIZACIÓN"
"HORDE_MODE_QUIT_TEXT": "¿Seguro que quieres salir?\n(Se acabará el modo Hordas para los dos jugadores.)"
"STAT_MAX_WRONG_WAY_DISTANCE": "DISTANCIA MÁXIMA EN DIRECCIÓN CONTRARIA"
"STAT_PEOPLE_RUN_OVER": "GENTE ATROPELLADA"
"STAT_AERIAL_STUNTS_FOUND": "VUELOS ACROBÁTICOS ENCONTRADOS"
"PLAYER_CREATION_ABOUT_TO_REVERT": "¿Quieres cancelar los cambios?"
"DROP_VULTURE": "DAR VULTURE"
"STORE_SKINNY": "FLACO {0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "RECOGER"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "¿Seguro que quieres abandonar la fortaleza?"
"GANG_CUST_GANG_SIGN_OPT": "SEÑAL"
"STORE_NOT_AVAILABLE": "NO DISPONIBLE"
"VEHICLE_FREE": "GRATIS"
"STAT_COOP_MISSIONS_COMPLETED": "COOP.: MISIONES REALIZADAS"
"STAT_COMBAT_NUTSHOT_RESPECT": "RESPETO GANADO POR TIROS EN LA ENTREPIERNA"
"ESCORT_NAME_25A": "VENGADOR"
"CUST_GANG_NAME_NINJA": "NINJAS"
"GIVE_KOBRA": "DAR KA-1 KOBRA"
"DROP_PHOENIX": "DAR FÉNIX"
"EVIL_CARS_2": "COCHES MALVADOS 2"
"COSTUME_NAME": "LET'S PRETEND"
"HAIR_CAT_NONE": "NINGUNO"
"STAT_PHOTO_OP_FOUND": "OPORTUNIDADES DE FOTO ENCONTRADAS"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "TIENDAS ROBADAS"
"Max Notoriety Col1_NAME": "MARCADOR DE REPUTACIÓN"
