"Storye01_In_Crawl_02": "La storia dell'umanità."
"CTO_Pierce02_08_Pierce": "Allora vai da Powder."
"Story14_In_02_Kinzie": "Vieni a vedere..."
"Story12_In_13_Pierce": "No, tu sarai la Bloody Canoness."
"Story01_In_11_Player_BM": "Signore e signori..."
"CTO_Kinzie01_11_Player_BM": "Ecco, adesso si ragiona."
"Story21_Zscene01_05_Bobby": "Quanto potrà fare una persona da sola per..."
"Story16_Zscene01_04_Player_BM": "Ma che cazzo..."
"Story19_In_20_Viola": "Ne eri già a conoscenza?"
"Story17_Out_07_Monica": "Conosco i Saints. Come ha reagito il sindaco Reynolds?"
"Story16_In_04_Player_BM": "Bel piano, Kinzie."
"Story11_Out_02_Josh": "Gli STAG mettono a repentaglio la vita ogni giorno per proteggere la città dalla violenza delle gang. Volete diventare dei veri eroi? Arruolatevi negli STAG oggi stesso. Fate come me."
"Story08_Out_03_Matt": "Ragazze, è stato un piano merdoso."
"Story07_Out_07_Kiki": "Calmati, Eddie..."
"Story14_In_07_Killbane": "No, no, Jane, per favore. I Saints sono dei criminali. Io sarò un tipo eccentrico, ma sono soltanto un intrattenitore, un uomo d'affari, un filantropo, un..."
"Story11_In_02_Pierce": "Avevo puntato 20.000 dollari!"
"Story19_In_09_Reynolds": "Chi altri potrebbe dirigere questa città? Ci tengo ai miei elettori."
"Story07_Out_12_Player_BM": "Parlate con loro e vi diranno cosa fare. È arrivato il momento di far girare la ruota."
"Story02_In_30_Shaundi": "E l'aereo?"
"Story02_In_12_Player_BM": "Sai con chi hai a che fare?"
"Story01_In_08_Josh": "Rapinerete una banca senza mascherarvi?"
"Story17_In_05_Player_BM": "Vi scorto come prigionieri alle celle, libero Shaundi e ce ne andiamo."
"Story15_In_09_Player_BM": "Quindi come fermiamo i Deckers?"
"Story01_In_02_Gat": "Ci aspetta un bottino sostanzioso. Sei pronto?"
