"DROP_SPHERE": "SPHERE"
"GIVE_ROCKET": "ショックハンマー"
"GIVE_AIRSTRIKE": "SA-3 空爆照準器"
"OVL_SHOP_PURCHASED_TEXT": "今後はこの店からの収入として\n[format][color:highlight]毎時間{0}ドル[/format]アジトの金庫に入金される。\nまた、すべてのアイテムを割引価格で購入できる"
"VCUST_NORMAL_PROFILE": "標準"
"VCUST_HIGH_PROFILE": "厚型"
"STAT_TEAM_LUCHADORES": "ルチャドール"
"STAT_ESCORT_LEVELS_COMPLETED": "クリアしたエスコート"
"STAT_COMBAT_HEADSHOT_RESPECT": "ヘッドショットで獲得したリスペクト"
"MAP_IMG_UNKNOWN_ACT": "[format][scale:1.0][image:map_other_hidden_act][/format]"
"DROP_TOAD": "TOAD"
"GIVE_CASH_DESC": "大量のキャッシュが手に入る"
"PED_WAR_DESC": "憎悪、怒り、苦難... 全員が互いを憎しみあう"
"STAT_MAYHEM_BEST_COMBO": "メイヘム：最高コンボ"
"ESCORT_NAME_14A": "スチーミング"
"ESCORT_NAME_7A": "パール"
"DRUNK_PEDS": "酔っ払った歩行者"
"STAT_COOP_GANG_NOTORIETY_TIME": "協力プレイ：ギャング悪評度MAX"
"HumanTorch": "ファイアレース"
"ELEVATOR_TO_HEAVEN_DESC": "死者が皆天国へ行く"
"GIVE_FLAMETHROWER": "火炎放射器"
"GIVE_CHAINSAW": "チェーンソー"
"SURGEON_MP_EXPORT_FULL": "マルチプレイヤーにエクスポートすると\n以前にセーブしたマルチプレイヤーはすべて失われます！"
"STORE_STRENGTH": "筋肉質{0}%%%%"
"STAT_DECKERS_KILLED": "倒したデッカー"
"ACHIEVEMENTS_LOG_IN_EXPOSITION": "実績を表示するにはゲーマー プロフィールにサインインしている必要があります "
"ESCORT_NAME_12A": "モイスト"
"ESCORT_NAME_1A": "ダーティ"
"Total Civilian Kills_NAME": "市民キル合計"
"CONTROL_SELECT_EQUIPPED": "装備を選択"
"DROP_QUASAR": "QUASAR"
"SAVELOAD_SELECTED_DEVICE_REMOVED_FULL": "使用中のデータ保存機器が取り外されました。\nセーブ／ロードを続行する場合は新しいデータ保存機器を選択してください"
"STORE_LEVEL": "レベル"
"GARAGE_DOCK": "ドック"
"STAT_BIG_AIR_LONGEST_JUMP": "ビッグエア：最長ジャンプ距離"
"STAT_STAG_KILLED": "倒したSTAG"
"Partners in Crime_DESC": "協力プレイでストーリーミッションをすべてクリアした"
"SinglePlayer": "シングルプレイヤー"
"CONTROL_SELECT": "選択"
"MAP_ICON_INSURANCE_FRAUD": "保険金詐欺"
"GIVE_KRUKOV": "K8 クルコフ"
"SAVELOAD_SIGN_IN_NOW": "この機能を使用するにはゲーマー プロフィールにサインインする必要があります。\nサインインしますか？"
"STAT_TEAM_DECKERS": "デッカー"
"STAT_MISSION_SUCCESS_RATE": "ミッション成功率"
"STAT_MAYHEM_DAMAGE_DONE": "メイヘム：与えた損害額"
"STAT_DRIVING_WHEELIE_RESPECT": "ウィリーで獲得したリスペクト"
"ESCORT_NAME_10A": "アングリー"
"ESCORT_NAME_3A": "ドンキー"
"HASH_646BCE68": "協力プレイ メタゲーム：稼いだ金額"
"CELL_SUICIDE": "自殺相談ホットライン"
"CUST_GANG_NAME_SPORTY": "スポーティ"
"ADD_COP_NOTORIETY": "警察悪評度アップ"
"GARAGE_INSUFFICIENT_FUNDS": "車両の修理資金が足りません"
"STAT_JUMPS_FOUND": "見つけたスタントジャンプ"
"CUST_REMOVE_ITEM_TITLE": "アイテム消去"
"STAT_TIME_AT_MAX_LUCHADOR_NOTORIETY": "最大ルチャドール悪評度（時間）"
"STAT_TIME_AT_MAX_GANG_NOTORIETY": "最大ギャング悪評度（時間）"
"STAT_FRAUD_LEVELS_COMPLETED": "クリアした保険金詐欺"
"STAT_DRIVING_WRONGWAY_TIME": "最長逆走時間"
"STAT_HOMIEZ_ACQUIRED": "獲得した仲間"
"HASH_719A436A": "ハイドロで獲得したリスペクト"
"HORDE_MODE_TITLE_SCORE": "得点"
"STAT_DRIVING_BACKSEAT_DISTANCE": "最長ロードキル"
"STAT_DRIVING_WHEEILE_TIME": "最長ウィリー"
"STAT_COMBAT_ONE_HIT": "一撃必殺"
"TAXIMAP_FARE": "タクシー代："
"CELL_FORGIVE": "FORGIVE AND FORGET"
"HUD_RETRY_MISSION_MESSAGE_FULL": "ミッションをやり直すと、そのミッションで獲得した武器やリスペクトがすべて失われます"
"PURCHASEABLE_PROPERTEY_ORGAN_BLACKMARKET": "MORGAN MARKET"
"MAP_ICON_TSS_STRONGHOLD": "サードストリートセインツ拠点"
"CELL_PIMP_VAN": "スカウトのバン"
"BE_ALL_YOU_WANT_TO_BE": "キャラクターモデルの変更"
"MUSIC_FUNK": "ファンク"
"CUST_ICON_TATTOO_LEGS": "脚のタトゥー"
"MUSIC_REGGAE": "レゲエ"
"TAXI_LEAVE_FULL": "タクシーを降りますか？"
"WPNSTOR_LEAVE_FULL_FRIENDLY_FIRE": "FRIENDLY FIREから出ますか？"
"VCUST_REAR_AXLE_OPTION": "後車軸"
"STORE_TITLE_WITHDRAW": "引き出し"
"HORDE_MODE_TITLE_FAIL": "ウェーブ{0}クリア"
"HORDE_MODE_KILL_COUNT": "キルカウント"
"STAT_DRIVING_NEARMISS": "ニアミス"
"STAT_DRIVING_BURNOUT": "バーンアウト"
"Human Thrown Distance_NAME": "最大投てき距離"
"CONTROL_CHANGE_MODE": "モードを変更する"
"CONTROL_VIEW_GAMER_CARD": "ゲーマー カードを見る"
"CONTROL_BACK": "戻る"
"CELL_POLICE": "警察"
"GIVE_SONIC": "ソニックガン"
"SUPER_SAINTS_DESC": "最凶最悪、それがセインツ"
"CUST_ICON_WRISTS": "手首"
"MUSIC_METAL": "メタル"
"MENU_EXPORT_SIGN_IN_FULL": "マルチプレイヤーにエクスポートするには\nXbox Liveにサインインしている必要があります"
"STORE_LEVEL_REQ": "必要レベル{0}"
"WPNSTOR_TEXT_MAX_WEAPONS_STORE": "既にこの武器は所有しています"
"ESCORT_NAME_9A": "スリッパリー"
"CONTROL_CHANGE_VIEWED_PLAYER": "観戦プレイヤーを変更する"
"MUSIC_HIPHOP": "ヒップホップ"
"DEALER_NO_SPACE": "ガレージが一杯で%sを保管できません"
"Total Gang Kills_NAME": "ギャングキル合計"
"HASH_937C34EF": "スタイル評価"
"VCUST_HUBCAPS_TITLE": "ホイールキャップ"
"PURCHASEABLE_PROPERTEY_STEEL": "OLDE STEEL FACTORY"
"TAT_REG_FRONT": "胸部"
"STAT_TAUNTING_TOTAL_CIVILIANS_TAUNTED": "挑発した民間人"
"STAT_MILES_BY_BIKE": "バイクで走った距離"
"STAT_ACTIVITY_CASH_EARNED": "アクティビティで稼いだ金額"
"ESCORT_NAME_18A": "ダーティ"
"CONTROL_BEGIN_GAME": "ゲームを開始する"
"ADD_COP_NOTORIETY_DESC": "警察の悪評度が増加する"
"PLAYER_CREATION_QUIT_TO_MAIN_MENU_FULL": "メインメニューに戻りますか？"
"OUTFIT_NAME_ENTRY_DIALOG": "衣服セットの名前を入力"
"WPN_CACHE_EXIT_PROMPT": "武器庫を出ます\n\nよろしいですか？"
"STORE_FREE": "無料"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_AMMO": "「%s」の弾を持っていきますか？"
"STAT_DRIVING_BACKSEAT": "ロードキル"
"STAT_DRIVING_TWOWHEELS_RESPECT": "片輪走行で獲得したリスペクト"
"STAT_MAX_STUNT_FALL_DIST": "最大落下距離"
"STAT_ARRESTS": "逮捕"
"ESCORT_NAME_33B": "バタフライ"
"RADIO_STATION_OFF": "OFF"
"CONTROL_EXIT_PURCHASE_TATTOOS": "タトゥーの選択を終了する"
"MAP_ICON_PIMPING": "スカウト"
"STAT_DEATHS": "死亡"
"Time at Highest Gang Notoriety_NAME": "最大ギャング悪評度時間"
"MAP_ICON_ESCORT": "エスコート"
"RESTORE_WEATHER": "天候を標準に戻す"
"GANG_CUST_GANG_SIGN_TITLE": "ギャングサイン"
"IMPRESSIONS_NAME": "IMPRESSIONS"
"STORE_INVENTORY_EMPTY_TITLE": "所持品はありません"
"GARAGE_DELETE_CONFIRM": "車両を手放しますか？"
"HORDE_MODE_SURVIVAL_TIMER_TAG": "累計タイム"
"STAT_CAT_MOUSE_MOST_ROUND_KILLS": "キャット&マウス：1ラウンド最多キル"
"STAT_RPG_SHOTS_FIRED": "ロケットランチャー発射回数"
"STAT_STREAKING_CASH": "ストリーキングで獲得したリスペクト"
"STAT_TAUNT_RESPECT": "挑発して獲得したリスペクト"
"ESCORT_NAME_31B": "リザード"
"CONTROL_CHANGE_LB_FILTER": "フィルターを変更する"
"CONTROL_QUITGAME": "終了"
"TIME_SET_NOON_DESC": "現在時刻を午後0時にする"
"DROP_CAR_DESC": "この車両をガレージに入れる"
"DROP_BOOTLEGGER": "BOOTLEGGER"
"QUIT_GAME_TEXT_FULL": "本当に終了しますか？\nセーブされていない進行状況は失われます"
"GARAGE_REPAIR": "修理"
"STAT_COMBAT_ONE_HIT_RESPECT": "一撃必殺で獲得したリスペクト"
"STAT_CHOPSHOP_VEHICLES": "集めた車両"
"Matchmaking": "ゲームを探しています"
"DROP_TITAN": "TITAN"
"SUPER_EXPLOSIONS_DESC": "爆発の規模が4倍になる"
"BE_ALL_YOU_WANT_TO_BE_DESC": "自分のキャラクターの外見をリストから選択できる"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK_FOR_CASH_BLANK": "「%s」と「%s」を%sドルで交換しますか？ "
"SWITCH_TO_WARDROBE": "クローゼットへ切り替え"
"HUD_CRIB_CHANGE_RADIO_STATION": "ラジオ局を選ぶ"
"STAT_DRUG_TRAFFICKING_BUYERS_SATISFIED": "デリバリー：満足させたバイヤー"
"STAT_COMBAT_MULTI_RESPECT": "マルチキルで獲得したリスペクト"
"ESCORT_NAME_37B": "シャワー"
"Diversion Bronze Stars_NAME": "ブロンズスター"
"HASH_A166F6F5": "マッサージで獲得したリスペクト"
"GARAGE_REPAIR_VEHICLE": "{0}ドルで修理"
"VCUST_RIM_NUMBER": "リム{0}"
"GOTH_NAME": "NOBODY LOVES ME"
"HORDE_MODE_WAITING_FOR_HOST": "ホスト待ち"
"ESCORT_NAME_38_A": "クロックワイズ"
"PURCHASEABLE_PROPERTEY_BODEGA": "PICKPOCKET PAWN SHOP"
"STAT_PISTOL_HIT_PCT": "ピストル命中率"
"STAT_SNATCH_HOS_CLAIMED": "スカウト：調達したエステティシャン"
"ESCORT_NAME_35B": "ラトルスネイク"
"WEAR_OUTFIT_TITLE": "衣服セットを着る"
"WARDROBE_REMOVE_OUTFIT_TITLE": "衣服を削除する"
"INFINITE_SPRINT": "無限ダッシュ"
"NO_COP_NOTORIETY": "警察悪評度なし"
"STORE_EXIT_WARNING_HEADER": "警告"
"CRIB_SAINTSHQ": "SAINTS HQ"
"PURCHASEABLE_PROPERTEY_WARF": "HENRY STEEL WHARF"
"STAT_STREAKING_TOTAL_TIME": "ストリーキング時間合計"
"STAT_FAVORITE_TRANSPORTATION": "お気に入りの移動モード"
"ESCORT_NAME_29A": "ロイヤル"
"DROP_NFORCER": "NFORCER"
"DROP_CONDOR": "CONDOR"
"GIVE_DRONE": "リーパードローン"
"PURCHASEABLE_PROPERTEY_BROTHEL": "HARANO'S HOOKUP HOUSE"
"PURCHASE_TATTOOS_NAME": "タトゥーを入れる"
"VEHICLE_COLOR_BASIC": "詳細"
"MENU_TITLE_INSUFFICIENT_FUNDS": "資金不足"
"STORE_TEXT_INSUFFICIENT_FUNDS_BLANK": "購入資金が足りません"
"STAT_TAUNTING_TOTAL_GANG_MEMBERS_TAUNTED": "挑発したギャングメンバー"
"STAT_TAUNTING_TOTAL_COMPLIMENTS_GIVEN": "敬意を表した人数"
"ESCORT_NAME_39_B": "ニード"
"HEAVY_RAIN": "大雨"
"EVIL_CARS": "イーブルカー"
"STORE_RESPECT": "リスペクト+{0}"
"STORE_SELECT_BUILD": "体型を決定"
"RUSTY_NEEDLE_NAME": "RUSTY'S NEEDLE"
"STAT_LUCHADORES_KILLED": "倒したルチャドール"
"STAT_DRIVING_BAILOUT": "脱出"
"STATS_NONE": "なし"
"ESCORT_NAME_27A": "クレイジー"
"DEMO_FREEPLAY": "無料体験版"
"CONTROL_SCROLL_LIST": "リストスクロール"
"Gang_Saints": "サードストリートセインツ"
"DROP_ANCHOR": "ANCHOR"
"TIME_SET_MIDNIGHT_DESC": "現在時刻を午前0時にする"
"GIVE_WEAPON_DESC": "この武器を装備品に加える"
"WPNSTOR_TEXT_CRIB_TAKE_BLANK_FULL": "アジトから%sを持ち出しますか？"
"TATTOO_INSUFFICIENT_FULL": "「%s」を%sに入れるには購入資金が足りません"
"CUST_BROWSER_TITLE": "カスタマイズ選択画面"
"HORDE_MODE_QUIT_TEXT": "終了してもよろしいですか？\n両プレイヤーの千人切りモードを終了します"
"STAT_MAX_WRONG_WAY_DISTANCE": "逆走の最長距離"
"STAT_PEOPLE_RUN_OVER": "ひいた人数"
"STAT_AERIAL_STUNTS_FOUND": "見つけたアクロバットスポット"
"PLAYER_CREATION_ABOUT_TO_REVERT": "これらの変更をキャンセルしますか？"
"DROP_VULTURE": "VULTURE"
"STORE_SKINNY": "細め{0}%%%%"
"GARAGE_RETRIEVE_VEHICLE": "出す"
"COMPLETION_EXIT_STRONGHOLD_CONFIRMATION": "拠点を終了してもよろしいですか？"
"GANG_CUST_GANG_SIGN_OPT": "サイン"
"STORE_NOT_AVAILABLE": "在庫なし"
"VEHICLE_FREE": "無料"
"STAT_COOP_MISSIONS_COMPLETED": "協力プレイ：クリアしたミッション"
"STAT_COMBAT_NUTSHOT_RESPECT": "急所攻撃で獲得したリスペクト"
"ESCORT_NAME_25A": "アヴェンジング"
"CUST_GANG_NAME_NINJA": "ニンジャ"
"GIVE_KOBRA": "KA-1 コブラ"
"DROP_PHOENIX": "PHOENIX"
"EVIL_CARS_2": "イーブルカー2"
"COSTUME_NAME": "LET'S PRETEND"
"HAIR_CAT_NONE": "なし"
"STAT_PHOTO_OP_FOUND": "見つけたシャッターチャンス"
"STATS_DISTANCE_METERS": "%0.2fm"
"STAT_HOLDUP_ROBBED": "強盗した店舗数"
"Max Notoriety Col1_NAME": "悪評度ランキング"
"SPActivity": "{C10}をプレイしています アクティビティ：{C3}"
"HASH_CC9E7A7D": "デスタグ：プレイ時間"
"PLAYER_CREATION_NEW_PRESET_FULL": "新しい設定を選択するとその他すべての変更が失われます！"
"HUD_SHOP_NO_WEAPONS": "武器を所有していません"
"VCUST_TIRES_TITLE": "タイヤ"
"PURCHASEABLE_PROPERTEY_CHOP": "DAVILA'S AUTOMOTIVE"
"STAT_VEHICLE_WATERCRAFT": "船舶"
"STAT_HUMAN_TORCH_BONUS_EARNED": "ファイアレース：獲得したタイムボーナス"
"STAT_MAX_DRIVER_BAILOUT_DISTANCE": "ドライバー脱出最長距離"
"ESCORT_NAME_23A": "スティンキー"
"RADIO_STATION_KRHYME": "KRHYME"
"MAP_ICON_STAIRS": "階段"
"GIVE_ALL_WEAPONS": "ウェポンロッカー"
"MENU_OPTION_CANCEL": "キャンセル"
"POC2_UPGRADE_CAR": "車をカスタマイズ"
"VCUST_FRONT_AXLE_OPTION": "前車軸"
"LINGERIE_STORE_NAME": "LEATHER & LACE"
"STORE_WEAPON_STORE_MSG": "武器を購入"
"HASH_E632737E": "ゲーム達成率"
"GIVE_ELECTRIC": "電撃手榴弾"
"GIVE_CYBERSMG": "サイバーブラスター"
"CLEAR_SKIES": "快晴"
"VARIANT_ALREADY_OWNED": "このスタイルは既に持っている"
"CRIB_HUD_HANGAR_NAME": "AIRPORT HANGAR"
"VCUST_PURCHASE_WHEELS_PROMPT": "このホイールセットを{0}ドルで購入しますか？"
"PURCHASEABLE_PROPERTEY_HOSPITAL": "HOSPITAL"
"STAT_MAYHEM_OBJECTS_DESTROYED": "メイヘム：破壊したオブジェクト"
"STAT_COMBAT_CAR_RESPECT": "ギャングの車を破壊して獲得したリスペクト"
"ESCORT_NAME_21A": "ダイビング"
