"UNL_DESC_RESPECT_LUCHA_3": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_HOMIE_ZGAT": "МОЗГИИИИИИ"
"TUT_WHORED_Z_TEXAS_ZOMBIES": "ТЕХАССКИЕ ЗОМБИ"
"TUT_WHORED_A_TINY_PROBLEMS": "КРОШЕЧНЫЕ ПРОБЛЕМЫ"
"TUT_WHORED_A_BOOM_HEADSHOT": "БАБАХ В ГОЛОВУ"
"TUT_WHORED_A_GENKI_GAMES": "ИГРЫ ДЖЕНКИ "
"TUT_WHORED_D_LILLIPUTIANS": "ЛИЛИПУТЫ"
"WPN_SHARK": "АКУЛА"
"EXPLOSIVE_GRENADELAUNCHER": "ГРАНАТОМЕТ М2"
"HOOD_MONEY_EARN_RATE": "ДЕНЕЖНЫЕ ПОСТУПЛЕНИЯ В ЧАС: %s"
"UNL_DESC_CYPHER_WEAPON": "Эта полностью автоматическая снайперская винтовка Ультора позволяет убивать с большим изяществом."
"UNL_CLOTHING_NG": "ПРЕДМЕТ - ФОРМА ГВАРДИИ СТИЛПОРТА"
"UNL_DESC_UNLIMITED_SPRINT": "Бег может длиться вечно."
"HOOD_SE_01": "СЬЕРРА-ПОЙНТ"
"UNL_RESPECT_DECKER_2": "БОНУС АВТОРИТЕТА"
"UNL_DESC_CASH_LIMIT_EURO_2": "За улучшение жилья \"Порох\" ваш лимит перевода денег увеличивается."
"UNL_AMMO_MSTAR_2": "СКЛАД ОРУЖИЯ - БОЕПРИПАСЫ"
"UNL_AMMO_DECKER_2": "СКЛАД ОРУЖИЯ - БОЕПРИПАСЫ"
"UNL_DESC_CASH_MULTIPLIER_1": "Количество всех получаемых вами денег увеличивается на 5%%."
"SGI_RETRY": "Заново?"
"chainsaw": "ЛЕСОРУБ"
"MISSION_CANCEL_SUB_TEXT": "МИССИЯ ОТМЕНЕНА"
"UNL_VEHICLE_DELIVERY": "БРАТОК - ДОСТАВКА МАШИНЫ"
"TUT_WHORED_A_AY_DIOS": "АЙ, ДИОС МИО!"
"TUT_WHORED_A_APEX_PRED": "СВЕРХХИЩНИК"
"TUT_NP_CAR_CONTROLS": "{ACCELERATE_IMG} - УСКОРЕНИЕ \n{BRAKE_REVERSE_IMG} - ТОРМОЗ/ЗАДНИЙ ХОД\n{HANDBRAKE_IMG} ДРИФТ"
"HUD_DIVERSION_CASH": "ДЕНЬГИ"
"HOMIES_SWAT_TEAM": "КОМАНДА СПЕЦНАЗА"
"UNL_GANG_VEHICLES_MSTAR": "БАНДА - НОВЫЕ МАШИНЫ"
"UNL_DESC_RESPECT_EURO_1": "За приобретение жилья \"Порох\" количество любого зарабатываемого вами авторитета увеличивается на 5%%."
"UNL_DESC_DLC_PREORDER01_VEHICLES": "Единственная машина, в самом деле стреляющая из пушки живыми людьми."
"UNL_DESC_UPGRADE_AMMO_PISTOL_2": "Можно переносить на 50%% больше патронов для пистолета."
"UNL_NOTORIETY_DECKERS_3": "ДУРНАЯ СЛАВА - ДЕКЕРЫ 3"
"UNL_WEP_AIRSTRIKE": "ОРУЖИЕ - АВИАНАЛЕТ SA3"
"TUT_CHOPSHOP": "{MAP_MENU_IMG} вСВЯТЫХ \nТеперь в \"вСвятых\" есть машины на угон. Найдите эти машины и угоните, чтобы быстро заработать денег."
"TUT_UNDERCOVER": "Ни на кого не нападайте - в противном случае вы привлечете к себе внимание и провалитесь. "
"TUT_TITLE_VTOL_CONTROL": "УПРАВЛЕНИЕ СВВП"
"TUT_TITLE_CRIB_CLOSET": "ГАРДЕРОБ"
"TUT_TITLE_CRIB_RECEIVE": "ЖИЛЬЕ"
"TUT_TITLE_PUSHBACK": "БИТВА ЗА РАЙОН"
"TUT_TITLE_DIV_INTRO_MUGGING": "ГРАБЕЖ"
"STRONG_CANCEL_TITLE": "ПРЕРВАТЬ/НАЧАТЬ ЗАНОВО"
"UNL_DESC_UNLIMITED_AMMO_EXPLOSIVES": "Количество взрывчатки не ограничено."
"UNL_DESC_UPGRADE_AMMO_RIFLE_3": "Можно переносить на 75%% больше патронов для винтовки."
"TUT_TITLE_TAUNTING": "НАСМЕШКИ / ПОХВАЛЫ"
"UNL_DESC_INCOME_LUCHA_3": "Вы получаете бонус 15%% к почасовому доходу с района Карвер-Айленд."
"TUT_WHORED_Z_BIG_BONED": "У НЕЕ ШИРОКАЯ КОСТЬ"
"UNL_WEAPON_CUST_LOW_COST": "СКИДКА - ОРУЖИЕ"
"UNL_NOTORIETY_MSTAR_3": "ДУРНАЯ СЛАВА - МОРГЕНШТЕРН 3"
"UNL_HIDDEN": "СКРЫТО"
"Molotov": "КОКТЕЙЛЬ МОЛОТОВА"
"UNL_GANG_NPC_COP": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DESC_SWAT_BACKUP": "Во время боя вы можете вызвать на помощь отряд спецназа."
"UNL_DAMAGE_MELEE_3": "БЛИЖНИЙ БОЙ - СИЛА 3"
"UNL_DESC_FOLLOWER2": "Теперь вы можете завербовать двух Святых. Нажмите {RECRUIT_DISMISS_IMG}, чтобы завербовать бойцов."
"TUT_HUMAN_SHIELD": "{ACTION_IMG} СХВАТИТЬ ЖИВОЙ ЩИТ\nЖивые щиты защищают от пуль и дают время восстановиться."
"HOMIES_ZGAT_DESC": "Воскресите Джонни Гэта в виде зомби, чтобы он помог вам."
"UNL_DESC_RESPECT_DECKER_3": "За приобретение жилья \"АЭС\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_VEHICLE_WATERCRAFT": "Теперь в вашем гараже есть несколько судов."
"UNL_DESC_SAINTS_BACKUP": "В бою Святые приходят на помощь."
"TUT_WHORED_A_ENDING_DEBATE": "КОНЕЦ ДЕБАТАМ"
"SHOTGUN_CHUM": "АКУЛОМАТ"
"SATELLITE_GUIDED_MISSILES": "САМОНАВОДЯЩИЕСЯ РАКЕТЫ"
"UNL_DESC_DAMAGE_EXPLOSIVE_4": "Взрывы не наносят вообще никакого урона."
"NEW_BUTTON": "НОВЫЙ"
"TUT_WHORED_D_CAAN_COOJ": "КААН ПРОТИВ КУУЛА "
"TUT_ACT_INTRO_ESCORT": "Катайтесь по городу и не подпускайте к себе папарацци, чтобы заработать деньги и авторитет."
"CS_TITLE_3_COUNT_SB": "СПОРТИВНЫЙ ЖУРНАЛ КАЗИНО \"РАЗ-ДВА-ТРИ\""
"HITMAN_DISPLAY_DISTRICT_UNKNOWN": "НЕИЗВЕСТНО"
"CUTSCENE_REMOTE_SKIPPING": "{SKIP_MODAL_SEQUENCE_IMG} ПРОГОЛОСОВАТЬ ЗА ПРОПУСК"
"UNL_GANG_NPC_WREST": "ИЗМЕНЕНИЕ БАНДЫ"
"UNL_DESC_UPGRADE_AMMO_SPECIAL_2": "Вы можете переносить на 50%% больше особых патронов."
"UNL_DESC_VEHICLE_CUSTOMIZATION": "Позволяет изменять машины."
"TUT_TITLE_M16_AVATAR_ATTACKS": "АВАТАР АТАКУЕТ"
"UNL_DESC_AMMO_MSTAR_2": "Вы можете хранить на 10%% больше боеприпасов в арсенале."
"UNL_VEHICLE_AIRCRAFT": "МАШИНА - САМОЛЕТ"
"UNL_DESC_DAMAGE_VEHICLE_1": "Урон от столкновений с машинами снижается на 10%%."
"WPN_RIFLESTAG_DESCRIPT": "Винтовкка отряда КАБАН использует лазерные технологии, позволяющие полностью избавиться от необходимости перезарядки обойм. Опасайтесь перегрева."
"HUD_JUMP_ON_KILLBANE": "НАБРОСИТЬСЯ НА КИЛЛБЕЙНА"
"HOMIES_SHAUNDI_DESC": "Захватите с собой Шаунди, чтобы она помогла вам."
"UNL_DESC_GANG_NPC_COP": "Теперь в вашей банде могут быть полицейские."
"UNL_GANG_WEAPONS_SHOTGUN": "БАНДА - ОРУЖИЕ - ДРОБОВИКИ"
"TUT_WHORED_Z_ERECTILE": "ЭРЕКТИЛЬНАЯ ДИСФУНКЦИЯ"
"PLAYER_CHOICE_M09_OPTION2_BODY": "НАГРАДА: Увеличенный ежечасный доход"
"TUT_COMBAT_WEAPONS": "Пробегая мимо оружия, вы не поднимаете его автоматически.\nНажмите и удерживайте {WEAPON_MENU_IMG}, чтобы открыть меню оружия. Нажмите {WEAPON_SELECT_IMG}, чтобы выбрать оружие."
"SWITCH_MODE": "ПЕРЕКЛЮЧИТЬ РЕЖИМ"
"Temp_Flamethrower": "МУСОРОСЖИГАТЕЛЬ"
"HOMIES_DRIVEUP": "ДОСТАВКА ТАЧКИ"
"UNL_DESC_DLC_PREORDER04_WEAPONS": "Жрите врагов и посмотрите, что выйдет."
"UNL_DESC_HOMIE_HP_INCREASE_3": "Братки получают большой прирост здоровья."
"UNL_UPGRADE_AMMO_RIFLE_1": "ПАТРОНЫ - ВИНТОВКА"
"UNL_DAMAGE_BULLET_2": "УРОН ОТ ПУЛЬ 2"
"TUT_TITLE_WEAPON_UPGRADES": "УЛУЧШЕНИЕ ОРУЖИЯ"
"ACHIEVE_SR3_WHO_LOVES_YA_BABY": "КТО ЛЮБИТ ТЕБЯ, МАЛЫШ"
"UNL_CLOTHING_TOILET": "КОСТЮМ - ТУАЛЕТ"
"UNL_VEHICLE_STAG_TANK": "МАШИНА - ТАНК ОТРЯДА КАБАН"
"UNL_HOMIE_HEALTH_1": "БАНДА - УВЕЛИЧЕНИЕ ЗДОРОВЬЯ"
"TUT_WHORED_D_SAUSAGE": "СОСИСОЧНЫЙ ПРАЗДНИК"
"TUT_ACT_INTRO_HUMAN_TORCH": "Неситесь к финишу, чтобы заработать деньги и авторитет. Давите людей и машины, чтобы получить бонусное время на контрольных точках."
"SPECIAL_SONICGUN": "ЗВУКОВОЙ УДАР"
"USE_TRIGGER_HE_CRIB_EXIT": "ОПУСТИТЬСЯ НА ЛИФТЕ"
"HASH_EBC06667": "РАЗРЕШЕНИЕ"
"HASH_54FEDA67": "ПРОИЗВОДИТЕЛЬНОСТЬ"
"UNL_ZOMBIE_BACKUP": "БРАТКИ - ЗОМБИ-РЕЗЕРВ"
"UNL_DESC_HEALTH_REGEN_1": "Здоровье восстанавливается несколько быстрее."
"TUT_TITLE_WAYPOINT": "ТОЧКИ МАРШРУТОВ GPS"
"ACHIEVE_SR3_TITANIC_EFFORT": "ТИТАНИЧЕСКИЕ УСИЛИЯ"
"HUD_ATTACK_KILLBANE": "АТАКОВАТЬ КИЛЛБЕЙНА"
"USE_TRIGGER_GRAB_PARACHUTE": "ВЗЯТЬ ПАРАШЮТ"
"UNL_DESC_DLC_PREORDER02_ALERT": "В вашем гардеробе и арсенале доступен загружаемый контент."
"UNL_UPGRADE_AMMO_SMG_3": "ПАТРОНЫ - АВТОМАТ 3"
"UNL_GARAGE_TANK": "МАШИНА - ТАНК"
"TUT_WHORED_A_RECYCLE": "ПОВТОРНАЯ ПЕРЕРАБОТКА"
"TUT_WHORED_GATATTACK": "ГЭТ-АТАКА"
"TUT_HUMAN_SHIELD_GENERAL": "{ACTION_IMG} БРОСИТЬ ЩИТ\nНАЖМИТЕ {CBA_OFC_HS_EXECUTE_IMG}, ЧТОБЫ УБИТЬ СВОЙ ЩИТ"
"TUT_TITLE_PAUSE_MAP": "КАРТА (ПАУЗА)"
"TUT_GANG_CUSTOMIZE": "В создании банды вы можете изменить стиль одежды Святых, и машины, а также набор их насмешек и комплиментов."
"WPN_SHOTGUNSTAG_DESCRIPT": "Дробовик бойцов КАБАНа. Не требует времени на перезарядку, но может перегреваться при стрельбе."
"HUD_ACT_EXIT": "%ls - ПОКИНУТЬ ЗАДАНИЕ"
"UNL_DESC_SNATCH": "Вы открыли новые локации для задания ПИЛОТАЖ. \nПоищите их на карте."
"UNL_DAMAGE_FALL_1": "УРОН ОТ ПАДЕНИЯ"
"UNL_DESC_HOMIE_ZIMOS": "Номер Займоса есть в меню \"ТЕЛЕФОН\" вашего мобильника. Он поможет Святым в бою."
"ACHIEVE_SR3_HI_JACK_IT": "УГОНИ-КА"
"WPN_DILDOBAT_DESCRIPT": "Нелепость секс-игрушки вкупе с убойной мощью бейсбольной биты."
"UNL_DESC_GANG_VEHICLES_DECKER": "Ваша банда теперь может использовать машины Декеров."
"UNL_WEP_RC_VEHICLE_GUN": "ОРУЖИЕ - RC-ПОВЕЛИТЕЛЬ"
"TUT_WHORED_MEGA_ZOMBIE": "МЕГА-ЗОМБИ"
"TUT_NAG_SPRINTING": "ПОМНИТЕ! ЧТОБЫ ПЕРЕДВИГАТЬСЯ БЫСТРЕЕ, ИСПОЛЬЗУЙТЕ БЕГ {SPRINT_IMG}."
"TUT_VTOL_CONTROL_B": "{ACCELERATE_IMG} ускорение/взлет. \n{BRAKE_REVERSE_IMG} торможение/снижение. \nНажмите {VTOL_TRANSITION_IMG}, чтобы переключаться между режимами самолета и вертолета."
"HUD_START_FREEFALL": "НАЧАТЬ СВОБОДНОЕ ПАДЕНИЕ"
"ITEM_COMPLETE": "Вы собрали весь набор!"
"HOOD_NE_01": "УЭСЛИ КАТТЕР ИНТЕРНЕЙШНЛ"
"SMG_STORM": "ЦВЕТОК СМЕРТИ"
"WPNCAT_SUB_MACHINE_GUN": "АВТОМАТ"
"UNL_DESC_CASH_LIMIT_DECKER_1": "За приобретение жилья \"АЭС\" ваш лимит перевода денег увеличивается."
"UNL_UPGRADE_AMMO_PISTOL_3": "ПАТРОНЫ - ПИСТОЛЕТ 3"
"TUT_WHORED_Z_WELCOME": "ВЕРШКИ И КОРЕШКИ"
"HUD_WAIT_FOR_PARTNER_TO_JOIN": "Подождите, пока войдет партнер."
"UNL_DESC_NOTORIETY_DECKERS_2": "Уровень дурной славы в отношениях с Декерами снижается быстрее."
"UNL_HOMIE_ZGAT": "БРАТОК ЗОМБИ-ГЭТ"
"TUT_WHORED_D_SECRET_AGENTS": "СЕКРЕТНЫЕ АГЕНТЫ"
"PLAYER_CHOICE_M21_OPTION1_BODY": "НАГРАДА: Маска Киллбейна"
"PLAYER_CHOICE_M21_OPTION1_TITLE": "[format][color:red]СОРВАТЬ МАСКУ С КИЛЛБЕЙНА[/format]"
"UNL_UPGRADE_STORE": "УЛУЧШЕНИЯ"
"UNL_NOTORIETY_COPS_1": "ДУРНАЯ СЛАВА - ПОЛИЦИЯ"
"UNL_HOMIE_WEAPONS": "БРАТОК - ОРУЖИЕ"
"TUT_TITLE_DLC": "ЗАГРУЖАЕМЫЙ КОНТЕНТ"
"HYDRAULICS_OFF": "ГИДРАВЛИКА ВЫКЛ."
"MISSION_COOP_CONFIRM_MISSION": "ПОДТВЕРЖДЕНИЕ НАЧАЛА ЗАДАНИЯ: %ls."
"UNL_STRONGHOLD_04_CUSTOMIZATION": "КРЕПОСТЬ - РАЗ-ДВА-ТРИ"
"UNL_DESC_VEHICLE_LUCHADOR": "В вашем гараже теперь доступны машины Лучадоров"
"STRONGHOLD_UPGRADE1": "УЛУЧШЕНИЕ 1"
"HASH_74C7C670": "Здесь появляется информация об автосохранении, контрольных точках, лучших трюках и исследовании мира."
"HOOD_NEW_BARANEC": "НЬЮ-БАРАНЕК"
"UNL_BLOODY_MESS": "НАВЫК - КРОВАВАЯ БОЙНЯ"
"UNL_DESC_UPGRADE_AMMO_RIFLE_1": "Можно переносить на 25%% больше патронов для винтовки."
"TUT_TITLE_RESPECT": "АВТОРИТЕТ"
"TUT_ACT_INTRO_DRUG_TRAFFICKING": "Прикрывайте и охраняйте наркосделки в Стилпорте."
"ACHIEVE_SR3_KUH_BOOM": "БАБАХ"
"HUD_DOCK_NEED_VEHICLES": "ДОБАВИТЬ СУДА ДЛЯ ДОСТУПА К ПРИСТАНИ"
"UNL_DESC_SAINTSBOOK": "В \"вСВЯТЫХ\" в своем телефоне вынайдете цели для уничтожения, списки машин для угона и список задач."
"UNL_DESC_INCOME_LUCHA_1": "Вы получаете бонус 5%% к почасовому доходу с района Карвер-Айленд."
"UNL_DESC_GANG_WEAPONS_SHOTGUN": "Члены вашей банды могут использовать дробовики."
"UNL_NG_CUSTOMIZATION": "ПРЕДМЕТ - ГВАРДИЯ СТИЛПОРТА"
"UNL_DESC_DAMAGE_BULLET_4": "Пули не наносят вообще никакого урона."
"ACHIEVE_SR3_PARTNERS_IN_CRIME": "ПАРТНЕРЫ ПО ПРЕСТУПЛЕНИЮ"
"SATELLITE_MODE_EXIT": "ВЫЙТИ ИЗ СПУТНИКА"
"UNL_NOTORIETY_MSTAR_1": "ДУРНАЯ СЛАВА - МОРГЕНШТЕРН"
"TUT_WHORED_D_TARGET_PRACTICE": "ПРАКТИКА СТРЕЛЬБЫ"
"TUT_WHORED_MUSCLESNDILDOS": "БУДЕМ МЕРЯТЬСЯ"
"UNL_DESC_CLOTHING_KILLBANES_MASK": "Теперь вы можете носить маску Киллбейна."
"UNL_DAMAGE_MELEE_1": "БЛИЖНИЙ БОЙ - СИЛА"
"UNL_DESC_DAMAGE_FIRE_4": "Огонь не наносит вообще никакого урона."
"TUT_WHORED_APACOFISTS": "БЕРЕГИСЬ КУЛАКА АПОКАЛИПСИСА"
"TUT_TITLE_STORE_INTRO_WEAPONS": "ОРУЖЕЙНЫЕ МАГАЗИНЫ"
"UNL_DLC_PREORDER04_CLOTHING": "ПРЕДМЕТ - ШАПКА \"ЗУБЫ АКУЛЫ\""
"UNL_DESC_UPGRADE_AMMO_EXPLOSIVE_2": "Вы можете переносить на 50%% больше взрывчатки."
"UNL_DESC_CASH_MULTIPLIER_3": "Количество всех получаемых вами денег увеличивается на 15%%."
"TUT_STORE_INTRO_CLOTHES": "Магазины одежды позволят вам менять своего персонажа. Покупка одежды повышает авторитет."
"FLASHPOINT_HUD_TEXT": "ОПЕРАЦИЯ БАНДЫ РАЗРЕШЕНА"
"HUD_SECONDS_ABR": "СЕК"
"TAXI_UNAVAILABLE": "ТАКСИ НЕДОСТУПНО"
"FRIENDLY_FIRE_TURNED_OFF__NYOU_CAN_NO_LONGER_DAMAGE_YOUR_PARTNER": "ОГОНЬ ПО СВОИМ ВЫКЛЮЧЕН!\nвЫ БОЛЬШЕ НЕ МОЖЕТЕ ПРИЧИНИТЬ ВРЕД ПАРТНЕРУ."
"UNL_STRONGHOLD_03_CUSTOMIZATION": "КРЕПОСТЬ - РЕАКТОРЫ БЕРНС-ХИЛЛ "
"UNL_DESC_DLC_ASSET02_ALERT": "В вашем гардеробе, арсенале и/или гараже доступно новое содержимое."
"UNL_DESC_SPRINT_4": "Бег может длиться на 100%% дольше."
"UNL_DESC_WEEKLY_CASH_FOR_HOS": "Почасовые выплаты в размере 1000 долларов за содержание шлюх \"Моргенштерна\"."
"TUT_TITLE_NP_HELI_WEAPON_CONTROLS": "ВЕРТОЛЕТНОЕ ОРУЖИЕ"
"WPN_BASEBALLBAT_DESCRIPT": "Длинная деревянная палка. Ей удобно бить людей. Чего ж вам еще?"
"SPECIAL_RCVEHICLEGUN": "ПОВЕЛИТЕЛЬ RC-V"
"SHOTGUN_AMMO": "ПАТРОНЫ К ДРОБОВИКУ"
"UNL_CASH_LIMIT_DECKER_2": "ЛИМИТ ТРАНСФЕРА"
"UNL_CLOTHING_CARDINAL": "КОСТЮМ - КАРДИНАЛЬСКИЙ ПРИКИД"
"TUT_WHORED_HITNRUN": "БЕЙ И БЕГИ"
"TUT_TITLE_AIRPLANE_CONTROL": "УПРАВЛЕНИЕ САМОЛЕТОМ"
"UNL_DESC_GANG_NPC_MASCOT": "Теперь в вашей банде могут быть талисманы."
"UNL_DESC_RESPECT_EURO_3": "За приобретение жилья \"Порох\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_CYPHER_VEHICLE": "Прежде чем эту технологию по лицензии получил КАБАН, перехватчик ультора был обычным реактивным байком."
"UNL_DESC_CYBER_VEHICLES": "Теперь в вашем гараже есть машина и мотоцикл из киберпространства."
"UNL_DESC_VEHICLE_STAG_VTOL": "Теперь в гараже вашего жилища есть этот самолет."
"UNL_NOTORIETY_DECKERS_1": "ДУРНАЯ СЛАВА - ДЕКЕРЫ"
"UNL_DAMAGE_VEHICLE_2": "УРОН ОТ МАШИН 2"
"TUT_TITLE_DRONE": "БЕСПИЛОТНИКИ"
"TUT_TITLE_DIV_INTRO_BASE_JUMPING": "БЭЙС-ДЖАМПИНГ"
"TUT_TITLE_SAVE": "СОХРАНЕНИЕ ИГРЫ"
"WPN_PISTOLGANG_DESCRIPT": "Самый популярный пистолет у Святых."
"HOOD_ZOMBIE": "АРАПИС-АЙЛЕНД"
"UNL_INCOME_EURO_3": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DLC_ASSET01_OUTFITS03": "КОСТЮМ - КОРОЛЕВА ВОИНОВ"
"UNL_DESC_GANG_WEAPONS_RIFLE": "Члены вашей банды могут использовать винтовки."
"UNL_DBNO_EXTRA_TIME_2": "БАНДА - ТАЙМЕР ОЖИВЛЕНИЯ 2"
"UNL_DESC_UNLIMITED_AMMO_PISTOL": "Можно переносить неограниченное количество патронов для пистолета."
"TUT_WHORED_MEGAFURRIES": "МЕГА-ПУШИСТИКИ"
"WPN_FLASHBANG_DESCRIPT": "Этой гранатой можно оглушать врагов."
"WPN_SHOTGUNBLING_DESCRIPT": "Отличная пушка, особенно учитывая то, что при каждом убийстве бандита с ее помощью ваш авторитет растет."
"WPN_SHOTGUNPOLICE_DESCRIPT": "Стандартный дробовик, используемый силами охраны правоворядка. Как только увидите - сразу пригнитесь."
"HUD_REVIVE_HOMIE_MESSAGE": "ЗАЖМИТЕ %ls, ЧТОБЫ ВЫЛЕЧИТЬ [format][color:purple]БРАТКА[/format]."
"TUT_WHORED_Z_AGRIZOOPHOBIA": "БОЯЗНЬ ДИКИХ ЖИВОТНЫХ"
"TUT_WHORED_Z_OUTMATCHED": "ПРЕВОСХОДСТВО"
"TUT_WHORED_D_WAVE_DEAD": "ВОЛНА ЖИВЫХ МЕРТВЕЦОВ"
"WPN_SATCHEL_DESCRIPT": "Этот взрывчатый заряд прилепится к чему угодно, во что вы его бросите. Только спрячьтесь сами перед подрывом детонатора."
"UNL_DESC_FRAUD": "Вы открыли новые локации для задания СТРАХОВОЕ МОШЕННИЧЕСТВО. \nПоищите их на карте."
"UNL_AMMO_LUCHA_1": "СКЛАД ОРУЖИЯ - БОЕПРИПАСЫ"
"UNL_DESC_DLC_ASSET01_OUTFITS04": "Полный прикид космической принцессы - с перчатками, юбкой и сапогами."
"UNL_DESC_MUSCLES_2": "В ближнем бою удары отбрасывают противников дальше."
"UNL_DESC_UPGRADE_AMMO_GRENADE_1": "Можно переносить на 25%% больше гранат."
"UNL_DESC_NOTORIETY_COPS_2": "Уровень дурной славы в отношениях с полицией снижается быстрее."
"UNL_CRIB_NUKE": "ЖИЛЬЕ - РЕАКТОР БЕРНС-ХИЛЛС"
"PLAYER_CHOICE_M16_OPTION2_BODY": "НАГРАДА: Цены на изменение оружия заметно снижаются"
"TUT_TITLE_CHALLENGES": "ЗАДАЧИ"
"TUT_TITLE_CAR_SHOOTING": "БОЙ МАШИН"
"BURST_FIRE_TEST": "ТЕСТОВОЕ ОРУЖИЕ НЕПРЕРЫВНОГО ОГНЯ"
"HUD_MILES_ABR": "МИЛ"
"COMBAT_RECORD": "НОВЫЙ РЕКОРД!"
"HUD_PRESS_BLANK_TO_BLANK": "%ls - %ls"
"UNL_DLC_PREORDER01_VEHICLES": "МАШИНА - ЧЕЛОПУШКА ДЖЕНКИ"
"TUT_WHORED_A_PESTS": "ВРЕДИТЕЛИ"
"TUT_COLLECTION_STUNT_JUMP": "Места для уникальных прыжков спрятаны по всему городу - ищите их повсюду, куда бы вы не пошли!"
"CS_TITLE_UNDISCLOSED_SYNDICATE_LOCATION": "НЕРАСКРЫТАЯ ЛОКАЦИЯ СИНДИКАТА"
"RIFLE_GANG": "K-8 КРЮКОВ"
"PISTOL_GANG": "45 ПАСТУХ"
"GARAGE_CANT_OPEN": "ВЫ НЕ МОЖЕТЕ ПОСТАВИТЬ ЭТОТ ТРАНСПОРТ В ГАРАЖ."
"UNL_VEHICLES_HAVE_NITROUS": "НАВЫК - ЗАКИСЬ АЗОТА"
"UNL_COLLECTIBLE_FINDER": "ИСКАТЕЛЬ КОЛЛЕШЕК"
"UNL_CRIB_SHAUNDIS_EX": "ЖИЛЬЕ - КВАРТИРА БЫВШЕГО ШАУНДИ"
"TUT_NOTORIETY_DECREASE_STORE": "От дурной славы можно избавиться, спрятавшись в любом из ваших зданий: {MAP_IMG_CRIB}, {MAP_IMG_CLOTHING} и т.д."
"HUD_TRIGGER_NEEDS_VEHICLE": "ВЫ ДОЛЖНЫ БЫТЬ ЗА РУЛЕМ, ЧТОБЫ ВКЛЮЧИТЬ ЭТОТ ТРИГГЕР."
"HUD_AMT_SECS": "+{0} СЕК."
"UNL_DLC_GAMEPLAY03_ALERT04": "НАГРАДЫ - КАБАН"
"UNL_DLC_PREORDER02_ALERT": "НАБОР \"СТИЛЬ ЗЕД\""
"TUT_WHORED_Z_MURDER_BENDER": "УБОЙНЫЕ КЛЕЩИ"
"TUT_WHORED_MEGA_TRANNY": "БОЛЬШАЯ БЕРТА"
"TUT_TITLE_COMBAT": "РУКОПАШНЫЙ БОЙ"
"TUT_NAG_POWER_ATTACKS": "ПОМНИТЕ: ИСПОЛЬЗУЙТЕ ПОДГОТОВЛЕННЫЕ МОЩНЫЕ АТАКИ. ДЛЯ ЭТОГО НУЖНО ЗАЖАТЬ {ATTACK_PRIMARY_IMG} / {ATTACK_SECONDARY_IMG}"
"WPN_TIKITORCH": "ФАКЕЛ"
"UNL_DESC_WEEKLY_PAYMENTS_3": "Почасовые выплаты в размере 1500 долларов."
"UNL_DESC_HOMIE_KINZIE": "Номер Кинзи есть в меню \"ТЕЛЕФОН\" вашего мобильника. Он поможет Святым в бою."
"TUT_WHORED_HEADSHOT": "ВЫСТРЕЛЫ В ГОЛОВУ"
"ACHIEVE_SR3_BO_DUKE_EN": "КАК МЕМФИС"
"HID_TRIGGER_VEHICLE_REPAIR_NSF": "У ВАС НЕДОСТАТОЧНО ДЕНЕГ НА РЕМОНТ МАШИНЫ"
"HOOD_NW_01": "БЕРНС-ХИЛЛ"
"UNL_GANG_VEHICLES_DECKER": "БАНДА - НОВЫЕ МАШИНЫ"
"UNL_DESC_INSTANT_RELOAD_PISTOL": "Ваши пистолеты перезаряжаются мгновенно."
"UNL_DAMAGE_EXPLOSIVE_3": "УРОН ОТ ВЗРЫВЧАТКИ 3"
"TUT_WHORED_ZOMBIE_UPRISING": "ВОССТАНИЕ ЗОМБИ"
"TUT_WHORED_SHRINKAGE": "РАЗМЕР НЕ ИМЕЕТ ЗНАЧЕНИЯ"
"TUT_TITLE_SECRET_LOCATIONS": "СЕКРЕТНЫЕ ЛОКАЦИИ"
"TUT_TITLE_HUD_TEXT": "ПОДСКАЗКА"
"ACHIEVE_SR3_GENDER_EQUALITY": "РАВЕНСТВО ПОЛОВ"
"UNL_AUTO_COMPLETE_CTO_DISTRICT": "КОНТРОЛЬ НАД ГОРОДОМ"
"UNL_DESC_NPC_CASH_DROP_2": "Вы сможете собирать с трупов в четыре раза больше денег."
"TUT_TITLE_DIV_INTRO_HOLDUP": "НАЛЕТОВ"
"TUT_COMBAT_WEAPONS_0": "{WEAPON_MENU_IMG} + {WEAPON_SELECT_IMG} ПЕРЕКЛЮЧЕНИЕ ОРУЖИЯ"
"ACHIEVE_SR3_GETTING_THE_GOODS": "ПОИСК ТОВАРОВ"
"WPN_RPG_DESCRIPT": "Для максимума огневой мощи и охрененных взрывов ракетница - беспроигрышный вариант."
"DIVERSIONS_CASH": "НАЛИЧКА {0}"
"HUD_RESPECT_RANK_006": "ОХРАННИК"
"UNL_DESC_CHARACTER_CUSTOMIZATION": "Позволянт изменять персонажа."
