"ACT_WHORED_Z_AGRIZOOPHOBIA": "C'est un gros problème."
"ACT_PIMPING_VEHICLE_ROUTE_HO": "ARRÊTE LE [format][color:red]VÉHICULE[/format] ET RÉCUPÈRE LA [format][color:green]PUTE[/format]"
"ACT_WHORED_D_IRONY": "Elle n'a rien de \"petit\"."
"ACT_WHORED_APOC": "Nettoyage des rues... en faisant exploser les gens."
"ACT_WHORED_ROUND1": "Bienvenue dans le mode Horde!"
"ACT_VANDALISM_NAME": "CHAOS"
"ACT_VANDAL_BONUS_BASE_VALUE": "VALEUR DE BASE"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "TU AS %d SECONDES POUR ÉCHAPPER À LA CIBLE"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "BONUS CHAIR À CANON"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "{HANDBRAKE_IMG} DÉRAPE PENDANT %0.1f SECONDES POUR CALMER LE TIGRE"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "TU AS COULÉ LA VOITURE"
"ACT_WHORED_MEGAFURRIES": "Le plus gros, le plus joli et le plus mortel!"
"ACT_WHORED_AYDIOSMIO_FAIL": "¿Por qué?"
"CHOP_SHOP_START": "OBTENIR LISTE DE VÉHICULES DU GARAGE CLANDESTIN"
"ACT_VANDAL_TEAM_BONUS_MSG": "Tuer des %ls te rapporte un bonus."
"ACT_ESCORT_CLIENT_MSG": "VA CHERCHER TON [format][color:green]CLIENT[/format]"
"ACT_THEFT_SAFE_OPEN": "OUVRIR LE COFFRE"
"ACT_WHORED_A_SELF_CONSCIOUS": "Les gens disent que ce n'est pas la taille qui compte..."
"ACT_WHORED_MEGACAN_FAIL": "Maintenant c'est la boîte qui te recycle."
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "On savait tous que la révolte des clodos viendrait."
"ACT_WHORED_ZOMBIE_INFERNO": "Les zombies courent, explosent et te font brûler. Ta santé ne se régénère pas non plus. Je sais, on est durs."
"ACT_RUNNING_MAN_WAGER_TITLE": "QUITTE OU DOUBLE?"
"ACT_ESCORT_NAME": "ESCORTE"
"ACT_EARNED_RESPECT": "Tu as gagné %d de respect!"
"ACT_WHORED_D_APOTHEOSIS": "Pour s'amuser, faut massacrer!"
"ACT_WHORED_MINICANS": "Mini-flingue, mini-boîtes de conserve, méga-fun!"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "COFFRE-FORT"
"ACT_ZOMBIE_START_WAVES": "METS FIN À L'ATTAQUE DES ZOMBIES EN ÉLIMINANT LES ZOMBIES RESTANTS"
"ACT_VANDAL_STATION_WAGON_MSG": "BREAK"
"ACT_FRAUD_CURRENT_HIT": "DERNIER ACCIDENT :"
"ACT_CHOP_NOT_WANTED": "Le garage ne veut pas de ce véhicule. "
"ACT_WHORED_MEGA_TRANNY": "Brutella te veut."
"ACT_TORCH_FRENZY_INSTRUCTIONS": "Brûle toutes les cibles indiquées avant que le temps n'expire."
"ACT_WHORED_Z_ROLL_OVER": "Ne ressuscite pas."
"ACT_WHORED_A_VINTAGE_HORROR": "Tu affrontes des zombies avec un flingue qui a des munitions illimitées. Tu ne peux pas sprinter, ni régénérer ta santé."
"ACT_TANK_MAYHEM_NAME": "CHAOS TANK"
"ACT_VANDALISM_TITLE": "CHOIX DU NIVEAU CHAOS"
"ACT_LEVEL_3": "NIVEAU 3"
"ACT_CHOP_SHOP_NAME": "GARAGE CLANDESTIN"
"ACT_WHORED_GAT_ATTACK": "Prends le contrôle d'une mascotte géante de Gat et écrase tes ennemis!"
"ACT_LEVEL_6": "NIVEAU 6"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "RECORD SAUT DE FALAISE EN FRAUDE"
"ACT_CHOP_SHOP_MODS_REQUIRED": "Certaines voitures nécessitent quelques modifications."
"ACT_WHORED_A_TANK": "On va avoir besoin d'un plus gros bateau."
"ACT_WHORED_D_TARGET_PRACTICE": "Le stand de tir rural, avec une touche moderne."
"ACT_WHORED_WEAKSAUCE": "Ta taille et les dégâts que tu infliges sont réduits!"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "TOUTES LES AFFAIRES SONT CONCLUES"
"ACT_YOU_HAVENT_COMPLETED": "(TU N'AS PAS TERMINÉ)"
"ACT_VANDAL_SUMMARY_PEOPLE": "PERSONNES"
"ACT_VANDAL_GOAL_MSG": "OBJECTIF :"
"ACT_TRAFFIC_PROTECT_F": "PROTÈGE LE [format][color:red]DEALER[/format] PENDANT SES LIVRAISONS"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "EMBARQUE LES [format][color:green]SAINTS[/format] ET EMMÈNE-LES EN [format][color:blue]LIEU SÛR[/format]"
"PUSHBACK_GSI_TITLE": "RÉSISTANCE"
"ACT_WHORED_A_LITTLE_NIKITA": "Mortellement sexy."
"CHOP_SPORT_SPOILER": "BECQUET SPORT"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "BONUS VOITURE COMPACTE"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "ENLEVER LES MENOTTES AU DEALER"
"ACT_FRAUD_BONUS_COP_WITNESS": "BONUS TÉMOIN FLIC"
"ACT_CHOP_REJECT_BURNING": "Le garage ne prend pas les voitures en feu!"
"HASH_DBAAE25B": "LE QUARTIER EST MAINTENANT ATTAQUÉ"
"ACT_WHORED_BOWLING": "Fais-les tous tomber!"
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "BONUS PICKUP"
"ACT_HUMAN_TORCH_NAME": "TRAÎNÉE ARDENTE"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "Une voiture de fuite a été détruite."
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "RETOURNE AU VAN!"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "MAINTIENS {ANALOG_RS_IMG} SUR LE POINT SENSIBLE ET UTILISE {ANALOG_LS_IMG} POUR SYNCHRONISER TES MOUVEMENTS"
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "BONUS VOITURE DE SPORT"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "UN DES CONTACTS EST MORT! IL T'EN FAUDRA UN AUTRE"
"ACT_WHORED_D_ANKLE_BITERS": "On se sert souvent de petits colis pour emballer des trucs mortels."
"CHOP_SHOP_NAME": "GARAGE CLANDESTIN"
"ACT_FRAUD_HIT": "ACCIDENTS :"
"ACT_VANDAL_LAUNCHER_MSG": "LANCE-ROQUETTES"
"CELL_PHONE_NO_VEHICLES": "AUCUN VÉHICULE"
"ACT_WHORED_GRENADIER_STRIPPERS": "Donne une grenade comme pourboire aux mini-strip-teaseuses."
"ACT_WHORED_WEAKSAUCE_FAIL": "PETIT JOUEUR!!!"
"ACT_RUNNING_MAN_NAME": "PROFESSOR GENKI'S S.E.R.C."
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "Remporte de l'argent en détruisant les cibles et en tuant les ennemis, puis quitte la salle avant la fin du temps. Si tu dégommes plusieurs trucs d'affilée rapidement, tu gagneras un bonus combo."
"ACT_VANDAL_NIGHTSTICK_MSG": "MATRAQUE"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "BONUS : UTILISE %s (+%d $)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "BONUS : TUE %s (+%d $)"
"ACT_ESCORT_SPAWNED_MSG": "SÈME LE VAN DE JOURNALISTES QUI TE SUIT"
"ACT_ESCORT_ROADBLOCK_MSG": "BARRAGE DE JOURNALISTES DROIT DEVANT"
"ACT_LEVEL_8": "NIVEAU 8"
"ACT_VANDAL_RIFLE_MSG": "FUSIL"
"ACT_VANDAL_BONUS_MULTI_TEAM": "BONUS : TUE %s (X%d)"
"ACT_HELI_TITLE": "CHOIX DU NIVEAU ASSAUT HÉLICO"
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "Utilise le fusil de sniper pour protéger les [format][color:green]cambrioleurs[/format]."
"ACT_ESCORT_OUTRUN": "SÈME TON POURSUIVANT"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "LE CLIENT A ÉTÉ TUÉ"
"STRONGHOLD_RESTART_TITLE": "ÉCHEC DU BASTION"
"MISSION_FAILURE_SUB_TEXT": "ÉCHEC DE LA MISSION"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "Record saut de falaise en fraude : %.2f pieds"
"ACT_FRAUD_IN_AREA": "GAGNE UN MAX D'ARGENT AVANT QUE LA [format][color:teal]ZONE DE SCORE[/format] NE SE DÉPLACE"
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "TU AS ROULÉ SUR LE CLIENT"
"HASH_391B5C61": "ÉCHEC DE LA PROTECTION DU QUARTIER"
"ACTIVITY_NAME_HELI": "ASSAUT HÉLICO"
"LOCALIZE_CHOP_SHOP": "GARAGE CLANDESTIN"
"ACT_HITMAN_START": "COMMENCER TUEUR À GAGES"
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "VAGUE %d PASSÉE"
"ACT_FRAUD_BEST_HIT_HUD": "MEILLEUR ACCIDENT :"
"ACT_WHORED_Z_MS_SEBERT": "Ça ne va pas tarder..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "Attache-toi bien."
"ACT_WHORED_GIMPS": "Faites entrer les esclaves!"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "Faut toujours respecter la viande."
"ACT_LEVEL_5": "NIVEAU 5"
"ACT_WHORED_A_AW_NUTS": "Tu veux démolir quelqu'un? Vise le paquet."
"ACT_WHORED_A_WELCOME": "C'est évident, mais c'est la première vague..."
"ACT_WHORED_APOC_FAIL": "On doit dire qu'il ne s'est rien passé?"
"ACT_VANDAL_KNIFE_MSG": "COUTEAU"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "TROP DE PUTES SONT MORTES, RECRUTE-LES {RECRUIT_DISMISS_IMG} ET TIRE-TOI"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "RECORD VOITURE FLIPPER EN FRAUDE"
"ACT_FRAUD_BONUS_AREA": "ZONE BONUS"
"ACT_WHORED_THE_END": "Bonne chance!"
"HORDE_CHARACTER_COWGIRL": "COWGIRL"
"CTS_MESSAGE_PLACE_BOMBS": "PLACER UNE BOMBE"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "À GAUCHE"
"CHOP_CONVERTIBLE_ROOF": "DÉCAPOTABLE"
"ACT_TORCH_FAIL_WATER": "TU AS ÉTEINT TA TENUE, MÉFIE-TOI DE L'EAU"
"ACT_GUARDIAN_ANGEL_START": "COMMENCER L'ANGE GARDIEN"
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "BONUS VOITURE DE RICHE"
"ACT_WHORED_D_TOKYO_BEWARE": "Il y a un petit Saint au fond de chacun de nous."
"ACT_WHORED_GRENADIERS": "Les putes savent se défendre... elles ont des grenades!"
"ACT_WHORED_MEGA_WHORE_FAIL": "Plus gros ne veut pas forcément dire meilleur."
"ACT_RUNNING_MAN_INTRO_L_3": "Obtiens 2 500 $ en détruisant les cibles et en tuant les ennemis, puis quitte la salle avant la fin du temps. Si tu dégommes plusieurs trucs d'affilée rapidement, tu gagneras un bonus combo."
"ACT_VANDAL_PASSENGER": "PASSAGER"
"ACT_WHORED_ZOMBIESATV_FAIL": "Touche-les avant qu'ils ne te touchent."
"ACT_TRAFFIC_PROTECT_DRIVER": "CONDUIS LE [format][color:green]DEALER[/format] CHEZ SES [format][color:teal]CLIENTS[/format]"
"ACT_FRAUD_NO_TIME": "Tu n'as plus de temps."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "VITE! CALME LE TIGRE!"
"ACT_WHORED_A_COYOTE_UGLY": "Faut se dégriser, et vite."
"ACT_WHORED_D_FEVER_DREAM": "On est en plein délire."
"ACT_CHOP_SHOP_START": "COMMENCER GARAGE CLANDESTIN"
"ACT_HELI_VAN_LIFE_TEXT": "STRUCTURE DU VAN"
"HASH_755E0DE8": "PROMÈNE LE [format][color:green]CLIENT[/format] DANS L'[format][color:teal]UNIVERSITÉ[/format]"
"ACT_WHORED_Z_HANK_EAST": "Il a fait la guerre, tu sais."
"ACT_WHORED_A_LEAF_BLOWER": "C'est l'heure de faire le ménage!"
"ACT_WHORED_MINISNIPERS": "Une balle, une victime."
"ACT_RUNNING_MAN_TARGET_SHOT": "CIBLE ÉLIMINÉE"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "CIBLES DE VALEUR"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "TEMPS ÉCOULÉ"
"ACT_FRAUD_TOTAL_MULTIPLIER": "Multiplicateur total : %.2fx"
"HASH_6F3F6AE9": "AMÈNE LE [format][color:green]CLIENT[/format] À LA [format][color:teal]MARINA[/format]"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "SÉLECTION DU NIVEAU ZOMBIE"
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "BONUS ÉJECTION"
"HASH_AF6B906A": "ÉCHEC DE LA RÉSISTANCE"
"ACT_WHORED_D_RUNNING_DEAD": "Garde toujours la dernière tournée pour toi."
"ACT_WHORED_MINI_BRUTES_FAIL": "Petits mais costauds."
"SUCCESS_CASH_TEXT": "ARGENT"
"CHOP_STREET_SPOILER": "BECQUET STREET"
"ACT_HELI_PROTECTION_CATCH_UP": "TES [format][color:green]POTES[/format] T'ATTENDENT"
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "LA SENTINELLE A REPÉRÉ UNE [format][color:red]MOTO[/format] EN APPROCHE"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "LE CLIENT DEMANDE QUE TU LUI FASSES %ls %ls"
"ACT_WHORED_ROLLERHOS_FAIL": "Elles sont rapides et mortelles."
"ACT_ESCORT_COURAGE": "COURAGE"
"CHOPCHOP_NONE": "VIDE"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "BONUS : UTILISE %s (X%d)"
"ACT_PIMPING_OBJECTIVE_1": "RECRUTE %d PUTES ET RAMÈNE-LES CHEZ ZIMOS"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": " PLACER UNE CHARGE"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "BONUS VÉHICULE CIVIL"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "VÉHICULES RESTANTS : %i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "Ou tu croyais que tu avais une force incroyable."
"ACT_TRAFFICKING_DAMAGE": "DÉGÂTS"
"BUTTON_MASHING_UTIL_MESSAGE": "TU DOIS APPUYER SUR %ls PLUS DE %d FOIS EN %d SECONDES"
"ACT_ZOMBIE_TRIGGER_WARNING": "Si tu pars, la menace zombie déferlera sur le monde!"
"ACT_ZOMBIE_LIMITED_USES": "Utilise tes armes avec sagesse. Leur nombre d'utilisations est limité."
"ACT_VANDAL_BONUS_VEHICLE": "BONUS VÉHICULE"
"ACT_PIMPING_FAIL_KILLED_HO": "TU AS TUÉ TA PROPRE PUTE"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "RECORD FLICS TÉMOINS EN FRAUDE"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "Voilà pourquoi il faut toujours filer un pourboire à ta strip-teaseuse, même les petites."
"ACT_WHORED_MEGA_WHORE": "En taille XL."
"ACTIVITY_FAILURE_CANCEL_TEXT": "ACTIVITÉ ANNULÉE"
"ACT_TORCH_TIME_ACCRUED": "BONUS :"
"ACT_HELI_DIVIDER_TEXT": "/"
"HASH_7059B6EE": "Passe au prochain groupe de [format][color:red]lieutenants[/format]."
"ACT_MAYHEM_FAIL": "TU N'AS PLUS DE TEMPS! UTILISE PLUS DE COMBOS DE DÉGÂTS POUR MARQUER PLUS DE POINTS"
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "BONUS ACCIDENT PAR ÉQUIPE"
"ACT_ESCORT_COMPLETE_MSG": "BIEN JOUÉ"
"ACT_WHORED_A_TBIRD": "Mets le feu! Mets le feu!"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "OBJECTIF SCORE RATÉ. TON PARI DE %ls EST PERDU."
"STRONGHOLD_START_MESSAGE": "COMMENCER BASTION"
"ACTIVITY_CANCELLED_SUB_TEXT": "ANNULÉ"
"ACT_PIMPING_TITLE": "CHOIX DU NIVEAU MAC À DAMES"
"ACT_VANDAL_BONUS_MULTIPLIER": "BONUS MULTIPLICATEUR : "
"ACT_VANDAL_BAT_MSG": "BATTE DE BASE-BALL"
"ACT_ESCORT_GETBACK_MSG": "REMONTE DANS LA [format][color:yellow]VOITURE[/format]"
"HASH_E76B14F0": "ÉCHEC DE LA RÉSISTANCE"
"ACT_WHORED_A_PUNCH_DRUNK": "Rend Marcellus fier de toi."
"STICK_ROTATION_UTIL_MESSAGE": "Tu dois faire pivoter le stick analogique %ls %ls %f fois en %d secondes."
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": "LES [format][color:green]CONTACTS[/format] ONT ÉTÉ REPÉRÉS, VA LES SAUVER"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "SAUVE LES [format][color:green]CONTACTS[/format] ET RAMÈNE-LES"
"ACT_ESCORT_SATISFIED_MSG": "DÉPOSE LE [format][color:green]CLIENT[/format]"
"ACT_WHORED_A_APEX_PRED": "Montre-leur qui est au sommet de la chaîne alimentaire."
"ACT_WHORED_A_PESTS": "Ils sont partout!"
"ACT_WHORED_MINISNIPERS_FAIL": "Le chasseur devient la proie."
"ACT_WHORED_ZOMBIES_EXPLODE": "Zombies et zombies explosifs. Ouais, ça pourrait faire mal."
"ACT_HOSTAGE_START": "COMMENCER OTAGE"
"ACT_VANDAL_COP_CAR_OLD_4_DOOR_MSG": "VOITURES DE PATROUILLE"
"ACT_FRAUD_GO_TO_SCORING_AREA": "VA À LA ZONE DE SCORE"
"ACT_CHOP_BRING_CAR": "Reviens avec un véhicule."
"TUT_TITLE_ACT_INTRO_TANK_MAYHEM": "CHAOS TANK"
"TEMP_LAST_MINUTE_2": "OUVRIR LE GARAGE CLANDESTIN"
"CHOP_OFF_ROAD_RIMS": "JANTES TOUT TERRAIN 1"
"ACT_ZOMBIE_DISPLAY_NAME": "ZOMBIE UPRISING"
"ACT_VANDALISM_COMBO_NUMBER": "%i   "
"ACT_VANDAL_POLICE_MSG": "FLICS"
"ACT_VANDAL_STATIC_BONUS_STANDARD_CAR_MSG": "BONUS VOITURE STANDARD"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_3SEC": "3..."
"ACT_FRAUD_MESSAGE_VEHICLE_MULT_TYPE": "RECORD VOITURES TOUCHÉES EN FRAUDE"
"ACT_CHOP_SHOP_FAIL_CARS_MSG": "Tu as perdu trop de voitures."
"ACT_WHORED_BAT": "Batteur en position."
"ACT_RUNNING_MAN_INTRO_L_2": "Obtiens 2 000 $ en détruisant les cibles et en tuant les ennemis, puis quitte la salle avant la fin du temps. Si tu dégommes plusieurs trucs d'affilée rapidement, tu gagneras un bonus combo."
"ACTIVITY_NAME_RUNNING_MAN": "PROFESSOR GENKI'S SUPER ETHICAL REALITY CLIMAX"
"ACT_GUARDIAN_ANGEL_ZOOM_HELP_TEXT": "Appuie sur {SHOULDER_CAM_IMG} pour passer en mode Visée. Appuie sur {ZOOM_IN_IMG}/{ZOOM_OUT_IMG} pour ajuster le zoom"
"ACT_ESCORT_STRIPPER_MSG": "ATTENDS QUE LA STRIP-TEASEUSE MONTE DANS LA VOITURE"
"ACT_ESCORT_GETBACK_COUNT_MSG": "VOUS AVEZ %d SECONDES POUR RETOURNER À LA [format][color:yellow]VOITURE[/format]"
"HORDE_LEVEL_DAEDALUS": "DÉDALE"
"ACT_LEVEL_4": "NIVEAU 4"
"ACT_VANDAL_WEAPON_PENALTY_MSG": "TU ES PÉNALISÉ POUR AVOIR UTILISÉ UN(E) %ls"
"ACT_VANDAL_WEAPON_BONUS_MSG": "TU AS UN BONUS POUR AVOIR UTILISÉ UN(E) %ls"
"ACT_TRAFFIC_POLICE_STING_START": "OPÉRATION SECRÈTE! SAUVE LE [format][color:green]DEALER[/format] DES FLICS!"
"ACT_TRAFFIC_OBJECTIVE_1_DRIVER": "CONDUIS LE [format][color:green]DEALER[/format] CHEZ SES CLIENTS"
"ACT_HELI_TIMER_TEXT": "TEMPS RESTANT"
"ACT_ESCORT_FAIL_STRIPPER_DEAD": "LA STRIP-TEASEUSE A ÉTÉ TUÉE"
"ACT_WHORED_A_CONSCRIPTED": "Le service continue même après la mort."
"ACT_WHORED_GENKI_REVENGE": "Super explosion super éthique du professeur Genki!"
"CHOP_STYLISH_RIMS": "JANTES STYLÉES"
"ACT_VANDAL_VEHICLE_PENALTY_MSG": "TU NE GAGNES PAS D'ARGENT POUR AVOIR DÉTRUIT :[format][color:red]%ls[/format]"
"ACT_WHORED_Z_BIG_BONED": "On ne plaisante pas."
"ACT_VANDALISM_COMBO": "COMBO : [format][color:grey]%i[/format]"
"ACT_ZOMBIE_NAME": "ZOMBIE UPRISING"
"ACT_VANDAL_VAN_MINIVAN_MSG": "CAMIONNETTES"
"ACT_WHORED_BOWLING_FAIL": "On a vu mieux comme strike."
"ACT_WHORED_MONEYSHOTS": "Vise la tête."
"ACT_ZOMBIE_HUD_ZOMBIES_KILLED": "ZOMBIES TUÉS : "
"ACT_VANDAL_SUMMARY_UNKNOWN": "INCONNU"
"ACT_TRAFFIC_BUYER_ATTACK": "L'ACHETEUR SE FAIT ATTAQUER"
"ACT_HELI_NAME": "ASSAUT HÉLICO"
"ACT_HELI_CONVOY_BASE_MESSAGE": "ARRÊTE LE CONVOI AVANT QU'IL N'ATTEIGNE %s"
"ACT_FRAUD_ADRENALINE_TAG": "ADRÉNALINE :"
"HASH_57E7C078": "BUTE TOUS LES [format][color:red]LIEUTENANTS DES GANGS[/format]"
"ACT_WHORED_MINI_SAMURAI": "Un petit homme, une grosse épée et des litres de sang."
"STRONGHOLD_RESTART_PROMPT": "Veux-tu rejouer à ce bastion?"
"ACT_TORCH_RACE_INSTRUCTIONS1": "Fonce à travers les checkpoints pour convertir les points de bonus en temps bonus."
"ACT_VANDAL_SUV_MSG": "4X4"
"ACT_GUARDIAN_ANGEL_HUD_TIMER_MESSAGE": "TEMPS"
"ACT_WHORED_ZOMBIE_UPRISING": "Survis à l'apocalypse zombie... sans sprint!"
"ACT_RUNNING_MAN_TRAP_EVADE": "ÉCHAPPATOIRE"
"ACT_ESCORT_RAGE": "RAGE ANIMALE"
"MISSION_SUCCESS_SUB_TEXT": "MISSION ACCOMPLIE"
"ACT_HUD_CASH_MAX": "BINGO"
"ACT_FRAUD_TITLE": "CHOIX DU NIVEAU FRAUDE À L'ASSURANCE"
"CHOP_STYLISH_HOOD": "CAPOT STYLÉ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_1SEC": "1..."
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED": "LE DEALER A ÉTÉ ARRÊTÉ"
"ACT_PIMPING_TRAP_ATTACK_KILL_DECKERS": "TU AS FLAIRÉ L'ARNAQUE! TUE TOUS LES [format][color:red]DECKERS[/format] AVANT DE RECRUTER LES [format][color:green]CONTACTS[/format]."
"ACT_PIMPING_CAPTURED_HO_DIED": "UNE DE TES PUTES EST MORTE! IL T'EN FAUT UNE AUTRE"
"ACT_FRAUD_BONUS_DISTANCE": "BONUS DISTANCE LINÉAIRE"
"ACT_WHORED_A_STEELPORT_WAY": "Il sort son gode, tu sors ta lame."
"ACT_WHORED_D_LEAGUE_OF_OWN": "Fais gaffe, petite chatte."
"ACT_RUNNING_MAN_WAGER_ACCEPT_TEXT": "JE PARIE %ls POUR GAGNER %ls!"
"ACT_HELI_DISH_HUD_TEXT": "ANTENNES PARABOLIQUES DÉTRUITES"
"ACT_FRAUD_FIRST_VISIT_BONUS_STRING": "TE BLESSER DANS CETTE ZONE BONUS TE DONNERA UN MULTIPLICATEUR 2X"
"ACT_CHOP_SHOP_SEEK_CARS_MSG": "Ramène les voitures requises au [format][color:green]garage clandestin[/format] pour gagner de l'argent."
"GARAGE_CANNOT_CUSTOMIZE": "VÉHICULE NON PERSONNALISABLE"
"CTS_MESSAGE_GO_PENTHOUSE": "ALLER JUSQU'À LA SUITE"
"ACT_LEVEL_1": "NIVEAU 1"
"ACT_ESCORT_TITLE": "CHOIX DU NIVEAU ESCORTE"
"ACT_VANDAL_PISTOL_MSG": "PISTOLET"
"ACT_CHOP_SHOP_APPROACH_CAR_MSG": "Rattrape une voiture et vole-la."
"HASH_DBD1BF7C": "%s REPOUSSÉS"
"ACT_WHORED_HITNRUN": "Commence à les faucher."
"CHOP_STREET_HOOD": "CAPOT STREET"
"ACT_VANDAL_STATIC_BONUS_LUXURY_CAR_MSG": "BONUS VOITURE DE LUXE"
"ACT_ESCORT_OBJECTIVE_TEXT_02": "ÉCHAPPE À LA PRESSE"
"ACTIVITY_NAME_TRAFFICKING": "TRAFIC"
"ACT_ZOMBIE_START": "Jouer au jeu vidéo Zombie Uprising?"
"ACT_VANDAL_OBJECTIVE_2": "Les combos de destruction rapportent plus d'argent!"
"ACT_PIMPING_TRAP_ATTACK_GET_CONTACTS": "TU AS FLAIRÉ L'ARNAQUE! RECRUTE CES [format][color:green]CONTACTS[/format] ET DÉGAGE D'ICI."
"ACT_HELI_TARGETS_TEXT": "OBJECTIFS RÉUSSIS"
"ACT_WHORED_NINJAS_FAIL": "Silencieux, mais mortel."
"CHOP_STREET_GRILL": "CALANDRE STREET"
"ACT_VANDAL_THROWN_MSG": "ARME DE JET"
"ACT_VANDAL_BOAT_MSG": "BATEAUX"
"ACT_PIMPING_HOS_COLON": "PUTES :"
"ACT_FRAUD_KILLED": "Tu as perdu de la crédibilité en tuant quelqu'un."
"ACT_WHORED_D_NORMS_REVENGE": "Quand tu ne possèdes qu'un marteau, les gens commencent tous à ressembler à des salopes."
"ACT_WHORED_STARPOWER": "Toutes tes armes sont améliorées et les ennemis explosent quand tu les touches!"
"HORDE_CHARACTER_GIMPY": "GIMPY"
"ACT_RUNNING_MAN_WAGER_REJECT_TEXT": "JE NE PARIE PAS. FILEZ-MOI MES %ls."
"ACT_TRAFFICKING_START": "COMMENCER TRAFIC"
"ACT_VANDAL_CAR_COMPACT_MSG": "VOITURES COMPACTES"
"ACT_VANDAL_STATIC_BONUS_VAN_MSG": "BONUS VAN"
"ACT_FRAUD_BONUS_DISTRICT": "BONUS DISTRICT"
