"ACT_WHORED_Z_AGRIZOOPHOBIA": "Это большая проблема."
"ACT_VANDAL_SUMMARY_PEOPLE_KILLED": "УБИТО ЛЮДЕЙ"
"ACT_HELI_PROTECTION_HUD_TEXT": "ОСТАНОВОК СОВЕРШЕНО"
"ACT_ESCORT_NEAR_MISS_MSG": "[format][color:green]КЛИЕНТ[/format] ХОЧЕТ, ЧТОБЫ ВЫ ОСУЩЕСТВИЛИ %d МИЛЛИМЕТРАЖЕЙ ПОДРЯД"
"ACT_RUNNING_MAN_INTRO_L_1": "Заработайте 1000 долларов, уничтожая цели и убивая врагов, покиньте арену, прежде чем истечет время. Если вы будете уничтожать объекты достаточно быстро, вы получите бонус за комбо."
"ACT_FRAUD_FIELD_DIVIDER": "/"
"ACT_ZOMBIE_SURVIVOR_REVIVE": "У вас есть %d сек., чтобы помочь выжившим"
"ACT_PIMPING_RESCUE_KILL_PIMPS": "УБЕЙТЕ [format][color:red]СУТЕНЕРОВ[/format] И ОСВОБОДИТЕ [format][color:green]ШЛЮХ[/format]!"
"ACT_HUMAN_TORCH_TITLE": "ВЫБОР УРОВНЯ ЗАДАНИЯ \"ПУТЬ ОГНЯ\""
"HASH_7E62454A": "ВЫ ПОКИНУЛИ РАЙОН"
"ACT_WHORED_A_FISTING": "Мастерство не пропьешь."
"ACT_WHORED_WEENIEROAST": "Деликатес, поджаренный на открытом огне."
"ACT_VANDAL_MOTORCYCLE_MSG": "МОТОЦИКЛЫ"
"ACT_TRAFFIC_NOT_IN_VEHICLE": "ВЕРНИТЕСЬ К МАШИНЕ"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_HELPER_MESSAGE": "ВЫ УБИЛИ ПОМОЩНИКА"
"ACT_GUARDIAN_ANGEL_HELICOPTER_ATTACKER": "Наблюдатель сообщает, что приближается [format][color:red]вертолет[/format]"
"ACT_FRAUD_NO_SCORE": "ВЫ УПАЛИ ВНЕ [format][color:teal]ЗОНЫ ЗАРАБОТКА[/format], И ДЕНЕГ НЕ ЗАРАБОТАЛИ"
"ACT_FRAUD_MESSAGE_WITNESS_MULT_TYPE": "РЕКОРД СВИДЕТЕЛЕЙ (МОШЕННИЧЕСТВО)"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE": "РЕКОРД РАССТОЯНИЯ ПО ПРЯМОЙ (МОШЕННИЧЕСТВО)"
"ACT_WHORED_A_RECYCLE": "Видите? Наша игра несет позитивное послание."
"ACT_WHORED_QUESTION_MARKS": "Внимание, вопрос!"
"ACT_WHORED_TANK": "Этот танк для вас."
"ACT_WHORED_THE_END_FAIL": "Еще. Одна. Волна. Соберитесь."
"HORDE_MODE_OTHER_PLAYER_DISCONNECTED": "Вы отключились от другого игрока и должны выйти из режима балды. Вы возвращаетесь в главное меню. "
"ACTIVITY_NAME_TRAIL_BLAZING": "ПУТЬ ОГНЯ"
"ACT_VANDAL_TRUCK_TRAILER_MSG": "ТРЕЙЛЕРЫ"
"ACT_VANDAL_BONUS_WEAPON": "БОНУС ЗА ОРУЖИЕ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_4SEC": "4..."
"ACT_PIMPING_YOU_NEED_MORE_CONTACTS": "ВАМ НУЖНО НАЙТИ БОЛЬШЕ [format][color:green]ИНФОРМАТОРОВ[/format]"
"ACT_PIMPING_TRAP_SPRUNG_KILL_PIMPS": "ЗАСАДА! УБЕЙТЕ [format][color:red]БАНДИТОВ ИЗ \"МОРГЕНШТЕРНА\"[/format] И ЗАБЕРИТЕ [format][color:green]ШЛЮХ[/format]."
"ACT_HELI_VAN_LOW_HEALTH_TEXT": "[format][color:green]ФМАШИНА БРАТКА[/format] СЕРЬЕЗНО ПОВРЕЖДЕНА"
"ACT_CHOP_SHOP_FAIL_TIME_MSG": "Время вышло."
"ACT_WHORED_D_CAAN_COOLJ": "Гонки на роликах никогда уже не будут как раньше."
"ACT_WHORED_ZOMBIE_INFERNO_FAIL": "СОВЕТ: держитесь подальше от взрывающихся зомби. Используйте их в качестве бомб."
"HORDE_CHARACTER_ZIMOS": "ЗАЙМОС"
"MISSION_FAILURE_PASSED_OUT_TEXT": "ВЫ ВЫРУБИЛИСЬ"
"ACT_VANDAL_PEDESTRIAN": "ПЕШЕХОД"
"ACT_VANDAL_IN_DISTRICT_MSG": "ИСПОЛЬЗУЯ ДАННОЕ ОРУЖИЕ, УБИВАЙТЕ ЛЮДЕЙ, УНИЧТОЖАЙТЕ ОБЪЕКТЫ И МАШИНЫ, ЧТОБЫ ЗАРАБОТАТЬ ДЕНЕГ. "
"ACT_HUMAN_TORCH_OBJECTIVE_MSG": "УНИЧТОЖАЙТЕ МАШИНЫ И УБИВАЙТЕ ЛЮДЕЙ, ЧТОБЫ ЗАРАБОТАТЬ ДОПОЛНИТЕЛЬНОЕ ВРЕМЯ"
"ACT_FRAUD_ADRENALINE_READY": "РЕЖИМ АДРЕНАЛИНА ВКЛЮЧЕН"
"HASH_90E08F4D": "ПОКИДАЕТ ОТВОЕВЫВАЕМУЮ ТЕРРИТОРИЮ"
"ACT_WHORED_RESTART_WARNING": "Если вы начнете новую игру, весь прогресс на этой карте будет потерян. Продолжить?"
"ACT_WHORED_MEGAFURRIES_FAIL": "Меховая ярость"
"ACT_VANDAL_PENALTY_MSG": "ШТРАФ"
"ACT_VANDAL_CAR_BIG_DOMESTIC_MSG": "БОЛЬШИЕ МАШИНЫ"
"ACT_CLIENT_HASNT_COMPLETED": "({CLIENT_NAME} - ЗАДАНИЕ НЕ ВЫПОЛНЕНО)"
"ACT_WHORED_Z_TEXAS_ZOMB": "Полагаю, поговорка правдива..."
"ACT_WHORED_D_7INNING": "Горячие парни, доставайте свои горячие штуки!"
"ACT_LEVEL_7": "УРОВЕНЬ 7"
"ACT_GUARDIAN_ANGEL_CAR_ATTACKER": "Наблюдатель сообщает, что приближается [format][color:red]машина[/format]"
"ACT_WHORED_Z_ERECTILE_DYS": "С каждым может случиться."
"ACT_WHORED_Z_WELCOME": "Классно быть наверху."
"ACT_VANDAL_SUMMARY_OBJECTS_DESTROYED": "УНИЧТОЖЕННЫЕ ОБЪЕКТЫ"
"ACT_VANDAL_STATIC_BONUS_BIGTRUCK_MSG": "БОНУС ЗА ГРУЗОВИК"
"ACT_HELI_CHOPLIFTER_FULLY_LOADED_MESSAGE": "ВЕРТОЛЕТ ПОЛНОСТЬЮ ЗАГРУЖЕН, ОТВЕЗИТЕ ПАССАЖИРА В [format][color:blue]БЕЗОПАСНОЕ МЕСТО[/format]"
"ACT_FRAUD_HITS_HUD": "УДАРЫ:"
"ACT_ESCORT_LIMO_MSG": "СЯДЬТЕ В [format][color:green]МАШИНУ[/format] И ПОДБЕРИТЕ КЛИЕНТА"
"HASH_3662C1D0": "ВЫ НЕ СМОГЛИ ВЕРНУТЬ СВОЙ РАЙОН"
"ACT_WHORED_D_STEELPORT_CONNECTION": "Кулак фурии"
"ACT_WHORED_FLAMEBRUTE": "Пылающий амбал - горячий парень"
"ACT_WHORED_ZOMBIE_SLAYER": "Своим святым оружием вы очистите этот мир от угрозы нежити."
"ACT_WHORED_OLD_SCHOOL": "Бега нет, здоровье не восстанавливается - есть только дробовик и воля к жизни."
"ACT_PIMPING_TRAP_SPRUNG_GET_HOS": "ЗАСАДА! ЗАБЕРИТЕ [format][color:green]ШЛЮХ[/format] И УХОДИТЕ ОТТУДА."
"ACT_HELI_CONVOY_AIRPORT_DESTINATION_MESSAGE": "АЭРОПОРТ"
"ACT_WHORED_Z_BRUTE_ACTION": "Мы с тобой играем."
"ACT_WHORED_HITNRUN_FAIL": "Необходимы навыки вождения."
"ACT_ZOMBIE_TRIGGER_FAIL": "ВЫ НЕ СДЕРЖАЛИ ШТУРМ ЗОМБИ"
"ACT_VANDAL_BONUS_STATIC_VEHICLE": "БОНУС: УНИЧТОЖИТЬ %s (+$%d)"
"ACT_TRAFFIC_PROTECT_M": "ОХРАНЯЙТЕ [format][color:green]ДИЛЕРА[/format] В ТЕЧЕНИЕ СЕГОДНЯШНИХ СДЕЛОК"
"ACT_PIMPING_VEHICLE_ROUTE_HO": "ОСТАНОВИТЕ [format][color:red]МАШИНУ[/format] И ПОДБЕРИТЕ [format][color:green]ШЛЮХУ[/format]."
"ACT_WHORED_D_IRONY": "Никакого \"мини\" тут нет."
"ACT_WHORED_APOC": "Зачищаем улицы... подрываем людей..."
"ACT_WHORED_ROUND1": "Добро пожаловать в режим балды!"
"ACT_VANDALISM_NAME": "РАЗГРОМ"
"ACT_VANDAL_BONUS_BASE_VALUE": "ОСНОВНАЯ ЦЕННОСТЬ"
"ACT_HELI_ACTIVITY_BOMB_ESCAPE_MESSAGE": "У ВАС ЕСТЬ %d СЕКУНД, ЧТОБЫ СКРЫТЬСЯ ОТ ЦЕЛИ"
"ACT_FRAUD_BONUS_WINDSHIELD_CANNON": "БОНУС ЗА РАЗБИТОЕ ЛОБОВОЕ СТЕКЛО"
"ACT_ESCORT_TIGER_RAGE_POWERSLIDE_MSG": "{HANDBRAKE_IMG} ПРОДЕРЖИТЕСЬ В РЕЖИМЕ УПРАВЛЯЕМОГО ЗАНОСА %0.1f СЕК., ЧТОБЫ УСПОКОИТЬ ТИГРА"
"ACT_ESCORT_FAIL_CAR_SUBMERGED": "ВЫ ПОТОПИЛИ МАШИНУ"
"ACT_WHORED_MEGAFURRIES": "Самые большие, самые милые и самые смертоносные"
"ACT_WHORED_AYDIOSMIO_FAIL": "¿Por qué?"
"CHOP_SHOP_START": "ВЗЯТЬ СПИСОК МАСТЕРСКОЙ"
"ACT_VANDAL_TEAM_BONUS_MSG": "Убийство %ls даст вам бонус"
"ACT_ESCORT_CLIENT_MSG": "ЗАБЕРИТЕ [format][color:green]КЛИЕНТА[/format]"
"ACT_THEFT_SAFE_OPEN": "ОТКРЫТЬ СЕЙФ"
"ACT_WHORED_A_SELF_CONSCIOUS": "Говорят, размер не имеет значения ..."
"ACT_WHORED_MEGACAN_FAIL": "Теперь банка выкидывает тебя."
"ACT_WHORED_HOBO_SHOTGUN_FAIL": "Мы знали, что восстание бомжей было неизбежно."
"ACT_WHORED_ZOMBIE_INFERNO": "Зомби бегают, взрываются и поджигают вас. Ах, да - ваше здоровье не восстанавливается. Вот такие мы гадкие, ага."
"ACT_RUNNING_MAN_WAGER_TITLE": "ПОЙТИ ВА-БАНК?"
"ACT_ESCORT_NAME": "ЭСКОРТ"
"ACT_EARNED_RESPECT": "Вы заслужили %d ед. авторитета!"
"ACT_WHORED_D_APOTHEOSIS": "Время убивать, время веселиться!"
"ACT_WHORED_MINICANS": "Мини-ган, мини-банки - зато макси-фан!"
"ACT_RUNNING_MAN_BUTTON_PRESSED": "ДЕНЕЖНЫЙ МЕШОК"
"ACT_ZOMBIE_START_WAVES": "ОСТАНОВИТЕ АТАКУ ЗОМБИ, УБИВ ОСТАВШИХСЯ ЗОМБИ"
"ACT_VANDAL_STATION_WAGON_MSG": "ВАГОНЫ МЕТРО"
"ACT_FRAUD_CURRENT_HIT": "ПОСЛЕДНИЙ УДАР:"
"ACT_CHOP_NOT_WANTED": "Мастерской не нужна эта машина. "
"ACT_WHORED_MEGA_TRANNY": "Брутелла нарывается."
"ACT_TORCH_FRENZY_INSTRUCTIONS": "Сожгите все обозначенные цели, пока время не вышло."
"ACT_WHORED_Z_ROLL_OVER": "Оставайся трупом."
"ACT_WHORED_A_VINTAGE_HORROR": "Вы сражаетесь с зомби, используя оружие с бесконечными патронами.  Вы не можете бегать и восстанавливаться здоровье."
"ACT_TANK_MAYHEM_NAME": "ТАНКОВЫЙ РАЗГРОМ"
"ACT_VANDALISM_TITLE": "ВЫБОР УРОВНЯ \"РАЗГРОМА\""
"ACT_LEVEL_3": "УРОВЕНЬ 3"
"ACT_CHOP_SHOP_NAME": "МАСТЕРСКАЯ"
"ACT_WHORED_GAT_ATTACK": "Используйте гигантскую куклу Гэта и сокрушите ваших врагов!"
"ACT_LEVEL_6": "УРОВЕНЬ 6"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE": "РЕКОРД ВЫСОТЫ (МОШЕННИЧЕСТВО)"
"ACT_CHOP_SHOP_MODS_REQUIRED": "Некоторым машинам требуются особые модификации."
"ACT_WHORED_A_TANK": "Нам понадобится судно побольше."
"ACT_WHORED_D_TARGET_PRACTICE": "Деревенский тир с современными трюками."
"ACT_WHORED_WEAKSAUCE": "Ваш размер и урон уменьшены!"
"ACT_TRAFFICKING_ALL_DEALS_DONE": "ВСЕ СДЕЛКИ ЗАКОНЧЕНЫ"
"ACT_YOU_HAVENT_COMPLETED": "(вЫ НЕ ВЫПОЛНИЛИ ЗАДАНИЕ)"
"ACT_VANDAL_SUMMARY_PEOPLE": "ЛЮДИ"
"ACT_VANDAL_GOAL_MSG": "ЦЕЛЬ:"
"ACT_TRAFFIC_PROTECT_F": "ОХРАНЯЙТЕ [format][color:red]ДИЛЕРА[/format] В ТЕЧЕНИЕ СЕГОДНЯШНИХ СДЕЛОК"
"ACT_HELI_CHOPLIFTER_START_MESSAGE": "ПОДБЕРИТЕ [format][color:green]СВЯТЫХ[/format] И ДОСТАВЬТЕ ИХ В [format][color:blue]БЕЗОПАСНОЕ МЕСТО[/format]"
"PUSHBACK_GSI_TITLE": "ЗАЩИТА"
"ACT_WHORED_A_LITTLE_NIKITA": "Сексуально и смертоносно."
"CHOP_SPORT_SPOILER": "СПОРТИВНЫЙ СПОЙЛЕР"
"ACT_VANDAL_STATIC_BONUS_COMPACT_CAR_MSG": "БОНУС ЗА МАЛОЛИТРАЖКУ"
"ACT_TRAFFIC_POLICE_STING_UNCUFF_USE": "СНЯТЬ НАРУЧНИКИ"
"ACT_FRAUD_BONUS_COP_WITNESS": "БОНУС ЗА СВИДЕТЕЛЕЙ-ПОЛИЦЕЙСКИХ"
"ACT_CHOP_REJECT_BURNING": "Мастерской не нужна горящая машина!"
"HASH_DBAAE25B": "РАЙОН ПОД НАПАДЕНИЕМ"
"ACT_WHORED_BOWLING": "Сбейте всех с ног."
"ACT_VANDAL_STATIC_BONUS_PICKUP_MSG": "БОНУС ЗА ПИКАП"
"ACT_HUMAN_TORCH_NAME": "ПУТЬ ОГНЯ"
"ACT_GUARDIAN_ANGEL_CRITICAL_VEHICLE_DESTROYED_MESSAGE": "Скрывающаяся машина уничтожена"
"ACT_HELI_PROTECTION_DISTANCE_WARNING": "ВОЗВРАЩАЙТЕСЬ В ФУРГОН!"
"TOUCH_COMBO_TUTORIAL_PART_2_MESSAGE": "УДЕРЖИВАЙТЕ {ANALOG_RS_IMG} НА ЧУВСТВИТЕЛЬНОЙ ТОЧКЕ И ИСПОЛЬЗУЙТЕ {ANALOG_LS_IMG} ДЛЯ ОТБИВАНИЯ РИТМА"
"ACT_VANDAL_STATIC_BONUS_SPORTS_CAR_MSG": "БОНУС ЗА СПОРТ-КАР"
"ACT_PIMPING_CAPTURED_CONTACT_DIED": "ОДИН ИЗ ИНФОРМАТОРОВ СКОНЧАЛСЯ! вАМ ПОНАДОБИТСЯ ЕЩЕ ОДИН."
"ACT_WHORED_D_ANKLE_BITERS": "Смертельные вещи продаются в маленьких упаковках."
"CHOP_SHOP_NAME": "МАСТЕРСКАЯ"
"ACT_FRAUD_HIT": "УДАРОВ:"
"ACT_VANDAL_LAUNCHER_MSG": "РАКЕТНАЯ УСТАНОВКА"
"CELL_PHONE_NO_VEHICLES": "НЕТ МАШИН"
"ACT_WHORED_GRENADIER_STRIPPERS": "Дайте мини-стриптизерше гранату вместо чаевых."
"ACT_WHORED_WEAKSAUCE_FAIL": "СЛАБАК!!!"
"ACT_RUNNING_MAN_NAME": "С.Э.К.Р. ПРОФЕССОРА ДЖЕНКИ"
"ACT_RUNNING_MAN_TUTORIAL_TEXT": "Заработайте денег, уничтожая цели и убивая врагов, покиньте арену, прежде чем истечет время. Если вы будете уничтожать объекты достаточно быстро, вы получите бонус за комбо."
"ACT_VANDAL_NIGHTSTICK_MSG": "ДУБИНКА"
"ACT_VANDAL_BONUS_STATIC_WEAPON": "БОНУС: ИСПОЛЬЗОВАТЬ %s (+$%d)"
"ACT_VANDAL_BONUS_STATIC_TEAM": "БОНУС: УБИТЬ %s (+$%d)"
"ACT_ESCORT_SPAWNED_MSG": "СКРОЙТЕСЬ ОТ ПАПАРРАЦЦИ, СНИМАЮЩИХ ВАС"
"ACT_ESCORT_ROADBLOCK_MSG": "НОВОСТНОЙ ФУРГНО В КВАРТАЛЕ ОТ ВАС"
"ACT_LEVEL_8": "УРОВЕНЬ 8"
"ACT_VANDAL_RIFLE_MSG": "ВИНТОВКА"
"ACT_VANDAL_BONUS_MULTI_TEAM": "БОНУС: УБИТЬ %s (x%d)"
"ACT_HELI_TITLE": "ВЫБОР УРОВНЯ ЗАДАНИЯ \"АТАКА С ВЕРТОЛЕТА\""
"ACT_GUARDIAN_ANGEL_STARTING_HELP_TEXT": "Используйте снайперскую винтовку, чтобы охранять [format][color:green]грабителей[/format]"
"ACT_ESCORT_OUTRUN": "СКРОЙТЕСЬ ОТ ПРЕСЛЕДОВАТЕЛЯ"
"ACT_ESCORT_FAIL_CLIENT_DEAD": "КЛИЕНТ УБИТ"
"STRONGHOLD_RESTART_TITLE": "ЗАХВАТ КРЕПОСТИ ПРОИГРАН"
"MISSION_FAILURE_SUB_TEXT": "МИССИЯ ПРОВАЛЕНА"
"ACT_FRAUD_MESSAGE_CLIFF_MULT_TYPE_US": "Рекорд высоты (мошенничество): %.2f футов."
"ACT_FRAUD_IN_AREA": "ЗАРАБОТАЙТЕ КАК МОЖНО БОЛЬШЕ ДЕНЕГ, ПРЕЖДЕ ЧЕМ [format][color:teal]ЗОНА ЗАРАБОТКА[/format] ПЕРЕМЕСТИТСЯ."
"ACT_ESCORT_FAIL_CLIENT_RUNOVER": "ВЫ ПЕРЕЕХАЛИ КЛИЕНТА"
"HASH_391B5C61": "ЗАЩИТА РАЙОНА ПРОВАЛЕНА"
"ACTIVITY_NAME_HELI": "АТАКА С ВЕРТОЛЕТА"
"LOCALIZE_CHOP_SHOP": "МАСТЕРСКАЯ"
"ACT_HITMAN_START": "НАЧАТЬ ЗАДАНИЕ \"КИЛЛЕР\""
"ACT_ZOMBIE_LEVEL_CLEARED_FORMAT": "ЗАКОНЧЕНА ВОЛНА %d"
"ACT_FRAUD_BEST_HIT_HUD": "ЛУЧШИЙ УДАР:"
"ACT_WHORED_Z_MS_SEBERT": "Самое время..."
"ACT_WHORED_A_GOOD_VIBRATIONS": "Нацепляй."
"ACT_WHORED_GIMPS": "Выводи уродов!"
"ACT_WHORED_SAUSAGE_FEST_FAIL": "Не нравится драться с \"мясом с мясом\"?"
"ACT_LEVEL_5": "УРОВЕНЬ 5 "
"ACT_WHORED_A_AW_NUTS": "Хочешь убить кого-то?  Целься в хлам."
"ACT_WHORED_A_WELCOME": "Очевидно, но это первая волна..."
"ACT_WHORED_APOC_FAIL": "Притворимся, будто бы ничего не произошло."
"ACT_VANDAL_KNIFE_MSG": "НОЖ"
"ACT_PIMPING_FAIL_HOS_ALL_DIED": "СЛИШКОМ МНОГО ШЛЮХ ПОГИБЛО, НАБЕРИТЕ ЕЩЕ {RECRUIT_DISMISS_IMG} И БЫСТРО ПОКИНЬТЕ МЕСТО ДЕЙСТВИЯ"
"ACT_FRAUD_MESSAGE_PINBALL_MULT_TYPE": "РЕКОРД ПИНБОЛА (МОШЕННИЧЕСТВО)"
"ACT_FRAUD_BONUS_AREA": "БОНУС ЗА ТЕРРИТОРИЮ"
"ACT_WHORED_THE_END": "Удачи!"
"HORDE_CHARACTER_COWGIRL": "КОВБОЙША"
"CTS_MESSAGE_PLACE_BOMBS": "УСТАНОВИТЬ БОМБУ"
"STICK_ROTATION_UTIL_COUNTER_CLOCKWISE_MESSAGE": "ПРОТИВ ЧАСОВОЙ СТРЕЛКИ"
"CHOP_CONVERTIBLE_ROOF": "ОТКИДНОЙ ВЕРХ"
"ACT_TORCH_FAIL_WATER": "ВЫ ПОТУШИЛИ СВОЮ ОДЕЖДУ, ОСТОРОЖНЕЕ ОКОЛО ВОДЫ"
"ACT_GUARDIAN_ANGEL_START": "НАЧАТЬ ЗАДАНИЕ \"АНГЕЛ-ХРАНИТЕЛЬ\""
"ACT_FRAUD_BONUS_LUXURY_VEHICLE": "БОНУС БОГАТОГО ВОДИТЕЛЯ"
"ACT_WHORED_D_TOKYO_BEWARE": "Немного Святого есть в каждом из нас."
"ACT_WHORED_GRENADIERS": "Шлюхи умеют себя защитить... гранатами!"
"ACT_WHORED_MEGA_WHORE_FAIL": "Больше - не всегда лучше."
"ACT_RUNNING_MAN_INTRO_L_3": "Заработайте 3500 долларов, уничтожая цели и убивая врагов, покиньте арену, прежде чем истечет время. Если вы будете уничтожать объекты достаточно быстро, вы получите бонус за комбо."
"ACT_VANDAL_PASSENGER": "ПАССАЖИР"
"ACT_WHORED_ZOMBIESATV_FAIL": "Бей их, пока не ударят тебя."
"ACT_TRAFFIC_PROTECT_DRIVER": "ОТВЕЗИТЕ [format][color:green]ДИЛЕРА[/format] К [format][color:teal]КЛИЕНТАМ[/format]"
"ACT_FRAUD_NO_TIME": "Время вышло."
"ACT_ESCORT_TIGER_RAGE_MINIGAME_MSG": "БЫСТРЕЕ! УСПОКОЙТЕ ТИГРА!"
"ACT_WHORED_A_COYOTE_UGLY": "Нужно быстро протрезветь."
"ACT_WHORED_D_FEVER_DREAM": "Какой-то сюр начался."
"ACT_CHOP_SHOP_START": "МАСТЕРСКАЯ - НАЧАТЬ"
"ACT_HELI_VAN_LIFE_TEXT": "ИСПРАВНОСТЬ ФУРГОНА"
"HASH_755E0DE8": "ПОКАТАЙТЕ [format][color:green]КЛИЕНТА[/format] ПО ОКРЕСТНОСТЯМ [format][color:teal]УНИВЕРСИТЕТА[/format]"
"ACT_WHORED_Z_HANK_EAST": "Знаешь, он войны оправдывал."
"ACT_WHORED_A_LEAF_BLOWER": "Зачистите это место."
"ACT_WHORED_MINISNIPERS": "Один выстрел - одна смерть."
"ACT_RUNNING_MAN_TARGET_SHOT": "ВЫСТРЕЛ В ЦЕЛЬ"
"TUT_TITLE_ACT_TANK_MAYHEM_HVT": "ДОРОГОСТОЯЩИЕ ЦЕЛИ"
"ACT_HELI_TIMES_UP_FAILED_MESSAGE": "ВРЕМЯ ВЫШЛО"
"ACT_FRAUD_TOTAL_MULTIPLIER": "Общий множитель: %.2fx"
"HASH_6F3F6AE9": "ОТВЕЗИТЕ [format][color:green]КЛИЕНТА[/format] НА [format][color:teal]ПРИСТАНЬ[/format]"
"ACT_ZOMBIE_LEVEL_INTERFACE_TITLE": "ВЫБОР УРОВНЯ \"ВОССТАНИЯ ЗОМБИ\""
"ACT_FRAUD_BONUS_VEHICLE_EJECT": "БОНУС ЗА ВЫЛЕТ"
"HASH_AF6B906A": "ЗАЩИТА ПРОВАЛЕНА"
"ACT_WHORED_D_RUNNING_DEAD": "Всегда оставляй последний раунд за собой."
"ACT_WHORED_MINI_BRUTES_FAIL": "Маленьким тоже больно!"
"SUCCESS_CASH_TEXT": "ДЕНЬГИ"
"CHOP_STREET_SPOILER": "ОБЫЧНЫЙ СПОЙЛЕР"
"ACT_HELI_PROTECTION_CATCH_UP": "ВАШИ [format][color:green]БРАТКИ[/format] ЖДУТ ВАС."
"ACT_GUARDIAN_ANGEL_BIKE_ATTACKER": "НАБЛЮДАТЕЛЬ СООБЩАЕТ, ЧТО ПРИБЛИЖАЕТСЯ [format][color:red]МОТОЦИКЛ[/format]"
"ACT_ESCORT_CLIENT_REQUEST_MSG": "КЛИЕНТ ХОЧЕТ, ЧТОБЫ ВЫ СДЕЛАЛИ %ls %ls"
"ACT_WHORED_ROLLERHOS_FAIL": "Они быстры и смертоносны"
"ACT_ESCORT_COURAGE": "ХРАБРОСТЬ"
"CHOPCHOP_NONE": "НЕТ"
"ACT_VANDAL_BONUS_MULTI_WEAPON": "БОНУС: ИСПОЛЬЗОВАТЬ %s (x%d)"
"ACT_PIMPING_OBJECTIVE_1": "ИЩИТЕ %d ШЛЮХ И ВЕЗИТЕ ИХ К ЗАЙМОСУ"
"ACT_HELI_SET_BOMB_CHARGES_MESSAGE": "УСТАНОВИТЕ БОМБУ"
"ACT_FRAUD_BONUS_CIVIL_VEHICLE": "БОНУС ЗА ГРАЖДАНСКУЮ МАШИНУ"
"ACT_CHOP_SHOP_VEHICLE_COUNT": "ОСТАЛОСЬ МАШИН: %i"
"ACT_WHORED_DRUNKEN_BOXING_FAIL": "Или вы думаете, что стали суперменом?"
"ACT_TRAFFICKING_DAMAGE": "УРОН"
"BUTTON_MASHING_UTIL_MESSAGE": "ВАМ НУЖНО НАЖАТЬ КНОПКУ %ls БОЛЬШЕ %d РАЗ В ТЕЧЕНИЕ %d СЕКУНД."
"ACT_ZOMBIE_TRIGGER_WARNING": "Если вы уйдете, вы позволите зомби захватить мир!"
"ACT_ZOMBIE_LIMITED_USES": "Используйте оружие с умом. У вас не так много патронов."
"ACT_VANDAL_BONUS_VEHICLE": "БОНУС ЗА ТРАНСПОРТ"
"ACT_PIMPING_FAIL_KILLED_HO": "ВЫ УБИЛИ СОБСТВЕННУЮ ШЛЮХУ"
"ACT_FRAUD_MESSAGE_COPS_MULT_TYPE": "РЕКОРД СВИДЕТЕЛЕЙ-ПОЛИЦЕЙСКИХ (МОШЕННИЧЕСТВО)"
"ACT_WHORED_GRENADIER_STRIPPERS_FAIL": "Вот почему так важно давать стриптизершам чаевые. Даже если они мини-стриптизерши. "
"ACT_WHORED_MEGA_WHORE": "Неслабый размерчик."
"ACTIVITY_FAILURE_CANCEL_TEXT": "ЗАДАНИЕ ОТМЕНЕНО"
"ACT_TORCH_TIME_ACCRUED": "БОНУС:"
"ACT_HELI_DIVIDER_TEXT": "/"
"HASH_7059B6EE": "Идите к следующей группе [format][color:red]лейтенантов[/format]."
"ACT_MAYHEM_FAIL": "ВРЕМЯ ВЫШЛО! ИСПОЛЬЗУЙТЕ БОЛЬШЕ КОМБО, ЧТОБЫ НАБРАТЬ БОЛЬШЕ ОЧКОВ"
"ACT_FRAUD_BONUS_COOP_TEAM_HIT": "БОНУС ЗА КОМАНДНЫЙ УДАР"
"ACT_ESCORT_COMPLETE_MSG": "ОТЛИЧНО"
"ACT_WHORED_A_TBIRD": "Поджигай! Поджигай!"
"ACT_RUNNING_MAN_FAILURE_NO_MORE_TARGETS_LOST_WAGER": "ВАМ НЕ УДАЛОСЬ НАБРАТЬ ДОСТАТОЧНО ОЧКОВ. ВАША СТАВКА В РАЗМЕРЕ %ls БЫЛА ПОТЕРЯНА."
"STRONGHOLD_START_MESSAGE": "НАЧАТЬ ЗАХВАТ КРЕПОСТИ"
"ACTIVITY_CANCELLED_SUB_TEXT": "ОТМЕНЕНО"
"ACT_PIMPING_TITLE": "ВЫБОР УРОВНЯ \"ПИЛОТАЖА\""
"ACT_VANDAL_BONUS_MULTIPLIER": "МНОЖИТЕЛЬ БОНУСА:"
"ACT_VANDAL_BAT_MSG": "БЕЙСБОЛЬНАЯ БИТА"
"ACT_ESCORT_GETBACK_MSG": "ВЕРНИТЕСЬ В [format][color:yellow]МАШИНУ[/format]"
"HASH_E76B14F0": "ЗАЩИТА ПРОВАЛЕНА"
"ACT_WHORED_A_PUNCH_DRUNK": "Пусть Марселлас гордится вами."
"STICK_ROTATION_UTIL_MESSAGE": "Прокрутите мини-джойстик %ls в направлении %ls %f раз в течение %d секунд"
"ACT_PIMPING_RESCUE_CONTACT_COPS_REROUTE": " [format][color:green]Информаторы [/format] раскрыты. Спасайте их!"
"ACT_PIMPING_DRIVE_TO_CONTACT_LOCATION": "СПАСИТЕ [format][color:green]ИНФОРМАТОРОВ[/format] И ДОСТАВЬТЕ ИХ НА БАЗУ"
