// SR4R voice dict file 12/17
// Lines 11001-12000 of 16797
// Format: "English": "Chinese translation";

"This is amazing!": "This is amazing!";
"You and Johnny secure the doors, I'm checking on Kinzie...": "You and Johnny secure the doors, I'm checking on Kinzie...";
"No!": "No!";
"All right. Think that did it.": "All right. Think that did it.";
"Maero...": "Maero...";
"DELETE": "DELETE";
"Before we do anything, we need some breathing room. Let's take out those tanks!": "Before we do anything, we need some breathing room. Let's take out those tanks!";
"Kinzie didn't say. Just get Paul to follow.": "Kinzie didn't say. Just get Paul to follow.";
"The American people don't exactly look favorably upon the President committing grand theft auto.": "The American people don't exactly look favorably upon the President committing grand theft auto.";
"Vapid.": "Vapid.";
"Wow! The President! In the flesh!": "Wow! The President! In the flesh!";
"That, Kinzie, was sarcasm.  Remember how that works?": "That, Kinzie, was sarcasm.  Remember how that works?";
"Kill that fucker!": "Kill that fucker!";
"Work fast.": "Work fast.";
"Simple smash and grab, huh?": "Simple smash and grab, huh?";
"Okay, I'm sorry.": "Okay, I'm sorry.";
"DELETE": "DELETE";
"You mean...other you?": "You mean...other you?";
"What the *beep* is going on? Where the *beep* am I?": "What the *beep* is going on? Where the *beep* am I?";
"Been a while since I had to steal my own car.": "Been a while since I had to steal my own car.";
"Production facility first. Let's go.": "Production facility first. Let's go.";
"Merde.": "Merde.";
"Honesty, Kinzie, you are starting to scare me.": "Honesty, Kinzie, you are starting to scare me.";
"That's no moon.": "That's no moon.";
"Hang on, buddy.": "Hang on, buddy.";
"Sure thing, Pierce.": "Sure thing, Pierce.";
"Hold on. Why did I shoot the light if--": "Hold on. Why did I shoot the light if--";
"Gotta tell ya boys, I feel like the band is back together. I wouldn't want this to end any other way.": "Gotta tell ya boys, I feel like the band is back together. I wouldn't want this to end any other way.";
"It did the first time I said it too.": "It did the first time I said it too.";
"Okay, I see Temple, but...he looks younger -- handsome, even.  And not dressed like a stormtrooper.": "Okay, I see Temple, but...he looks younger -- handsome, even.  And not dressed like a stormtrooper.";
"Shaundi, could you...": "Shaundi, could you...";
"Kinzie said the guns are missing...stuff.": "Kinzie said the guns are missing...stuff.";
"*BEEP* *BEEP* YOUR *BEEPING* *BEEEEEEEEEEP*": "*BEEP* *BEEP* YOUR *BEEPING* *BEEEEEEEEEEP*";
"Trust me.": "Trust me.";
"Matt, this isn't funny! What the hell are you doing?": "Matt, this isn't funny! What the hell are you doing?";
"Well, at least it would've been possible.": "Well, at least it would've been possible.";
"See? See... this is why no one likes you.": "See? See... this is why no one likes you.";
"After this is all over, are you two gonna play nice?": "After this is all over, are you two gonna play nice?";
"If it was that simple don't you think I would've done that?": "If it was that simple don't you think I would've done that?";
"Maybe you should listen to yourself more and not get so stressed out about everything all the time.": "Maybe you should listen to yourself more and not get so stressed out about everything all the time.";
"Get out of that car!": "Get out of that car!";
"There's something about the Vice President that's been bothering me, playa.  I can't put my finger on it, but he reminds me of someone from a long time ago.  Shit, this is gonna drive me crazy 'till I figure it out.": "There's something about the Vice President that's been bothering me, playa.  I can't put my finger on it, but he reminds me of someone from a long time ago.  Shit, this is gonna drive me crazy 'till I figure it out.";
"DELETE": "DELETE";
"I figured it was better to have a man with that much charisma running with me than against me.": "I figured it was better to have a man with that much charisma running with me than against me.";
"I could use a little help here Kinzie...": "I could use a little help here Kinzie...";
"We've all had enough of Zinyak's shit. Do this and you can set your own terms in this fight.": "We've all had enough of Zinyak's shit. Do this and you can set your own terms in this fight.";
"Get the fuck away from me!": "Get the fuck away from me!";
"Either the Zin are having a convention here or they know we're coming.": "Either the Zin are having a convention here or they know we're coming.";
"Well. Seems I have plenty of time to just hang out here.": "Well. Seems I have plenty of time to just hang out here.";
"A secret room? Clever girl.": "A secret room? Clever girl.";
"Kinzie doesn't seem to have a problem with it.": "Kinzie doesn't seem to have a problem with it.";
"They won't need a home.  They'll have freedom.": "They won't need a home.  They'll have freedom.";
"That's a question you should ask yourself, Zinyak.": "That's a question you should ask yourself, Zinyak.";
"Kinzie, we have to go. What is wrong--": "Kinzie, we have to go. What is wrong--";
"Keep on 'em!": "Keep on 'em!";
"What the *beep* is this *beep*? ": "What the *beep* is this *beep*? ";
"As the Earth's sole living world leader, I'm claiming the power to assign you all rights, titles, licenses, and possible merchandise claims to the NyteBlayde property.": "As the Earth's sole living world leader, I'm claiming the power to assign you all rights, titles, licenses, and possible merchandise claims to the NyteBlayde property.";
"Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.": "Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.";
"CID, I need that shield down...": "CID, I need that shield down...";
"I think that would just be... weird. Don't you?": "I think that would just be... weird. Don't you?";
"Like hell we don't! Come on, let's--": "Like hell we don't! Come on, let's--";
"Kinzie, the kids are at it again.": "Kinzie, the kids are at it again.";
"I'm not sure--": "I'm not sure--";
"That's a lot of Veteran Children.": "That's a lot of Veteran Children.";
"Yeah, I'm still here.": "Yeah, I'm still here.";
"Well I always thought it had character.": "Well I always thought it had character.";
"No way.  Uh-uh. Isn't that *BEEP* dead?": "No way.  Uh-uh. Isn't that *BEEP* dead?";
"Are you kidding me?  Shaundi, this means first I get to blow up a lot of shit, then we get to take the WHOLE TANK!": "Are you kidding me?  Shaundi, this means first I get to blow up a lot of shit, then we get to take the WHOLE TANK!";
"Woah! What the blazes?": "Woah! What the blazes?";
"I'll refrain from commentary.": "I'll refrain from commentary.";
"Dammit, Zinyak's in a mech suit!": "Dammit, Zinyak's in a mech suit!";
"Got myself some power armor.": "Got myself some power armor.";
"We sure she hasn't infected more people?": "We sure she hasn't infected more people?";
"Nice going.": "Nice going.";
"I feel like a toilet at a bus stop.": "I feel like a toilet at a bus stop.";
"Be me?": "Be me?";
"Tastes wonderful!": "Tastes wonderful!";
"Was it Brad? Stewart? Dominic?": "Was it Brad? Stewart? Dominic?";
"Fuck was that?": "Fuck was that?";
"Sorry, forgot to mention that.  It's just a temporary change, nothing permanent.  Though the absorption seems to have worked perfectly.  No sign of the virus left in that person.": "Sorry, forgot to mention that.  It's just a temporary change, nothing permanent.  Though the absorption seems to have worked perfectly.  No sign of the virus left in that person.";
"What the hell...": "What the hell...";
"Hm. Shaundi, you and CID make sure this ship remains intact. Gat, you're with me.": "Hm. Shaundi, you and CID make sure this ship remains intact. Gat, you're with me.";
"I see a trail of dead aliens, Kinzie. I think I know which way Johnny went.": "I see a trail of dead aliens, Kinzie. I think I know which way Johnny went.";
"Nothing can keep this contestant from those targets.": "Nothing can keep this contestant from those targets.";
"We have a lot of guns that kill a whole buncha motherfuckers.": "We have a lot of guns that kill a whole buncha motherfuckers.";
"Get your butt over here!": "Get your butt over here!";
"You're seriously gonna make me carry this?  Dammit!": "You're seriously gonna make me carry this?  Dammit!";
"How many generators are there, Matt?": "How many generators are there, Matt?";
"Do I know that guy?": "Do I know that guy?";
"So do I get to drive that thing next?": "So do I get to drive that thing next?";
"What, to the gimp?": "What, to the gimp?";
"Come on, Kinzie, where are you at?": "Come on, Kinzie, where are you at?";
"I need every advantage I can get.": "I need every advantage I can get.";
"So this is like, a training ground?": "So this is like, a training ground?";
"The satellite is what's controlling Keith. You take care of it, I'll handle him.": "The satellite is what's controlling Keith. You take care of it, I'll handle him.";
"I didn't realize these endorsements had fucked up Pierce.": "I didn't realize these endorsements had fucked up Pierce.";
"Not a whole lot to behold...": "Not a whole lot to behold...";
"So much for her giving up.": "So much for her giving up.";
"Well I'm here to help.": "Well I'm here to help.";
"What?": "What?";
"Good joke, what's the plan.": "Good joke, what's the plan.";
"Ain't like I have much choice.": "Ain't like I have much choice.";
"This is gonna be epic, playa. Thanks for your help. I'll be sure to put you in the special thanks.": "This is gonna be epic, playa. Thanks for your help. I'll be sure to put you in the special thanks.";
"Is Kinzie okay?": "Is Kinzie okay?";
"Wait--what?": "Wait--what?";
"No.": "No.";
"Matt, I've been thinking...we could all be dead soon, so...shit I can't believe I'm saying this...you don't have to die a virgin.": "Matt, I've been thinking...we could all be dead soon, so...shit I can't believe I'm saying this...you don't have to die a virgin.";
"What, what is it?": "What, what is it?";
"Laser eye?": "Laser eye?";
"A bit?": "A bit?";
"Dammit!": "Dammit!";
"Guess I'm not really in a hurry...to do anything. At all. HEY!": "Guess I'm not really in a hurry...to do anything. At all. HEY!";
"That's just the way it works around here.": "That's just the way it works around here.";
"Yeah, I know.  I was here before, remember?": "Yeah, I know.  I was here before, remember?";
"Fucking ass--": "Fucking ass--";
"Bring me back a souvenir.": "Bring me back a souvenir.";
"How far do I need to go?": "How far do I need to go?";
"This isn't gonna end well...": "This isn't gonna end well...";
"Aaaaaand?": "Aaaaaand?";
"Wow. There is a lot of activity in that area. Do you see anything?": "Wow. There is a lot of activity in that area. Do you see anything?";
"Time we hit the road, Ben.": "Time we hit the road, Ben.";
"What a surprise...": "What a surprise...";
"Uh...Kinzie?": "Uh...Kinzie?";
"So why does Zinyak need trucks?": "So why does Zinyak need trucks?";
"What...are you...": "What...are you...";
"Hey! Why aren't these Zin paying more attention to the robot stomping through their hallway?": "Hey! Why aren't these Zin paying more attention to the robot stomping through their hallway?";
"Here we go.": "Here we go.";
"We're staying, Kinzie.": "We're staying, Kinzie.";
"Hey, you guys killed Tony.  Go team.": "Hey, you guys killed Tony.  Go team.";
"Nice driving.": "Nice driving.";
"DELETE": "DELETE";
"Hold on. We're coming to get you.": "Hold on. We're coming to get you.";
"Pierce seems unwilling to speak to me.  I do not understand why.": "Pierce seems unwilling to speak to me.  I do not understand why.";
"Now I find you're actually a pawn of the Cardinal!": "Now I find you're actually a pawn of the Cardinal!";
"Right on...": "Right on...";
"The simulation just recalls the saved data and spawns it into the world.": "The simulation just recalls the saved data and spawns it into the world.";
"Should I be concerned with how detached you are about all this?": "Should I be concerned with how detached you are about all this?";
"Be strong honey...we're coming for you.": "Be strong honey...we're coming for you.";
"Zin patrols are like campaign workers. Sometimes you really want to smack the shit out of them.": "Zin patrols are like campaign workers. Sometimes you really want to smack the shit out of them.";
"Keep me posted.": "Keep me posted.";
"Philippe...": "Philippe...";
"That's not true?": "That's not true?";
"Just tell me how the damn thing works.": "Just tell me how the damn thing works.";
"You did it!": "You did it!";
"Wretched.": "Wretched.";
"Ah... Do I not usually drive?": "Ah... Do I not usually drive?";
"Try harder!": "Try harder!";
"I feel like this should be set to music!": "I feel like this should be set to music!";
"Get this creep away from me!": "Get this creep away from me!";
"Clear 'em out!": "Clear 'em out!";
"Anytime, Pierce.": "Anytime, Pierce.";
"Nevermind.": "Nevermind.";
"No.  Well, yes-it's...Sorry this is a little awkward.": "No.  Well, yes-it's...Sorry this is a little awkward.";
"Hold on, doesn't someone try to kill me soon?": "Hold on, doesn't someone try to kill me soon?";
"If its shields are up, use your powers.": "If its shields are up, use your powers.";
"Power up my dancing?  Ben, I don't need any boost to that, baby.  Dancing... kinda my life.  Well, it would be if I had more time for it.  I'm a fucking natural.": "Power up my dancing?  Ben, I don't need any boost to that, baby.  Dancing... kinda my life.  Well, it would be if I had more time for it.  I'm a fucking natural.";
"Fuck!  He's got some sort of field protecting him.": "Fuck!  He's got some sort of field protecting him.";
"Am I at the wrong... oh fuck.": "Am I at the wrong... oh fuck.";
"No.": "No.";
"I love technology.  So where are these things you want me to find?": "I love technology.  So where are these things you want me to find?";
"I'm in over my head here.  Kinzie...?  Matt...?  Keith...?  Anyone...?": "I'm in over my head here.  Kinzie...?  Matt...?  Keith...?  Anyone...?";
"Gotta be a decent hotel around. Something with a spa... ": "Gotta be a decent hotel around. Something with a spa... ";
"I don't really have time to play games with you.": "I don't really have time to play games with you.";
"Yeah but...that?": "Yeah but...that?";
"This one's just because I want to!": "This one's just because I want to!";
"Get the Saints together, the sooner we're out of here, the better": "Get the Saints together, the sooner we're out of here, the better";
"That seals it. I'm sticking with sweet tea.": "That seals it. I'm sticking with sweet tea.";
"This would be great at a barbeque.": "This would be great at a barbeque.";
"Then how's this gonna piss him off?": "Then how's this gonna piss him off?";
"Alright, you two with me.  Your turn to shine.": "Alright, you two with me.  Your turn to shine.";
"About the last thing I associate with Kinzie is bunnies.": "About the last thing I associate with Kinzie is bunnies.";
"Kinzie, let's go back to talking about Johnny.": "Kinzie, let's go back to talking about Johnny.";
"No, go to the right!": "No, go to the right!";
"I'm taking a lot on faith here.": "I'm taking a lot on faith here.";
"Cool.": "Cool.";
"You two feeling anything?": "You two feeling anything?";
"Um. Is that how it's being delivered?": "Um. Is that how it's being delivered?";
"Yo! We're here! The target is just ahead!": "Yo! We're here! The target is just ahead!";
"I don't like the sound of that \\\"should\\\".": "I don't like the sound of that \\\"should\\\".";
"Dammit, this guy was selling a low grade knockoff.": "Dammit, this guy was selling a low grade knockoff.";
"We got your back.": "We got your back.";
"Yeah, but that was code introduced into the system by Zinyak.  I'm thinking of something more... abstract.": "Yeah, but that was code introduced into the system by Zinyak.  I'm thinking of something more... abstract.";
"Meaning?": "Meaning?";
"We're not sitting here waiting to die.": "We're not sitting here waiting to die.";
"Tell me how it's gonna go down when this place crashes.": "Tell me how it's gonna go down when this place crashes.";
"There's a group of Zin to kill.  Would love to do it myself, but you doing it will be quicker.": "There's a group of Zin to kill.  Would love to do it myself, but you doing it will be quicker.";
"Ben, there is no time BUT this.": "Ben, there is no time BUT this.";
"Whoa-whoa-whoa, where did that thing go?": "Whoa-whoa-whoa, where did that thing go?";
"Tell everybody it's time.": "Tell everybody it's time.";
"We'll get you back, Kinzie, just hang on.": "We'll get you back, Kinzie, just hang on.";
"I thought we were!": "I thought we were!";
"Fuck. Get back here, Keith!": "Fuck. Get back here, Keith!";
"Just don't get your butt shot off -- I don't wanna have to do this again!": "Just don't get your butt shot off -- I don't wanna have to do this again!";
"Oh shit, that's really not good...": "Oh shit, that's really not good...";
"I'll do my best.": "I'll do my best.";
"Fighting aliens is like running for office. You gotta go for the throat.": "Fighting aliens is like running for office. You gotta go for the throat.";
"Before we do anything, we need some breathing room. Let's take out those tanks!": "Before we do anything, we need some breathing room. Let's take out those tanks!";
"Meaning?": "Meaning?";
"CID, where we headed?": "CID, where we headed?";
"Keep at it!": "Keep at it!";
"God, you so walked right into that one.  Well done.": "God, you so walked right into that one.  Well done.";
"TRY.": "TRY.";
"I'm coming, Shaundi!": "I'm coming, Shaundi!";
"Heh. This is a piece of cake. But don't you fucking leave me behind.": "Heh. This is a piece of cake. But don't you fucking leave me behind.";
"wow, that was shorter than I was expecting": "wow, that was shorter than I was expecting";
"That... actually sounds amazing.": "That... actually sounds amazing.";
"Those were simpler times, King.  Kinzie, can you see if Tony's on his way yet?": "Those were simpler times, King.  Kinzie, can you see if Tony's on his way yet?";
"You can't help but wonder how many simulations Zinyak is running...": "You can't help but wonder how many simulations Zinyak is running...";
"Is this how you've been using your time since I freed you?": "Is this how you've been using your time since I freed you?";
"One of Zinyak's lieutenants is hiding as a regular person in the simulation. Take his ass out.": "One of Zinyak's lieutenants is hiding as a regular person in the simulation. Take his ass out.";
"To hell with this, I'm finding King.": "To hell with this, I'm finding King.";
"Almost there.": "Almost there.";
"Hang on!": "Hang on!";
"I understand...": "I understand...";
"Zinyak, this ain't pride... This is wrath.": "Zinyak, this ain't pride... This is wrath.";
"That's right!": "That's right!";
"I know you think you're being valiant here. Really. I get that. You're an A1 superhero, Asha.": "I know you think you're being valiant here. Really. I get that. You're an A1 superhero, Asha.";
"Bah, Kinzie's job is easy.": "Bah, Kinzie's job is easy.";
"A satellite with giant laser beams?": "A satellite with giant laser beams?";
"Hold on, is this gonna be some bonding moment for the two of us?": "Hold on, is this gonna be some bonding moment for the two of us?";
"Sounds good. As long as she doesn't blink out on us again.": "Sounds good. As long as she doesn't blink out on us again.";
"Oh, this is happening, even if I have to let you be the cat.": "Oh, this is happening, even if I have to let you be the cat.";
"So hack stores for you.  Got it.": "So hack stores for you.  Got it.";
"Whoa!": "Whoa!";
"So there's just the one airlock?": "So there's just the one airlock?";
"Yeah, they've really improved over the years.": "Yeah, they've really improved over the years.";
"Fine. Then perhaps Shaundi would enjoy my company.": "Fine. Then perhaps Shaundi would enjoy my company.";
"We would have had a marvelous second term, Keith.": "We would have had a marvelous second term, Keith.";
"Oui.": "Oui.";
"I knew you could do it.": "I knew you could do it.";
"I was just starting to warm up to your way of doing things too.": "I was just starting to warm up to your way of doing things too.";
"No you don't!": "No you don't!";
"I am not going to beg. Okay. Fine. I am begging. Throw me into the air. Please.": "I am not going to beg. Okay. Fine. I am begging. Throw me into the air. Please.";
"I wanna get the *beep* away from here.": "I wanna get the *beep* away from here.";
"DELETE": "DELETE";
"Kinzie, what now?": "Kinzie, what now?";
"Excited Matt. This can't be good.": "Excited Matt. This can't be good.";
"I don't think zombies are a pressing matter, Matt.": "I don't think zombies are a pressing matter, Matt.";
"Shut up.": "Shut up.";
"Kinzie! Brilliant! Let's head for the exit!": "Kinzie! Brilliant! Let's head for the exit!";
"Guess I'm not really in a hurry...to do anything. At all. HEY!": "Guess I'm not really in a hurry...to do anything. At all. HEY!";
"Got it.": "Got it.";
"No worries. I will find a way.": "No worries. I will find a way.";
"All right CID, here's the deal--": "All right CID, here's the deal--";
"Where's Angel when you need him...": "Where's Angel when you need him...";
"The more Zin you kill, the more the system works to compensate.  Here's the location of one of their patrols.": "The more Zin you kill, the more the system works to compensate.  Here's the location of one of their patrols.";
"All right, that's it.": "All right, that's it.";
"Shit. Wh-what's it doing, Kinzie?": "Shit. Wh-what's it doing, Kinzie?";
