// SR4R voice dict file 1/17
// Lines 1-1000 of 16797
// Format: "English": "Chinese translation";

"Maybe later, alright?": "Maybe later, alright?";
"The leader of the Saints is insane.  We expected them to tear through Steelport, but no one knew what they were really capable of.  After they destroyed that aircraft carrier, Hughes should've approved the Daedalus right then and there.": "The leader of the Saints is insane.  We expected them to tear through Steelport, but no one knew what they were really capable of.  After they destroyed that aircraft carrier, Hughes should've approved the Daedalus right then and there.";
"You should be able to find generators on the floating platforms around the towers.  Destroy them and take their modules.": "You should be able to find generators on the floating platforms around the towers.  Destroy them and take their modules.";
"Not like they ever wanted to.  And now I'm gonna set 'em free.": "Not like they ever wanted to.  And now I'm gonna set 'em free.";
"It's probably to contain Johnny. Give me a minute to figure something out.": "It's probably to contain Johnny. Give me a minute to figure something out.";
"*sigh* Well at least that was amusing to watch.  Too bad he didn't work out.  Cheerio.": "*sigh* Well at least that was amusing to watch.  Too bad he didn't work out.  Cheerio.";
"These things are defective.": "These things are defective.";
"Yeah, this is just like the old days.  Everyone's trying to kill me.": "Yeah, this is just like the old days.  Everyone's trying to kill me.";
"All right you heard CID, protect him and the Key.": "All right you heard CID, protect him and the Key.";
"And that's supposed to mean what?": "And that's supposed to mean what?";
"Yeah I can hear you.  And how the hell AM I hearing you, I don't have a phone on me?": "Yeah I can hear you.  And how the hell AM I hearing you, I don't have a phone on me?";
"This absorption power's gonna work, right?": "This absorption power's gonna work, right?";
"Does it involve getting hit by cars?": "Does it involve getting hit by cars?";
"Did you really think the human race was weak?": "Did you really think the human race was weak?";
"How badass would it be if we had a gun that could kill, like, a whole buncha motherfuckers?": "How badass would it be if we had a gun that could kill, like, a whole buncha motherfuckers?";
"That's a good question. She doesn't really dive into her past much.": "That's a good question. She doesn't really dive into her past much.";
"Come on.": "Come on.";
"I always enjoy upsetting Zinyak.  Show him you are better than his people at his favorite game show.": "I always enjoy upsetting Zinyak.  Show him you are better than his people at his favorite game show.";
"What's happening!?": "What's happening!?";
"DELETE": "DELETE";
"Fair. Just make sure that idiot doesn't make me look like a jackass, okay?": "Fair. Just make sure that idiot doesn't make me look like a jackass, okay?";
"Don't worry Paul, I'll pour one out for you.": "Don't worry Paul, I'll pour one out for you.";
"My word. Still, so many people...": "My word. Still, so many people...";
"Just tell me what you want CID...": "Just tell me what you want CID...";
"What're the odds on a robot?": "What're the odds on a robot?";
"Cyrus has Kinzie. Drop me a gun, Matt.": "Cyrus has Kinzie. Drop me a gun, Matt.";
"Much better...": "Much better...";
"These relays have shields, Kinzie.": "These relays have shields, Kinzie.";
"Gotcha!": "Gotcha!";
"Well... when you put it like that... Sorry?  I'll get on that taking over a neighborhood thing for you...": "Well... when you put it like that... Sorry?  I'll get on that taking over a neighborhood thing for you...";
"Both of you in!": "Both of you in!";
"So I drive into that field I don't blow the hell up?": "So I drive into that field I don't blow the hell up?";
"Well, keep doing it as you are then.": "Well, keep doing it as you are then.";
"Now this will do just fine.": "Now this will do just fine.";
"Is Kinzie okay?": "Is Kinzie okay?";
"I'mgonnashoottheconduit!": "I'mgonnashoottheconduit!";
"Big finish, huh? Let's do it.": "Big finish, huh? Let's do it.";
"Gimme that!": "Gimme that!";
"This is gonna be fun...": "This is gonna be fun...";
"What do we do without a truck, hon?": "What do we do without a truck, hon?";
"Come on, we'll find him.": "Come on, we'll find him.";
"Where are we going, Kinzie...": "Where are we going, Kinzie...";
"Alright, I'll play your game.  Consider it done.": "Alright, I'll play your game.  Consider it done.";
"We need to find something that'll get us to Zinyak.": "We need to find something that'll get us to Zinyak.";
"Any day now, CID.  Get that thing moving.": "Any day now, CID.  Get that thing moving.";
"You sound serious. ": "You sound serious. ";
"Why can't I make a lane change?": "Why can't I make a lane change?";
"You guys got this? CID and I are going in.": "You guys got this? CID and I are going in.";
"CID, why is everything a target?": "CID, why is everything a target?";
"Do not shoot the messenger.  Frankly you sound more fun than the other Shaundi.  And I love your hair.": "Do not shoot the messenger.  Frankly you sound more fun than the other Shaundi.  And I love your hair.";
"Come to daddy...": "Come to daddy...";
"Much more believable.": "Much more believable.";
"Blue skies and hummingbirds. Come on out.": "Blue skies and hummingbirds. Come on out.";
"Open wide.": "Open wide.";
"Whose army did you say this was?": "Whose army did you say this was?";
"*animalistic grunts*": "*animalistic grunts*";
"Masako agents, huh?": "Masako agents, huh?";
"Right on.": "Right on.";
"Perspective? On what?": "Perspective? On what?";
"Kick ass, Boss. It was really cool hanging out with you again. And I helped fight back against the Zin. That's what we call a win-win.": "Kick ass, Boss. It was really cool hanging out with you again. And I helped fight back against the Zin. That's what we call a win-win.";
"Then shouldn't we be moving faster?": "Then shouldn't we be moving faster?";
"That sounds like a lot of work for a vague promise...": "That sounds like a lot of work for a vague promise...";
"We're moving. Why are we moving? Let's get to the bridge.": "We're moving. Why are we moving? Let's get to the bridge.";
"Plan? Heh. I prefer to improvise.": "Plan? Heh. I prefer to improvise.";
"It is exactly as I remember. *sniffs*  The air is redolent of hopelessness and desperation.  ": "It is exactly as I remember. *sniffs*  The air is redolent of hopelessness and desperation.  ";
"You worry too much, Kinzie. It's just an escort job.": "You worry too much, Kinzie. It's just an escort job.";
"This time I want to change up the tasks you were performing before.  General same idea, but this time I want to gauge the simulation's stability overall.": "This time I want to change up the tasks you were performing before.  General same idea, but this time I want to gauge the simulation's stability overall.";
"Sure, CID.": "Sure, CID.";
"Look, you tell me what needs to get done and I'll take care of it.  Deal?": "Look, you tell me what needs to get done and I'll take care of it.  Deal?";
"Just don't get any blood on ya, she's got the Hep!": "Just don't get any blood on ya, she's got the Hep!";
"Sure, for this. You know, because up until now Zinyak's crimes haven't been that bad.": "Sure, for this. You know, because up until now Zinyak's crimes haven't been that bad.";
"Jolly good. And this part won't take long, right?": "Jolly good. And this part won't take long, right?";
"Man, look at the guns on this thing.": "Man, look at the guns on this thing.";
"That's right!  Then go me!": "That's right!  Then go me!";
"Watch your ass, Paul. I'm coming for ya!": "Watch your ass, Paul. I'm coming for ya!";
"Oh. Ooooh.": "Oh. Ooooh.";
"(I will wear your skin!)": "(I will wear your skin!)";
"I don't have any guns.": "I don't have any guns.";
"DELETE": "DELETE";
"Kinzie, what's the weakest point on the Zin ship?": "Kinzie, what's the weakest point on the Zin ship?";
"Well, that's handy.": "Well, that's handy.";
"Believe me, this whole thing was my pleasure.": "Believe me, this whole thing was my pleasure.";
"Oh, I got something special planned for him.": "Oh, I got something special planned for him.";
"Kinzie, you're gonna sing for your Commander In Chief.": "Kinzie, you're gonna sing for your Commander In Chief.";
"She's breathing.": "She's breathing.";
"Tastes wonderful!": "Tastes wonderful!";
"Tammy Tolliver seems a strange target. What'd she do anyway?": "Tammy Tolliver seems a strange target. What'd she do anyway?";
"He's gonna learn really quick how bad an idea is to fuck with us.": "He's gonna learn really quick how bad an idea is to fuck with us.";
"Matt, if it makes a difference to you...": "Matt, if it makes a difference to you...";
"Did I install a sex swing in the Lincoln Bedroom?": "Did I install a sex swing in the Lincoln Bedroom?";
"On it.": "On it.";
"Take that you *BEEP*!": "Take that you *BEEP*!";
"So another in downtown?": "So another in downtown?";
"They weren't on the offensive before?": "They weren't on the offensive before?";
"This isn't really my business but, since you dragged me into this, I think you both could learn something from the other. Take that as you will.": "This isn't really my business but, since you dragged me into this, I think you both could learn something from the other. Take that as you will.";
"Whatever's in that portal had better be good.": "Whatever's in that portal had better be good.";
"Nevermind.": "Nevermind.";
"The big ugly mother. He's the one I want.": "The big ugly mother. He's the one I want.";
"Oh, you son of a bitch...": "Oh, you son of a bitch...";
"Wait, wait, wait... Wait a what? What's going on?": "Wait, wait, wait... Wait a what? What's going on?";
"It's not Gat's nightmare, it's Shaundi's.  She's here somewhere.": "It's not Gat's nightmare, it's Shaundi's.  She's here somewhere.";
"What Jinx?  I said this was easy...": "What Jinx?  I said this was easy...";
"Wait a minute.  I think that's Maero--!": "Wait a minute.  I think that's Maero--!";
"Yeah, I'm having a bit of a stronger reaction.": "Yeah, I'm having a bit of a stronger reaction.";
"Matt, I've been thinking...we could all be dead soon, so...shit I can't believe I'm saying this...you don't have to die a virgin.": "Matt, I've been thinking...we could all be dead soon, so...shit I can't believe I'm saying this...you don't have to die a virgin.";
"Pierce has drank so much Saints Flow, I don't think he *can* die.": "Pierce has drank so much Saints Flow, I don't think he *can* die.";
"I'm trying to save your life!": "I'm trying to save your life!";
"I know, man. I know.": "I know, man. I know.";
"Whu-where's Kinzie...?": "Whu-where's Kinzie...?";
"Come on, give us some credit, Kinzie.": "Come on, give us some credit, Kinzie.";
"Yeah.": "Yeah.";
"Shit no. Give me a town the Saints don't run and we'll just take it over anyway.": "Shit no. Give me a town the Saints don't run and we'll just take it over anyway.";
"Kinzie. That sounds like total bullshit even coming from you.": "Kinzie. That sounds like total bullshit even coming from you.";
"Damn, I cut my knuckle on that senator's teeth...": "Damn, I cut my knuckle on that senator's teeth...";
"That wasn't hard at all.": "That wasn't hard at all.";
"Let's do this.": "Let's do this.";
"He's got Kinzie. Be a dove and drop me a sniper rifle?": "He's got Kinzie. Be a dove and drop me a sniper rifle?";
"Okay, so we're both dressed for success.  Shall we dance?": "Okay, so we're both dressed for success.  Shall we dance?";
"Will you two quit it already?": "Will you two quit it already?";
"I'll shoot down every last one of you!": "I'll shoot down every last one of you!";
"I kill enough of you to stretch from here back to Earth!": "I kill enough of you to stretch from here back to Earth!";
"Well not everyone can be like you.": "Well not everyone can be like you.";
"It's okay. Let's get moving though.": "It's okay. Let's get moving though.";
"Next portal.  Let's move.": "Next portal.  Let's move.";
"How are we on time, CID?": "How are we on time, CID?";
"According to Kinzie's intel the Key needs to be taken to the old Syndicate Tower.  The entrance to the System is in the loading dock.  We will be driving the truck while you keep the Zin off us.  After entering, CID will be in charge of driving the Key into the main computer hub, which will cause the Simulation to begin destabilizing.  Good luck.": "According to Kinzie's intel the Key needs to be taken to the old Syndicate Tower.  The entrance to the System is in the loading dock.  We will be driving the truck while you keep the Zin off us.  After entering, CID will be in charge of driving the Key into the main computer hub, which will cause the Simulation to begin destabilizing.  Good luck.";
"You got it, sweetheart!": "You got it, sweetheart!";
"The enemy light has been eradicated.": "The enemy light has been eradicated.";
"Nice job, killer. You just killed the nicest man in town.": "Nice job, killer. You just killed the nicest man in town.";
"S'il vous plait, Madame Press Secretary, that sounds delightful.": "S'il vous plait, Madame Press Secretary, that sounds delightful.";
"What, are they liberals? Haven't they heard of the Second Amendment?": "What, are they liberals? Haven't they heard of the Second Amendment?";
"More things to destroy then?": "More things to destroy then?";
"These guns have to be able to do some serious damage, right?": "These guns have to be able to do some serious damage, right?";
"I think this is pissing them off...": "I think this is pissing them off...";
"Keep on 'em!": "Keep on 'em!";
"Didn't need to hear that.": "Didn't need to hear that.";
"Okay then...": "Okay then...";
"What the fuck is this shit?": "What the fuck is this shit?";
"You mind explaining that noise I heard?": "You mind explaining that noise I heard?";
"Well. I suppose there's no stopping either of you. You're both as bullheaded and misguided as ever.": "Well. I suppose there's no stopping either of you. You're both as bullheaded and misguided as ever.";
"Is there anything you can do to make it go faster?": "Is there anything you can do to make it go faster?";
"So you've read it.": "So you've read it.";
"Kinzie...": "Kinzie...";
"I'll see if I can help with that.": "I'll see if I can help with that.";
"Take that you *BEEP*!": "Take that you *BEEP*!";
"So there are probably aliens in here?": "So there are probably aliens in here?";
"Another door to the ship in downtown is possible if you continue hacking open stores.": "Another door to the ship in downtown is possible if you continue hacking open stores.";
"And you really thought Julius would've been able to help you?": "And you really thought Julius would've been able to help you?";
"There.": "There.";
"Matt! Take the other turret!": "Matt! Take the other turret!";
"Saints Flow?  What the fuck is going on here?": "Saints Flow?  What the fuck is going on here?";
"Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!": "Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!";
"I guess the monster trucks make sense then.  Jesus, you think Donnie's around?": "I guess the monster trucks make sense then.  Jesus, you think Donnie's around?";
"Woohoo! Two points!": "Woohoo! Two points!";
"That's interesting...": "That's interesting...";
"You know it. Why, something wrong?": "You know it. Why, something wrong?";
"DELETE": "DELETE";
"Man, this ladle does everything!": "Man, this ladle does everything!";
"Way to go Kinzie!": "Way to go Kinzie!";
"You got it.": "You got it.";
"God I hate these assholes.": "God I hate these assholes.";
"There must be a better way.": "There must be a better way.";
"And you haven't told them to fuck off yet?": "And you haven't told them to fuck off yet?";
"Don't I usually drive?": "Don't I usually drive?";
"I'm glad that Shaundi has occasion once again to use her skillset in a situation befitting her demeanor. That was trying too hard, wasn't it?": "I'm glad that Shaundi has occasion once again to use her skillset in a situation befitting her demeanor. That was trying too hard, wasn't it?";
"Deal.": "Deal.";
"Eh, who needs a plan when you can just walk into a virtual hell hole.": "Eh, who needs a plan when you can just walk into a virtual hell hole.";
"How close are we, Kinzie?": "How close are we, Kinzie?";
"Good.": "Good.";
"Where...where is Kinzie...": "Where...where is Kinzie...";
"We've never done more than two.  And I'm a little busy here.": "We've never done more than two.  And I'm a little busy here.";
"Are you fucking with me?": "Are you fucking with me?";
"I've been ready ever since I got here.  Though I'll give Tanya one more chance to give herself up.": "I've been ready ever since I got here.  Though I'll give Tanya one more chance to give herself up.";
"Did that do it?": "Did that do it?";
"No more hiding, Zinyak.": "No more hiding, Zinyak.";
"You never know if you can have something unless you ask for it.": "You never know if you can have something unless you ask for it.";
"Little b-ball action, huh. Let's do this.": "Little b-ball action, huh. Let's do this.";
"Get into the car! GET IN!": "Get into the car! GET IN!";
"Matt, I've been thinking...we could all be dead soon, so...shit I can't believe I'm saying this...you don't have to die a virgin.": "Matt, I've been thinking...we could all be dead soon, so...shit I can't believe I'm saying this...you don't have to die a virgin.";
"Really? Then why do you do it?": "Really? Then why do you do it?";
"Johnny. How do I get to him?": "Johnny. How do I get to him?";
"I forgot how big this fucking plane is.  Couldn't you have put me closer to the front?": "I forgot how big this fucking plane is.  Couldn't you have put me closer to the front?";
"I kid 'cause I love.": "I kid 'cause I love.";
"Don't worry Paul, I'll pour one out for you.": "Don't worry Paul, I'll pour one out for you.";
"One more portal, right?": "One more portal, right?";
"Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!": "Oh that Matt. Such a character. I wouldn't mind killing him again. Hey, as soon as you fail, I'll get to!";
"Goddammit!": "Goddammit!";
"wow.": "wow.";
"I'm gonna pretend that makes total sense.": "I'm gonna pretend that makes total sense.";
"Brilliant.": "Brilliant.";
"All right... let's see what that warden had for me...": "All right... let's see what that warden had for me...";
"Thanks for the help.": "Thanks for the help.";
"What, like, one of those machines that grinds keys?": "What, like, one of those machines that grinds keys?";
"This thing can't stay open forever...": "This thing can't stay open forever...";
"What's going on...": "What's going on...";
"I know you think you're being valiant here. Really. I get that. You're an A1 superhero, Asha.": "I know you think you're being valiant here. Really. I get that. You're an A1 superhero, Asha.";
"What, is that supposed to be reassuring?": "What, is that supposed to be reassuring?";
"This is too easy...": "This is too easy...";
"I'll take what I can get.": "I'll take what I can get.";
"The goal's simple enough, just kill everyone and everything.  Extra points for not dying.": "The goal's simple enough, just kill everyone and everything.  Extra points for not dying.";
"Yaaaaaahhhhhhh!": "Yaaaaaahhhhhhh!";
"Oh, I got plenty to say these days -- starting with \\\"you're dead\\\"!": "Oh, I got plenty to say these days -- starting with \\\"you're dead\\\"!";
"Hey Kinzie, you wanna fuck?": "Hey Kinzie, you wanna fuck?";
"I'm in the belly of the beast...": "I'm in the belly of the beast...";
"As long as it's not dozens of different versions of me. Look, I've had more than enough of psychological introspection.": "As long as it's not dozens of different versions of me. Look, I've had more than enough of psychological introspection.";
"King didn't have it easy, he was dealing with the whole Dex situation.": "King didn't have it easy, he was dealing with the whole Dex situation.";
"It's just... other me was right.  I do feel better.": "It's just... other me was right.  I do feel better.";
"Kinzie, what's the weakest point on the Zin ship?": "Kinzie, what's the weakest point on the Zin ship?";
"You can't stop the music!  Nobody can stop the music!": "You can't stop the music!  Nobody can stop the music!";
"Bring it on.": "Bring it on.";
"Matt, I found Kinzie but I'm not sure there's--": "Matt, I found Kinzie but I'm not sure there's--";
"I always do.": "I always do.";
"Time to see what's in it.": "Time to see what's in it.";
"Good to see you haven't changed THAT much...": "Good to see you haven't changed THAT much...";
"Look lady, we're doing this in my time!": "Look lady, we're doing this in my time!";
"Shaundi--!": "Shaundi--!";
"Why is Gat's pod so much different than the others.": "Why is Gat's pod so much different than the others.";
"I see another Kinzie, but I--wait!": "I see another Kinzie, but I--wait!";
"But figuring out how we couldn've made the Key fly is worth our time?": "But figuring out how we couldn've made the Key fly is worth our time?";
"Meaning what?": "Meaning what?";
"Sorry we're late!": "Sorry we're late!";
"You both sit tight. I'll be back for you.": "You both sit tight. I'll be back for you.";
"Your lack of esprit de corps is noted, young lady.": "Your lack of esprit de corps is noted, young lady.";
"I swear, if Zinyak hurt her...": "I swear, if Zinyak hurt her...";
"Quick! Grab Aisha!": "Quick! Grab Aisha!";
"Neither could I.  Look, you can't blame-- what the hell?": "Neither could I.  Look, you can't blame-- what the hell?";
"And a 1, 2, 3...go.": "And a 1, 2, 3...go.";
"I GOT A ROBOT!": "I GOT A ROBOT!";
"Only if this fails, we could all die.": "Only if this fails, we could all die.";
"One of them put a device on the wall. I'm not sure what it is.": "One of them put a device on the wall. I'm not sure what it is.";
"Kinzie, I don't want to hear it.": "Kinzie, I don't want to hear it.";
"This would be great at a barbeque.": "This would be great at a barbeque.";
"Yeah, for all of the next ten seconds.": "Yeah, for all of the next ten seconds.";
"DELETE": "DELETE";
"That sounds awesome.": "That sounds awesome.";
"Oh god...": "Oh god...";
"I have a feeling they're going to lead me to Johnny.": "I have a feeling they're going to lead me to Johnny.";
"One guy? No problem.": "One guy? No problem.";
"Pierce! You all right?": "Pierce! You all right?";
"Johnny...I'm coming for you...": "Johnny...I'm coming for you...";
"But figuring out how we couldn've made the Key fly is worth our time?": "But figuring out how we couldn've made the Key fly is worth our time?";
"Of course I do, Matt...": "Of course I do, Matt...";
"Excited Matt. This can't be good.": "Excited Matt. This can't be good.";
"So everything according to plan, huh?": "So everything according to plan, huh?";
"Whoa, holy shit!  My powers feel limitless!": "Whoa, holy shit!  My powers feel limitless!";
"I'm afraid to ask, but how is it amazing?": "I'm afraid to ask, but how is it amazing?";
"Zinyak, you fucking--": "Zinyak, you fucking--";
"Oh, you know, hacking alien technology while being shot at... How do you think it's going?": "Oh, you know, hacking alien technology while being shot at... How do you think it's going?";
"That wasn't hard at all.": "That wasn't hard at all.";
"... Useful?": "... Useful?";
"Oh, you'll see.": "Oh, you'll see.";
"One more to go.": "One more to go.";
"So you and old you had a talk then?": "So you and old you had a talk then?";
"Does the old Shaundi take anything seriously?  I mean, she's just in the simulation and she keeps sending me messages asking about what it was like to party in Stilwater back when I was younger.  I swear you'd think she was on this ship with us.": "Does the old Shaundi take anything seriously?  I mean, she's just in the simulation and she keeps sending me messages asking about what it was like to party in Stilwater back when I was younger.  I swear you'd think she was on this ship with us.";
"Oi, Doris! We're still on for tennis, yes?": "Oi, Doris! We're still on for tennis, yes?";
"Small problem, Kinzie. It's locked.": "Small problem, Kinzie. It's locked.";
"I admit I was surprised to see you in here, other me.": "I admit I was surprised to see you in here, other me.";
"Slow, slow, quick-quick slow!": "Slow, slow, quick-quick slow!";
"What the hell is The Brotherhood doing here?": "What the hell is The Brotherhood doing here?";
"Honestly, I don't care what we name the ship. As long as we name it Neuromancer.": "Honestly, I don't care what we name the ship. As long as we name it Neuromancer.";
"Kinzie! Let's get the fuck out of here.": "Kinzie! Let's get the fuck out of here.";
"Hold on, look at the speakers.  The music seems to be what's causing it in the first place.": "Hold on, look at the speakers.  The music seems to be what's causing it in the first place.";
"Yeah... remind me not to do that again.": "Yeah... remind me not to do that again.";
"I can still taste slime in the back of my mouth.": "I can still taste slime in the back of my mouth.";
"*sigh*  Fine, we do it your way.": "*sigh*  Fine, we do it your way.";
"The code says you can jump long distances and run at super high speeds.  How about starting with a small jump?": "The code says you can jump long distances and run at super high speeds.  How about starting with a small jump?";
"Kinzie, I can run faster than a human and shoot ice out of my hands; I'm already breaking the rules.": "Kinzie, I can run faster than a human and shoot ice out of my hands; I'm already breaking the rules.";
"Good...I need a break from you two...": "Good...I need a break from you two...";
"Head back inside the simulation and the Key will be waiting for you.": "Head back inside the simulation and the Key will be waiting for you.";
"The satellite's down! Did it work?": "The satellite's down! Did it work?";
"He's gonna learn really quick how bad an idea is to fuck with us.": "He's gonna learn really quick how bad an idea is to fuck with us.";
"Getting booted from the US sent Cyrus Temple off the deep end but teaming up with terrorists? Seriously?": "Getting booted from the US sent Cyrus Temple off the deep end but teaming up with terrorists? Seriously?";
"Alright, I'll play your game.  Consider it done.": "Alright, I'll play your game.  Consider it done.";
"Let's do this, you beautiful bastard.": "Let's do this, you beautiful bastard.";
"It's a simulation!": "It's a simulation!";
"What?": "What?";
"Oh man. Am I glad that's over.": "Oh man. Am I glad that's over.";
"*sigh*  Kinzie, stop talking.": "*sigh*  Kinzie, stop talking.";
"Where the hell is Kinzie?": "Where the hell is Kinzie?";
"*BEEP* that was fun!": "*BEEP* that was fun!";
"This place is a death trap.": "This place is a death trap.";
"All right... got the virus.": "All right... got the virus.";
"Careful Kinzie, you were almost an optomist...": "Careful Kinzie, you were almost an optomist...";
"While you reflect on what you just said, Kinzie, I'm going to follow the aliens to my friend.": "While you reflect on what you just said, Kinzie, I'm going to follow the aliens to my friend.";
"Maybe they just think you're thirsty.": "Maybe they just think you're thirsty.";
"You do know that sounds crazy, right?": "You do know that sounds crazy, right?";
"ooooo....": "ooooo....";
"Hey, whoa, what--": "Hey, whoa, what--";
"What kind of security does Matt's prison have?": "What kind of security does Matt's prison have?";
"We find Tanya and I put a bullet in her.": "We find Tanya and I put a bullet in her.";
"I agree. I don't feel anything.": "I agree. I don't feel anything.";
"He vanished again! Get ready!": "He vanished again! Get ready!";
"Asha doesn't appreciate the rich fiction of the NyteBlayde universe. ": "Asha doesn't appreciate the rich fiction of the NyteBlayde universe. ";
"Masako agents, huh?": "Masako agents, huh?";
"Stubborn and defensive? Sounds like Asha all right. ": "Stubborn and defensive? Sounds like Asha all right. ";
"I just want it done Kinzie, I don't care how it works...": "I just want it done Kinzie, I don't care how it works...";
"Oh, wanted to thank you by the way, Kinzie.": "Oh, wanted to thank you by the way, Kinzie.";
"Gonna shove these wires up his *BEEP*!": "Gonna shove these wires up his *BEEP*!";
"I need to get some guns.": "I need to get some guns.";
"Jeez, it's like a shrine to my past...": "Jeez, it's like a shrine to my past...";
"Then how's this gonna piss him off?": "Then how's this gonna piss him off?";
"Sounds good to me.": "Sounds good to me.";
"The guy with the spike on his head? Oh yeah. Jeff? Zavian? Damien?": "The guy with the spike on his head? Oh yeah. Jeff? Zavian? Damien?";
"You expect me to sing on every road trip?": "You expect me to sing on every road trip?";
"Matt, I found Kinzie but I'm not sure there's--": "Matt, I found Kinzie but I'm not sure there's--";
"We gotta check the monitors!": "We gotta check the monitors!";
