// SR4R voice dict file 8/17
// Lines 7001-8000 of 16797
// Format: "English": "Chinese translation";

"Come on. Come on.": "Come on. Come on.";
"It's fine.  Let's just get moving.": "It's fine.  Let's just get moving.";
"Not quite a walk in the park, but I'm getting there.": "Not quite a walk in the park, but I'm getting there.";
"You got it, hon.": "You got it, hon.";
"I do not believe so.  Only a couple seem to actually be generating the force field.  The rest should be easily destructible decoys.": "I do not believe so.  Only a couple seem to actually be generating the force field.  The rest should be easily destructible decoys.";
"We're not really in a position to turn down help...what could go wrong?": "We're not really in a position to turn down help...what could go wrong?";
"Is this a spaceship? What the fuck?": "Is this a spaceship? What the fuck?";
"Wait a minute.  Shouldn't he be dead?": "Wait a minute.  Shouldn't he be dead?";
"Then let me focus on this guy we're chasing.": "Then let me focus on this guy we're chasing.";
"Oh, is that all?  Easy enough.  You pick the others up?": "Oh, is that all?  Easy enough.  You pick the others up?";
"Matt, why can't I swear?": "Matt, why can't I swear?";
"So I find you a body and I'm supposed to just trust that you'll help me?": "So I find you a body and I'm supposed to just trust that you'll help me?";
"Aaaaaaaah!": "Aaaaaaaah!";
"Shit, I don't think Pierce's own death is gonna break his stride.": "Shit, I don't think Pierce's own death is gonna break his stride.";
"I can't wait to show this thing to Pierce...": "I can't wait to show this thing to Pierce...";
"Well that didn't go terrible.": "Well that didn't go terrible.";
"We have a lot of guns that kill a whole buncha motherfuckers.": "We have a lot of guns that kill a whole buncha motherfuckers.";
"Okay, not what I was expecting...": "Okay, not what I was expecting...";
"Well. Seems I have plenty of time to just hang out here.": "Well. Seems I have plenty of time to just hang out here.";
"But I thought we were going after--": "But I thought we were going after--";
"Hey, Doris! We still playing tennis later?": "Hey, Doris! We still playing tennis later?";
"Le'ts play...": "Le'ts play...";
"I hope the challenger knows better than to play with fire.": "I hope the challenger knows better than to play with fire.";
"Because I think it's--": "Because I think it's--";
"Pierce, you mind explaining to me what's been going on here?": "Pierce, you mind explaining to me what's been going on here?";
"Dammit!": "Dammit!";
"If it works, sure thing.": "If it works, sure thing.";
"Hey, Doris! We still down for tennis?": "Hey, Doris! We still down for tennis?";
"Sorry, can't talk.": "Sorry, can't talk.";
"A key?  Keys don't have parts.": "A key?  Keys don't have parts.";
"I knew we'd find him, now we can kill that sonofabitch.": "I knew we'd find him, now we can kill that sonofabitch.";
"Holy shit! I actually kinda understand that. Haa...": "Holy shit! I actually kinda understand that. Haa...";
"So I just slam the floor?": "So I just slam the floor?";
"This is like a scrap book of old murder victims...where are they coming from?": "This is like a scrap book of old murder victims...where are they coming from?";
"This is for Lady Liberty!": "This is for Lady Liberty!";
"True.  Or an army of Killbanes for that matter.  ": "True.  Or an army of Killbanes for that matter.  ";
"(I've been holding this in forever.)": "(I've been holding this in forever.)";
"Thanks for the help with that.  At least now I don't feel like I'm flying blind here when it comes to Zin programming.  Here's that upgrade for you, though I know you love the outfit more.": "Thanks for the help with that.  At least now I don't feel like I'm flying blind here when it comes to Zin programming.  Here's that upgrade for you, though I know you love the outfit more.";
"Pierce?  What the hell, he wouldn't say that.": "Pierce?  What the hell, he wouldn't say that.";
"I wanna see you take down one of those Zin hotspots.": "I wanna see you take down one of those Zin hotspots.";
"I'd be happier if my favorite Russian brute was here to watch my back.": "I'd be happier if my favorite Russian brute was here to watch my back.";
"Prize room! Nice.": "Prize room! Nice.";
"So if these data thingies--": "So if these data thingies--";
"DELETE": "DELETE";
"Holy shit...": "Holy shit...";
"Go on...": "Go on...";
"Kinzie, are we--": "Kinzie, are we--";
"Hey, he came close that one time!": "Hey, he came close that one time!";
"That was total action-movie badass, Kinzie.": "That was total action-movie badass, Kinzie.";
"Keith, what the hell?": "Keith, what the hell?";
"Where am I?": "Where am I?";
"No. I don't know if Zimos made it but Oleg is... well...": "No. I don't know if Zimos made it but Oleg is... well...";
"Oh fuck...what's that taste in my throat?": "Oh fuck...what's that taste in my throat?";
"What's going on?": "What's going on?";
"Yeah, I'm here.": "Yeah, I'm here.";
"What am I supposed to do in here?": "What am I supposed to do in here?";
"Got it.": "Got it.";
"Well...I suppose that's an option.": "Well...I suppose that's an option.";
"See, I knew Gat was here.": "See, I knew Gat was here.";
"Can you do anything to make it go faster?": "Can you do anything to make it go faster?";
"You busted it down, didn't you?": "You busted it down, didn't you?";
"You think you can come here and fuck with MY country?": "You think you can come here and fuck with MY country?";
"Been working on that and I think I have the right cypher created...": "Been working on that and I think I have the right cypher created...";
"You'll see me differently...": "You'll see me differently...";
"A door. How...perfect.": "A door. How...perfect.";
"Hey, I was just--": "Hey, I was just--";
"All I need now is a British accent.": "All I need now is a British accent.";
"What am I waiting for, Kinzie? What's wrong?": "What am I waiting for, Kinzie? What's wrong?";
"DELETE": "DELETE";
"I heard the other, younger Shaundi posed suggestively in a gentlemen's magazine once.  Would you happen to have a copy I could view?": "I heard the other, younger Shaundi posed suggestively in a gentlemen's magazine once.  Would you happen to have a copy I could view?";
"Oh Lordy...": "Oh Lordy...";
"Shaundi, it's your time to shine...": "Shaundi, it's your time to shine...";
"It's like a fever dream...a beautiful robot filled fever dream...": "It's like a fever dream...a beautiful robot filled fever dream...";
"I don't think so. HA HA HA.": "I don't think so. HA HA HA.";
"Dammit, Kinzie, you better--": "Dammit, Kinzie, you better--";
"Loading up another training program for you.": "Loading up another training program for you.";
"Will...": "Will...";
"Where do we start, Kinzie?": "Where do we start, Kinzie?";
"What?  Oh, no, not about that.  She said part of why she's so relaxed is she gets someone else to do all the hard stuff for her.  She's right, that really works!": "What?  Oh, no, not about that.  She said part of why she's so relaxed is she gets someone else to do all the hard stuff for her.  She's right, that really works!";
"I don't know...": "I don't know...";
"How many of these things are there?": "How many of these things are there?";
"It's okay man...you're safe...": "It's okay man...you're safe...";
"Kinzie, where's Shaundi?": "Kinzie, where's Shaundi?";
"Nope, those were just the memory modules.  The other dock should have the gravity inhibitors.": "Nope, those were just the memory modules.  The other dock should have the gravity inhibitors.";
"Matt changed his ways after Steelport. He joined MI6, helped us kill Cyrus Temple, and, y'know, he's useful.": "Matt changed his ways after Steelport. He joined MI6, helped us kill Cyrus Temple, and, y'know, he's useful.";
"We're here, boss!": "We're here, boss!";
"Oleg! How the hell are you?": "Oleg! How the hell are you?";
"Hmmm, not sure.  I'll have to look into that.": "Hmmm, not sure.  I'll have to look into that.";
"As soon as the VIP's helo arrives. She's still in our charge until then.": "As soon as the VIP's helo arrives. She's still in our charge until then.";
"This part of your plan?": "This part of your plan?";
"Well if it isn't the OTHER Stilwater default player...": "Well if it isn't the OTHER Stilwater default player...";
"How do they expect me to commit xenocide without a weapon?": "How do they expect me to commit xenocide without a weapon?";
"Did you really have to put that image in my head?": "Did you really have to put that image in my head?";
"Ouch! This is gonna hurt.": "Ouch! This is gonna hurt.";
"Fine with me.": "Fine with me.";
"CID, why is everything a target?": "CID, why is everything a target?";
"*sigh* Forget I said \\\"balls.\\\"": "*sigh* Forget I said \\\"balls.\\\"";
"They've kind of been on the offensive the whole time, Kinzie...": "They've kind of been on the offensive the whole time, Kinzie...";
"Fine, and the not floating part?": "Fine, and the not floating part?";
"Once more for old time's sake!": "Once more for old time's sake!";
"Don't you go boom...": "Don't you go boom...";
"All right, let's find the last one.": "All right, let's find the last one.";
"Hey, I'm not complaining.  Though faster is better, Shaundi.  We're kinda under attack here.": "Hey, I'm not complaining.  Though faster is better, Shaundi.  We're kinda under attack here.";
"If you don't know why you're doing something, why do it?": "If you don't know why you're doing something, why do it?";
"I need to find something that looks important...": "I need to find something that looks important...";
"I hope it's not a cookbook.": "I hope it's not a cookbook.";
"Don't worry hon...I have it covered.": "Don't worry hon...I have it covered.";
"Shit! Helluvan entrance there, guy.": "Shit! Helluvan entrance there, guy.";
"We have what we need, so...": "We have what we need, so...";
"Pissing me off, that's what.  Seems Julius is still running the Saints here.": "Pissing me off, that's what.  Seems Julius is still running the Saints here.";
"But you can make sure they don't, right?": "But you can make sure they don't, right?";
"On the move? Okay, let me try to find a way to...": "On the move? Okay, let me try to find a way to...";
"Come on, you wiped the floor with Killbane in that game.": "Come on, you wiped the floor with Killbane in that game.";
"I'm trying to save you!": "I'm trying to save you!";
"Time to make cancer public enemy number one.": "Time to make cancer public enemy number one.";
"Ooh. Cyrus. You're gonna want to take that back.": "Ooh. Cyrus. You're gonna want to take that back.";
"Come on, give us some credit, Kinzie.": "Come on, give us some credit, Kinzie.";
"*sigh* I shoulda known.": "*sigh* I shoulda known.";
"See, that's all you needed to say!": "See, that's all you needed to say!";
"He just blew up Tammy...": "He just blew up Tammy...";
"Don't worry, we're with ya.": "Don't worry, we're with ya.";
"Well, at least the janitor has job security.": "Well, at least the janitor has job security.";
"Yeah, that was great. Wait, there's more to this?": "Yeah, that was great. Wait, there's more to this?";
"I like them much better when they're not holding me prisoner.": "I like them much better when they're not holding me prisoner.";
"So can we talk about why it is you have to kill me again?": "So can we talk about why it is you have to kill me again?";
"Would you look at that...": "Would you look at that...";
"What the hell?": "What the hell?";
"There's an Image as Designed still under Zin control. Pop that shit open, Boss!": "There's an Image as Designed still under Zin control. Pop that shit open, Boss!";
"So what's the problem?": "So what's the problem?";
"You can do that? Without Matt?": "You can do that? Without Matt?";
"Get into the car! GET IN!": "Get into the car! GET IN!";
"So I find you a body and I'm supposed to just trust that you'll help me?": "So I find you a body and I'm supposed to just trust that you'll help me?";
"Kinzie, I am trusting you...": "Kinzie, I am trusting you...";
"There's Kinzie. Hook me up with some firepower.": "There's Kinzie. Hook me up with some firepower.";
"Y'know. Took out some terrorists, became the President of the United States. Rolled back the national debt, got to fly Air Force One.": "Y'know. Took out some terrorists, became the President of the United States. Rolled back the national debt, got to fly Air Force One.";
"Get this rig lower!": "Get this rig lower!";
"Is MI6 really called upon to escort TV correspondents on shopping trips?": "Is MI6 really called upon to escort TV correspondents on shopping trips?";
"Ah, the sweet pain of nostalgia.  Familiar faces, names mostly on gravestones...": "Ah, the sweet pain of nostalgia.  Familiar faces, names mostly on gravestones...";
"Oleg! How the hell are you?": "Oleg! How the hell are you?";
"I guess so...": "I guess so...";
"DAMMIT.": "DAMMIT.";
"Hold on, did I hear that right?": "Hold on, did I hear that right?";
"Okay, we'll hit the drug deals then take care of Veteran Child.": "Okay, we'll hit the drug deals then take care of Veteran Child.";
"I've been searching the simulation and so far no sign of either of them.": "I've been searching the simulation and so far no sign of either of them.";
"She says we have to get to the statue.": "She says we have to get to the statue.";
"Oh. Ooooh.": "Oh. Ooooh.";
"Fuck him...": "Fuck him...";
"Looks like we have some special guests trying to crash our fun!  Let's get this party started!": "Looks like we have some special guests trying to crash our fun!  Let's get this party started!";
"Maybe you should listen to yourself more and not get so stressed out about everything all the time.": "Maybe you should listen to yourself more and not get so stressed out about everything all the time.";
"That suggests the Zin are currently adding more security to the remaining cells.  I believe here we only interrupted the process.  Shaundi is right.": "That suggests the Zin are currently adding more security to the remaining cells.  I believe here we only interrupted the process.  Shaundi is right.";
"Ok, ok, I take it back.": "Ok, ok, I take it back.";
"No offense, you two, but I always thought at this point we'd be on a beach in Rio, pounding sushi and tequila.  ": "No offense, you two, but I always thought at this point we'd be on a beach in Rio, pounding sushi and tequila.  ";
"Either of you feel anything?": "Either of you feel anything?";
"We sure she hasn't infected more people?": "We sure she hasn't infected more people?";
"DELETE": "DELETE";
"Don't touch anything!": "Don't touch anything!";
"What...?": "What...?";
"This sounds AWESOME!": "This sounds AWESOME!";
"What the hell is this place? These are all people.": "What the hell is this place? These are all people.";
"Pierce, this is all you.  I am not sticking around with your crazy can-people.": "Pierce, this is all you.  I am not sticking around with your crazy can-people.";
"But then I realized Asha would never be able to do this without some help.": "But then I realized Asha would never be able to do this without some help.";
"Well, at least I didn't have to interrogate anyone this time.": "Well, at least I didn't have to interrogate anyone this time.";
"Must this happen every time?": "Must this happen every time?";
"Why are there two of me now?!": "Why are there two of me now?!";
"Fair enough. Kinzie, have we got a radio?": "Fair enough. Kinzie, have we got a radio?";
"Fuck was that?": "Fuck was that?";
"Of course I did! I just...forgot.": "Of course I did! I just...forgot.";
"What the fuck's going on, Pierce?": "What the fuck's going on, Pierce?";
"Oh *BEEP*!": "Oh *BEEP*!";
"Hey Kinzie, how am I supposed to rescue Matt without a weapon?": "Hey Kinzie, how am I supposed to rescue Matt without a weapon?";
"Here, on this universal stage, I shall show the Zin Empire once more why they serve me!": "Here, on this universal stage, I shall show the Zin Empire once more why they serve me!";
"Any help you can give would be nice...": "Any help you can give would be nice...";
"If this Kinzie chick is as smart as everyone says, we need to get her back asap.": "If this Kinzie chick is as smart as everyone says, we need to get her back asap.";
"Good morning, neighbor!": "Good morning, neighbor!";
"Hey! At least I'm not a snobby sexually-repressed--": "Hey! At least I'm not a snobby sexually-repressed--";
"What do you want from me then besides a chance to stick it to that egomaniacal asshole?": "What do you want from me then besides a chance to stick it to that egomaniacal asshole?";
"So who's the mark?": "So who's the mark?";
"All right, I'll keep doing what I can here.": "All right, I'll keep doing what I can here.";
"Hang on, I'm here!": "Hang on, I'm here!";
"Denied, denied.": "Denied, denied.";
"I appreciate the help Kinzie, but don't I need the tank?": "I appreciate the help Kinzie, but don't I need the tank?";
"Oh. Well. Sorry.": "Oh. Well. Sorry.";
"Shit? What do you mean shit?": "Shit? What do you mean shit?";
"There.": "There.";
"FUKFUKFUKFUKFUKFUKFUKFUKFUKFUKFUKFUKFUKFUK": "FUKFUKFUKFUKFUKFUKFUKFUKFUKFUKFUKFUKFUKFUK";
"Oh, I have that speech all prepared.  Figured I'd give you a little more time before I started it.": "Oh, I have that speech all prepared.  Figured I'd give you a little more time before I started it.";
"Mmm! Freckle Bitches!": "Mmm! Freckle Bitches!";
"MATT! YOU TOUCHED IT!": "MATT! YOU TOUCHED IT!";
"Just don't get any blood on ya, she's got the Hep!": "Just don't get any blood on ya, she's got the Hep!";
"We kill the bastard.": "We kill the bastard.";
"*pew*pew*pew*": "*pew*pew*pew*";
"Load in!": "Load in!";
"That is a direct order, Ms. Kenzington.": "That is a direct order, Ms. Kenzington.";
"Some of the Zin data would be helpful to look at.  There's a vehicle with the proper programming I need you to obtain for me.": "Some of the Zin data would be helpful to look at.  There's a vehicle with the proper programming I need you to obtain for me.";
"crazed laughter": "crazed laughter";
"First time I met Oleg, he was naked and strapped into a big machine.": "First time I met Oleg, he was naked and strapped into a big machine.";
"How the hell did they find us?": "How the hell did they find us?";
"Did he just turn into some kind of...Super-Genki?": "Did he just turn into some kind of...Super-Genki?";
"What... what... what are you doing?": "What... what... what are you doing?";
"Get out of my house!": "Get out of my house!";
"You mind explaining that?": "You mind explaining that?";
"Oh my God...are there people in there?": "Oh my God...are there people in there?";
"Holy shite, Zinyak destroyed my flat!": "Holy shite, Zinyak destroyed my flat!";
"...no.": "...no.";
"After this is all over, are you two gonna play nice?": "After this is all over, are you two gonna play nice?";
"I have found new code which allows you to change the element of one of your powers.": "I have found new code which allows you to change the element of one of your powers.";
"What is Zinyak's fascination with Genki? Why don't the two of them just make a baby already.": "What is Zinyak's fascination with Genki? Why don't the two of them just make a baby already.";
"You pissed off the wrong POTUS!": "You pissed off the wrong POTUS!";
"You ready to meet the fine people of Steelport?": "You ready to meet the fine people of Steelport?";
"Dammit, Zinyak's in a mech suit!": "Dammit, Zinyak's in a mech suit!";
"Oooh yeah, daddy.": "Oooh yeah, daddy.";
"Good thing we had Kinzie, and Zimos, and Oleg, and...": "Good thing we had Kinzie, and Zimos, and Oleg, and...";
"You fear me being in power more than anything else?": "You fear me being in power more than anything else?";
"Yeah, I got it...": "Yeah, I got it...";
"Oh shit, that is really not good...": "Oh shit, that is really not good...";
"Kinzie's really smart. It kinda freaks me out how she always knows so much more than everyone else. But we wouldn't be able to take the fight to Zinyak without her.": "Kinzie's really smart. It kinda freaks me out how she always knows so much more than everyone else. But we wouldn't be able to take the fight to Zinyak without her.";
"As the sole living world leader from planet Earth, this is probably within my power so: I hereby assign you all rights, titles, and licenses, possible merchandise, to the NyteBlayde property.": "As the sole living world leader from planet Earth, this is probably within my power so: I hereby assign you all rights, titles, and licenses, possible merchandise, to the NyteBlayde property.";
"Yeah, cause I want THAT crawling around in me.": "Yeah, cause I want THAT crawling around in me.";
"Matt, I'm heading back to Cyrus. Time for the second part of this plan.": "Matt, I'm heading back to Cyrus. Time for the second part of this plan.";
"Indulge me. ": "Indulge me. ";
"Sir, yes, sir!": "Sir, yes, sir!";
"Sorry! Damn.  Just tell me what I need to do.": "Sorry! Damn.  Just tell me what I need to do.";
"All right. Let's go!": "All right. Let's go!";
"DELETE": "DELETE";
"I lost my notes on that virus injection thing, playa. Can you do one for me?": "I lost my notes on that virus injection thing, playa. Can you do one for me?";
"Go on...": "Go on...";
"Look. I know how you felt. I had nobody on my side in that fucking Simulation. And half the fun of murdering is doing it alongside a friend.": "Look. I know how you felt. I had nobody on my side in that fucking Simulation. And half the fun of murdering is doing it alongside a friend.";
"And sayonara, Jyunichi!": "And sayonara, Jyunichi!";
"Is she really dead this time, Matt?": "Is she really dead this time, Matt?";
"Sorry!  Christ. So what do I need to do?": "Sorry!  Christ. So what do I need to do?";
"All right, yo. Yo. Steelport sounds like a party town.": "All right, yo. Yo. Steelport sounds like a party town.";
"I wouldn't put it past her.": "I wouldn't put it past her.";
"I know Tanya's a bitch but you really think she can do that much damage?": "I know Tanya's a bitch but you really think she can do that much damage?";
"Done.": "Done.";
"Yeah, this is just like the old days.  Everyone's trying to kill me.": "Yeah, this is just like the old days.  Everyone's trying to kill me.";
"You never asked for one.": "You never asked for one.";
"Just get to the island with the big statue on it, okay?  And get Paul's attention so he follows you.": "Just get to the island with the big statue on it, okay?  And get Paul's attention so he follows you.";
"Matt. That is brilliant.": "Matt. That is brilliant.";
"You hungry? EAT THIS.": "You hungry? EAT THIS.";
"Yes!": "Yes!";
"I wish everyone I went after just sat there waiting for me to kill them.": "I wish everyone I went after just sat there waiting for me to kill them.";
"Not now!  I must center myself.": "Not now!  I must center myself.";
"Bert to Ernie. Bert to Ernie. Activate South Portico defenses.": "Bert to Ernie. Bert to Ernie. Activate South Portico defenses.";
"Fuck him...": "Fuck him...";
"That's not my usual style.": "That's not my usual style.";
"What, I'm just driving.": "What, I'm just driving.";
"Pierce, there's a giant fucking HAND out there!": "Pierce, there's a giant fucking HAND out there!";
"Whoa, that thing just came out of nowhere.": "Whoa, that thing just came out of nowhere.";
"Great.": "Great.";
"I found your sorry ass, didn't I?": "I found your sorry ass, didn't I?";
"Dammit, Zinyak's in a mech suit!": "Dammit, Zinyak's in a mech suit!";
"She disappeared on us last time we tried that.": "She disappeared on us last time we tried that.";
"Platform, platform, where's the goddamn platform...?": "Platform, platform, where's the goddamn platform...?";
"DELETE": "DELETE";
"All right CID, here's the deal--": "All right CID, here's the deal--";
"Does this Saint understand these targets?": "Does this Saint understand these targets?";
"Are you fucking kidding me?": "Are you fucking kidding me?";
"*coughs*": "*coughs*";
"Not true, Shaundi. *pauses* Shaundi?": "Not true, Shaundi. *pauses* Shaundi?";
"DELETE": "DELETE";
"Gat, you with me?": "Gat, you with me?";
"Hey Kinzie, you wanna fuck?": "Hey Kinzie, you wanna fuck?";
"Whoa!": "Whoa!";
"No, not really.  You know how seriously I take my performance.": "No, not really.  You know how seriously I take my performance.";
"What, taking over the city from a bunch of assholes who thought they were better than us?  Bringing egotistical pricks to their knees and then putting a bullet in their head?": "What, taking over the city from a bunch of assholes who thought they were better than us?  Bringing egotistical pricks to their knees and then putting a bullet in their head?";
"How long is this whole thing going to take?": "How long is this whole thing going to take?";
"Can't you just find a way to keep it from exploding and let me go on a rampage with this thing?": "Can't you just find a way to keep it from exploding and let me go on a rampage with this thing?";
"Show me what you got, Johnny.": "Show me what you got, Johnny.";
"Once you get inside I'll be cutoff from communication so listen to CID, he'll know what to do.": "Once you get inside I'll be cutoff from communication so listen to CID, he'll know what to do.";
